"heroes.name.astral_cosmicspeaker","コスミックスピーカー"
"heroes.name.kingdom_zhang_fei","張飛（チョウヒ）"
"heroes.name.kingdom_zhou_yu","周瑜（シュウユ）"
"heroes.name.kingdom_zhuge_liang","諸葛亮（ショカツ・リョウ）"
"heroes.name.knights_bauchan","バウチャン"
"heroes.name.knights_black_knight","ブラックナイト"
"heroes.name.knights_gawain","ガワイン"
"heroes.name.knights_green_knight","グリーンナイト"
"heroes.name.knights_guinevere","ギネヴィア"
"heroes.name.knights_king_arthur","キングアーサー"
"heroes.name.knights_lady_of_the_lake","湖の麗人"
"heroes.name.knights_merlin","メルリン"
"heroes.name.knights_mordred","モードレッド"
"heroes.name.knights_morgan_le_fay","モーガン・ル・フェイ"
"heroes.name.knights_sir_lancelot","ランスロット"
"heroes.name.knights_treevil","ツリビル"
"heroes.name.lionman_barbarian","アズラル"
"heroes.name.lizardman_trapper","カシュレック"
"heroes.name.lizardman_warrior","イシュターク"
"heroes.name.lunar_new_year_baishu","白鼠（バイシュー）"
"heroes.name.lunar_new_year_gongniu","公牛"
"heroes.name.lunar_new_year_hongyunxing","紅隕星"
"heroes.name.lunar_new_year_laohu","老虎 （ラオフー）"
"heroes.name.lunar_new_year_qinglong","白龍"
"heroes.name.lunar_new_year_xiaoqing","小青（シャオチン）"
"heroes.name.lunar_new_year_xiaotu","小兎（シャオトゥ）"
"heroes.name.magic_agrafena","アグラフェナ"
"heroes.name.magic_anastasia","アナスタシア"
"heroes.name.magic_anton","アントン"
"heroes.name.magic_becky","ベッキー"
"heroes.name.magic_camilla","カミラ"
"heroes.name.magic_carpet_agadh","アガト"
"heroes.name.magic_carpet_amelia","アメリア"
"heroes.name.magic_carpet_bart","バート"
"heroes.name.magic_carpet_bertha","ベルタ"
"heroes.name.magic_carpet_crustee","クラスティ"
"heroes.name.magic_carpet_elyssa","エリッサ"
"heroes.name.magic_carpet_jwala","ジュワラ"
"heroes.name.magic_carpet_kesha","ケシャ"
"heroes.name.magic_carpet_lando","ランド"
"heroes.name.magic_carpet_lilli","リリー"
"heroes.name.magic_carpet_manpip","マンピップ"
"heroes.name.magic_carpet_naeem","ナエーン"
"heroes.name.magic_carpet_ragrim","ラグリム"
"heroes.name.magic_carpet_shareef","シャリーフ"
"heroes.name.magic_carpet_zazha","ザーツァ"
"heroes.name.magic_cristobal","クリストバル"
"heroes.name.magic_dolgoon","ドルゴン"
"heroes.name.magic_jett","ジェット"
"heroes.name.magic_kornel","コーネル"
"heroes.name.magic_lucy","ルーシー"
"heroes.name.magic_milena","ミレーナ"
"heroes.name.magic_motega","モテガ"
"heroes.name.magic_nadezhda","ナデージダ"
"heroes.name.magic_ray","レイ"
"heroes.name.magic_roxia","ロキシア"
"heroes.name.magic_sergei","セルゲイ"
"heroes.name.magic_telonius","テロニウス"
"heroes.name.magic_ulius","ユリウス"
"heroes.name.magic_vaishali","ヴァイシャリ"
"heroes.name.magic_willow","ウィロー"
"heroes.name.magitech_sniper","ドミシア"
"heroes.name.mahayoddha_ali","アリ"
"heroes.name.mahayoddha_bhima","ビーマ"
"heroes.name.mahayoddha_bonga","ボンガ"
"heroes.name.mahayoddha_chitrangada","チトランガダ"
"heroes.name.mahayoddha_devyani","デヴィアニ"
"heroes.name.mahayoddha_jyoti","ジョティ"
"heroes.name.mahayoddha_meenakshi","メエナクシ"
"heroes.name.mahayoddha_rafeeq","ラフェーク"
"heroes.name.mahayoddha_ustad_anand","ウスタド・アナンド"
"heroes.name.mahayoddha_veer","ヴェール"
"heroes.name.masquerade_alessia","アレシア"
"heroes.name.masquerade_aradia","アラディア"
"heroes.name.masquerade_carmenta","カルメンタ"
"heroes.name.masquerade_cel","セル"
"heroes.name.masquerade_februus","フェブルウス"
"heroes.name.masquerade_fortuna","フォーチュナ"
"heroes.name.masquerade_fosco","フォスコ"
"heroes.name.masquerade_jana","ヤナ"
"heroes.name.masquerade_jove","ジョヴ"
"heroes.name.masquerade_umbria","アンブリア"
"heroes.name.mighty_pet_barkley","バークリー"
"heroes.name.mighty_pet_bubbles","バブルズ"
"heroes.name.mighty_pet_chomper","チョンパー"
"heroes.name.mighty_pet_cinnamon","シナモン"
"heroes.name.mighty_pet_cupcake","カップケーキ"
"heroes.name.mighty_pet_furdinand","ファーディナンド"
"heroes.name.mighty_pet_hachiko","ハチコウ"
"heroes.name.mighty_pet_luna","ルナ"
"heroes.name.mighty_pet_ribbit","リビット"
"heroes.name.mighty_pet_rufus","ルーファス"
"heroes.name.mighty_pet_snowball","スノーボール"
"heroes.name.mighty_pet_toto","マックス"
"heroes.name.mighty_pet_waddles","ワドルズ"
"heroes.name.mimic_aether_blue","エーテル・ミミック"
"heroes.name.mimic_aether_green","エーテル・ミミック"
"heroes.name.mimic_aether_purple","エーテル・ミミック"
"heroes.name.mimic_aether_red","エーテル・ミミック"
"heroes.name.mimic_aether_yellow","エーテル・ミミック"
"heroes.name.mimic_ascension_epic_yellow","アセンド・ミミック"
"heroes.name.mimic_ascension_item_blue","アセンド・ミミック"
"heroes.name.mimic_ascension_item_green","アセンド・ミミック"
"heroes.name.mimic_ascension_item_purple","アセンド・ミミック"
"heroes.name.mimic_ascension_item_red","アセンド・ミミック"
"heroes.name.mimic_ascension_item_yellow","アセンド・ミミック"
"heroes.name.mimic_emblem_blue","エンブレム・ミミック"
"heroes.name.mimic_emblem_green","エンブレム・ミミック"
"heroes.name.mimic_emblem_purple","エンブレム・ミミック"
"heroes.name.mimic_emblem_red","エンブレム・ミミック"
"heroes.name.mimic_emblem_yellow","エンブレム・ミミック"
"heroes.name.mimic_experience_rare_red","エクスペリエンス・ミミック"
"heroes.name.mimic_training_hero_blue","エクスペリエンス・ミミック"
"heroes.name.mimic_training_hero_green","エクスペリエンス・ミミック"
"heroes.name.mimic_training_hero_purple","エクスペリエンス・ミミック"
"heroes.name.mimic_training_hero_red","エクスペリエンス・ミミック"
"heroes.name.mimic_training_hero_yellow","エクスペリエンス・ミミック"
"heroes.name.mimic_troop_blue","兵団ミミック"
"heroes.name.mimic_troop_green","兵団ミミック"
"heroes.name.mimic_troop_purple","兵団ミミック"
"heroes.name.mimic_troop_red","兵団ミミック"
"heroes.name.mimic_troop_yellow","兵団ミミック"
"heroes.name.monster_hunter_adalinda","アダリンダ"
"heroes.name.monster_hunter_amund","アムンド"
"heroes.name.monster_hunter_basil","バジル"
"heroes.name.monster_hunter_berit","ベリット"
"heroes.name.monster_hunter_bogart","ボガート"
"heroes.name.monster_hunter_bonecrusher","ボーンクラッシャー"
"heroes.name.monster_hunter_cedar","シーダ"
"heroes.name.monster_hunter_cleaver","クリーバー"
"heroes.name.monster_hunter_dabria","ダブリア"
"heroes.name.monster_hunter_dawn","ドーン"
"heroes.name.monster_hunter_dubhain","デューハン"
"heroes.name.monster_hunter_ebba","エバ"
"heroes.name.monster_hunter_edelaide","エデレイド"
"heroes.name.monster_hunter_fianna","フィアナ"
"heroes.name.monster_hunter_goretooth","ゴアトゥース"
"heroes.name.monster_hunter_greel","グリール"
"heroes.name.monster_hunter_hammertusk","ハンマータスク"
"heroes.name.monster_hunter_hawthorn","ホーソン"
"heroes.name.monster_hunter_hurricane","ハリケーン"
"heroes.name.monster_hunter_kai","カイ"
"heroes.name.monster_hunter_knuckles","ナックルズ"
"heroes.name.monster_hunter_maheegan","マヒーガン"
"heroes.name.monster_hunter_malin","マリン"
"heroes.name.monster_hunter_meadow","メドウ"
"heroes.name.monster_hunter_mistweaver","ミストウィーバー"
"heroes.name.monster_hunter_njal","ンジャル"
"heroes.name.monster_hunter_numbskull","ナムスカル"
"heroes.name.monster_hunter_otis","オーティス"
"heroes.name.monster_hunter_revna","レヴナ"
"heroes.name.monster_hunter_ruadh","ルアド"
"heroes.name.monster_hunter_sigyn","シギュン"
"heroes.name.monster_hunter_sorcha","ソーチャ"
"heroes.name.monster_hunter_sorrow","ソロウ"
"heroes.name.monster_hunter_staintongue","ステインタン"
"heroes.name.monster_hunter_sune","スネ"
"heroes.name.monster_hunter_thunderclap","サンダークラップ"
"heroes.name.monster_hunter_thura","スーラ"
"heroes.name.monster_hunter_tremor","トレマー"
"heroes.name.monster_hunter_waterpipe","ウォーターパイプ"
"heroes.name.moth_auricarc","オーリカーク"
"heroes.name.moth_chimister","キミスター"
"heroes.name.moth_chunkyroi","チャンキーロワ"
"heroes.name.moth_furgeant","ファージェント"
"heroes.name.moth_gardered","ガーダード"
"heroes.name.moth_grovevert","グローヴェール"
"heroes.name.moth_joyvert","ジョイヴェール"
"heroes.name.moth_lilareine","リラレイン"
"heroes.name.moth_limeboire","リメボワ"
"heroes.name.moth_mortewitch","モルテウィッチ"
"heroes.name.moth_pepperbleu","ペペルブル"
"heroes.name.moth_rosepetite","ロゼプチ"
"heroes.name.moth_satinpimenter","サタンピモンテ"
"heroes.name.moth_shyombre","シェヨンブル"
"heroes.name.moth_tealmoine","ティルモワン"
"heroes.name.musketeer_aramis","アラミス"
"heroes.name.musketeer_aramis_costume_boulanger","アラミス"
"heroes.name.musketeer_athos","アトス"
"heroes.name.musketeer_athos_costume_farrier","アトス"
"heroes.name.musketeer_cardinal_richelieu","リシュリュー枢機卿"
"heroes.name.musketeer_constance","コンスタンス"
"heroes.name.musketeer_dartagnan","ダルタニャン"
"heroes.name.musketeer_felton","フェルトン"
"heroes.name.musketeer_kitty","キティ"
"heroes.name.musketeer_milady_de_winter","ミレディー・ド・ウィンター"
"heroes.name.musketeer_planchet","プランシェ"
"heroes.name.musketeer_porthos","ポルトス"
"heroes.name.musketeer_porthos_costume_merchant","ポルトス"
"heroes.name.musketeer_queen_anne","アン女王"
"heroes.name.musketeer_rochefort","ロシュフォール"
"heroes.name.musketeer_villiers","ヴィリアーズ"
"heroes.name.mystery_enigmo","エニグモ"
"heroes.name.nature_god_balbar","バルバー"
"heroes.name.nature_god_bertila","バーティラ"
"heroes.name.nature_god_bo_and_runt","ボー&ラント"
"heroes.name.nature_god_chloris","クロリス"
"heroes.name.nature_god_cinisia","シンシア"
"heroes.name.nature_god_florenna","フロレンナ"
"heroes.name.nature_god_leadria","リードリア"
"heroes.name.nature_god_liora","リオラ"
"heroes.name.nature_god_mystia","ミスティア"
"heroes.name.nature_god_silvaria","シルヴェリア"
"heroes.name.nature_god_viselus","ヴェセルス"
"heroes.name.ninja_amethyst","アメジスト"
"heroes.name.ninja_ametrine","アメトリン"
"heroes.name.ninja_aurum","オーラン"
"heroes.name.ninja_azurite","アジュライト"
"heroes.name.ninja_chikao","チカオ"
"heroes.name.ninja_cobalt","コバルト"
"heroes.name.ninja_ekanite","エーカナイト"
"heroes.name.ninja_garnet","ガーネット"
"heroes.name.ninja_iga","イガ"
"heroes.name.ninja_ito","イトウ"
"heroes.name.ninja_jade","ジェイド"
"heroes.name.ninja_kinsaishi","金砂石"
"heroes.name.ninja_kushanku","クシャンク"
"heroes.name.ninja_malum","マラム"
"heroes.name.ninja_mica","ミカ"
"heroes.name.ninja_morganite","モルガナイト"
"heroes.name.ninja_myoinni","ミョインニ"
"heroes.name.ninja_nomad","ノマド"
"heroes.name.ninja_oniwakamaru","鬼若丸"
"heroes.name.ninja_onyx","オニクス"
"heroes.name.ninja_osamu","オサム"
"heroes.name.ninja_peridot","ペリドット"
"heroes.name.ninja_quartz","クォーツ"
"heroes.name.ninja_ruby","ルビー"
"heroes.name.ninja_sapphire","サファイア"
"heroes.name.ninja_satsui","サツイ"
"heroes.name.ninja_sawano","サワノ"
"heroes.name.ninja_serandite","セランダイト"
"heroes.name.ninja_shale","シェール"
"heroes.name.ninja_tametomo","為朝"
"heroes.name.ninja_topaz","トパーズ"
"heroes.name.ninja_tora","寅"
"heroes.name.ninja_umeko","ウメコ"
"heroes.name.ninja_zircon","ジルコン"
"heroes.name.nomad_axe_adventurer","コレン"
"heroes.name.nomad_female_archer","シャラン"
"heroes.name.nomad_female_assassin","スカーレット"
"heroes.name.nomad_female_berserker","ケリレ"
"heroes.name.nomad_female_captain","マリャーナ"
"heroes.name.nomad_female_lord","エレナ"
"heroes.name.nomad_female_shaman","ホークムーン"
"heroes.name.nomad_female_swordmaster","アザール"
"heroes.name.nomad_female_thief","ジル"
"heroes.name.nomad_fighter","ファリド"
"heroes.name.nomad_mage","ジャハンギル"
"heroes.name.nomad_scout","トゥダン"
"heroes.name.nomad_shaman","シャーコット"
"heroes.name.nordic_ancestral_warrior","グリム"
"heroes.name.nordic_chained_werewolf","グレイメイン"
"heroes.name.nordic_female_scout","シグラン"
"heroes.name.nordic_female_warrior","ラグヒルド"
"heroes.name.nordic_ice_enchantress","イサルニア"
"heroes.name.nordic_mage","ウルマー"
"heroes.name.nordic_male_lord","リチャード"
"heroes.name.nordic_swordman","ヴァレン"
"heroes.name.nordic_warrior","ブランド"
"heroes.name.orc_gladiator","ボルドタスク"
"heroes.name.orc_skirmisher","ズダク"
"heroes.name.orc_troopmaster","ゴルメク"
"heroes.name.orc_warrior","ナシュガル"
"heroes.name.oriental_brawler","ベイン"
"heroes.name.oriental_enchanted_monk","ジューン"
"heroes.name.oriental_falconer","カオ"
"heroes.name.oriental_falconer.falcon","カオスファルコン"
"heroes.name.oriental_female_guard","ダワ"
"heroes.name.oriental_female_mage","カイラニ"
"heroes.name.oriental_female_mystic","ビビカ"
"heroes.name.oriental_female_ninja","ヒカル"
"heroes.name.oriental_female_templar","リ シウ"
"heroes.name.oriental_monkey_captain","ウ コン"
"heroes.name.oriental_monkey_warrior","ホウ"
"heroes.name.oriental_panda_berserker","ガン ジュ"
"heroes.name.oriental_panda_scout","シャ ジ"
"heroes.name.oriental_panda_warrior","フ タオ"
"heroes.name.oriental_squire","ナッシュ"
"heroes.name.oriental_warrior","ケンジロウ"
"heroes.name.oriental_warrior_king","レオニダス"
"heroes.name.outlaw_chao_gai","晁蓋（チョウガイ）"
"heroes.name.outlaw_gu_dasao","顧大嫂（コダイソウ）"
"heroes.name.outlaw_hu_sanniang","扈三娘（コサンジョウ）"
"heroes.name.outlaw_li_kui","李逵（リキ）"
"heroes.name.outlaw_lin_chong","林冲（リンチュウ）"
"heroes.name.outlaw_liu_tang","劉唐（リュウトウ）"
"heroes.name.outlaw_lu_zhishen","魯智深（ロチシン）"
"heroes.name.outlaw_ruan_xiaoqi","阮小七（ゲンショウシチ）"
"heroes.name.outlaw_shi_jin","史進（シシン）"
"heroes.name.outlaw_song_jiang","宋江（ソウコウ）"
"heroes.name.outlaw_sun_erniang","孫二娘（ソンジジョウ）"
"heroes.name.outlaw_wu_song","武松（ブショウ）"
"heroes.name.outlaw_wu_yong","呉用（ゴヨウ）"
"heroes.name.outlaw_xiang_chong","項充（コウジュウ）"
"heroes.name.outlaw_zheng_tianshou","鄭天寿（テイテンジュ）"
"heroes.name.owl_cennius","セニウス"
"heroes.name.owl_eron","エーロン"
"heroes.name.owl_featherino","フェザリーノ"
"heroes.name.owl_fulvia","フルヴィア"
"heroes.name.owl_juliani","ジュリアーニ"
"heroes.name.owl_livia","リヴィア"
"heroes.name.owl_lodius","ロディウス"
"heroes.name.owl_mariol","マリオール"
"heroes.name.owl_olbec","オルベック"
"heroes.name.owl_ommodus","オモドゥス"
"heroes.name.owl_paeia","パエイア"
"heroes.name.owl_pertinax","ペルティナックス"
"heroes.name.owl_relius","レリウス"
"heroes.name.owl_timius","ティミウス"
"heroes.name.owl_verus","ヴェルス"
"heroes.name.pirate_anne","アン"
"heroes.name.pirate_boatswain","ブラック・シーザー"
"heroes.name.pirate_bonny","ボニー"
"heroes.name.pirate_cabin_boy","ピーターズ"
"heroes.name.pirate_commodore_finley","フィンリー"
"heroes.name.pirate_dread_captain","サルガッソ"
"heroes.name.pirate_first_mate","ブーマー"
"heroes.name.pirate_lady","レディロック"
"heroes.name.pirate_marie_therese","マリア・テレジア"
"heroes.name.pirate_sally","サリー"
"heroes.name.pirate_swashbuckler","キャプテン ケストレル"
"heroes.name.pirate_vodnik","ヴォドニク"
"heroes.name.rabbit_blue","マスター レプス"
"heroes.name.rabbit_green","ジャック オヘヤ"
"heroes.name.rabbit_red","スクワイア ワビット"
"heroes.name.rider_hero_blue","トレーナー英雄"
"heroes.name.rider_hero_green","トレーナー英雄"
"heroes.name.rider_hero_purple","トレーナー英雄"
"heroes.name.rider_hero_red","トレーナー英雄"
"heroes.name.rider_hero_yellow","トレーナー英雄"
"heroes.name.royal_female_knight","ソーニャ"
"heroes.name.royal_knight","ガナー"
"heroes.name.royal_knight_commander","ソーン"
"heroes.name.royal_knight_commander_tutorial","グレイ"
"heroes.name.royal_pikeman","オラフ"
"heroes.name.s2_ariel","アリエル"
"heroes.name.s2_atlantean_robot","ガデイルス"
"heroes.name.s2_chameleon_bruiser","マギー"
"heroes.name.s2_chameleon_chief","ゴッブラー"
"heroes.name.s2_chameleon_mage","アゲー"
"heroes.name.s2_crab_man","カーキノス"
"heroes.name.s2_croc_man","ガトー"
"heroes.name.s2_cursed_samurai","カゲブラド"
"heroes.name.s2_demon_master","スミトモ"
"heroes.name.s2_fiji_mermaid","ギルラ"
"heroes.name.s2_fox_girl","イナリ"
"heroes.name.s2_ghost_woman","アメオンナ"
"heroes.name.s2_hammerhead_hulk","モクアー"
"heroes.name.s2_junglehunter","ターラック"
"heroes.name.s2_lantern_ghost","提灯"
"heroes.name.s2_mercenary_woman","ミサンドラ"
"heroes.name.s2_merman","ムネセウス"
"heroes.name.s2_merwoman","メリア"
"heroes.name.s2_noble_lady","ミツコ"
"heroes.name.s2_oceanus","オケアノス"
"heroes.name.s2_poseidon","ポセイドン"
"heroes.name.s2_proteus","プロテウス"
"heroes.name.s2_rugged_fisherman","ウィルバー"
"heroes.name.s2_skyllaros","アトモス"
"heroes.name.s2_straw_demon","ナマハゲ"
"heroes.name.s2_tanuki_raccoon","ダンザブロウ"
"heroes.name.s2_tethys","テーチス"
"heroes.name.s2_triton","トリトン"
"heroes.name.s2_ursena","ウルセナ"
"heroes.name.s3_agnes","アグネス"
"heroes.name.s3_alfrike","アルフライク"
"heroes.name.s3_almur","アルマー"
"heroes.name.s3_anwindr","アンウィンドル"
"heroes.name.s3_baldur","バルドル"
"heroes.name.s3_bera","ベラ"
"heroes.name.s3_bjorn","ビョルン"
"heroes.name.s3_brynhild","ブリンヒルド"
"heroes.name.s3_by_ulf","バイウルフ"
"heroes.name.s3_ei_dunn","エイダン"
"heroes.name.s3_fenrir","フェンリル"
"heroes.name.s3_freya","フレヤ"
"heroes.name.s3_frigg","フリッグ"
"heroes.name.s3_fura","フーラ"
"heroes.name.s3_gefjon","ゲフジョン"
"heroes.name.s3_grevle","グレブル"
"heroes.name.s3_gullinbursti","グリンブルスティ"
"heroes.name.s3_heimdall","ヘインダール"
"heroes.name.s3_jarvur","ジャルヴァル"
"heroes.name.s3_jott","ジョット"
"heroes.name.s3_kvasir","クヴァシル"
"heroes.name.s3_loki_female","レディー・ロキ"
"heroes.name.s3_loki_fish","サルモン・ロキ"
"heroes.name.s3_loki_male","ロード・ロキ"
"heroes.name.s3_lord_loki_covenant","ロード・ロキ"
"heroes.name.s3_mireweave","ミーレウィーブ"
"heroes.name.s3_mist","ミスト"
"heroes.name.s3_nordri","ノルドリ"
"heroes.name.s3_norns","ノルン"
"heroes.name.s3_odin","オーディン"
"heroes.name.s3_ratatoskr","ラタトスク"
"heroes.name.s3_shadereave","シェイドリーヴ"
"heroes.name.s3_sif","シフ"
"heroes.name.s3_skadi","スカジ"
"heroes.name.s3_stonecleave","ストーンクリーブ"
"heroes.name.s3_sudri","スーリ"
"heroes.name.s3_sumle","サムル"
"heroes.name.s3_thor","トール"
"heroes.name.s3_tyr","ター"
"heroes.name.s4_akkorog","アコログ"
"heroes.name.s4_aouda","アウダ"
"heroes.name.s4_captain_nemo","キャプテン・ネモ"
"heroes.name.s4_congalach","コンガラック"
"heroes.name.s4_doctor_moreau","ドクター・モロ"
"heroes.name.s4_elizabeth","エリザベス"
"heroes.name.s4_exeera","エクセーラ"
"heroes.name.s4_garjammal","ガージャマール"
"heroes.name.s4_gramps","グランプス"
"heroes.name.s4_griffin","グリフィン"
"heroes.name.s4_hannah","ハンナ"
"heroes.name.s4_helo","ヘロ"
"heroes.name.s4_hulda","ハルダ"
"heroes.name.s4_kravekrush","クラベクルシュ"
"heroes.name.s4_lepiota","レピオタ"
"heroes.name.s4_lughaidh","ルガイド"
"heroes.name.s4_mack","マック"
"heroes.name.s4_morel","モレル"
"heroes.name.s4_morris","モリス"
"heroes.name.s4_octros","オクトロス"
"heroes.name.s4_passepartout","パスパートアウト"
"heroes.name.s4_phileas_fogg","フィレアス・フォッグ"
"heroes.name.s4_poppy","ポピー"
"heroes.name.s4_professor_lidenbrock","ライデンブロック教授"
"heroes.name.s4_rokkamush","ロッカムッシュ"
"heroes.name.s4_russula","ルスラ"
"heroes.name.s4_tettukh","テトゥク"
"heroes.name.s4_vollermork","ヴォーラモルク"
"heroes.name.s4_xenda","ゼンダ"
"heroes.name.s4_xnolphod","クノルフォッド"
"heroes.name.s4_zekena","ジキーナ"
"heroes.name.s4_zenobia","ゼノビア"
"heroes.name.s4_zila_lei","ジーラ・レイ"
"heroes.name.s5_ahhotep","アハテップ"
"heroes.name.s5_ahmose","イアフメス"
"heroes.name.s5_anubis","アヌビス"
"heroes.name.s5_aqeela","アキーラ"
"heroes.name.s5_azmia","アズミア"
"heroes.name.s5_bastet","バステット"
"heroes.name.s5_bennu","ベヌ"
"heroes.name.s5_cleopatra","クレオパトラ"
"heroes.name.s5_el_naddaha","エル・ナダハ"
"heroes.name.s5_eset","イセット"
"heroes.name.s5_faiez","フェーズ"
"heroes.name.s5_hathor","ハトホル"
"heroes.name.s5_hetepheres","ヘテプヘレス"
"heroes.name.s5_horus","ホルス"
"heroes.name.s5_jarif","ジャリフ"
"heroes.name.s5_junaid","ジュナイダ"
"heroes.name.s5_khafre","クフ"
"heroes.name.s5_khepri","ケプリ"
"heroes.name.s5_khonshu","コンシュ"
"heroes.name.s5_maat","マアト"
"heroes.name.s5_meresankh","メレスアンク"
"heroes.name.s5_papyros","パピロス"
"heroes.name.s5_ptolemy","トレミー"
"heroes.name.s5_rekhetre","レケトラ"
"heroes.name.s5_scoratek","スコラテック"
"heroes.name.s5_sekhmet","セクメト"
"heroes.name.s5_set","セト"
"heroes.name.s5_sneferu","セネフェル"
"heroes.name.s5_sobek","セベク"
"heroes.name.s5_tetisheri","テティシュリ"
"heroes.name.s5_waqas","ワカス"
"heroes.name.sand_horse","ヒサン"
"heroes.name.sand_king","ユナン"
"heroes.name.sand_queen","ラナ"
"heroes.name.sand_roc","ロク"
"heroes.name.sand_soldier","アーマン"
"heroes.name.sand_tower","ジャバー"
"heroes.name.sand_vizier","ガファー"
"heroes.name.scoundrel_duval","デュヴァル"
"heroes.name.scoundrel_lane","レーン"
"heroes.name.shadow_abigail","アビゲイル"
"heroes.name.shadow_asketel","アスケテル"
"heroes.name.shadow_atwood","アトウッド"
"heroes.name.shadow_burton","バートン"
"heroes.name.shadow_cthuwu","クトゥウ"
"heroes.name.shadow_dolores","ドロレス"
"heroes.name.shadow_gwendoline","グウェンドリン"
"heroes.name.shadow_hunter","ハンター"
"heroes.name.shadow_hysteria","ヒステリア"
"heroes.name.shadow_melancholia","メランコリア"
"heroes.name.shadow_omen","オーメン"
"heroes.name.shadow_penelope","ペネロペ"
"heroes.name.shadow_rashan","ラシャン"
"heroes.name.shadow_rosanna","ロザンヌ"
"heroes.name.shadow_salvatore","サルヴァトーレ"
"heroes.name.shadow_shoggo","ショゴ"
"heroes.name.shadow_wulfstan","ウルフスタン"
"heroes.name.shadow_zavinia","ザビニア"
"heroes.name.slayer_aodhan","アオダン"
"heroes.name.slayer_caitlin","ケイトリン"
"heroes.name.slayer_cathal","カタル"
"heroes.name.slayer_cillian","シリアン"
"heroes.name.slayer_maeve","メーヴ"
"heroes.name.slayer_noril","ノリル"
"heroes.name.slayer_orla","オーラ"
"heroes.name.slayer_rian","ライアン"
"heroes.name.slayer_saoirse","シアーシャ"
"heroes.name.slayer_senan","セナン"
"heroes.name.slime","スライム"
"heroes.name.slime_achillea","アキリア"
"heroes.name.slime_boboosang","ボブー・サング"
"heroes.name.slime_bulklug","バルクラグ"
"heroes.name.slime_charmione","シャルミオーネ"
"heroes.name.slime_chingiriko","チンギリコ"
"heroes.name.slime_choozen","チョーズン"
"heroes.name.slime_fruitio","フルーティオ"
"heroes.name.slime_fungustine","ファンガスティン"
"heroes.name.slime_gloozmer","グルーズマー"
"heroes.name.slime_goldrip","ゴールドリップ"
"heroes.name.slime_gooldron","グールドロン"
"heroes.name.slime_goorian","グーリアン"
"heroes.name.slime_gooric","グーリック"
"heroes.name.slime_gooze","グーズ"
"heroes.name.slime_gunktus","ガンクタス"
"heroes.name.slime_harubo","ハルーボ"
"heroes.name.slime_justico","ジャスティコ"
"heroes.name.slime_knightus","ナイタス"
"heroes.name.slime_labblub","ラブラブ"
"heroes.name.slime_magistine","マジスタイン"
"heroes.name.slime_mucktus","マクタス"
"heroes.name.slime_slaymire","スレイマイア"
"heroes.name.slime_slimgo","スリムゴ"
"heroes.name.slime_sliposi","スリッポージ"
"heroes.name.slime_sludgus","スラガス"
"heroes.name.slime_verdigoo","ヴァーティグー"
"heroes.name.slime_zestique","ゼスティク"
"heroes.name.styx_amphitrite","アンフィトリーテー"
"heroes.name.styx_arges","アルゲース"
"heroes.name.styx_brontes","ブロンテス"
"heroes.name.styx_charon","カローン"
"heroes.name.styx_dante","ダンテ"
"heroes.name.styx_erebus","エレボス"
"heroes.name.styx_hypnos","ヒュプノス"
"heroes.name.styx_nemesis","ネメシス"
"heroes.name.styx_nyx","ニュクス"
"heroes.name.styx_steropes","ステロプス"
"heroes.name.styx_thanatos","タナトス"
"heroes.name.styx_virgil","バージル"
"heroes.name.tales1_aqualith","アクアリス"
"heroes.name.tales1_atlanteia","アトランテイア"
"heroes.name.tales1_bagreg","バグレッグ"
"heroes.name.tales1_ceto","チェート"
"heroes.name.tales1_domiventus","ドミヴェンタス"
"heroes.name.tales1_ephyra","エフィラ"
"heroes.name.tales1_galapago","ガラパゴ"
"heroes.name.tales1_gelert","ゲラート"
"heroes.name.tales1_gestalt","ゲシュタルト"
"heroes.name.tales1_jaco","ジェイコ"
"heroes.name.tales1_lasalle","ラサール"
"heroes.name.tales1_medea","メディア"
"heroes.name.tales1_mulgog","マルゴグ"
"heroes.name.tales1_persa","ペルサ"
"heroes.name.tales1_phorcys","ポルシーズ"
"heroes.name.tales1_sharkhai","シャーク・アイ"
"heroes.name.tales1_spartoi","スパルトイ"
"heroes.name.tales1_thalassa","タラッサ"
"heroes.name.tales1_ultrox","アルトラックス"
"heroes.name.tales2_aethslegaur","アスレガー"
"heroes.name.tales2_andvari","アンドヴァリ"
"heroes.name.tales2_bragi","ブラギ"
"heroes.name.tales2_bryggvir","ブリグヴィル"
"heroes.name.tales2_dagr","ダグル"
"heroes.name.tales2_dain","デイン"
"heroes.name.tales2_dularfulr","デュラフル"
"heroes.name.tales2_fafnir","ファフニール"
"heroes.name.tales2_fimafeng","フィマフェング"
"heroes.name.tales2_fjalar","フィアラル"
"heroes.name.tales2_gandr","ガンダー"
"heroes.name.tales2_helgi","ヘルジ"
"heroes.name.tales2_hogne","ホグネ"
"heroes.name.tales2_hreidmarr","フレイドマル"
"heroes.name.tales2_motsognir","モソグニア"
"heroes.name.tales2_ott","オット"
"heroes.name.tales2_regin","レジン"
"heroes.name.tales2_snorri","スノッリ"
"heroes.name.tales2_svafa","スヴァーヴァ"
"heroes.name.tales2_thrivaldi","スリヴァルディ"
"heroes.name.titan_hunter_adelitza","アデリッツァ"
"heroes.name.titan_hunter_avestalon","アヴェスタロン"
"heroes.name.titan_hunter_borgholf","ボリホルフ"
