"heroes.name.astral_cosmicspeaker","코즈믹스피커"
"heroes.name.magic_telonius","텔로니우스"
"heroes.name.magic_ulius","유리우스"
"heroes.name.magic_vaishali","바이샬리"
"heroes.name.magic_willow","윌로우"
"heroes.name.magitech_sniper","도미시아"
"heroes.name.mahayoddha_ali","알리"
"heroes.name.mahayoddha_bhima","비마"
"heroes.name.mahayoddha_bonga","봉가"
"heroes.name.mahayoddha_chitrangada","치트랑가다"
"heroes.name.mahayoddha_devyani","데비아니"
"heroes.name.mahayoddha_jyoti","죠티"
"heroes.name.mahayoddha_meenakshi","미낙시"
"heroes.name.mahayoddha_rafeeq","라피크"
"heroes.name.mahayoddha_ustad_anand","우스타드 아난드"
"heroes.name.mahayoddha_veer","뷔어"
"heroes.name.masquerade_alessia","알레시아"
"heroes.name.masquerade_aradia","아라디아"
"heroes.name.masquerade_carmenta","카르멘타"
"heroes.name.masquerade_cel","셀"
"heroes.name.masquerade_februus","페브루스"
"heroes.name.masquerade_fortuna","포르투나"
"heroes.name.masquerade_fosco","포스코"
"heroes.name.masquerade_jana","자나"
"heroes.name.masquerade_jove","죠브"
"heroes.name.masquerade_umbria","움브리아"
"heroes.name.mighty_pet_barkley","바클리"
"heroes.name.mighty_pet_bubbles","버블스"
"heroes.name.mighty_pet_chomper","촘퍼"
"heroes.name.mighty_pet_cinnamon","시나몬"
"heroes.name.mighty_pet_cupcake","컵케이크"
"heroes.name.mighty_pet_furdinand","퍼디난드"
"heroes.name.mighty_pet_hachiko","하치코"
"heroes.name.mighty_pet_luna","루나"
"heroes.name.mighty_pet_ribbit","리빗"
"heroes.name.mighty_pet_rufus","루퍼스"
"heroes.name.mighty_pet_snowball","스노우볼"
"heroes.name.mighty_pet_toto","맥스"
"heroes.name.mighty_pet_waddles","와들스"
"heroes.name.mimic_aether_blue","에테르 미믹"
"heroes.name.mimic_aether_green","에테르 미믹"
"heroes.name.mimic_aether_purple","에테르 미믹"
"heroes.name.mimic_aether_red","에테르 미믹"
"heroes.name.mimic_aether_yellow","에테르 미믹"
"heroes.name.mimic_ascension_epic_yellow","각성 미믹"
"heroes.name.mimic_ascension_item_blue","각성 미믹"
"heroes.name.mimic_ascension_item_green","각성 미믹"
"heroes.name.mimic_ascension_item_purple","각성 미믹"
"heroes.name.mimic_ascension_item_red","각성 미믹"
"heroes.name.mimic_ascension_item_yellow","각성 미믹"
"heroes.name.mimic_emblem_blue","엠블럼 미믹"
"heroes.name.mimic_emblem_green","엠블럼 미믹"
"heroes.name.mimic_emblem_purple","엠블럼 미믹"
"heroes.name.mimic_emblem_red","엠블럼 미믹"
"heroes.name.mimic_emblem_yellow","엠블럼 미믹"
"heroes.name.mimic_experience_rare_red","경험치 미믹"
"heroes.name.mimic_training_hero_blue","경험치 미믹"
"heroes.name.mimic_training_hero_green","경험치 미믹"
"heroes.name.mimic_training_hero_purple","경험치 미믹"
"heroes.name.mimic_training_hero_red","경험치 미믹"
"heroes.name.mimic_training_hero_yellow","경험치 미믹"
"heroes.name.monster_hunter_adalinda","아댈린다"
"heroes.name.monster_hunter_amund","아문드"
"heroes.name.monster_hunter_basil","바질"
"heroes.name.monster_hunter_berit","베리트"
"heroes.name.monster_hunter_bogart","보가트"
"heroes.name.monster_hunter_bonecrusher","본크러셔"
"heroes.name.monster_hunter_cedar","시더"
"heroes.name.monster_hunter_cleaver","클리버"
"heroes.name.monster_hunter_dabria","다브리아"
"heroes.name.monster_hunter_dawn","던"
"heroes.name.monster_hunter_dubhain","두반"
"heroes.name.monster_hunter_ebba","에바"
"heroes.name.monster_hunter_edelaide","에델라이드"
"heroes.name.monster_hunter_fianna","피안나"
"heroes.name.monster_hunter_goretooth","고어투스"
"heroes.name.monster_hunter_greel","그릴"
"heroes.name.monster_hunter_hammertusk","해머터스크"
"heroes.name.monster_hunter_hawthorn","호우돈"
"heroes.name.monster_hunter_hurricane","허리케인"
"heroes.name.monster_hunter_kai","카이"
"heroes.name.monster_hunter_knuckles","너클레스"
"heroes.name.monster_hunter_maheegan","매히건"
"heroes.name.monster_hunter_malin","말린"
"heroes.name.monster_hunter_meadow","미도우"
"heroes.name.monster_hunter_mistweaver","안개위버"
"heroes.name.monster_hunter_njal","은잘"
"heroes.name.monster_hunter_numbskull","넘스컬"
"heroes.name.monster_hunter_otis","오티스"
"heroes.name.monster_hunter_revna","레브나"
"heroes.name.monster_hunter_ruadh","루아드"
"heroes.name.monster_hunter_sigyn","시긴"
"heroes.name.monster_hunter_sorcha","소르차"
"heroes.name.monster_hunter_sorrow","소로우"
"heroes.name.monster_hunter_staintongue","세인텅"
"heroes.name.monster_hunter_sune","슌"
"heroes.name.monster_hunter_thunderclap","썬더클랩"
"heroes.name.monster_hunter_thura","투라"
"heroes.name.monster_hunter_tremor","트레모르"
"heroes.name.monster_hunter_waterpipe","워터파이프"
"heroes.name.moth_auricarc","오리카르"
"heroes.name.moth_chimister","키미스터"
"heroes.name.moth_chunkyroi","청키로이"
"heroes.name.moth_furgeant","퍼진트"
"heroes.name.moth_gardered","게더드"
"heroes.name.moth_grovevert","그로브버트"
"heroes.name.moth_joyvert","조이버트"
"heroes.name.moth_lilareine","라일라린"
"heroes.name.moth_limeboire","라임보어"
"heroes.name.moth_mortewitch","모르테위치"
"heroes.name.moth_pepperbleu","페퍼블루"
"heroes.name.moth_rosepetite","로즈페티트"
"heroes.name.moth_satinpimenter","새틴피멘터"
"heroes.name.moth_shyombre","시욤브레"
"heroes.name.moth_tealmoine","틸모이네"
"heroes.name.musketeer_aramis","아라미스"
"heroes.name.musketeer_aramis_costume_boulanger","아라미스"
"heroes.name.musketeer_athos","아토스"
"heroes.name.musketeer_athos_costume_farrier","아토스"
"heroes.name.musketeer_cardinal_richelieu","리슐리외 추기경"
"heroes.name.musketeer_constance","콘스탄스"
"heroes.name.musketeer_dartagnan","달타냥"
"heroes.name.musketeer_felton","펠튼"
"heroes.name.musketeer_kitty","키티"
"heroes.name.musketeer_milady_de_winter","밀라디 드뷘터"
"heroes.name.musketeer_planchet","플랑셰트"
"heroes.name.musketeer_porthos","포르토스"
"heroes.name.musketeer_porthos_costume_merchant","포르토스"
"heroes.name.musketeer_queen_anne","앤 여왕"
"heroes.name.musketeer_rochefort","로슈폴트"
"heroes.name.musketeer_villiers","빌러즈"
"heroes.name.mystery_enigmo","에니그모"
"heroes.name.nature_god_balbar","발바르"
"heroes.name.nature_god_bertila","베르틸라"
"heroes.name.nature_god_bo_and_runt","보 앤 룬트"
"heroes.name.nature_god_chloris","클로리스"
"heroes.name.nature_god_cinisia","시니시아"
"heroes.name.nature_god_florenna","플로렌나"
"heroes.name.nature_god_leadria","리드리아"
"heroes.name.nature_god_liora","리오라"
"heroes.name.nature_god_mystia","미스티아"
"heroes.name.nature_god_silvaria","실바리아"
"heroes.name.nature_god_viselus","비셀루스"
"heroes.name.ninja_amethyst","아메시스트"
"heroes.name.ninja_ametrine","애머트린"
"heroes.name.ninja_aurum","오럼"
"heroes.name.ninja_azurite","애즈라이트"
"heroes.name.ninja_chikao","치카오"
"heroes.name.ninja_cobalt","코발트"
"heroes.name.ninja_ekanite","에카니테"
"heroes.name.ninja_garnet","가넷"
"heroes.name.ninja_iga","이가"
"heroes.name.ninja_ito","이토"
"heroes.name.ninja_jade","제이드"
"heroes.name.ninja_kinsaishi","킨사이시"
"heroes.name.ninja_kushanku","쿠샨쿠"
"heroes.name.ninja_malum","마럼"
"heroes.name.ninja_mica","마이카"
"heroes.name.ninja_morganite","모르가나이트"
"heroes.name.ninja_myoinni","미연니"
"heroes.name.ninja_nomad","노매드"
"heroes.name.ninja_oniwakamaru","오니와카마루"
"heroes.name.ninja_onyx","오닉스"
"heroes.name.ninja_osamu","오사무"
"heroes.name.ninja_peridot","페리도트"
"heroes.name.ninja_quartz","퀄츠"
"heroes.name.ninja_ruby","루비"
"heroes.name.ninja_sapphire","사파이어"
"heroes.name.ninja_satsui","사츠이"
"heroes.name.ninja_sawano","사와노"
"heroes.name.ninja_serandite","세란다이트"
"heroes.name.ninja_shale","셰일"
"heroes.name.ninja_tametomo","타메토모"
"heroes.name.ninja_topaz","토파즈"
"heroes.name.ninja_tora","토라"
"heroes.name.ninja_umeko","우메코"
"heroes.name.ninja_zircon","지르콘"
"heroes.name.nomad_axe_adventurer","콜렌"
"heroes.name.nomad_female_archer","샤란"
"heroes.name.nomad_female_assassin","스칼렛"
"heroes.name.nomad_female_berserker","켈릴"
"heroes.name.nomad_female_captain","마르야나"
"heroes.name.nomad_female_lord","엘레나"
"heroes.name.nomad_female_shaman","호크문"
"heroes.name.nomad_female_swordmaster","아자르"
"heroes.name.nomad_female_thief","질"
"heroes.name.nomad_fighter","파리드"
"heroes.name.nomad_mage","자한기르"
"heroes.name.nomad_scout","투단"
"heroes.name.nomad_shaman","샤르코트"
"heroes.name.nordic_ancestral_warrior","그림"
"heroes.name.nordic_chained_werewolf","그레이메인"
"heroes.name.nordic_female_scout","시그룬"
"heroes.name.nordic_female_warrior","랑닐"
"heroes.name.nordic_ice_enchantress","이자르니아"
"heroes.name.nordic_mage","울머"
"heroes.name.nordic_male_lord","리처드"
"heroes.name.nordic_swordman","발렌"
"heroes.name.nordic_warrior","브랜드"
"heroes.name.orc_gladiator","볼드터스크"
"heroes.name.orc_skirmisher","주다크"
"heroes.name.orc_troopmaster","고르멕"
"heroes.name.orc_warrior","내쉬가르"
"heroes.name.oriental_brawler","베인"
"heroes.name.oriental_enchanted_monk","준"
"heroes.name.oriental_falconer","차오"
"heroes.name.oriental_falconer.falcon","차오의 팔콘"
"heroes.name.oriental_female_guard","다와"
"heroes.name.oriental_female_mage","카일라니"
"heroes.name.oriental_female_mystic","비비카"
"heroes.name.oriental_female_ninja","히카루"
"heroes.name.oriental_female_templar","리 시우"
"heroes.name.oriental_monkey_captain","오공"
"heroes.name.oriental_monkey_warrior","호우"
"heroes.name.oriental_panda_berserker","간 주"
"heroes.name.oriental_panda_scout","샤 지"
"heroes.name.oriental_panda_warrior","후 타오"
"heroes.name.oriental_squire","내쉬"
"heroes.name.oriental_warrior","켄지로"
"heroes.name.oriental_warrior_king","레오니다스"
"heroes.name.outlaw_chao_gai","조개"
"heroes.name.outlaw_gu_dasao","고대수"
"heroes.name.outlaw_hu_sanniang","호삼랑"
"heroes.name.outlaw_li_kui","이규"
"heroes.name.outlaw_lin_chong","임충"
"heroes.name.outlaw_liu_tang","유당"
"heroes.name.outlaw_lu_zhishen","노지심"
"heroes.name.outlaw_ruan_xiaoqi","완소칠"
"heroes.name.outlaw_shi_jin","사진"
"heroes.name.outlaw_song_jiang","송강"
"heroes.name.outlaw_sun_erniang","손이랑"
"heroes.name.outlaw_wu_song","무송"
"heroes.name.outlaw_wu_yong","오용"
"heroes.name.outlaw_xiang_chong","항충"
"heroes.name.outlaw_zheng_tianshou","정천수"
"heroes.name.owl_cennius","케니어스"
"heroes.name.owl_eron","에론"
"heroes.name.owl_featherino","피더리노"
"heroes.name.owl_fulvia","풀비아"
"heroes.name.owl_juliani","줄리아니"
"heroes.name.owl_livia","리비아"
"heroes.name.owl_lodius","로디우스"
"heroes.name.owl_mariol","마리올"
"heroes.name.owl_olbec","올벡"
"heroes.name.owl_ommodus","오모더스"
"heroes.name.owl_paeia","페이아"
"heroes.name.owl_pertinax","페르티낙스"
"heroes.name.owl_relius","렐리우스"
"heroes.name.owl_timius","티미우스"
"heroes.name.owl_verus","베루스"
"heroes.name.pirate_anne","앤"
"heroes.name.pirate_boatswain","블랙 시저"
"heroes.name.pirate_bonny","보니"
"heroes.name.pirate_cabin_boy","피터스"
"heroes.name.pirate_commodore_finley","핀리"
"heroes.name.pirate_dread_captain","사르가소"
"heroes.name.pirate_first_mate","부머"
"heroes.name.pirate_lady","레이디 로크"
"heroes.name.pirate_marie_therese","마리 테레즈"
"heroes.name.pirate_sally","샐리"
"heroes.name.pirate_swashbuckler","케스트렐 대위"
"heroes.name.pirate_vodnik","보드니크"
"heroes.name.rabbit_blue","마스터 레푸스"
"heroes.name.rabbit_green","잭 오 헤어"
"heroes.name.rabbit_red","견습기사 와빗"
"heroes.name.rider_hero_blue","훈련관 영웅"
"heroes.name.rider_hero_green","훈련관 영웅"
"heroes.name.rider_hero_purple","훈련관 영웅"
"heroes.name.rider_hero_red","훈련관 영웅"
"heroes.name.rider_hero_yellow","훈련관 영웅"
"heroes.name.royal_female_knight","소냐"
"heroes.name.royal_knight","군나르"
"heroes.name.royal_knight_commander","토르네"
"heroes.name.royal_knight_commander_tutorial","그레이"
"heroes.name.royal_pikeman","올라프"
"heroes.name.s2_ariel","에이리얼"
"heroes.name.s2_atlantean_robot","가데이루스"
"heroes.name.s2_chameleon_bruiser","머기"
"heroes.name.s2_chameleon_chief","고블러"
"heroes.name.s2_chameleon_mage","아그위"
"heroes.name.s2_crab_man","카르키노스"
"heroes.name.s2_croc_man","가토"
"heroes.name.s2_cursed_samurai","카게부라도"
"heroes.name.s2_demon_master","스미토모"
"heroes.name.s2_fiji_mermaid","길-라"
"heroes.name.s2_fox_girl","이나리"
"heroes.name.s2_ghost_woman","아메온나"
"heroes.name.s2_hammerhead_hulk","모카르"
"heroes.name.s2_junglehunter","타를락"
"heroes.name.s2_lantern_ghost","초친"
"heroes.name.s2_mercenary_woman","미산드라"
"heroes.name.s2_merman","므네세우스"
"heroes.name.s2_merwoman","멜리아"
"heroes.name.s2_noble_lady","미츠코"
"heroes.name.s2_oceanus","오케아누스"
"heroes.name.s2_poseidon","포세이돈"
"heroes.name.s2_proteus","프로테우스"
"heroes.name.s2_rugged_fisherman","윌버"
"heroes.name.s2_skyllaros","아토모스"
"heroes.name.s2_straw_demon","나마하게"
"heroes.name.s2_tanuki_raccoon","단자부로"
"heroes.name.s2_tethys","테티스"
"heroes.name.s2_triton","트리톤"
"heroes.name.s2_ursena","우르세나"
"heroes.name.s3_agnes","아그네스"
"heroes.name.s3_alfrike","알프리케"
"heroes.name.s3_almur","알무르"
"heroes.name.s3_anwindr","안-윈드르"
"heroes.name.s3_baldur","발두르"
"heroes.name.s3_bera","베라"
"heroes.name.s3_bjorn","비요른"
"heroes.name.s3_brynhild","브린힐드"
"heroes.name.s3_by_ulf","비-울프"
"heroes.name.s3_ei_dunn","에이-둔"
"heroes.name.s3_fenrir","펜리르"
"heroes.name.s3_freya","프레이야"
"heroes.name.s3_frigg","프리그"
"heroes.name.s3_fura","푸라"
"heroes.name.s3_gefjon","게피온"
"heroes.name.s3_grevle","그레블"
"heroes.name.s3_gullinbursti","굴린부르스티"
"heroes.name.s3_heimdall","헤임달"
"heroes.name.s3_jarvur","야르부르"
"heroes.name.s3_jott","요트"
"heroes.name.s3_kvasir","크바시르"
"heroes.name.s3_loki_female","레이디 로키"
"heroes.name.s3_loki_fish","연어 로키"
"heroes.name.s3_loki_male","군주 로키"
"heroes.name.s3_lord_loki_covenant","군주 로키"
"heroes.name.s3_mireweave","마이어위브"
"heroes.name.s3_mist","미스트"
"heroes.name.s3_nordri","노르드리"
"heroes.name.s3_norns","노른"
"heroes.name.s3_odin","오딘"
"heroes.name.s3_ratatoskr","라타토스커"
"heroes.name.s3_shadereave","쉐이드리브"
"heroes.name.s3_sif","시프"
"heroes.name.s3_skadi","스카디"
"heroes.name.s3_stonecleave","스톤클리브"
"heroes.name.s3_sudri","수드리"
"heroes.name.s3_sumle","서믈"
"heroes.name.s3_thor","토르"
"heroes.name.s3_tyr","티르"
"heroes.name.s4_akkorog","아코로그"
"heroes.name.s4_aouda","아우다"
"heroes.name.s4_captain_nemo","니모 선장"
"heroes.name.s4_congalach","콘갈라치"
"heroes.name.s4_doctor_moreau","닥터 모로"
"heroes.name.s4_elizabeth","엘리자베스"
"heroes.name.s4_exeera","엑세라"
"heroes.name.s4_garjammal","가르잠말"
"heroes.name.s4_gramps","그램프스"
"heroes.name.s4_griffin","그리핀"
"heroes.name.s4_hannah","한나"
"heroes.name.s4_helo","헬로"
"heroes.name.s4_hulda","헐다"
"heroes.name.s4_kravekrush","크라베크러쉬"
"heroes.name.s4_lepiota","레피오타"
"heroes.name.s4_lughaidh","루하이드"
"heroes.name.s4_mack","맥"
"heroes.name.s4_morel","모렐"
"heroes.name.s4_morris","모리스"
"heroes.name.s4_octros","옥트로스"
"heroes.name.s4_passepartout","파스파투"
"heroes.name.s4_phileas_fogg","필리어스 포그"
"heroes.name.s4_poppy","포피"
"heroes.name.s4_professor_lidenbrock","리덴브록 교수"
"heroes.name.s4_rokkamush","로카머쉬"
"heroes.name.s4_russula","루술라"
"heroes.name.s4_tettukh","테툭"
"heroes.name.s4_vollermork","볼러모크"
"heroes.name.s4_xenda","젠다"
"heroes.name.s4_xnolphod","크놀포드"
"heroes.name.s4_zekena","제케나"
"heroes.name.s4_zenobia","제노비아"
"heroes.name.s4_zila_lei","질라 레이"
"heroes.name.s5_ahhotep","아호텝"
"heroes.name.s5_ahmose","아흐모세"
"heroes.name.s5_anubis","아누비스"
"heroes.name.s5_aqeela","아킬라"
"heroes.name.s5_azmia","아즈미아"
"heroes.name.s5_bastet","바스테트"
"heroes.name.s5_bennu","베누"
"heroes.name.s5_cleopatra","클레오파트라"
"heroes.name.s5_el_naddaha","엘 나다하"
"heroes.name.s5_eset","에세트"
"heroes.name.s5_faiez","파예즈"
"heroes.name.s5_hathor","하토르"
"heroes.name.s5_hetepheres","헤테페레스"
"heroes.name.s5_horus","호루스"
"heroes.name.s5_jarif","자리프"
"heroes.name.s5_junaid","주네이드"
"heroes.name.s5_khafre","쿠푸"
"heroes.name.s5_khepri","케프리"
"heroes.name.s5_khonshu","콘슈"
"heroes.name.s5_maat","마앗"
"heroes.name.s5_meresankh","마레산크"
"heroes.name.s5_papyros","파피로스"
"heroes.name.s5_ptolemy","프톨레미"
"heroes.name.s5_rekhetre","레케트레"
"heroes.name.s5_scoratek","스코라텍"
"heroes.name.s5_sekhmet","세크메트"
"heroes.name.s5_set","세스"
"heroes.name.s5_sneferu","스네페루"
"heroes.name.s5_sobek","소베크"
"heroes.name.s5_tetisheri","테티셰리"
"heroes.name.s5_waqas","와콰스"
"heroes.name.sand_horse","히산"
"heroes.name.sand_king","유난"
"heroes.name.sand_queen","라나"
"heroes.name.sand_roc","로크"
"heroes.name.sand_soldier","아만"
"heroes.name.sand_tower","자바르"
"heroes.name.sand_vizier","가파르"
"heroes.name.scoundrel_duval","듀발"
"heroes.name.scoundrel_lane","레인"
"heroes.name.shadow_abigail","아비게일"
"heroes.name.shadow_asketel","아스케텔"
"heroes.name.shadow_atwood","앳우드"
"heroes.name.shadow_burton","버톤"
"heroes.name.shadow_cthuwu","크투우"
"heroes.name.shadow_dolores","돌로레스"
"heroes.name.shadow_gwendoline","그웬돌린"
"heroes.name.shadow_hunter","헌터"
"heroes.name.shadow_hysteria","히스테리아"
"heroes.name.shadow_melancholia","멜랑콜리아"
"heroes.name.shadow_omen","오멘"
"heroes.name.shadow_penelope","페넬로페"
"heroes.name.shadow_rashan","라샨"
"heroes.name.shadow_rosanna","로잔나"
"heroes.name.shadow_salvatore","살바토레"
"heroes.name.shadow_shoggo","쇼고"
"heroes.name.shadow_wulfstan","울프스탄"
"heroes.name.shadow_zavinia","자비니아"
"heroes.name.slayer_aodhan","에이안"
"heroes.name.slayer_caitlin","케이틀린"
"heroes.name.slayer_cathal","카할"
"heroes.name.slayer_cillian","킬리언"
"heroes.name.slayer_maeve","메이브"
"heroes.name.slayer_noril","노릴"
"heroes.name.slayer_orla","올라"
"heroes.name.slayer_rian","리안"
"heroes.name.slayer_saoirse","세어셔"
"heroes.name.slayer_senan","샤난"
"heroes.name.slime","슬라임"
"heroes.name.slime_achillea","아킬레아"
"heroes.name.slime_boboosang","부두 상"
"heroes.name.slime_bulklug","벌크러그"
"heroes.name.slime_charmione","차미오네"
"heroes.name.slime_chingiriko","칭기리코"
"heroes.name.slime_choozen","추즌"
"heroes.name.slime_fruitio","프루티오"
"heroes.name.slime_fungustine","펀거스틴"
"heroes.name.slime_gloozmer","글루즈머"
"heroes.name.slime_goldrip","골드립"
"heroes.name.slime_gooldron","굴드론"
"heroes.name.slime_goorian","구리안"
"heroes.name.slime_gooric","구릭"
"heroes.name.slime_gooze","구즈"
"heroes.name.slime_gunktus","궁투스"
"heroes.name.slime_harubo","하루보"
"heroes.name.slime_justico","저스티코"
"heroes.name.slime_knightus","나이터스"
"heroes.name.slime_labblub","라블럽"
"heroes.name.slime_magistine","매기스틴"
"heroes.name.slime_mucktus","머크터스"
"heroes.name.slime_slaymire","슬레이마이어"
"heroes.name.slime_slimgo","슬라임고"
"heroes.name.slime_sliposi","슬리포시"
"heroes.name.slime_sludgus","슬러거스"
"heroes.name.slime_verdigoo","버디구"
"heroes.name.slime_zestique","제스티크"
"heroes.name.styx_amphitrite","암피트리테"
"heroes.name.styx_arges","아르게스"
"heroes.name.styx_brontes","브론테스"
"heroes.name.styx_charon","카론"
"heroes.name.styx_dante","단테"
"heroes.name.styx_erebus","에레보스"
"heroes.name.styx_hypnos","히프노스"
"heroes.name.styx_nemesis","네메시스"
"heroes.name.styx_nyx","닉스"
"heroes.name.styx_steropes","스테로페스"
"heroes.name.styx_thanatos","타나토스"
"heroes.name.styx_virgil","버질"
"heroes.name.tales1_aqualith","아쿠아리스"
"heroes.name.tales1_atlanteia","아틀란테이아"
"heroes.name.tales1_bagreg","배그레그"
"heroes.name.tales1_ceto","세토"
"heroes.name.tales1_domiventus","도미벤투스"
"heroes.name.tales1_ephyra","에피라"
"heroes.name.tales1_galapago","갈라파고"
"heroes.name.tales1_gelert","갤러트"
"heroes.name.tales1_gestalt","게슈탈트"
"heroes.name.tales1_jaco","자코"
"heroes.name.tales1_lasalle","라살"
"heroes.name.tales1_medea","메데아"
"heroes.name.tales1_mulgog","멀고그"
"heroes.name.tales1_persa","페르세"
"heroes.name.tales1_phorcys","포르시스"
"heroes.name.tales1_sharkhai","샤카이"
"heroes.name.tales1_spartoi","스파르토이"
"heroes.name.tales1_thalassa","탈라사"
"heroes.name.tales1_ultrox","울트록스"
"heroes.name.tales2_aethslegaur","아에스레고르"
"heroes.name.tales2_andvari","안드바리"
"heroes.name.tales2_bragi","브래기"
"heroes.name.tales2_bryggvir","브릭비어"
"heroes.name.tales2_dagr","다그르"
"heroes.name.tales2_dain","데인"
"heroes.name.tales2_dularfulr","드라퓰라"
"heroes.name.tales2_fafnir","파프니르"
"heroes.name.tales2_fimafeng","피마펭"
"heroes.name.tales2_fjalar","피알라"
"heroes.name.tales2_gandr","간드르"
"heroes.name.tales2_helgi","헬기"
"heroes.name.tales2_hogne","회그네"
"heroes.name.tales2_hreidmarr","헤이드마르"
"heroes.name.tales2_motsognir","모소그니르"
"heroes.name.tales2_ott","오트"
"heroes.name.tales2_regin","레긴"
"heroes.name.tales2_snorri","스노리"
"heroes.name.tales2_svafa","스바파"
"heroes.name.tales2_thrivaldi","트리발디"
"heroes.name.titan_hunter_adelitza","아델리차"
"heroes.name.titan_hunter_borgholf","보르골프"
"heroes.name.titan_hunter_lumi_and_taiga","루미와 타이가"
"heroes.name.trainer","훈련관 영웅"
"heroes.name.trainer_rainbow","수석 훈련관"
"heroes.name.tribal_chief","카간"
"heroes.name.undead_captain_warrior","사이프리언"
"heroes.name.undead_female_warrior","사비나"
"heroes.name.undead_horned_skeleton","오베론"
"heroes.name.undead_running_skeleton","타이럼"
"heroes.name.undead_screaming_zombie","실서스"
"heroes.name.underworld_champion","오바칸"
"heroes.name.valentines_anteros","안테로스"
"heroes.name.valentines_cupido","큐피도"
"heroes.name.valentines_elba","엘바"
"heroes.name.valentines_eros","에로스"
"heroes.name.valentines_himeros","히메로스"
"heroes.name.valentines_kabeiroi","카베이로이"
"heroes.name.valentines_lempi","렘피"
"heroes.name.valentines_matchmaker_dodgrom","도그롬"
"heroes.name.valentines_phthonus","프토노스"
"heroes.name.valentines_vernon","버논"
"heroes.name.valentines_voluptas","볼룹타스"
"heroes.name.valentines_zarola","자로라"
"heroes.name.vampire_king","빅터"
"heroes.name.vampire_lord","블라드"
"heroes.name.vampire_queen","발레리아"
"heroes.name.vegetable_bartholomew","바르톨로뮤"
"heroes.name.vegetable_elsbeth","엘스베스"
"heroes.name.villain_asterius","아스테리우스"
"heroes.name.villain_crystalis","크리스탈리스"
"heroes.name.villain_dark_lord","암흑 군주"
"heroes.name.villain_edd","에드"
"heroes.name.villain_ingolf","인골프"
"heroes.name.villain_isrod","이스로드"
"heroes.name.villain_karnov","카르노프"
"heroes.name.villain_sanngrior","산그리오르"
"heroes.name.villain_skrekok","스크레콕"
"heroes.name.villain_toxicandra","톡시칸드라"
"heroes.name.wild_cat_catalina","카탈리나"
"heroes.name.wild_cat_ferni","페르니"
"heroes.name.wild_cat_gitnib","깃닙"
"heroes.name.wild_cat_imagus","이마구스"
"heroes.name.wild_cat_lennart","레나트"
"heroes.name.wild_cat_leonie","레오니"
"heroes.name.wild_cat_marnes","마르네스"
"heroes.name.wild_cat_rajesh","라제쉬"
"heroes.name.wild_cat_rawn","라운"
"heroes.name.wild_cat_savann","사반"
"heroes.name.wild_cat_sharalen","샤랄렌"
"heroes.name.wild_cat_stravia","스트라비아"
"heroes.name.wild_cat_thaffer","타페르"
"heroes.name.wild_cat_tunes","튠스"
"heroes.name.wild_cat_vernix","베르닉스"
"heroes.name.witch_king","토드-아문"
"heroes.name.wonderland_alice","앨리스"
"heroes.name.wonderland_bear","슈러베어"
"heroes.name.wonderland_captain","다이아몬드 캡틴"
"heroes.name.wonderland_cheshire_cat","체셔캣"
"heroes.name.wonderland_duchess","공작부인"
"heroes.name.wonderland_hatter","해터"
"heroes.name.wonderland_jabberwocky","재버워크"
"heroes.name.wonderland_king_of_hearts","킹 오브 하트"
"heroes.name.wonderland_knave_of_hearts","진정한 거짓말쟁이"
"heroes.name.wonderland_phoenicus","피니커스"
"heroes.name.wonderland_queen","하트 퀸"
"heroes.name.wonderland_tweedles","트위들스"
"heroes.name.wonderland_white_rabbit","흰 토끼"
"heroes.name.zombie","좀비"
