"heroes.name_fancy.astral_cosmicspeaker","Astronomka astralnych elfów"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Matuzalka cierni"
"heroes.name_fancy.exalted_warrior","Matuzal lodu"
"heroes.name_fancy.exalted_warrior_costume_cute","Kreskówky lód"
"heroes.name_fancy.exalted_warrior_costume_glass","Lodowy witraż"
"heroes.name_fancy.exalted_warrior_costume_ice","Monolit z lodu"
"heroes.name_fancy.exalted_warrior_costume_stylish","Stylowy starożytny lodu"
"heroes.name_fancy.exalted_warrior_costume_underworld","Matuzal Podziemia"
"heroes.name_fancy.fables_boss_wolf","Zarządca Ciemnolasu"
"heroes.name_fancy.fables_cinderella","Służąca Ciemnolasu"
"heroes.name_fancy.fables_frog_prince","Dziedzic tronu"
"heroes.name_fancy.fables_gnomer","Stróż z Ciemnolasu"
"heroes.name_fancy.fables_gretel","Pogromca czarownic z Ciemnolasu"
"heroes.name_fancy.fables_hansel","Łowca Czarownic z Ciemnolasu"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Łowca Wampirów z Ciemnolasu"
"heroes.name_fancy.fables_pixie","Duszka z Ciemnolasu"
"heroes.name_fancy.fables_puss_in_boots","Kot z Ciemnolasu"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Zamaskowany koci rozbójnik"
"heroes.name_fancy.fables_red_hood","Strażnik Ciemnolasu"
"heroes.name_fancy.fables_rumpelstiltskin","Błazen z Ciemnolasu"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Wieczny psotnik"
"heroes.name_fancy.fables_snow_white","Księżniczka z Ciemnolasu"
"heroes.name_fancy.fables_snow_white_costume_slayer","Zabójcza Śnieżka"
"heroes.name_fancy.faun_araminta","Przerażający wojownik faunów"
"heroes.name_fancy.faun_ascian","Wszechwidzący wróżbita faunów"
"heroes.name_fancy.faun_bramble","Łagodny ogrodnik faunów"
"heroes.name_fancy.faun_gideon","Dzielny dowódca faunów"
"heroes.name_fancy.faun_isidore","Charyzmatyczny czempion faunów"
"heroes.name_fancy.faun_jolyon","Troskliwy majsterkowicz faunów"
"heroes.name_fancy.faun_maud","Ambitna alchemiczka faunów"
"heroes.name_fancy.faun_myrtle","Udręczona zielarka faunów"
"heroes.name_fancy.faun_peregrine","Lekkomyślny zwiadowca faunów"
"heroes.name_fancy.faun_philomena","Hipnotyzująca pieśniarka faunów"
"heroes.name_fancy.faun_saskia","Zwinna tancerka faunów"
"heroes.name_fancy.faun_tamlin","Upiorny flecista faunów"
"heroes.name_fancy.faun_verity","Tajemnicza handlarka faunów"
"heroes.name_fancy.faun_yolanda","Krwista wieszczka faunów"
"heroes.name_fancy.faun_ysabel","Nieustraszony gladiator faunów"
"heroes.name_fancy.fire_god_andre","Zdradzony templariusz"
"heroes.name_fancy.fire_god_anzogh","Szaman z zadrą"
"heroes.name_fancy.fire_god_ares","Bóg wojny"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Kluczniczka zagłady"
"heroes.name_fancy.fire_god_doom","Zakrwawiony druid"
"heroes.name_fancy.fire_god_doom_costume_avenger","Ognisty mściciel"
"heroes.name_fancy.fire_god_eliane","Starsza czerwona magini"
"heroes.name_fancy.fire_god_jean_francois","Mag muszkieter"
"heroes.name_fancy.fire_god_maple","Wróżka z Kasztanowego Lasu"
"heroes.name_fancy.fire_god_nadnog","Zacięty uzdrowiciel"
"heroes.name_fancy.fire_god_natalya","Ognista czarodziejka"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Ognista szwaczka"
"heroes.name_fancy.fire_god_neema","Czarnoksiężnik ognia"
"heroes.name_fancy.fire_god_noor","Zaklinacz wróbli"
"heroes.name_fancy.fire_god_reuben","Zaprzysięgły okultysta"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Nierozłączna drużyna"
"heroes.name_fancy.fire_god_russell","Rozwścieczony piromanta"
"heroes.name_fancy.fire_god_skargremar","Śmiały ariergardzista"
"heroes.name_fancy.fire_god_tahir","Nomadzki łowca"
"heroes.name_fancy.fire_god_yang_mai","Pięść Słońca"
"heroes.name_fancy.fire_god_zagrog","Samotny łotrzyk"
"heroes.name_fancy.fire_god_zarga","Szybkie ostrze"
"heroes.name_fancy.fire_god_zidane","Czarujący kaper"
"heroes.name_fancy.fire_god_zimkitha","Zaginiona córka"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Zaginiona podróżniczka"
"heroes.name_fancy.fleur_elyzabel","Sangwiniczna hrabina"
"heroes.name_fancy.fleur_eumachius","Sangwiniczny potomek"
"heroes.name_fancy.fleur_guillemette","Sangwiniczna krzyżowczyni"
"heroes.name_fancy.fleur_lavinia","Sangwiniczna śniąca"
"heroes.name_fancy.fleur_ludovico","Sangwiniczny namiestnik"
"heroes.name_fancy.fleur_talesie","Sangwiniczny zabójca"
"heroes.name_fancy.forest_archer","Wprawny łucznik"
"heroes.name_fancy.forest_archer_costume_cute","Kreskówkowy łucznik"
"heroes.name_fancy.forest_archer_costume_glass","Szklany łucznik"
"heroes.name_fancy.forest_archer_costume_warrior","Zręczny łucznik"
"heroes.name_fancy.forest_female_druid","Druidka z Gniewnylasu"
"heroes.name_fancy.forest_female_druid_costume_cute","Kreskówkowy Gniewny Las"
"heroes.name_fancy.forest_female_druid_costume_glass","Witraż z Gniewnego Lasu"
"heroes.name_fancy.forest_female_druid_costume_native","Szaman z Concordii"
"heroes.name_fancy.forest_female_druid_costume_stylish","Stylowy druid"
"heroes.name_fancy.forest_female_elf","Tarczmistrzyni z Księżyblasku"
"heroes.name_fancy.forest_female_elf_costume_cute","Kreskówkowa tarczmistrzyni"
"heroes.name_fancy.forest_female_elf_costume_fairy","Księżycowa wróżka"
"heroes.name_fancy.forest_female_elf_costume_glass","Szklana tarczmistrzyni"
"heroes.name_fancy.forest_female_elf_costume_mage","Kapłanka z Księżyblasku"
"heroes.name_fancy.forest_female_illusionist","Zaklinaczka roślin"
"heroes.name_fancy.forest_female_spirit","Dobra duszka"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Duch zagajnika"
"heroes.name_fancy.forest_female_spirit_costume_cute","Kreskówkowy duch"
"heroes.name_fancy.forest_female_spirit_costume_glass","Szklana dusza"
"heroes.name_fancy.forest_female_spirit_costume_stylish","Stylowy duch"
"heroes.name_fancy.forest_female_warrior","Wioskowa dziewka"
"heroes.name_fancy.forest_friar","Jowialny braciszek"
"heroes.name_fancy.forest_friar_costume_cute","Jowialny kreskówkowy"
"heroes.name_fancy.forest_friar_costume_explorer","Jowialny eksplorator"
"heroes.name_fancy.forest_friar_costume_glass","Jowialny witraż"
"heroes.name_fancy.forest_god_elinor","Łowca skarbów"
"heroes.name_fancy.forest_god_elradir","Dziki czarownik z Księżycowych Lasów"
"heroes.name_fancy.forest_god_evelyn","Dzielna dziedziczka"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Odważna łowczyni"
"heroes.name_fancy.forest_god_grace","Centaurka z Zagajnika"
"heroes.name_fancy.forest_god_gregorion","Adept łucznictwa"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Samotny alchemik"
"heroes.name_fancy.forest_god_kingston","Szlachetny skrytobójca"
"heroes.name_fancy.forest_god_oberon","Czempion seelie"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Dębowy rycerz"
"heroes.name_fancy.forest_god_telluria","Bóg lasu"
"heroes.name_fancy.forest_god_zeline","Bogini natury"
"heroes.name_fancy.forest_god_zeline_costume_avian","Ptasia bogini"
"heroes.name_fancy.forest_god_zocc","Klucznik"
"heroes.name_fancy.forest_mage","Leśny mędrzec"
"heroes.name_fancy.forest_mage_costume_cute","Kreskówkowy czarodziej"
"heroes.name_fancy.forest_mage_costume_glass","Leśny witraż"
"heroes.name_fancy.forest_mage_costume_party","Imprezowy czarodziej"
"heroes.name_fancy.forest_mage_costume_stylish","Stylowa czarnoksiężnik"
"heroes.name_fancy.forest_mage_costume_white","Potężny czarnoksiężnik"
"heroes.name_fancy.forest_male_elf","Włóczmistrz z Księżyblasku"
"heroes.name_fancy.forest_male_elf_costume_cute","Kreskówkowy włócznik"
"heroes.name_fancy.forest_male_elf_costume_dark","Księżycowy zdobywca"
"heroes.name_fancy.forest_male_elf_costume_glass","Szklany włócznik"
"heroes.name_fancy.forest_male_elf_costume_king","Księżycowy król"
"heroes.name_fancy.forest_male_elf_costume_stylish","Stylowy włócznik"
"heroes.name_fancy.forest_thug","Najemny bandyta"
"heroes.name_fancy.forest_titan","Matuzal lasu"
"heroes.name_fancy.forest_titan_costume_cute","Leśny kreskówkowy"
"heroes.name_fancy.forest_titan_costume_glass","Leśny witraż"
"heroes.name_fancy.forest_titan_costume_jester","Drewniany błazen"
"heroes.name_fancy.forest_titan_costume_nightmare","Koszmar z lasu"
"heroes.name_fancy.forest_woodsman","Prosty drwal"
"heroes.name_fancy.forest_woodsman_warrior","Silny brat"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Brat kamuflażu"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Potężny kreskówkowy"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Potężny witraż"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Mocarny góral"
"heroes.name_fancy.forsaken_amarosa","Cesarzowa z innej krainy"
"heroes.name_fancy.forsaken_cassilda","Oszalała arcykapłanka"
"heroes.name_fancy.forsaken_demhalar","Dziwny mieszkaniec"
"heroes.name_fancy.forsaken_inanis","Nieujarzmiona"
"heroes.name_fancy.forsaken_jax","Prześladujący chuligan"
"heroes.name_fancy.forsaken_kadath","Przeklęty duchowny"
"heroes.name_fancy.forsaken_khatrox","Skażony osiłek"
"heroes.name_fancy.forsaken_lamentia","Służebnica Otchłani"
"heroes.name_fancy.fortune_bai_yan","Lwi bębniarz"
"heroes.name_fancy.fortune_dragon_kids","Następne pokolenie smoczych tancerzy"
"heroes.name_fancy.fortune_ling_long","Młodszy smoczy tancerz"
"heroes.name_fancy.fortune_wei_qi","Śnieżny lewi tancerz"
"heroes.name_fancy.fortune_yan_qing","Smoczy tancerz latarni"
"heroes.name_fancy.fox_ashen","Srebrnogrzbiety lis"
"heroes.name_fancy.fox_ember","Lisi zaklinacz ognia"
"heroes.name_fancy.fox_foxglove","Chytry lis o nietoperzych uszach"
"heroes.name_fancy.fox_foxley","Lis wyjęty spod prawa"
"heroes.name_fancy.fox_halcyon","Szary lis strażnik"
"heroes.name_fancy.fox_nettletail","Życzliwy lis opiekun zagajnika"
"heroes.name_fancy.fox_nibbles","Głodny lis długouchy"
"heroes.name_fancy.fox_riverfang","Stepowy lis zaklinacz"
"heroes.name_fancy.fox_rust","Czerwony lisi strażnik"
"heroes.name_fancy.fox_sable","Zaginiona lisia księżniczka"
"heroes.name_fancy.fox_shadowfang","Piaskowy lisi kolekcjoner kości"
"heroes.name_fancy.fox_silverpaw","Fenek pirat"
"heroes.name_fancy.fox_spiff","Królewski lisi rycerz"
"heroes.name_fancy.fox_swiftpaw","Srebrny lisi zabójca"
"heroes.name_fancy.fox_whitefang","Arktyczny lisi strażnik lasu"
"heroes.name_fancy.gargoyle_arco","Stanowczy gargulec"
"heroes.name_fancy.gargoyle_bellerive","Nikczemny gargulec"
"heroes.name_fancy.gargoyle_betty","Zwinny gargulec"
"heroes.name_fancy.gargoyle_budatin","Bezwzględny gargulec"
"heroes.name_fancy.gargoyle_el_duque","Egzaltowany gargulec"
"heroes.name_fancy.gargoyle_gaillard","Bystry gargulec"
"heroes.name_fancy.gargoyle_garten","Gargulec imprezowicz"
"heroes.name_fancy.gargoyle_goseck","Podstępny gargulec"
"heroes.name_fancy.gargoyle_grumbl","Roztropny gargulec"
"heroes.name_fancy.gargoyle_guffa","Stoicki gargulec"
"heroes.name_fancy.gargoyle_hilda","Nieustraszony gargulec"
"heroes.name_fancy.gargoyle_hohenwerf","Dziki gargulec"
"heroes.name_fancy.gargoyle_kalo","Nieprzewidywalny gargulec"
"heroes.name_fancy.gargoyle_kemeny","Zahartowany gargulec"
"heroes.name_fancy.gargoyle_matrera","Mroczny gargulec"
"heroes.name_fancy.gargoyle_mena","Pedantyczny gargulec"
"heroes.name_fancy.gargoyle_penolite","Nieustępliwy gargulec"
"heroes.name_fancy.gargoyle_pophit","Gargulec wirtuoz"
"heroes.name_fancy.gargoyle_soroca","Wściekły gargulec"
"heroes.name_fancy.gargoyle_uwe","Puszysty gargulec"
"heroes.name_fancy.gargoyle_vincent","Przerażony gargulec"
"heroes.name_fancy.gargoyle_vonreine","Ognisty gargulec"
"heroes.name_fancy.garrison_archibald","Niepokojący kwatermistrz"
"heroes.name_fancy.garrison_beatrice","Sierżantka kwatermistrzyni"
"heroes.name_fancy.garrison_caelen","Zadumany poeta"
"heroes.name_fancy.garrison_ciara","Rygorystyczna dowódczyni"
"heroes.name_fancy.garrison_dima","Mistrz świń"
"heroes.name_fancy.garrison_fergus","Opanowany Konstabl"
"heroes.name_fancy.garrison_flamehide","Hazardzista jaszczurów"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Cwany sierżant"
"heroes.name_fancy.garrison_frostsnout","Chorąży jaszczurów"
"heroes.name_fancy.garrison_godfrey","Rozmowny strażnik"
"heroes.name_fancy.garrison_greg","Mistrz grogu"
"heroes.name_fancy.garrison_iarlaith","Stylowy szermierz"
"heroes.name_fancy.garrison_iocantha","Zbrojmistrzyni"
"heroes.name_fancy.garrison_kolya","Stoicki Strażnik"
"heroes.name_fancy.garrison_maisie","Wesoła murarka"
"heroes.name_fancy.garrison_pip","Nerwowy posłaniec"
"heroes.name_fancy.garrison_rosalind","Kapitalna Kapitanka"
"heroes.name_fancy.garrison_shimmerscale","Latarniczka jaszczurów"
"heroes.name_fancy.garrison_theodosius","Dzielny kapral"
"heroes.name_fancy.garrison_vanya","Niezłomny saper"
"heroes.name_fancy.garrison_violet_potts","Nieposiadający się ze szczęścia niziołek"
"heroes.name_fancy.garrison_william","Nerwowy nocny strażnik"
"heroes.name_fancy.goblin_acidfire","Goblin nekromanta"
"heroes.name_fancy.goblin_archer","Zwinny łowca"
"heroes.name_fancy.goblin_boom_and_fang","Lekkomyślny duet"
"heroes.name_fancy.goblin_boots","Nieuważny strażnik"
"heroes.name_fancy.goblin_darkfeather","Początkujący orli trener"
"heroes.name_fancy.goblin_deadboot","Gobliński kultysta"
"heroes.name_fancy.goblin_fighter","Rzezimieszek"
"heroes.name_fancy.goblin_fighter_costume_cute","Kreskówkowy rzezimieszek"
"heroes.name_fancy.goblin_fighter_costume_evil","Rzezimieszek"
"heroes.name_fancy.goblin_fighter_costume_glass","Szklany rzezimieszek"
"heroes.name_fancy.goblin_fizzcoil","Skrzypek trupy goblinów"
"heroes.name_fancy.goblin_goldie","Goblińska piękność"
"heroes.name_fancy.goblin_grimsteel","Pustelnik z Mroźnej Góry"
"heroes.name_fancy.goblin_kettle","Kuchenny alchemik"
"heroes.name_fancy.goblin_leafwizzle","Zaklinacz bestii"
"heroes.name_fancy.goblin_madhammer","Goblińska awanturniczka"
"heroes.name_fancy.goblin_mage","Szaman z bagien"
"heroes.name_fancy.goblin_mage_costume_candy","Lukrowana Wiedźma"
"heroes.name_fancy.goblin_mage_costume_cute","Kreskówkowa wiedźma"
"heroes.name_fancy.goblin_mage_costume_glass","Szklana wiedźma"
"heroes.name_fancy.goblin_mage_costume_stylish","Stylowa wiedźma"
"heroes.name_fancy.goblin_mage_costume_toad","Ropuchowa wiedźma"
"heroes.name_fancy.goblin_pepperflame","Sławna flecistka goblinów"
"heroes.name_fancy.goblin_ratgrub","Miłujący szczury szambelan"
"heroes.name_fancy.goblin_rocket","Ekspert od wyburzeń"
"heroes.name_fancy.goblin_scrollbeast","Emerytowany jeździec dzików"
"heroes.name_fancy.goblin_smarttongue","Gobliński bard"
"heroes.name_fancy.goblin_soursting","Arogancki goblin zabójca"
"heroes.name_fancy.guardian_bat","Koszmar z Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Wojownik z Teltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Wściekła pantera"
"heroes.name_fancy.guardian_chameleon","Elementalistka z Teltoc"
"heroes.name_fancy.guardian_elephant","Strzała prawdy Teltoca"
"heroes.name_fancy.guardian_falcon_priest","Kapłan z Teltoc"
"heroes.name_fancy.guardian_gazelle","Druidka z Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Zwinna Napastniczka z Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain","Wódz z Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Niezwyciężony Kong"
"heroes.name_fancy.guardian_hippo","Brutal z Teltoc"
"heroes.name_fancy.guardian_jackal_assassin","Zabójca z Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Kolekcjoner Kości z Teltoc"
"heroes.name_fancy.guardian_lemur","Uzdrowiciel z Teltoc"
"heroes.name_fancy.guardian_owl_gentleman","Elitarny strażnik z Teltoc"
"heroes.name_fancy.halloween_alucard","Wampirzy potomek"
"heroes.name_fancy.halloween_alucard_costume_mafia","Mafiozo wampirów"
"heroes.name_fancy.halloween_amber","Wampirza wojowniczka krwi"
"heroes.name_fancy.halloween_ana_belle","Posługaczka Morlovii"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Baronessa pyłu"
"heroes.name_fancy.halloween_chester","Nieprzyjazny duch"
"heroes.name_fancy.halloween_edwin","Cwany kamerdyner"
"heroes.name_fancy.halloween_edwin_costume_mafia","Zdradziecki kamerdyner"
"heroes.name_fancy.halloween_francine","Potworzyca"
"heroes.name_fancy.halloween_francine_costume_mafia","Kobieta mafii"
"heroes.name_fancy.halloween_frank","Potwór"
"heroes.name_fancy.halloween_frank_costume_mafia","Gangster"
"heroes.name_fancy.halloween_goopy","Żelatynowa maź"
"heroes.name_fancy.halloween_hortensia","Opiekun muchołówek"
"heroes.name_fancy.halloween_jack","Dyniowy Minstrel"
"heroes.name_fancy.halloween_lucinda","Dzierżycielka Excalimiotły"
"heroes.name_fancy.halloween_matilda","Nieuświęcony cukiernik"
"heroes.name_fancy.halloween_miriam_and_midnight","Okultystyczny duet"
"heroes.name_fancy.halloween_vanda","Królowa Wampirów"
"heroes.name_fancy.halloween_vanda_costume_mafia","Królowa zbrodni"
"heroes.name_fancy.halloween_wayne","Wielki mag z Morlovii"
"heroes.name_fancy.hidden_dark_god_myztero","Czarodziejska enigma"
"heroes.name_fancy.holy_god_aurox","Świetlisty berserker"
"heroes.name_fancy.holy_god_aviana","Sokoli dowódca"
"heroes.name_fancy.holy_god_bai_yeong","Tańczący z ostrzami"
"heroes.name_fancy.holy_god_celidana","Przywódca świętego kleru"
"heroes.name_fancy.holy_god_delilah","Bohaterka Zakazanej Wyspy"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Strażniczka świątyni bogów"
"heroes.name_fancy.holy_god_devana","Nieustępliwa łowczyni"
"heroes.name_fancy.holy_god_drake_lee","Mistrz sztuk walki"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Niewzruszony wojownik"
"heroes.name_fancy.holy_god_faeona","Elfi biały mag"
"heroes.name_fancy.holy_god_gilda","Krasnoludzka przewodniczka światła"
"heroes.name_fancy.holy_god_gilligan","Donkiszotowski poszukiwacz przygód"
"heroes.name_fancy.holy_god_hanitra","Lemurska bogini"
"heroes.name_fancy.holy_god_ithar","Prawy kot włamywacz"
"heroes.name_fancy.holy_god_kara","Uświęcony Obrońca"
"heroes.name_fancy.holy_god_malosi","Panujący czempion"
"heroes.name_fancy.holy_god_may","Błoga zbieraczka"
"heroes.name_fancy.holy_god_musashi","Niepokonany ronin"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Mistrz ucieczki"
"heroes.name_fancy.holy_god_neith","Władczyni Dróg"
"heroes.name_fancy.holy_god_onatel","Ślepa jasnowidzka"
"heroes.name_fancy.holy_god_ranvir","Święty centaur"
"heroes.name_fancy.holy_god_uraeus","Nieprzenikniony wezyr"
"heroes.name_fancy.holy_god_zora","Rycerz Róży"
"heroes.name_fancy.ice_god_alexandrine","Obrończyni sprawiedliwości"
"heroes.name_fancy.ice_god_areax","Pół-koń mag lodu"
"heroes.name_fancy.ice_god_athena","Bogini lodu"
"heroes.name_fancy.ice_god_athena_costume_cute","Niebiańska kreskówkowa lodu"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Bogini wojny"
"heroes.name_fancy.ice_god_balur","Dziki gladiator"
"heroes.name_fancy.ice_god_callum","Nieustępliwy tropiciel"
"heroes.name_fancy.ice_god_claeg","Przeklęty uzdrowiciel"
"heroes.name_fancy.ice_god_dvalin","Dzierżyciel mrozu"
"heroes.name_fancy.ice_god_eskimo","Łowczyni lodowych gigantów"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Lodowy czempion"
"heroes.name_fancy.ice_god_frida","Arktyczna zagłada"
"heroes.name_fancy.ice_god_frosth","Zwiastun zimy"
"heroes.name_fancy.ice_god_glenda","Tajemnicza matka chrzestna"
"heroes.name_fancy.ice_god_iris","Mistrzyni antymagii"
"heroes.name_fancy.ice_god_klaern","Czarodziej szadzi"
"heroes.name_fancy.ice_god_mene","Nocna królowa wróżek"
"heroes.name_fancy.ice_god_miki","Pogromca oszronionych bestii"
"heroes.name_fancy.ice_god_nerasis","Cicha śmierć"
"heroes.name_fancy.ice_god_october","Zamrożony góral"
"heroes.name_fancy.ice_god_october_costume_farmer","Zamrożony farmer"
"heroes.name_fancy.ice_god_perseus","Syn Zeusa"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Pretendent z Boreasu"
"heroes.name_fancy.ice_god_raffaele","Spokojne medium"
"heroes.name_fancy.ice_god_sini","Azurowy zaklinacz"
"heroes.name_fancy.ice_god_suzuna","Modna Czarodziejka"
"heroes.name_fancy.ice_god_vela","Zaklinacz wody"
"heroes.name_fancy.institute_azureus","Eterowy strateg"
"heroes.name_fancy.institute_ellery","Nieprzewidywalna biolożka"
"heroes.name_fancy.institute_emilie","Odkrywczyni granicznego świata"
"heroes.name_fancy.institute_piper","Dociekliwa najemniczka"
"heroes.name_fancy.institute_professor_ambrose","Dyrektor instytutu"
"heroes.name_fancy.institute_professor_morryster","Zamaskowany sawant"
"heroes.name_fancy.institute_ryleh","Asystentka archiwisty"
"heroes.name_fancy.institute_wilcox","Odważny fizyk"
"heroes.name_fancy.institute_zenas","Ekspert mineralog"
"heroes.name_fancy.journey_change","Wybrańczyni światła księżyca"
"heroes.name_fancy.journey_erlang_shen","Wojowniczy bóg niebios"
"heroes.name_fancy.journey_general_yin","Zmiennokształtny herszt demonów"
"heroes.name_fancy.journey_heifeng_guai","Czarnoskrzydły demon"
"heroes.name_fancy.journey_nineheaded_beast","Książę małżonek o dziewięciu głowach"
"heroes.name_fancy.journey_queen_guowang","Niezrównana piękność"
"heroes.name_fancy.journey_sha_wujing","Piaskowy mnich"
"heroes.name_fancy.journey_tang_sanzang","Wielka Tajemnica Rzeki"
"heroes.name_fancy.journey_xie_zi_jing","Skorpionia demonica"
"heroes.name_fancy.journey_xiong_shanjun","Niedźwiedzi władca gór"
"heroes.name_fancy.journey_xiwangmu","Królowa matka"
"heroes.name_fancy.kalevala_aino","Dziewica lata"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Pani jeziora"
"heroes.name_fancy.kalevala_iku_turso","Bestia z głębin"
"heroes.name_fancy.kalevala_ilmarinen","Ekspert kowalstwa"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Wprawny rzemieślnik"
"heroes.name_fancy.kalevala_joukahainen","Zapalczywy łowca"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Zamarznięty łowca"
"heroes.name_fancy.kalevala_kullervo","Mściwy syn"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Okaleczony w walce syn"
"heroes.name_fancy.kalevala_lemminkainen","Nieśmiertelny czempion"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Znikający czempion"
"heroes.name_fancy.kalevala_louhi","Wiedźma z Północy"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Dama północy"
"heroes.name_fancy.kalevala_mielikki","Duch lasu"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Obrończyni niedźwiedzi"
"heroes.name_fancy.kalevala_mother_lemminkainen","Zbawicielka czempionów"
"heroes.name_fancy.kalevala_otso","Stepowy wędrowiec"
"heroes.name_fancy.kalevala_para","Domowy chowaniec"
"heroes.name_fancy.kalevala_suomuhauki","Ogromny szczupak"
"heroes.name_fancy.kalevala_ukkonen","Przeklęty przodek Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Przeklęty krewniak Väinämöinena"
"heroes.name_fancy.kalevala_vainamoinen","Wieczny bard"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Wiekuisty mędrzec"
"heroes.name_fancy.kingdom_cao_cao","Watażka Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Lodowy watażka"
"heroes.name_fancy.kingdom_diaochan","Olśniewająca piękność"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Kwiecista piękność"
"heroes.name_fancy.kingdom_guan_yu","Waleczny generał"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Piekielny generał"
"heroes.name_fancy.kingdom_jing","Piechur Shu"
"heroes.name_fancy.kingdom_li","Piechur Wu"
"heroes.name_fancy.kingdom_liu_bei","Watażka Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Leśny watażka"
"heroes.name_fancy.kingdom_lu_bu","Gniewny watażka"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Gniewny tygrysi watażka"
"heroes.name_fancy.kingdom_sun_quan","Watażka Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Watażka szczęścia"
"heroes.name_fancy.kingdom_sun_shangxiang","Szlachetna bojowniczka"
"heroes.name_fancy.kingdom_wang_yuanji","Delikatna szlachcianka"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Delikatna kaligrafka"
"heroes.name_fancy.kingdom_xiahou_dun","Jednooki dowódca"
"heroes.name_fancy.kingdom_yao","Piechur Wei"
"heroes.name_fancy.kingdom_zhang_fei","Bezlitosny generał"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Bezlitosny niedźwiedzi generał"
"heroes.name_fancy.kingdom_zhou_yu","Młody dowódca"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Kruczy dowódca"
"heroes.name_fancy.kingdom_zhuge_liang","Mistrz strategii"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Arcystrateg"
"heroes.name_fancy.knights_bauchan","Diablik z Avalonu"
"heroes.name_fancy.knights_black_knight","Upiór z Avalonu"
"heroes.name_fancy.knights_black_knight_costume_negative","Czarny rycerz"
"heroes.name_fancy.knights_gawain","Lazurowy rycerz"
"heroes.name_fancy.knights_green_knight","Pretendent z Avalonu"
"heroes.name_fancy.knights_guinevere","Królowa Avalonu"
"heroes.name_fancy.knights_guinevere_costume_rider","Smoczy jeździec z Avalonu"
"heroes.name_fancy.knights_king_arthur","Król Avalonu"
"heroes.name_fancy.knights_lady_of_the_lake","Czarnoksiężniczka z Avalonu"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Dama miecza"
"heroes.name_fancy.knights_merlin","Czarnoksiężnik Avalonu"
"heroes.name_fancy.knights_merlin_costume_astrology","Astromanta z Avalonu"
"heroes.name_fancy.knights_morgan_le_fay","Czarodziejka Avalonu"
"heroes.name_fancy.knights_sir_lancelot","Rycerz Avalonu"
"heroes.name_fancy.knights_treevil","Zło z Avalonu"
"heroes.name_fancy.lionman_barbarian","Ostatni z Leorów"
"heroes.name_fancy.lionman_barbarian_costume_armor","Król Leorów"
