"herocard.passive_skill.description.addmana.all.allies","Todos los aliados obtienen una pequeña cantidad de maná."
"herocard.passive_skill.description.ransack","Al comienzo de cada turno, este personaje saquea a un enemigo aleatorio:

 Roba {DAMAGE} de vitalidad.
 Roba de forma segura una bendición, un efecto de crecimiento o una acumulación positiva del enemigo. Se incluyen las bendiciones indescartables y los efectos de danza."
"herocard.passive_skill.description.ransack.chance","Al comienzo de cada turno, este personaje tiene un {CHANCE} % de probabilidad de saquear a un enemigo aleatorio:

Saquear:
 Roba {DAMAGE} de vitalidad.
 Roba de forma segura un efecto de crecimiento, una acumulación positiva o una bendición de estado al azar del enemigo. Se incluyen las bendiciones indescartables y los efectos de danza.
 El robo seguro ignora los efectos secundarios (por ejemplo, el daño con la eliminación) de las bendiciones eliminadas. Pueden activarse habilidades pasivas y efectos de familia."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Cuando este personaje lanza su habilidad especial, tiene un {CHANCE} % de probabilidad de robar la bendición descartable más reciente de un enemigo aleatorio con bendiciones. Si ningún enemigo tiene bendiciones, inflige un {DAMAGE} % de daño a todos los enemigos."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Cuando este personaje lanza su habilidad especial, tiene un {CHANCE} % de probabilidad de robar la bendición descartable más reciente de un enemigo aleatorio con bendiciones. Si ningún enemigo tiene bendiciones, inflige un {DAMAGE} % de daño a todos los enemigos."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Cuando este personaje lanza su habilidad especial, transfiere al objetivo el último estado alterado purificable que le han aplicado. Si la habilidad especial no puede lanzarse contra un enemigo, se elige a un enemigo aleatorio. Si este personaje no tiene estados alterados purificables, recupera un {HEALTH} % de vitalidad."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE} % de probabilidad de reemplazar los efectos negativos recibidos con sus contrarios positivos."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Este personaje recibe menos daño de las tropas del elemento más fuerte.

 Daño recibido: -{MODIFIER} %"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER} % menos de daño recibido de las tropas del elemento más fuerte."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER} % más de daño elemental recibido de las bolas de fuego del elemento más fuerte."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","La primera vez que este personaje vaya a recibir una cantidad de daño que lo derrotaría, en su lugar redirige ese daño hacia un enemigo aleatorio.

En batallas con múltiples oleadas, el efecto se reinicia al comienzo de cada una."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","La primera vez que este personaje vaya a recibir una cantidad de daño que lo derrotaría, en su lugar redirige ese daño hacia un enemigo aleatorio. (Activaciones restantes: {ACTIVATIONSLEFT})."
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE} % más de probabilidad de reflejar los estados alterados al atacante."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Cada {TURNS} turnos se eliminan todos los efectos de merma de todos los aliados."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Cada {TURNS} turnos se eliminan todos los efectos de crecimiento de todos los enemigos."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","El núcleo de creación de este personaje es un núcleo reparador.

El núcleo reparador se activa cada vez que este personaje lanza su habilidad especial:

 Con un núcleo reparador cargado al máximo, potencia la vitalidad de todos los aliados en un {CHARGEDPOWER1} %.
 La curación aumenta en función de la carga del núcleo. La carga completa se agota cuando se activa el núcleo."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE} % de probabilidad de que este héroe lance su habilidad especial {REPEATS} veces."
"herocard.passive_skill.description.resist.accuracymodifiers","Este personaje es inmune a los estados alterados que afectan a la precisión. No se aplica a los efectos de estado originales de los aliados."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Este personaje es inmune a los estados alterados y acumulaciones negativas."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE} % de probabilidad extra de resistir todos los estados alterados y descartes de bendiciones."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE} % de probabilidad extra de resistir todos los estados alterados, descartes de bendiciones y efectos de merma."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE} % de probabilidad extra de resistir todos los estados alterados, reducciones de maná, descartes de bendiciones y la demencia."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE} % de probabilidad extra de resistir todos los estados alterados, reducciones de maná y descartes de bendiciones."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE} % de probabilidad extra de resistir todos los estados alterados."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Este personaje es inmune a los estados alterados que afectan a la defensa. Se aplica también a estados alterados que afectan a la defensa elemental."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Este personaje es inmune a los estados alterados, acumulaciones y efectos de merma que afectan a la defensa."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","A este personaje no le afectan los efectos que aumentan o reducen la defensa.

Esto incluye bendiciones y alteraciones de estado, acumulaciones positivas y negativas y efectos de merma y crecimiento."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","A este personaje no le afectan los efectos que aumentan o reducen la defensa.

Esto incluye:
 Bendiciones y alteraciones de estado
 Acumulaciones positivas y negativas
 Efectos de crecimiento y merma"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","A este personaje no le afectan los efectos que aumentan o reducen la defensa.

Esto incluye bendiciones y alteraciones de estado, acumulaciones positivas y negativas y efectos de merma y crecimiento."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Este personaje es inmune a los estados alterados y acumulaciones negativas que afectan a la regeneración de maná. Se aplica también a estados alterados que bloquean o roban maná."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Este personaje es inmune a las reducciones de maná, así como a los estados alterados y acumulaciones negativas que afectan a la regeneración de maná. Se aplica también a estados alterados que bloquean o roban maná."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Este personaje es inmune al daño de los efectos de estado y las acumulaciones."
"herocard.passive_skill.description.resist.attackdelay","El ataque normal de este personaje no se puede retrasar."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","El ataque normal de este personaje no se puede retrasar."
"herocard.passive_skill.description.resist.attackmodifiers","Este personaje es inmune a los estados alterados que afectan al ataque."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Este personaje es inmune a todos los efectos de estado y acumulaciones que afectan al ataque, incluidas las bendiciones de estado."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Este personaje es inmune a los estados alterados, acumulaciones y efectos de merma que afectan al ataque."
"herocard.passive_skill.description.resist.bleed","Este personaje es inmune a los estados alterados que infligen daño de sangrado."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Este personaje es inmune a los estados alterados que infligen daño de sangrado y obtiene {HEALTHBOOST} de vitalidad potenciada y un {MANA} % de maná cada vez que resiste un ataque."
"herocard.passive_skill.description.resist.buffdispels","Este personaje es inmune a los efectos que descartan sus bendiciones de estado."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE} % de probabilidad extra de resistir los descartes de bendiciones."
"herocard.passive_skill.description.resist.buffimmunity","Este personaje es inmune a los efectos que le impiden recibir nuevas bendiciones de estado."
"herocard.passive_skill.description.resist.burn","Este personaje es inmune a los estados alterados que infligen daño de quemadura."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Este personaje es inmune a los estados alterados que infligen daño de quemadura y obtiene {HEALTHBOOST} de vitalidad potenciada y un {MANA} % de maná cada vez que resiste un ataque."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Este personaje es inmune a los estados alterados."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE} % de probabilidad extra de resistir todos los estados alterados."
"herocard.passive_skill.description.resist.criticalhits.none","Este personaje es inmune al daño extra y los efectos adicionales de los golpes críticos."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Este personaje es inmune a los estados alterados que afectan a la defensa. No se aplica a estados alterados que afectan a la defensa elemental."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Este personaje es inmune a los estados alterados y acumulaciones negativas que afectan a la defensa. No se aplica a estados alterados que afectan a la defensa elemental."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Es inmune a los efectos que eliminan secuaces.
 No se puede impedir que reciba secuaces.
 Los ataques y las habilidades de los secuaces no se pueden anular."
"herocard.passive_skill.description.resist.frost","Este personaje es inmune a los estados alterados que infligen daño de escarcha."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Este personaje es inmune a los estados alterados que infligen daño de escarcha y obtiene {HEALTHBOOST} de vitalidad potenciada y un {MANA} % de maná cada vez que resiste un ataque."
"herocard.passive_skill.description.resist.healeffects","Este personaje es inmune a los estados alterados que afectan a la curación."
"herocard.passive_skill.description.resist.healthsteal","Este personaje es inmune a los estados alterados que roban vitalidad."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Este personaje es inmune a la demencia."
"herocard.passive_skill.description.resist.manadebuffs","Este personaje es inmune a los estados alterados que afectan al maná."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Este personaje es inmune a los estados alterados que afectan a la regeneración de maná o impiden el uso de las habilidades especiales."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Este personaje tiene un {CHANCE} % de probabilidad de resistir los estados alterados que afectan al maná o impiden el uso de las habilidades especiales."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Este personaje es inmune a los estados alterados y acumulaciones negativas que afectan a la regeneración de maná. No se aplica a estados alterados que detienen la regeneración de maná o que roban maná."
"herocard.passive_skill.description.resist.manareduction","Este personaje es inmune a las reducciones de maná."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE} % de probabilidad extra de resistir las reducciones de maná."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Este personaje es inmune a las reducciones de maná. Además, obtiene {HEALTHBOOST} de vitalidad potenciada y un {MANA} % de maná cada vez que resiste un ataque."
"herocard.passive_skill.description.resist.maxhealthreduction","Este personaje es inmune a la reducción de vitalidad máxima."
"herocard.passive_skill.description.resist.poison","Este personaje es inmune a los estados alterados que infligen daño de veneno."
"herocard.passive_skill.description.resist.poison.burn.bleed","Este personaje es inmune a los estados alterados que infligen daño de veneno, quemadura o sangrado."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Este personaje es inmune a los efectos de estado que lo poseen."
"herocard.passive_skill.description.resist.sand","Este personaje es inmune a los estados alterados que infligen daño de arena."
"herocard.passive_skill.description.resist.specialblocking","Este personaje es inmune a los estados alterados que impiden el uso de las habilidades especiales."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Este personaje tiene un {CHANCE} % de probabilidad de resistir los estados alterados que impiden el uso de las habilidades especiales."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Este personaje es inmune a los estados alterados que impiden el uso de las habilidades especiales. Además, obtiene {HEALTHBOOST} de vitalidad potenciada y un {MANA} % de maná cada vez que resiste un ataque."
"herocard.passive_skill.description.resist.stopmanageneration","Este personaje es inmune a los estados alterados que detienen la regeneración de maná."
"herocard.passive_skill.description.resist.water","Este personaje es inmune a los estados alterados que infligen daño de agua."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Este personaje es inmune a los estados alterados de secuaces."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Este personaje es inmune a los efectos que les eliminan secuaces."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Este personaje es inmune a los efectos negativos y el daño de los secuaces."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Este personaje es inmune a los efectos negativos y el daño de los secuaces y megasecuaces."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Este personaje no puede recibir demonios."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Este personaje no puede recibir demonios ni megademonios."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE} % de probabilidad extra de resistir todos los estados alterados."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Se reduce la probabilidad de revivir de todos los enemigos en la batalla. La probabilidad equivale a un {MODIFIER} % de su valor original."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Todos los enemigos resucitan con un {HEALTHMODIFIER} % de vitalidad. Esto no afecta a los enemigos jefes."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Si este personaje cae derrotado, tiene una probabilidad de renacer como huésped sobrenatural. La probabilidad es del {CHANCEINCREASEPERSTEP} % por cada {INSANITYPERSTEP} de demencia que tenga el personaje hasta un máximo del {MAXCHANCEINCREASE} %.

El huésped sobrenatural tiene:
 {INHERITEDHEALTH} % de vitalidad heredada
 {ATTACK} de ataque
 {DEFENSE} de defensa
 La habilidad especial:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Si este personaje cae derrotado cuando se activa la demencia, siempre tiene un {CHANCEONSELFCAUSEDDEATH} % de probabilidad de renacer."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Si este personaje cae derrotado, tiene una probabilidad de renacer como huésped sobrenatural. La probabilidad es del {CHANCEINCREASEPERSTEP} % por cada {INSANITYPERSTEP} de demencia que tenga el personaje hasta un máximo del {MAXCHANCEINCREASE} %.

El huésped sobrenatural tiene:
 {INHERITEDHEALTH} % de vitalidad heredada
 {ATTACK} de ataque
 {DEFENSE} de defensa
 Esta habilidad especial:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Cuando cae derrotado, este personaje tiene un {TOTALCHANCE} % de probabilidad de revivir al comienzo del siguiente turno con un {HEALTH} % de vitalidad y un {MANA} % de maná.

 Se activa hasta {MAXACTIVATIONCOUNT} veces. La probabilidad de revivir se reduce con cada activación. No se puede impedir con estados alterados ni habilidades pasivas."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","Cuando cae derrotado, este personaje tiene un {TOTALCHANCE} % de probabilidad de revivir al comienzo del siguiente turno con un {HEALTH} % de vitalidad y un {MANA} % de maná.

 Se activa hasta {MAXACTIVATIONCOUNT} veces. La probabilidad de revivir se reduce con cada activación. No se puede impedir con estados alterados ni habilidades pasivas."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Todas las baladas que usan los enemigos solo duran {TURNS} turno."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Todas las danzas que usan los enemigos solo duran {TURNS} turno."
"herocard.passive_skill.description.sharereceiveddamage","El {SHAREDDAMAGEPORTION} % del daño que reciba este personaje se comparte con todos los aliados."
"herocard.passive_skill.description.specialdamagereduction","El daño recibido se reduce un {DAMAGEREDUCTION} % las primeras {MAXACTIVATIONCOUNT} veces que este personaje recibe daño de habilidades especiales."
"herocard.passive_skill.description.specialdamagereduction.chance","Este personaje tiene un {CHANCE} % de probabilidad de reducir a 1 el daño directo que reciba de habilidades especiales."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","El daño recibido de las habilidades especiales se reduce un {DAMAGEREDUCTION} % para este personaje."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Este personaje recibe un {MANA} % de maná al comienzo de la batalla."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER} % de ataque."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER} % de defensa."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER} % de vitalidad."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER} % de vitalidad y {ATTACKMULTIPLIER} % de ataque."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER} % de vitalidad y {DEFENSEMULTIPLIER} % de defensa."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER} % de vitalidad, {DEFENSEMULTIPLIER} % de defensa y {ATTACKMULTIPLIER} % de ataque."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Los efectos de estado que aumentan el ataque son un {MODIFIER} % más eficaces para este personaje."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Reduce un {MODIFIER} % el efecto de los estados alterados de ataque. El efecto se aplica a este personaje y a todos sus aliados de la batalla."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Los estados alterados que reducen el ataque son un {MODIFIER} % menos eficaces contra este personaje."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Los efectos de estado que aumentan el ataque son un {MODIFIER} % más eficaces para este personaje."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Los estados alterados que reducen el ataque son un {MODIFIER} % menos eficaces contra este personaje."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Los efectos de estado que aumentan la defensa son un {MODIFIER} % más eficaces para este personaje."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Reduce un {MODIFIER} % el efecto de las alteraciones de defensa. El efecto se aplica a este personaje y a todos sus aliados de la batalla."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Los estados alterados que reducen la defensa son un {MODIFIER} % menos eficaces contra este personaje."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Los efectos de estado que aumentan la defensa son un {MODIFIER} % más eficaces para este personaje."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Los estados alterados que reducen la defensa son un {MODIFIER} % menos eficaces contra este personaje."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","La duración de los primeros {MAXACTIVATIONCOUNT} estados alterados que este personaje reciba de habilidades especiales se reduce {DURATIONMODIFIER} turno."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","La duración de los estados alterados de defensa que este personaje reciba de habilidades especiales se reduce {DURATIONMODIFIER} turnos."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","La duración de las primeras {MAXACTIVATIONCOUNT} bendiciones que este personaje reciba de habilidades especiales aumenta {DURATIONMODIFIER} turno."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Cuando se purifica un estado alterado de este héroe, una nueva copia del estado se aplica a un enemigo aleatorio."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Cada vez que esta gárgola lanza una habilidad especial, la piel de todos los aliados se suaviza. Las próximas {MAXACTIVATIONS} veces que reciban daño, este se reducirá un {DAMAGEREDUCTION} %. Además, son inmunes a todos los estados alterados, las reducciones de maná y la demencia. Este efecto no se puede descartar."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Cada vez que esta gárgola lanza una habilidad especial, su piel se suaviza. Las próximas {MAXACTIVATIONS} veces que reciba daño, este se reducirá un {DAMAGEREDUCTION} %. Además, son inmunes a todos los estados alterados, las reducciones de maná y la demencia. Este efecto no se puede descartar."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Cada vez que esta gárgola lanza una habilidad especial, su piel de piedra se endurece y las siguientes {MAXHITS} veces que reciba daño este se reduce a 1. Este efecto no se puede descartar."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Cuando este personaje lanza su habilidad especial, marca a un enemigo aleatorio con la bengala de caza durante {TURNS} turnos.
 Los objetivos marcados con la bengala de caza reciben {FIXEDPOWER} de daño adicional al recibir un golpe crítico."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Cuando este personaje lanza su habilidad especial, obtiene un {ATTACK} % de ataque durante {TURNS} turnos. Este efecto puede estar activo al mismo tiempo que otros efectos que alteren el ataque."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","El elemento de este héroe puede cambiar al que se prefiera una vez por batalla durante {TURNS} turnos. Para cambiarlo, toca este héroe cuando no tenga todo su maná."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Invoca un demonio brote maldito para un enemigo aleatorio en cada turno.
 El demonio brote maldito se convierte en demonio retoño pasados {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
 El demonio retoño se convierte en megademonio flor pasados {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.

Demonio brote maldito:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % de vitalidad.

Demonio retoño:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % de vitalidad.

Megademonio flor:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % de vitalidad."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Invoca un demonio brote maldito para un enemigo aleatorio en cada turno. Esta habilidad pasiva solo se activa una vez por turno para cada equipo.
 El demonio brote maldito se convierte en demonio retoño pasados {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
 El demonio retoño se convierte en megademonio flor pasados {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.

Demonio brote maldito:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % de vitalidad.

Demonio retoño:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % de vitalidad.

Megademonio flor:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % de vitalidad."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Invoca un demonio brote maldito para un enemigo aleatorio en cada turno. Esta habilidad pasiva solo se activa una vez por turno para cada equipo.
 El demonio brote maldito se convierte en demonio retoño pasados {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
 El demonio retoño se convierte en megademonio flor pasados {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.
 La evolución de los demonios se retrasa {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} turno cada vez que absorben curación.

Demonio brote maldito:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % de vitalidad.

Demonio retoño:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % de vitalidad.

Megademonio flor:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % de ataque y {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % de vitalidad."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Invoca un [#!]demonio brote maldito[#] para un enemigo aleatorio en cada turno. Esta habilidad pasiva solo se activa una vez por turno para cada equipo.
[*] El [#!]demonio brote maldito[#] se convierte en [#!]demonio retoño[#] pasados {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
[*] El [#!]demonio retoño[#] se convierte en [#!]megademonio flor[#] pasados {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.
[*] La evolución de los demonios se retrasa {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} turno cada vez que absorben curación.

[#!]Demonio brote maldito[#]:
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} %[#] de vitalidad.

[#!]Demonio retoño[#]:
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} %[#] de vitalidad.

[#!]Megademonio flor[#]:
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} %[#] de vitalidad."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Invoca un [#!]demonio brote maldito[#] para un enemigo aleatorio en cada turno. Esta habilidad pasiva solo se activa una vez por turno para cada equipo.
[*] El [#!]demonio brote maldito[#] se convierte en [#!]demonio retoño[#] pasados {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
[*] El [#!]demonio retoño[#] se convierte en [#!]megademonio flor[#] pasados {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.
[*] La evolución de los demonios se retrasa {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} turno cada vez que absorben curación.

[#!]Demonio brote maldito[#]:
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} %[#] de vitalidad.

[#!]Demonio retoño[#]:
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} %[#] de vitalidad.

[#!]Megademonio flor[#]:
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} %[#] de vitalidad."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Cuando este personaje cae derrotado, invoca megasecuaces viscosos para los aliados cercanos con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque heredados del personaje."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Cuando este personaje cae derrotado, invoca megasecuaces viscosos para los aliados cercanos con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque heredados del personaje."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Cuando este personaje cae derrotado, invoca megasecuaces viscosos para los aliados cercanos con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque heredados del personaje."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Cuando este personaje cae derrotado, invoca megasecuaces viscosos para los aliados cercanos con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque heredados del personaje."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Cuando este personaje cae derrotado, invoca megasecuaces viscosos para los aliados cercanos con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque heredados del personaje."
