"heroes.name_fancy.astral_cosmicspeaker","Astral Elf Astronomer"
"heroes.name_fancy.forest_female_druid_costume_glass","Vitrail of Rathwood"
"heroes.name_fancy.forest_female_druid_costume_native","Shaman of Concordia"
"heroes.name_fancy.forest_female_elf","Shieldmaster of Moonlight"
"heroes.name_fancy.forest_female_elf_costume_cute","Toon Shieldmaster"
"heroes.name_fancy.forest_female_elf_costume_fairy","Moonlit Fairy"
"heroes.name_fancy.forest_female_elf_costume_glass","Shieldmaster of Glass"
"heroes.name_fancy.forest_female_elf_costume_mage","Priestess of Moonlight"
"heroes.name_fancy.forest_female_illusionist","Plant Whisperer"
"heroes.name_fancy.forest_female_spirit","Glade Spirit"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Grove Spirit"
"heroes.name_fancy.forest_female_spirit_costume_cute","Toon Spirit"
"heroes.name_fancy.forest_female_spirit_costume_glass","Glass Spirit"
"heroes.name_fancy.forest_female_warrior","Village Girl"
"heroes.name_fancy.forest_friar","Jovial Brother"
"heroes.name_fancy.forest_friar_costume_cute","Jovial Toon"
"heroes.name_fancy.forest_friar_costume_explorer","Jovial Explorer"
"heroes.name_fancy.forest_friar_costume_glass","Jovial Vitrail"
"heroes.name_fancy.forest_god_elinor","Treasure Hunter"
"heroes.name_fancy.forest_god_elradir","Wild Wizard of Lunar Woods"
"heroes.name_fancy.forest_god_evelyn","Brave Heiress"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Brave Huntress"
"heroes.name_fancy.forest_god_grace","Grove Cervitaur"
"heroes.name_fancy.forest_god_gregorion","The Adept Archer"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","The Hermit Alchemist"
"heroes.name_fancy.forest_god_kingston","The Noble Assassin"
"heroes.name_fancy.forest_god_oberon","Seelie Champion"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Everoak Knight"
"heroes.name_fancy.forest_god_telluria","Forest God"
"heroes.name_fancy.forest_god_zeline","Celestial of Nature"
"heroes.name_fancy.forest_god_zeline_costume_avian","Avian Celestial"
"heroes.name_fancy.forest_god_zocc","Master of Keys"
"heroes.name_fancy.forest_mage","Wisdom of the Forest"
"heroes.name_fancy.forest_mage_costume_cute","Toon Wizard"
"heroes.name_fancy.forest_mage_costume_glass","Vitrail of the Forest"
"heroes.name_fancy.forest_mage_costume_party","Party Wizard"
"heroes.name_fancy.forest_mage_costume_white","Mighty Wizard"
"heroes.name_fancy.forest_male_elf","Spearmaster of Moonlight"
"heroes.name_fancy.forest_male_elf_costume_cute","Toon Spearmaster"
"heroes.name_fancy.forest_male_elf_costume_dark","Moonlit Conqueror"
"heroes.name_fancy.forest_male_elf_costume_glass","Glass Spearmaster"
"heroes.name_fancy.forest_male_elf_costume_king","Moonlit King"
"heroes.name_fancy.forest_thug","Mercenary Thug"
"heroes.name_fancy.forest_titan","Ancient of the Woods"
"heroes.name_fancy.forest_titan_costume_cute","Toon of the Woods"
"heroes.name_fancy.forest_titan_costume_glass","Vitrail of the Woods"
"heroes.name_fancy.forest_titan_costume_jester","Wooden Jester"
"heroes.name_fancy.forest_titan_costume_nightmare","Nightmare of the Woods"
"heroes.name_fancy.forest_woodsman","Simple Woodsman"
"heroes.name_fancy.forest_woodsman_warrior","Mighty Brother"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Stealthy Brother"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Mighty Toon"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Mighty Vitrail"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Mighty Highlander"
"heroes.name_fancy.forsaken_demhalar","The Strange Inhabitant"
"heroes.name_fancy.forsaken_khatrox","Blighted Bruiser"
"heroes.name_fancy.forsaken_lamentia","Servant of the Abyss"
"heroes.name_fancy.fox_ashen","The Silver-backed Fox"
"heroes.name_fancy.fox_ember","The Fire Caller Fox"
"heroes.name_fancy.fox_foxglove","The Sly Bat-eared Fox"
"heroes.name_fancy.fox_foxley","The Outlaw Gray Fox"
"heroes.name_fancy.fox_halcyon","The Sentinel Gray Fox"
"heroes.name_fancy.fox_nettletail","The Kind Grovekeeper Fox"
"heroes.name_fancy.fox_nibbles","The Hungry Fox Kit"
"heroes.name_fancy.fox_riverfang","The Conjurer Corsac Fox"
"heroes.name_fancy.fox_rust","The Guardian Red Fox"
"heroes.name_fancy.fox_sable","The Lost Princess Fox"
"heroes.name_fancy.fox_shadowfang","The Bone Collector Sand Fox"
"heroes.name_fancy.fox_silverpaw","The Pirate Fennec Fox"
"heroes.name_fancy.fox_spiff","The Royal Knight Fox"
"heroes.name_fancy.fox_swiftpaw","The Assassin Silver Fox"
"heroes.name_fancy.fox_whitefang","The Ranger Arctic Fox"
"heroes.name_fancy.gargoyle_arco","Resolute Gargoyle"
"heroes.name_fancy.gargoyle_bellerive","Wicked Gargoyle"
"heroes.name_fancy.gargoyle_betty","Nimble Gargoyle"
"heroes.name_fancy.gargoyle_budatin","Vicious Gargoyle"
"heroes.name_fancy.gargoyle_el_duque","Exalted Gargoyle"
"heroes.name_fancy.gargoyle_gaillard","Astute Gargoyle"
"heroes.name_fancy.gargoyle_garten","Party Gargoyle"
"heroes.name_fancy.gargoyle_goseck","Insidious Gargoyle"
"heroes.name_fancy.gargoyle_grumbl","Wise Gargoyle"
"heroes.name_fancy.gargoyle_guffa","Stoic Gargoyle"
"heroes.name_fancy.gargoyle_hilda","Fearless Gargoyle"
"heroes.name_fancy.gargoyle_hohenwerf","Ferocious Gargoyle"
"heroes.name_fancy.gargoyle_kalo","Aberrant Gargoyle"
"heroes.name_fancy.gargoyle_kemeny","Hardened Gargoyle"
"heroes.name_fancy.gargoyle_matrera","Shadowy Gargoyle"
"heroes.name_fancy.gargoyle_mena","Pedantic Gargoyle"
"heroes.name_fancy.gargoyle_penolite","Relentless Gargoyle"
"heroes.name_fancy.gargoyle_pophit","Virtuoso Gargoyle"
"heroes.name_fancy.gargoyle_soroca","Furious Gargoyle"
"heroes.name_fancy.gargoyle_uwe","Fluffy Gargoyle"
"heroes.name_fancy.gargoyle_vincent","Frightened Gargoyle"
"heroes.name_fancy.gargoyle_vonreine","Fiery Gargoyle"
"heroes.name_fancy.garrison_archibald","Unnerving Quartermaster"
"heroes.name_fancy.garrison_beatrice","Quartermaster Sergeant"
"heroes.name_fancy.garrison_caelen","The Pensive Poet"
"heroes.name_fancy.garrison_ciara","Exacting Commander"
"heroes.name_fancy.garrison_dima","The Hogmaster"
"heroes.name_fancy.garrison_fergus","Unflappable Constable"
"heroes.name_fancy.garrison_flamehide","Lizardfolk Gambler"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Streetwise Sergeant"
"heroes.name_fancy.garrison_frostsnout","Lizardfolk Flagbearer"
"heroes.name_fancy.garrison_godfrey","Garrulous Guardsman"
"heroes.name_fancy.garrison_greg","The Grogsmaster"
"heroes.name_fancy.garrison_iarlaith","The Stylish Swordsman"
"heroes.name_fancy.garrison_iocantha","Master-at-Arms"
"heroes.name_fancy.garrison_kolya","Stolid Sentry"
"heroes.name_fancy.garrison_maisie","The Merry Mason"
"heroes.name_fancy.garrison_pip","Nervous Messenger"
"heroes.name_fancy.garrison_rosalind","Cheerful Captain"
"heroes.name_fancy.garrison_shimmerscale","Lizardfolk Lanternbearer"
"heroes.name_fancy.garrison_theodosius","Courageous Corporal"
"heroes.name_fancy.garrison_vanya","The Steadfast Sapper"
"heroes.name_fancy.garrison_violet_potts","Happy-Go-Lucky Halfling"
"heroes.name_fancy.garrison_william","Nervous Night Guardsman"
"heroes.name_fancy.goblin_acidfire","Goblin Necromancer"
"heroes.name_fancy.goblin_archer","Nimble Hunter"
"heroes.name_fancy.goblin_boom_and_fang","Reckless Duo"
"heroes.name_fancy.goblin_boots","Oblivious Guard"
"heroes.name_fancy.goblin_darkfeather","Adept Eagle Trainer"
"heroes.name_fancy.goblin_deadboot","Goblin Cultist"
"heroes.name_fancy.goblin_fighter","The Cutpurse"
"heroes.name_fancy.goblin_fighter_costume_cute","The Cutpurse Toon"
"heroes.name_fancy.goblin_fighter_costume_evil","The Cutthroat"
"heroes.name_fancy.goblin_fighter_costume_glass","Glass Cutpurse"
"heroes.name_fancy.goblin_fizzcoil","Goblin Troupe Violinist"
"heroes.name_fancy.goblin_goldie","Goblin Beauty"
"heroes.name_fancy.goblin_grimsteel","Hermit of the Frozen Mountain"
"heroes.name_fancy.goblin_kettle","Kitchen Alchemist"
"heroes.name_fancy.goblin_leafwizzle","Enchanter of Beasts"
"heroes.name_fancy.goblin_madhammer","Goblin Brawler"
"heroes.name_fancy.goblin_mage","Bog Witch"
"heroes.name_fancy.goblin_mage_costume_candy","Candy Witch"
"heroes.name_fancy.goblin_mage_costume_cute","Toon Witch"
"heroes.name_fancy.goblin_mage_costume_glass","Glass Witch"
"heroes.name_fancy.goblin_mage_costume_toad","Toad Witch"
"heroes.name_fancy.goblin_pepperflame","Famed Goblin Flutist"
"heroes.name_fancy.goblin_ratgrub","Goblin Rat Courtier"
"heroes.name_fancy.goblin_rocket","Demolitions Expert"
"heroes.name_fancy.goblin_scrollbeast","Retired Boar Rider"
"heroes.name_fancy.goblin_smarttongue","Goblin Bard"
"heroes.name_fancy.goblin_soursting","Arrogant Goblin Assassin"
"heroes.name_fancy.guardian_bat","Nightmare of Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Warrior of Teltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Fierce Panther"
"heroes.name_fancy.guardian_chameleon","Elementalist of Teltoc"
"heroes.name_fancy.guardian_elephant","True Arrow of Teltoc"
"heroes.name_fancy.guardian_falcon_priest","Priest of Teltoc"
"heroes.name_fancy.guardian_gazelle","Druid of Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Swift Striker of Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain","Chieftain of Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Conqueror Kong"
"heroes.name_fancy.guardian_hippo","Brute of Teltoc"
"heroes.name_fancy.guardian_jackal_assassin","Assassin of Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Bone Collector of Teltoc"
"heroes.name_fancy.guardian_lemur","Mender of Teltoc"
"heroes.name_fancy.guardian_owl_gentleman","Elite Guardian of Teltoc"
"heroes.name_fancy.guestip1_hero1","The Greatest of All Time"
"heroes.name_fancy.guestip1_hero10","The Queen of WWE"
"heroes.name_fancy.guestip1_hero2","The Second City Saint"
"heroes.name_fancy.guestip1_hero3","The Heartbreak Kid"
"heroes.name_fancy.guestip1_hero4","The Game"
"heroes.name_fancy.guestip1_hero5","The EST of WWE"
"heroes.name_fancy.guestip1_hero6","Original Tribal Chief"
"heroes.name_fancy.guestip1_hero7","The American Nightmare"
"heroes.name_fancy.guestip1_hero8","Mami"
"heroes.name_fancy.guestip1_hero9","The Messiah"
"heroes.name_fancy.halloween_alucard","Vampire Scion"
"heroes.name_fancy.halloween_alucard_costume_mafia","Vampire Kingpin"
"heroes.name_fancy.halloween_amber","Vampire Blood Warrior"
"heroes.name_fancy.halloween_ana_belle","Charlady of Morlovia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Baroness of Dust"
"heroes.name_fancy.halloween_chester","The Unfriendly Ghost"
"heroes.name_fancy.halloween_edwin","Cunning Butler"
"heroes.name_fancy.halloween_edwin_costume_mafia","The Backstabbing Butler"
"heroes.name_fancy.halloween_francine","The Monstress"
"heroes.name_fancy.halloween_francine_costume_mafia","The Mobstress"
"heroes.name_fancy.halloween_frank","The Monster"
"heroes.name_fancy.halloween_frank_costume_mafia","The Mobster"
"heroes.name_fancy.halloween_goopy","Gelatinous Goo"
"heroes.name_fancy.halloween_hortensia","Fosterer of Flytraps"
"heroes.name_fancy.halloween_jack","Pumpkin Minstrel"
"heroes.name_fancy.halloween_lucinda","Wielder of Excalibroom"
"heroes.name_fancy.halloween_matilda","Unhallowed Pastry Chef"
"heroes.name_fancy.halloween_miriam_and_midnight","Occult Duo"
"heroes.name_fancy.halloween_vanda","Vampire Queen"
"heroes.name_fancy.halloween_vanda_costume_mafia","Queen of Crime"
"heroes.name_fancy.halloween_wayne","The Great Magician of Morlovia"
"heroes.name_fancy.hidden_dark_god_myztero","Spell-Bending Conundrum"
"heroes.name_fancy.holy_god_aurox","The Radiant Berserker"
"heroes.name_fancy.holy_god_aviana","The Falcon Commander"
"heroes.name_fancy.holy_god_bai_yeong","Blade Dancer"
"heroes.name_fancy.holy_god_celidana","Leader of the Sacred Clergy"
"heroes.name_fancy.holy_god_delilah","Hero of the Forbidden Island"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Guardian of the Celestial Temple"
"heroes.name_fancy.holy_god_devana","Headstrong Huntress"
"heroes.name_fancy.holy_god_drake_lee","Master of Martial Arts"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Serene Fighter"
"heroes.name_fancy.holy_god_faeona","Elven White Mage"
"heroes.name_fancy.holy_god_gilligan","Quixotic Adventurer"
"heroes.name_fancy.holy_god_hanitra","Lemurian Goddess"
"heroes.name_fancy.holy_god_ithar","Virtuous Cat Burglar"
"heroes.name_fancy.holy_god_kara","Hallowed Defender"
"heroes.name_fancy.holy_god_malosi","Reigning Champion"
"heroes.name_fancy.holy_god_may","The Blissful Harvester"
"heroes.name_fancy.holy_god_musashi","Invincible Ronin"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Escape Artist"
"heroes.name_fancy.holy_god_neith","Opener of the Ways"
"heroes.name_fancy.holy_god_onatel","Blind Seer"
"heroes.name_fancy.holy_god_ranvir","Holy Centaur"
"heroes.name_fancy.holy_god_uraeus","Arcane Vizier"
"heroes.name_fancy.holy_god_zora","Knight of the Rose"
"heroes.name_fancy.ice_god_alexandrine","Shield Against Injustice"
"heroes.name_fancy.ice_god_areax","Half-horse Ice Mage"
"heroes.name_fancy.ice_god_athena","Celestial of Ice"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Goddess of War"
"heroes.name_fancy.ice_god_balur","Ferocious Gladiator"
"heroes.name_fancy.ice_god_callum","Relentless Tracker"
"heroes.name_fancy.ice_god_claeg","Curse-Touched Healer"
"heroes.name_fancy.ice_god_eskimo","Huntress of Ice Giants"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Iceberg Champion"
"heroes.name_fancy.ice_god_frida","Arctic Menace"
"heroes.name_fancy.ice_god_frosth","Winter Bringer"
"heroes.name_fancy.ice_god_glenda","Magical Godmother"
"heroes.name_fancy.ice_god_iris","Expert Dispeller"
"heroes.name_fancy.ice_god_klaern","Rime Sorcerer"
"heroes.name_fancy.ice_god_mene","Fairy Queen of the Night"
"heroes.name_fancy.ice_god_miki","Slayer of Frost Beasts"
"heroes.name_fancy.ice_god_nerasis","The Quiet Death"
"heroes.name_fancy.ice_god_october","Frozen Highlander"
"heroes.name_fancy.ice_god_october_costume_farmer","Frozen Farmer"
"heroes.name_fancy.ice_god_perseus","Son of Zeus"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Challenger of Boreas"
"heroes.name_fancy.ice_god_raffaele","Tranquil Channeler"
"heroes.name_fancy.ice_god_sini","The Azure Conjurer"
"heroes.name_fancy.ice_god_suzuna","Spellcaster Fashionista"
"heroes.name_fancy.ice_god_vela","Aquatic Conjurer"
"heroes.name_fancy.institute_emilie","Liminal Realm Explorer"
"heroes.name_fancy.institute_piper","Inquisitive Hired Gun"
"heroes.name_fancy.institute_professor_morryster","The Masked Savant"
"heroes.name_fancy.journey_change","Chosen by the Lunar Light"
"heroes.name_fancy.journey_erlang_shen","Warrior God of Heaven"
"heroes.name_fancy.journey_general_yin","Shapeshifting Demon General"
"heroes.name_fancy.journey_heifeng_guai","Black Wind Demon"
"heroes.name_fancy.journey_nineheaded_beast","Nine-Headed Prince Consort"
"heroes.name_fancy.journey_queen_guowang","Unparalleled Beauty"
"heroes.name_fancy.journey_sha_wujing","Sand Monk"
"heroes.name_fancy.journey_tang_sanzang","Great Mystery of the River"
"heroes.name_fancy.journey_xie_zi_jing","Scorpion Demoness"
"heroes.name_fancy.journey_xiong_shanjun","Bear Mountain Lord"
"heroes.name_fancy.journey_xiwangmu","The Queen Mother"
"heroes.name_fancy.kalevala_aino","Summer Maiden"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Lake Maiden"
"heroes.name_fancy.kalevala_iku_turso","Beast of the Depths"
"heroes.name_fancy.kalevala_ilmarinen","Expert Blacksmith"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Expert Artificer"
"heroes.name_fancy.kalevala_joukahainen","Ferocious Hunter"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Frozen Hunter"
"heroes.name_fancy.kalevala_kullervo","Vengeful Son"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Battle-Scarred Son"
"heroes.name_fancy.kalevala_lemminkainen","Undying Champion"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Fading Champion"
"heroes.name_fancy.kalevala_louhi","Witch of the North"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Mistress of the North"
"heroes.name_fancy.kalevala_mielikki","Spirit of the Forest"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Protector of the Bears"
"heroes.name_fancy.kalevala_mother_lemminkainen","Champion's Savior"
"heroes.name_fancy.kalevala_otso","Wanderer of the Steppes"
"heroes.name_fancy.kalevala_para","Household Familiar"
"heroes.name_fancy.kalevala_suomuhauki","Hulking Pike"
"heroes.name_fancy.kalevala_ukkonen","Cursed Kin of Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Infernal Kin of Väinämöinen"
"heroes.name_fancy.kalevala_vainamoinen","Eternal Bard"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Eternal Sage"
"heroes.name_fancy.kingdom_cao_cao","Warlord of Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Warlord of Ice"
"heroes.name_fancy.kingdom_diaochan","Brilliant Beauty"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Flower Beauty"
"heroes.name_fancy.kingdom_guan_yu","Valiant General"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Inferno General"
"heroes.name_fancy.kingdom_jing","Shu Footsoldier"
"heroes.name_fancy.kingdom_li","Wu Footsoldier"
"heroes.name_fancy.kingdom_liu_bei","Warlord of Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Warlord of Forest"
"heroes.name_fancy.kingdom_lu_bu","Wrathful Warlord"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Wrathful Tiger Warlord"
"heroes.name_fancy.kingdom_sun_quan","Warlord of Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Warlord of Fortune"
"heroes.name_fancy.kingdom_sun_shangxiang","Noble Battler"
"heroes.name_fancy.kingdom_wang_yuanji","Gentle Noblewoman"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Gentle Calligrapher"
"heroes.name_fancy.kingdom_xiahou_dun","One-Eyed Commander"
"heroes.name_fancy.kingdom_yao","Wei Footsoldier"
"heroes.name_fancy.kingdom_zhang_fei","Merciless General"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Merciless Bear General"
"heroes.name_fancy.kingdom_zhou_yu","Young Commander"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Raven Commander"
"heroes.name_fancy.kingdom_zhuge_liang","Master Strategist"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Strategist Supreme"
"heroes.name_fancy.knights_bauchan","Imp of Avalon"
"heroes.name_fancy.knights_black_knight","Terror of Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Negative Knight"
"heroes.name_fancy.knights_gawain","Azure Knight"
"heroes.name_fancy.knights_green_knight","Challenger of Avalon"
"heroes.name_fancy.knights_guinevere","Queen of Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Dragonrider of Avalon"
"heroes.name_fancy.knights_king_arthur","King of Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Sorceress of Avalon"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Lady of Blades"
"heroes.name_fancy.knights_merlin","Wizard of Avalon"
"heroes.name_fancy.knights_merlin_costume_astrology","Astromancer of Avalon"
"heroes.name_fancy.knights_morgan_le_fay","Enchantress of Avalon"
"heroes.name_fancy.knights_sir_lancelot","Knight of Avalon"
"heroes.name_fancy.knights_treevil","Evil of Avalon"
"heroes.name_fancy.lionman_barbarian","Last of the Leors"
"heroes.name_fancy.lionman_barbarian_costume_armor","King of the Leors"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Leor Babysitter"
"heroes.name_fancy.lionman_barbarian_costume_cute","Toon Leor"
"heroes.name_fancy.lionman_barbarian_costume_glass","Glass Leor"
"heroes.name_fancy.lizardman_trapper","Lizardfolk Chieftain"
"heroes.name_fancy.lizardman_trapper_costume_cute","Toon Chieftain"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Lizardfolk Fisher"
"heroes.name_fancy.lizardman_trapper_costume_glass","Glass Chieftain"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Lizardfolk Elder"
"heroes.name_fancy.lizardman_warrior","Lizardfolk Fighter"
"heroes.name_fancy.lizardman_warrior_costume_cute","Toon Fighter"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Lizardfolk Ancestor"
"heroes.name_fancy.lizardman_warrior_costume_glass","Glass Fighter"
"heroes.name_fancy.lunar_new_year_baishu","Lunar Acrobat Rat"
"heroes.name_fancy.lunar_new_year_gongniu","Lunar Guardian Ox"
"heroes.name_fancy.lunar_new_year_laohu","Lunar Brawler Tiger"
"heroes.name_fancy.lunar_new_year_qinglong","Lunar Strategist Dragon"
"heroes.name_fancy.lunar_new_year_xiaoqing","Lunar Musician Snake"
"heroes.name_fancy.lunar_new_year_xiaotu","Lunar Protector Rabbit"
"heroes.name_fancy.magic_agrafena","Superintendent Supreme"
"heroes.name_fancy.magic_agrafena_costume_dark","Supreme Dark Sorceress"
"heroes.name_fancy.magic_anastasia","Apprentice Summoner"
"heroes.name_fancy.magic_anton","Young Scholar"
"heroes.name_fancy.magic_becky","Starlight Conjurer"
"heroes.name_fancy.magic_becky_costume_gothic","Twilight Conjurer"
"heroes.name_fancy.magic_camilla","Arcanist Tinkerer"
"heroes.name_fancy.magic_camilla_costume_flower","Floral Tinkerer"
"heroes.name_fancy.magic_carpet_agadh","Magic Carpet Assassin"
"heroes.name_fancy.magic_carpet_bart","Magic Carpet Speedster"
"heroes.name_fancy.magic_carpet_bertha","Maker of Magic Carpets"
"heroes.name_fancy.magic_carpet_elyssa","Magic Carpet Gourmand"
"heroes.name_fancy.magic_carpet_lando","Magic Carpet Charmer"
"heroes.name_fancy.magic_carpet_lilli","Magic Carpet Cat Lady"
"heroes.name_fancy.magic_carpet_manpip","Nervous Magic Carpet Flier"
"heroes.name_fancy.magic_carpet_naeem","Magic Carpet Drifter"
"heroes.name_fancy.magic_carpet_ragrim","Magic Carpet Botanist"
"heroes.name_fancy.magic_carpet_zazha","Magic Carpet Mender"
"heroes.name_fancy.magic_cristobal","Charms Professor"
"heroes.name_fancy.magic_dolgoon","Erudite Librarian"
"heroes.name_fancy.magic_jett","Herald of Sacrifice"
"heroes.name_fancy.magic_kornel","Veteran Caretaker"
"heroes.name_fancy.magic_lucy","Mageball Prodigy"
"heroes.name_fancy.magic_milena","Teacher of the Arcane Arts"
"heroes.name_fancy.magic_milena_costume_ice","Teacher of Arctic Spells"
"heroes.name_fancy.magic_motega","Master Groundskeeper"
"heroes.name_fancy.magic_nadezhda","Tower Headmaster"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Tower Postmaster"
"heroes.name_fancy.magic_ray","Champion of the Court"
"heroes.name_fancy.magic_ray_costume_spiky","Champion of the Bramble"
"heroes.name_fancy.magic_roxia","Ancient Scribble Enthusiast"
"heroes.name_fancy.magic_sergei","Student of the Arcane"
"heroes.name_fancy.magic_telonius","Centaur of the Woodlands"
"heroes.name_fancy.magic_ulius","Peculiar Inventor Wizard"
"heroes.name_fancy.magic_vaishali","Mystic Chess Master"
"heroes.name_fancy.magic_vaishali_costume_chef","Mystic Pie Master"
"heroes.name_fancy.magic_willow","Master of Levitation"
"heroes.name_fancy.magitech_sniper","Magitech Sniper"
"heroes.name_fancy.magitech_sniper_costume_cute","Toon Sniper"
"heroes.name_fancy.magitech_sniper_costume_glass","Glass Sniper"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Steampunk Sniper"
"heroes.name_fancy.magitech_sniper_costume_undead","Undead Sniper"
"heroes.name_fancy.mahayoddha_bhima","Son of Vayu"
"heroes.name_fancy.mahayoddha_chitrangada","Warrior Princess of Manipura"
"heroes.name_fancy.masquerade_alessia","Follower of Aradia"
"heroes.name_fancy.masquerade_aradia","Masked Goddess of Witchcraft"
"heroes.name_fancy.masquerade_carmenta","Masked Goddess of Spells"
"heroes.name_fancy.masquerade_cel","Masked Goddess of Earth"
"heroes.name_fancy.masquerade_februus","Masked God of Purification"
"heroes.name_fancy.masquerade_fortuna","Masked Goddess of Fate"
"heroes.name_fancy.masquerade_fosco","Follower of Februus"
"heroes.name_fancy.masquerade_jana","Masked Goddess of the Moon"
"heroes.name_fancy.masquerade_jove","Masked God of the Sky"
"heroes.name_fancy.masquerade_umbria","Masked Goddess of Shadows"
"heroes.name_fancy.mighty_pet_barkley","Pug of War"
"heroes.name_fancy.mighty_pet_bubbles","Copycat of the Illusionary Arts"
"heroes.name_fancy.mighty_pet_chomper","Hamster Brawler Champion"
"heroes.name_fancy.mighty_pet_cinnamon","Knight of the Arctic Circle"
"heroes.name_fancy.mighty_pet_cupcake","Clawsome Bandit"
"heroes.name_fancy.mighty_pet_furdinand","Ruffian of the Canine Expedition"
"heroes.name_fancy.mighty_pet_hachiko","Puppy of Loyalty"
"heroes.name_fancy.mighty_pet_luna","Crescent Owl"
"heroes.name_fancy.mighty_pet_ribbit","Gladiator of Frog Kingdom"
"heroes.name_fancy.mighty_pet_rufus","Furry Woodcutter"
"heroes.name_fancy.mighty_pet_snowball","Clawful Stray Cat"
"heroes.name_fancy.mighty_pet_toto","Canine Storyteller"
"heroes.name_fancy.mighty_pet_waddles","Captain of the Duck's Guard"
"heroes.name_fancy.mimic_ascension_epic_yellow","Grinning Cache of Lesser Evil"
"heroes.name_fancy.mimic_ascension_item_blue","Grinning Cache of Evil"
"heroes.name_fancy.mimic_ascension_item_green","Grinning Cache of Evil"
"heroes.name_fancy.mimic_ascension_item_purple","Grinning Cache of Evil"
"heroes.name_fancy.mimic_ascension_item_red","Grinning Cache of Evil"
"heroes.name_fancy.mimic_ascension_item_yellow","Grinning Cache of Evil"
"heroes.name_fancy.mimic_emblem_blue","Horrifying One-Eyed Lockbox"
"heroes.name_fancy.mimic_emblem_green","Horrifying One-Eyed Lockbox"
"heroes.name_fancy.mimic_emblem_purple","Horrifying One-Eyed Lockbox"
"heroes.name_fancy.mimic_emblem_red","Horrifying One-Eyed Lockbox"
"heroes.name_fancy.mimic_emblem_yellow","Horrifying One-Eyed Lockbox"
"heroes.name_fancy.mimic_experience_rare_red","Trove of the Tiny Teeth"
"heroes.name_fancy.mimic_training_hero_blue","Trove of Thousand Teeth"
"heroes.name_fancy.mimic_training_hero_green","Trove of Thousand Teeth"
"heroes.name_fancy.mimic_training_hero_purple","Trove of Thousand Teeth"
"heroes.name_fancy.mimic_training_hero_red","Trove of Thousand Teeth"
"heroes.name_fancy.mimic_training_hero_yellow","Trove of Thousand Teeth"
"heroes.name_fancy.monster_hunter_adalinda","Princess of the Hunt"
"heroes.name_fancy.monster_hunter_amund","Tenacious Tracker"
