"specials.name.a_cozy_break","Pause agréable"
"specials.name.doomrend","Brisure du châtiment"
"specials.name.doomstrike","Frappe de la ruine"
"specials.name.double_flail_mayhem","Fléau chaotique"
"specials.name.double_strike","Double frappe"
"specials.name.doublebarreled_starstick","Double bâton étoilé"
"specials.name.dozy_mead","Hydromel du sommeil"
"specials.name.dragon_autumn_blaze","Embrasement automnal"
"specials.name.dragon_blaze_of_fatigue","Incandescence de fatigue"
"specials.name.dragon_blaze_of_mortality","Incandescence de mortalité"
"specials.name.dragon_blaze_of_protection","Incandescence de protection"
"specials.name.dragon_blaze_of_suppression","Flamme de suppression"
"specials.name.dragon_blaze_of_the_hydra","Incandescence de l'hydre"
"specials.name.dragon_blaze_of_the_undying","Flamme immortelle"
"specials.name.dragon_blaze_of_torment","Incandescence de tourment"
"specials.name.dragon_blaze_of_torment_marzul","Incandescence de tourment"
"specials.name.dragon_blazing_inferno","Enfer ardent"
"specials.name.dragon_blazing_storm","Tempête ardente"
"specials.name.dragon_blazing_storm_preenakh","Tempête ardente"
"specials.name.dragon_blinding_blaze","Brasier aveuglant"
"specials.name.dragon_blinding_blaze_duskwing","Brasier aveuglant"
"specials.name.dragon_blinding_blaze_jawbreaker","Brasier aveuglant"
"specials.name.dragon_blinding_blaze_wildheart","Brasier aveuglant"
"specials.name.dragon_breath_of_bulwark","Souffle du rempart"
"specials.name.dragon_breath_of_compassion","Souffle de compassion"
"specials.name.dragon_breath_of_nourishment","Souffle nourrissant"
"specials.name.dragon_breath_of_retribution","Souffle de rétribution"
"specials.name.dragon_breath_of_revival","Souffle de résurrection"
"specials.name.dragon_cauterizing_blaze","Flamme cautérisante"
"specials.name.dragon_charring_blaze","Brasier calcinant"
"specials.name.dragon_claws","Griffes de dragon"
"specials.name.dragon_cleansing_flame","Flamme purificatrice"
"specials.name.dragon_cleansing_flame_gallakhran","Flamme purificatrice"
"specials.name.dragon_corrosive_blaze","Brasier corrosif"
"specials.name.dragon_cracking_blaze","Flamme brisante"
"specials.name.dragon_crackling_blaze_smoldercoil","Flamme brisante"
"specials.name.dragon_crashing_blaze","Flamme écrasante"
"specials.name.dragon_crippling_blaze","Flamme affaiblissante"
"specials.name.dragon_crippling_blaze_belzaas","Flamme affaiblissante"
"specials.name.dragon_crushing_blaze","Incandescence écrasante"
"specials.name.dragon_dampening_blaze","Brasier atténuant"
"specials.name.dragon_dampening_blaze_phebix","Brasier atténuant"
"specials.name.dragon_dazing_blaze","Incandescence aveuglante"
"specials.name.dragon_delivery_service","Livraison par dragon"
"specials.name.dragon_destabilizing_blaze","Flamme déstabilisante"
"specials.name.dragon_devastating_blaze","Incandescence dévastatrice"
"specials.name.dragon_disarming_blaze","Flamme désarmante"
"specials.name.dragon_draining_blaze","Embrasement drainant"
"specials.name.dragon_empowering_breath","Souffle de puissance"
"specials.name.dragon_esoteric_flame","Flamme ésotérique"
"specials.name.dragon_fang","Croc de dragon"
"specials.name.dragon_fiery_blaze","Brasier ardent"
"specials.name.dragon_flames_of_acceleration","Flammes accélératrices"
"specials.name.dragon_fortifying_flame","Brasier fortifiant"
"specials.name.dragon_inspirational_breath","Souffle d'inspiration"
"specials.name.dragon_mana_infused_breath","Souffle de mana"
"specials.name.dragon_mindless_blaze","Flamme insensée"
"specials.name.dragon_novices_blaze","Brasier de novice"
"specials.name.dragon_pacifying_breath","Souffle pacificateur"
"specials.name.dragon_protective_breath","Souffle protecteur"
"specials.name.dragon_rallying_breath","Souffle rassembleur"
"specials.name.dragon_rallying_breath_trezoro","Souffle rassembleur"
"specials.name.dragon_resuscitating_breath","Souffle de résurrection"
"specials.name.dragon_revitalizing_breath","Souffle revitalisant"
"specials.name.dragon_sacred_flame","Flamme sacrée"
"specials.name.dragon_sacred_flame_harmonis","Flamme sacrée"
"specials.name.dragon_searing_blaze","Souffle carbonisant"
"specials.name.dragon_shielding_breath","Souffle bouclier"
"specials.name.dragon_shocking_blaze","Embrasement choquant"
"specials.name.dragon_spring_breath","Souffle printanier"
"specials.name.dragon_spring_breath_erudius","Souffle printanier"
"specials.name.dragon_strengthening_flame","Flamme de force"
"specials.name.dragon_summer_blaze","Flamme estivale"
"specials.name.dragon_volcanic_blaze","Incandescence volcanique"
"specials.name.dragon_weakening_blaze","Brasier affaiblissant"
"specials.name.dragon_weakening_blaze_ashenheart","Brasier affaiblissant"
"specials.name.dragon_weakening_blaze_gonthrox","Brasier affaiblissant"
"specials.name.dragon_wounding_blaze","Brasier blessant"
"specials.name.dragon_wounding_blaze_ceestraze","Brasier blessant"
"specials.name.dragon_wounding_blaze_froastyx","Brasier blessant"
"specials.name.dragon_wounding_blaze_talonshine","Brasier blessant"
"specials.name.dragon_wrecking_blaze","Flamme destructrice"
"specials.name.dragon_wrecking_blaze_rangifer","Flamme destructrice"
"specials.name.drain_strike","Frappe de purge"
"specials.name.draining_blade","Lame de détérioration"
"specials.name.drawn_to_the_depths","Attraction des profondeurs"
"specials.name.dread_hammer","Marteau terrible"
"specials.name.dreaded_swords","Épées redoutables"
"specials.name.dreaded_waters","Eaux terrifiantes"
"specials.name.dreadful_riddle","Énigme épouvantable"
"specials.name.dreadstrike","Abattage"
"specials.name.dreams_of_nourishment","Rêves nourrissants"
"specials.name.dress_up","Relooking"
"specials.name.drowsy_bolt","Éclair soporifique"
"specials.name.drum_chain","Chaîne de tambours ipu"
"specials.name.dual_axes","Hache double"
"specials.name.dual_blades","Double lame"
"specials.name.dual_data_blades","Doubles lames de données"
"specials.name.dual_laser_blades","Doubles lames laser"
"specials.name.dual_slash","Coup double"
"specials.name.dual_sting","Double piqûre"
"specials.name.dubious_cuisine","Cuisine douteuse"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Catastrophe culinaire"
"specials.name.dubious_cuisine_exquisite_food","Mets exquis"
"specials.name.dubious_cuisine_rotten_food","Nourriture faisandée"
"specials.name.dubious_merchandise","Marchandise douteuse"
"specials.name.dubious_mixture","Mixture louche"
"specials.name.dum_and_dee","Dum et Dee"
"specials.name.dusk_dust","Poussière du crépuscule"
"specials.name.dusk_till_dawn","Du crépuscule à l'aube"
"specials.name.dust_to_dust","Poussière à poussière"
"specials.name.dwarven_flourish","Exubérance de nain"
"specials.name.dwarven_kings_levy","Impôt du roi nain"
"specials.name.dwarven_recharge","Recharge nanique"
"specials.name.easy_breezy_aura","Aura tranquille"
"specials.name.echoes_of_ice","Échos de glace"
"specials.name.echoes_of_pain","Échos de douleur"
"specials.name.echoes_of_the_opera","Échos de l'opéra"
"specials.name.eclipse_shield","Bouclier Éclipse"
"specials.name.eclipse_spear","Lance Éclipse"
"specials.name.educated_exorcism","Exorcisme érudit"
"specials.name.egg_barrage","Barrage d'œufs"
"specials.name.elders_remedy","Remède de l'ancien"
"specials.name.eldritch_blight","Fléau fantasmagorique"
"specials.name.eldritch_sign_bolts","Tirs de symboles fantasmagoriques"
"specials.name.electric_cut","Taillade électrique"
"specials.name.electric_dragonfire","Souffle de dragon électrique"
"specials.name.electric_jolt","Décharge électrique"
"specials.name.electric_stab","Percée électrique"
"specials.name.electric_sting_dragon_pve","Piqûre électrique"
"specials.name.electrified_claws","Griffes électrifiées"
"specials.name.electrified_claws_ultimate_boss","Griffes électrifiées"
"specials.name.electrifying_gust_dragon_pve","Bourrasque électrique"
"specials.name.elegant_pulverizer","Pulvérisation élégante"
"specials.name.elemental_corruption","Corruption élémentaire"
"specials.name.elemental_infusion_arrow","Flèche élémentaire"
"specials.name.elemental_infusion_arrow_pve","Flèche élémentaire"
"specials.name.elemental_magic","Magie élémentaire"
"specials.name.emboldened_strike","Frappe audacieuse"
"specials.name.emerald_dual_blade","Double lame d'émeraude"
"specials.name.emerald_flash","Flash émeraude"
"specials.name.emerald_tide","Marée d'émeraude"
"specials.name.emerald_wind","Vent d'émeraude"
"specials.name.empowered_slash","Taillade surpuissante"
"specials.name.empowering_bash","Coup puissant"
"specials.name.empowering_bash_deadly","Coup puissant"
"specials.name.en_garde","En garde"
"specials.name.enchanted_antlers","Bois enchantés"
"specials.name.enchanted_axe_swing","Coup de hache enchantée"
"specials.name.enchanted_edge","Extrémité enchantée"
"specials.name.enchanted_elven_sword","Épée elfique enchantée"
"specials.name.enchanted_symphony","Symphonie enchantée"
"specials.name.enchanting_divination","Divination enchanteresse"
"specials.name.enchanting_melody","Mélodie enchanteresse"
"specials.name.endless_daggers","Dagues infinies"
"specials.name.endless_maze","Labyrinthe sans fin"
"specials.name.energy_conjunction","Conjonction énergétique"
"specials.name.energy_of_mjolnir","Énergie de Mjölnir"
"specials.name.energy_steal_dragon_pve","Vol d'énergie"
"specials.name.engulfing_candlelight","Chandelle dévorante"
"specials.name.entangling_shot","Tir enchevêtrant"
"specials.name.entrapping_enchantment","Piège enchanté"
"specials.name.erase_strength","Atténuer la force"
"specials.name.erupting_slices","Taillades éruptives"
"specials.name.esprit_de_corps","Esprit de corps"
"specials.name.essence_of_queen_nitocris","Essence de la reine Nitocris"
"specials.name.eternal_bond","Lien éternel"
"specials.name.eternal_ishq","Ishq éternel"
"specials.name.eternal_loyalty","Loyauté éternelle"
"specials.name.eternal_servitude","Servitude éternelle"
"specials.name.ethereal","Fantôme"
"specials.name.evading_dash","Sprint d'évasion"
"specials.name.everlasting_wound","Blessure éternelle"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Flèche d'exorcisme"
"specials.name.explosive_goo_minions","Vigilance de sbire"
"specials.name.explosive_o_lantern","Citrouille explosive"
"specials.name.express_delivery","Livraison express"
"specials.name.exquisite_alchemy","Alchimie exquise"
"specials.name.exquisite_victuals","Victuailles exquises"
"specials.name.exquisite_victuals_pve_advanced","Victuailles exquises"
"specials.name.exquisite_victuals_pve_normal","Victuailles exquises"
"specials.name.eye_of_panther","Œil de la panthère"
"specials.name.eye_of_the_storm","Œil du cyclone"
"specials.name.eye_of_yog-sir","Œil de Yog-Sir"
"specials.name.fabled_fist","Coup fabuleux"
"specials.name.fabled_llama_ballad","Ballade du lama"
"specials.name.fairy_godmothers_blessing","Bénédiction de la bonne fée"
"specials.name.faithful_force","Force fidèle"
"specials.name.falcon_screech","Cri du faucon"
"specials.name.false_treat","Fausse joie"
"specials.name.familiar_eater","Dévoreur de sbires"
"specials.name.familiar_witchcraft","Sorcellerie familière"
"specials.name.fangs_and_blades","Lames et crocs"
"specials.name.fangs_of_death","Croc de l'agonie"
"specials.name.fatal_dreams","Rêves fatals"
"specials.name.fatal_finisher","Coup de grâce fatal"
"specials.name.fearless_charge","Charge courageuse"
"specials.name.feather_tempest","Tempête de plumes"
"specials.name.feathered_embrace","Étreinte à plumes"
"specials.name.feline_constellation","Constellation féline"
"specials.name.feral_arrows","Flèches sauvages"
"specials.name.feral_bite","Morsure sauvage"
"specials.name.feral_gust_dragon_pve","Bourrasque sauvage"
"specials.name.feral_peck","Bec sauvage"
"specials.name.feral_revenge","Vengeance sauvage"
"specials.name.feral_swing","Frappe sauvage"
"specials.name.feyfire_slash","Taillade de feu féérique"
"specials.name.field_aid","Soin mineur"
"specials.name.field_surgery","Soin majeur"
"specials.name.fiendslayer","Massacre de démons"
"specials.name.fierce_fu_jow_pai","Fu Jow Pai féroce"
"specials.name.fierce_pierce","Férocité perçante"
"specials.name.fierce_slash","Coup violent"
"specials.name.fiery_charge","Charge embrasée"
"specials.name.fiery_performance","Performance embrasée"
"specials.name.fiery_revenge","Revanche ardente"
"specials.name.fire_barrier_dragon_pve","Barrière de feu"
"specials.name.fire_bolt_zidane","Carreau de feu"
"specials.name.fire_storm","Tempête de feu"
"specials.name.fire_tiger","Tigres de feu"
"specials.name.fireball","Boule de feu"
"specials.name.fireball_single","Boule de feu"
"specials.name.fireblade_slash","Coup de lame de feu"
"specials.name.fires_of_ragnarok","Forges de Ragnarok"
"specials.name.fires_of_ragnarok_final","Forges de Ragnarok"
"specials.name.firestone_daggers","Dagues ardentes"
"specials.name.firewall","Mur de feu"
"specials.name.firing_on_all_cylinders","Feu à volonté"
"specials.name.first_frost","Premier gel"
"specials.name.first_law_of_thermodynamics","Premier principe de la thermodynamique"
"specials.name.fishbone_blades","Lames d'arêtes"
"specials.name.fists_of_atonement","Poings d'expiation"
"specials.name.flail_of_destruction","Fléau destructeur"
"specials.name.flail_swing","Coup de fléau"
"specials.name.flails_of_fury","Fléau de la furie"
"specials.name.flame_of_the_dragon_familiar","Familier Flamme du dragon"
"specials.name.flame_of_the_lioness","Flamme de la lionne"
"specials.name.flame_storm","Tempête de flammes"
"specials.name.flame_surge","Surcharge enflammée"
"specials.name.flames_and_rejuvenation","Flammes et récupération"
"specials.name.flames_and_rejuvenation_pve","Flammes et récupération"
"specials.name.flames_of_revenge","Flammes de la vengeance"
"specials.name.flaming_fury","Fureur enflammée"
"specials.name.flaming_grudge","Rancœur ardente"
"specials.name.flaming_mandibles","Mandibules enflammées"
"specials.name.flaming_rapier","Rapière enflammées"
"specials.name.flaming_rapier_pve","Rapière enflammées"
"specials.name.flaming_sword","Épée enflammée"
"specials.name.flanking_maneuver","Manœuvre de contournement"
"specials.name.flanking_maneuver_pve","Manœuvre de contournement"
"specials.name.flare","Souffle de feu"
"specials.name.flat_cake_for_sweethearts","Gâteau des amoureux"
"specials.name.flat_cake_for_sweethearts_pve","Gâteau des amoureux"
"specials.name.flawless_shot","Tir impeccable"
"specials.name.flock_of_folly_eldwren","Troupeau de la folie"
"specials.name.floral_sting","Frappe florale"
"specials.name.flower_arrangements","Compositions florales"
"specials.name.flower_of_kindness","Fleurs de générosité"
"specials.name.flowing_dragon_dual_slash","Double tranchant du dragon des flots"
"specials.name.fluff_in_the_air","Air de douceur"
"specials.name.flurry_of_blows","Salve de coups"
"specials.name.flurry_of_slashes","Foisonnement d'entailles"
"specials.name.flurry_of_slashes_deadly","Foisonnement d'entailles"
"specials.name.flute_of_enchantment","Flûte enchantée"
"specials.name.focused_shot","Tir précis"
"specials.name.fog_machine","Machine à brouillard"
"specials.name.fog_of_the_fallen","Brume des déchus"
"specials.name.fog_of_the_glass_sabina","Brouillard des vitraux"
"specials.name.fog_of_the_perished","Brume des disparus"
"specials.name.fog_of_the_stylish","Brouillard élégant"
"specials.name.fog_of_the_toons","Brume des cartoons"
"specials.name.fog_of_the_vitrails","Brouillard des vitraux"
"specials.name.for_queen_and_hollow","Pour la Reine et le Creux"
"specials.name.force_of_forest","Force de la forêt"
"specials.name.forceful_advance","Avancée brutale"
"specials.name.forest_breath","Souffle de la forêt"
"specials.name.forest_command","Commandement de la forêt"
"specials.name.forest_friends","Amis de la forêt"
"specials.name.forge_rush","Charge de forge"
"specials.name.forged_axe_of_light","Hache de lumière forgée"
"specials.name.forged_from_gold","Or forgé"
"specials.name.forged_in_fire","Forge enflammée"
"specials.name.fortunate_slice","Taillade chanceuse"
"specials.name.fracturing_cut","Coupure fracassante"
"specials.name.fracturing_shards","Éclats fracassants"
"specials.name.fracturing_slash","Entaille fracturante"
"specials.name.freezing_cold_cutter","Découpe glaciale"
"specials.name.freezing_crystal","Cristal givrant"
"specials.name.freezing_fairy_mist","Brume féérique glaciale"
"specials.name.freezing_power_hooks","Crochets glaciaux"
"specials.name.frenzied_rend","Fracture frénétique"
"specials.name.frenzy_plant","Plante enragée"
"specials.name.friendly_critters_feast","Festin des gentilles créatures"
"specials.name.frightening_pinch","Lance atlante"
"specials.name.frightstrike","Frappe terrifiante"
"specials.name.frogs_and_hoop","Grenouilles et cerceau"
"specials.name.from_shadows","Depuis les ombres"
"specials.name.from_shadows_pve","Depuis les ombres"
"specials.name.frost_and_rime","Givre mordant"
"specials.name.frost_bound_blade","Lame gelée"
"specials.name.frostbite","Gelure"
"specials.name.frostbolt_dragon_pve","Tir glacial"
"specials.name.frostbound_smash","Frappe de givre"
"specials.name.frostneedle","Pointe de givre"
"specials.name.frosty_axes","Haches gelées"
"specials.name.frosty_punches","Coup de poing gelés"
"specials.name.frozen_orb","Orbe gelé"
"specials.name.frozen_path","Voie fluviale"
"specials.name.frozen_wind","Vent glacial"
"specials.name.frozen_wind_pve","Vent glacial"
"specials.name.fruit_cocktail","Cocktail fruité"
"specials.name.fruits_of_kindness","Fruits de générosité"
"specials.name.fruits_of_labor","Bonne dose d'ail"
"specials.name.fullmetal_pelt","Peau métallique"
"specials.name.furious_bite","Morsure furieuse"
"specials.name.furious_boar","Sanglier furieux"
"specials.name.furious_flames","Flammes furieuses"
"specials.name.furry_loggers_swing","Coup de hache velu"
"specials.name.fury_of_ash","Furie de cendres"
"specials.name.fury_of_grimnir","Fureur de Grimnir"
"specials.name.fury_of_the_ancient_forest","Fureur de la forêt ancestrale"
"specials.name.fury_of_the_fire_giants","Fureur des géants de feu"
"specials.name.fury_of_the_fire_giants_final","Fureur des géants de feu"
"specials.name.fury_of_the_mountain_lord","Fureur du seigneur de la montagne"
"specials.name.fury_of_the_silverback","Fureur du dos gris"
"specials.name.gallant_stance","Posture galante"
"specials.name.gamblers_stance","Posture du parieur"
"specials.name.gamblers_swing","Frappe du parieur"
"specials.name.garbage_shock_wave","Onde d'ordures"
"specials.name.gardeners_remedy","Remède de jardinier"
"specials.name.gargantuan_bite","Morsure gargantuesque"
"specials.name.gargoyles_of_redemption","Gargouilles de rédemption"
"specials.name.gargoyles_of_redemption_pve","Gargouilles de rédemption"
"specials.name.gargoyles_of_restoration","Gargouilles de restauration"
"specials.name.garlic_serving_edwin","Plat d'ail"
"specials.name.gaze_of_the_underworld","Regard des Enfers"
"specials.name.generous_gifts","Dons généreux"
"specials.name.gentle_paw","Patte délicate"
"specials.name.gentlemans_cane","Canne de gentleman"
"specials.name.gentlemans_transformation","Transformation de gentleman"
"specials.name.giddy_jab_dragon_pve","Coup joyeux"
"specials.name.gift_list","Liste de cadeaux"
"specials.name.gift_of_rejuvenation","Don de rajeunissement"
"specials.name.gift_of_rock","Cadeau de pierre"
"specials.name.giftsack","Sac de cadeaux"
"specials.name.gilded_antlers","Bois dorés"
"specials.name.glacial_atmosphere","Atmosphère glaciale"
"specials.name.glacial_crusher","Écrasement glacial"
"specials.name.glacial_explosion","Explosion glaciale"
"specials.name.glacial_fissure_cleave","Fissure glaciale"
"specials.name.glacial_resilience","Résilience glaciale"
"specials.name.glacial_shatter","Déchirure gelée"
"specials.name.glacial_vortex","Vortex glacial"
"specials.name.glaive_of_flames","Glaive des flammes"
"specials.name.glass_anger_of_forest_horghall","Fragments de colère"
"specials.name.glass_arrow","Flèche de verre"
"specials.name.glass_barrage_scarlett","Barrage de verre"
"specials.name.glass_beam","Rayon de verre"
"specials.name.glass_bite","Morsure de verre"
"specials.name.glass_bolt","Carreau de verre"
"specials.name.glass_brew","Boisson de verre"
"specials.name.glass_burning_strike","Frappe de verre"
"specials.name.glass_chop","Coup de verre"
"specials.name.glass_cleave","Entaille de verre"
"specials.name.glass_cold_blast_ulmer","Blizzard de verre"
"specials.name.glass_cut","Coupure de verre"
"specials.name.glass_cut_chao","Taillade de vitrail"
"specials.name.glass_entangling_shot","Flèche de verre"
"specials.name.glass_finisher_thorne","Coup de grâce de verre"
"specials.name.glass_fireball","Boule de feu de verre"
"specials.name.glass_flame_smash","Coup enflammé de verre"
"specials.name.glass_four_blades","Lames de verre"
"specials.name.glass_fury","Fureur de verre"
"specials.name.glass_gamblers_stance","Posture de verre"
"specials.name.glass_hammer","Marteau de verre"
"specials.name.glass_have_faith","Foi claire"
"specials.name.glass_heal","Soins de verre"
"specials.name.glass_jolt","Décharge de verre"
"specials.name.glass_kick","Coup de pied de verre"
"specials.name.glass_leaping_attack_dawa","Attaque de verre"
"specials.name.glass_leeching_stars_renfeld","Étoile de verre"
"specials.name.glass_link","Lien de verre"
"specials.name.glass_massive_chop","Coup de verre"
"specials.name.glass_mist","Brume de verre"
"specials.name.glass_order","Ordre du vitrail"
"specials.name.glass_peck","Coup de bec de verre"
"specials.name.glass_piercing_hit_tyrum","Coup de vitrail"
"specials.name.glass_piercing_strike","Frappe de verre"
"specials.name.glass_prayer","Prière de verre"
"specials.name.glass_pulverizer","Pulvérisation de verre"
"specials.name.glass_pulverizer_tiburtus","Pulvérisation de verre"
"specials.name.glass_purification","Vitrification"
"specials.name.glass_ramming_rush","Ruée de verre"
"specials.name.glass_ramming_rush_isshtak","Ruée de verre"
"specials.name.glass_riposte","Riposte de verre"
"specials.name.glass_riposte_boril","Riposte de verre"
"specials.name.glass_shatter","Bris de verre"
"specials.name.glass_shield_kadilen","Bouclier de verre"
"specials.name.glass_skin","Peau de verre"
"specials.name.glass_slam","Choc de verre"
"specials.name.glass_slash","Taillade de verre"
"specials.name.glass_spear","Lance de verre"
"specials.name.glass_stab","Poignard de verre"
"specials.name.glass_stone_skin_gunnar","Lien de verre"
"specials.name.glass_strike","Frappe de verre"
"specials.name.glass_strike_caedmon","Frappe de verre"
"specials.name.glass_strike_magni","Frappe de verre"
"specials.name.glass_swords","Mur de verre"
"specials.name.glass_thunderstrike_quintus","Ultimatum de verre"
"specials.name.glass_traps_oberon","Pièges de verre"
"specials.name.glass_vines","Lierre de verre"
"specials.name.glass_volcano","Volcan de verre"
"specials.name.glass_wall","Rempart de verre"
"specials.name.glass_warcry","Cri de guerre de verre"
"specials.name.gleaming_gemstones","Gemmes brillantes"
"specials.name.gleaming_sword_and_iron_mail","Épée étincelante et armure de fer"
"specials.name.glittering_sweep_dragon_pve","Frappe étincelante"
"specials.name.gloom_grenades","Grenades sinistres"
"specials.name.gloomy_tune","Air sinistre"
"specials.name.glorious_grace","Grâce glorieuse"
"specials.name.glutinous_execution","Extinction gloutonne"
"specials.name.gluttonous_chomp_blue","Mâchouille gloutonne"
"specials.name.gluttonous_chomp_green","Mâchouille gloutonne"
"specials.name.gluttonous_chomp_purple","Mâchouille gloutonne"
"specials.name.gluttonous_chomp_red","Mâchouille gloutonne"
"specials.name.gluttonous_chomp_yellow","Mâchouille gloutonne"
"specials.name.gnomish_carnage","Carnage de gnome"
"specials.name.goat_rush","Ruée de chèvre"
"specials.name.goblin_explosives","Explosifs gobelins"
"specials.name.goblin_serenade","Sérénade des gobelins"
"specials.name.god_of_the_underworld","Frappe des enfers"
"specials.name.gold_gauntlet","Gantelet d'or"
"specials.name.gold_rush","Ruée vers l'or"
"specials.name.gold_weaver","Tisserand d'or"
"specials.name.golden_aura","Aura dorée"
"specials.name.golden_cicada","Cigale dorée"
"specials.name.golden_sacred_symbol","Symbole sacré doré"
"specials.name.golden_thread","Cordes dorées"
"specials.name.golem_crusher","Écrase-golem"
"specials.name.goodnight_lullaby","Berceuse nocturne"
"specials.name.gooey_rose","Rose gluante"
"specials.name.gorging_bite_yellow","Morsure goulue"
"specials.name.gorging_chew_blue","Voracité insatiable"
"specials.name.gorging_chew_green","Voracité insatiable"
"specials.name.gorging_chew_purple","Voracité insatiable"
"specials.name.gorging_chew_red","Voracité insatiable"
"specials.name.gorging_chew_yellow","Voracité insatiable"
"specials.name.gorgyra","Endurance de la valkyrie"
"specials.name.grab_and_run","Vol à la tire"
"specials.name.graceful_shot","Tir gracieux"
"specials.name.graceless_ritual","Rituel sans grâce"
"specials.name.grand_heist","Grand braquage"
"specials.name.great_frost_axe","Grande hache du givre"
"specials.name.great_frost_hoe","Grande houe du givre"
"specials.name.greed_and_bribery","Avidité et corruption"
"specials.name.greedy_munch_red","Gourmandise extrême"
"specials.name.green_dragon_crescent_blade","Croissant du dragon vert"
"specials.name.green_dragon_inferno","Lame infernale du dragon vert"
"specials.name.green_sparks_dragon_pve","Étincelles vertes"
"specials.name.greeting_of_the_sun","Salutation solaire"
"specials.name.grim_awakening","Éveil sinistre"
"specials.name.grimoire_skim","Lecture de grimoire"
"specials.name.grips_of_longing","Étreinte du désir"
"specials.name.grips_of_longing_pve","Étreinte du désir"
"specials.name.grove_splash_dragon_pve","Éclaboussure du bosquet"
"specials.name.gruesome_charge","Charge affreuse"
"specials.name.guard_the_garden","Protection du jardin"
"specials.name.guardian_armor","Amure de gardien"
"specials.name.guardians_retaliation","Représailles du gardien"
"specials.name.guarding_tunes","Mélodies protectrices"
"specials.name.guiding_arrow","Flèche guide"
"specials.name.gust_of_restoration","Bourrasque de restauration"
"specials.name.gust_of_swiftness","Bourrasque d'agilité"
"specials.name.hack_and_slash","Hack & Slash"
"specials.name.hacking_attack","Attaque tranchante"
"specials.name.hailstone_glare_dragon_pve","Grêle aveuglante"
"specials.name.hailstorm","Tempête de grêle"
"specials.name.halflings_wisdom","Sagesse demi-humaine"
"specials.name.halflings_wit","Ruse du demi-humain"
"specials.name.hallowed_blade","Lame sanctifiée"
"specials.name.halting_counter_strike","Contre-attaque bloquante"
"specials.name.hammer_thump","Coup de marteau"
"specials.name.harmonic_bash","Coup harmonique"
"specials.name.harmonic_slam","Frappe vibratoire"
"specials.name.harpoon_sentry","Sentinelle à harpon"
"specials.name.harpy_claw","Griffe de harpie"
"specials.name.harrow_the_heart","Cœur tourmenté"
"specials.name.hasty_gift_wrapper","Emballage express"
"specials.name.hasty_trigger_finger","Gâchette rapide"
"specials.name.have_curiosity","Lueur d'espoir"
"specials.name.have_faith","Crois en moi"
"specials.name.haze_of_the_deceased","Brouillard des déchus"
"specials.name.head_hurl","Lancer de tête"
"specials.name.healing_chant","Chant guérisseur"
"specials.name.healing_fire_spirits","Esprits de feu guérisseurs"
"specials.name.healing_gift","Soin inconscient"
"specials.name.healing_gift_anteros","Soin inconscient"
"specials.name.healing_gift_kabeiroi","Soin inconscient"
"specials.name.healing_mirror","Miroir guérisseur"
"specials.name.healthiest_catch","Prise très saine"
"specials.name.hearty_stew","Ragoût revigorant"
"specials.name.heatstinger","Dard thermique"
"specials.name.heavy_fragrance","Parfum céleste"
"specials.name.heedless_hammer_flurry","Marteau enragé"
"specials.name.heirloom_dagger","Dague héritée"
"specials.name.helping_hands","Coups de main"
"specials.name.hemlock_tea","Thé à la ciguë"
"specials.name.herbal_remedies","Remèdes à base d'herbes"
"specials.name.herculean_throw","Lancer herculéen"
"specials.name.herd_stampede","Cavalcade"
"specials.name.here_catch","Cadeau empoisonné"
"specials.name.heretic_slayer","Massacre d'hérétiques"
"specials.name.heroic_noble","Lancer de trident"
"specials.name.heroic_noble_deadly","Lancer de trident"
"specials.name.herring_blaster","Canon à harengs"
"specials.name.herring_surprise","Hareng surprise"
"specials.name.hide_in_shadows","Caché dans l'obscurité"
"specials.name.high_altitude_ambush","Embuscade en altitude"
"specials.name.high_energy_field","Champ de haute énergie"
"specials.name.high_noon_sun","Soleil de midi"
"specials.name.holding_down_the_fort","Protection du fort"
"specials.name.hollow_boast","Vantardise creuse"
"specials.name.holy_aura","Aura sacrée"
"specials.name.holy_guard","Garde sacrée"
"specials.name.holy_hibiscus_ale","Breuvage à l'hibiscus sacré"
"specials.name.holy_mark","Marque sacrée"
"specials.name.holy_splash","Éclaboussure sacrée"
"specials.name.home_run","Home Run"
"specials.name.horn_attack","Attaque de bois"
"specials.name.horrifying_wail","Mur terrifiant"
"specials.name.horses_curse","Brise sablonneuse"
"specials.name.hoverboard_crash","Accident d'hoverboard"
"specials.name.hoverboard_slam","Coup de planche volante"
"specials.name.howling_sword","Épée hurlante"
"specials.name.hues_of_love","Teintes d'amour"
"specials.name.hungering_grave","Tombe affamée"
"specials.name.hunt_for_prey","Traque implacable"
"specials.name.hunters_instinct","Instinct du chasseur"
"specials.name.hunters_mark","Marque du chasseur"
"specials.name.hunters_true_shot","Tir du chasseur"
"specials.name.hunting_ballad","Ballade chasseresse"
"specials.name.hunting_charge","Charge chasseresse"
"specials.name.hydra_bite","Morsure d'hydre"
"specials.name.hymn_of_enrichment","Hymne de la richesse"
"specials.name.hyper_porridge","Hyper porridge"
"specials.name.hyperborean_hook","Crochet hyperboréen"
"specials.name.hypersonic_tackle","Tacle hypersonique"
"specials.name.hypnosis_dragon_pve","Hypnose"
