"herocard.passive_skill.description.addmana.all.allies","Tutti gli alleati guadagnano una piccola quantità di mana."
"herocard.passive_skill.description.memorizestatuseffects#2","Questo personaggio possiede l'abilità innata di Memorizzare i disturbi. Gli ultimi {0} disturbi lanciati su questo personaggio resteranno memorizzati finché non sarà lanciata l'Abilità speciale. Solo i disturbi con una durata possono essere memorizzati."
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_blue","Questo Mimic offre una probabilità di ottenere bottino extra al completamento degli stadi:

*****
 Eterea Alfa
 Eterea del Ghiaccio III

****
 Eterea del Ghiaccio II

***
 Eterea del Ghiaccio I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_green","Questo Mimic offre una probabilità di ottenere bottino extra al completamento degli stadi:

*****
 Eterea Alfa
 Eterea della Natura III

****
 Eterea della Natura II

***
 Eterea della Natura I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_purple","Questo Mimic offre una probabilità di ottenere bottino extra al completamento degli stadi:

*****
 Eterea Alfa
 Eterea dell'Oscurità III

****
 Eterea dell'Oscurità II

***
 Eterea dell'Oscurità I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_red","Questo Mimic offre una probabilità di ottenere bottino extra al completamento degli stadi:

*****
 Eterea Alfa
 Eterea del Fuoco III

****
 Eterea del Fuoco II

***
 Eterea del Fuoco I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_yellow","Questo Mimic offre una probabilità di ottenere bottino extra al completamento degli stadi:

*****
 Eterea Alfa
 Eterea del Sacro III

****
 Eterea del Sacro II

***
 Eterea del Sacro I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

****
 Lama di Damasco
 Tomo di tattiche
 Telescopio potente

***
 Guanti sottili
 Bussola
 Cappa calda
 Manuale di battaglia
 Stivali alti
 Maglia metallica
 
 Fune robusta"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_epic_yellow","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

***
 Lama nascosta
 Sfera magica
 Scudo robusto
 Strumento trappola
 Cappa calda
 Manuale di battaglia
 Maglia metallica
 Fodero
 Stivali alti

**
 Scritti arcani
 Pugnale
 Armatura di pelle
 Pietra per affilatura
 Fune robusta
 Scudo di legno

*
 Kit dell'avventuriero
 Spada da allenamento
 Abiti robusti"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

****
 Lama di Damasco
 Tomo di tattiche
 Tonico misterioso

***
 Guanti sottili
 Bussola
 Scudo robusto
 Stivali alti
 Fodero

**
 Corda forte
 Pugnale"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

****
 Lama di Damasco
 Tomo delle Tattiche
 Tunica Reale

***
 Guanti sottili
 Bussola
 Strumenti trappola
 Stivali alti
 Fodero

**
 Fune robusta
 Pugnale"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

****
 Lama di Damasco
 Tomo della Tattica
 Anelli mistici

***
 Guanti sottili
 Bussola
 Lama nascosta
 Camicia di cotta di maglia
 Stivali alti

**
 Scrittura Arcana"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

****
 Lama di Damasco
 Tomo della Tattica
 Frecce velenose

***
 Guanti sottili
 Bussola
 Sfera magica
 Maglia metallica
 Stivali alti

**
 Scritti arcani"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_blue","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

*****
 Emblemi maestria Incantatore
 Emblemi maestria Stregone

****
 Emblemi Incantatore
 Emblemi Stregone"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_green","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

*****
 Emblemi maestria Paladino
 Emblemi maestria Druido

****
 Emblemi Paladino
 Emblemi Druido"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_purple","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

*****
 Emblemi maestria Furfante
 Emblemi maestria Ranger

****
 Emblemi Furfante
 Emblemi Ranger"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_red","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stage:

*****
 Emblemi maestria Combattente
 Emblemi maestria Barbaro

****
 Emblemi Combattente
 Emblemi Barbaro"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_yellow","Questo Mimic dà la possibilità di ottenere un bottino extra quando si completano gli stadi:

*****
 Emblemi maestria Chierico
 Emblemi maestria Monaco

****
 Emblemi Chierico
 Emblemi Monaco"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_experience_rare_red","Questo mimic offre la possibilità di ottenere un bottino extra al completamento degli stadi:

**
Eroi non comuni Fuoco, Natura, Ghiaccio, Oscurità e Sacro

*
 Eroi istruttori maestri comuni
Eroi comuni Fuoco, Natura, Ghiaccio, Oscurità e Sacro"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","Questo mimic offre la possibilità di ottenere un bottino extra al completamento degli stadi:

**
Eroi istruttori rari Ghiaccio 

*
 Eroi istruttori non comuni Ghiaccio  
Eroi non comuni Ghiaccio 
 
*
Eroi istruttori comuni Ghiaccio
 
*
Eroi istruttori comuni Ghiaccio"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","Questo mimic offre la possibilità di ottenere un bottino extra al completamento degli stadi:

**
Eroi istruttori rari Natura

*
 Eroi istruttori non comuni Natura  
Eroi non comuni Natura 
 
*
Eroi istruttori comuni Natura
 
*
Eroi istruttori comuni Natura"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","Questo mimic offre la possibilità di ottenere un bottino extra al completamento degli stadi:

**
Eroi istruttori rari Oscuro

*
 Eroi istruttori non comuni Oscuro è 
Eroi non comuni Oscuro 
 
*
Eroi istruttori non comuni Oscuro
 
*
Eroi istruttori comuni Oscuro"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","Questo mimic offre la possibilità di ottenere un bottino extra al completamento degli stadi:

**
Eroi istruttori rari Fuoco 

*
 Eroi istruttori non comuni Fuoco  
Eroi non comuni Fuoco 
 
*
Eroi istruttori comuni Fuoco 
 
*
Eroi istruttori comuni Fuoco"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","Questo mimic offre la possibilità di ottenere un bottino extra al completamento degli stadi:

**
Eroi istruttori rari Sacro  

*
 Eroi istruttori non comuni Sacro   
Eroi non comuni Sacro  
 
*
Eroi istruttori comuni Sacro   
 
*
Eroi istruttori comuni Sacro"
"herocard.passive_skill.description.nevermissspecial","L'Abilità speciale di questo personaggio non manca mai il bersaglio."
"herocard.passive_skill.description.ransack","All'inizio di ogni turno, questo personaggio saccheggia un nemico a caso:

 Ruba {DAMAGE} di Salute.
 Ruba in modo sicuro una magia benefica, un effetto di crescita o una magia benefica delle iterazioni positive dal nemico. Sono incluse le magie benefiche non rimovibili e gli effetti di Danza."
"herocard.passive_skill.description.ransack.chance","All'inizio di ogni turno, questo personaggio ha il {CHANCE}% di probabilità di saccheggiare un nemico a caso:

Saccheggio:
 Ruba {DAMAGE} di Salute.
 Ruba in modo sicuro un effetto di crescita, un'iterazione positiva o una magia benefica degli effetti di stato a caso dal nemico. Sono incluse le magie benefiche non rimovibili e gli effetti di Danza.
 Il furto sicuro ignora gli effetti secondari, come i danni su rimozione, delle magie benefiche rimosse. Le abilità passive e gli effetti delle famiglie possono comunque essere attivati."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di rubare la magia benefica annullabile più recente a un nemico casuale che ne abbia. Se nessun nemico ha delle magie benefiche, infligge il {DAMAGE}% di danni a tutti i nemici."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di rubare la magia benefica annullabile più recente a un nemico casuale che ne abbia. Se nessun nemico ha delle magie benefiche, infligge il {DAMAGE}% di danni a tutti i nemici."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Quando questo personaggio lancia la sua Abilità speciale, trasferisce il più recente disturbo annullabile da sé al bersaglio. Se l'Abilità speciale non può bersagliare un nemico, ne viene scelto uno a caso. Se il personaggio non ha disturbi annullabili, recupera il {HEALTH}% di Salute."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE}% di probabilità di sostituire gli effetti negativi in arrivo con equivalenti effetti positivi."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Questo Eroe subisce meno danni elementali dalle truppe dell'elemento più forte.

Danni elementali subiti: -{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER}% in meno di danni elementali subiti dalle truppe dell'elemento più forte."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER}% in più di danni elementali subiti dalle palle di fuoco dell'elemento più forte."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","La prima volta che questo personaggio riceve danni fatali, reindirizza quei danni su un nemico casuale.

Nelle battaglie con più ondate, l'effetto si ripristina all'inizio di ogni ondata."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","La prima volta che questo personaggio riceve danni fatali, reindirizza quei danni su un nemico casuale. (Attivazioni rimaste: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE}% di probabilità extra di riflettere i disturbi all'attaccante."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Ogni {TURNS} turni, rimuove gli effetti di Avvizzimento da tutti gli alleati."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Ogni {TURNS} turni, rimuove gli effetti di Crescita da tutti i nemici."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Il Nucleo costrutto di questo personaggio è un Nucleo riparatore.

Il Nucleo riparatore si attiva ogni volta che viene lanciata l'Abilità speciale di questo personaggio:

 Con un Nucleo riparatore completamente carico, la salute di tutti gli alleati aumenta del {CHARGEDPOWER1}%. 
 La guarigione è proporzionale alla quantità di carica del nucleo. Tutta la carica si esaurisce quando il nucleo viene attivato."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE}% di probabilità di lanciare l'Abilità speciale di questo Eroe {REPEATS} volte."
"herocard.passive_skill.description.resist.accuracymodifiers","Questo personaggio è immune ai disturbi che influenzano la precisione. Non si applica agli effetti di stato originali degli alleati."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Questo personaggio è immune ai disturbi e alle interazioni negative."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE}% di probabilità extra di resistere a ogni disturbo e annullamento delle magie benefiche."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE}% di probabilità extra di resistere a ogni disturbo, riduzione del mana, annullamento delle magie benefiche ed effetti di Avvizzimento."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE}% di probabilità extra di resistere a ogni disturbo, riduzione del mana, annullamento delle magie benefiche e Follia."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE}% di probabilità extra di resistere a ogni disturbo, riduzione del mana e annullamento delle magie benefiche."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE}% di probabilità extra di resistere a tutti i disturbi."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Questo personaggio è immune ai disturbi che influenzano la difesa. Si applica anche ai disturbi che influenzano la difesa elementale."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Questo personaggio è immune ai disturbi, alle iterazioni negative e agli effetti di Avvizzimento che influenzano la difesa."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Questo personaggio non è influenzato dagli effetti che aumentano o riducono la Difesa.

Questo include le magie benefiche e i disturbi degli effetti di stato, le iterazioni positive e negative, e gli effetti di Avvizzimento e Crescita."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Questo personaggio non è influenzato dagli effetti che aumentano o riducono la Difesa.

Questo include
 Le magie benefiche e i disturbi degli effetti di stato
 Le iterazioni positive e negative
 Gli effetti di Crescita e Avvizzimento"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Questo personaggio non è influenzato dagli effetti che aumentano o riducono la Difesa.

Questo include le magie benefiche e i disturbi degli effetti di stato, le iterazioni positive e negative, e gli effetti di Avvizzimento e Crescita."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Questo personaggio è immune ai disturbi e alle iterazioni negative che influenzano la rigenerazione mana. Si applica anche ai disturbi che bloccano la rigenerazione mana o rubano mana."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Questo personaggio è immune dalle riduzioni di mana, nonché dai disturbi e dalle iterazioni negative che influenzano la rigenerazione mana. Si applica anche ad effetti e disturbi che bloccano o rubano mana."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Questo personaggio è immune ai danni ricevuti dagli effetti di stato."
"herocard.passive_skill.description.resist.attackdelay","L'attacco normale di questo personaggio non può essere posticipato."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","L'attacco normale di questo personaggio non può essere posticipato."
"herocard.passive_skill.description.resist.attackmodifiers","Questo personaggio è immune ai disturbi che influenzano l'attacco."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Questo personaggio è immune a tutti gli effetti di stato e alle iterazioni che influenzano l'attacco. Questo include magie benefiche degli effetti di stato."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Questo personaggio è immune ai disturbi, alle iterazioni negative e agli effetti di Avvizzire che influenzano l'attacco."
"herocard.passive_skill.description.resist.bleed","Questo personaggio è immune ai disturbi che infliggono danni da sanguinamento."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Questo personaggio è immune dai disturbi che infliggono danni da sanguinamento e guadagna {HEALTHBOOST} di Salute potenziata e il {MANA}% di mana ogni volta che vi resiste."
"herocard.passive_skill.description.resist.buffdispels","Questo personaggio è immune agli effetti che potrebbero annullare le sue magie benefiche degli effetti di stato."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE}% di probabilità extra di resistere agli annullamenti delle magie benefiche."
"herocard.passive_skill.description.resist.buffimmunity","Questo personaggio è immune agli effetti che gli impedirebbero di ricevere nuove magie benefiche degli effetti di stato."
"herocard.passive_skill.description.resist.burn","Questo personaggio è immune ai disturbi che infliggono danni da ustione."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Questo personaggio è immune ai disturbi che infliggono danni da ustione e guadagna {HEALTHBOOST} salute potenziata e {MANA}% mana ogni volta che resiste."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Questo personaggio è immune ai disturbi."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE}% di probabilità extra di resistere a tutti i disturbi."
"herocard.passive_skill.description.resist.criticalhits.none","Questo personaggio è immune dai danni extra e dagli effetti aggiuntivi dei colpi critici."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Questo personaggio è immune ai disturbi che influenzano la difesa. Non si applica ai disturbi che influenzano la difesa elementale."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Questo personaggio è immune ai disturbi e alle iterazioni negative che influenzano la difesa. Non si applica ai disturbi che influenzano la difesa elementale."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," Immune agli effetti che rimuovono i servitori.
 Non è possibile impedire a questo personaggio di ricevere servitori.
 Gli attacchi e le abilità del servitore non possono essere disabilitati."
"herocard.passive_skill.description.resist.frost","Questo personaggio è immune ai disturbi che infliggono danni da Gelo."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Questo personaggio è immune ai disturbi che infliggono danni da Gelo e guadagna {HEALTHBOOST} salute potenziata e {MANA}% mana ogni volta che resiste."
"herocard.passive_skill.description.resist.healeffects","Questo personaggio è immune ai disturbi che influenzano la guarigione."
"herocard.passive_skill.description.resist.healthsteal","Questo personaggio è immune ai disturbi che rubano salute."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Questo personaggio è immune alla Follia."
"herocard.passive_skill.description.resist.manadebuffs","Questo personaggio è immune ai disturbi che influenzano il mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Questo personaggio è immune ai disturbi che influenzano la rigenerazione mana o che impediscono l'uso delle Abilità speciali."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Questo personaggio ha il {CHANCE}% di probabilità di resistere ai disturbi che influenzano il mana o che impediscono l'uso di Abilità speciali."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Questo personaggio è immune ai disturbi e alle iterazioni negative che influenzano la rigenerazione mana. Non si applica ai disturbi che bloccano la rigenerazione mana o che rubano mana."
"herocard.passive_skill.description.resist.manareduction","Questo personaggio è immune alle riduzioni di mana."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE}% di probabilità extra di resistere alla riduzione del mana."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Questo personaggio è immune alle riduzioni di mana. Inoltre, guadagna {HEALTHBOOST} salute potenziata e {MANA}% mana ogni volta che resiste."
"herocard.passive_skill.description.resist.maxhealthreduction","Questo personaggio è immune alla riduzione della Salute massima."
"herocard.passive_skill.description.resist.poison","Questo personaggio è immune ai disturbi che infliggono danni da veleno."
"herocard.passive_skill.description.resist.poison.burn.bleed","Questo personaggio è immune ai disturbi che infliggono veleno, ustione o sanguinamento."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Questo personaggio è immune agli effetti di stato che potrebbero possedere il personaggio."
"herocard.passive_skill.description.resist.sand","Questo personaggio è immune ai disturbi che infliggono danni da sabbia."
"herocard.passive_skill.description.resist.specialblocking","Questo personaggio è immune ai disturbi che impediscono l'uso delle Abilità speciali."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Questo personaggio ha il {CHANCE}% di probabilità di resistere ai disturbi che impediscono l'uso di Abilità speciali."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Questo personaggio è immune ai disturbi che impediscono l'uso delle abilità speciali. Inoltre, guadagna {HEALTHBOOST} salute potenziata e {MANA}% mana ogni volta che resiste."
"herocard.passive_skill.description.resist.stopmanageneration","Questo personaggio è immune ai disturbi che bloccano la rigenerazione mana."
"herocard.passive_skill.description.resist.water","Questo personaggio è immune ai disturbi che infliggono danni da Acqua."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Questo personaggio è immune ai disturbi che provengono dai servitori."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Questo personaggio è immune agli effetti che rimuoverebbero i servitori."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Questo personaggio è immune agli effetti negativi in arrivo e ai danni dei servitori."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Questo personaggio è immune agli effetti negativi in arrivo e ai danni dei servitori e dei servitori Mega."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Questo personaggio non può ricevere demoni."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Questo personaggio non può ricevere demoni o demoni Mega"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE}% di probabilità extra di resistere a tutti i disturbi."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Le probabilità di resurrezione sono ridotte per tutti i nemici in battaglia. Le probabilità sono pari al {MODIFIER}% del valore originale."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Tutti i nemici hanno il {HEALTHMODIFIER}% di Salute quando vengono rianimati. I boss nemici non vengono influenzati."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Se sconfitto, questo personaggio ha la possibilità di rinascere come Ospite sinistro. La probabilità è di un {CHANCEINCREASEPERSTEP}% per {INSANITYPERSTEP} Follia di questo personaggio, fino a una probabilità massima di un {MAXCHANCEINCREASE}%. 

L'Ospite sinistro ha:
{INHERITEDHEALTH}% Salute ereditata. 
{ATTACK} Attacco.
{DEFENSE} Difesa.
 Abilità speciale: Piaga sinistra.

Se questo personaggio si sconfigge da sé quando attiva Follia, la probabilità di rinascere è sempre di un {CHANCEONSELFCAUSEDDEATH}%."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Se sconfitto, questo personaggio ha una probabilità di rinascere come Ospite sinistro. Le probabilità sono del {CHANCEINCREASEPERSTEP}% per ogni {INSANITYPERSTEP} di Follia su questo personaggio, fino a una probabilità massima del {MAXCHANCEINCREASE}%.

L'Ospite sinistro ha:
 Il {INHERITEDHEALTH}% di Salute ereditata.
 {ATTACK} di Attacco.
{DEFENSE} di Difesa.
 La seguente Abilità speciale:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance"," Quando viene sconfitto, questo personaggio ha un {TOTALCHANCE}% di probabilità di rianimarsi all'inizio del suo prossimo turno con un {HEALTH}% di Salute e un {MANA}% di mana. 

 Si attiva fino a un massimo di {MAXACTIVATIONCOUNT} volte. Le probabilità di rianimazione si riducono a ogni attivazione. Non può essere evitata con disturbi o abilità passive."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Tutte le Ballate lanciate dai nemici durano solo {TURNS} turno."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Tutte le Danze lanciate dai nemici durano solo {TURNS} turno."
"herocard.passive_skill.description.sharereceiveddamage","Il {SHAREDDAMAGEPORTION}% dei danni subiti da questo personaggio viene condiviso con tutti gli altri alleati."
"herocard.passive_skill.description.specialdamagereduction","I danni subiti vengono ridotti del {DAMAGEREDUCTION}% per le prime {MAXACTIVATIONCOUNT} volte in cui questo personaggio subisce danni da Abilità speciali."
"herocard.passive_skill.description.specialdamagereduction.chance","Questo personaggio ha una probabilità del {CHANCE}% di ridurre a 1 i danni diretti subiti dalle Abilità speciali."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","I danni subiti dalle Abilità speciali vengono ridotti del {DAMAGEREDUCTION}% per questo personaggio."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Questo personaggio riceve il {MANA}% del mana all'inizio della battaglia."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER}% di Attacco."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER}% di Difesa."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER}% di Salute."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER}% di Salute, {ATTACKMULTIPLIER}% di Attacco."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER}% di Salute, {DEFENSEMULTIPLIER}% di Difesa."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER}% di Salute, {DEFENSEMULTIPLIER}% di Difesa, {ATTACKMULTIPLIER}% di Attacco."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Gli effetti di stato che aumentano l'Attacco sono più efficaci del {MODIFIER}% per questo personaggio."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Riduce del {MODIFIER}% l'effetto dei disturbi che influiscono sull'Attacco. L'effetto si applica a questo personaggio e a tutti i suoi alleati in battaglia."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","I disturbi che riducono l'Attacco sono meno efficaci del {MODIFIER}% contro questo personaggio."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Gli effetti di stato che aumentano l'Attacco sono più efficaci del {MODIFIER}% per questo personaggio."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","I disturbi che riducono l'Attacco sono meno efficaci del {MODIFIER}% contro questo personaggio."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Gli effetti di stato che aumentano la Difesa sono più efficaci del {MODIFIER}% per questo personaggio."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Riduce del {MODIFIER}% l'effetto dei disturbi della difesa. L'effetto si applica a questo personaggio e a tutti i suoi alleati in battaglia."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","I disturbi che riducono la Difesa sono meno efficaci del {MODIFIER}% contro questo personaggio."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Gli effetti di stato che aumentano la Difesa sono più efficaci del {MODIFIER}% per questo personaggio."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","I disturbi che riducono la Difesa sono meno efficaci del {MODIFIER}% contro questo personaggio."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","La durata dei primi {MAXACTIVATIONCOUNT} disturbi subiti da questo personaggio a causa di Abilità speciali viene ridotta di {DURATIONMODIFIER} turno."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","La durata dei disturbi alla difesa subiti da questo personaggio a causa di Abilità speciali viene ridotta di {DURATIONMODIFIER} turni."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","La durata delle prime {MAXACTIVATIONCOUNT} magie benefiche ricevute da questo personaggio grazie ad Abilità speciali viene aumentata di {DURATIONMODIFIER} turno."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Quando un disturbo viene annullato da questo eroe, una nuova copia del disturbo annullato viene applicata su un nemico casuale."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Ogni volta che questo Gargoyle lancia un'Abilità speciale, tutti gli alleati ricevono Pelle morbida. Le successive {MAXACTIVATIONS} volte che ricevono danni, questi vengono ridotti del {DAMAGEREDUCTION}%. Sono inoltre immuni a tutti i disturbi di stato, alle riduzioni di mana e alla follia. Questo effetto non può essere annullato."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Ogni volta che questo Gargoyle lancia un'Abilità Speciale, la sua Pelle morbida si attiva. Le successive {MAXACTIVATIONS} volte che riceve danni, questi vengono ridotti del {DAMAGEREDUCTION}%. Sono inoltre immuni a tutti i disturbi di stato, alle riduzioni di mana e alla follia. Questo effetto non può essere annullato."
