"heroes.name_fancy.astral_cosmicspeaker","Astraalihaltia-astronomi"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Piikkien muinainen"
"heroes.name_fancy.exalted_warrior","Jäinen muinainen"
"heroes.name_fancy.exalted_warrior_costume_cute","Jäinen piirretty"
"heroes.name_fancy.exalted_warrior_costume_glass","Jäinen lasimaalaus"
"heroes.name_fancy.exalted_warrior_costume_ice","Jäämonoliitti"
"heroes.name_fancy.exalted_warrior_costume_stylish","Tyylikäs jäinen muinainen"
"heroes.name_fancy.exalted_warrior_costume_underworld","Manalan muinainen"
"heroes.name_fancy.fables_boss_wolf","Julmametsän kuvernööri"
"heroes.name_fancy.fables_cinderella","Julmametsän sisäkkö"
"heroes.name_fancy.fables_frog_prince","Valtaistuimen perijä"
"heroes.name_fancy.fables_gnomer","Julmametsän vartija"
"heroes.name_fancy.fables_gretel","Julmametsän noidantappaja"
"heroes.name_fancy.fables_hansel","Julmametsän noidanmetsästäjä"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Julmametsän vampyyrinmetsästäjä"
"heroes.name_fancy.fables_pixie","Julmametsän haltija"
"heroes.name_fancy.fables_puss_in_boots","Julmametsän kissa"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Naamioitunut ryövärikissa"
"heroes.name_fancy.fables_red_hood","Julmametsän suojelija"
"heroes.name_fancy.fables_rumpelstiltskin","Julmametsän narri"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Ikuinen keppostelija"
"heroes.name_fancy.fables_snow_white","Julmametsän prinsessa"
"heroes.name_fancy.fables_snow_white_costume_slayer","Tappaja-Lumikki"
"heroes.name_fancy.faun_araminta","Pelottava faunisoturi"
"heroes.name_fancy.faun_ascian","Kaiken näkevä fauniennustaja"
"heroes.name_fancy.faun_bramble","Lempeä faunipuutarhuri"
"heroes.name_fancy.faun_gideon","Urhea faunikomentaja"
"heroes.name_fancy.faun_isidore","Karismaattinen faunimestari"
"heroes.name_fancy.faun_jolyon","Mietteliäs fauninikkari"
"heroes.name_fancy.faun_maud","Kunnianhimoinen faunialkemisti"
"heroes.name_fancy.faun_myrtle","Ahdistunut kasvisparantajafauni"
"heroes.name_fancy.faun_peregrine","Hurjapäinen faunitiedustelija"
"heroes.name_fancy.faun_philomena","Lumoava faunisoittaja"
"heroes.name_fancy.faun_saskia","Nopsajalkainen faunitanssija"
"heroes.name_fancy.faun_tamlin","Outo faunihuilisti"
"heroes.name_fancy.faun_verity","Salaperäinen faunikauppias"
"heroes.name_fancy.faun_yolanda","Verenhimoinen fauninäkijä"
"heroes.name_fancy.faun_ysabel","Peloton faunigladiaattori"
"heroes.name_fancy.fire_god_andre","Petetty temppeliritari"
"heroes.name_fancy.fire_god_anzogh","Samaanin kauna"
"heroes.name_fancy.fire_god_ares","Sodan jumala"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Sodan avainmestari"
"heroes.name_fancy.fire_god_doom","Veritahrainen druidi"
"heroes.name_fancy.fire_god_doom_costume_avenger","Liekehtivä kostaja"
"heroes.name_fancy.fire_god_eliane","Vanhempi punamaagi"
"heroes.name_fancy.fire_god_jean_francois","Musketöörimaagi"
"heroes.name_fancy.fire_god_maple","Ruskometsän keiju"
"heroes.name_fancy.fire_god_nadnog","Palava parantaja"
"heroes.name_fancy.fire_god_natalya","Leiskuva lumoojatar"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Leiskuva ompelijatar"
"heroes.name_fancy.fire_god_neema","Tulivelho"
"heroes.name_fancy.fire_god_noor","Varpuskuiskaaja"
"heroes.name_fancy.fire_god_reuben","Vannoutunut okkultisti"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Erottamaton tiimi"
"heroes.name_fancy.fire_god_russell","Raivoisa pyromantikko"
"heroes.name_fancy.fire_god_skargremar","Jälkijoukkojen tienraivaaja"
"heroes.name_fancy.fire_god_tahir","Vaeltava metsästäjä"
"heroes.name_fancy.fire_god_yang_mai","Auringon nyrkki"
"heroes.name_fancy.fire_god_zagrog","Yksinäinen kulkuri"
"heroes.name_fancy.fire_god_zarga","Vikkelä veitsenkäyttäjä"
"heroes.name_fancy.fire_god_zidane","Hurmaava kaappari"
"heroes.name_fancy.fire_god_zimkitha","Kauan kadoksissa ollut tytär"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Kauan kadoksissa ollut seikkailija"
"heroes.name_fancy.fleur_elyzabel","Verenhimoinen kreivitär"
"heroes.name_fancy.fleur_eumachius","Verenhimoinen perillinen"
"heroes.name_fancy.fleur_guillemette","Verenhimoinen ristiretkeläinen"
"heroes.name_fancy.fleur_lavinia","Verenhimoinen haaveilija"
"heroes.name_fancy.fleur_ludovico","Verenhimoinen käskynhaltija"
"heroes.name_fancy.fleur_talesie","Verenhimoinen salamurhaaja"
"heroes.name_fancy.forest_archer","Kyvykäs jousiampuja"
"heroes.name_fancy.forest_archer_costume_cute","Piirretty jousiampuja"
"heroes.name_fancy.forest_archer_costume_glass","Lasinen jousiampuja"
"heroes.name_fancy.forest_archer_costume_warrior","Taitava jousiampuja"
"heroes.name_fancy.forest_female_druid","Rathwoodin druidi"
"heroes.name_fancy.forest_female_druid_costume_cute","Rathwoodin piirretty"
"heroes.name_fancy.forest_female_druid_costume_glass","Rathwoodin lasimaalaus"
"heroes.name_fancy.forest_female_druid_costume_native","Concordian samaani"
"heroes.name_fancy.forest_female_druid_costume_stylish","Tyylikäs druidi"
"heroes.name_fancy.forest_female_elf","Kuunvalon kilpimestari"
"heroes.name_fancy.forest_female_elf_costume_cute","Piirretty kilpimestari"
"heroes.name_fancy.forest_female_elf_costume_fairy","Kuunhelokeiju"
"heroes.name_fancy.forest_female_elf_costume_glass","Lasinen kilpimestari"
"heroes.name_fancy.forest_female_elf_costume_mage","Kuunvalon papitar"
"heroes.name_fancy.forest_female_illusionist","Kasvikuiskaaja"
"heroes.name_fancy.forest_female_spirit","Luonnonhenki"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Lehdon henki"
"heroes.name_fancy.forest_female_spirit_costume_cute","Piirretty henki"
"heroes.name_fancy.forest_female_spirit_costume_glass","Lasinen henki"
"heroes.name_fancy.forest_female_spirit_costume_stylish","Tyylikäs henki"
"heroes.name_fancy.forest_female_warrior","Kylän tyttö"
"heroes.name_fancy.forest_friar","Veikeä veli"
"heroes.name_fancy.forest_friar_costume_cute","Veikeä piirretty"
"heroes.name_fancy.forest_friar_costume_explorer","Lupsakka löytöretkeilijä"
"heroes.name_fancy.forest_friar_costume_glass","Lupsakka lasimaalaus"
"heroes.name_fancy.forest_god_elinor","Aarteenmetsästäjä"
"heroes.name_fancy.forest_god_elradir","Kuumetsän villi velho"
"heroes.name_fancy.forest_god_evelyn","Urhea perijätär"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Urhea metsästäjätär"
"heroes.name_fancy.forest_god_grace","Metsikön cervitauri"
"heroes.name_fancy.forest_god_gregorion","Pätevä jousiampuja"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Erakkoalkemisti"
"heroes.name_fancy.forest_god_kingston","Jalo salamurhaaja"
"heroes.name_fancy.forest_god_oberon","Seelie-mestari"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Ikitammen ritari"
"heroes.name_fancy.forest_god_telluria","Metsänjumala"
"heroes.name_fancy.forest_god_zeline","Luonnon pyhimys"
"heroes.name_fancy.forest_god_zeline_costume_avian","Siivekäs pyhimys"
"heroes.name_fancy.forest_god_zocc","Avainten herra"
"heroes.name_fancy.forest_mage","Metsän viisaus"
"heroes.name_fancy.forest_mage_costume_cute","Piirretty velho"
"heroes.name_fancy.forest_mage_costume_glass","Metsäinen lasimaalaus"
"heroes.name_fancy.forest_mage_costume_party","Ryhmän velho"
"heroes.name_fancy.forest_mage_costume_stylish","Tyylikäs velho"
"heroes.name_fancy.forest_mage_costume_white","Mahtava velho"
"heroes.name_fancy.forest_male_elf","Kuunvalon mestarikeihästäjä"
"heroes.name_fancy.forest_male_elf_costume_cute","Piirretty mestarikeihästäjä"
"heroes.name_fancy.forest_male_elf_costume_dark","Kuunvalon valloittaja"
"heroes.name_fancy.forest_male_elf_costume_glass","Lasinen keihäsmestari"
"heroes.name_fancy.forest_male_elf_costume_king","Kuun valaisema kuningas"
"heroes.name_fancy.forest_male_elf_costume_stylish","Tyylikäs keihäsmestari"
"heroes.name_fancy.forest_thug","Palkkahuligaani"
"heroes.name_fancy.forest_titan","Metsien muinainen"
"heroes.name_fancy.forest_titan_costume_cute","Metsien piirretty"
"heroes.name_fancy.forest_titan_costume_glass","Metsien lasimaalaus"
"heroes.name_fancy.forest_titan_costume_jester","Puinen narri"
"heroes.name_fancy.forest_titan_costume_nightmare","Metsän painajainen"
"heroes.name_fancy.forest_woodsman","Vaatimaton metsämies"
"heroes.name_fancy.forest_woodsman_warrior","Mahtava veli"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Salavihkainen veli"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Mahtava piirretty"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Mahtava lasimaalaus"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Mahtava ylämaalainen"
"heroes.name_fancy.forsaken_amarosa","Ulomman valtakunnan keisarinna"
"heroes.name_fancy.forsaken_cassilda","Vauhkoontunut arkkipapitar"
"heroes.name_fancy.forsaken_demhalar","Outo asukas"
"heroes.name_fancy.forsaken_inanis","Kahlitsematon"
"heroes.name_fancy.forsaken_jax","Kiusaava huligaani"
"heroes.name_fancy.forsaken_kadath","Kirottu pappi"
"heroes.name_fancy.forsaken_khatrox","Tautinen tappelija"
"heroes.name_fancy.forsaken_lamentia","Syvyyden palvelija"
"heroes.name_fancy.fortune_bai_yan","Leijonatanssin rummuttaja"
"heroes.name_fancy.fortune_dragon_kids","Lohikäärmetanssijoiden seuraava sukupolvi"
"heroes.name_fancy.fortune_ling_long","Nuorempi lohikäärmetanssija"
"heroes.name_fancy.fortune_wei_qi","Lumileijonatanssija"
"heroes.name_fancy.fortune_yan_qing","Lyhtyä kantava lohikäärmetanssija"
"heroes.name_fancy.fox_ashen","Hopeaselkäinen kettu"
"heroes.name_fancy.fox_ember","Tulenkutsujakettu"
"heroes.name_fancy.fox_foxglove","Ovela korvakoira"
"heroes.name_fancy.fox_foxley","Lainsuojaton kettu"
"heroes.name_fancy.fox_halcyon","Kettuvahti"
"heroes.name_fancy.fox_nettletail","Metsikön kiltti vartijakettu"
"heroes.name_fancy.fox_nibbles","Nälkäinen ketunpentu"
"heroes.name_fancy.fox_riverfang","Korsakkitaikoja"
"heroes.name_fancy.fox_rust","Vartioiva punakettu"
"heroes.name_fancy.fox_sable","Kadonnut kettuprinsessa"
"heroes.name_fancy.fox_shadowfang","Luita keräilevä hietakettu"
"heroes.name_fancy.fox_silverpaw","Merirosvoileva aavikkokettu"
"heroes.name_fancy.fox_spiff","Kuninkaallinen ritarikettu"
"heroes.name_fancy.fox_swiftpaw","Salamurhaava hopeakettu"
"heroes.name_fancy.fox_whitefang","Samoileva napakettu"
"heroes.name_fancy.gargoyle_arco","Päättäväinen gargoili"
"heroes.name_fancy.gargoyle_bellerive","Häijy gargoili"
"heroes.name_fancy.gargoyle_betty","Ketterä gargoili"
"heroes.name_fancy.gargoyle_budatin","Ilkeä gargoili"
"heroes.name_fancy.gargoyle_el_duque","Ylhäinen gargoili"
"heroes.name_fancy.gargoyle_gaillard","Neuvokas gargoili"
"heroes.name_fancy.gargoyle_garten","Juhliva gargoili"
"heroes.name_fancy.gargoyle_goseck","Juonikas gargoili"
"heroes.name_fancy.gargoyle_grumbl","Viisas gargoili"
"heroes.name_fancy.gargoyle_guffa","Tyyni gargoili"
"heroes.name_fancy.gargoyle_hilda","Peloton gargoili"
"heroes.name_fancy.gargoyle_hohenwerf","Hurja gargoili"
"heroes.name_fancy.gargoyle_kalo","Harhautunut gargoili"
"heroes.name_fancy.gargoyle_kemeny","Paatunut gargoili"
"heroes.name_fancy.gargoyle_matrera","Hämärä gargoili"
"heroes.name_fancy.gargoyle_mena","Pikkutarkka gargoili"
"heroes.name_fancy.gargoyle_penolite","Heltymätön gargoili"
"heroes.name_fancy.gargoyle_pophit","Virtuoosimainen gargoili"
"heroes.name_fancy.gargoyle_soroca","Raivoisa gargoili"
"heroes.name_fancy.gargoyle_uwe","Pörröinen gargoili"
"heroes.name_fancy.gargoyle_vincent","Säikky gargoili"
"heroes.name_fancy.gargoyle_vonreine","Tulinen gargoili"
"heroes.name_fancy.garrison_archibald","Hermoille käyvä majoitusmestari"
"heroes.name_fancy.garrison_beatrice","Komppanian vääpeli"
"heroes.name_fancy.garrison_caelen","Mietteliäs runoilija"
"heroes.name_fancy.garrison_ciara","Vaativa komentaja"
"heroes.name_fancy.garrison_dima","Karjumestari"
"heroes.name_fancy.garrison_fergus","Järkähtämätön konstaapeli"
"heroes.name_fancy.garrison_flamehide","Liskokansan uhkapeluri"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Katuviisas kersantti"
"heroes.name_fancy.garrison_frostsnout","Liskokansan lipunkantaja"
"heroes.name_fancy.garrison_godfrey","Suulas vartija"
"heroes.name_fancy.garrison_greg","Grogimestari"
"heroes.name_fancy.garrison_iarlaith","Tyylikäs miekkamies"
"heroes.name_fancy.garrison_iocantha","Asemestari"
"heroes.name_fancy.garrison_kolya","Juro vartija"
"heroes.name_fancy.garrison_maisie","Iloinen muurari"
"heroes.name_fancy.garrison_pip","Hermoileva lähetti"
"heroes.name_fancy.garrison_rosalind","Hyväntuulinen kapteeni"
"heroes.name_fancy.garrison_shimmerscale","Liskokansan lyhdynkantaja"
"heroes.name_fancy.garrison_theodosius","Urhea korpraali"
"heroes.name_fancy.garrison_vanya","Järkkymätön tienraivaaja"
"heroes.name_fancy.garrison_violet_potts","Huoleton puolituinen"
"heroes.name_fancy.garrison_william","Hermoileva yövartija"
"heroes.name_fancy.goblin_acidfire","Hiisimanaaja"
"heroes.name_fancy.goblin_archer","Ketterä metsästäjä"
"heroes.name_fancy.goblin_boom_and_fang","Kuriton kaksikko"
"heroes.name_fancy.goblin_boots","Puusilmäinen vartija"
"heroes.name_fancy.goblin_darkfeather","Taitava kotkankouluttaja"
"heroes.name_fancy.goblin_deadboot","Hiisikultisti"
"heroes.name_fancy.goblin_fighter","Varas"
"heroes.name_fancy.goblin_fighter_costume_cute","Piirretty varas"
"heroes.name_fancy.goblin_fighter_costume_evil","Murhaaja"
"heroes.name_fancy.goblin_fighter_costume_glass","Lasinen varas"
"heroes.name_fancy.goblin_fizzcoil","Hiisiviulisti"
"heroes.name_fancy.goblin_goldie","Hiisikaunotar"
"heroes.name_fancy.goblin_grimsteel","Jäisen vuoren erakko"
"heroes.name_fancy.goblin_kettle","Kyökkialkemisti"
"heroes.name_fancy.goblin_leafwizzle","Petojen lumoaja"
"heroes.name_fancy.goblin_madhammer","Rähinöivä hiisi"
"heroes.name_fancy.goblin_mage","Suonoita"
"heroes.name_fancy.goblin_mage_costume_candy","Karkkinoita"
"heroes.name_fancy.goblin_mage_costume_cute","Piirretty noita"
"heroes.name_fancy.goblin_mage_costume_glass","Lasinen noita"
"heroes.name_fancy.goblin_mage_costume_stylish","Tyylikäs noita"
"heroes.name_fancy.goblin_mage_costume_toad","Rupikonnanoita"
"heroes.name_fancy.goblin_pepperflame","Kuuluisa hiisihuilisti"
"heroes.name_fancy.goblin_ratgrub","Hiisirotta-hovihenkilö"
"heroes.name_fancy.goblin_rocket","Räjähde-ekspertti"
"heroes.name_fancy.goblin_scrollbeast","Entinen karjuratsastaja"
"heroes.name_fancy.goblin_smarttongue","Hiisibardi"
"heroes.name_fancy.goblin_soursting","Ylimielinen hiisitappaja"
"heroes.name_fancy.guardian_bat","Teltocin painajainen"
"heroes.name_fancy.guardian_cat_warrior","Teltocin soturi"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Hurja pantteri"
"heroes.name_fancy.guardian_chameleon","Teltocin elementalisti"
"heroes.name_fancy.guardian_elephant","Teltocin osuva nuoli"
"heroes.name_fancy.guardian_falcon_priest","Teltocin pappi"
"heroes.name_fancy.guardian_gazelle","Teltocin druidi"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Teltocin nopea iskijä"
"heroes.name_fancy.guardian_gorilla_chieftain","Teltocin päällikkö"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Valloittaja-Kong"
"heroes.name_fancy.guardian_hippo","Teltocin raakalinen"
"heroes.name_fancy.guardian_jackal_assassin","Teltocin salamurhaaja"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Teltocin luunkerääjä"
"heroes.name_fancy.guardian_lemur","Teltocin parantaja"
"heroes.name_fancy.guardian_owl_gentleman","Teltocin eliittivartija"
"heroes.name_fancy.halloween_alucard","Vampyyrien perillinen"
"heroes.name_fancy.halloween_alucard_costume_mafia","Vampyyripomo"
"heroes.name_fancy.halloween_amber","Vampyyrisoturi"
"heroes.name_fancy.halloween_ana_belle","Morlovialainen sisäkkö"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Pölyn paronitar"
"heroes.name_fancy.halloween_chester","Kalsea kummitus"
"heroes.name_fancy.halloween_edwin","Juonikas hovimestari"
"heroes.name_fancy.halloween_edwin_costume_mafia","Selkään puukottava hovimestari"
"heroes.name_fancy.halloween_francine","Hirviötär"
"heroes.name_fancy.halloween_francine_costume_mafia","Gangsterinna"
"heroes.name_fancy.halloween_frank","Hirviö"
"heroes.name_fancy.halloween_frank_costume_mafia","Gangsteri"
"heroes.name_fancy.halloween_goopy","Hyytelömömmö"
"heroes.name_fancy.halloween_hortensia","Kärpäsloukkujen hoivaaja"
"heroes.name_fancy.halloween_jack","Laulava Kurpitsakallo"
"heroes.name_fancy.halloween_lucinda","Excaliluudan käyttäjä"
"heroes.name_fancy.halloween_matilda","Epäpyhä kondiittori"
"heroes.name_fancy.halloween_miriam_and_midnight","Rajatiedon voimakaksikko"
"heroes.name_fancy.halloween_vanda","Vampyyrikuningatar"
"heroes.name_fancy.halloween_vanda_costume_mafia","Rikosten kuningatar"
"heroes.name_fancy.halloween_wayne","Morlovian suuri taikuri"
"heroes.name_fancy.hidden_dark_god_myztero","Taiantaivuttava arvoitus"
"heroes.name_fancy.holy_god_aurox","Loistava berserkki"
"heroes.name_fancy.holy_god_aviana","Haukkojen komentaja"
"heroes.name_fancy.holy_god_bai_yeong","Miekkatanssija"
"heroes.name_fancy.holy_god_celidana","Pyhän papiston johtaja"
"heroes.name_fancy.holy_god_delilah","Kielletyn saaren sankari"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Pyhimysten temppelin vartija"
"heroes.name_fancy.holy_god_devana","Sisukas metsästäjätär"
"heroes.name_fancy.holy_god_drake_lee","Taistelulajien mestari"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Tyyni taistelija"
"heroes.name_fancy.holy_god_faeona","Valkoinen haltiamaagi"
"heroes.name_fancy.holy_god_gilda","Valonopastajakääpiö"
"heroes.name_fancy.holy_god_gilligan","Quixoticlainen seikkailija"
"heroes.name_fancy.holy_god_hanitra","Lemurialainen jumalatar"
"heroes.name_fancy.holy_god_ithar","Hyveellinen murtovaras"
"heroes.name_fancy.holy_god_kara","Pyhitetty puolustaja"
"heroes.name_fancy.holy_god_malosi","Vallitseva mestari"
"heroes.name_fancy.holy_god_may","Siunattu sadontuoja"
"heroes.name_fancy.holy_god_musashi","Lyömätön Ronin"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Kahlekuningas"
"heroes.name_fancy.holy_god_neith","Teiden avaaja"
"heroes.name_fancy.holy_god_onatel","Sokea näkijä"
"heroes.name_fancy.holy_god_ranvir","Pyhä kentauri"
"heroes.name_fancy.holy_god_uraeus","Mystinen visiiri"
"heroes.name_fancy.holy_god_zora","Ruusuritari"
"heroes.name_fancy.ice_god_alexandrine","Oikeuden kilpi"
"heroes.name_fancy.ice_god_areax","Hevospäinen jäämaagi"
"heroes.name_fancy.ice_god_athena","Jään pyhimys"
"heroes.name_fancy.ice_god_athena_costume_cute","Piirretty jään pyhimys"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Sodan jumalatar"
"heroes.name_fancy.ice_god_balur","Raivoisa gladiaattori"
"heroes.name_fancy.ice_god_callum","Väsymätön jäljittäjä"
"heroes.name_fancy.ice_god_claeg","Kirottu parantaja"
"heroes.name_fancy.ice_god_dvalin","Kuuran käyttäjä"
"heroes.name_fancy.ice_god_eskimo","Jääjättien metsästäjätär"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Jäävuorien mestari"
"heroes.name_fancy.ice_god_frida","Arktinen uhka"
"heroes.name_fancy.ice_god_frosth","Talven tuoja"
"heroes.name_fancy.ice_god_glenda","Taikavoimainen kummitäti"
"heroes.name_fancy.ice_god_iris","Häivyttäjäekspertti"
"heroes.name_fancy.ice_god_klaern","Kuuranoita"
"heroes.name_fancy.ice_god_mene","Yön keijukuningatar"
"heroes.name_fancy.ice_god_miki","Hallapetojen tappaja"
"heroes.name_fancy.ice_god_nerasis","Äänetön kuolema"
"heroes.name_fancy.ice_god_october","Jäätynyt ylämaalainen"
"heroes.name_fancy.ice_god_october_costume_farmer","Jäätynyt farmari"
"heroes.name_fancy.ice_god_perseus","Zeuksen poika"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Boreaksen haastaja"
"heroes.name_fancy.ice_god_raffaele","Seesteinen kanavoija"
"heroes.name_fancy.ice_god_sini","Taivaansininen taikoja"
"heroes.name_fancy.ice_god_suzuna","Muodikas loitsija"
"heroes.name_fancy.ice_god_vela","Vesien silmänkääntäjä"
"heroes.name_fancy.institute_azureus","Eetteristrategi"
"heroes.name_fancy.institute_ellery","Harhautunut biologi"
"heroes.name_fancy.institute_emilie","Rajamaailmojen tutkija"
"heroes.name_fancy.institute_piper","Utelias palkkasoturi"
"heroes.name_fancy.institute_professor_ambrose","Laitoksen johtaja"
"heroes.name_fancy.institute_professor_morryster","Naamioitunut tieteilijä"
"heroes.name_fancy.institute_ryleh","Apulaisarkistonhoitaja"
"heroes.name_fancy.institute_wilcox","Nerokas fyysikko"
"heroes.name_fancy.institute_zenas","Mineraalitieteilijä"
"heroes.name_fancy.journey_change","Kuunvalon valittu"
"heroes.name_fancy.journey_erlang_shen","Taivaan soturijumala"
"heroes.name_fancy.journey_general_yin","Muotoa muuttava demonikenraali"
"heroes.name_fancy.journey_heifeng_guai","Mustan tuulen demoni"
"heroes.name_fancy.journey_nineheaded_beast","Yhdeksänpäinen prinssipuoliso"
"heroes.name_fancy.journey_queen_guowang","Verraton kaunotar"
"heroes.name_fancy.journey_sha_wujing","Hiekkamunkki"
"heroes.name_fancy.journey_tang_sanzang","Joen suuri mysteeri"
"heroes.name_fancy.journey_xie_zi_jing","Skorpionidemonitar"
"heroes.name_fancy.journey_xiong_shanjun","Karhuvuoren valtias"
"heroes.name_fancy.journey_xiwangmu","Kuningataräiti"
"heroes.name_fancy.kalevala_aino","Kesäneito"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Järven neito"
"heroes.name_fancy.kalevala_iku_turso","Syvyyksien peto"
"heroes.name_fancy.kalevala_ilmarinen","Mestariseppä"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Taitava takoja"
"heroes.name_fancy.kalevala_joukahainen","Hurjapäinen metsästäjä"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Kylmettynyt metsästäjä"
"heroes.name_fancy.kalevala_kullervo","Kostonhimoinen poika"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Taisteluarpinen poika"
"heroes.name_fancy.kalevala_lemminkainen","Kuolematon mestari"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Hiipuva mestari"
"heroes.name_fancy.kalevala_louhi","Pohjan akka"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Pohjolan emäntä"
"heroes.name_fancy.kalevala_mielikki","Metsänhenki"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Karhujen suojelija"
"heroes.name_fancy.kalevala_mother_lemminkainen","Mestarin pelastaja"
"heroes.name_fancy.kalevala_otso","Arojen vaeltaja"
"heroes.name_fancy.kalevala_para","Kotihaltija"
"heroes.name_fancy.kalevala_suomuhauki","Valtava hauki"
"heroes.name_fancy.kalevala_ukkonen","Väinämöisen kirottu sukulainen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Väinämöisen pirullinen sukulainen"
"heroes.name_fancy.kalevala_vainamoinen","Laulaja iänikuinen"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Tietäjä iänikuinen"
"heroes.name_fancy.kingdom_cao_cao","Wein sotaherra"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Jään sotaherra"
"heroes.name_fancy.kingdom_diaochan","Nerokas kaunotar"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Kukkaiskaunotar"
"heroes.name_fancy.kingdom_guan_yu","Urhea kenraali"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Infernokenraali"
"heroes.name_fancy.kingdom_jing","Shun sotamies"
"heroes.name_fancy.kingdom_li","Wun sotamies"
"heroes.name_fancy.kingdom_liu_bei","Shun sotaherra"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Metsän sotaherra"
"heroes.name_fancy.kingdom_lu_bu","Vihastunut sotaherra"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Vihastunut tiikerisotaherra"
"heroes.name_fancy.kingdom_sun_quan","Wun sotaherra"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Onnensotaherra"
"heroes.name_fancy.kingdom_sun_shangxiang","Jalo taistelija"
"heroes.name_fancy.kingdom_wang_yuanji","Lempeä aatelisnainen"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Lempeä kalligraafikko"
"heroes.name_fancy.kingdom_xiahou_dun","Yksisilmäinen komentaja"
"heroes.name_fancy.kingdom_yao","Wein sotamies"
"heroes.name_fancy.kingdom_zhang_fei","Armoton kenraali"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Armoton karhukenraali"
"heroes.name_fancy.kingdom_zhou_yu","Nuori komentaja"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Korppikomentaja"
"heroes.name_fancy.kingdom_zhuge_liang","Mestaristrategi"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Huippustrategi"
"heroes.name_fancy.knights_bauchan","Avalonin ilkimys"
"heroes.name_fancy.knights_black_knight","Avalonin kauhistus"
"heroes.name_fancy.knights_black_knight_costume_negative","Negatiivinen ritari"
"heroes.name_fancy.knights_gawain","Sininen ritari"
"heroes.name_fancy.knights_green_knight","Avalonin haastaja"
"heroes.name_fancy.knights_guinevere","Avalonin kuningatar"
"heroes.name_fancy.knights_guinevere_costume_rider","Avalonin lohikäärmeratsastaja"
"heroes.name_fancy.knights_king_arthur","Avalonin kuningas"
"heroes.name_fancy.knights_lady_of_the_lake","Avalonin noita"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Miekkojen neito"
"heroes.name_fancy.knights_merlin","Avalonin velho"
"heroes.name_fancy.knights_merlin_costume_astrology","Avalonin astromantikko"
"heroes.name_fancy.knights_morgan_le_fay","Avalonin lumoojatar"
"heroes.name_fancy.knights_sir_lancelot","Avalonin ritari"
"heroes.name_fancy.knights_treevil","Avalonin pahuus"
"heroes.name_fancy.lionman_barbarian","Viimeinen leor"
"heroes.name_fancy.lionman_barbarian_costume_armor","Leorien kuningas"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Leijonalapsenvahti"
"heroes.name_fancy.lionman_barbarian_costume_cute","Piirretty leor"
