"heroes.name_fancy.astral_cosmicspeaker","Astronome des elfes astraux"
"heroes.name_fancy.fire_god_maple","Fée des bois dorés"
"heroes.name_fancy.fire_god_nadnog","La guérisseuse ardente"
"heroes.name_fancy.fire_god_natalya","Magicienne du feu"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Couturière embrasée"
"heroes.name_fancy.fire_god_neema","Mage de feu"
"heroes.name_fancy.fire_god_noor","Amie des moineaux"
"heroes.name_fancy.fire_god_reuben","Occultiste dévoué"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Équipe inséparable"
"heroes.name_fancy.fire_god_russell","Pyromancien enragé"
"heroes.name_fancy.fire_god_skargremar","Pionnier de l'arrière-garde"
"heroes.name_fancy.fire_god_tahir","Chasseur nomade"
"heroes.name_fancy.fire_god_yang_mai","Poing du Soleil"
"heroes.name_fancy.fire_god_zagrog","Voyou solitaire"
"heroes.name_fancy.fire_god_zarga","Lame rapide"
"heroes.name_fancy.fire_god_zidane","Corsaire charmant"
"heroes.name_fancy.fire_god_zimkitha","Fille perdue de vue"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Aventurière égarée"
"heroes.name_fancy.fleur_elyzabel","Comtesse fougueuse"
"heroes.name_fancy.fleur_eumachius","Héritier fougueux"
"heroes.name_fancy.fleur_guillemette","Croisée fougueuse"
"heroes.name_fancy.fleur_lavinia","Rêveuse fougueuse"
"heroes.name_fancy.fleur_ludovico","Intendant fougueux"
"heroes.name_fancy.fleur_talesie","Assassin sanguin"
"heroes.name_fancy.forest_archer","Archer doué"
"heroes.name_fancy.forest_archer_costume_cute","Archer cartoonesque"
"heroes.name_fancy.forest_archer_costume_glass","Archer de verre"
"heroes.name_fancy.forest_archer_costume_warrior","Archer adroit"
"heroes.name_fancy.forest_female_druid","Druide de Rathwood"
"heroes.name_fancy.forest_female_druid_costume_cute","Cartoon de Rathwood"
"heroes.name_fancy.forest_female_druid_costume_glass","Vitrail de la Forêt de Rath"
"heroes.name_fancy.forest_female_druid_costume_native","Chaman de Concordia"
"heroes.name_fancy.forest_female_elf","Skjaldmö du clair de lune"
"heroes.name_fancy.forest_female_elf_costume_cute","Maîtresse du bouclier cartoon"
"heroes.name_fancy.forest_female_elf_costume_fairy","Fée du clair de lune"
"heroes.name_fancy.forest_female_elf_costume_glass","Maîtresse du bouclier de verre"
"heroes.name_fancy.forest_female_elf_costume_mage","Prêtresse du clair de lune"
"heroes.name_fancy.forest_female_illusionist","Amie des plantes"
"heroes.name_fancy.forest_female_spirit","Esprit de la clairière"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Esprit du bosquet"
"heroes.name_fancy.forest_female_spirit_costume_cute","Esprit cartoonesque"
"heroes.name_fancy.forest_female_spirit_costume_glass","Esprit de verre"
"heroes.name_fancy.forest_female_warrior","Villageoise"
"heroes.name_fancy.forest_friar","Frère jovial"
"heroes.name_fancy.forest_friar_costume_cute","Toon jovial"
"heroes.name_fancy.forest_friar_costume_explorer","Explorateur jovial"
"heroes.name_fancy.forest_friar_costume_glass","Vitrail jovial"
"heroes.name_fancy.forest_god_elinor","Chasseur de trésors"
"heroes.name_fancy.forest_god_elradir","Mage sauvage des Bois lunaires"
"heroes.name_fancy.forest_god_evelyn","Héritière courageuse"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Brave chasseresse"
"heroes.name_fancy.forest_god_grace","Cervitaure du bosquet"
"heroes.name_fancy.forest_god_gregorion","Archer doué"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Ermite alchimiste"
"heroes.name_fancy.forest_god_kingston","L'assassin noble"
"heroes.name_fancy.forest_god_oberon","Champion de Seelie"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Chevalier de chênéternel"
"heroes.name_fancy.forest_god_telluria","Déesse de forêt"
"heroes.name_fancy.forest_god_zeline","Céleste de la nature"
"heroes.name_fancy.forest_god_zeline_costume_avian","Volatile céleste"
"heroes.name_fancy.forest_god_zocc","Maître des clés"
"heroes.name_fancy.forest_mage","Sagesse de la forêt"
"heroes.name_fancy.forest_mage_costume_cute","Sorcier cartoon"
"heroes.name_fancy.forest_mage_costume_glass","Vitrail de la forêt"
"heroes.name_fancy.forest_mage_costume_party","Magicien fêtard"
"heroes.name_fancy.forest_mage_costume_white","Magicien puissant"
"heroes.name_fancy.forest_male_elf","Lancier du clair de lune"
"heroes.name_fancy.forest_male_elf_costume_cute","Lancier cartoonesque"
"heroes.name_fancy.forest_male_elf_costume_dark","Conquérant du clair de lune"
"heroes.name_fancy.forest_male_elf_costume_glass","Maître lancier de verre"
"heroes.name_fancy.forest_male_elf_costume_king","Roi du clair de lune"
"heroes.name_fancy.forest_male_elf_costume_stylish","Lancier élégant"
"heroes.name_fancy.forest_thug","Voyou mercenaire"
"heroes.name_fancy.forest_titan","Ancien des bois"
"heroes.name_fancy.forest_titan_costume_cute","Toon des bois"
"heroes.name_fancy.forest_titan_costume_glass","Vitrail des bois"
"heroes.name_fancy.forest_titan_costume_jester","Bouffon de bois"
"heroes.name_fancy.forest_titan_costume_nightmare","Cauchemar des bois"
"heroes.name_fancy.forest_woodsman","Simple bûcheron"
"heroes.name_fancy.forest_woodsman_warrior","Frère redoutable"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Frère furtif"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Toon puissant"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Vitrail puissant"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Montagnard puissant"
"heroes.name_fancy.forsaken_demhalar","Habitant étrange"
"heroes.name_fancy.forsaken_inanis","Sans attaches"
"heroes.name_fancy.forsaken_jax","Vandale acharné"
"heroes.name_fancy.forsaken_kadath","Ecclésiaste maudit"
"heroes.name_fancy.forsaken_khatrox","Brute maudite"
"heroes.name_fancy.forsaken_lamentia","Serviteur des abysses"
"heroes.name_fancy.fox_ashen","Renard argenté"
"heroes.name_fancy.fox_ember","Renard pyromancien"
"heroes.name_fancy.fox_foxglove","Otocyon rusé"
"heroes.name_fancy.fox_foxley","Renard gris hors-la-loi"
"heroes.name_fancy.fox_halcyon","Renard gris vigilant"
"heroes.name_fancy.fox_nettletail","Renarde fossoyeuse"
"heroes.name_fancy.fox_nibbles","Renardeau affamé"
"heroes.name_fancy.fox_riverfang","Corsac magicien"
"heroes.name_fancy.fox_rust","Renard rouge gardien"
"heroes.name_fancy.fox_sable","Princesse renarde perdue"
"heroes.name_fancy.fox_shadowfang","Renarde des sables collectionneuse d'os"
"heroes.name_fancy.fox_silverpaw","Pirate fennec"
"heroes.name_fancy.fox_spiff","Chevalier renard"
"heroes.name_fancy.fox_swiftpaw","Renarde argentée assassine"
"heroes.name_fancy.fox_whitefang","Renard ranger du désert"
"heroes.name_fancy.gargoyle_arco","Gargouille déterminée"
"heroes.name_fancy.gargoyle_bellerive","Gargouille malfaisante"
"heroes.name_fancy.gargoyle_betty","Gargouille adroite"
"heroes.name_fancy.gargoyle_budatin","Gargouille brutale"
"heroes.name_fancy.gargoyle_el_duque","Gargouille exaltée"
"heroes.name_fancy.gargoyle_gaillard","Gargouille rusée"
"heroes.name_fancy.gargoyle_garten","Gargouille fêtarde"
"heroes.name_fancy.gargoyle_goseck","Gargouille insidieuse"
"heroes.name_fancy.gargoyle_grumbl","Gargouille sage"
"heroes.name_fancy.gargoyle_guffa","Gargouille stoïque"
"heroes.name_fancy.gargoyle_hilda","Gargouille sans peur"
"heroes.name_fancy.gargoyle_hohenwerf","Gargouille féroce"
"heroes.name_fancy.gargoyle_kalo","Gargouille aberrante"
"heroes.name_fancy.gargoyle_kemeny","Gargouille endurcie"
"heroes.name_fancy.gargoyle_matrera","Gargouille ténébreuse"
"heroes.name_fancy.gargoyle_mena","Gargouille pédante"
"heroes.name_fancy.gargoyle_penolite","Gargouille implacable"
"heroes.name_fancy.gargoyle_pophit","Gargouille virtuose"
"heroes.name_fancy.gargoyle_soroca","Gargouille furieuse"
"heroes.name_fancy.gargoyle_uwe","Gargouille toute douce"
"heroes.name_fancy.gargoyle_vincent","Gargouille apeurée"
"heroes.name_fancy.gargoyle_vonreine","Gargouille ardente"
"heroes.name_fancy.garrison_archibald","Quartier-maître inquiétant"
"heroes.name_fancy.garrison_beatrice","Sergent quartier-maître"
"heroes.name_fancy.garrison_caelen","Poète pensif"
"heroes.name_fancy.garrison_ciara","Commandante exigeante"
"heroes.name_fancy.garrison_dima","Maître des porcs"
"heroes.name_fancy.garrison_fergus","Agent imperturbable"
"heroes.name_fancy.garrison_flamehide","Parieur du peuple lézard"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Sergent rusé"
"heroes.name_fancy.garrison_frostsnout","Porte-drapeau du peuple lézard"
"heroes.name_fancy.garrison_godfrey","Garde bavard"
"heroes.name_fancy.garrison_greg","Maître du grog"
"heroes.name_fancy.garrison_iarlaith","Épéiste élégant"
"heroes.name_fancy.garrison_iocantha","Maîtresse d'armes"
"heroes.name_fancy.garrison_kolya","Sentinelle stoïque"
"heroes.name_fancy.garrison_maisie","Maçonne joyeuse"
"heroes.name_fancy.garrison_pip","Messager nerveux"
"heroes.name_fancy.garrison_rosalind","Capitaine joyeuse"
"heroes.name_fancy.garrison_shimmerscale","Porteuse de lanterne du peuple lézard"
"heroes.name_fancy.garrison_theodosius","Caporal courageux"
"heroes.name_fancy.garrison_vanya","Sapeur inébranlable"
"heroes.name_fancy.garrison_violet_potts","Demi-homme insouciant"
"heroes.name_fancy.garrison_william","Gardien de nuit nerveux"
"heroes.name_fancy.goblin_acidfire","Nécromancien gobelin"
"heroes.name_fancy.goblin_archer","Chasseur agile"
"heroes.name_fancy.goblin_boom_and_fang","Duo téméraire"
"heroes.name_fancy.goblin_boots","Garde distrait"
"heroes.name_fancy.goblin_darkfeather","Dompteur d'aigles talentueux"
"heroes.name_fancy.goblin_deadboot","Gobelin fanatique"
"heroes.name_fancy.goblin_fighter","Pickpocket"
"heroes.name_fancy.goblin_fighter_costume_cute","Pickpocket cartoonesque"
"heroes.name_fancy.goblin_fighter_costume_evil","Le coupe-gorge"
"heroes.name_fancy.goblin_fighter_costume_glass","Pickpocket de verre"
"heroes.name_fancy.goblin_fizzcoil","Violoniste du groupe de gobelins"
"heroes.name_fancy.goblin_goldie","Gobeline séduisante"
"heroes.name_fancy.goblin_grimsteel","Ermite de la montagne gelée"
"heroes.name_fancy.goblin_kettle","Alchimiste cuisinier"
"heroes.name_fancy.goblin_leafwizzle","Enchanteur des bêtes"
"heroes.name_fancy.goblin_madhammer","Gobeline combattante"
"heroes.name_fancy.goblin_mage","Sorcière de la tourbière"
"heroes.name_fancy.goblin_mage_costume_candy","Sorcière bonbon"
"heroes.name_fancy.goblin_mage_costume_cute","Sorcière cartoonesque"
"heroes.name_fancy.goblin_mage_costume_glass","Sorcière de verre"
"heroes.name_fancy.goblin_mage_costume_toad","Sorcière grenouille"
"heroes.name_fancy.goblin_pepperflame","Célèbre flûtiste gobelin"
"heroes.name_fancy.goblin_ratgrub","Rat gobelin courtisan"
"heroes.name_fancy.goblin_rocket","Expert en explosifs"
"heroes.name_fancy.goblin_scrollbeast","Ancien chevaucheur de sanglier"
"heroes.name_fancy.goblin_smarttongue","Gobeline barde"
"heroes.name_fancy.goblin_soursting","Assassin gobelin arrogant"
"heroes.name_fancy.guardian_bat","Cauchemar de Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Guerrier de Teltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Panthère féroce"
"heroes.name_fancy.guardian_chameleon","Élémentaliste de Teltoc"
"heroes.name_fancy.guardian_elephant","Véritable flèche de Teltoc"
"heroes.name_fancy.guardian_falcon_priest","Prêtre de Teltoc"
"heroes.name_fancy.guardian_gazelle","Druidesse de Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Unité d'élite de Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain","Chef de Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Kongquérant"
"heroes.name_fancy.guardian_hippo","Brute de Teltoc"
"heroes.name_fancy.guardian_jackal_assassin","Assassin de Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Collectionneur d'os de Teltoc"
"heroes.name_fancy.guardian_lemur","Guérisseur de Teltoc"
"heroes.name_fancy.guardian_owl_gentleman","Gardien d'élite de Teltoc"
"heroes.name_fancy.halloween_alucard","Descendant de vampire"
"heroes.name_fancy.halloween_alucard_costume_mafia","Magnat vampire"
"heroes.name_fancy.halloween_amber","Guerrière vampire"
"heroes.name_fancy.halloween_ana_belle","Gouvernante de Morlovia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Baronne de la poussière"
"heroes.name_fancy.halloween_chester","Fantôme hostile"
"heroes.name_fancy.halloween_edwin","Majordome sournois"
"heroes.name_fancy.halloween_edwin_costume_mafia","Majordome fourbe"
"heroes.name_fancy.halloween_francine","La monstresse"
"heroes.name_fancy.halloween_francine_costume_mafia","Madone de la mafia"
"heroes.name_fancy.halloween_frank","Le monstre"
"heroes.name_fancy.halloween_frank_costume_mafia","Le Truand"
"heroes.name_fancy.halloween_goopy","Gélatine gluante"
"heroes.name_fancy.halloween_hortensia","Gardien des attrape-mouches"
"heroes.name_fancy.halloween_jack","Ménestrel des citrouilles"
"heroes.name_fancy.halloween_lucinda","Propriétaire d'Excalibalai"
"heroes.name_fancy.halloween_matilda","Pâtissière maudite"
"heroes.name_fancy.halloween_miriam_and_midnight","Duo occulte"
"heroes.name_fancy.halloween_vanda","Reine vampire"
"heroes.name_fancy.halloween_vanda_costume_mafia","Reine du crime"
"heroes.name_fancy.halloween_wayne","Grand magicien de Morlovia"
"heroes.name_fancy.hidden_dark_god_myztero","Énigmatique courbe-sorts"
"heroes.name_fancy.holy_god_aurox","Berserker rayonnant"
"heroes.name_fancy.holy_god_aviana","Commandante au faucon"
"heroes.name_fancy.holy_god_bai_yeong","Danse-lame"
"heroes.name_fancy.holy_god_celidana","Chef du clergé sacré"
"heroes.name_fancy.holy_god_delilah","Héroïne de l'île interdite"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Gardienne du temple céleste"
"heroes.name_fancy.holy_god_devana","Chasseresse obstinée"
"heroes.name_fancy.holy_god_drake_lee","Maître des arts martiaux"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Guerrier serein"
"heroes.name_fancy.holy_god_faeona","Mage blanche elfique"
"heroes.name_fancy.holy_god_gilda","Naine guide de la lumière"
"heroes.name_fancy.holy_god_gilligan","Aventurier idéaliste"
"heroes.name_fancy.holy_god_hanitra","Déesse de Lémurie"
"heroes.name_fancy.holy_god_ithar","Cambrioleur vertueux"
"heroes.name_fancy.holy_god_kara","Défenderesse sanctifiée"
"heroes.name_fancy.holy_god_malosi","Champion en titre"
"heroes.name_fancy.holy_god_may","Moissonneuse heureuse"
"heroes.name_fancy.holy_god_musashi","Ronin invincible"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Expert de l'évasion"
"heroes.name_fancy.holy_god_neith","Ouvreuse de voies"
"heroes.name_fancy.holy_god_onatel","Voyante aveugle"
"heroes.name_fancy.holy_god_ranvir","Centaure sacré"
"heroes.name_fancy.holy_god_uraeus","Vizir obscur"
"heroes.name_fancy.holy_god_zora","Chevaleresse de la Rose"
"heroes.name_fancy.ice_god_alexandrine","Rempart contre l'injustice"
"heroes.name_fancy.ice_god_areax","Mage de glace chevaline"
"heroes.name_fancy.ice_god_athena","Céleste de la glace"
"heroes.name_fancy.ice_god_athena_costume_cute","Toon céleste de la glace"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Déesse de la guerre"
"heroes.name_fancy.ice_god_balur","Gladiateur féroce"
"heroes.name_fancy.ice_god_callum","Traqueur impitoyable"
"heroes.name_fancy.ice_god_claeg","Guérisseur maudit"
"heroes.name_fancy.ice_god_dvalin","Maître du givre"
"heroes.name_fancy.ice_god_eskimo","Chasseresse de géants de glace"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Championne des glaces"
"heroes.name_fancy.ice_god_frida","Menace arctique"
"heroes.name_fancy.ice_god_frosth","Héraut de l'hiver"
"heroes.name_fancy.ice_god_glenda","Marraine magique"
"heroes.name_fancy.ice_god_iris","Dissipatrice experte"
"heroes.name_fancy.ice_god_klaern","Sorcier du givre"
"heroes.name_fancy.ice_god_mene","Reine des fées de la nuit"
"heroes.name_fancy.ice_god_miki","Tueur de bêtes gelées"
"heroes.name_fancy.ice_god_nerasis","Mort silencieuse"
"heroes.name_fancy.ice_god_october","Montagnard gelé"
"heroes.name_fancy.ice_god_october_costume_farmer","Fermier gelé"
"heroes.name_fancy.ice_god_perseus","Fils de Zeus"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Adversaire de Boreas"
"heroes.name_fancy.ice_god_raffaele","Devin paisible"
"heroes.name_fancy.ice_god_sini","Conjurateur azur"
"heroes.name_fancy.ice_god_suzuna","Sorcière tendance"
"heroes.name_fancy.ice_god_vela","Illusionniste aquatique"
"heroes.name_fancy.institute_ellery","Biologiste aberrante"
"heroes.name_fancy.institute_emilie","Exploratrice des domaines liminaux"
"heroes.name_fancy.institute_piper","Mercenaire curieuse"
"heroes.name_fancy.institute_professor_morryster","Savant masqué"
"heroes.name_fancy.institute_ryleh","Archiviste adjointe"
"heroes.name_fancy.institute_wilcox","Physicien téméraire"
"heroes.name_fancy.journey_change","Élue de la lune"
"heroes.name_fancy.journey_erlang_shen","Dieu guerrier des cieux"
"heroes.name_fancy.journey_general_yin","Général métamorphe"
"heroes.name_fancy.journey_heifeng_guai","Démon du vent noir"
"heroes.name_fancy.journey_nineheaded_beast","Prince consort à neuf têtes"
"heroes.name_fancy.journey_queen_guowang","Beauté inégalée"
"heroes.name_fancy.journey_sha_wujing","Moine des sables"
"heroes.name_fancy.journey_tang_sanzang","Grand mystère de la rivière"
"heroes.name_fancy.journey_xie_zi_jing","Démone du scorpion"
"heroes.name_fancy.journey_xiong_shanjun","Seigneur du mont aux ours"
"heroes.name_fancy.journey_xiwangmu","La reine mère"
"heroes.name_fancy.kalevala_aino","Damoiselle de l'été"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Jeune fille du lac"
"heroes.name_fancy.kalevala_iku_turso","Bête des profondeurs"
"heroes.name_fancy.kalevala_ilmarinen","Forgeron expert"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Expert artificier"
"heroes.name_fancy.kalevala_joukahainen","Chasseur féroce"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Chasseur gelé"
"heroes.name_fancy.kalevala_kullervo","Fils vengeur"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Fils guerrier"
"heroes.name_fancy.kalevala_lemminkainen","Champion immortel"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Champion immatériel"
"heroes.name_fancy.kalevala_louhi","Sorcière du Nord"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Maîtresse du nord"
"heroes.name_fancy.kalevala_mielikki","Esprit de la forêt"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Protectrice des ours"
"heroes.name_fancy.kalevala_mother_lemminkainen","Sauveur du champion"
"heroes.name_fancy.kalevala_otso","Vagabond des steppes"
"heroes.name_fancy.kalevala_para","Familier domestique"
"heroes.name_fancy.kalevala_suomuhauki","Brochet de chasse"
"heroes.name_fancy.kalevala_ukkonen","Enfant maudit de Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Enfant infernal de Väinämöinen"
"heroes.name_fancy.kalevala_vainamoinen","Barde éternel"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Sage éternel"
"heroes.name_fancy.kingdom_cao_cao","Seigneur de guerre de Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Seigneur de guerre de la glace"
"heroes.name_fancy.kingdom_diaochan","Beauté brillante"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Beauté fleurie"
"heroes.name_fancy.kingdom_guan_yu","Général vaillant"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Général infernal"
"heroes.name_fancy.kingdom_jing","Soldat de Shu"
"heroes.name_fancy.kingdom_li","Soldat de Wu"
"heroes.name_fancy.kingdom_liu_bei","Seigneur de guerre de Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Seigneur de guerre de la forêt"
"heroes.name_fancy.kingdom_lu_bu","Seigneur de guerre colérique"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Seigneur de guerre tigre colérique"
"heroes.name_fancy.kingdom_sun_quan","Seigneur de guerre de Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Seigneur de guerre de la fortune"
"heroes.name_fancy.kingdom_sun_shangxiang","Noble combattante"
"heroes.name_fancy.kingdom_wang_yuanji","Noble bienveillante"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Calligraphe bienveillante"
"heroes.name_fancy.kingdom_xiahou_dun","Commandant borgne"
"heroes.name_fancy.kingdom_yao","Soldat de Wei"
"heroes.name_fancy.kingdom_zhang_fei","Général impitoyable"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Général ours impitoyable"
"heroes.name_fancy.kingdom_zhou_yu","Jeune commandant"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Commandant corbeau"
"heroes.name_fancy.kingdom_zhuge_liang","Stratège expert"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Stratège suprême"
"heroes.name_fancy.knights_bauchan","Familier d'Avalon"
"heroes.name_fancy.knights_black_knight","Terreur d'Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Chevalier noir"
"heroes.name_fancy.knights_gawain","Chevalier azur"
"heroes.name_fancy.knights_green_knight","Champion d'Avalon"
"heroes.name_fancy.knights_guinevere","Reine d'Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Chevaucheuse de dragons d'Avalon"
"heroes.name_fancy.knights_king_arthur","Roi d'Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Ensorceleuse d'Avalon"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Dame des lames"
"heroes.name_fancy.knights_merlin","Sorcier d'Avalon"
"heroes.name_fancy.knights_merlin_costume_astrology","Astromancienne d'Avalon"
"heroes.name_fancy.knights_morgan_le_fay","Magicienne d'Avalon"
"heroes.name_fancy.knights_sir_lancelot","Chevalier d'Avalon"
"heroes.name_fancy.knights_treevil","Malfaisance d'Avalon"
"heroes.name_fancy.lionman_barbarian","Dernier des léors"
"heroes.name_fancy.lionman_barbarian_costume_armor","Roi des léors"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Lion gardien"
"heroes.name_fancy.lionman_barbarian_costume_cute","Léor cartoon"
"heroes.name_fancy.lionman_barbarian_costume_glass","Léor de verre"
"heroes.name_fancy.lionman_barbarian_costume_stylish","Léor élégant"
"heroes.name_fancy.lizardman_trapper","Chef du peuple lézard"
"heroes.name_fancy.lizardman_trapper_costume_cute","Chef cartoonesque"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Pêcheur du peuple lézard"
"heroes.name_fancy.lizardman_trapper_costume_glass","Chef de verre"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Doyen du peuple lézard"
"heroes.name_fancy.lizardman_warrior","Guerrier du peuple lézard"
"heroes.name_fancy.lizardman_warrior_costume_cute","Combattant cartoonesque"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Ancêtre du peuple lézard"
"heroes.name_fancy.lizardman_warrior_costume_glass","Combattant de verre"
"heroes.name_fancy.lunar_new_year_baishu","Rat acrobate lunaire"
"heroes.name_fancy.lunar_new_year_gongniu","Buffle gardien"
"heroes.name_fancy.lunar_new_year_laohu","Tigre bagarreur lunaire"
"heroes.name_fancy.lunar_new_year_qinglong","Dragon stratège"
"heroes.name_fancy.lunar_new_year_xiaoqing","Serpent musicien lunaire"
"heroes.name_fancy.lunar_new_year_xiaotu","Lapine protectrice luaire"
"heroes.name_fancy.magic_agrafena","Surveillante suprême"
"heroes.name_fancy.magic_agrafena_costume_dark","Sorcière sombre suprême"
"heroes.name_fancy.magic_anastasia","Invocatrice apprentie"
"heroes.name_fancy.magic_anton","Jeune savant"
"heroes.name_fancy.magic_becky","Conjuratrice stellaire"
"heroes.name_fancy.magic_becky_costume_gothic","Conjuratrice du crépuscule"
"heroes.name_fancy.magic_camilla","Bricoleuse arcanique"
"heroes.name_fancy.magic_camilla_costume_flower","Bricoleuse florale"
"heroes.name_fancy.magic_carpet_agadh","Assassin en tapis volant"
"heroes.name_fancy.magic_carpet_amelia","Aviatrice magique"
"heroes.name_fancy.magic_carpet_bart","Fonceur en tapis volant"
"heroes.name_fancy.magic_carpet_bertha","Fabricante de tapis volants"
"heroes.name_fancy.magic_carpet_crustee","Génie du labo magique"
"heroes.name_fancy.magic_carpet_elyssa","Gourmande en tapis volant"
"heroes.name_fancy.magic_carpet_jwala","Magicienne de la lave"
"heroes.name_fancy.magic_carpet_kesha","Enchanteresse d'Al-Layl"
"heroes.name_fancy.magic_carpet_lando","Charmeur de tapis volants"
"heroes.name_fancy.magic_carpet_lilli","Amoureuse des chats en tapis volant"
"heroes.name_fancy.magic_carpet_manpip","Pilote de tapis volant nerveux"
"heroes.name_fancy.magic_carpet_naeem","Vagabond en tapis volant"
"heroes.name_fancy.magic_carpet_ragrim","Botaniste en tapis volant"
"heroes.name_fancy.magic_carpet_shareef","Magicien invincible"
"heroes.name_fancy.magic_carpet_zazha","Guérisseuse en tapis volant"
"heroes.name_fancy.magic_cristobal","Professeur en enchantements"
"heroes.name_fancy.magic_cristobal_costume_emerald","Professeur d'enchantements"
"heroes.name_fancy.magic_dolgoon","Bibliothécaire érudit"
"heroes.name_fancy.magic_jett","Messagère du sacrifice"
"heroes.name_fancy.magic_kornel","Conservateur vétéran"
"heroes.name_fancy.magic_lucy","Prodige du magiball"
"heroes.name_fancy.magic_milena","Enseignante des arts arcaniques"
"heroes.name_fancy.magic_milena_costume_ice","Maîtresse des sorts arctiques"
"heroes.name_fancy.magic_motega","Maître jardinier"
"heroes.name_fancy.magic_nadezhda","Directrice de la tour"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Factrice de la tour"
"heroes.name_fancy.magic_ray","Champion du terrain"
"heroes.name_fancy.magic_ray_costume_spiky","Champion des ronces"
"heroes.name_fancy.magic_roxia","Amatrice de textes anciens"
"heroes.name_fancy.magic_sergei","Étudiant des arcanes"
"heroes.name_fancy.magic_telonius","Centaure des bois"
"heroes.name_fancy.magic_telonius_costume_brew","Centaure de la taverne"
"heroes.name_fancy.magic_ulius","Magicien inventeur"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Boucanier arcanique"
"heroes.name_fancy.magic_vaishali","Maîtresse d'échecs mystique"
"heroes.name_fancy.magic_vaishali_costume_chef","Maîtresse des tartes mystiques"
"heroes.name_fancy.magic_willow","Maîtresse de la lévitation"
"heroes.name_fancy.magitech_sniper","Sniper magitech"
"heroes.name_fancy.magitech_sniper_costume_cute","Sniper cartoonesque"
"heroes.name_fancy.magitech_sniper_costume_glass","Sniper de verre"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Sniper steampunk"
"heroes.name_fancy.magitech_sniper_costume_undead","Tireuse d'élite morte-vivante"
"heroes.name_fancy.mahayoddha_ali","Garçon de courses talentueux"
"heroes.name_fancy.mahayoddha_bhima","Fils de Vayu"
"heroes.name_fancy.mahayoddha_bonga","Fabricant de paniers"
"heroes.name_fancy.mahayoddha_chitrangada","Princesse guerrière de Manipura"
"heroes.name_fancy.mahayoddha_devyani","Princesse guerrière féroce"
"heroes.name_fancy.mahayoddha_jyoti","Danseuse de chari"
