"heroes.name.astral_cosmicspeaker","Cosmicspeaker"
"heroes.name.magic_agrafena","Agrafena"
"heroes.name.magic_anastasia","Anastasia"
"heroes.name.magic_anton","Anton"
"heroes.name.magic_becky","Becky"
"heroes.name.magic_camilla","Camilla"
"heroes.name.magic_carpet_agadh","Agadh"
"heroes.name.magic_carpet_amelia","Amelia"
"heroes.name.magic_carpet_bart","Bart"
"heroes.name.magic_carpet_bertha","Bertha"
"heroes.name.magic_carpet_crustee","Crustee"
"heroes.name.magic_carpet_elyssa","Elyssa"
"heroes.name.magic_carpet_jwala","Jwala"
"heroes.name.magic_carpet_kesha","Kesha"
"heroes.name.magic_carpet_lando","Lando"
"heroes.name.magic_carpet_lilli","Lilli"
"heroes.name.magic_carpet_manpip","Manpip"
"heroes.name.magic_carpet_naeem","Naeem"
"heroes.name.magic_carpet_ragrim","Ragrim"
"heroes.name.magic_carpet_shareef","Shareef"
"heroes.name.magic_carpet_zazha","Zazha"
"heroes.name.magic_cristobal","Cristóbal"
"heroes.name.magic_dolgoon","Dölgöön"
"heroes.name.magic_jett","Jett"
"heroes.name.magic_kornel","Kornel"
"heroes.name.magic_lucy","Lucy"
"heroes.name.magic_milena","Milena"
"heroes.name.magic_motega","Motega"
"heroes.name.magic_nadezhda","Nadezhda"
"heroes.name.magic_ray","Ray"
"heroes.name.magic_roxia","Roxia"
"heroes.name.magic_sergei","Sergei"
"heroes.name.magic_telonius","Telonius"
"heroes.name.magic_ulius","Ulius"
"heroes.name.magic_vaishali","Vaishali"
"heroes.name.magic_willow","Willow"
"heroes.name.magitech_sniper","Domitia"
"heroes.name.mahayoddha_ali","Ali"
"heroes.name.mahayoddha_bhima","Bhima"
"heroes.name.mahayoddha_bonga","Bonga"
"heroes.name.mahayoddha_chitrangada","Chitrangada"
"heroes.name.mahayoddha_devyani","Devyani"
"heroes.name.mahayoddha_jyoti","Jyoti"
"heroes.name.mahayoddha_meenakshi","Meenakshi"
"heroes.name.mahayoddha_rafeeq","Rafeeq"
"heroes.name.mahayoddha_ustad_anand","Ustad Anand"
"heroes.name.mahayoddha_veer","Veer"
"heroes.name.masquerade_alessia","Alessia"
"heroes.name.masquerade_aradia","Aradia"
"heroes.name.masquerade_carmenta","Carmenta"
"heroes.name.masquerade_cel","Cel"
"heroes.name.masquerade_februus","Februus"
"heroes.name.masquerade_fortuna","Fortuna"
"heroes.name.masquerade_fosco","Fosco"
"heroes.name.masquerade_jana","Jana"
"heroes.name.masquerade_jove","Jove"
"heroes.name.masquerade_umbria","Umbria"
"heroes.name.mighty_pet_barkley","Barkley"
"heroes.name.mighty_pet_bubbles","Bubbles"
"heroes.name.mighty_pet_chomper","Chomper"
"heroes.name.mighty_pet_cinnamon","Cinnamon"
"heroes.name.mighty_pet_cupcake","Cupcake"
"heroes.name.mighty_pet_furdinand","Furdinand"
"heroes.name.mighty_pet_hachiko","Hachiko"
"heroes.name.mighty_pet_luna","Luna"
"heroes.name.mighty_pet_ribbit","Ribbit"
"heroes.name.mighty_pet_rufus","Rufus"
"heroes.name.mighty_pet_snowball","Snowball"
"heroes.name.mighty_pet_toto","Max"
"heroes.name.mighty_pet_waddles","Waddles"
"heroes.name.mimic_aether_blue","Ether-nabootser"
"heroes.name.mimic_aether_green","Ether-nabootser"
"heroes.name.mimic_aether_purple","Ether-nabootser"
"heroes.name.mimic_aether_red","Ether-nabootser"
"heroes.name.mimic_aether_yellow","Ether-nabootser"
"heroes.name.mimic_ascension_epic_yellow","Verheffingsnabootser"
"heroes.name.mimic_ascension_item_blue","Verheffingsnabootser"
"heroes.name.mimic_ascension_item_green","Verheffingsnabootser"
"heroes.name.mimic_ascension_item_purple","Verheffingsnabootser"
"heroes.name.mimic_ascension_item_red","Verheffingsnabootser"
"heroes.name.mimic_ascension_item_yellow","Verheffingsnabootser"
"heroes.name.mimic_emblem_blue","Embleemnabootser"
"heroes.name.mimic_emblem_green","Embleemnabootser"
"heroes.name.mimic_emblem_purple","Embleemnabootser"
"heroes.name.mimic_emblem_red","Embleemnabootser"
"heroes.name.mimic_emblem_yellow","Embleemnabootser"
"heroes.name.mimic_experience_rare_red","Ervaringsnabootser"
"heroes.name.mimic_training_hero_blue","Ervaringsnabootser"
"heroes.name.mimic_training_hero_green","Ervaringsnabootser"
"heroes.name.mimic_training_hero_purple","Ervaringsnabootser"
"heroes.name.mimic_training_hero_red","Ervaringsnabootser"
"heroes.name.mimic_training_hero_yellow","Ervaringsnabootser"
"heroes.name.mimic_troop_blue","Troepennabootser"
"heroes.name.mimic_troop_green","Troepennabootser"
"heroes.name.mimic_troop_purple","Troepennabootser"
"heroes.name.mimic_troop_red","Troepennabootser"
"heroes.name.mimic_troop_yellow","Troepennabootser"
"heroes.name.monster_hunter_adalinda","Adalinda"
"heroes.name.monster_hunter_amund","Amund"
"heroes.name.monster_hunter_basil","Basil"
"heroes.name.monster_hunter_berit","Berit"
"heroes.name.monster_hunter_bogart","Bogart"
"heroes.name.monster_hunter_bonecrusher","Bottenmaler"
"heroes.name.monster_hunter_cedar","Cedar"
"heroes.name.monster_hunter_cleaver","Cleaver"
"heroes.name.monster_hunter_dabria","Dabria"
"heroes.name.monster_hunter_dawn","Dawn"
"heroes.name.monster_hunter_dubhain","Dubhán"
"heroes.name.monster_hunter_ebba","Ebba"
"heroes.name.monster_hunter_edelaide","Edelaide"
"heroes.name.monster_hunter_fianna","Fianna"
"heroes.name.monster_hunter_goretooth","Goretooth"
"heroes.name.monster_hunter_greel","Greel"
"heroes.name.monster_hunter_hammertusk","Hamerslagtand"
"heroes.name.monster_hunter_hawthorn","Hawthorn"
"heroes.name.monster_hunter_hurricane","Hurricane"
"heroes.name.monster_hunter_kai","Kai"
"heroes.name.monster_hunter_knuckles","Knuckles"
"heroes.name.monster_hunter_maheegan","Maheegan"
"heroes.name.monster_hunter_malin","Malin"
"heroes.name.monster_hunter_meadow","Meadow"
"heroes.name.monster_hunter_mistweaver","Mistwever"
"heroes.name.monster_hunter_njal","Njal"
"heroes.name.monster_hunter_numbskull","Numbskull"
"heroes.name.monster_hunter_otis","Otis"
"heroes.name.monster_hunter_revna","Revna"
"heroes.name.monster_hunter_ruadh","Ruadh"
"heroes.name.monster_hunter_sigyn","Sigyn"
"heroes.name.monster_hunter_sorcha","Sorcha"
"heroes.name.monster_hunter_sorrow","Sorrow"
"heroes.name.monster_hunter_staintongue","Staintongue"
"heroes.name.monster_hunter_sune","Sune"
"heroes.name.monster_hunter_thunderclap","Thunderclap"
"heroes.name.monster_hunter_thura","Thura"
"heroes.name.monster_hunter_tremor","Tremor"
"heroes.name.monster_hunter_waterpipe","Waterpijp"
"heroes.name.moth_auricarc","Auricarc"
"heroes.name.moth_chimister","Chimister"
"heroes.name.moth_chunkyroi","Chunkyroi"
"heroes.name.moth_furgeant","Furgeant"
"heroes.name.moth_gardered","Gardered"
"heroes.name.moth_grovevert","Grovevert"
"heroes.name.moth_joyvert","Joyvert"
"heroes.name.moth_lilareine","Lilareine"
"heroes.name.moth_limeboire","Limeboire"
"heroes.name.moth_mortewitch","Mortewitch"
"heroes.name.moth_pepperbleu","Pepperbleu"
"heroes.name.moth_rosepetite","Rosepetite"
"heroes.name.moth_satinpimenter","Satinpimenter"
"heroes.name.moth_shyombre","Shyombre"
"heroes.name.moth_tealmoine","Tealmoine"
"heroes.name.musketeer_aramis","Aramis"
"heroes.name.musketeer_aramis_costume_boulanger","Aramis"
"heroes.name.musketeer_athos","Athos"
"heroes.name.musketeer_athos_costume_farrier","Athos"
"heroes.name.musketeer_cardinal_richelieu","Cardinal Richelieu"
"heroes.name.musketeer_constance","Constance"
"heroes.name.musketeer_dartagnan","D´Artagnan"
"heroes.name.musketeer_felton","Felton"
"heroes.name.musketeer_kitty","Kitty"
"heroes.name.musketeer_milady_de_winter","Milady de Winter"
"heroes.name.musketeer_planchet","Planchet"
"heroes.name.musketeer_porthos","Porthos"
"heroes.name.musketeer_porthos_costume_merchant","Porthos"
"heroes.name.musketeer_queen_anne","Queen Anne"
"heroes.name.musketeer_rochefort","Rochefort"
"heroes.name.musketeer_villiers","Villiers"
"heroes.name.mystery_enigmo","Enigmo"
"heroes.name.nature_god_balbar","Balbar"
"heroes.name.nature_god_bertila","Bertila"
"heroes.name.nature_god_bo_and_runt","Bo & Runt"
"heroes.name.nature_god_chloris","Chloris"
"heroes.name.nature_god_cinisia","Cinisia"
"heroes.name.nature_god_florenna","Florenna"
"heroes.name.nature_god_leadria","Leadria"
"heroes.name.nature_god_liora","Liora"
"heroes.name.nature_god_mystia","Mystia"
"heroes.name.nature_god_silvaria","Silvaria"
"heroes.name.nature_god_viselus","Viselus"
"heroes.name.ninja_amethyst","Amethist"
"heroes.name.ninja_ametrine","Ametrine"
"heroes.name.ninja_aurum","Aurum"
"heroes.name.ninja_azurite","Azuriet"
"heroes.name.ninja_chikao","Chikao"
"heroes.name.ninja_cobalt","Cobalt"
"heroes.name.ninja_ekanite","Ekanite"
"heroes.name.ninja_garnet","Garnet"
"heroes.name.ninja_iga","Iga"
"heroes.name.ninja_ito","Ito"
"heroes.name.ninja_jade","Jade"
"heroes.name.ninja_kinsaishi","Kinsaishi"
"heroes.name.ninja_kushanku","Kusanku"
"heroes.name.ninja_malum","Malum"
"heroes.name.ninja_mica","Mica"
"heroes.name.ninja_morganite","Morganite"
"heroes.name.ninja_myoinni","Myoin-ni"
"heroes.name.ninja_nomad","Nomad"
"heroes.name.ninja_oniwakamaru","Oniwakamaru"
"heroes.name.ninja_onyx","Onyx"
"heroes.name.ninja_osamu","Osamu"
"heroes.name.ninja_peridot","Peridot"
"heroes.name.ninja_quartz","Quartz"
"heroes.name.ninja_ruby","Ruby"
"heroes.name.ninja_sapphire","Sapphire"
"heroes.name.ninja_satsui","Satsui"
"heroes.name.ninja_sawano","Sawano"
"heroes.name.ninja_serandite","Serandite"
"heroes.name.ninja_shale","Shale"
"heroes.name.ninja_tametomo","Tametomo"
"heroes.name.ninja_topaz","Topaz"
"heroes.name.ninja_tora","Tora"
"heroes.name.ninja_umeko","Umeko"
"heroes.name.ninja_zircon","Zircon"
"heroes.name.nomad_axe_adventurer","Colen"
"heroes.name.nomad_female_archer","Sharan"
"heroes.name.nomad_female_assassin","Scarlett"
"heroes.name.nomad_female_berserker","Kelile"
"heroes.name.nomad_female_captain","Marjana"
"heroes.name.nomad_female_lord","Helena"
"heroes.name.nomad_female_shaman","Havikmaan"
"heroes.name.nomad_female_swordmaster","Azar"
"heroes.name.nomad_female_thief","Jill"
"heroes.name.nomad_fighter","Farid"
"heroes.name.nomad_mage","Jahangir"
"heroes.name.nomad_scout","Tudan"
"heroes.name.nomad_shaman","Shaarkot"
"heroes.name.nordic_ancestral_warrior","Grimm"
"heroes.name.nordic_chained_werewolf","Grijsmaan"
"heroes.name.nordic_female_scout","Sigrunn"
"heroes.name.nordic_female_warrior","Ragnhild"
"heroes.name.nordic_ice_enchantress","Isarnia"
"heroes.name.nordic_mage","Ulmer"
"heroes.name.nordic_male_lord","Richard"
"heroes.name.nordic_swordman","Valen"
"heroes.name.nordic_warrior","Brand"
"heroes.name.orc_gladiator","Boldtusk"
"heroes.name.orc_skirmisher","Zudak"
"heroes.name.orc_troopmaster","Gormek"
"heroes.name.orc_warrior","Nashgar"
"heroes.name.oriental_brawler","Bane"
"heroes.name.oriental_enchanted_monk","Joon"
"heroes.name.oriental_falconer","Chao"
"heroes.name.oriental_falconer.falcon","Chao's valk"
"heroes.name.oriental_female_guard","Dawa"
"heroes.name.oriental_female_mage","Kailani"
"heroes.name.oriental_female_mystic","Vivica"
"heroes.name.oriental_female_ninja","Hikaru"
"heroes.name.oriental_female_templar","Li Xiu"
"heroes.name.oriental_monkey_captain","Wu Kong"
"heroes.name.oriental_monkey_warrior","Hou"
"heroes.name.oriental_panda_berserker","Gan Ju"
"heroes.name.oriental_panda_scout","Sha Ji"
"heroes.name.oriental_panda_warrior","Hu Tao"
"heroes.name.oriental_squire","Nash"
"heroes.name.oriental_warrior","Kenjiro"
"heroes.name.oriental_warrior_king","Leonidas"
"heroes.name.outlaw_chao_gai","Chao Gai"
"heroes.name.outlaw_gu_dasao","Gu Dasao"
"heroes.name.outlaw_hu_sanniang","Hu Sanniang"
"heroes.name.outlaw_li_kui","Li Kui"
"heroes.name.outlaw_lin_chong","Lin Chong"
"heroes.name.outlaw_liu_tang","Liu Tang"
"heroes.name.outlaw_lu_zhishen","Lu Zhishen"
"heroes.name.outlaw_ruan_xiaoqi","Ruan Xiaoqi"
"heroes.name.outlaw_shi_jin","Shi Jin"
"heroes.name.outlaw_song_jiang","Song Jiang"
"heroes.name.outlaw_sun_erniang","Sun Erniang"
"heroes.name.outlaw_wu_song","Wu Song"
"heroes.name.outlaw_wu_yong","Wu Yong"
"heroes.name.outlaw_xiang_chong","Xiang Chong"
"heroes.name.outlaw_zheng_tianshou","Zheng Tianshou"
"heroes.name.owl_cennius","Cennius"
"heroes.name.owl_eron","Eron"
"heroes.name.owl_featherino","Featherino"
"heroes.name.owl_fulvia","Fulvia"
"heroes.name.owl_juliani","Juliani"
"heroes.name.owl_livia","Livia"
"heroes.name.owl_lodius","Lodius"
"heroes.name.owl_mariol","Mariol"
"heroes.name.owl_olbec","Olbec"
"heroes.name.owl_ommodus","Ommodus"
"heroes.name.owl_paeia","Paeia"
"heroes.name.owl_pertinax","Pertinax"
"heroes.name.owl_relius","Relius"
"heroes.name.owl_timius","Timius"
"heroes.name.owl_verus","Verus"
"heroes.name.pirate_anne","Anne"
"heroes.name.pirate_boatswain","Black Caesar"
"heroes.name.pirate_bonny","Bonny"
"heroes.name.pirate_cabin_boy","Peters"
"heroes.name.pirate_commodore_finley","Finley"
"heroes.name.pirate_dread_captain","Sargasso"
"heroes.name.pirate_first_mate","Boomer"
"heroes.name.pirate_lady","Dame Locke"
"heroes.name.pirate_marie_therese","Marie-Thérèse"
"heroes.name.pirate_sally","Sally"
"heroes.name.pirate_swashbuckler","Kapitein Kestrel"
"heroes.name.pirate_vodnik","Vodnik"
"heroes.name.rabbit_blue","Meester Lepus"
"heroes.name.rabbit_green","Jan de Haas"
"heroes.name.rabbit_red","Landheer Knijn"
"heroes.name.rider_hero_blue","Trainer-held"
"heroes.name.rider_hero_green","Trainer-held"
"heroes.name.rider_hero_purple","Trainer-held"
"heroes.name.rider_hero_red","Trainer-held"
"heroes.name.rider_hero_yellow","Trainer-held"
"heroes.name.royal_female_knight","Sonya"
"heroes.name.royal_knight","Gunnar"
"heroes.name.royal_knight_commander","Doorn"
"heroes.name.royal_knight_commander_tutorial","Grey"
"heroes.name.royal_pikeman","Olaf"
"heroes.name.s2_ariel","Ariel"
"heroes.name.s2_atlantean_robot","Gadeirus"
"heroes.name.s2_chameleon_bruiser","Muggy"
"heroes.name.s2_chameleon_chief","Gobbler"
"heroes.name.s2_chameleon_mage","Agwe"
"heroes.name.s2_crab_man","Karkinos"
"heroes.name.s2_croc_man","Gato"
"heroes.name.s2_cursed_samurai","Kageburado"
"heroes.name.s2_demon_master","Sumitomo"
"heroes.name.s2_fiji_mermaid","Gill-Ra"
"heroes.name.s2_fox_girl","Inari"
"heroes.name.s2_ghost_woman","Ameonna"
"heroes.name.s2_hammerhead_hulk","Mok-Arr"
"heroes.name.s2_junglehunter","Tarlak"
"heroes.name.s2_lantern_ghost","Chochin"
"heroes.name.s2_mercenary_woman","Misandra"
"heroes.name.s2_merman","Mnesseus"
"heroes.name.s2_merwoman","Melia"
"heroes.name.s2_noble_lady","Mitsuko"
"heroes.name.s2_oceanus","Oceanus"
"heroes.name.s2_poseidon","Poseidon"
"heroes.name.s2_proteus","Proteus"
"heroes.name.s2_rugged_fisherman","Wilbur"
"heroes.name.s2_skyllaros","Atomos"
"heroes.name.s2_straw_demon","Namahage"
"heroes.name.s2_tanuki_raccoon","Danzaburo"
"heroes.name.s2_tethys","Tethys"
"heroes.name.s2_triton","Triton"
"heroes.name.s2_ursena","Ursena"
"heroes.name.s3_agnes","Agnes"
"heroes.name.s3_alfrike","Alfrike"
"heroes.name.s3_almur","Almur"
"heroes.name.s3_anwindr","An-Windr"
"heroes.name.s3_baldur","Baldur"
"heroes.name.s3_bera","Bera"
"heroes.name.s3_bjorn","Bjorn"
"heroes.name.s3_brynhild","Brynhild"
"heroes.name.s3_by_ulf","By-Ulf"
"heroes.name.s3_ei_dunn","Ei-Dunn"
"heroes.name.s3_fenrir","Fenrir"
"heroes.name.s3_freya","Freya"
"heroes.name.s3_frigg","Frigg"
"heroes.name.s3_fura","Fura"
"heroes.name.s3_gefjon","Gefjon"
"heroes.name.s3_grevle","Grevle"
"heroes.name.s3_gullinbursti","Gullinbursti"
"heroes.name.s3_heimdall","Heimdall"
"heroes.name.s3_jarvur","Jarvur"
"heroes.name.s3_jott","Jott"
"heroes.name.s3_kvasir","Kvasir"
"heroes.name.s3_loki_female","Lady Loki"
"heroes.name.s3_loki_fish","Salmon Loki"
"heroes.name.s3_loki_male","Lord Loki"
"heroes.name.s3_lord_loki_covenant","Lord Loki"
"heroes.name.s3_mireweave","Mireweave"
"heroes.name.s3_mist","Mist"
"heroes.name.s3_nordri","Nordri"
"heroes.name.s3_norns","Norns"
"heroes.name.s3_odin","Odin"
"heroes.name.s3_ratatoskr","Ratatoskr"
"heroes.name.s3_shadereave","Shadereave"
"heroes.name.s3_sif","Sif"
"heroes.name.s3_skadi","Skadi"
"heroes.name.s3_stonecleave","Stonecleave"
"heroes.name.s3_sudri","Sudri"
"heroes.name.s3_sumle","Sumle"
"heroes.name.s3_thor","Thor"
"heroes.name.s3_tyr","Tyr"
"heroes.name.s4_akkorog","Akkorog"
"heroes.name.s4_aouda","Aouda"
"heroes.name.s4_captain_nemo","Kapitein Nemo"
"heroes.name.s4_congalach","Congalach"
"heroes.name.s4_doctor_moreau","Dr. Moreau"
"heroes.name.s4_elizabeth","Elizabeth"
"heroes.name.s4_exeera","Exeera"
"heroes.name.s4_garjammal","Garjammal"
"heroes.name.s4_gramps","Opa"
"heroes.name.s4_griffin","Griffin"
"heroes.name.s4_hannah","Hannah"
"heroes.name.s4_helo","Helo"
"heroes.name.s4_hulda","Hulda"
"heroes.name.s4_kravekrush","Kravekrush"
"heroes.name.s4_lepiota","Lepiota"
"heroes.name.s4_lughaidh","Lughaidh"
"heroes.name.s4_mack","Mack"
"heroes.name.s4_morel","Morel"
"heroes.name.s4_morris","Morris"
"heroes.name.s4_octros","Octros"
"heroes.name.s4_passepartout","Passepartout"
"heroes.name.s4_phileas_fogg","Phileas Fogg"
"heroes.name.s4_poppy","Poppy"
"heroes.name.s4_professor_lidenbrock","Prof. Lidenbrock"
"heroes.name.s4_rokkamush","Rokkamush"
"heroes.name.s4_russula","Russula"
"heroes.name.s4_tettukh","Tettukh"
"heroes.name.s4_vollermork","Vollermork"
"heroes.name.s4_xenda","Xenda"
"heroes.name.s4_xnolphod","Xnolphod"
"heroes.name.s4_zekena","Zekena"
"heroes.name.s4_zenobia","Zenobia"
"heroes.name.s4_zila_lei","Zila Lei"
"heroes.name.s5_ahhotep","Ahhotep"
"heroes.name.s5_ahmose","Ahmose"
"heroes.name.s5_anubis","Anubis"
"heroes.name.s5_aqeela","Aqeela"
"heroes.name.s5_azmia","Azmia"
"heroes.name.s5_bastet","Bastet"
"heroes.name.s5_bennu","Bennu"
"heroes.name.s5_cleopatra","Cleopatra"
"heroes.name.s5_el_naddaha","El Naddaha"
"heroes.name.s5_eset","Eset"
"heroes.name.s5_faiez","Faiez"
"heroes.name.s5_hathor","Hathor"
"heroes.name.s5_hetepheres","Hetepheres"
"heroes.name.s5_horus","Horus"
"heroes.name.s5_jarif","Jarif"
"heroes.name.s5_junaid","Junaid"
"heroes.name.s5_khafre","Khufu"
"heroes.name.s5_khepri","Khepri"
"heroes.name.s5_khonshu","Khonshu"
"heroes.name.s5_maat","Ma'at"
"heroes.name.s5_meresankh","Meresankh"
"heroes.name.s5_papyros","Papyros"
"heroes.name.s5_ptolemy","Ptolemaeus"
"heroes.name.s5_rekhetre","Rekhetre"
"heroes.name.s5_scoratek","Scoratek"
"heroes.name.s5_sekhmet","Sekhmet"
"heroes.name.s5_set","Seth"
"heroes.name.s5_sneferu","Sneferu"
"heroes.name.s5_sobek","Sobek"
"heroes.name.s5_tetisheri","Tetisheri"
"heroes.name.s5_waqas","Waqas"
"heroes.name.sand_horse","Hisan"
"heroes.name.sand_king","Yunan"
"heroes.name.sand_queen","Rana"
"heroes.name.sand_roc","Roc"
"heroes.name.sand_soldier","Arman"
"heroes.name.sand_tower","Jabbar"
"heroes.name.sand_vizier","Gafar"
"heroes.name.scoundrel_duval","Duval"
"heroes.name.scoundrel_lane","Lane"
"heroes.name.shadow_abigail","Abigail"
"heroes.name.shadow_asketel","Asketel"
"heroes.name.shadow_atwood","Atwood"
"heroes.name.shadow_burton","Burton"
"heroes.name.shadow_cthuwu","Cthuwu"
"heroes.name.shadow_dolores","Dolores"
"heroes.name.shadow_gwendoline","Gwendoline"
"heroes.name.shadow_hunter","Hunter"
"heroes.name.shadow_hysteria","Hysteria"
"heroes.name.shadow_melancholia","Melancholia"
"heroes.name.shadow_omen","Omen"
"heroes.name.shadow_penelope","Penelope"
"heroes.name.shadow_rashan","Rashan"
"heroes.name.shadow_rosanna","Rosanna"
"heroes.name.shadow_salvatore","Salvatore"
"heroes.name.shadow_shoggo","Shoggo"
"heroes.name.shadow_wulfstan","Wulfstan"
"heroes.name.shadow_zavinia","Zavinia"
"heroes.name.slayer_aodhan","Aodhan"
"heroes.name.slayer_caitlin","Caitlín"
"heroes.name.slayer_cathal","Cathal"
"heroes.name.slayer_cillian","Cillian"
"heroes.name.slayer_maeve","Maeve"
"heroes.name.slayer_noril","Noril"
"heroes.name.slayer_orla","Orla"
"heroes.name.slayer_rian","Rian"
"heroes.name.slayer_saoirse","Saoirse"
"heroes.name.slayer_senan","Senan"
"heroes.name.slime","Slijm"
"heroes.name.slime_achillea","Achillea"
"heroes.name.slime_boboosang","Boboo Sang"
"heroes.name.slime_bulklug","Bulklug"
"heroes.name.slime_charmione","Charmione"
"heroes.name.slime_chingiriko","Chingiriko"
"heroes.name.slime_choozen","Choozen"
"heroes.name.slime_fruitio","Fruitio"
"heroes.name.slime_fungustine","Fungustine"
"heroes.name.slime_gloozmer","Gloozmer"
"heroes.name.slime_goldrip","Goldrip"
"heroes.name.slime_gooldron","Gooldron"
"heroes.name.slime_goorian","Goorian"
"heroes.name.slime_gooric","Gooric"
"heroes.name.slime_gooze","Gooze"
"heroes.name.slime_gunktus","Gunktus"
"heroes.name.slime_harubo","Harubo"
"heroes.name.slime_justico","Justico"
"heroes.name.slime_knightus","Knightus"
"heroes.name.slime_labblub","Labblub"
"heroes.name.slime_magistine","Magistine"
"heroes.name.slime_mucktus","Mucktus"
"heroes.name.slime_slaymire","Slaymire"
"heroes.name.slime_slimgo","Slimgo"
"heroes.name.slime_sliposi","Sliposi"
"heroes.name.slime_sludgus","Sludgus"
"heroes.name.slime_verdigoo","Verdigoo"
"heroes.name.slime_zestique","Zestique"
"heroes.name.styx_amphitrite","Amphitrite"
"heroes.name.styx_arges","Arges"
"heroes.name.styx_brontes","Brontes"
"heroes.name.styx_charon","Charon"
"heroes.name.styx_dante","Dante"
"heroes.name.styx_erebus","Erebus"
"heroes.name.styx_hypnos","Hypnos"
"heroes.name.styx_nemesis","Nemesis"
"heroes.name.styx_nyx","Nyx"
"heroes.name.styx_steropes","Steropes"
"heroes.name.styx_thanatos","Thanatos"
"heroes.name.styx_virgil","Virgil"
"heroes.name.tales1_aqualith","Aqualith"
"heroes.name.tales1_atlanteia","Atlanteia"
"heroes.name.tales1_bagreg","Bagreg"
"heroes.name.tales1_ceto","Ceto"
"heroes.name.tales1_domiventus","Domiventus"
"heroes.name.tales1_ephyra","Ephyra"
"heroes.name.tales1_galapago","Galapago"
"heroes.name.tales1_gelert","Gelert"
"heroes.name.tales1_gestalt","Gestalt"
"heroes.name.tales1_jaco","Jaco"
"heroes.name.tales1_lasalle","Lasalle"
"heroes.name.tales1_medea","Medea"
"heroes.name.tales1_mulgog","Mulgog"
"heroes.name.tales1_persa","Persa"
"heroes.name.tales1_phorcys","Phorcys"
"heroes.name.tales1_sharkhai","Shar'Khai"
"heroes.name.tales1_spartoi","Spartoi"
"heroes.name.tales1_thalassa","Thalassa"
"heroes.name.tales1_ultrox","Ultrox"
"heroes.name.tales2_aethslegaur","Aethslegaur"
"heroes.name.tales2_andvari","Andvari"
"heroes.name.tales2_bragi","Bragi"
"heroes.name.tales2_bryggvir","Bryggvir"
"heroes.name.tales2_dagr","Dagr"
"heroes.name.tales2_dain","Dain"
"heroes.name.tales2_dularfulr","Dularfulr"
"heroes.name.tales2_fafnir","Fafnir"
"heroes.name.tales2_fimafeng","Fimafeng"
"heroes.name.tales2_fjalar","Fjalar"
"heroes.name.tales2_gandr","Gandr"
"heroes.name.tales2_helgi","Helgi"
"heroes.name.tales2_hogne","Högne"
"heroes.name.tales2_hreidmarr","Hreidmarr"
"heroes.name.tales2_motsognir","Mótsognir"
"heroes.name.tales2_ott","Ott"
"heroes.name.tales2_regin","Regin"
"heroes.name.tales2_snorri","Snorri"
"heroes.name.tales2_svafa","Sváfa"
"heroes.name.tales2_thrivaldi","Thrívaldi"
"heroes.name.titan_hunter_adelitza","Adelitza"
"heroes.name.titan_hunter_avestalon","Avestalon"
"heroes.name.titan_hunter_borgholf","Borgholf"
"heroes.name.titan_hunter_brachynd","Brachynd"
"heroes.name.titan_hunter_konradus","Konradus"
"heroes.name.titan_hunter_lumi_and_taiga","Lumi en Taiga"
"heroes.name.titan_hunter_savanna","Dagny"
"heroes.name.trainer","Trainer-held"
"heroes.name.trainer_rainbow","Meestertrainer"
"heroes.name.tribal_chief","Khagan"
"heroes.name.undead_captain_warrior","Cyprianus"
"heroes.name.undead_female_warrior","Sabina"
"heroes.name.undead_horned_skeleton","Oberon"
"heroes.name.undead_running_skeleton","Tyrum"
"heroes.name.undead_screaming_zombie","Silthus"
"heroes.name.underworld_champion","Obakan"
"heroes.name.valentines_anteros","Anteros"
"heroes.name.valentines_cupido","Cupido"
"heroes.name.valentines_elba","Elba"
"heroes.name.valentines_eros","Eros"
"heroes.name.valentines_himeros","Himeros"
"heroes.name.valentines_kabeiroi","Kabeiroi"
"heroes.name.valentines_lempi","Lempi"
"heroes.name.valentines_matchmaker_dodgrom","Dodgrom"
"heroes.name.valentines_phthonus","Phthonus"
"heroes.name.valentines_vernon","Vernon"
"heroes.name.valentines_voluptas","Voluptas"
"heroes.name.valentines_zarola","Zarola"
"heroes.name.vampire_king","Victor"
"heroes.name.vampire_lord","Vlad"
"heroes.name.vampire_queen","Valeria"
"heroes.name.vegetable_bartholomew","Bartholomew"
"heroes.name.vegetable_broseph","Broseph"
"heroes.name.vegetable_caleb","Caleb"
"heroes.name.vegetable_elsbeth","Elsbeth"
"heroes.name.vegetable_indigon","Indigon"
"heroes.name.vegetable_onwyn","Onwyn"
"heroes.name.vegetable_pineon","Pineon"
"heroes.name.villain_asterius","Asterius"
"heroes.name.villain_crystalis","Crystalis"
"heroes.name.villain_dark_lord","Heer der Duisternis"
"heroes.name.villain_edd","Edd"
"heroes.name.villain_ingolf","Ingolf"
"heroes.name.villain_isrod","Isrod"
"heroes.name.villain_karnov","Karnov"
"heroes.name.villain_sanngrior","Sanngrior"
"heroes.name.villain_skrekok","Skrekok"
"heroes.name.villain_toxicandra","Toxicandra"
"heroes.name.wild_cat_catalina","Catalina"
"heroes.name.wild_cat_ferni","Ferni"
"heroes.name.wild_cat_gitnib","Gitnib"
"heroes.name.wild_cat_imagus","Imagus"
"heroes.name.wild_cat_lennart","Lennart"
"heroes.name.wild_cat_leonie","Leonie"
