"herocard.passive_skill.description.addmana.all.allies","仲間全員のマナが少量増加する。"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 ダマスカスブレード
 上級戦術指南書
 望遠鏡

***
 高級手袋
 コンパス
 暖かいケープ
 戦術書
 トールブーツ
 チェーンメール

**
 丈夫なロープ"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_epic_yellow","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

***
 隠し刃
 魔力のオーブ
 頑強な盾
 罠作成器
 暖かいケープ
 戦術書 
 チェーンメール
 刀鞘
 トールブーツ

**
 古文書
 短剣
 革の鎧
 磨き石
 丈夫なロープ
 木の盾

*
 冒険用具
 練習用ソード
 ボロ布"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 ダマスカスブレード
 上級戦術指南書
 謎の液体

***
 高級手袋
 コンパス
 頑強な盾
 トールブーツ
 刀鞘

**
 丈夫なロープ
 短剣"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 ダマスカスブレード
 上級戦術指南書
 ロイヤルタバード

***
 高級手袋
 コンパス
 罠作成器
 トールブーツ
 刀鞘

**
 丈夫なロープ
 短剣"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 ダマスカスブレード
 上級戦術指南書
 神秘の指輪

***
 高級手袋
 コンパス
 隠し刃
 チェーンメール
 トールブーツ

**
 古文書"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 ダマスカスブレード
 上級戦術指南書
 毒の投げ矢

***
 高級手袋
 コンパス
 魔力のオーブ
 チェーンメール
 トールブーツ

**
 古文書"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_blue","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 魔術師のマスターエンブレム
 ウィザードのマスターエンブレム

****
 魔術師のエンブレム
 ウィザードのエンブレム"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_green","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 パラディンのマスターエンブレム
 ドルイドのマスターエンブレム

****
 パラディンのエンブレム
 ドルイドのエンブレム"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_purple","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 ローグのマスターエンブレム
 レンジャーのマスターエンブレム

****
 ローグのエンブレム
 レンジャーのエンブレム"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_red","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 戦士のマスターエンブレム
 バーバリアンのマスターエンブレム

****
 戦士のエンブレム
 バーバリアンのエンブレム"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_yellow","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

****
 牧師のマスターエンブレム
 モンクのマスターエンブレム

****
 牧師のエンブレム
 モンクのエンブレム"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_experience_rare_red","このミミックはステージクリア時に、一定確率でさらに戦利品をもたらす：

**
炎属性、自然属性、 氷属性、闇属性、聖属性のアンコモン英雄

*
コモンマスタートレーナー英雄
F炎属性、自然属性、氷属性、闇属性、聖属性のコモン英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","ステージをクリアすると、このミミックは追加で戦利品を獲得する確率を上げる：

***
レア・氷属性トレーナー英雄

**
アンコモン・氷属性トレーナー英雄
アンコモン・氷属性英雄

*
コモン・氷属性トレーナー英雄
コモン・氷属性英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","ステージをクリアすると、このミミックは追加で戦利品を獲得する確率を上げる：

***
レア・自然属性トレーナー英雄

**
アンコモン・自然属性トレーナー英雄
アンコモン・自然属性トレーナー英雄

*
コモン・自然属性トレーナー英雄
コモン・自然属性英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","ステージをクリアすると、このミミックは追加で戦利品を獲得する確率を上げる：

***
レア・闇属性トレーナー英雄

**
アンコモン・闇属性トレーナー英雄
アンコモン・闇属性英雄

*
コモン・闇属性英雄
コモン・闇属性トレーナー英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","ステージをクリアすると、このミミックは追加で戦利品を獲得する確率を上げる：

***
レア・炎属性トレーナー英雄

**
アンコモン・炎属性トレーナー英雄
アンコモン・炎属性英雄

*
コモン・炎属性トレーナー英雄
コモン・炎属性英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","ステージをクリアすると、このミミックは追加で戦利品を獲得する確率を上げる：

***
レア・聖属性トレーナー英雄

**
アンコモン・聖属性トレーナー英雄
アンコモン・聖属性英雄

*
コモン・聖属性トレーナー英雄
コモン・聖属性英雄"
"herocard.passive_skill.description.nevermissspecial","このキャラクターの特殊スキルはターゲットに必ず命中する。"
"herocard.passive_skill.description.ransack","各ターン開始時に、このキャラクターはランダムな敵1体に強奪を行う：

ライフを{DAMAGE}奪取する。
その敵から安全にバフ、成長効果、またはプラスの累積効果バフを奪取する。これには解除不可能なバフとダンス効果も含まれる。"
"herocard.passive_skill.description.ransack.chance","各ターン開始時に、このキャラクターはランダムな敵1体に{CHANCE}%の確率で強奪を行う：

強奪：
ライフを{DAMAGE}奪取する。
その敵から安全に成長効果、プラスの累積効果バフ、またはステータス効果バフをランダムで奪取する。これには解除不可能なバフとダンス効果も含まれる。
安全に奪取すると、削除時のダメージや削除したバフからの副次的効果を無効にできる。パッシブスキルとファミリー効果も有効にしたままにできる。"
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","このキャラクターが特殊スキルを使用すると、{CHANCE}%の確率で敵から最新の解除可能なバフを盗む。バフがかかっている敵がいない場合、敵全員に{DAMAGE}%のダメージを与える。"
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","このキャラクターが特殊スキルを使用すると、{CHANCE}%の確率で敵から最新の解除可能なバフを盗む。バフがかかっている敵がいない場合、敵全員に{DAMAGE}%のダメージを与える。"
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","このキャラクターが特殊スキルを使用すると、自らに付与された、最も新しい浄化可能なステータス異常をターゲットに移行できる。特殊スキルが特定のターゲットを攻撃できない性質のものである場合は、ランダムな敵がターゲットとして選ばれる。このキャラクターに浄化可能なステータス異常が付与されていない場合は、HPが{HEALTH}%回復する。"
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE}%の確率で、付与されるマイナスの効果をそれに対応するプラスの効果に置き換える。"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","この英雄が自分よりも強い属性の兵団から与えられるダメージが減少する。

被属性ダメージ：-{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","自分よりも強い属性から受ける属性ダメージが{MODIFIER}%軽減される。"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","自分よりも強い属性のファイヤーボールから受ける属性ダメージが{MODIFIER}%増加する。"
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","初めてこのキャラクターが致命的なダメージを受けた場合、そのダメージをランダムな敵1体にはね返す。

複数回ウェーブのある戦闘では、この効果は各ウェーブの最初にリセットされる。"
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","初めてこのキャラクターが致命的なダメージを受けた場合、そのダメージをランダムな敵1体にはね返す（発動残り回数：{ACTIVATIONSLEFT}）。"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","ステータス異常を攻撃者に反射する確率がさらに{CHANCE}%上昇。"
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","{TURNS}ターンごとに、仲間全員の弱体効果すべてが解除される。"
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","{TURNS}ターンごとに、敵全員の成長効果すべてが解除される。"
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","このキャラクターの蓄積コアは修復コアだ。

修復コアはこのキャラクターが特殊スキルを使用するたびに有効になる：

修復コアがチャージが満タンになると、仲間全員のライフが{CHARGEDPOWER1}%ブーストされる。
この際にブーストされるライフはコアのチャージ量に基づいて決められる。コアが有効になると、すべてのチャージが消耗される。"
"herocard.passive_skill.description.repeatspecial","この英雄の特殊スキルが{REPEATCHANCE}%の確率で{REPEATS}回発動する。"
"herocard.passive_skill.description.resist.accuracymodifiers","このキャラクターは命中率に影響するステータス異常への耐性を持つ（仲間から受けるもともとのステータス効果には無効)。"
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","このキャラクターはステータス異常またはマイナスの累積状態への耐性を持つ。"
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","すべてのステータス異常とバフ解除に耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","すべてのステータス異常、マナ奪取、バフ解除、弱化効果に耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","すべてのステータス異常、マナ奪取、バフ解除、狂気に耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","すべてのステータス異常、マナ奪取、バフ解除に耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.resist.alldebuffs.with_chance","すべてのステータス異常に耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","このキャラクターは防御力に影響するステータス異常への耐性を持つ。属性防御力に影響するステータス異常にも適用される。"
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","このキャラクターは防御力に影響するステータス異常、重複効果、弱体効果への耐性を持つ。"
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","このキャラクターは防御力の増減に影響するステータス効果を無効化する。

これにはステータス効果バフやステータス異常、プラスやマイナスの累積、弱化および成長効果を含む。"
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","このキャラクターは防御力の増減に影響するステータス効果を無効化する。

これには
ステータス効果バフやステータス異常、
プラスやマイナスの累積、
弱化および成長効果を含む。"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","このキャラクターは防御力の増減に影響するステータス効果を無効化する。

これにはステータス効果バフやステータス異常、プラスやマイナスの累積、弱化および成長効果を含む。"
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","このキャラクターはマナ生成に影響するステータス異常とマイナスの累積効果への耐性を持つ。マナ生成を止めたり、マナ奪取に影響するステータス異常にも有効である。"
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","このキャラクターはマナ奪取や、マナ生成に影響するステータス異常とマイナスの累積効果への耐性を持つ。マナ生成を止めたり、マナ奪取に影響したりする効果やステータス異常にも有効である。"
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","このキャラクターは、ステータス効果によるダメージへの耐性を持つ。"
"herocard.passive_skill.description.resist.attackdelay","このキャラクターの通常攻撃を遅らせることが不可になる。"
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","このキャラクターの通常攻撃を遅らせることが不可になる。"
"herocard.passive_skill.description.resist.attackmodifiers","このキャラクターは攻撃力に影響するステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","このキャラクターは、攻撃力に影響するすべてのステータス効果と累積への耐性を持つ。対象にはステータス効果バフも含まれる。"
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","このキャラクターは攻撃力に影響するステータス異常、重複効果、弱体効果への耐性を持つ。"
"herocard.passive_skill.description.resist.bleed","このキャラクターは出血ダメージを与えるステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","このキャラクターは出血ダメージを与えるステータス異常に対する耐性を持つ。これにより、抵抗に成功するたびにライフが{HEALTHBOOST}ブーストされ、さらに{MANA}%のマナも獲得する。"
"herocard.passive_skill.description.resist.buffdispels","このキャラクターはステータス効果バフを解除する効果への耐性を持つ。"
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","すべてのバフ解除に耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.resist.buffimmunity","このキャラクターは新たなステータス効果バフを与える効果への耐性を持つ。"
"herocard.passive_skill.description.resist.burn","このキャラクターは燃焼ダメージを与えるステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","このキャラクターは燃焼ダメージを与えるステータス異常に対する耐性を持つ。これにより、抵抗に成功するたびにライフが{HEALTHBOOST}ブーストされ、さらに{MANA}%のマナも獲得する。"
"herocard.passive_skill.description.resist.can_stack.alldebuffs","このキャラクターはステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","すべてのステータス異常に耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.resist.criticalhits.none","このキャラクターはクリティカル攻撃による追加ダメージと追加効果を受けない。"
"herocard.passive_skill.description.resist.defensemodifierdebuffs","このキャラクターは防御力に影響するステータス異常への耐性を持つ。属性防御力に影響するステータス異常には適用されない。"
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","このキャラクターは防御力に影響するステータス異常とマイナスの累積への耐性を持つ。属性防御力に影響するステータス異常には適用されない。"
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","ミニオン排除の効果に対する耐性を持つ。
ミニオンの取得は阻止されない。
ミニオンの攻撃およびアビリティは無効化されない。"
"herocard.passive_skill.description.resist.frost","このキャラクターはフロストダメージを与えるステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","このキャラクターはフロストダメージを与えるステータス異常に対する耐性を持つ。これにより、抵抗に成功するたびにライフが{HEALTHBOOST}ブーストされ、さらに{MANA}%のマナも獲得する。"
"herocard.passive_skill.description.resist.healeffects","このキャラクターは回復に影響するステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.healthsteal","このキャラクターはライフ収奪に影響するステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","このキャラクターは狂気に対する耐性を持つ。"
"herocard.passive_skill.description.resist.manadebuffs","このキャラクターはマナに影響するステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","このキャラクターはマナ生成に影響する、あるいは特殊スキルの使用を妨げるステータス異常に対する耐性を持つ。"
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","このキャラクターは{CHANCE}%の確率で、マナ生成に影響するステータス異常を無効化するか、特殊スキルを使用されるのを防ぐ"
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","このキャラクターは、マナ生成に影響するステータス異常やマイナスの累積への耐性を持つ。マナ生成を止めたり、マナ奪取に影響するステータス効果には無効である。"
"herocard.passive_skill.description.resist.manareduction","このキャラクターはマナ奪取に対する耐性を持つ。"
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","マナ奪取に対する耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","このキャラクターはマナ減少に対する耐性を持つ。また、抵抗に成功するたびにライフが{HEALTHBOOST}ブーストされ、さらに{MANA}%のマナも獲得する。"
"herocard.passive_skill.description.resist.maxhealthreduction","このキャラクターは最大HP吸収に対する耐性を持つ。"
"herocard.passive_skill.description.resist.poison","このキャラクターは毒ダメージを与えるステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.poison.burn.bleed","このキャラクターは毒、燃焼、または出血ダメージを与えるステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.possession.allstatuseffects","このキャラクターは、キャラクターに取り憑くステータス効果への耐性を持つ。"
"herocard.passive_skill.description.resist.sand","このキャラクターは砂ダメージを与えるステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.specialblocking","このキャラクターは特殊スキルの使用を妨げるステータス異常に対する耐性を持つ。"
"herocard.passive_skill.description.resist.specialblocking.with_chance","このキャラクターは{CHANCE}%の確率で、特殊スキルの使用を阻止するステータス異常を無効化する。"
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","このキャラクターは特殊スキルの使用を妨げるステータス異常に対する耐性を持つ。また、抵抗に成功するたびにライフが{HEALTHBOOST}ブーストされ、さらに{MANA}%のマナも獲得する。"
"herocard.passive_skill.description.resist.stopmanageneration","このキャラクターはマナ生成停止に影響するステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resist.water","このキャラクターは水ダメージを与えるステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","このキャラクターはミニオンによるステータス異常への耐性を持つ。"
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","このキャラクターはミニオン排除の効果への耐性を持つ。"
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","このキャラクターは、ミニオンによるマイナスの影響とダメージへの耐性を持つ。"
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","このキャラクターは、ミニオンとメガミニオンによるマイナスの影響とダメージへの耐性を持つ。"
"herocard.passive_skill.description.resistnewfamiliars.parasite","このキャラクターはフィエンドを所有できない。"
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","このキャラクターはフィエンドまたはメガフィエンドを所有できない。"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","すべてのステータス異常に耐性を持つ確率が、さらに{CHANCE}%上昇する。"
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","バトル中の敵全員の復活確率を減少させる。確率は元の値の{MODIFIER}%になる。"
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","すべての敵は、復活時のライフが元の値の{HEALTHMODIFIER}%になる。ボスの敵はこの影響を受けない。"
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","このキャラクターが倒されると、一定確率でエルドリッチの主人として復活する。この確率はこのキャラクターに付与されている{INSANITYPERSTEP}狂気につき{CHANCEINCREASEPERSTEP}%となる。最大で{MAXCHANCEINCREASE}%まで。

エルドリッチの主人のステータス：
キャラクターのライフの{INHERITEDHEALTH}%を継承。
攻撃力{ATTACK}。
防御力{DEFENSE}。
特殊スキル：エルドリッチの荒廃。

狂気を発動してこのキャラクターが自身を倒した場合、復活する可能性が常に{CHANCEONSELFCAUSEDDEATH}%になる。"
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","このキャラクターが倒されると、一定確率でエルドリッチの主人として復活する。この確率はこのキャラクターに付与されている狂気{INSANITYPERSTEP}つにつき{CHANCEINCREASEPERSTEP}%となる。最大で{MAXCHANCEINCREASE}%まで。

エルドリッチの主人のステータス：
キャラクターのライフの{INHERITEDHEALTH}%を継承。
攻撃力{ATTACK}。
防御力{DEFENSE}。
以下の特殊スキル：

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","このキャラクターが倒されると、{TOTALCHANCE}%の確率で、次のターン開始時に{HEALTH}%のライフと{MANA}%のマナで復活する。

この効果は最大{MAXACTIVATIONCOUNT}回まで発動する。発動するごとにキャラクターが復活する確率は減少する。この効果の発動がステータス異常やパッシブスキルによって阻害されることはない。"
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","敵が使用したすべてのバラードは{TURNS}ターンのみ継続する。"
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","敵が使用したすべてのダンスは{TURNS}ターンのみ継続する。"
"herocard.passive_skill.description.sharereceiveddamage","このキャラクターが受けたダメージの{SHAREDDAMAGEPORTION}%を他の仲間全員で共有する。"
"herocard.passive_skill.description.specialdamagereduction","このキャラクターが特殊スキルによって受けるダメージが、{MAXACTIVATIONCOUNT}回目まで、{DAMAGEREDUCTION}%になる。"
"herocard.passive_skill.description.specialdamagereduction.chance","このキャラクターは、{CHANCE}%の確率で、特殊スキルによって受けるダメージを1にする。"
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","このキャラクターが特殊スキルによって受けるダメージが{DAMAGEREDUCTION}%軽減される。"
"herocard.passive_skill.description.startbattlewitheffect.addmana","バトル開始時に、このキャラクターがマナを{MANA}%獲得する。"
"herocard.passive_skill.description.statmodifier.attack","攻撃力が{ATTACKMULTIPLIER}%になる。"
"herocard.passive_skill.description.statmodifier.defense","防御力が{DEFENSEMULTIPLIER}%になる。"
"herocard.passive_skill.description.statmodifier.health","最大HPが{HEALTHMULTIPLIER}%になる。"
"herocard.passive_skill.description.statmodifier.health.attack","ライフ{HEALTHMULTIPLIER}%、攻撃力{ATTACKMULTIPLIER}%。"
"herocard.passive_skill.description.statmodifier.health.defense","ライフ{HEALTHMULTIPLIER}%、防御力{DEFENSEMULTIPLIER}%。"
"herocard.passive_skill.description.statmodifier.health.defense.attack","ライフ{HEALTHMULTIPLIER}%、防御力{DEFENSEMULTIPLIER}%、攻撃力{ATTACKMULTIPLIER}%。"
"herocard.passive_skill.description.statuseffectattackmodifier.addition","このキャラクターの攻撃力を上昇させるステータス効果が{MODIFIER}%強化される。"
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","攻撃力異常が{MODIFIER}%になる。この効果はバトル中、このキャラクターと仲間全員に適用される。"
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","このキャラクターの攻撃力を低下させるステータス異常が{MODIFIER}%軽減される。"
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","このキャラクターの攻撃力を上昇させるステータス効果が{MODIFIER}%強化される。"
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","このキャラクターの攻撃力を低下させるステータス異常が{MODIFIER}%軽減される。"
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","このキャラクターの防御力を増加させるステータス効果が{MODIFIER}%強化される。"
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","防御力異常が{MODIFIER}%になる。この効果はバトル中、このキャラクターと仲間全員に適用される。"
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","この敵に対して、防御力を低下させるステータス異常の効果が{MODIFIER}%減少する。"
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","このキャラクターの防御力を増加させるステータス効果が{MODIFIER}%強化される。"
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","この敵に対して、防御力を低下させるステータス異常の効果が{MODIFIER}%減少する。"
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","このキャラクターが特殊スキルから受けた最初の{MAXACTIVATIONCOUNT}個のステータス異常の持続時間が、{DURATIONMODIFIER}ターン分減少する。"
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","このキャラクターが
特殊スキルによって受ける、
防衛系のステータス異常の持続
時間が{DURATIONMODIFIER}ターン分減少する。"
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","このキャラクターが特殊スキルによって獲得した最初の{MAXACTIVATIONCOUNT}個のバフの持続時間が、{DURATIONMODIFIER}ターン分増加する。"
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","この英雄のステータス異常が浄化されると、浄化されたそのステータス異常が敵1体にランダムで付与される。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","このガーゴイルが特殊スキルを使用するごとに、仲間全員に「柔膚」が与えられる。その後、仲間の被ダメージが{MAXACTIVATIONS}回、{DAMAGEREDUCTION}%軽減される。さらに、あらゆるステータス異常、マナ減少、狂気への耐性を持つ。この効果は解除できない。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","このガーゴイルが特殊スキルを使用するごとに「柔膚」が発動する。その後、被ダメージが{MAXACTIVATIONS}回、{DAMAGEREDUCTION}%軽減される。さらに、あらゆるステータス異常、マナ減少、狂気への耐性を持つ。この効果は解除できない。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","このガーゴイルが特殊スキルを発動するたびに、彼らの石膚が強化される。次の{MAXHITS}回に渡って、受けるダメージが1に低下する。この効果は解除できない。"
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","このキャラクターが特殊スキルを使用すると、ランダムな敵1体に{TURNS}ターンにわたって狩猟のフレアの印をつける。
狩猟のフレアの印がつけられたターゲットはクリティカル攻撃を受けると追加で{FIXEDPOWER}ダメージを受ける。"
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","このキャラクターが特殊スキルを使用すると、{TURNS}ターンの間、ミニオンの攻撃力が{ATTACK}%になる。この効果は攻撃力を変化させる効果に累積できる。"
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","バトルにつき1回だけ、{TURNS}ターンにわたって、この英雄の属性を別の属性の中から選んで変更できる。属性を変更するには、この英雄をタップすること（マナが満タンでない場合のみ）。"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","毎ターン、ランダムに敵1体に対して苗木のフィエンドをサモンする。
苗木のフィエンドは{EVOLVINGFAMILIAR1EVOLVETURNS}ターン後に新芽のフィエンドに進化する。
新芽のフィエンドは{EVOLVINGFAMILIAR2EVOLVETURNS}ターン後に開花のメガフィエンドに進化する。

苗木のフィエンド：
攻撃力{EVOLVINGFAMILIAR1ATTACK}%、ライフ{EVOLVINGFAMILIAR1HEALTH}%

新芽のフィエンド：
攻撃力{EVOLVINGFAMILIAR2ATTACK}%、ライフ{EVOLVINGFAMILIAR2HEALTH}%

開花のメガフィエンド：
攻撃力{EVOLVINGFAMILIAR3ATTACK}%、ライフ{EVOLVINGFAMILIAR3HEALTH}%"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","毎ターン、ランダムに敵1体に対して苗木のフィエンドをサモンする。このパッシブスキルは各チームにつき1回だけ発動する。
苗木のフィエンドは{EVOLVINGFAMILIAR1EVOLVETURNS}ターン後に新芽のフィエンドに進化する。
新芽のフィエンドは{EVOLVINGFAMILIAR2EVOLVETURNS}ターン後に開花のメガフィエンドに進化する。

苗木のフィエンド：
攻撃力{EVOLVINGFAMILIAR1ATTACK}%、ライフ{EVOLVINGFAMILIAR1HEALTH}%

新芽のフィエンド：
攻撃力{EVOLVINGFAMILIAR2ATTACK}%、ライフ{EVOLVINGFAMILIAR2HEALTH}%

開花のメガフィエンド：
攻撃力{EVOLVINGFAMILIAR3ATTACK}%、ライフ{EVOLVINGFAMILIAR3HEALTH}%"
