"specials.name.a_cozy_break","En mysig paus"
"specials.name.dragon_blinding_blaze","Bländande flamma"
"specials.name.dragon_blinding_blaze_duskwing","Bländande flamma"
"specials.name.dragon_blinding_blaze_jawbreaker","Bländande flamma"
"specials.name.dragon_blinding_blaze_wildheart","Bländande flamma"
"specials.name.dragon_breath_of_bulwark","Bålverkets andedräkt"
"specials.name.dragon_breath_of_compassion","Medkänslans andedräkt"
"specials.name.dragon_breath_of_nourishment","Närande andetag"
"specials.name.dragon_breath_of_retribution","Vedergällningens andedräkt"
"specials.name.dragon_breath_of_revival","Återupplivandets andedräkt"
"specials.name.dragon_cauterizing_blaze","Brännande låga"
"specials.name.dragon_charring_blaze","Förkolnande flamma"
"specials.name.dragon_claws","Drakklor"
"specials.name.dragon_cleansing_flame","Renande flamma"
"specials.name.dragon_corrosive_blaze","Frätande flamma"
"specials.name.dragon_cracking_blaze","Sprakande flamma"
"specials.name.dragon_crackling_blaze_smoldercoil","Sprakande flamma"
"specials.name.dragon_crashing_blaze","Kraschande flamma"
"specials.name.dragon_crippling_blaze","Förlamande flamma"
"specials.name.dragon_crippling_blaze_belzaas","Förlamande flamma"
"specials.name.dragon_crushing_blaze","Krossande flamma"
"specials.name.dragon_dampening_blaze","Dämpande flamma"
"specials.name.dragon_dazing_blaze","Bedövande flamma"
"specials.name.dragon_delivery_service","Drakleverans"
"specials.name.dragon_destabilizing_blaze","Störande låga"
"specials.name.dragon_devastating_blaze","Förödande flamma"
"specials.name.dragon_disarming_blaze","Avväpnande flamma"
"specials.name.dragon_draining_blaze","Tömmande flamma"
"specials.name.dragon_empowering_breath","Stärkande andning"
"specials.name.dragon_esoteric_flame","Esoterisk flamma"
"specials.name.dragon_fang","Draktand"
"specials.name.dragon_fiery_blaze","Brännhet flamma"
"specials.name.dragon_flames_of_acceleration","Accelerationens flammor"
"specials.name.dragon_fortifying_flame","Stärkande flamma"
"specials.name.dragon_inspirational_breath","Inspirerande andning"
"specials.name.dragon_mana_infused_breath","Manastärkt andedräkt"
"specials.name.dragon_mindless_blaze","Tanklös flamma"
"specials.name.dragon_novices_blaze","Novisflamma"
"specials.name.dragon_pacifying_breath","Lugnande andetag"
"specials.name.dragon_protective_breath","Beskyddande andning"
"specials.name.dragon_rallying_breath","Samlande andning"
"specials.name.dragon_rallying_breath_trezoro","Samlande andning"
"specials.name.dragon_resuscitating_breath","Återupplivande andning"
"specials.name.dragon_revitalizing_breath","Vitaliserande andning"
"specials.name.dragon_sacred_flame","Helig flamma"
"specials.name.dragon_sacred_flame_harmonis","Helig flamma"
"specials.name.dragon_searing_blaze","Svidande låga"
"specials.name.dragon_shielding_breath","Skyddande blåsning"
"specials.name.dragon_shocking_blaze","Chockflamma"
"specials.name.dragon_spring_breath","Vårandedräkt"
"specials.name.dragon_spring_breath_erudius","Vårandedräkt"
"specials.name.dragon_strengthening_flame","Kraftgivande flamma"
"specials.name.dragon_summer_blaze","Sommarflamma"
"specials.name.dragon_volcanic_blaze","Vulkanisk flamma"
"specials.name.dragon_weakening_blaze","Försvagande flamma"
"specials.name.dragon_weakening_blaze_ashenheart","Försvagande flamma"
"specials.name.dragon_weakening_blaze_gonthrox","Försvagande flamma"
"specials.name.dragon_wounding_blaze","Sårande flamma"
"specials.name.dragon_wounding_blaze_ceestraze","Sårande flamma"
"specials.name.dragon_wounding_blaze_talonshine","Sårande flamma"
"specials.name.dragon_wrecking_blaze","Förödande flamma"
"specials.name.dragon_wrecking_blaze_rangifer","Förödande flamma"
"specials.name.drain_strike","Dränerande hugg"
"specials.name.draining_blade","Försvagande egg"
"specials.name.drawn_to_the_depths","Dragen till djupet"
"specials.name.dread_hammer","Skräckhammare"
"specials.name.dreaded_swords","Fruktade svärd"
"specials.name.dreaded_waters","Fruktade vatten"
"specials.name.dreadful_riddle","Skräckens gåta"
"specials.name.dreadstrike","Skräckslag"
"specials.name.dreams_of_nourishment","Drömmar om näring"
"specials.name.dress_up","Svida om!"
"specials.name.drowsy_bolt","Sömnigt slag"
"specials.name.drum_chain","Trumkedja"
"specials.name.dual_axes","Dubbelyxor"
"specials.name.dual_blades","Dubbla svärd"
"specials.name.dual_data_blades","Dubbla datasvärd"
"specials.name.dual_laser_blades","Dubbla lasersvärd"
"specials.name.dual_slash","Dubbelhugg"
"specials.name.dual_sting","Dubbelstick"
"specials.name.dubious_cuisine","Tvivelaktiga rätter"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Katastrofalt kökshaveri"
"specials.name.dubious_cuisine_exquisite_food","Utsökt mat"
"specials.name.dubious_cuisine_rotten_food","Rutten mat"
"specials.name.dubious_merchandise","Tvivelaktiga varor"
"specials.name.dubious_mixture","Skum blandning"
"specials.name.dum_and_dee","Dum och Dee"
"specials.name.dusk_dust","Skymningsdamm"
"specials.name.dusk_till_dawn","Skymning till gryning"
"specials.name.dust_to_dust","Till jord skall du åter bli"
"specials.name.dwarven_flourish","Dvärgbriljans"
"specials.name.dwarven_kings_levy","Dvärgakungens skatt"
"specials.name.dwarven_recharge","Dvärgisk omladdning"
"specials.name.easy_breezy_aura","Lätt som en plätt-aura"
"specials.name.echoes_of_ice","Isens eko"
"specials.name.echoes_of_pain","Smärtans eko"
"specials.name.echoes_of_the_opera","Operans eko"
"specials.name.eclipse_shield","Halvmånens sköld"
"specials.name.eclipse_spear","Förmörkelsespjut"
"specials.name.educated_exorcism","Utbildad exorcism"
"specials.name.egg_barrage","Äggstorm"
"specials.name.elders_remedy","De äldstes botemedel"
"specials.name.eldritch_blight","Kusligt fördärv"
"specials.name.eldritch_sign_bolts","Kusliga blixtar"
"specials.name.electric_cut","Elektriskt hugg"
"specials.name.electric_dragonfire","Elektrisk drakeld"
"specials.name.electric_jolt","Elstöt"
"specials.name.electric_stab","Elektriskt hugg"
"specials.name.electric_sting_dragon_pve","Elektriskt styng"
"specials.name.electrified_claws","Elektrifierade klor"
"specials.name.electrified_claws_ultimate_boss","Elektrifierade klor"
"specials.name.electrifying_gust_dragon_pve","Elektrifierande pust"
"specials.name.elegant_pulverizer","Elegant pulvrisering"
"specials.name.elemental_corruption","Elementfördärv"
"specials.name.elemental_infusion_arrow","Elementstärkt pil"
"specials.name.elemental_infusion_arrow_pve","Elementstärkt pil"
"specials.name.elemental_magic","Elementarmagi"
"specials.name.emboldened_strike","Inspirerat anfall"
"specials.name.emerald_dual_blade","Smaragddubbelklinga"
"specials.name.emerald_flash","Smaragdblixt"
"specials.name.emerald_tide","Smaragdvåg"
"specials.name.emerald_wind","Smaragdvind"
"specials.name.empowered_slash","Stärkande hugg"
"specials.name.empowering_bash","Stärkande stöt"
"specials.name.empowering_bash_deadly","Stärkande stöt"
"specials.name.en_garde","En garde"
"specials.name.enchanted_antlers","Förtrollade hjorthorn"
"specials.name.enchanted_axe_swing","Förtrollad yxsving"
"specials.name.enchanted_edge","Förtrollad egg"
"specials.name.enchanted_elven_sword","Förtrollat alvsvärd"
"specials.name.enchanted_symphony","Förtrollad symfoni"
"specials.name.enchanting_divination","Förtrollande spådom"
"specials.name.enchanting_melody","Förtrollande melodi"
"specials.name.endless_daggers","Oändliga dolkar"
"specials.name.endless_maze","Oändlig labyrint"
"specials.name.energy_conjunction","Energisammanstrålning"
"specials.name.energy_of_mjolnir","Mjölners energi"
"specials.name.energy_steal_dragon_pve","Energistöld"
"specials.name.engulfing_candlelight","Uppslukande ljus"
"specials.name.entangling_shot","Snärjskott"
"specials.name.entrapping_enchantment","Fångande förtrollning"
"specials.name.erase_strength","Förstör styrka"
"specials.name.erupting_slices","Utbrottshugg"
"specials.name.esprit_de_corps","Kåranda"
"specials.name.essence_of_queen_nitocris","Drottning Nitrocris essens"
"specials.name.eternal_bond","Evigt band"
"specials.name.eternal_ishq","Evig ishq"
"specials.name.eternal_loyalty","Evig lojalitet"
"specials.name.eternal_servitude","Evig träldom"
"specials.name.ethereal","Spöke"
"specials.name.evading_dash","Undvikande spurt"
"specials.name.everlasting_wound","Evigt sår"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Exorcistpil"
"specials.name.explosive_goo_minions","Undersåtegranskning"
"specials.name.explosive_o_lantern","Explosiv pumpa"
"specials.name.express_delivery","Expressleverans"
"specials.name.exquisite_alchemy","Enastående alkemi"
"specials.name.exquisite_victuals","Utsökta livsmedel"
"specials.name.exquisite_victuals_pve_advanced","Utsökta livsmedel"
"specials.name.exquisite_victuals_pve_normal","Utsökta livsmedel"
"specials.name.eye_of_panther","Panterns blick"
"specials.name.eye_of_the_storm","Stormens öga"
"specials.name.eye_of_yog-sir","Yog-Sirs öga"
"specials.name.fabled_fist","Berömd näve"
"specials.name.fabled_llama_ballad","Berömd lamaballad"
"specials.name.fairy_godmothers_blessing","Den goda fens välsignelse"
"specials.name.faithful_force","Trofast kraft"
"specials.name.falcon_screech","Falkskri"
"specials.name.false_treat","Falsk trygghet"
"specials.name.familiar_eater","Lakejätare"
"specials.name.familiar_witchcraft","Bekanta häxkonster"
"specials.name.fangs_and_blades","Käftar och svärd"
"specials.name.fangs_of_death","Smärtans gaddar"
"specials.name.fatal_dreams","Dödliga drömmar"
"specials.name.fatal_finisher","Dödlig avslutare"
"specials.name.fearless_charge","Våghalsig framstöt"
"specials.name.feather_tempest","Fjäderstorm"
"specials.name.feline_constellation","Kattstjärnbild"
"specials.name.feral_arrows","Vilda pilar"
"specials.name.feral_bite","Djuriskt bett"
"specials.name.feral_gust_dragon_pve","Djurisk vindstöt"
"specials.name.feral_peck","Otyglat ursinne"
"specials.name.feral_revenge","Djurisk revansch"
"specials.name.feral_swing","Djurisk sving"
"specials.name.feyfire_slash","Häxeldshugg"
"specials.name.field_aid","Mindre helande"
"specials.name.field_surgery","Kraftigt helande"
"specials.name.fiendslayer","Odjursdräpare"
"specials.name.fierce_fu_jow_pai","Rasande Fu Jow Pai"
"specials.name.fierce_pierce","Vredesstick"
"specials.name.fierce_slash","Vredeshugg"
"specials.name.fiery_charge","Eldrusning"
"specials.name.fiery_performance","Eldig föreställning"
"specials.name.fiery_revenge","Eldhämnd"
"specials.name.fire_barrier_dragon_pve","Eldbarriär"
"specials.name.fire_bolt_zidane","Eldpil"
"specials.name.fire_storm","Eldstorm"
"specials.name.fire_tiger","Eldtigrar"
"specials.name.fireball","Eldklot"
"specials.name.fireball_single","Eldklot"
"specials.name.fireblade_slash","Eldsvärdsslag"
"specials.name.fires_of_ragnarok","Ragnaröks eldar"
"specials.name.fires_of_ragnarok_final","Ragnaröks eldar"
"specials.name.firestone_daggers","Eldstensdolkar"
"specials.name.firewall","Eldvägg"
"specials.name.firing_on_all_cylinders","Full eldgivning"
"specials.name.first_frost","Första frosten"
"specials.name.first_law_of_thermodynamics","Termodynamikens första lag"
"specials.name.fishbone_blades","Fiskbensklingor"
"specials.name.fists_of_atonement","Försoningens nävar"
"specials.name.flail_of_destruction","Förstörelseslaga"
"specials.name.flail_swing","Svingande slaga"
"specials.name.flails_of_fury","Ilskans spikklubbor"
"specials.name.flame_of_the_dragon_familiar","Drakundersåtens flamma"
"specials.name.flame_of_the_lioness","Lejoninnans låga"
"specials.name.flame_storm","Eldstorm"
"specials.name.flame_surge","Eldsvall"
"specials.name.flames_and_rejuvenation","Eld och återfödelse"
"specials.name.flames_and_rejuvenation_pve","Eld och återfödelse"
"specials.name.flames_of_revenge","Hämndens lågor"
"specials.name.flaming_fury","Brinnande ilska"
"specials.name.flaming_grudge","Flammande agg"
"specials.name.flaming_mandibles","Brinnande käkar"
"specials.name.flaming_rapier","Brinnande värja"
"specials.name.flaming_rapier_pve","Brinnande värja"
"specials.name.flaming_sword","Flammande svärd"
"specials.name.flanking_maneuver","Flankeringsmanöver"
"specials.name.flanking_maneuver_pve","Flankeringsmanöver"
"specials.name.flare","Eldandning"
"specials.name.flat_cake_for_sweethearts","Kärlekstårta"
"specials.name.flat_cake_for_sweethearts_pve","Kärlekstårta"
"specials.name.flawless_shot","Felfritt skott"
"specials.name.flock_of_folly_eldwren","Fåfängans flock"
"specials.name.floral_sting","Blomstick"
"specials.name.flower_arrangements","Blomsterarrangemang"
"specials.name.flower_of_kindness","Vänskapsblommor"
"specials.name.fluff_in_the_air","Ludd i luften"
"specials.name.flurry_of_blows","Slagstorm"
"specials.name.flurry_of_slashes","Huggstorm"
"specials.name.flurry_of_slashes_deadly","Huggstorm"
"specials.name.flute_of_enchantment","Förtrollningens flöjt"
"specials.name.focused_shot","Fokuserat skott"
"specials.name.fog_machine","Rökmaskinens dimma"
"specials.name.fog_of_the_fallen","De fallnas dimma"
"specials.name.fog_of_the_glass_sabina","Vitrails dimma"
"specials.name.fog_of_the_perished","De fördömdas dimma"
"specials.name.fog_of_the_toons","De tecknades dimma"
"specials.name.fog_of_the_vitrails","Vitrails dimma"
"specials.name.for_queen_and_hollow","För drottning och sänkor"
"specials.name.force_of_forest","Skogens kraft"
"specials.name.forceful_advance","Kraftfullt avancemang"
"specials.name.forest_breath","Skogens andetag"
"specials.name.forest_command","Skogens befallning"
"specials.name.forest_friends","Skogsvänner"
"specials.name.forge_rush","Smidesrusning"
"specials.name.forged_axe_of_light","Smidd ljusyxa"
"specials.name.forged_from_gold","Smidd av guld"
"specials.name.forged_in_fire","Eldsmidd"
"specials.name.fortunate_slice","Lyckohugg"
"specials.name.fracturing_cut","Brytande snitt"
"specials.name.fracturing_shards","Brytande skärvor"
"specials.name.fracturing_slash","Brytande hugg"
"specials.name.freezing_cold_cutter","Iskall huggare"
"specials.name.freezing_crystal","Iskall kristall"
"specials.name.freezing_fairy_mist","Iskall fedimma"
"specials.name.freezing_power_hooks","Frysande kraftkrokar"
"specials.name.frenzied_rend","Frenetisk klyvning"
"specials.name.frenzy_plant","Vredesplanta"
"specials.name.friendly_critters_feast","Djurens festmåltid"
"specials.name.frightening_pinch","Atlantspjut"
"specials.name.frightstrike","Skräckslag"
"specials.name.frogs_and_hoop","Grodor och ring"
"specials.name.from_shadows","Från skuggorna"
"specials.name.from_shadows_pve","Från skuggorna"
"specials.name.frost_and_rime","Köld och rimfrost"
"specials.name.frost_bound_blade","Frostbunden klinga"
"specials.name.frostbite","Frostskada"
"specials.name.frostbolt_dragon_pve","Frostblixt"
"specials.name.frostbound_smash","Frostbunden smäll"
"specials.name.frostneedle","Frostnål"
"specials.name.frosty_axes","Frostiga yxor"
"specials.name.frosty_punches","Kalla slag"
"specials.name.frozen_orb","Fruset klot"
"specials.name.frozen_path","Flodväg"
"specials.name.frozen_wind","Frusen vind"
"specials.name.frozen_wind_pve","Frusen vind"
"specials.name.fruit_cocktail","Fruktcocktail"
"specials.name.fruits_of_labor","Rejäl dos vitlök"
"specials.name.fullmetal_pelt","Metallpäls"
"specials.name.furious_bite","Vredesbett"
"specials.name.furious_boar","Rasande vildsvin"
"specials.name.furious_flames","Våldsamma flammor"
"specials.name.furry_loggers_swing","Timmersving"
"specials.name.fury_of_ash","Askans vrede"
"specials.name.fury_of_grimnir","Grimners vrede"
"specials.name.fury_of_the_ancient_forest","Urskogens vrede"
"specials.name.fury_of_the_fire_giants","Eldjättarnas vrede"
"specials.name.fury_of_the_fire_giants_final","Eldjättarnas vrede"
"specials.name.fury_of_the_mountain_lord","Bergaherrens raseri"
"specials.name.fury_of_the_silverback","Silverryggens raseri"
"specials.name.gallant_stance","Ståtlig ställning"
"specials.name.gamblers_stance","Spelarposition"
"specials.name.gamblers_swing","Spelarsving"
"specials.name.garbage_shock_wave","Sopchockvåg"
"specials.name.gardeners_remedy","Trädgårdsmästarens huskur"
"specials.name.gargantuan_bite","Enormt bett"
"specials.name.gargoyles_of_redemption","Frälsningens grotesker"
"specials.name.gargoyles_of_redemption_pve","Frälsningens grotesker"
"specials.name.gargoyles_of_restoration","Groteskernas återställning"
"specials.name.garlic_serving_edwin","Vitlökstallrik"
"specials.name.generous_gifts","Generösa gåvor"
"specials.name.gentle_paw","Vacker tass"
"specials.name.gentlemans_cane","Gentlemannens käpp"
"specials.name.gentlemans_transformation","Gentlemannens förvandling"
"specials.name.giddy_jab_dragon_pve","Ivrig jabb"
"specials.name.gift_list","Gåvolista"
"specials.name.gift_of_rejuvenation","Föryngringens gåva"
"specials.name.gift_of_rock","Stengåva"
"specials.name.giftsack","Presentsäck"
"specials.name.gilded_antlers","Förgyllda horn"
"specials.name.glacial_atmosphere","Glaciäratmosfär"
"specials.name.glacial_crusher","Glaciärkrossare"
"specials.name.glacial_explosion","Glaciärexplosion"
"specials.name.glacial_fissure_cleave","Glaciärspricksklyvning"
"specials.name.glacial_resilience","Glaciärmotstånd"
"specials.name.glacial_shatter","Glaciärkross"
"specials.name.glacial_vortex","Glaciärvirvel"
"specials.name.glaive_of_flames","Eldglav"
"specials.name.glass_anger_of_forest_horghall","Skärvornas vrede"
"specials.name.glass_arrow","Glaspil"
"specials.name.glass_barrage_scarlett","Glassalva"
"specials.name.glass_beam","Glasstråle"
"specials.name.glass_bite","Glasbett"
"specials.name.glass_bolt","Glasblixt"
"specials.name.glass_brew","Glasbrygd"
"specials.name.glass_burning_strike","Glasslag"
"specials.name.glass_chop","Glashugg"
"specials.name.glass_cleave","Glasklyvning"
"specials.name.glass_cold_blast_ulmer","Glassnöstorm"
"specials.name.glass_cut","Glashugg"
"specials.name.glass_cut_chao","Glasmålarhugg"
"specials.name.glass_entangling_shot","Glaspil"
"specials.name.glass_finisher_thorne","Glasnådastöt"
"specials.name.glass_fireball","Glaseldboll"
"specials.name.glass_flame_smash","Glaseldkross"
"specials.name.glass_four_blades","Glasklingornas hugg"
"specials.name.glass_fury","Glasvrede"
"specials.name.glass_gamblers_stance","Glasställning"
"specials.name.glass_hammer","Glashammare"
"specials.name.glass_have_faith","Tydlig tro"
"specials.name.glass_heal","Glasläkning"
"specials.name.glass_jolt","Glasstöt"
"specials.name.glass_kick","Glasspark"
"specials.name.glass_leaping_attack_dawa","Glasattack"
"specials.name.glass_leeching_stars_renfeld","Glasstjärnor"
"specials.name.glass_link","Glaslänk"
"specials.name.glass_massive_chop","Glashugg"
"specials.name.glass_mist","Glasdimma"
"specials.name.glass_order","Glasmålarorder"
"specials.name.glass_peck","Glaspickande"
"specials.name.glass_piercing_hit_tyrum","Glasträff"
"specials.name.glass_piercing_strike","Glasslag"
"specials.name.glass_prayer","Glasbön"
"specials.name.glass_pulverizer","Glaspulveriserare"
"specials.name.glass_pulverizer_tiburtus","Glaspulveriserare"
"specials.name.glass_purification","Glassifiering"
"specials.name.glass_ramming_rush","Glasspurt"
"specials.name.glass_ramming_rush_isshtak","Glasspurt"
"specials.name.glass_riposte","Glasripost"
"specials.name.glass_riposte_boril","Glasripost"
"specials.name.glass_shatter","Glaskross"
"specials.name.glass_shield_kadilen","Glassköld"
"specials.name.glass_skin","Glashud"
"specials.name.glass_slam","Glasslag"
"specials.name.glass_slash","Glassnitt"
"specials.name.glass_spear","Glasspjut"
"specials.name.glass_stab","Glashugg"
"specials.name.glass_stone_skin_gunnar","Glaslänk"
"specials.name.glass_strike","Glasslag"
"specials.name.glass_strike_caedmon","Glasslag"
"specials.name.glass_strike_magni","Glasslag"
"specials.name.glass_swords","Glasvägg"
"specials.name.glass_thunderstrike_quintus","Glasultimatum"
"specials.name.glass_traps_oberon","Glasfällor"
"specials.name.glass_vines","Glasrankor"
"specials.name.glass_volcano","Glasvulkan"
"specials.name.glass_wall","Glasmur"
"specials.name.glass_warcry","Glasstridsrop"
"specials.name.gleaming_gemstones","Glimmande ädelstenar"
"specials.name.gleaming_sword_and_iron_mail","Glänsande svärd och järnrustning"
"specials.name.glittering_sweep_dragon_pve","Glittrande svep"
"specials.name.gloom_grenades","Eländesgranater"
"specials.name.gloomy_tune","Dyster melodi"
"specials.name.glorious_grace","Storslagen nåd"
"specials.name.glutinous_execution","Klibbig avrättning"
"specials.name.gnomish_carnage","Gnomens massaker"
"specials.name.goat_rush","Getrusning"
"specials.name.goblin_explosives","Svartalfssprängmedel"
"specials.name.goblin_serenade","Svartalfsserenad"
"specials.name.god_of_the_underworld","Underjordsattack"
"specials.name.gold_gauntlet","Guldhandske"
"specials.name.gold_rush","Guldrusch"
"specials.name.gold_weaver","Guldväv"
"specials.name.golden_aura","Gyllene aura"
"specials.name.golden_cicada","Gyllene cikada"
"specials.name.golden_sacred_symbol","Gyllene helig symbol"
"specials.name.golden_thread","Guldtrådar"
"specials.name.golem_crusher","Golemkrossare"
"specials.name.goodnight_lullaby","Godnattvisa"
"specials.name.gooey_rose","Geggig ros"
"specials.name.gorging_bite_yellow","Urholkande bett"
"specials.name.gorging_chew_blue","Urholkande tugga"
"specials.name.gorging_chew_green","Urholkande tugga"
"specials.name.gorging_chew_purple","Urholkande tugga"
"specials.name.gorging_chew_red","Urholkande tugga"
"specials.name.gorging_chew_yellow","Urholkande tugga"
"specials.name.gorgyra","Valkyrians tapperhet"
"specials.name.grab_and_run","Ta och spring"
"specials.name.graceful_shot","Elegant skott"
"specials.name.graceless_ritual","Osofistikerad ritual"
"specials.name.grand_heist","Stor kupp"
"specials.name.great_frost_axe","Storslagen frostyxa"
"specials.name.great_frost_hoe","Storslagen frosthacka"
"specials.name.greed_and_bribery","Girighet och mutor"
"specials.name.greedy_munch_red","Girigt nafs"
"specials.name.green_dragon_crescent_blade","Gröna drakens halvmåneklinga"
"specials.name.green_dragon_inferno","Gröna drakens infernosvärd"
"specials.name.green_sparks_dragon_pve","Gröna gnistor"
"specials.name.greeting_of_the_sun","Solhälsning"
"specials.name.grim_awakening","Rysligt uppvaknande"
"specials.name.grimoire_skim","Snabbläsning"
"specials.name.grips_of_longing","Längtans grepp"
"specials.name.grips_of_longing_pve","Längtans grepp"
"specials.name.grove_splash_dragon_pve","Gläntplask"
"specials.name.gruesome_charge","Ohygglig rusning"
"specials.name.guard_the_garden","Skydda trädgården!"
"specials.name.guardian_armor","Väktarrustning"
"specials.name.guardians_retaliation","Väktarens vedergällning"
"specials.name.guarding_tunes","Skyddande melodier"
"specials.name.guiding_arrow","Vägledande pil"
"specials.name.gust_of_restoration","Återhämtningens vind"
"specials.name.gust_of_swiftness","Snabbhetens vind"
"specials.name.hack_and_slash","Hugg och stöt"
"specials.name.hacking_attack","Huggattack"
"specials.name.hailstone_glare_dragon_pve","Hagelblick"
"specials.name.hailstorm","Hagelskur"
"specials.name.halflings_wisdom","Halvmans vishet"
"specials.name.halflings_wit","Halvmans slughet"
"specials.name.hallowed_blade","Det helgade bladet"
"specials.name.halting_counter_strike","Tveksamt motangrepp"
"specials.name.hammer_thump","Hammardunk"
"specials.name.harmonic_bash","Harmonisk smäll"
"specials.name.harmonic_slam","Resonansattack"
"specials.name.harpoon_sentry","Harpunvakt"
"specials.name.harpy_claw","Harpyans klor"
"specials.name.harrow_the_heart","Plåga hjärtat"
"specials.name.hasty_gift_wrapper","Snabb paketinslagare"
"specials.name.hasty_trigger_finger","Snabbt avtryckarfinger"
"specials.name.have_curiosity","Nytt hopp"
"specials.name.have_faith","Ha tro"
"specials.name.haze_of_the_deceased","De fallnas töcken"
"specials.name.head_hurl","Kast med litet huvud"
"specials.name.healing_chant","Helande röst"
"specials.name.healing_fire_spirits","Läkande eldandar"
"specials.name.healing_gift","Vettlös läkning"
"specials.name.healing_gift_anteros","Vettlös läkning"
"specials.name.healing_gift_kabeiroi","Vettlös läkning"
"specials.name.healing_mirror","Läkande spegel"
"specials.name.healthiest_catch","Hälsosam fångst"
"specials.name.hearty_stew","Stärkande gryta"
"specials.name.heatstinger","Eldstickare"
"specials.name.heavy_fragrance","Intensiv doft"
"specials.name.heedless_hammer_flurry","Hejdlösa hammarslag"
"specials.name.heirloom_dagger","Fäderneärvd dolk"
"specials.name.helping_hands","Hjälpande händer"
"specials.name.hemlock_tea","Odörtte"
"specials.name.herbal_remedies","Örtkur"
"specials.name.herculean_throw","Herkuliskt kast"
"specials.name.herd_stampede","Skenande hjord"
"specials.name.here_catch","Här! Fånga!"
"specials.name.heretic_slayer","Hädisk dräpare"
"specials.name.heroic_noble","Treuddskast"
"specials.name.heroic_noble_deadly","Treuddskast"
"specials.name.herring_blaster","Sillsprängare"
"specials.name.herring_surprise","Fena och fjäll"
"specials.name.hide_in_shadows","Dold i skuggorna"
"specials.name.high_altitude_ambush","Höghöjdsbakhåll"
"specials.name.high_energy_field","Högenergifält"
"specials.name.high_noon_sun","Middagssol"
"specials.name.holding_down_the_fort","Håll ställningarna"
"specials.name.hollow_boast","Ihåligt skryt"
"specials.name.holy_aura","Helig aura"
"specials.name.holy_guard","Helig väktare"
"specials.name.holy_hibiscus_ale","Helig hibiskusdryck"
"specials.name.holy_mark","Heligt märke"
"specials.name.holy_splash","Heligt stänk"
"specials.name.home_run","Fullträff"
"specials.name.horn_attack","Hornattack"
"specials.name.horrifying_wail","Blodisande skri"
"specials.name.horses_curse","Sandbris"
"specials.name.hoverboard_crash","Hoverboard-krasch"
"specials.name.hoverboard_slam","Hoverboard-smäll"
"specials.name.howling_sword","Ylande svärd"
"specials.name.hues_of_love","Kärlekens nyanser"
"specials.name.hungering_grave","Hungrande grav"
"specials.name.hunt_for_prey","Jakt på byte"
"specials.name.hunters_instinct","Jägarens instinkt"
"specials.name.hunters_mark","Jägarens märke"
"specials.name.hunters_true_shot","Jägarens skarpskott"
"specials.name.hunting_ballad","Jaktballad"
"specials.name.hunting_charge","Jaktanfall"
"specials.name.hydra_bite","Hydrabett"
"specials.name.hymn_of_enrichment","Berikande hymn"
"specials.name.hyper_porridge","Hypergröt"
"specials.name.hyperborean_hook","Hyperboréisk krok"
"specials.name.hypersonic_tackle","Hypersonisk tackling"
"specials.name.hypnosis_dragon_pve","Hypnos"
"specials.name.ice_and_slice","Klyvande kyla"
"specials.name.ice_boom","Issmäll"
"specials.name.ice_cold_order","Iskall order"
"specials.name.ice_cream_smash","Glasskross"
"specials.name.ice_treatment","Isbehandling"
"specials.name.iceberg_aura","Isbergsaura"
"specials.name.iceberg_crush","Isbergskross"
"specials.name.iceberg_havoc","Isbergskaos"
"specials.name.icebound_howl","Isbundet ylande"
"specials.name.icebound_ritual","Iskall ritual"
"specials.name.icecold_finisher","Iskall avslutare"
"specials.name.icehammer_smash","Ishammarslag"
"specials.name.iceshatter","Iskross"
"specials.name.icy_axes","Kalla yxor"
"specials.name.icy_mandibles","Ismandiblar"
"specials.name.icy_resilience","Kall tålighet"
"specials.name.ill_bring_you_back","Jag tar tillbaka dig"
"specials.name.ill_fated_experiment","Olyckligt experiment"
"specials.name.imaginary_increments","Inbillad tillväxt"
"specials.name.immortal_annihilator","Odödlig förödare"
"specials.name.immortal_annihilator_deadly","Odödlig förödare"
"specials.name.immortal_punisher","Odödlig bestraffare"
"specials.name.impairing_strike","Försvagande anfall"
"specials.name.impale_and_devour","Spetsa och sluka"
"specials.name.impeccable_charge","Felfri rusning"
"specials.name.impeding_bolts","Hämmande blixtar"
"specials.name.impervious_formation","Ogenomtränglig formation"
"specials.name.impossible_groove","Omöjlig skåra"
"specials.name.impossible_riddle","Omöjlig gåta"
"specials.name.incite_ki","Väck ki"
"specials.name.incite_ki2","Väck ki"
"specials.name.indestructible_claw","Oförstörbar klo"
"specials.name.indifferent_blade","Likgiltigt svärd"
"specials.name.inevitable_demise","Ofrånkomligt frånfälle"
"specials.name.infernal_chops","Underjordiska hugg"
"specials.name.infernal_drumstorm","Helvetisk trumstorm"
"specials.name.infernal_flames","Infernaliska lågor"
"specials.name.infernal_jaws","Infernaliska käkar"
"specials.name.ink_bomb","Bläckbomb"
"specials.name.innovative_lunge","Innovativt utfall"
"specials.name.insidious_goo","Lömsk gegga"
"specials.name.inspiring_fencing","Inspirerande fäktning"
"specials.name.insurmountable_flux","Oöverkomligt flöde"
"specials.name.intimidating_stance","Hotfull ställning"
"specials.name.invigorating_pollen","Stärkande pollen"
