"specials.name.a_cozy_break","舒适小憩"
"specials.name.dreams_of_nourishment","营养之梦"
"specials.name.dress_up","变装时刻！"
"specials.name.drowsy_bolt","昏睡之箭"
"specials.name.drum_chain","葫芦鼓连击"
"specials.name.dual_axes","双斧"
"specials.name.dual_blades","双刃"
"specials.name.dual_data_blades","数据双刃"
"specials.name.dual_laser_blades","双刃激光剑"
"specials.name.dual_slash","双斩"
"specials.name.dual_sting","二重刺"
"specials.name.dubious_cuisine","诡异菜品"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","末日厨房"
"specials.name.dubious_cuisine_exquisite_food","精致食物"
"specials.name.dubious_cuisine_rotten_food","腐烂食物"
"specials.name.dubious_merchandise","可疑商品"
"specials.name.dubious_mixture","可疑合剂"
"specials.name.dum_and_dee","半斤八两"
"specials.name.dusk_dust","薄暮之尘"
"specials.name.dusk_till_dawn","暮光黎明"
"specials.name.dust_to_dust","尘归尘"
"specials.name.dwarven_flourish","矮人繁荣"
"specials.name.dwarven_kings_levy","矮人之王的税款"
"specials.name.dwarven_recharge","矮人充能"
"specials.name.easy_breezy_aura","轻松光环"
"specials.name.echoes_of_ice","寒冰回响"
"specials.name.echoes_of_pain","痛苦回响"
"specials.name.echoes_of_the_opera","歌剧回声"
"specials.name.eclipse_shield","黯然盾"
"specials.name.eclipse_spear","黯然矛"
"specials.name.educated_exorcism","驱魔大师"
"specials.name.egg_barrage","飞蛋连击"
"specials.name.elders_remedy","长老药剂"
"specials.name.eldritch_blight","邪神荒疫"
"specials.name.eldritch_sign_bolts","上古邪印弩矢"
"specials.name.electric_cut","雷电之刃"
"specials.name.electric_dragonfire","激雷龙焰"
"specials.name.electric_jolt","电光震颤"
"specials.name.electric_stab","电光刺"
"specials.name.electric_sting_dragon_pve","雷电之刺"
"specials.name.electrified_claws","电光爪"
"specials.name.electrifying_gust_dragon_pve","振奋气息"
"specials.name.elegant_pulverizer","优雅粉碎者"
"specials.name.elemental_corruption","元素腐蚀"
"specials.name.elemental_infusion_arrow","元素灌注之箭"
"specials.name.elemental_infusion_arrow_pve","元素灌注之箭"
"specials.name.elemental_magic","元素人魔法"
"specials.name.emboldened_strike","壮胆一击"
"specials.name.emerald_dual_blade","翡翠双刃"
"specials.name.emerald_flash","翡翠之光"
"specials.name.emerald_tide","翡翠潮汐"
"specials.name.emerald_wind","翡翠之风"
"specials.name.empowered_slash","强化斩"
"specials.name.empowering_bash","赋权狂击"
"specials.name.empowering_bash_deadly","赋权狂击"
"specials.name.en_garde","保持警戒"
"specials.name.enchanted_antlers","迷幻鹿角"
"specials.name.enchanted_axe_swing","附魔斧挥砍"
"specials.name.enchanted_edge","迷幻边缘"
"specials.name.enchanted_elven_sword","附魔精灵剑"
"specials.name.enchanted_symphony","迷幻交响乐"
"specials.name.enchanting_divination","迷人占卜"
"specials.name.enchanting_melody","迷人旋律"
"specials.name.endless_daggers","无尽匕首"
"specials.name.endless_maze","无尽迷宫"
"specials.name.energy_conjunction","能量结合"
"specials.name.energy_of_mjolnir","雷神锤之力"
"specials.name.energy_steal_dragon_pve","能量窃取"
"specials.name.entangling_shot","纠缠之击"
"specials.name.entrapping_enchantment","蛊惑魔咒"
"specials.name.erase_strength","力量抹除"
"specials.name.erupting_slices","切片喷发"
"specials.name.esprit_de_corps","团队精神"
"specials.name.essence_of_queen_nitocris","尼托克丽丝女王的精华"
"specials.name.eternal_bond","永恒契约"
"specials.name.eternal_loyalty","永恒忠诚"
"specials.name.eternal_servitude","永恒奴役"
"specials.name.ethereal","鬼魂"
"specials.name.evading_dash","闪避冲刺"
"specials.name.everlasting_wound","永世之伤"
"specials.name.excalibur","亚瑟王神剑"
"specials.name.excorcizing_arrow","辟邪之箭"
"specials.name.explosive_goo_minions","小兵审查"
"specials.name.explosive_o_lantern","聚爆提灯"
"specials.name.express_delivery","特快专递"
"specials.name.exquisite_alchemy","精研炼金"
"specials.name.exquisite_victuals","珍馐盛宴"
"specials.name.exquisite_victuals_pve_advanced","珍馐盛宴"
"specials.name.exquisite_victuals_pve_normal","珍馐盛宴"
"specials.name.eye_of_panther","黑豹之眼"
"specials.name.eye_of_the_storm","风暴之眼"
"specials.name.eye_of_yog-sir","尤格西尔之眼"
"specials.name.fabled_fist","传说之拳"
"specials.name.fabled_llama_ballad","传奇大羊驼民谣"
"specials.name.fairy_godmothers_blessing","仙母赐福"
"specials.name.faithful_force","信仰之力"
"specials.name.falcon_screech","飞鹰尖啸"
"specials.name.false_treat","虚晃一枪"
"specials.name.familiar_eater","小兵吞噬者"
"specials.name.familiar_witchcraft","魔宠巫术"
"specials.name.fangs_and_blades","尖牙利刃"
"specials.name.fangs_of_death","苦痛毒牙"
"specials.name.fatal_dreams","致命梦境"
"specials.name.fatal_finisher","致命终结"
"specials.name.fearless_charge","无畏冲锋"
"specials.name.feather_tempest","利羽风暴"
"specials.name.feline_constellation","猫系星座"
"specials.name.feral_arrows","野性之箭"
"specials.name.feral_bite","野蛮啃噬"
"specials.name.feral_gust_dragon_pve","野蛮强风"
"specials.name.feral_peck","野性啄击"
"specials.name.feral_revenge","野蛮复仇"
"specials.name.feral_swing","狂野挥砍"
"specials.name.feyfire_slash","灵火斩击"
"specials.name.field_aid","治疗（小）"
"specials.name.field_surgery","治疗（大）"
"specials.name.fiendslayer","弑魔者"
"specials.name.fierce_fu_jow_pai","至阳虎形拳"
"specials.name.fierce_pierce","猛烈穿透"
"specials.name.fierce_slash","残暴斩"
"specials.name.fiery_charge","炽烈冲锋"
"specials.name.fiery_revenge","火爆复仇"
"specials.name.fire_barrier_dragon_pve","火焰屏障"
"specials.name.fire_bolt_zidane","火焰弩箭"
"specials.name.fire_storm","火焰风暴"
"specials.name.fire_tiger","火虎"
"specials.name.fireball","火球"
"specials.name.fireball_single","火球"
"specials.name.fireblade_slash","火刃斩"
"specials.name.fires_of_ragnarok","诸神黄昏之火"
"specials.name.fires_of_ragnarok_final","诸神黄昏之火"
"specials.name.firestone_daggers","燧石匕首"
"specials.name.firewall","火墙"
"specials.name.firing_on_all_cylinders","全线出击"
"specials.name.first_frost","初始霜冻"
"specials.name.first_law_of_thermodynamics","热力学第一定律"
"specials.name.fishbone_blades","鱼骨之刃"
"specials.name.fists_of_atonement","赎罪之拳"
"specials.name.flail_of_destruction","毁灭连枷"
"specials.name.flail_swing","连枷挥舞"
"specials.name.flails_of_fury","狂怒连枷"
"specials.name.flame_of_the_dragon_familiar","巨龙密友之焰"
"specials.name.flame_of_the_lioness","雌狮之焰"
"specials.name.flame_storm","火焰风暴"
"specials.name.flame_surge","烈焰冲击"
"specials.name.flames_and_rejuvenation","烈焰与重生"
"specials.name.flames_and_rejuvenation_pve","烈焰与重生"
"specials.name.flames_of_revenge","复仇烈焰"
"specials.name.flaming_fury","赤焰之怒"
"specials.name.flaming_grudge","炽焰之怨"
"specials.name.flaming_mandibles","燃烧之颚"
"specials.name.flaming_rapier","赤焰长剑"
"specials.name.flaming_rapier_pve","赤焰长剑"
"specials.name.flaming_sword","赤焰之剑"
"specials.name.flanking_maneuver","侧翼包抄"
"specials.name.flanking_maneuver_pve","侧翼包抄"
"specials.name.flare","火焰气息"
"specials.name.flat_cake_for_sweethearts","甜心糕点"
"specials.name.flat_cake_for_sweethearts_pve","甜心糕点"
"specials.name.flawless_shot","百发百中"
"specials.name.flock_of_folly_eldwren","愚蠢群徒"
"specials.name.floral_sting","鲜花之刺"
"specials.name.flower_arrangements","花卉布置"
"specials.name.flower_of_kindness","善意之花"
"specials.name.fluff_in_the_air","毛球飞舞"
"specials.name.flurry_of_blows","连环打击"
"specials.name.flurry_of_slashes","连连斩击"
"specials.name.flurry_of_slashes_deadly","连连斩击"
"specials.name.flute_of_enchantment","迷幻魔笛"
"specials.name.focused_shot","集中火力"
"specials.name.fog_machine","烟机迷雾"
"specials.name.fog_of_the_fallen","堕落迷雾"
"specials.name.fog_of_the_glass_sabina","彩绘迷雾"
"specials.name.fog_of_the_perished","毁灭迷雾"
"specials.name.fog_of_the_toons","卡通迷雾"
"specials.name.fog_of_the_vitrails","彩绘迷雾"
"specials.name.for_queen_and_hollow","为了女王和树洞"
"specials.name.force_of_forest","森林之力"
"specials.name.forceful_advance","强力推进"
"specials.name.forest_breath","森林气息"
"specials.name.forest_command","森林指挥"
"specials.name.forest_friends","森林伙伴"
"specials.name.forge_rush","锻造厂突袭"
"specials.name.forged_axe_of_light","光之利斧"
"specials.name.forged_from_gold","黄金锻造"
"specials.name.forged_in_fire","赤火冶炼"
"specials.name.fortunate_slice","幸运斩击"
"specials.name.fracturing_cut","断裂切割"
"specials.name.fracturing_shards","裂片飞射"
"specials.name.fracturing_slash","断裂斩"
"specials.name.freezing_cold_cutter","极寒切刀"
"specials.name.freezing_crystal","冰冻结晶"
"specials.name.freezing_fairy_mist","冰冻仙雾"
"specials.name.freezing_power_hooks","冰冻重钩"
"specials.name.frenzied_rend","狂怒撕裂"
"specials.name.frenzy_plant","暴走植物"
"specials.name.friendly_critters_feast","友善生物盛宴"
"specials.name.frightening_pinch","亚特兰蒂斯之矛"
"specials.name.frightstrike","惊天一击"
"specials.name.frogs_and_hoop","青蛙与箍"
"specials.name.from_shadows","影踪"
"specials.name.from_shadows_pve","影踪"
"specials.name.frost_and_rime","冰霜雾凇"
"specials.name.frost_bound_blade","冰冻之刃"
"specials.name.frostbite","霜寒冰封"
"specials.name.frostbolt_dragon_pve","寒冰箭"
"specials.name.frostneedle","寒霜之针"
"specials.name.frosty_axes","霜冻斧头"
"specials.name.frosty_punches","霜冻拳击"
"specials.name.frozen_orb","冰冻之球"
"specials.name.frozen_path","冲积路径"
"specials.name.frozen_wind","冰冻寒风"
"specials.name.frozen_wind_pve","冰冻寒风"
"specials.name.fruit_cocktail","水果鸡尾酒"
"specials.name.fruits_of_labor","大蒜丰收"
"specials.name.fullmetal_pelt","全金属抛投"
"specials.name.furious_bite","狂怒撕咬"
"specials.name.furious_boar","狂怒野猪"
"specials.name.furious_flames","怒火烈焰"
"specials.name.furry_loggers_swing","毛茸樵夫之旋斧"
"specials.name.fury_of_ash","灰烬之怒"
"specials.name.fury_of_grimnir","葛林尼之暴怒"
"specials.name.fury_of_the_ancient_forest","古林之怒"
"specials.name.fury_of_the_fire_giants","烈火暴怒巨人"
"specials.name.fury_of_the_fire_giants_final","烈火暴怒巨人"
"specials.name.fury_of_the_mountain_lord","山大王的愤怒"
"specials.name.fury_of_the_silverback","银背的怒火"
"specials.name.gallant_stance","英勇姿态"
"specials.name.gamblers_stance","赌徒心理"
"specials.name.gamblers_swing","赌徒挥砍"
"specials.name.garbage_shock_wave","垃圾冲击波"
"specials.name.gardeners_remedy","园丁药剂"
"specials.name.gargantuan_bite","巨口撕咬"
"specials.name.gargoyles_of_redemption","石像鬼的救赎"
"specials.name.gargoyles_of_redemption_pve","石像鬼的救赎"
"specials.name.gargoyles_of_restoration","恢复石像鬼"
"specials.name.garlic_serving_edwin","大蒜拼盘"
"specials.name.generous_gifts","慷慨礼物"
"specials.name.gentle_paw","温和之爪"
"specials.name.gentlemans_transformation","绅士变身"
"specials.name.giddy_jab_dragon_pve","炫目刺击"
"specials.name.gift_of_rejuvenation","复苏恩赐"
"specials.name.gift_of_rock","摇滚之赐"
"specials.name.giftsack","礼包"
"specials.name.gilded_antlers","镀金鹿角"
"specials.name.glacial_atmosphere","冰川凛寒"
"specials.name.glacial_crusher","冰川灭顶"
"specials.name.glacial_explosion","冰川爆裂"
"specials.name.glacial_fissure_cleave","冰川裂斩"
"specials.name.glacial_resilience","冰川之韧"
"specials.name.glacial_shatter","冰川碎裂"
"specials.name.glacial_vortex","冰川漩涡"
"specials.name.glaive_of_flames","火焰刀"
"specials.name.glass_anger_of_forest_horghall","碎片之怒"
"specials.name.glass_arrow","玻璃箭矢"
"specials.name.glass_barrage_scarlett","玻璃连击"
"specials.name.glass_beam","玻璃光束"
"specials.name.glass_bite","玻璃咬痕"
"specials.name.glass_bolt","玻璃弩箭"
"specials.name.glass_brew","玻璃佳酿"
"specials.name.glass_burning_strike","玻璃打击"
"specials.name.glass_chop","玻璃劈砍"
"specials.name.glass_cleave","玻璃猛斩"
"specials.name.glass_cold_blast_ulmer","玻璃暴风雪"
"specials.name.glass_cut","玻璃切割"
"specials.name.glass_cut_chao","彩绘切割"
"specials.name.glass_entangling_shot","玻璃箭矢"
"specials.name.glass_finisher_thorne","玻璃终结者"
"specials.name.glass_fireball","玻璃火球"
"specials.name.glass_flame_smash","玻璃火击"
"specials.name.glass_four_blades","玻璃刃斩"
"specials.name.glass_fury","玻璃风暴"
"specials.name.glass_gamblers_stance","玻璃姿态"
"specials.name.glass_hammer","玻璃重锤"
"specials.name.glass_have_faith","清澈信仰"
"specials.name.glass_heal","玻璃治疗"
"specials.name.glass_jolt","玻璃震颤"
"specials.name.glass_kick","玻璃之踹"
"specials.name.glass_leaping_attack_dawa","玻璃攻击"
"specials.name.glass_leeching_stars_renfeld","玻璃之星"
"specials.name.glass_link","玻璃链接"
"specials.name.glass_massive_chop","玻璃劈砍"
"specials.name.glass_mist","玻璃迷雾"
"specials.name.glass_order","彩绘秩序"
"specials.name.glass_peck","玻璃之啄"
"specials.name.glass_piercing_hit_tyrum","玻璃击中"
"specials.name.glass_piercing_strike","玻璃打击"
"specials.name.glass_prayer","玻璃祈祷"
"specials.name.glass_pulverizer","玻璃碎击"
"specials.name.glass_pulverizer_tiburtus","玻璃碎击"
"specials.name.glass_purification","玻璃化"
"specials.name.glass_ramming_rush","玻璃突袭"
"specials.name.glass_ramming_rush_isshtak","玻璃突袭"
"specials.name.glass_riposte","玻璃反击"
"specials.name.glass_riposte_boril","玻璃反击"
"specials.name.glass_shatter","玻璃碎片"
"specials.name.glass_shield_kadilen","玻璃护盾"
"specials.name.glass_skin","玻璃皮肤"
"specials.name.glass_slam","玻璃猛击"
"specials.name.glass_slash","玻璃猛击"
"specials.name.glass_spear","玻璃长矛"
"specials.name.glass_stab","玻璃刺击"
"specials.name.glass_stone_skin_gunnar","玻璃链接"
"specials.name.glass_strike","玻璃打击"
"specials.name.glass_strike_caedmon","玻璃打击"
"specials.name.glass_strike_magni","玻璃打击"
"specials.name.glass_swords","玻璃幕墙"
"specials.name.glass_thunderstrike_quintus","玻璃通牒"
"specials.name.glass_traps_oberon","玻璃陷阱"
"specials.name.glass_vines","玻璃藤蔓"
"specials.name.glass_volcano","玻璃火山"
"specials.name.glass_wall","玻璃墙"
"specials.name.glass_warcry","玻璃战吼"
"specials.name.gleaming_sword_and_iron_mail","光芒四射的宝剑和铁甲"
"specials.name.glittering_sweep_dragon_pve","闪耀横扫"
"specials.name.gloom_grenades","阴暗手榴弹"
"specials.name.gloomy_tune","阴郁曲调"
"specials.name.glorious_grace","荣耀恩典"
"specials.name.glutinous_execution","黏性处决"
"specials.name.gnomish_carnage","侏儒屠杀"
"specials.name.goat_rush","山羊冲刺"
"specials.name.goblin_explosives","哥布林炸药"
"specials.name.goblin_serenade","哥布林小夜曲"
"specials.name.god_of_the_underworld","地狱冲击"
"specials.name.gold_gauntlet","黄金拳套"
"specials.name.gold_rush","淘金潮"
"specials.name.gold_weaver","黄金纺织"
"specials.name.golden_aura","金色光环"
"specials.name.golden_cicada","金蝉子"
"specials.name.golden_sacred_symbol","金色神圣符号"
"specials.name.golden_thread","金黄丝绳"
"specials.name.golem_crusher","魔像粉碎者"
"specials.name.goodnight_lullaby","好梦眠曲"
"specials.name.gooey_rose","粘稠玫瑰"
"specials.name.gorging_bite_yellow","贪食之咬"
"specials.name.gorging_chew_blue","暴食咀嚼"
"specials.name.gorging_chew_green","暴食咀嚼"
"specials.name.gorging_chew_purple","暴食咀嚼"
"specials.name.gorging_chew_red","暴食咀嚼"
"specials.name.gorging_chew_yellow","暴食咀嚼"
"specials.name.gorgyra","女武神的坚毅"
"specials.name.grab_and_run","抢了就跑"
"specials.name.graceful_shot","优雅射击"
"specials.name.graceless_ritual","粗野仪式"
"specials.name.grand_heist","汪洋大盗"
"specials.name.great_frost_axe","冰冻巨斧"
"specials.name.great_frost_hoe","冰冻巨锄"
"specials.name.greed_and_bribery","中饱私囊"
"specials.name.greedy_munch_red","贪婪咀嚼"
"specials.name.green_dragon_crescent_blade","青龙偃月刀"
"specials.name.green_dragon_inferno","青龙炼狱刀"
"specials.name.green_sparks_dragon_pve","青绿火花"
"specials.name.grim_awakening","冷酷觉醒"
"specials.name.grimoire_skim","魔书略读"
"specials.name.grips_of_longing","热望之握"
"specials.name.grips_of_longing_pve","热望之握"
"specials.name.grove_splash_dragon_pve","林中溅跃"
"specials.name.gruesome_charge","血腥冲锋"
"specials.name.guard_the_garden","守卫花园！"
"specials.name.guardian_armor","守卫护甲"
"specials.name.guardians_retaliation","守护者的反击"
"specials.name.guarding_tunes","守护乐章"
"specials.name.guiding_arrow","追踪箭"
"specials.name.gust_of_restoration","复原强风"
"specials.name.gust_of_swiftness","迅捷强风"
"specials.name.hack_and_slash","劈砍斩削"
"specials.name.hacking_attack","劈砍攻击"
"specials.name.hailstone_glare_dragon_pve","冰雹眩光"
"specials.name.hailstorm","冰雹风暴"
"specials.name.halflings_wisdom","半身人的智慧"
"specials.name.halflings_wit","半身人之智"
"specials.name.hallowed_blade","神佑之剑"
"specials.name.halting_counter_strike","遏制反击"
"specials.name.hammer_thump","大锤重击"
"specials.name.harmonic_bash","暗潮汹涌"
"specials.name.harmonic_slam","糖衣炮弹"
"specials.name.harpoon_sentry","鱼叉岗哨"
"specials.name.harpy_claw","女妖利爪"
"specials.name.harrow_the_heart","耙裂心灵"
"specials.name.hasty_trigger_finger","劲疾扳指"
"specials.name.have_curiosity","希冀之光"
"specials.name.have_faith","矢志不渝"
"specials.name.haze_of_the_deceased","堕落烟霾"
"specials.name.head_hurl","头槌"
"specials.name.healing_chant","治愈圣歌"
"specials.name.healing_fire_spirits","治愈火精灵"
"specials.name.healing_gift","盲目治疗"
"specials.name.healing_gift_anteros","盲目治疗"
"specials.name.healing_gift_kabeiroi","盲目治疗"
"specials.name.healing_mirror","治疗之镜"
"specials.name.healthiest_catch","裨益之获"
"specials.name.hearty_stew","丰盛炖菜"
"specials.name.heatstinger","高温毒刺"
"specials.name.heavy_fragrance","浓郁芬芳"
"specials.name.heedless_hammer_flurry","乱锤偷袭"
"specials.name.heirloom_dagger","传家匕首"
"specials.name.helping_hands","慷慨驰援"
"specials.name.hemlock_tea","毒芹茶"
"specials.name.herbal_remedies","草药疗法"
"specials.name.herculean_throw","赫拉克勒斯之掷"
"specials.name.herd_stampede","兽群践踏"
"specials.name.here_catch","喂！接着！"
"specials.name.heretic_slayer","异端杀手"
"specials.name.heroic_noble","掷戟一击"
"specials.name.heroic_noble_deadly","掷戟一击"
"specials.name.herring_blaster","鲱鱼爆破"
"specials.name.herring_surprise","鲱鱼惊喜"
"specials.name.hide_in_shadows","藏形匿影"
"specials.name.high_altitude_ambush","高海拔伏击"
"specials.name.high_energy_field","高能量场"
"specials.name.high_noon_sun","正午烈阳"
"specials.name.holding_down_the_fort","坚守阵地"
"specials.name.hollow_boast","虚空炫耀"
"specials.name.holy_aura","神圣光环"
"specials.name.holy_guard","神圣守卫"
"specials.name.holy_hibiscus_ale","神圣木槿酒酿"
"specials.name.holy_mark","神圣标记"
"specials.name.holy_splash","神圣溅射"
"specials.name.home_run","本垒打"
"specials.name.horn_attack","鹿角冲撞"
"specials.name.horrifying_wail","恐怖哀号"
"specials.name.horses_curse","沙土飞扬"
"specials.name.hoverboard_crash","悬板冲撞"
"specials.name.hoverboard_slam","悬浮滑板撞击"
"specials.name.howling_sword","啸鸣之剑"
"specials.name.hungering_grave","饥饿墓穴"
"specials.name.hunt_for_prey","搜寻猎物"
"specials.name.hunters_instinct","猎人本能"
"specials.name.hunters_mark","猎人标记"
"specials.name.hunters_true_shot","猎人强击"
"specials.name.hunting_ballad","狩猎歌谣"
"specials.name.hunting_charge","狩猎冲锋"
"specials.name.hydra_bite","多头蛇之咬"
"specials.name.hymn_of_enrichment","丰裕赞歌"
"specials.name.hyper_porridge","超能稀饭"
"specials.name.hyperborean_hook","极寒抓钩"
"specials.name.hypersonic_tackle","超音速铲击"
"specials.name.hypnosis_dragon_pve","催眠"
"specials.name.ice_and_slice","寒冰切割"
"specials.name.ice_boom","爆裂冰雪"
"specials.name.ice_cold_order","寒冰号令"
"specials.name.ice_cream_smash","冰激凌碎击"
"specials.name.ice_treatment","冰雪疗法"
"specials.name.iceberg_aura","冰山光环"
"specials.name.iceberg_crush","冰山崩碎"
"specials.name.iceberg_havoc","冰山浩劫"
"specials.name.icebound_howl","冰封嗥叫"
"specials.name.icebound_ritual","冰封仪式"
"specials.name.icecold_finisher","寒冰终结者"
"specials.name.icehammer_smash","冰锤震撼"
"specials.name.iceshatter","破冰冲击"
"specials.name.icy_axes","寒冰利斧"
"specials.name.icy_mandibles","寒冰之颚"
"specials.name.icy_resilience","寒冰回旋"
"specials.name.ill_bring_you_back","魂兮归来"
"specials.name.ill_fated_experiment","不幸实验"
"specials.name.imaginary_increments","虚幻增幅"
"specials.name.immortal_annihilator","不死歼灭者"
"specials.name.immortal_annihilator_deadly","不死歼灭者"
"specials.name.immortal_punisher","不死惩戒者"
"specials.name.impairing_strike","削弱之击"
"specials.name.impale_and_devour","穿刺毁灭"
"specials.name.impeccable_charge","无瑕突袭"
"specials.name.impeding_bolts","阻碍之箭"
"specials.name.impervious_formation","坚固阵型"
"specials.name.impossible_groove","不可思议的节奏"
"specials.name.impossible_riddle","无解谜语"
"specials.name.incite_ki","发气"
"specials.name.incite_ki2","发气"
"specials.name.indestructible_claw","金刚不坏之爪"
"specials.name.indifferent_blade","制衡之剑"
"specials.name.inevitable_demise","必死之局"
"specials.name.infernal_chops","地狱排骨"
"specials.name.infernal_drumstorm","地狱鼓风暴"
"specials.name.infernal_flames","炼狱烈火"
"specials.name.infernal_jaws","炼狱之口"
"specials.name.ink_bomb","墨弹"
"specials.name.innovative_lunge","革新冲刺"
"specials.name.insidious_goo","阴险粘物"
"specials.name.inspiring_fencing","鼓舞剑术"
"specials.name.insurmountable_flux","封界波动"
"specials.name.intimidating_stance","威慑姿态"
"specials.name.invigorating_pollen","生机花粉"
"specials.name.invigorating_soup","强身靓汤"
"specials.name.invisible_strike","隐形打击"
"specials.name.iron_discipline_cut","铁律斩"
"specials.name.iron_rocket_fist","火箭铁拳"
"specials.name.ironbound_fury","铁缚之怒"
"specials.name.jab_and_hook","急速猛拳"
"specials.name.jack_of_owl_trades","万能猫头鹰"
"specials.name.jackal_strike","豺狼之击"
"specials.name.jade_blades","翠玉刀刃"
"specials.name.jaw_clamp","扩散陷阱"
"specials.name.jaws_of_the_river","湍流之噬"
"specials.name.jewel_of_the_deep","深海宝珠"
"specials.name.join_in_joyful_song","共同欢歌"
"specials.name.joyful_noise","欢乐噪音"
"specials.name.joyful_palette","欢乐色调"
"specials.name.judgement_of_goo","粘物审判"
"specials.name.judgment_of_sun","骄阳审判"
"specials.name.jungle_fury","丛林之怒"
"specials.name.jungle_riposte","丛林反击"
"specials.name.jungle_slash","弥足深陷"
"specials.name.just_a_flesh_wound","一点皮外伤"
"specials.name.karnov","强袭猛攻"
"specials.name.katana_rain","剑雨"
"specials.name.katana_rain_pve","剑雨"
"specials.name.keep_the_peace","维护和平"
"specials.name.keyknife_typhoon","钥刃台风"
"specials.name.khans_order","可汗之命"
"specials.name.kindled_carpet","燃烧的地毯"
"specials.name.kings_blood_poisoning","暗夜神伤"
"specials.name.kings_curse","沙尘暴"
"specials.name.kings_curse_pve","沙尘暴"
"specials.name.kings_feast","国王的盛宴"
"specials.name.kite_of_endurance","毅力风筝"
"specials.name.kitten_stampede","猫咪狂奔"
"specials.name.knights_armor","骑士盔甲"
"specials.name.knights_fury","骑士之怒"
"specials.name.knights_parry","骑士格挡"
"specials.name.kong_smash","金刚粉碎"
"specials.name.kunai_assault","苦无突击"
"specials.name.lacerating_leap","飞裂斩"
"specials.name.lacerating_letters","撕裂信笺"
"specials.name.lacerating_whip","飞裂之鞭"
"specials.name.ladys_charm","闭月羞花"
"specials.name.ladys_flowers","绝色之花"
"specials.name.lament_of_the_hunt","狩猎悲歌"
"specials.name.lance_of_avarice","贪婪之枪"
"specials.name.lance_of_torment","痛苦之枪"
"specials.name.lance_thrust","长枪突刺"
"specials.name.landslide","泥石流"
"specials.name.lantern_of_insanity","狂乱灯笼"
"specials.name.larva_prescription","幼虫处方"
"specials.name.lash_of_the_whip","鞭笞之刑"
"specials.name.last_words","临终遗言"
"specials.name.laundry_day","洗衣日"
"specials.name.lava_blast","熔岩爆发"
"specials.name.lava_spit","熔岩分裂"
"specials.name.lava_splash_dragon_pve","喷吐烈焰"
"specials.name.lavablow","烈焰突袭"
"specials.name.lavablow_pve","烈焰突袭"
"specials.name.lavaslash","熔岩斩击"
"specials.name.leaf_blast","叶片爆破"
"specials.name.leafglow_bloom","叶华绽放"
"specials.name.leaping_attack","跳跃攻击"
"specials.name.leeching_saw","嗜血锯"
"specials.name.leeching_stars","嗜血行星"
"specials.name.leeching_worms","吸血水蛭"
"specials.name.legacy_of_darkness","黑暗遗产"
"specials.name.legerdemain","骗术"
"specials.name.legerdemain_heart","十字架"
"specials.name.legerdemain_joker","星星"
"specials.name.legerdemain_skull","骨骼"
"specials.name.legions_of_darkness","黑暗军团"
"specials.name.legions_of_tyrant","暴君军团"
"specials.name.lethal_needles","致命尖针"
"specials.name.lethal_needles2","致命尖针"
"specials.name.levitating_lunchbox_deluxe","豪华悬空午餐盒"
"specials.name.lifeforce_leech","吸取生命"
"specials.name.light_barrier_dragon_pve","光之屏障"
"specials.name.light_grenades","轻巧手雷"
"specials.name.light_grenades2","轻巧手雷"
"specials.name.light_my_fire","燃情时刻"
"specials.name.lightning_charge","闪电雷击"
"specials.name.lightning_stream","闪电如流"
"specials.name.lightning_stream2","闪电如流"
"specials.name.lightning_ultimatum","闪电通牒"
"specials.name.lightning_ultimatum_pve","闪电通牒"
"specials.name.litter_of_kittens","萌猫来袭"
"specials.name.liturgy_of_the_fallen","堕落礼仪"
"specials.name.looking_for_love","寻爱之人"
"specials.name.lookouts_refreshment","守望者的点心"
"specials.name.loom_of_destruction","毁灭织布机"
"specials.name.lord_of_the_jungle","丛林领主"
"specials.name.lords_blood_poisoning","破晓神伤"
"specials.name.love_at_first_sight","一见钟情"
"specials.name.love_conquers_all","爱的征服"
"specials.name.love_conquers_all_pve","爱的征服"
"specials.name.loving_queen","甜心女王"
"specials.name.lucky_coin","幸运硬币"
"specials.name.lucky_nine","幸运数字9"
"specials.name.luminescent_electrocution","冷光电刑"
"specials.name.luminous_lance","光之长枪"
"specials.name.lunar_blessing","月光祝福"
"specials.name.lunar_blessing_moon_beam","银月光束"
"specials.name.lunar_bloom","月神之花"
"specials.name.lunar_locket","月神吊坠"
"specials.name.lunar_shield","月光护盾"
"specials.name.lunar_spear","月光之矛"
"specials.name.luring_song","引诱之歌"
"specials.name.machinists_cutlass","机械师的弯刀"
"specials.name.mad_as_a_hatter","疯如帽匠"
"specials.name.mad_rat_mania","疯鼠狂热"
"specials.name.mad_tea_party","疯狂茶话会"
"specials.name.madrigal_of_mayhem","乱斗牧歌"
"specials.name.mageball_blast","法师球爆破"
"specials.name.mageball_blast_pve","法师球爆破"
"specials.name.magic_mirror_of_power","魔镜之力"
"specials.name.magical_balan","神奇巴兰"
"specials.name.magical_sword","神奇宝剑"
"specials.name.magma_boulders","岩浆卵石"
"specials.name.magma_smash","岩浆粉碎"
"specials.name.magnificent_meal","饕餮盛宴"
"specials.name.maidens_command","室女之令"
"specials.name.maidens_orders","室女号令"
"specials.name.make_them_harmless","夺其锋锐"
"specials.name.malevolent_toys","邪恶玩具"
"specials.name.malison_of_the_wildlands","荒野诅咒"
