"herocard.passive_skill.description.addmana.all.allies","Todos os aliados recebem uma pequena quantidade de mana."
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_epic_yellow","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

***
 Lâmina oculta
 Orbe da magia
 Escudo robusto
 Ferramenta de armadilhas
 Capa aconchegante
 Manual de batalha 
 Cota de malha
 Bainha
 Botas altas

**
 Escritos arcanos
 Adaga
 Armadura de couro
 Pedra de amolar
 Corda forte
 Escudo de madeira

*
 Kit do aventureiro
 Espada de treino
 Roupas resistentes"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

****
 Lâmina damasco
 Tomo de tática
 Tônico misterioso

***
 Luvas excelentes
 Bússola
 Escudo robusto
 Botas altas
 Bainha

**
 Corda forte
 Adaga"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

****
 Lâmina damasco
 Tomo de tática
 Tabardo real

***
 Luvas excelentes
 Bússola
 Ferramentas de armadilha
 Botas altas
 Bainha

**
 Corda forte
 Adaga"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

****
 Lâmina damasco
 Tomo de tática
 Anéis místicos

***
 Luvas excelentes
 Bússola
 Lâmina oculta
 Cota de malha
 Botas altas

**
 Escrito arcano"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

****
 Lâmina damasco
 Tomo de tática
 Dardos venenosos

***
 Luvas excelentes
 Bússola
 Orbe da magia
 Cota de malha
 Botas altas

**
 Escrito arcano"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_blue","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Emblemas de Feiticeiro Mestre
 Emblemas de Bruxo Mestre

****
 Emblemas de Feiticeiro
 Emblemas de Bruxo"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_green","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Emblemas de Paladino Mestre
 Emblemas de Druida Mestre

****
 Emblemas de Paladino
 Emblemas de Druida"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_purple","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Emblemas de Ladino Mestre
 Emblemas de Patrulheiro Mestre

****
 Emblemas de Ladino
 Emblemas de Patrulheiro"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_red","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Emblemas de Guerreiro Mestre
 Emblemas de Bárbaro Mestre

****
 Emblemas de Guerreiro
 Emblemas de Bárbaro"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_yellow","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Emblemas de Clérigo Mestre
 Emblemas de Monge Mestre

****
 Emblemas de Clérigo
 Emblemas de Monge"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_experience_rare_red","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

**
 Heróis incomuns de Fogo, Natureza, Gelo, Trevas e Luz

*
 Heróis de treino mestres comuns
 Heróis comuns de Fogo, Natureza, Gelo, Trevas e Luz"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

***
 Heróis de treino de Gelo raros

**
 Heróis de treino de Gelo incomuns
 Heróis de Gelo incomuns
 
 Heróis de treino de Gelo comuns
 Heróis de Gelo comuns"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

***
 Heróis de treino de Natureza raros

**
 Heróis de treino de Natureza incomuns
 Heróis de Natureza incomuns
 
*
 Heróis de treino de Natureza comuns
 Heróis de Natureza comuns"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

***
 Heróis de treino de Trevas raros

**
 Heróis de treino de Trevas incomuns
 Heróis de Trevas incomuns
 
 Heróis de Trevas comuns
 Heróis de treino de Trevas comuns"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

***
 Heróis de treino de Fogo raros

**
 Heróis de treino de Fogo incomuns
 Heróis de Fogo incomuns
 
 Heróis de treino de Fogo comuns
 Heróis de Fogo comuns"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

***
 Heróis de treino de Luz raros

**
 Heróis de treino de Luz incomuns
 Heróis de Luz incomuns
 
 Heróis de treino de Luz comuns
 Heróis de Luz comuns"
"herocard.passive_skill.description.nevermissspecial","A habilidade especial deste personagem nunca erra os alvos."
"herocard.passive_skill.description.ransack","No início de cada turno, este personagem saqueia um inimigo aleatório:

 Rouba{DAMAGE} de vida.
 Rouba com segurança um reforço, efeito Crescimento ou reforço de acumulação positiva do inimigo. Isso inclui efeitos de dança e reforços indissipáveis."
"herocard.passive_skill.description.ransack.chance","No início de cada turno, este personagem tem {CHANCE}% de chance de saquear um inimigo aleatório:

Saquear:
 Rouba {DAMAGE} de vida.
 Rouba com segurança um reforço de efeito de status, acumulação positiva ou efeito Crescimento aleatório do inimigo. Isso inclui efeitos de dança e reforços indissipáveis.
 O roubo com segurança ignora os efeitos secundários, como dano ao remover, dos reforços removidos. Efeitos passivos e de família ainda podem ser ativados."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de roubar o reforço dissipável mais recente de um inimigo aleatório com reforços. Quando o inimigo não tem reforços, causa {DAMAGE}% do dano a todos os aliados."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de roubar o reforço dissipável mais recente de um inimigo aleatório com reforços. Quando o inimigo não tem reforços, causa {DAMAGE}% do dano a todos os aliados."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Quando este personagem lança a habilidade especial, transfere o mal de status expurgável mais recente de si mesmo para o alvo. Quando a habilidade especial não tem um alvo específico, um inimigo aleatório é escolhido. Quando não tem males de status expurgáveis, este personagem recupera {HEALTH}% de vida."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE}% de chance de substituir efeitos negativos por efeitos positivos correspondentes."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Este herói recebe menos dano elemental de Tropas de elemento mais forte.

Dano elemental recebido: -{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER}% menos dano elemental recebido de Tropas do elemento mais forte."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER}% mais dano elemental recebido de bolas de fogo do elemento mais forte."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Em vez de receber dano fatal pela primeira vez, este personagem redireciona o dano a um inimigo aleatório.

Em batalhas com várias ondas, o efeito é atualizado no início de cada onda."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Em vez de receber dano fatal pela primeira vez, este personagem redireciona o dano a um inimigo aleatório. (Ativações restantes: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE}% mais chance de repelir males de status e aplicá-los ao atacante."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","A cada {TURNS} turnos, remove todos os efeitos de Atrofia de todos os aliados."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","A cada {TURNS} turnos, remove todos os efeitos de Crescimento de todos os inimigos."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","O Núcleo de Construto deste personagem é um Núcleo de Reparo.

O Núcleo de Reparo é ativado a cada vez que a habilidade especial deste personagem é lançada:

 Com um Núcleo de Reparo totalmente carregado, reforça a vida de todos os aliados em {CHARGEDPOWER1}%.
 A cura é proporcional à quantidade de carga no Núcleo. Toda a carga é exaurida quando o Núcleo é ativado."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE}% de chance de lançar a habilidade especial deste Herói {REPEATS} vezes."
"herocard.passive_skill.description.resist.accuracymodifiers","Este personagem é imune a males de status que afetam a precisão. Não se aplica a efeitos de status originais dos aliados."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Este personagem é imune a males de status e acumulações negativas."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE}% de chance de resistir a todos os males de status e dissipações de reforços."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE}% de chance de resistir a todos os males de status, reduções de mana, dissipações de reforços e efeitos Atrofia."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE}% de chance de resistir a todos os males de status, reduções de mana, dissipações de reforços e Insanidade."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE}% de chance de resistir a todos os males de status, reduções de mana e dissipações de reforços."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE}% de chance de resistir a todos os males de status."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Este personagem é imune a males de status que afetam a defesa. Também se aplica a males de status que afetam a defesa elemental."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Este personagem é imune a males de status, acumulações e efeitos Atrofia que afetam a defesa."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Este personagem não é afetado por efeitos que aumentam ou reduzem a defesa.

Isso inclui males e reforços de efeitos de status, acumulações positivas e negativas e os efeitos Atrofia e Crescimento."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Este personagem não é afetado por efeitos que aumentam ou reduzem a defesa.

Isso inclui:
 Males e reforços de efeitos de status
 Acumulações positivas e negativas
 Efeitos Atrofia e Crescimento"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Este personagem não é afetado por efeitos que aumentam ou reduzem a defesa.

Isso inclui males e reforços de efeitos de status, acumulações positivas e negativas e os efeitos Atrofia e Crescimento."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Este personagem é imune a males de status e acumulações negativas que afetam a geração de mana. Também se aplica a males de status que bloqueiam mana ou roubam mana."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Este personagem é imune reduções de mana, assim como males de status e acumulações negativas que afetam a geração de mana. Também se aplica a efeitos e males de status que bloqueiam mana ou roubam mana."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Este personagem é imune ao dano de efeitos de status."
"herocard.passive_skill.description.resist.attackdelay","O ataque normal deste personagem não pode ser atrasado."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","O ataque normal deste personagem não pode ser atrasado."
"herocard.passive_skill.description.resist.attackmodifiers","Este personagem é imune a males de status afetam o ataque."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Este personagem é imune a todos os efeitos de status e acumulações que afetam o ataque, inclusive reforços de efeitos de status."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Este personagem é imune a males de status, acumulações e efeitos Atrofia que afetam o ataque."
"herocard.passive_skill.description.resist.bleed","Este personagem é imune a males de status causam dano de sangramento."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Este personagem é imune a males de status que causam dano de sangramento e ganha {HEALTHBOOST} de vida reforçada e {MANA}% de mana sempre que resiste."
"herocard.passive_skill.description.resist.buffdispels","Este personagem é imune a efeitos que dissipariaml os reforços de efeito de status dele."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE}% de chance de resistir a dissipações de reforços."
"herocard.passive_skill.description.resist.buffimmunity","Este personagem é imune a efeitos que o impediriam de receber novos reforços de efeito de status."
"herocard.passive_skill.description.resist.burn","Este personagem é imune a males de status causam dano de queimadura."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Este personagem é imune a males de status que causam dano de queimadura e ganha {HEALTHBOOST} de vida reforçada e {MANA}% de mana sempre que resiste."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Este personagem é imune a males de status."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE}% de chance de resistir a todos os males de status."
"herocard.passive_skill.description.resist.criticalhits.none","Este personagem é imune a dano adicional e aos efeitos adicionais de acertos críticos."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Este personagem é imune a males de status que afetam a defesa. Não se aplica a males de status que afetam a defesa elemental."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Este personagem é imune a males de status e acumulações negativas que afetam a defesa. Não se aplica a males de status que afetam a defesa elemental."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," Imune a efeitos que removem ajudantes.
 Não pode ser impedido de receber ajudantes.
 Os ataques e as habilidades de ajudantes não podem ser desativadas."
"herocard.passive_skill.description.resist.frost","Este personagem é imune a males de status causam dano de neve."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Este personagem é imune a males de status que causam dano de neve e ganha {HEALTHBOOST} de vida reforçada e {MANA}% de mana sempre que resiste."
"herocard.passive_skill.description.resist.healeffects","Este personagem é imune a males de status afetam a cura."
"herocard.passive_skill.description.resist.healthsteal","Este personagem é imune a males de status roubam vida."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Este personagem é imune a Insanidade."
"herocard.passive_skill.description.resist.manadebuffs","Este personagem é imune a males de status afetam o mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Este personagem é imune a males de status que afetam a geração de mana ou impedem o uso de habilidades especiais."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Este personagem tem {CHANCE}% de chance de resistir a males de status que afetam o mana ou impedem o uso de habilidades especiais."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Este personagem é imune a males de status e acumulações negativas que afetam a geração de mana. Não se aplica a males de status que interrompem a geração ou roubam mana."
"herocard.passive_skill.description.resist.manareduction","Este personagem é imune a reduções de mana."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE}% de chance adicional de resistir a reduções de mana."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Este personagem é imune a reduções de mana e ganha {HEALTHBOOST} de vida reforçada e {MANA}% de mana sempre que resiste."
"herocard.passive_skill.description.resist.maxhealthreduction","Este personagem é imune à redução do limite de vida."
"herocard.passive_skill.description.resist.poison","Este personagem é imune a males de status causam dano de veneno."
"herocard.passive_skill.description.resist.poison.burn.bleed","Este personagem é imune a males de status causam dano de veneno, queimadura ou sangramento."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Este personagem é imune a efeitos de status que o deixariam possuído."
"herocard.passive_skill.description.resist.sand","Este personagem é imune a males de status causam dano de areia."
"herocard.passive_skill.description.resist.specialblocking","Este personagem é imune a males de status que impedem o uso de habilidades especiais."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Este personagem tem {CHANCE}% de chance de resistir a males de status que impedem o uso de habilidades especiais."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Este personagem é imune a males de status que impedem o uso de habilidades especiais e ganha {HEALTHBOOST} de vida reforçada e {MANA}% de mana sempre que resiste."
"herocard.passive_skill.description.resist.stopmanageneration","Este personagem é imune a males de status impedem a geração de mana."
"herocard.passive_skill.description.resist.water","Este personagem é imune a males de status causam dano de água."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Este personagem é imune a males de status aplicados por ajudantes."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Este personagem é imune a efeitos que removeriam ajudantes dele."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Este personagem é imune a efeitos negativos e dano de ajudantes."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Este personagem é imune a efeitos negativos e dano de ajudantes e ajudantes mega."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Este personagem não pode receber demônios."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Este personagem não pode receber demônios nem demônios mega."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE}% de chance de resistir a todos os males de status."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","A chance de reviver diminui para todos os inimigos na batalha, tornando-se equivalente a {MODIFIER}% do valor original."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Todos os inimigos têm {HEALTHMODIFIER}% de vida quando revividos. Os chefes inimigos não são afetados."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Quando é derrotado, este personagem pode renascer como Hospedeiro Místico. A chance é de {CHANCEINCREASEPERSTEP}% por {INSANITYPERSTEP} Insanidade do personagem, até o limite de {MAXCHANCEINCREASE}% de chance. 

O Hospedeiro Místico tem:
 {INHERITEDHEALTH}% de vida herdada
 {ATTACK} de ataque
 {DEFENSE} de defesa
Habilidade especial: Flagelo Místico.

Quando este personagem derrota a si mesmo ao ativar  Insanidade, a chance de renascer é sempre {CHANCEONSELFCAUSEDDEATH}%."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Quando é derrotado, este personagem pode renascer como Hospedeiro Místico. A chance é de {CHANCEINCREASEPERSTEP}% por {INSANITYPERSTEP} Insanidade do personagem até o limite de {MAXCHANCEINCREASE}%.

O Hospedeiro Místico tem:
 {INHERITEDHEALTH}% de vida herdada
 {ATTACK} de ataque
 {DEFENSE} de defesa
 Habilidade especial:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance"," Quando é derrotado, este personagem tem {TOTALCHANCE}% de chance de reviver no início do turno seguinte com {HEALTH}% de vida e {MANA}% de mana.

 Limite de {MAXACTIVATIONCOUNT} ativações. A chance de reviver diminui a cada ativação. Males de status e habilidades passivas não previnem o efeito."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Todas as Baladas lançadas por inimigos duram apenas {TURNS} turno."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Todas as Danças lançadas por inimigos duram apenas {TURNS} turno."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION}% do dano recebido por este personagem é compartilhado com todos os outros aliados."
"herocard.passive_skill.description.specialdamagereduction","O dano recebido é reduzido em {DAMAGEREDUCTION}% nas primeiras {MAXACTIVATIONCOUNT} vezes em que este personagem recebe dano de habilidades especiais."
"herocard.passive_skill.description.specialdamagereduction.chance","Este personagem tem {CHANCE}% de chance de reduzir a 1 o dano direto recebido de habilidades especiais."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Este personagem recebe {DAMAGEREDUCTION}% menos dano de habilidades especiais."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Este personagem recebe {MANA}% de mana no início da batalha."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER}% de ataque."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER}% de defesa."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER}% de vida."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER}% de vida, {ATTACKMULTIPLIER}% de ataque."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER}% de vida, {DEFENSEMULTIPLIER}% de defesa."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER}% de vida, {DEFENSEMULTIPLIER}% de defesa, {ATTACKMULTIPLIER}% de ataque."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Os efeitos de status que aumentam o ataque são {MODIFIER}% mais eficazes para este personagem."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Reduz em {MODIFIER}% o efeito dos males de status que afetam o ataque. O efeito é aplicado a este personagem e a todos os aliados dele na batalha."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Males de status que reduzem o ataque são {MODIFIER}% menos eficazes contra este personagem."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Os efeitos de status que aumentam o ataque são {MODIFIER}% mais eficazes para este personagem."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Males de status que reduzem o ataque são {MODIFIER}% menos eficazes contra este personagem."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Os efeitos de status que aumentam a defesa são {MODIFIER}% mais eficazes para este personagem."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Reduz o efeito dos males de defesa em {MODIFIER}%. O efeito é aplicado a este personagem e a todos os aliados dele na batalha."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Males de status que reduzem a defesa são {MODIFIER}% menos eficazes contra este personagem."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Os efeitos de status que aumentam a defesa são {MODIFIER}% mais eficazes para este personagem."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Males de status que reduzem a defesa são {MODIFIER}% menos eficazes contra este personagem."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","A duração dos primeiros {MAXACTIVATIONCOUNT} males de status que este personagem recebe de habilidades especiais diminui em {DURATIONMODIFIER} turno."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","A duração dos males de status de defesa que este personagem recebe de habilidades especiais diminui em {DURATIONMODIFIER} turno."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","A duração dos primeiros {MAXACTIVATIONCOUNT} reforços que este personagem recebe de habilidades especiais aumenta em {DURATIONMODIFIER} turno."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Quando um mal de status é expurgado deste Herói, uma nova cópia do mal expurgado é aplicada a um inimigo aleatório."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Sempre que este Gárgula lança uma habilidade especial, todos os aliados recebem Pele Macia. Nas {MAXACTIVATIONS} vezes seguintes em que eles recebem dano, o dano é reduzido em {DAMAGEREDUCTION}%. Eles também ficam imunes a todos os males de status, reduções de mana e Insanidade. Este efeito não pode ser dissipado."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Sempre que este Gárgula lança uma habilidade especial, Pele Macia é ativada. Nas {MAXACTIVATIONS} vezes seguintes em que ele recebe dano, o dano é reduzido em {DAMAGEREDUCTION}%. Ele também fica imune a todos os males de status, reduções de mana e Insanidade. Este efeito não pode ser dissipado."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Sempre que este gárgula lança uma habilidade especial, sua pele de pedra endurece. Nas próximas {MAXHITS} vezes que ele recebe dano, o dano cai para 1. Este efeito não pode ser dissipado."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Quando este personagem lança a própria habilidade especial, marca um inimigo aleatório com Luz de Caça por {TURNS} turnos.
 O alvo marcado com Luz de Caça recebe mais {FIXEDPOWER} de dano ao receber um acerto crítico."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Ao lançar a habilidade especial, este personagem recebe {ATTACK}% de ataque por {TURNS} turnos. Este efeito pode ser ativado juntamente com outros efeitos que alteram o ataque."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Uma vez por batalha, é possível mudar o Elemento deste Herói para o Elemento escolhido por {TURNS} turnos. Para fazer isso é preciso tocar no Herói quando o mana dele não estiver cheio."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Convoca um demônio Seedling a cada turno para um inimigo aleatório.
 O demônio Muda se transforma em demônio Broto após  {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
 O demônio Broto se transforma em demônio mega Florescência após {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.

Demônio Muda: 
{EVOLVINGFAMILIAR1ATTACK}% de ataque, {EVOLVINGFAMILIAR1HEALTH}% de vida

Demônio Broto: 
{EVOLVINGFAMILIAR2ATTACK}% de ataque, {EVOLVINGFAMILIAR2HEALTH}% de vida

Demônio mega Florescência: 
{EVOLVINGFAMILIAR3ATTACK}% de ataque, {EVOLVINGFAMILIAR3HEALTH}% de vida"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Convoca um demônio Seedling a cada turno para um inimigo aleatório.
 O demônio Muda se transforma em demônio Broto após  {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
 O demônio Broto se transforma em demônio mega Florescência após {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.

Demônio Muda:
{EVOLVINGFAMILIAR1ATTACK}% de ataque, {EVOLVINGFAMILIAR1HEALTH}% de vida

Demônio Broto:
{EVOLVINGFAMILIAR2ATTACK}% de ataque, {EVOLVINGFAMILIAR2HEALTH}% de vida

Demônio mega Florescência:
{EVOLVINGFAMILIAR3ATTACK}% de ataque, {EVOLVINGFAMILIAR3HEALTH}% de vida"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Convoca um demônio Seedling a cada turno para um inimigo aleatório.
 O demônio Muda se transforma em demônio Broto após  {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
 O demônio Broto se transforma em demônio mega Florescência após {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.
 A evolução dos demônios é atrasada em {EVOLVINGFAMILIAR1TURNSDELAY} turno cada vez que eles absorvem cura.

Demônio Muda:
{EVOLVINGFAMILIAR1ATTACK}% de ataque, {EVOLVINGFAMILIAR1HEALTH}% de vida

Demônio Broto:
{EVOLVINGFAMILIAR2ATTACK}% de ataque, {EVOLVINGFAMILIAR2HEALTH}% de vida

Demônio mega Florescência:
{EVOLVINGFAMILIAR3ATTACK}% de ataque, {EVOLVINGFAMILIAR3HEALTH}% de vida"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Quando é derrotado, este personagem convoca ajudantes mega Gosma para os aliados próximos com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque deste personagem."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Quando é derrotado, este personagem convoca ajudantes mega Gosma para os aliados próximos com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque deste personagem."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Quando é derrotado, este personagem convoca ajudantes mega Gosma para os aliados próximos com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque deste personagem."
