"herocard.passive_skill.description.addmana.all.allies","Alla allierade får lite mana."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","Ta {MODIFIER} % mindre skada från trupper från det starkare elementet."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","Ta emot {MODIFIER} % mer elementskada från eldbollar av det starkare elementet."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Första gången den här karaktären hade tagit dödlig skada dirigeras den skadan vidare till en slumpmässig fiende.

I strider med flera vågor återställs effekten i början av varje våg."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Första gången den här karaktären hade tagit dödlig skada dirigeras den skadan vidare till en slumpmässig fiende. (Aktiveringar kvar: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE} % extra chans att reflektera negativa statuseffekter på anfallaren."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Tar bort alla vittringseffekter från alla allierade med {TURNS} rundors mellanrum."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Tar bort alla tillväxteffekter från alla fiender med {TURNS} rundors mellanrum."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Den här karaktärens konstruktionskärna är en reparationskärna.

Reparationskärnan aktiveras varje gång den här karaktärens specialförmåga används:

 En fulladdad reparationskärna ger alla allierade {CHARGEDPOWER1} % hälsa.
 Mängden återställd hälsa blir högre ju större laddning kärnan har. All laddning laddas ur när kärnan aktiveras."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE} % chans att använda hjältens specialförmåga {REPEATS} gånger."
"herocard.passive_skill.description.resist.accuracymodifiers","Karaktären är immun mot negativa statuseffekter på träffsäkerheten. Gäller inte ursprungliga statuseffekter från allierade."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Karaktären är immun mot negativa statuseffekter och staplar."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE} % extra chans att motstå alla negativa statuseffekter och avbrytningar av bonusar."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE} % extra chans att motstå alla negativa statuseffekter, manaminskningar, avbrytningar av bonusar och vittringseffekter."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE} % extra chans att motstå alla negativa statuseffekter, manaminskningar, avbrytningar av bonusar och vansinne."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE} % extra chans att motstå alla negativa statuseffekter, manaminskningar och avbrytningar av bonusar."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE} % extra chans att motstå alla negativa statuseffekter."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Karaktären är immun mot negativa statuseffekter på försvar. Gäller även negativa statuseffekter som påverkar elementförsvar."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Karaktären är immun mot negativa statuseffekter, staplar och vittringseffekter som påverkar försvar."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Den här karaktären påverkas inte av effekter som höjer eller sänker försvar.

Det här innefattar positiva och negativa statuseffekter, positiva och negativa staplar samt vittrings- och tillväxteffekter."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Den här karaktären påverkas inte av effekter som höjer eller sänker försvar.

Det här innefattar:
 Positiva och negativa statuseffekter
 Positiva och negativa staplar
 Vittrings- och tillväxteffekter"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Den här karaktären påverkas inte av effekter som höjer eller sänker försvar.

Det här innefattar positiva och negativa statuseffekter, positiva och negativa staplar samt vittrings- och tillväxteffekter."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Karaktären är immun mot negativa statuseffekter och staplar som påverkar manaskapande. Gäller även negativa statuseffekter som blockerar mana eller stjäl mana."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Karaktären är immun mot manaminskning samt negativa statuseffekter och staplar som påverkar manaskapande. Gäller även negativa statuseffekter som blockerar mana eller stjäl mana."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Karaktären är immun mot skada från statuseffekter och staplar."
"herocard.passive_skill.description.resist.attackdelay","Karaktärens normala attack kan inte försenas."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Karaktärens normala attack kan inte försenas."
"herocard.passive_skill.description.resist.attackmodifiers","Karaktären är immun mot negativa statuseffekter som påverkar attack."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Karaktären är immun mot alla negativa statuseffekter och staplar som påverkar attack. Det gäller även statuseffektbonusar."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Karaktären är immun mot negativa statuseffekter, staplar och vittringseffekter som påverkar attack."
"herocard.passive_skill.description.resist.bleed","Karaktären är immun mot negativa statuseffekter som gör blödningsskada."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Karaktären är immun mot statuseffekter som gör blödningskada och får {HEALTHBOOST} hälsoökning och {MANA} % mana varje gång den motstår."
"herocard.passive_skill.description.resist.buffdispels","Karaktären är immun mot effekter som avbryter dess statuseffektbonusar."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE} % extra chans att motstå alla bonusborttagningar."
"herocard.passive_skill.description.resist.buffimmunity","Karaktären är immun mot effekter som förhindrar att den får nya statuseffektbonusar."
"herocard.passive_skill.description.resist.burn","Karaktären är immun mot negativa statuseffekter som gör eldskada."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Karaktären är immun mot statuseffekter som gör eldskada och får {HEALTHBOOST} hälsoökning och {MANA} % mana varje gång den motstår."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Karaktären är immun mot negativa statuseffekter."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE} % extra chans att motstå alla negativa statuseffekter."
"herocard.passive_skill.description.resist.criticalhits.none","Den här karaktären är immun mot extraskada och effekter från kritiska träffar."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Karaktären är immun mot negativa statuseffekter på försvar. Gäller inte negativa statuseffekter som påverkar elementförsvar."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Karaktären är immun mot negativa statuseffekter och staplar som påverkar försvar. Gäller inte negativa statuseffekter som påverkar elementförsvar."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," Immun mot effekter som tar bort undersåtar.
 Får alltid undersåtar – det kan inte förhindras.
 Undersåtarnas attacker och förmågor kan inte inaktiveras."
"herocard.passive_skill.description.resist.frost","Karaktären är immun mot negativa statuseffekter som gör frostskada."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Karaktären är immun mot statuseffekter som gör frostskada och får {HEALTHBOOST} hälsoökning och {MANA} % mana varje gång den motstår."
"herocard.passive_skill.description.resist.healeffects","Karaktären är immun mot negativa statuseffekter som påverkar läkning."
"herocard.passive_skill.description.resist.healthsteal","Karaktären är immun mot negativa statuseffekter som stjäl hälsa läkning."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Den här karaktären är immun mot vansinne."
"herocard.passive_skill.description.resist.manadebuffs","Karaktären är immun mot negativa statuseffekter som påverkar mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Karaktären är immun mot negativa statuseffekter som påverkar manaskapande eller hindrar användandet av specialförmågor."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Karaktären har {CHANCE} % chans att stå emot negativa statuseffekter som påverkar mana eller hindrar användandet av specialförmågor."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Karaktären är immun mot negativa statuseffekter och staplar som påverkar manaskapande. Gäller inte negativa statuseffekter som påverkar manaskapande eller som stjäl mana."
"herocard.passive_skill.description.resist.manareduction","Den här karaktären är immun mot manaminskningar."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE} % extra chans att motstå manaminskning."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Karaktären är immun mot manaminskning och får {HEALTHBOOST} hälsoökning och {MANA} % mana varje gång den motstår."
"herocard.passive_skill.description.resist.maxhealthreduction","Den här karaktären är immun mot minskning av maxhälsa."
"herocard.passive_skill.description.resist.poison","Karaktären är immun mot negativa statuseffekter som gör giftskada."
"herocard.passive_skill.description.resist.poison.burn.bleed","Karaktären är immun mot negativa statuseffekter som gör gift-, eld- eller blödningsskada."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Karaktären är immun mot statuseffekter som besitter denne."
"herocard.passive_skill.description.resist.sand","Karaktären är immun mot negativa statuseffekter som gör sandskada."
"herocard.passive_skill.description.resist.specialblocking","Karaktären är immun mot negativa statuseffekter som hindrar användandet av specialförmågor."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Karaktären har {CHANCE} % chans att stå emot negativa statuseffekter som hindrar användandet av specialförmågor."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Karaktären är immun mot negativa statuseffekter som förhindrar användning av specialförmågor och får {HEALTHBOOST} hälsoökning och {MANA} % mana varje gång den motstår."
"herocard.passive_skill.description.resist.stopmanageneration","Karaktären är immun mot negativa statuseffekter som stoppar manaskapande."
"herocard.passive_skill.description.resist.water","Karaktären är immun mot negativa statuseffekter som gör vattenskada."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Karaktären är immun mot negativa statuseffekter från undersåtar."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Den här karaktären är immun mot effekter som tar bort undersåtar från den."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Karaktären är immun mot inkommande negativa effekter och skada från undersåtar."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Karaktären är immun mot inkommande negativa effekter och skada från undersåtar och megaundersåtar."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Den här karaktären kan inte få odjur."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Den här karaktären kan inte få odjur eller megaodjur"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE} % extra chans att motstå alla negativa statuseffekter."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Chansen att återupplivas sänks för alla fiender i striden. Chansen är {MODIFIER} % av ursprungsvärdet."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Alla fiender har {HEALTHMODIFIER} % hälsa när de återupplivas. Bossfiender påverkas inte."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Om den här karaktären besegras har den en chans att återfödas som en kuslig värd. Chansen är {CHANCEINCREASEPERSTEP} % per {INSANITYPERSTEP} vansinne på den här karaktären, upp till en maximal chans på {MAXCHANCEINCREASE} %.

Den kusliga värden har:
{INHERITEDHEALTH} % ärvd hälsa.
{ATTACK} attack.
{DEFENSE} försvar.
Följande specialförmåga:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Om den här karaktären besegrar sig själv när vansinne aktiveras är chansen att återfödas {CHANCEONSELFCAUSEDDEATH} %."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Om den här karaktären besegras har den chansen att återuppstå som en kuslig värd. Chansen är {CHANCEINCREASEPERSTEP} % per {INSANITYPERSTEP} vansinne på den här karaktären, upp till en maximal chans på {MAXCHANCEINCREASE} %.

Den kusliga värden har:
{INHERITEDHEALTH} % ärvd hälsa. 
{ATTACK} attack.
{DEFENSE} försvar.
Följande specialförmåga: 

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","När karaktären besegras har den {TOTALCHANCE} % chans att återupplivas i början av sin nästa runda med {HEALTH} % hälsa och {MANA} % mana. 

Kan aktiveras upp till {MAXACTIVATIONCOUNT} gånger. Chansen att återupplivas blir mindre för varje aktivering. Kan inte hindras med negativa statuseffekter eller passiva förmågor."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","När karaktären besegras har den {TOTALCHANCE} % chans att återupplivas i början av sin nästa runda med {HEALTH} % hälsa och {MANA} % mana. 

Kan aktiveras upp till {MAXACTIVATIONCOUNT} gånger. Chansen att återupplivas blir mindre för varje aktivering. Kan inte hindras med negativa statuseffekter eller passiva förmågor."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Alla ballader som används av fiender varar bara {TURNS} runda."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Alla danser som används av fiender varar bara {TURNS} runda."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION} % av skadan den här karaktären tar delas med alla andra allierade."
"herocard.passive_skill.description.specialdamagereduction","Den tagna skadan minskas med {DAMAGEREDUCTION} % de {MAXACTIVATIONCOUNT} första gångerna den här karaktären tar skada av specialförmågor."
"herocard.passive_skill.description.specialdamagereduction.chance","Den här karaktären har {CHANCE} % chans att sänka den direkta skadan som kommer från specialförmågor till 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Den tagna skadan från specialförmågor minskas med {DAMAGEREDUCTION} % för den här karaktären."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Den här karaktären får {MANA} % mana i början av striden."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER} % attack."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER} % försvar."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER} % hälsa."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER} % hälsa, {ATTACKMULTIPLIER} % attack."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER} % hälsa, {DEFENSEMULTIPLIER} % försvar."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER} % hälsa, {DEFENSEMULTIPLIER} % försvar, {ATTACKMULTIPLIER} % attack."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Statuseffekter som ökar attacken är {MODIFIER} % mer effektiva på den här karaktären."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Minskar effekten från negativa effekter som påverkar attack med {MODIFIER} %. Effekten gäller alla allierade i striden."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Negativa statuseffekter som minskar anfall är {MODIFIER} % mindre effektiva mot den här fienden."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Statuseffekter som ökar attacken är {MODIFIER} % mer effektiva på den här karaktären."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Negativa statuseffekter som minskar anfall är {MODIFIER} % mindre effektiva mot den här fienden."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Statuseffekter som ökar försvar är {MODIFIER} % mer effektiva på den här karaktären."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Minskar effekten från negativa försvarseffekter med {MODIFIER} %. Effekten gäller alla allierade i striden."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Negativa statuseffekter som minskar försvar är {MODIFIER} % mindre effektiva mot den här fienden."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Statuseffekter som ökar försvar är {MODIFIER} % mer effektiva på den här karaktären."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Negativa statuseffekter som minskar försvar är {MODIFIER} % mindre effektiva mot den här fienden."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Tiden för de första {MAXACTIVATIONCOUNT} negativa statuseffekter den här karaktären får från specialförmågor minskas med {DURATIONMODIFIER} runda."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Tiden för de negativa statuseffekter som påverkar försvar den här karaktären får från specialförmågor minskas med {DURATIONMODIFIER} rundor."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Tiden för de första {MAXACTIVATIONCOUNT} bonusar den här karaktären får från specialförmågor ökar med {DURATIONMODIFIER} runda."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","När en negativ statuseffekt rensas från den här hjälten används en ny kopia av den på en slumpmässig fiende."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Varje gång den här grotesken använder en specialförmåga får alla allierade mjukskinn. Följande {MAXACTIVATIONS} gånger de tar skada minskas den med {DAMAGEREDUCTION} %. Den är även immun mot alla negativa statuseffekter, manaminskningar och vansinne. Effekten kan inte avbrytas."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Varje gång den här grotesken använder en specialförmåga aktiveras dess mjukskinn. Följande {MAXACTIVATIONS} gånger den tar skada minskas den med {DAMAGEREDUCTION} %. Den är även immun mot alla negativa statuseffekter, manaminskningar och vansinne. Effekten kan inte avbrytas."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Varje gång en grotesk använder en specialförmåga får den hårdare stenskinn. Under kommande {MAXHITS} träffar när den tar skada minskas skadan till 1. Effekten kan inte avbrytas."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","När den här karaktären använder sin specialförmåga markerar den en slumpvald fiende med en jaktfackla i {TURNS} rundor.
 Mål som är markerade med jaktfacklor tar ytterligare {FIXEDPOWER} skada när de blir träffade av kritiska träffar."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","När karaktären använder sin specialförmåga får den {ATTACK} % attack i {TURNS} rundor. Den här effekten kan vara aktiv tillsammans med effekter som påverkar attackstyrka."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Hjältens element kan bytas ut mot valfritt element i {TURNS} rundor genom att trycka på hjälten när den inte har full mana. Det kan du göra en gång per strid."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Åkallar ett groddodjur på en slumpmässig fiende varje runda.
Groddodjuret utvecklas till ett skottodjur efter {EVOLVINGFAMILIAR1EVOLVETURNS} rundor.
Skottodjuret utvecklas till ett blomstermegaodjur efter {EVOLVINGFAMILIAR2EVOLVETURNS} rundor.

Groddodjuret:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % hälsa.

Skottodjuret:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % hälsa.

Blomstermegaodjuret: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % hälsa."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Åkallar ett groddodjur på en slumpmässig fiende varje runda. Den här passiva förmågan aktiveras bara en gång per tur för varje lag.
Groddodjuret utvecklas till ett skottodjur efter {EVOLVINGFAMILIAR1EVOLVETURNS} rundor.
Skottodjuret utvecklas till ett blomstermegaodjur efter {EVOLVINGFAMILIAR2EVOLVETURNS} rundor.

Groddodjuret:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % hälsa.

Skottodjuret:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % hälsa.

Blomstermegaodjuret: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % hälsa."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Åkallar ett groddodjur på en slumpmässig fiende varje runda. Den här passiva förmågan aktiveras bara en gång per tur för varje lag.
Groddodjuret utvecklas till ett skottodjur efter {EVOLVINGFAMILIAR1EVOLVETURNS} rundor.
Skottodjuret utvecklas till ett blomstermegaodjur efter {EVOLVINGFAMILIAR2EVOLVETURNS} rundor.
Odjurens utveckling fördröjs med {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} rundor varje gång de absorberar läkning.

Groddodjuret:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % hälsa.

Skottodjuret:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % hälsa.

Blomstermegaodjuret: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % hälsa."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Åkallar ett groddodjur på en slumpmässig fiende varje runda. Den här passiva förmågan aktiveras bara en gång per tur för varje lag.
Groddodjuret utvecklas till ett skottodjur efter {EVOLVINGFAMILIAR1EVOLVETURNS} rundor.
Skottodjuret utvecklas till ett blomstermegaodjur efter {EVOLVINGFAMILIAR2EVOLVETURNS} rundor.
Odjurens utveckling fördröjs med {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} rundor varje gång de absorberar läkning.

Groddodjuret:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % hälsa.

Skottodjuret:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % hälsa.

Blomstermegaodjuret: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % hälsa."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Åkallar ett groddodjur på en slumpmässig fiende varje runda. Den här passiva förmågan aktiveras bara en gång per tur för varje lag.
Groddodjuret utvecklas till ett skottodjur efter {EVOLVINGFAMILIAR1EVOLVETURNS} rundor.
Skottodjuret utvecklas till ett blomstermegaodjur efter {EVOLVINGFAMILIAR2EVOLVETURNS} rundor.
Odjurens utveckling fördröjs med {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} rundor varje gång de absorberar läkning.

Groddodjuret:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % hälsa.

Skottodjuret:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % hälsa.

Blomstermegaodjuret: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % attack, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % hälsa."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","När den här karaktären besegras får allierade i närheten slemmegaundersåtar med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack som ärvts från samma karaktär."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","När den här karaktären besegras får allierade i närheten slemmegaundersåtar med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack som ärvts från samma karaktär."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","När den här karaktären besegras får allierade i närheten slemmegaundersåtar med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack som ärvts från samma karaktär."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","När den här karaktären besegras får allierade i närheten slemmegaundersåtar med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack som ärvts från samma karaktär."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","När den här karaktären besegras får allierade i närheten slemmegaundersåtar med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack som ärvts från samma karaktär."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Om den här karaktären förlorar mer än {DAMAGETHRESHOLD} % av maxhälsan på en och samma gång åkallar den en slemmegaundersåte till sig själv med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Om den här karaktären förlorar mer än {DAMAGETHRESHOLD} % av maxhälsan på en och samma gång åkallar den en slemmegaundersåte till sig själv med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Om den här karaktären förlorar mer än {DAMAGETHRESHOLD} % av maxhälsan på en och samma gång åkallar den en slemmegaundersåte till sig själv med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Om den här karaktären förlorar mer än {DAMAGETHRESHOLD} % av maxhälsan på en och samma gång åkallar den en slemmegaundersåte till sig själv med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Om den här karaktären förlorar mer än {DAMAGETHRESHOLD} % av maxhälsan på en och samma gång åkallar den en slemmegaundersåte till sig själv med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Varje gång den här karaktären blir brännskadad åkallar den en skogsväktarundersåte till sig själv. Skogsväktarundersåten ärver {FAMILIARHEALTHPERCENT} % HP och {FAMILIARATTACK} % attack från den här karaktären."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Varje gång den här karaktären får en negativ statuseffekt som gör skada över tid åkallar den en kortsoldatsundersåte till sig själv. Kortsoldatsundersåten ärver {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack från den här karaktären."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Varje gång den här karaktären drabbas av en negativ statuseffekt som påverkar dess försvar åkallar den en tjurundersåte till sig själv. Tjurundersåten ärver {FAMILIARHEALTHPERCENT} % HP och {FAMILIARATTACK} % attack från den här karaktären."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Åkallar en sparvundersåte åt sig själv när en fiende åkallar undersåtar genom en specialförmåga."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","När en fiende åkallar en undersåte med en specialförmåga åkallar karaktären en förhäxad telningsfiende mot den fienden."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","När en fiende åkallar en undersåte med en specialförmåga åkallar karaktären en ett groddodjur mot den fienden."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","Om allierade dansar när den här karaktären använder sin specialförmåga ökar alla allierades hälsa med {HEALTHBOOST}. Hälsan kan komma att överstiga maxhälsan."
"herocard.passive_skill.description.taunt","Karaktärens specialförmåga påverkas inte av hån."
