"heroes.name_fancy.astral_cosmicspeaker","Astralelfenastronom"
"heroes.name_fancy.faun_bramble","Sanfter Faun-Gärtner"
"heroes.name_fancy.faun_gideon","Mutiger Faunkommandant"
"heroes.name_fancy.faun_isidore","Charismatischer Faun-Champion"
"heroes.name_fancy.faun_jolyon","Nachdenklicher Faun-Bastler"
"heroes.name_fancy.faun_maud","Ehrgeiziger Faun-Alchemist"
"heroes.name_fancy.faun_myrtle","Gestresste Faun-Kräuterkundlerin"
"heroes.name_fancy.faun_peregrine","Skrupelloser Faunspäher"
"heroes.name_fancy.faun_philomena","Faszinierender Faun-Minnesänger"
"heroes.name_fancy.faun_saskia","Leichtfüßige Fauntänzerin"
"heroes.name_fancy.faun_tamlin","Unheimlicher Faun-Flötenspieler"
"heroes.name_fancy.faun_verity","Geheimnisvolle Faunhändlerin"
"heroes.name_fancy.faun_yolanda","Blutrünstige Faun-Seherin"
"heroes.name_fancy.faun_ysabel","Skrupellose Faun-Gladiatorin"
"heroes.name_fancy.fire_god_andre","Der betrogene Tempelritter"
"heroes.name_fancy.fire_god_anzogh","Schamane mit einem Groll"
"heroes.name_fancy.fire_god_ares","Kriegsgott"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Schlüsselmeisterin des Krieges"
"heroes.name_fancy.fire_god_doom","Blutverschmierter Druide"
"heroes.name_fancy.fire_god_doom_costume_avenger","Brennende Rächerin"
"heroes.name_fancy.fire_god_eliane","Oberster Rotmagier"
"heroes.name_fancy.fire_god_jean_francois","Musketier-Magier"
"heroes.name_fancy.fire_god_maple","Die Fee von Auburn Woods"
"heroes.name_fancy.fire_god_nadnog","Der feurige Heiler"
"heroes.name_fancy.fire_god_natalya","Feuergeborene Zauberin"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Feuergeborene Schneiderin"
"heroes.name_fancy.fire_god_neema","Feuerzauberer"
"heroes.name_fancy.fire_god_noor","Spatzflüsterer"
"heroes.name_fancy.fire_god_reuben","Geschworener Okkultist"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Unzertrennliches Team"
"heroes.name_fancy.fire_god_russell","Rasender Pyromagier"
"heroes.name_fancy.fire_god_skargremar","Richtungsweisende Nachhut"
"heroes.name_fancy.fire_god_tahir","Nomadischer Jäger"
"heroes.name_fancy.fire_god_yang_mai","Faust der Sonne"
"heroes.name_fancy.fire_god_zagrog","Einsamer Schurke"
"heroes.name_fancy.fire_god_zarga","Schnelle Klinge"
"heroes.name_fancy.fire_god_zidane","Reizender Freibeuter"
"heroes.name_fancy.fire_god_zimkitha","Lange verlorene Tochter"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Lange verlorene Abenteurerin"
"heroes.name_fancy.fleur_elyzabel","Blutrote Baronin"
"heroes.name_fancy.fleur_eumachius","Blutroter Nachkomme"
"heroes.name_fancy.fleur_guillemette","Blutrote Kreuzritterin"
"heroes.name_fancy.fleur_lavinia","Blutrote Träumerin"
"heroes.name_fancy.fleur_ludovico","Blutroter Verwalter"
"heroes.name_fancy.fleur_talesie","Blutroter Meuchelmörder"
"heroes.name_fancy.forest_archer","Treffsicherer Bogenschütze"
"heroes.name_fancy.forest_archer_costume_cute","Toon-Bogenschütze"
"heroes.name_fancy.forest_archer_costume_glass","Glasbogenschütze"
"heroes.name_fancy.forest_archer_costume_warrior","Adroit-Bogenschütze"
"heroes.name_fancy.forest_female_druid","Rathwalddruide"
"heroes.name_fancy.forest_female_druid_costume_cute","Rathwald-Toon"
"heroes.name_fancy.forest_female_druid_costume_glass","Vitrail von Rathwood"
"heroes.name_fancy.forest_female_druid_costume_native","Schamane von Concordia"
"heroes.name_fancy.forest_female_elf","Mondlicht-Schildmeister"
"heroes.name_fancy.forest_female_elf_costume_cute","Toon-Schildmeister"
"heroes.name_fancy.forest_female_elf_costume_fairy","Mondlicht-Fee"
"heroes.name_fancy.forest_female_elf_costume_glass","Gläserne Schildmeisterin"
"heroes.name_fancy.forest_female_elf_costume_mage","Mondlicht-Priesterin"
"heroes.name_fancy.forest_female_illusionist","Pflanzenflüsterer"
"heroes.name_fancy.forest_female_spirit","Geist der Lichtung"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Geist des Hains"
"heroes.name_fancy.forest_female_spirit_costume_cute","Toongeist"
"heroes.name_fancy.forest_female_spirit_costume_glass","Glasgeist"
"heroes.name_fancy.forest_female_warrior","Dorfmädchen"
"heroes.name_fancy.forest_friar","Heiterer Bruder"
"heroes.name_fancy.forest_friar_costume_cute","Heiterer Toon"
"heroes.name_fancy.forest_friar_costume_explorer","Heiterer Forscher"
"heroes.name_fancy.forest_friar_costume_glass","Heiterer Vitrail"
"heroes.name_fancy.forest_god_elinor","Schatzjäger"
"heroes.name_fancy.forest_god_elradir","Wilder Zauberer der Mondwälder"
"heroes.name_fancy.forest_god_evelyn","Tapfere Erbin"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Mutige Jägerin"
"heroes.name_fancy.forest_god_grace","Hain-Cervitaurin"
"heroes.name_fancy.forest_god_gregorion","Geschickter Bogenschütze"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Der einsame Alchemist"
"heroes.name_fancy.forest_god_kingston","Edler Assassine"
"heroes.name_fancy.forest_god_oberon","Champion der Lichtelfen"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Everoak-Ritter"
"heroes.name_fancy.forest_god_telluria","Waldgott"
"heroes.name_fancy.forest_god_zeline","Himmelswesen der Natur"
"heroes.name_fancy.forest_god_zeline_costume_avian","Vogelartiges Himmelswesen"
"heroes.name_fancy.forest_god_zocc","Meister der Schlüssel"
"heroes.name_fancy.forest_mage","Weisheit des Waldes"
"heroes.name_fancy.forest_mage_costume_cute","Toon-Zauberer"
"heroes.name_fancy.forest_mage_costume_glass","Wald-Vitrail"
"heroes.name_fancy.forest_mage_costume_party","Partyzauberer"
"heroes.name_fancy.forest_mage_costume_white","Mächtiger Magier"
"heroes.name_fancy.forest_male_elf","Mondlicht-Speermeister"
"heroes.name_fancy.forest_male_elf_costume_cute","Toon-Speermeister"
"heroes.name_fancy.forest_male_elf_costume_dark","Mondlicht-Eroberer"
"heroes.name_fancy.forest_male_elf_costume_glass","Glas-Speermeister"
"heroes.name_fancy.forest_male_elf_costume_king","Mondlicht-König"
"heroes.name_fancy.forest_male_elf_costume_stylish","Stilvoller Speermeister"
"heroes.name_fancy.forest_thug","Söldner-Schläger"
"heroes.name_fancy.forest_titan","Ältester des Waldes"
"heroes.name_fancy.forest_titan_costume_cute","Toon des Waldes"
"heroes.name_fancy.forest_titan_costume_glass","Vitrail des Waldes"
"heroes.name_fancy.forest_titan_costume_jester","Hölzerner Narr"
"heroes.name_fancy.forest_titan_costume_nightmare","Albtraum der Wälder"
"heroes.name_fancy.forest_woodsman","Einfacher Waldmensch"
"heroes.name_fancy.forest_woodsman_warrior","Mächtiger Bruder"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Verstohlener Bruder"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Mächtiger Toon"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Mächtiger Vitrail"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Mächtiger Hochlandkrieger"
"heroes.name_fancy.forsaken_demhalar","Der seltsame Bewohner"
"heroes.name_fancy.forsaken_inanis","Der Ungebundene"
"heroes.name_fancy.forsaken_jax","Hetzender Hooligan"
"heroes.name_fancy.forsaken_kadath","Verfluchter Geistlicher"
"heroes.name_fancy.forsaken_khatrox","Verdorbener Schläger"
"heroes.name_fancy.forsaken_lamentia","Dienerin des Abgrunds"
"heroes.name_fancy.fox_ashen","Der Silberrücken-Fuchs"
"heroes.name_fancy.fox_ember","Der Feuerrufer-Fuchs"
"heroes.name_fancy.fox_foxglove","Gerissener Fuchs mit Fledermausohren"
"heroes.name_fancy.fox_foxley","Der geächtete Graufuchs"
"heroes.name_fancy.fox_halcyon","Der Graufuchs-Wächter"
"heroes.name_fancy.fox_nettletail","Die freundliche Waldhüterin"
"heroes.name_fancy.fox_nibbles","Der hungrige Fuchswelpe"
"heroes.name_fancy.fox_riverfang","Der Steppenfuchsbeschwörer"
"heroes.name_fancy.fox_rust","Der rote Wächterfuchs"
"heroes.name_fancy.fox_sable","Die verschollene Fuchsprinzessin"
"heroes.name_fancy.fox_shadowfang","Der Knochensammler-Sandfuchs"
"heroes.name_fancy.fox_silverpaw","Der Piraten-Wüstenfuchs"
"heroes.name_fancy.fox_spiff","Der königliche Ritterfuchs"
"heroes.name_fancy.fox_swiftpaw","Die silberne Attentäterfüchsin"
"heroes.name_fancy.fox_whitefang","Der Waldhüter-Polarfuchs"
"heroes.name_fancy.gargoyle_arco","Entschlossener Gargoyle"
"heroes.name_fancy.gargoyle_bellerive","Niederträchtiger Gargoyle"
"heroes.name_fancy.gargoyle_betty","Agiler Gargoyle"
"heroes.name_fancy.gargoyle_budatin","Bösartiger Gargoyle"
"heroes.name_fancy.gargoyle_el_duque","Erhabener Gargoyle"
"heroes.name_fancy.gargoyle_gaillard","Gerissener Gargoyle"
"heroes.name_fancy.gargoyle_garten","Party-Gargoyle"
"heroes.name_fancy.gargoyle_goseck","Heimtückischer Gargoyle"
"heroes.name_fancy.gargoyle_grumbl","Weiser Gargoyle"
"heroes.name_fancy.gargoyle_guffa","Stoischer Gargoyle"
"heroes.name_fancy.gargoyle_hilda","Furchtloser Gargoyle"
"heroes.name_fancy.gargoyle_hohenwerf","Wilder Gargoyle"
"heroes.name_fancy.gargoyle_kalo","Abnormaler Gargoyle"
"heroes.name_fancy.gargoyle_kemeny","Abgebrühter Gargoyle"
"heroes.name_fancy.gargoyle_matrera","Schattenhafter Gargoyle"
"heroes.name_fancy.gargoyle_mena","Pedantischer Gargoyle"
"heroes.name_fancy.gargoyle_penolite","Unerbittlicher Gargoyle"
"heroes.name_fancy.gargoyle_pophit","Virtuoser Gargoyle"
"heroes.name_fancy.gargoyle_soroca","Zorniger Gargoyle"
"heroes.name_fancy.gargoyle_uwe","Fluffiger Gargoyle"
"heroes.name_fancy.gargoyle_vincent","Verängstigter Gargoyle"
"heroes.name_fancy.gargoyle_vonreine","Feuer-Gargoyle"
"heroes.name_fancy.garrison_archibald","Nerviger Quartiermeister"
"heroes.name_fancy.garrison_beatrice","Quartiermeister"
"heroes.name_fancy.garrison_caelen","Der nachdenkliche Dichter"
"heroes.name_fancy.garrison_ciara","Anspruchsvoller Kommandant"
"heroes.name_fancy.garrison_dima","Der Schweinemeister"
"heroes.name_fancy.garrison_fergus","Unerschütterlicher Wachtmeister"
"heroes.name_fancy.garrison_flamehide","Eidechsenspieler"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Gerissener Sergeant"
"heroes.name_fancy.garrison_frostsnout","Flaggenträger der Echsenmenschen"
"heroes.name_fancy.garrison_godfrey","Wächter von Garrulous"
"heroes.name_fancy.garrison_greg","The Grogsmeister"
"heroes.name_fancy.garrison_iarlaith","Der stilvolle Schwertkämpfer"
"heroes.name_fancy.garrison_iocantha","Waffenmeister"
"heroes.name_fancy.garrison_kolya","Schwerfällige Wache"
"heroes.name_fancy.garrison_maisie","Die fröhliche Steinmetzin"
"heroes.name_fancy.garrison_pip","Nervöse Botin"
"heroes.name_fancy.garrison_rosalind","Fröhliche Kapitänin"
"heroes.name_fancy.garrison_shimmerscale","Echsenmenschen-Laternenträger"
"heroes.name_fancy.garrison_theodosius","Mutiger Unteroffizier"
"heroes.name_fancy.garrison_vanya","Der unerschütterliche Späher"
"heroes.name_fancy.garrison_violet_potts","Unbekümmerter Halbling"
"heroes.name_fancy.garrison_william","Nervöser Nachtwächter"
"heroes.name_fancy.goblin_acidfire","Goblin-Nekromant"
"heroes.name_fancy.goblin_archer","Agiler Jäger"
"heroes.name_fancy.goblin_boom_and_fang","Unerschrockenes Duo"
"heroes.name_fancy.goblin_boots","Unachtsamer Wächter"
"heroes.name_fancy.goblin_darkfeather","Geschickter Adlertrainer"
"heroes.name_fancy.goblin_deadboot","Goblin-Kultist"
"heroes.name_fancy.goblin_fighter","Der Taschendieb"
"heroes.name_fancy.goblin_fighter_costume_cute","Der Taschendieb-Toon"
"heroes.name_fancy.goblin_fighter_costume_evil","Der Halsabschneider"
"heroes.name_fancy.goblin_fighter_costume_glass","Glas-Taschendieb"
"heroes.name_fancy.goblin_fizzcoil","Goblin-Geiger"
"heroes.name_fancy.goblin_goldie","Goblin-Schönheit"
"heroes.name_fancy.goblin_grimsteel","Einsiedler vom gefrorenen Berg"
"heroes.name_fancy.goblin_kettle","Küchenalchemist"
"heroes.name_fancy.goblin_leafwizzle","Verzauberer der Bestien"
"heroes.name_fancy.goblin_madhammer","Goblin-Krieger"
"heroes.name_fancy.goblin_mage","Sumpfhexe"
"heroes.name_fancy.goblin_mage_costume_candy","Bonbonhexe"
"heroes.name_fancy.goblin_mage_costume_cute","Toonhexe"
"heroes.name_fancy.goblin_mage_costume_glass","Glashexe"
"heroes.name_fancy.goblin_mage_costume_toad","Krötenhexe"
"heroes.name_fancy.goblin_pepperflame","Berühmter Goblin-Flötist"
"heroes.name_fancy.goblin_ratgrub","Goblin-Rattenhöfling"
"heroes.name_fancy.goblin_rocket","Abbruchexperte"
"heroes.name_fancy.goblin_scrollbeast","Wildschweinreiter im Ruhestand"
"heroes.name_fancy.goblin_smarttongue","Goblin-Barde"
"heroes.name_fancy.goblin_soursting","Arroganter Goblin-Assassine"
"heroes.name_fancy.guardian_bat","Teltoc-Albtraum"
"heroes.name_fancy.guardian_cat_warrior","Teltoc-Krieger"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Wilder Panther"
"heroes.name_fancy.guardian_chameleon","Teltoc-Elementar"
"heroes.name_fancy.guardian_elephant","Wahrer Teltoc-Pfeil"
"heroes.name_fancy.guardian_falcon_priest","Teltoc-Priester"
"heroes.name_fancy.guardian_gazelle","Teltoc-Druide"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Flinke Teltoc-Angreiferin"
"heroes.name_fancy.guardian_gorilla_chieftain","Teltoc-Häuptling"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Eroberergorilla"
"heroes.name_fancy.guardian_hippo","Bestie von Teltoc"
"heroes.name_fancy.guardian_jackal_assassin","Teltoc-Assassine"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Teltoc-Knochensammler"
"heroes.name_fancy.guardian_lemur","Teltoc-Mechaniker"
"heroes.name_fancy.guardian_owl_gentleman","Teltoc-Elitewächter"
"heroes.name_fancy.halloween_alucard","Vampirspross"
"heroes.name_fancy.halloween_alucard_costume_mafia","Vampirherrscher"
"heroes.name_fancy.halloween_amber","Vampir-Blutkriegerin"
"heroes.name_fancy.halloween_ana_belle","Putzfrau von Morlovia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Baroness des Staubs"
"heroes.name_fancy.halloween_chester","Der unfreundliche Geist"
"heroes.name_fancy.halloween_edwin","Gerissener Butler"
"heroes.name_fancy.halloween_edwin_costume_mafia","Der hinterhältige Butler"
"heroes.name_fancy.halloween_francine","Die Monsterdame"
"heroes.name_fancy.halloween_francine_costume_mafia","Die Gangsterdame"
"heroes.name_fancy.halloween_frank","Das Monster"
"heroes.name_fancy.halloween_frank_costume_mafia","Der Gangster"
"heroes.name_fancy.halloween_goopy","Gallertartiger Schleim"
"heroes.name_fancy.halloween_hortensia","Züchterin der Fliegenfallen"
"heroes.name_fancy.halloween_jack","Kürbisbarde"
"heroes.name_fancy.halloween_lucinda","Hüter des Excalibesens"
"heroes.name_fancy.halloween_matilda","Unheiliger Konditor"
"heroes.name_fancy.halloween_miriam_and_midnight","Okkultes Duo"
"heroes.name_fancy.halloween_vanda","Vampirkönigin"
"heroes.name_fancy.halloween_vanda_costume_mafia","Königin des Verbrechens"
"heroes.name_fancy.halloween_wayne","Der große Magier von Morlovia"
"heroes.name_fancy.hidden_dark_god_myztero","Magisches Rätsel"
"heroes.name_fancy.holy_god_aurox","Der strahlende Berserker"
"heroes.name_fancy.holy_god_aviana","Die Falkenkommandantin"
"heroes.name_fancy.holy_god_bai_yeong","Klingentänzer"
"heroes.name_fancy.holy_god_celidana","Anführer der heiligen Geistlichkeit"
"heroes.name_fancy.holy_god_delilah","Held der Verbotenen Insel"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Wächter des Himmelstempels"
"heroes.name_fancy.holy_god_devana","Eigenwillige Jägerin"
"heroes.name_fancy.holy_god_drake_lee","Meister der Kampfkünste"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Gelassener Kämpfer"
"heroes.name_fancy.holy_god_faeona","Elfen-Weißmagier"
"heroes.name_fancy.holy_god_gilda","Zwergische Hüterin des Lichts"
"heroes.name_fancy.holy_god_gilligan","Quichotischer Abenteurer"
"heroes.name_fancy.holy_god_hanitra","Göttin von Lemuria"
"heroes.name_fancy.holy_god_ithar","Virtuoser Fassadenkletterer"
"heroes.name_fancy.holy_god_kara","Geheiligter Verteidiger"
"heroes.name_fancy.holy_god_malosi","Herrschender Champion"
"heroes.name_fancy.holy_god_may","Die glückliche Ernterin"
"heroes.name_fancy.holy_god_musashi","Unbesiegbarer Ronin"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Entfesselungskünstler"
"heroes.name_fancy.holy_god_neith","Wegeöffner"
"heroes.name_fancy.holy_god_onatel","Blinde Seherin"
"heroes.name_fancy.holy_god_ranvir","Holy Centaur"
"heroes.name_fancy.holy_god_uraeus","Arkaner Wesir"
"heroes.name_fancy.holy_god_zora","Ritterin der Rose"
"heroes.name_fancy.ice_god_alexandrine","Schild gegen Ungerechtigkeit"
"heroes.name_fancy.ice_god_areax","Zentauren-Eismagier"
"heroes.name_fancy.ice_god_athena","Himmelswesen des Eises"
"heroes.name_fancy.ice_god_athena_costume_cute","Toon-Himmelswesen des Eises"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Kriegsgöttin"
"heroes.name_fancy.ice_god_balur","Wilder Gladiator"
"heroes.name_fancy.ice_god_callum","Unerbittlicher Verfolger"
"heroes.name_fancy.ice_god_claeg","Fluchberührter Heiler"
"heroes.name_fancy.ice_god_dvalin","Beherrscher des Eises"
"heroes.name_fancy.ice_god_eskimo","Jägerin der Eisriesen"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Eisberg-Champion"
"heroes.name_fancy.ice_god_frida","Arktische Bedrohung"
"heroes.name_fancy.ice_god_frosth","Winterbringer"
"heroes.name_fancy.ice_god_glenda","Magische Patin"
"heroes.name_fancy.ice_god_iris","Meister im Entfernen"
"heroes.name_fancy.ice_god_klaern","Reifzauberer"
"heroes.name_fancy.ice_god_mene","Feenkönigin der Nacht"
"heroes.name_fancy.ice_god_miki","Mörder der Frostbestien"
"heroes.name_fancy.ice_god_nerasis","Der leise Tod"
"heroes.name_fancy.ice_god_october","Eisiger Highlander"
"heroes.name_fancy.ice_god_october_costume_farmer","Eisiger Farmer"
"heroes.name_fancy.ice_god_perseus","Sohn von Zeus"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Herausforderer von Boreas"
"heroes.name_fancy.ice_god_raffaele","Ruhiger Magier"
"heroes.name_fancy.ice_god_sini","Die Azurblaue Beschwörerin"
"heroes.name_fancy.ice_god_suzuna","Zauber-Fashionista"
"heroes.name_fancy.ice_god_vela","Aquatischer Zauberkünstler"
"heroes.name_fancy.institute_ellery","Anomale Biologin"
"heroes.name_fancy.institute_emilie","Erforscherin der Grenzlande"
"heroes.name_fancy.institute_piper","Neugierige Söldnerin"
"heroes.name_fancy.institute_professor_morryster","Der maskierte Gelehrte"
"heroes.name_fancy.institute_ryleh","Archivassistentin"
"heroes.name_fancy.institute_wilcox","Physiker-Ass"
"heroes.name_fancy.journey_change","Vom Mondlicht auserwählt"
"heroes.name_fancy.journey_erlang_shen","Kriegergott des Himmels"
"heroes.name_fancy.journey_general_yin","Gestaltwandelnder Dämonengeneral"
"heroes.name_fancy.journey_heifeng_guai","Schwarzwind-Dämon"
"heroes.name_fancy.journey_nineheaded_beast","Neunköpfiger Prinzgemahl"
"heroes.name_fancy.journey_queen_guowang","Beispiellose Schönheit"
"heroes.name_fancy.journey_sha_wujing","Sandmönch"
"heroes.name_fancy.journey_tang_sanzang","Großes Geheimnis des Flusses"
"heroes.name_fancy.journey_xie_zi_jing","Skorpion-Dämonin"
"heroes.name_fancy.journey_xiong_shanjun","Bärenbergfürst"
"heroes.name_fancy.journey_xiwangmu","Die Königin Mutter"
"heroes.name_fancy.kalevala_aino","Sommerjungfrau"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Seejungfrau"
"heroes.name_fancy.kalevala_iku_turso","Bestie der Tiefen"
"heroes.name_fancy.kalevala_ilmarinen","Schmiedeprofi"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Erfahrener Handwerker"
"heroes.name_fancy.kalevala_joukahainen","Wilder Jäger"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Gefrorener Jäger"
"heroes.name_fancy.kalevala_kullervo","Rachsüchtiger Sohn"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Vom Kampf gezeichneter Sohn"
"heroes.name_fancy.kalevala_lemminkainen","Unsterblicher Champion"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Verblassender Champion"
"heroes.name_fancy.kalevala_louhi","Hexe des Nordens"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Herrin des Nordens"
"heroes.name_fancy.kalevala_mielikki","Geist des Waldes"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Beschützer der Bären"
"heroes.name_fancy.kalevala_mother_lemminkainen","Retterin der Champions"
"heroes.name_fancy.kalevala_otso","Wanderer der Steppe"
"heroes.name_fancy.kalevala_para","Hausvertrauter"
"heroes.name_fancy.kalevala_suomuhauki","Ungeschlachter Hecht"
"heroes.name_fancy.kalevala_ukkonen","Verfluchte Familie von Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Teuflische Familie von Väinämöinen"
"heroes.name_fancy.kalevala_vainamoinen","Ewiger Barde"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Ewiger Weiser"
"heroes.name_fancy.kingdom_cao_cao","Wei-Warlord"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Kriegsherr des Eises"
"heroes.name_fancy.kingdom_diaochan","Herrliche Schönheit"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Blühende Schönheit"
"heroes.name_fancy.kingdom_guan_yu","Kühner General"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Höllengeneral"
"heroes.name_fancy.kingdom_jing","Shu-Fußsoldat"
"heroes.name_fancy.kingdom_li","Wu-Fußsoldat"
"heroes.name_fancy.kingdom_liu_bei","Shu-Warlord"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Kriegsherr des Waldes"
"heroes.name_fancy.kingdom_lu_bu","Zorniger Warlord"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Zorniger Tiger-Warlord"
"heroes.name_fancy.kingdom_sun_quan","Wu-Warlord"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Kriegsherr des Glücks"
"heroes.name_fancy.kingdom_sun_shangxiang","Edler Krieger"
"heroes.name_fancy.kingdom_wang_yuanji","Sanfte Adlige"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Sanfte Kalligrafiekünstlerin"
"heroes.name_fancy.kingdom_xiahou_dun","Einäugiger Kommandant"
"heroes.name_fancy.kingdom_yao","Wei-Fußsoldat"
"heroes.name_fancy.kingdom_zhang_fei","Gnadenloser General"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Gnadenloser Bärengeneral"
"heroes.name_fancy.kingdom_zhou_yu","Junger Kommandant"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Rabenkommandant"
"heroes.name_fancy.kingdom_zhuge_liang","Meisterstratege"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Überragender Stratege"
"heroes.name_fancy.knights_bauchan","Zwerg von Avalon"
"heroes.name_fancy.knights_black_knight","Schrecken von Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Negativer Ritter"
"heroes.name_fancy.knights_gawain","Azurblauer Ritter"
"heroes.name_fancy.knights_green_knight","Herausforderer von Avalon"
"heroes.name_fancy.knights_guinevere","Königin von Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Drachenreiterin von Avalon"
"heroes.name_fancy.knights_king_arthur","König von Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Avalon-Hexerin"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Herrin der Klingen"
"heroes.name_fancy.knights_merlin","Avalon-Hexer"
"heroes.name_fancy.knights_merlin_costume_astrology","Astromant von Avalon"
"heroes.name_fancy.knights_morgan_le_fay","Avalon-Zauberin"
"heroes.name_fancy.knights_sir_lancelot","Avalon-Ritter"
"heroes.name_fancy.knights_treevil","Das Böse von Avalon"
"heroes.name_fancy.lionman_barbarian","Der Letzte der Leoren"
"heroes.name_fancy.lionman_barbarian_costume_armor","König der Leoren"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Babysitter der Leoren"
"heroes.name_fancy.lionman_barbarian_costume_cute","Toon-Leor"
"heroes.name_fancy.lionman_barbarian_costume_glass","Glas-Leor"
"heroes.name_fancy.lionman_barbarian_costume_stylish","Stilvoller Leor"
"heroes.name_fancy.lizardman_trapper","Echsenmenschenhäuptling"
"heroes.name_fancy.lizardman_trapper_costume_cute","Toonhäuptling"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Echsenmenschenfischer"
"heroes.name_fancy.lizardman_trapper_costume_glass","Glas-Häuptling"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Echsenmenschenältester"
"heroes.name_fancy.lizardman_warrior","Echsenmenschenkämpfer"
"heroes.name_fancy.lizardman_warrior_costume_cute","Toon-Kämpfer"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Echsenmenschenahn"
"heroes.name_fancy.lizardman_warrior_costume_glass","Gläserner Kämpfer"
"heroes.name_fancy.lunar_new_year_baishu","Mondakrobaten-Ratte"
"heroes.name_fancy.lunar_new_year_gongniu","Mondwache Ochse"
"heroes.name_fancy.lunar_new_year_laohu","Mondschläger Tiger"
"heroes.name_fancy.lunar_new_year_qinglong","Mondstratege Drache"
"heroes.name_fancy.lunar_new_year_xiaoqing","Mondmusiker-Schlange"
"heroes.name_fancy.lunar_new_year_xiaotu","Mondbeschützer Hase"
"heroes.name_fancy.magic_agrafena","Höchste Leiterin"
"heroes.name_fancy.magic_agrafena_costume_dark","Oberste Dunkle Magierin"
"heroes.name_fancy.magic_anastasia","Beschwörungslehrling"
"heroes.name_fancy.magic_anton","Junger Gelehrter"
"heroes.name_fancy.magic_becky","Sternenlichtbeschwörer"
"heroes.name_fancy.magic_becky_costume_gothic","Zwielichtbeschwörerin"
"heroes.name_fancy.magic_camilla","Arkaner Tüftler"
"heroes.name_fancy.magic_camilla_costume_flower","Blumenbastlerin"
"heroes.name_fancy.magic_carpet_agadh","Zauberteppich-Assassine"
"heroes.name_fancy.magic_carpet_amelia","Magische Pilotin"
"heroes.name_fancy.magic_carpet_bart","Zauberteppich-Raser"
"heroes.name_fancy.magic_carpet_bertha","Zauberteppichmacherin"
"heroes.name_fancy.magic_carpet_crustee","Genie des Zauberlabors"
"heroes.name_fancy.magic_carpet_elyssa","Zauberteppich-Gourmand"
"heroes.name_fancy.magic_carpet_jwala","Lavamagiemädchen"
"heroes.name_fancy.magic_carpet_kesha","Zauberin von Al-Layl"
"heroes.name_fancy.magic_carpet_lando","Zauberteppich-Charmeur"
"heroes.name_fancy.magic_carpet_lilli","Zauberteppich-Katzenlady"
