"specials.name.a_cozy_break","心地よきひと休憩"
"specials.name.dragon_breath_of_compassion","同情の吐息"
"specials.name.dragon_breath_of_nourishment","滋養の吐息"
"specials.name.dragon_breath_of_retribution","報復の吐息"
"specials.name.dragon_breath_of_revival","蘇生の吐息"
"specials.name.dragon_cauterizing_blaze","焼けつく火炎"
"specials.name.dragon_charring_blaze","焦土の火炎"
"specials.name.dragon_claws","ドラゴンクロウ"
"specials.name.dragon_cleansing_flame","浄化の炎"
"specials.name.dragon_corrosive_blaze","腐食の火炎"
"specials.name.dragon_cracking_blaze","列断の火炎"
"specials.name.dragon_crackling_blaze_smoldercoil","列断の火炎"
"specials.name.dragon_crashing_blaze","衝突の火炎"
"specials.name.dragon_crippling_blaze","無力化の火炎"
"specials.name.dragon_crippling_blaze_belzaas","無力化の火炎"
"specials.name.dragon_crushing_blaze","粉砕の火炎"
"specials.name.dragon_dampening_blaze","減衰の火炎"
"specials.name.dragon_dazing_blaze","陶酔の火炎"
"specials.name.dragon_delivery_service","ドラゴン配達サービス"
"specials.name.dragon_destabilizing_blaze","攪乱の火炎"
"specials.name.dragon_devastating_blaze","荒廃の火炎"
"specials.name.dragon_disarming_blaze","無邪気なる火炎"
"specials.name.dragon_draining_blaze","排出の火炎"
"specials.name.dragon_empowering_breath","エンパワーブレス"
"specials.name.dragon_esoteric_flame","秘技の炎"
"specials.name.dragon_fang","竜牙"
"specials.name.dragon_fiery_blaze","激烈なる火炎"
"specials.name.dragon_flames_of_acceleration","加速の炎"
"specials.name.dragon_fortifying_flame","増強の炎"
"specials.name.dragon_inspirational_breath","鼓舞のブレス"
"specials.name.dragon_mana_infused_breath","マナ注入ブレス"
"specials.name.dragon_mindless_blaze","心なき火炎"
"specials.name.dragon_novices_blaze","未熟者の火炎"
"specials.name.dragon_pacifying_breath","鎮静のブレス"
"specials.name.dragon_protective_breath","保護のブレス"
"specials.name.dragon_rallying_breath","団結のブレス"
"specials.name.dragon_rallying_breath_trezoro","団結のブレス"
"specials.name.dragon_resuscitating_breath","蘇生のブレス"
"specials.name.dragon_revitalizing_breath","活力のブレス"
"specials.name.dragon_sacred_flame","聖なる炎"
"specials.name.dragon_sacred_flame_harmonis","聖なる炎"
"specials.name.dragon_searing_blaze","焼け付きの火炎"
"specials.name.dragon_shielding_breath","盾の息吹"
"specials.name.dragon_shocking_blaze","衝撃の火炎"
"specials.name.dragon_spring_breath","春の息吹"
"specials.name.dragon_spring_breath_erudius","春の息吹"
"specials.name.dragon_strengthening_flame","強化の炎"
"specials.name.dragon_summer_blaze","夏の火炎"
"specials.name.dragon_volcanic_blaze","火山の火炎"
"specials.name.dragon_weakening_blaze","弱体化の火炎"
"specials.name.dragon_weakening_blaze_ashenheart","弱体化の火炎"
"specials.name.dragon_weakening_blaze_gonthrox","弱体化の火炎"
"specials.name.dragon_wounding_blaze","創傷の火炎"
"specials.name.dragon_wounding_blaze_ceestraze","創傷の火炎"
"specials.name.dragon_wounding_blaze_talonshine","創傷の火炎"
"specials.name.dragon_wrecking_blaze","大破の火炎"
"specials.name.dragon_wrecking_blaze_rangifer","大破の火炎"
"specials.name.drain_strike","ドレインストライク"
"specials.name.draining_blade","障害のあるブレード"
"specials.name.drawn_to_the_depths","深淵への魅惑"
"specials.name.dread_hammer","恐怖の鉄槌"
"specials.name.dreaded_swords","恐怖の剣"
"specials.name.dreaded_waters","ドレッド ウォーター"
"specials.name.dreadful_riddle","恐怖の謎かけ"
"specials.name.dreadstrike","ドレッドストライク"
"specials.name.dreams_of_nourishment","滋養の夢"
"specials.name.dress_up","ドレスアップ！"
"specials.name.drowsy_bolt","眠りの雷"
"specials.name.drum_chain","イプヘケのドラムチェイン"
"specials.name.dual_axes","デュアルアックス"
"specials.name.dual_blades","デュアル・ブレード"
"specials.name.dual_data_blades","デュアルデータ・ブレード"
"specials.name.dual_laser_blades","デュアルレーザー・ブレード"
"specials.name.dual_slash","デュアルスラッシュ"
"specials.name.dual_sting","デュアルスティング"
"specials.name.dubious_cuisine","怪しげな料理"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","台所での大惨事"
"specials.name.dubious_cuisine_exquisite_food","極上の料理"
"specials.name.dubious_cuisine_rotten_food","腐った食べ物"
"specials.name.dubious_merchandise","疑わしい商品"
"specials.name.dubious_mixture","怪しい混合物"
"specials.name.dum_and_dee","ダム・アンド・ディー"
"specials.name.dusk_dust","夕闇ダスト"
"specials.name.dusk_till_dawn","夕闇から暁まで"
"specials.name.dust_to_dust","灰は灰に"
"specials.name.dwarven_flourish","ドワーフの繁栄"
"specials.name.dwarven_kings_levy","ドワーフ王の徴税"
"specials.name.dwarven_recharge","ドワーフの再突撃"
"specials.name.easy_breezy_aura","余裕のオーラ"
"specials.name.echoes_of_ice","氷のこだま"
"specials.name.echoes_of_pain","苦痛の響き"
"specials.name.echoes_of_the_opera","オペラの響き"
"specials.name.eclipse_shield","エクリプスシールド"
"specials.name.eclipse_spear","エクリプススピア"
"specials.name.educated_exorcism","エリート・エクソシスト"
"specials.name.egg_barrage","エッグバラージ"
"specials.name.elders_remedy","長老薬"
"specials.name.eldritch_blight","エルドリッチの荒廃"
"specials.name.eldritch_sign_bolts","エルドリッチの兆しのボルト"
"specials.name.electric_cut","電気カット"
"specials.name.electric_dragonfire","エレクトリック・ファイヤードラゴン"
"specials.name.electric_jolt","エレクトジョルト"
"specials.name.electric_stab","エレクト スタブ"
"specials.name.electric_sting_dragon_pve","エレクトリック・スティング"
"specials.name.electrified_claws","電撃の爪"
"specials.name.electrified_claws_ultimate_boss","電撃の爪"
"specials.name.electrifying_gust_dragon_pve","電撃の突風"
"specials.name.elegant_pulverizer","優雅なる粉砕"
"specials.name.elemental_corruption","エレメンタル崩壊"
"specials.name.elemental_infusion_arrow","属性注入の弓矢"
"specials.name.elemental_infusion_arrow_pve","属性注入の弓矢"
"specials.name.elemental_magic","エレメントマジック"
"specials.name.emboldened_strike","勇敢な一撃"
"specials.name.emerald_dual_blade","エメラルドの双剣"
"specials.name.emerald_flash","エメラルドフラッシュ"
"specials.name.emerald_tide","エメラルドの潮流"
"specials.name.emerald_wind","エメラルドの風"
"specials.name.empowered_slash","エンパワースラッシュ"
"specials.name.empowering_bash","エンパワーバッシュ"
"specials.name.empowering_bash_deadly","エンパワーバッシュ"
"specials.name.en_garde","エンガルド"
"specials.name.enchanted_antlers","エンチャントアントラー"
"specials.name.enchanted_axe_swing","魔法の斧の一振り"
"specials.name.enchanted_edge","エンチャントエッジ"
"specials.name.enchanted_elven_sword","魔法のエルフの剣"
"specials.name.enchanted_symphony","魔法の交響曲"
"specials.name.enchanting_divination","魔法の占い"
"specials.name.enchanting_melody","魔法のメロディ"
"specials.name.endless_daggers","終わりなき短剣"
"specials.name.endless_maze","終わりなき迷路"
"specials.name.energy_conjunction","エネルギー結合"
"specials.name.energy_of_mjolnir","ミョルニルのエネルギー"
"specials.name.energy_steal_dragon_pve","エネルギースティール"
"specials.name.engulfing_candlelight","貪食のロウソク灯"
"specials.name.entangling_shot","エンタングルショット"
"specials.name.entrapping_enchantment","魔法の罠"
"specials.name.erase_strength","消去の強さ"
"specials.name.erupting_slices","噴出の断片"
"specials.name.esprit_de_corps","団結心"
"specials.name.essence_of_queen_nitocris","女王ニトクリスのエッセンス"
"specials.name.eternal_bond","永遠の絆"
"specials.name.eternal_ishq","永遠の愛（イシュク）"
"specials.name.eternal_loyalty","永遠の忠誠"
"specials.name.eternal_servitude","永遠の隷属"
"specials.name.ethereal","ゴースト"
"specials.name.evading_dash","回避ダッシュ"
"specials.name.everlasting_wound","エヴァーラストワウンド"
"specials.name.excalibur","エクスカリバー"
"specials.name.excorcizing_arrow","厄払いの弓矢"
"specials.name.explosive_goo_minions","ミニオン吟味"
"specials.name.explosive_o_lantern","爆発するオー・ランタン"
"specials.name.express_delivery","速達便"
"specials.name.exquisite_alchemy","優美な錬金術"
"specials.name.exquisite_victuals","優雅なる食事"
"specials.name.exquisite_victuals_pve_advanced","優雅なる食事"
"specials.name.exquisite_victuals_pve_normal","優雅なる食事"
"specials.name.eye_of_panther","パンサーアイ"
"specials.name.eye_of_the_storm","嵐の目"
"specials.name.eye_of_yog-sir","ヨグサーの目"
"specials.name.fabled_fist","寓話の拳"
"specials.name.fabled_llama_ballad","伝説のラマの物語"
"specials.name.fairy_godmothers_blessing","妖精教母の祝福"
"specials.name.faithful_force","確かな力"
"specials.name.falcon_screech","ハヤブサの金切り声"
"specials.name.false_treat","虚偽のもてなし"
"specials.name.familiar_eater","ミニオンイーター"
"specials.name.familiar_witchcraft","使い魔の魔力"
"specials.name.fangs_and_blades","牙と刃"
"specials.name.fangs_of_death","苦悶の牙"
"specials.name.fatal_dreams","致死の夢"
"specials.name.fatal_finisher","致死のとどめの一撃"
"specials.name.fearless_charge","怖れなき突撃"
"specials.name.feather_tempest","羽嵐"
"specials.name.feline_constellation","ネコ星座"
"specials.name.feral_arrows","野猫の矢"
"specials.name.feral_bite","野生バイト"
"specials.name.feral_gust_dragon_pve","野生の突風"
"specials.name.feral_peck","ワイルド ペック"
"specials.name.feral_revenge","野生リベンジ"
"specials.name.feral_swing","野生の一振り"
"specials.name.feyfire_slash","フェイファイヤーの切りつけ"
"specials.name.field_aid","回復(弱)"
"specials.name.field_surgery","回復(強)"
"specials.name.fiendslayer","鬼斬の騎士"
"specials.name.fierce_fu_jow_pai","獰猛なる黒虎門"
"specials.name.fierce_pierce","激烈なる貫き"
"specials.name.fierce_slash","フィアースラッシュ"
"specials.name.fiery_charge","炎の突撃"
"specials.name.fiery_performance","炎の演舞"
"specials.name.fiery_revenge","烈火の復讐"
"specials.name.fire_barrier_dragon_pve","ファイヤーバリア"
"specials.name.fire_bolt_zidane","ファイヤーボルト"
"specials.name.fire_storm","ファイヤーストーム"
"specials.name.fire_tiger","ファイヤータイガー"
"specials.name.fireball","ファイヤーボール"
"specials.name.fireball_single","ファイヤーボール"
"specials.name.fireblade_slash","炎刃スラッシュ"
"specials.name.fires_of_ragnarok","ラグナロクの炎"
"specials.name.fires_of_ragnarok_final","ラグナロクの炎"
"specials.name.firestone_daggers","炎の短剣"
"specials.name.firewall","ファイヤーウォール"
"specials.name.firing_on_all_cylinders","全力発揮"
"specials.name.first_frost","初霜"
"specials.name.first_law_of_thermodynamics","熱力学第1法則"
"specials.name.fishbone_blades","フィッシュボーンの刃"
"specials.name.fists_of_atonement","償いの拳"
"specials.name.flail_of_destruction","滅亡のフレイル"
"specials.name.flail_swing","フレイルスイング"
"specials.name.flails_of_fury","怒りの鉄槌！"
"specials.name.flame_of_the_dragon_familiar","ドラゴンの使い魔の炎"
"specials.name.flame_of_the_lioness","メスライオンの炎"
"specials.name.flame_storm","炎の嵐"
"specials.name.flame_surge","炎の波"
"specials.name.flames_and_rejuvenation","炎と再生"
"specials.name.flames_and_rejuvenation_pve","炎と再生"
"specials.name.flames_of_revenge","リベンジの炎"
"specials.name.flaming_fury","燃え盛る怒り"
"specials.name.flaming_grudge","炎の悪意"
"specials.name.flaming_mandibles","燃え立つ下あご"
"specials.name.flaming_rapier","炎のレイピア"
"specials.name.flaming_rapier_pve","炎のレイピア"
"specials.name.flaming_sword","炎の剣"
"specials.name.flanking_maneuver","フランクリン・マヌーバ"
"specials.name.flanking_maneuver_pve","フランクリン・マヌーバ"
"specials.name.flare","ファイヤーブレス"
"specials.name.flat_cake_for_sweethearts","恋人へのフラットケーキ"
"specials.name.flat_cake_for_sweethearts_pve","恋人へのフラットケーキ"
"specials.name.flawless_shot","フローレス・ショット"
"specials.name.flock_of_folly_eldwren","愚かな群れ"
"specials.name.floral_sting","花の一刺し"
"specials.name.flower_arrangements","花飾り"
"specials.name.flower_of_kindness","優しい花々"
"specials.name.fluff_in_the_air","漂う綿毛"
"specials.name.flurry_of_blows","疾風の一撃"
"specials.name.flurry_of_slashes","疾風の斬撃"
"specials.name.flurry_of_slashes_deadly","疾風の斬撃"
"specials.name.flute_of_enchantment","魅惑のフルート"
"specials.name.focused_shot","フォーカスショット"
"specials.name.fog_machine","フォグ・スモーク"
"specials.name.fog_of_the_fallen","失墜の霧"
"specials.name.fog_of_the_glass_sabina","ヴィトレイルの霧"
"specials.name.fog_of_the_perished","消滅の霧"
"specials.name.fog_of_the_toons","アニメ風の霧"
"specials.name.fog_of_the_vitrails","ヴィトレイルの霧"
"specials.name.for_queen_and_hollow","女王とホローのために"
"specials.name.force_of_forest","森緑の力"
"specials.name.forceful_advance","力強き前進"
"specials.name.forest_breath","フォレストブレス"
"specials.name.forest_command","森の厳命"
"specials.name.forest_friends","森のお友達"
"specials.name.forge_rush","フォージラッシュ"
"specials.name.forged_axe_of_light","鍛えられた光の斧"
"specials.name.forged_from_gold","黄金造り"
"specials.name.forged_in_fire","フォージ ファイアー"
"specials.name.fortunate_slice","幸運のひと切り"
"specials.name.fracturing_cut","断骨の切断"
"specials.name.fracturing_shards","破砕のかけら"
"specials.name.fracturing_slash","破砕の一撃"
"specials.name.freezing_cold_cutter","凍冷カッター"
"specials.name.freezing_crystal","凍結の結晶"
"specials.name.freezing_fairy_mist","凍結の妖精の粉"
"specials.name.freezing_power_hooks","凍結の強力フック"
"specials.name.frenzied_rend","狂乱の引き裂き"
"specials.name.frenzy_plant","フレンジープラント"
"specials.name.friendly_critters_feast","友好的なものたちの宴"
"specials.name.frightening_pinch","アトランティスの槍"
"specials.name.frightstrike","恐怖の一撃"
"specials.name.frogs_and_hoop","跳ねるカエル"
"specials.name.from_shadows","暗闇を抜けて"
"specials.name.from_shadows_pve","暗闇を抜けて"
"specials.name.frost_and_rime","フロスト・アンド・ライム"
"specials.name.frost_bound_blade","フロストバウンド ブレード"
"specials.name.frostbite","フロストバイト"
"specials.name.frostbolt_dragon_pve","フロストボルト"
"specials.name.frostbound_smash","凍結スマッシュ"
"specials.name.frostneedle","フロストニードル"
"specials.name.frosty_axes","フロストアックス"
"specials.name.frosty_punches","凍てつくパンチ"
"specials.name.frozen_orb","凍結のオーブ"
"specials.name.frozen_path","河の試練"
"specials.name.frozen_wind","凍てつく風"
"specials.name.frozen_wind_pve","凍てつく風"
"specials.name.fruit_cocktail","フルーツカクテル"
"specials.name.fruits_of_labor","ニンニクまみれ"
"specials.name.fullmetal_pelt","フルメタルの強打"
"specials.name.furious_bite","フュリオスバイト"
"specials.name.furious_boar","フュリアス ボア"
"specials.name.furious_flames","憤怒の炎"
"specials.name.furry_loggers_swing","毛深い木こりのスイング"
"specials.name.fury_of_ash","トネリコの怒り"
"specials.name.fury_of_grimnir","グリームニルの怒り"
"specials.name.fury_of_the_ancient_forest","古代の森の怒り"
"specials.name.fury_of_the_fire_giants","炎巨人の怒り"
"specials.name.fury_of_the_fire_giants_final","炎巨人の怒り"
"specials.name.fury_of_the_mountain_lord","山の主の怒り"
"specials.name.fury_of_the_silverback","シルバーバックの怒り"
"specials.name.gallant_stance","礼儀正しいスタンス"
"specials.name.gamblers_stance","勝負師のスタンス"
"specials.name.gamblers_swing","ギャンブラーの一振り"
"specials.name.garbage_shock_wave","ゴミの衝撃波"
"specials.name.gardeners_remedy","庭師の治療"
"specials.name.gargantuan_bite","ガルガンチュアバイト"
"specials.name.gargoyles_of_redemption","ガーゴイルの救済"
"specials.name.gargoyles_of_redemption_pve","ガーゴイルの救済"
"specials.name.gargoyles_of_restoration","回復のガーゴイル"
"specials.name.garlic_serving_edwin","ニンニク盛り合わせ"
"specials.name.generous_gifts","寛大な贈物"
"specials.name.gentle_paw","ジェントルパウ"
"specials.name.gentlemans_cane","紳士の杖"
"specials.name.gentlemans_transformation","紳士の形質転換"
"specials.name.giddy_jab_dragon_pve","眩暈のジャブ"
"specials.name.gift_list","プレゼントリスト"
"specials.name.gift_of_rejuvenation","若返りの贈り物"
"specials.name.gift_of_rock","ロックの贈り物"
"specials.name.giftsack","ギフトサック"
"specials.name.gilded_antlers","黄金の枝角"
"specials.name.glacial_atmosphere","氷河の大気"
"specials.name.glacial_crusher","氷河粉砕"
"specials.name.glacial_explosion","氷河爆発"
"specials.name.glacial_fissure_cleave","氷河裂クリーブ"
"specials.name.glacial_resilience","氷河の反発"
"specials.name.glacial_shatter","アイスシャッター"
"specials.name.glacial_vortex","渦巻く氷河"
"specials.name.glaive_of_flames","炎の剣"
"specials.name.glass_anger_of_forest_horghall","かけらの怒り"
"specials.name.glass_arrow","ガラスの矢"
"specials.name.glass_barrage_scarlett","ガラスの斉射"
"specials.name.glass_beam","ガラスビーム"
"specials.name.glass_bite","ガラスの噛みつき"
"specials.name.glass_bolt","ガラスのボルト"
"specials.name.glass_brew","ガラスブリュー"
"specials.name.glass_burning_strike","ガラスの一撃"
"specials.name.glass_chop","ガラスチョップ"
"specials.name.glass_cleave","ガラスクリーブ"
"specials.name.glass_cold_blast_ulmer","ガラス・ブリザード"
"specials.name.glass_cut","ガラスカット"
"specials.name.glass_cut_chao","ヴィトレイルカット"
"specials.name.glass_entangling_shot","ガラスの矢"
"specials.name.glass_finisher_thorne","ガラス・フィニッシャー"
"specials.name.glass_fireball","ガラスのファイヤーボール"
"specials.name.glass_flame_smash","ガラスの火炎スマッシュ"
"specials.name.glass_four_blades","ガラス刃の斬撃"
"specials.name.glass_fury","ガラスの怒り"
"specials.name.glass_gamblers_stance","ガラスのスタンス"
"specials.name.glass_hammer","ガラスハンマー"
"specials.name.glass_have_faith","清らかな信仰"
"specials.name.glass_heal","ガラスの回復"
"specials.name.glass_jolt","ガラスボルト"
"specials.name.glass_kick","ガラスの足蹴り"
"specials.name.glass_leaping_attack_dawa","ガラス・アタック"
"specials.name.glass_leeching_stars_renfeld","ガラス・スターズ"
"specials.name.glass_link","ガラスリンク"
"specials.name.glass_massive_chop","ガラスチョップ"
"specials.name.glass_mist","ガラスの霧"
"specials.name.glass_order","ヴィトレイルの命"
"specials.name.glass_peck","ガラスのくちばし"
"specials.name.glass_piercing_hit_tyrum","ガラス・ヒット"
"specials.name.glass_piercing_strike","ガラスの一撃"
"specials.name.glass_prayer","ガラスの祈り"
"specials.name.glass_pulverizer","ガラスのパルヴェライザー"
"specials.name.glass_pulverizer_tiburtus","ガラスのパルヴェライザー"
"specials.name.glass_purification","ガラス化"
"specials.name.glass_ramming_rush","ガラスラッシュ"
"specials.name.glass_ramming_rush_isshtak","ガラスラッシュ"
"specials.name.glass_riposte","ガラスの反撃"
"specials.name.glass_riposte_boril","ガラスの反撃"
"specials.name.glass_shatter","ガラスの粉砕"
"specials.name.glass_shield_kadilen","ガラス・シールド"
"specials.name.glass_skin","ガラスの肌"
"specials.name.glass_slam","ガラスの打撃"
"specials.name.glass_slash","ガラスの斬撃"
"specials.name.glass_spear","ガラスの槍"
"specials.name.glass_stab","ガラスの刃"
"specials.name.glass_stone_skin_gunnar","ガラスリンク"
"specials.name.glass_strike","ガラスの一撃"
"specials.name.glass_strike_caedmon","ガラスの一撃"
"specials.name.glass_strike_magni","ガラスの一撃"
"specials.name.glass_swords","ガラスの壁"
"specials.name.glass_thunderstrike_quintus","ガラス・アルティメイタム"
"specials.name.glass_traps_oberon","ガラスの罠"
"specials.name.glass_vines","ガラスヴァイン"
"specials.name.glass_volcano","ガラスの火山"
"specials.name.glass_wall","ガラスの壁"
"specials.name.glass_warcry","ガラスのウォークライ"
"specials.name.gleaming_gemstones","輝く宝石"
"specials.name.gleaming_sword_and_iron_mail","輝く剣と鉄の鎖かたびら"
"specials.name.glittering_sweep_dragon_pve","キラキラスイープ"
"specials.name.gloom_grenades","陰鬱の手投げ弾"
"specials.name.gloomy_tune","憂鬱なる調べ"
"specials.name.glorious_grace","栄光の恩寵"
"specials.name.glutinous_execution","ネバネバの処刑"
"specials.name.gnomish_carnage","ノームカーネイジ"
"specials.name.goat_rush","ゴートラッシュ"
"specials.name.goblin_explosives","ゴブリンの爆発"
"specials.name.goblin_serenade","ゴブリンののセレナーデ"
"specials.name.god_of_the_underworld","ネザーワールドストライ"
"specials.name.gold_gauntlet","金のガントレット"
"specials.name.gold_rush","ゴールドラッシュ"
"specials.name.gold_weaver","黄金の織り手"
"specials.name.golden_aura","黄金のオーラ"
"specials.name.golden_cicada","金のセミ"
"specials.name.golden_sacred_symbol","聖なる黄金のしるし"
"specials.name.golden_thread","黄金の糸"
"specials.name.golem_crusher","ゴーレム粉砕"
"specials.name.goodnight_lullaby","おやすみの子守唄"
"specials.name.gooey_rose","ネバネバのバラ"
"specials.name.gorging_bite_yellow","暴食の噛みつき"
"specials.name.gorging_chew_blue","暴食のひと噛み"
"specials.name.gorging_chew_green","暴食のひと噛み"
"specials.name.gorging_chew_purple","暴食のひと噛み"
"specials.name.gorging_chew_red","暴食のひと噛み"
"specials.name.gorging_chew_yellow","暴食のひと噛み"
"specials.name.gorgyra","ヴァルキリーの試練"
"specials.name.grab_and_run","窃盗"
"specials.name.graceful_shot","優雅な射撃"
"specials.name.graceless_ritual","不快儀礼"
"specials.name.grand_heist","華やかな強奪"
"specials.name.great_frost_axe","凍てつく斧"
"specials.name.great_frost_hoe","凍てつく鍬"
"specials.name.greed_and_bribery","貪欲と賄賂"
"specials.name.greedy_munch_red","貪欲なむさぼり"
"specials.name.green_dragon_crescent_blade","青龍半月刀"
"specials.name.green_dragon_inferno","緑竜の地獄の刃"
"specials.name.green_sparks_dragon_pve","緑の閃光"
"specials.name.greeting_of_the_sun","太陽の歓迎"
"specials.name.grim_awakening","不気味なる覚醒"
"specials.name.grimoire_skim","グリモアスキム"
"specials.name.grips_of_longing","思慕の刃"
"specials.name.grips_of_longing_pve","思慕の刃"
"specials.name.grove_splash_dragon_pve","グローブスプラッシュ"
"specials.name.gruesome_charge","陰惨な一撃"
"specials.name.guard_the_garden","庭園を守れ！"
"specials.name.guardian_armor","守護者の鎧"
"specials.name.guardians_retaliation","ガーディアンの報復"
"specials.name.guarding_tunes","護りの調べ"
"specials.name.guiding_arrow","導きの矢"
"specials.name.gust_of_restoration","修復の突風"
"specials.name.gust_of_swiftness","敏捷の突風"
"specials.name.hack_and_slash","ハック＆スラッシュ"
"specials.name.hacking_attack","ハックアタック"
"specials.name.hailstone_glare_dragon_pve","雹の輝き"
"specials.name.hailstorm","ヘイルストーム"
"specials.name.halflings_wisdom","ハーフリングの知恵"
"specials.name.halflings_wit","ハーフリングの知恵"
"specials.name.hallowed_blade","呪われた刃"
"specials.name.halting_counter_strike","ためらいのカウンター攻撃"
"specials.name.hammer_thump","ハンマーの一撃"
"specials.name.harmonic_bash","ハーモニックバッシュ"
"specials.name.harmonic_slam","ハーモニックスラム"
"specials.name.harpoon_sentry","ハープーン衛兵"
"specials.name.harpy_claw","ハーピークロウ"
"specials.name.harrow_the_heart","心をかき乱す"
"specials.name.hasty_gift_wrapper","あわてんぼうのプレゼント包み"
"specials.name.hasty_trigger_finger","軽率なるトリガーフィンガー"
"specials.name.have_curiosity","ゲインホープ"
"specials.name.have_faith","信仰の賜物"
"specials.name.haze_of_the_deceased","堕ちた者の霞"
"specials.name.head_hurl","ヘッドハラー"
"specials.name.healing_chant","ヒールチャント"
"specials.name.healing_fire_spirits","癒しの火の精霊"
"specials.name.healing_gift","マインドレス・ヒーリング"
"specials.name.healing_gift_anteros","マインドレス・ヒーリング"
"specials.name.healing_gift_kabeiroi","マインドレス・ヒーリング"
"specials.name.healing_mirror","治癒の鏡"
"specials.name.healthiest_catch","ヘルシーキャプチャー"
"specials.name.hearty_stew","熱々シチュー"
"specials.name.heatstinger","ヒートスティンガー"
"specials.name.heavy_fragrance","強い芳香"
"specials.name.heedless_hammer_flurry","型破りなハンマー連打"
"specials.name.heirloom_dagger","伝家の刃"
"specials.name.helping_hands","援助の手"
"specials.name.hemlock_tea","ドクニンジン茶"
"specials.name.herbal_remedies","ハーブの治療薬"
"specials.name.herculean_throw","ヘラクレス投げ"
"specials.name.herd_stampede","大群の殺到"
"specials.name.here_catch","ここだ！受け取れ！"
"specials.name.heretic_slayer","異端者スレイヤー"
"specials.name.heroic_noble","トライデントスロー"
"specials.name.heroic_noble_deadly","トライデントスロー"
"specials.name.herring_blaster","ニシンブラスター"
"specials.name.herring_surprise","ニシンの驚異"
"specials.name.hide_in_shadows","影々隠"
"specials.name.high_altitude_ambush","高度地点からの待ち伏せ"
"specials.name.high_energy_field","高エネルギーフィールド"
"specials.name.high_noon_sun","真昼の太陽"
"specials.name.holding_down_the_fort","砦の防衛"
"specials.name.hollow_boast","ホローボースト"
"specials.name.holy_aura","聖なるオーラ"
"specials.name.holy_guard","聖なる衛兵"
"specials.name.holy_hibiscus_ale","聖なるハイビスカス酒"
"specials.name.holy_mark","聖なるしるし"
"specials.name.holy_splash","聖なるしぶき"
"specials.name.home_run","ホームラン"
"specials.name.horn_attack","アントラーアタック"
"specials.name.horrifying_wail","恐怖の慟哭"
"specials.name.horses_curse","サンドブリーズ"
"specials.name.hoverboard_crash","ホバーボードクラッシュ"
"specials.name.hoverboard_slam","ホバーボード・スラム"
"specials.name.howling_sword","遠吠えの剣"
"specials.name.hues_of_love","愛の色調"
"specials.name.hungering_grave","飢餓の墓場"
"specials.name.hunt_for_prey","獲物狩り"
"specials.name.hunters_instinct","ハンターの本能"
"specials.name.hunters_mark","ハンターのしるし"
"specials.name.hunters_true_shot","ハンターの正確な一撃"
"specials.name.hunting_ballad","狩りのバラード"
"specials.name.hunting_charge","狩りの突撃"
"specials.name.hydra_bite","ヒドラの噛みつき"
"specials.name.hymn_of_enrichment","強化の歌"
"specials.name.hyper_porridge","ハイパーポリッジ"
"specials.name.hyperborean_hook","極北のフック"
"specials.name.hypersonic_tackle","超音速タックル"
"specials.name.hypnosis_dragon_pve","催眠術"
"specials.name.ice_and_slice","アイス&スライス"
"specials.name.ice_boom","アイスブーム"
"specials.name.ice_cold_order","冷酷なる命令"
"specials.name.ice_cream_smash","アイスクリームクラッシュ"
"specials.name.ice_treatment","冷遇"
"specials.name.iceberg_aura","氷山のオーラ"
"specials.name.iceberg_crush","氷山の激突"
"specials.name.iceberg_havoc","氷山の崩壊"
"specials.name.icebound_howl","氷結の遠吠え"
"specials.name.icebound_ritual","氷の儀式"
"specials.name.icecold_finisher","冷徹の一撃"
"specials.name.icehammer_smash","氷縋スマッシュ"
"specials.name.iceshatter","氷砕"
"specials.name.icy_axes","氷の斧"
"specials.name.icy_mandibles","氷の下あご"
"specials.name.icy_resilience","アイスレジリアンス"
"specials.name.ill_bring_you_back","奪還の誓い"
"specials.name.ill_fated_experiment","実験失敗"
"specials.name.imaginary_increments","架空の増分"
"specials.name.immortal_annihilator","イモータルアニヒレーター"
"specials.name.immortal_annihilator_deadly","イモータルアニヒレーター"
"specials.name.immortal_punisher","神の裁き"
"specials.name.impairing_strike","インペアリング ストライク"
"specials.name.impale_and_devour","突き刺して喰らう"
"specials.name.impeccable_charge","隙のない突進"
"specials.name.impeding_bolts","インピード・ボルト"
"specials.name.impervious_formation","不通隊形"
"specials.name.impossible_groove","最高のビート"
"specials.name.impossible_riddle","永遠の謎"
"specials.name.incite_ki","扇動する気"
"specials.name.incite_ki2","扇動する気"
"specials.name.indestructible_claw","不滅のかぎ爪"
"specials.name.indifferent_blade","冷酷な刃"
"specials.name.inevitable_demise","不可避な終焉"
"specials.name.infernal_chops","地獄の一撃"
"specials.name.infernal_drumstorm","地獄のドラムストーム"
"specials.name.infernal_flames","地獄の炎"
"specials.name.infernal_jaws","インファーナル ジョーズ"
"specials.name.ink_bomb","インク爆弾"
"specials.name.innovative_lunge","革新的なひと突き"
"specials.name.insidious_goo","狡猾なるスライム"
"specials.name.inspiring_fencing","インスピフェンス"
"specials.name.insurmountable_flux","乗り越えられない流れ"
"specials.name.intimidating_stance","脅迫的態度"
"specials.name.invigorating_pollen","活力の花粉"
"specials.name.invigorating_soup","活力のスープ"
"specials.name.invisible_strike","不可視の殴打"
