"specials.name.a_cozy_break","Słodka przerwa"
"specials.name.dispelling_potion","Mikstura rozproszenia"
"specials.name.dispelling_strike","Rozpraszające uderzenie"
"specials.name.dispelling_willpower","Rozpraszająca siła woli"
"specials.name.dispelling_willpower_pve","Rozpraszająca siła woli"
"specials.name.disquieting_tune","Niepokojąca melodia"
"specials.name.disrupting_charge","Rozpraszająca szarża"
"specials.name.disrupting_charge_costume_tiger_lord","Niszczycielska szarża"
"specials.name.divine_connection","Boskie koneksje"
"specials.name.divine_current","Boski prąd"
"specials.name.divine_light1","Boskie światło"
"specials.name.divine_lunge","Boski wypad"
"specials.name.divine_protection","Boska ochrona"
"specials.name.divine_protection_deadly","Boska ochrona"
"specials.name.divine_reflection","Boskie odbicie"
"specials.name.divine_reversal","Boski odczarowanie"
"specials.name.dizzying_strike","Zawrotne uderzenie"
"specials.name.donut_to_the_rescue","Pączek na ratunek!"
"specials.name.doomrend","Rozdarcie zagłady"
"specials.name.doomstrike","Cios zagłady"
"specials.name.double_flail_mayhem","Podwójny Cep Rozwałki"
"specials.name.double_strike","Podwójne uderzenie"
"specials.name.doublebarreled_starstick","Gwiezdna dubeltówka"
"specials.name.dozy_mead","Usypiający miód"
"specials.name.dragon_autumn_blaze","Jesienny wybuch"
"specials.name.dragon_blaze_of_fatigue","Wybuch zmęczenia"
"specials.name.dragon_blaze_of_mortality","Wybuch moralności"
"specials.name.dragon_blaze_of_protection","Wybuch ochrony"
"specials.name.dragon_blaze_of_suppression","Tłumiący wybuch"
"specials.name.dragon_blaze_of_the_hydra","Wybuch hydry"
"specials.name.dragon_blaze_of_the_undying","Płomień nieumarłego"
"specials.name.dragon_blaze_of_torment","Wybuch udręki"
"specials.name.dragon_blazing_inferno","Piekielne płomienie"
"specials.name.dragon_blazing_storm","Ognista burza"
"specials.name.dragon_blinding_blaze","Oślepiający wybuch"
"specials.name.dragon_blinding_blaze_duskwing","Oślepiający wybuch"
"specials.name.dragon_blinding_blaze_jawbreaker","Oślepiający wybuch"
"specials.name.dragon_blinding_blaze_wildheart","Oślepiający wybuch"
"specials.name.dragon_breath_of_bulwark","Tchnienie bastionu"
"specials.name.dragon_breath_of_compassion","Tchnienie współczucia"
"specials.name.dragon_breath_of_nourishment","Życiodajne tchnienie"
"specials.name.dragon_breath_of_retribution","Tchnienie zemsty"
"specials.name.dragon_breath_of_revival","Tchnienie wskrzeszenia"
"specials.name.dragon_cauterizing_blaze","Kauteryzujący wybuch"
"specials.name.dragon_charring_blaze","Zwęglający wybuch"
"specials.name.dragon_claws","Smocze szpony"
"specials.name.dragon_cleansing_flame","Oczyszczający płomień"
"specials.name.dragon_corrosive_blaze","Korozyjny wybuch"
"specials.name.dragon_cracking_blaze","Trzaskający płomień"
"specials.name.dragon_crackling_blaze_smoldercoil","Trzaskający płomień"
"specials.name.dragon_crashing_blaze","Miażdżący płomień"
"specials.name.dragon_crippling_blaze","Kaleczący płomień"
"specials.name.dragon_crippling_blaze_belzaas","Kaleczący płomień"
"specials.name.dragon_crushing_blaze","Miażdżący wybuch"
"specials.name.dragon_dampening_blaze","Wodny wybuch"
"specials.name.dragon_dazing_blaze","Ogłuszający wybuch"
"specials.name.dragon_delivery_service","Smocza usługa dostawcza"
"specials.name.dragon_destabilizing_blaze","Destabilizujący wybuch"
"specials.name.dragon_devastating_blaze","Niszczycielski wybuch"
"specials.name.dragon_disarming_blaze","Rozbrajający płomień"
"specials.name.dragon_draining_blaze","Wyczerpujący wybuch"
"specials.name.dragon_empowering_breath","Wzmacniające tchnienie"
"specials.name.dragon_esoteric_flame","Ezoteryczny płomień"
"specials.name.dragon_fang","Kieł smoka"
"specials.name.dragon_fiery_blaze","Ognisty wybuch"
"specials.name.dragon_flames_of_acceleration","Płomienie przyspieszenia"
"specials.name.dragon_fortifying_flame","Umacniający płomień"
"specials.name.dragon_inspirational_breath","Inspirujące tchnienie"
"specials.name.dragon_mana_infused_breath","Tchnienie nasycone maną"
"specials.name.dragon_mindless_blaze","Nieobliczalny płomień"
"specials.name.dragon_novices_blaze","Wybuch nowicjusza"
"specials.name.dragon_pacifying_breath","Pacyfikujące tchnienie"
"specials.name.dragon_protective_breath","Ochronne tchnienie"
"specials.name.dragon_rallying_breath","Inspirujące tchnienie"
"specials.name.dragon_rallying_breath_trezoro","Inspirujące tchnienie"
"specials.name.dragon_resuscitating_breath","Ożywiające tchnienie"
"specials.name.dragon_revitalizing_breath","Rewitalizujące tchnienie"
"specials.name.dragon_sacred_flame","Święty płomień"
"specials.name.dragon_sacred_flame_harmonis","Święty płomień"
"specials.name.dragon_searing_blaze","Palący wybuch"
"specials.name.dragon_shielding_breath","Osłaniające tchnienie"
"specials.name.dragon_shocking_blaze","Rażący wybuch"
"specials.name.dragon_spring_breath","Wiosenne tchnienie"
"specials.name.dragon_spring_breath_erudius","Wiosenne tchnienie"
"specials.name.dragon_strengthening_flame","Wzmacniający płomień"
"specials.name.dragon_summer_blaze","Letni płomień"
"specials.name.dragon_volcanic_blaze","Wulkaniczny wybuch"
"specials.name.dragon_weakening_blaze","Osłabiający wybuch"
"specials.name.dragon_weakening_blaze_ashenheart","Osłabiający wybuch"
"specials.name.dragon_weakening_blaze_gonthrox","Osłabiający wybuch"
"specials.name.dragon_wounding_blaze","Raniący wybuch"
"specials.name.dragon_wounding_blaze_ceestraze","Raniący wybuch"
"specials.name.dragon_wounding_blaze_talonshine","Raniący wybuch"
"specials.name.dragon_wrecking_blaze","Niszczycielski płomień"
"specials.name.dragon_wrecking_blaze_rangifer","Niszczycielski płomień"
"specials.name.drain_strike","Wysysające uderzenie"
"specials.name.draining_blade","Odcinające ostrze"
"specials.name.drawn_to_the_depths","Wciągnięcie w Głębiny"
"specials.name.dread_hammer","Młot zgrozy"
"specials.name.dreaded_swords","Miecze zgrozy"
"specials.name.dreaded_waters","Wody grozy"
"specials.name.dreadful_riddle","Przerażająca zagadka"
"specials.name.dreadstrike","Cios grozy"
"specials.name.dreams_of_nourishment","Życiodajny sen"
"specials.name.dress_up","Przebieranka!"
"specials.name.drowsy_bolt","Oszałamiający bełt"
"specials.name.drum_chain","Tykwowy łańcuch"
"specials.name.dual_axes","Dwa topory"
"specials.name.dual_blades","Bliźniacze ostrza"
"specials.name.dual_data_blades","Bliźniacze ostrza danych"
"specials.name.dual_laser_blades","Bliźniacze ostrza laserowe"
"specials.name.dual_slash","Podwójne cięcie"
"specials.name.dual_sting","Podwójny cios"
"specials.name.dubious_cuisine","Wątpliwa strawa"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Katastrofalna porażka kuchenna"
"specials.name.dubious_cuisine_exquisite_food","Wyborna żywność"
"specials.name.dubious_cuisine_rotten_food","Zgniła żywność"
"specials.name.dubious_merchandise","Podejrzany towar"
"specials.name.dubious_mixture","Podejrzany eliksir"
"specials.name.dum_and_dee","Dum i Dee"
"specials.name.dusk_dust","Pył zmroku"
"specials.name.dusk_till_dawn","Od zmierzchu do świtu"
"specials.name.dust_to_dust","Kurz i pył"
"specials.name.dwarven_flourish","Krasnoludzki rozkwit"
"specials.name.dwarven_kings_levy","Powołanie króla krasnoludów"
"specials.name.dwarven_recharge","Krasnoludzkie naładowanie"
"specials.name.easy_breezy_aura","Aura beztroski"
"specials.name.echoes_of_ice","Echa lodu"
"specials.name.echoes_of_pain","Echa bólu"
"specials.name.echoes_of_the_opera","Echa opery"
"specials.name.eclipse_shield","Tarcza zaćmienia"
"specials.name.eclipse_spear","Włócznia zaćmienia"
"specials.name.educated_exorcism","Wykształcony egzorcyzm"
"specials.name.egg_barrage","Jajeczny ostrzał"
"specials.name.elders_remedy","Lekarstwo starszych"
"specials.name.eldritch_blight","Nadprzyrodzona plaga"
"specials.name.eldritch_sign_bolts","Pociski nadprzyrodzonych znaków"
"specials.name.electric_cut","Elektryczne cięcie"
"specials.name.electric_dragonfire","Elektryczny smoczy ogień"
"specials.name.electric_jolt","Porażenie prądem"
"specials.name.electric_stab","Piorunujące dźgnięcie"
"specials.name.electric_sting_dragon_pve","Elektryczne ukłucie"
"specials.name.electrified_claws","Elektryczne szpony"
"specials.name.electrified_claws_ultimate_boss","Elektryczne szpony"
"specials.name.electrifying_gust_dragon_pve","Elektryzujący podmuch"
"specials.name.elegant_pulverizer","Elegancka destrukcja"
"specials.name.elemental_corruption","Spaczenie żywiołu"
"specials.name.elemental_infusion_arrow","Strzała Nasycenia Żywiołu"
"specials.name.elemental_infusion_arrow_pve","Strzała Nasycenia Żywiołu"
"specials.name.elemental_magic","Magia żywiołaków"
"specials.name.emboldened_strike","Śmiałe uderzenie"
"specials.name.emerald_dual_blade","Szmaragdowe podwójne ostrze"
"specials.name.emerald_flash","Szmaragdowy błysk"
"specials.name.emerald_tide","Szmaragdowy przypływ"
"specials.name.emerald_wind","Szmaragdowy wiatr"
"specials.name.empowered_slash","Wzmocnione cięcie"
"specials.name.empowering_bash","Cios wzmocnienia"
"specials.name.empowering_bash_deadly","Cios wzmocnienia"
"specials.name.en_garde","En garde"
"specials.name.enchanted_antlers","Czarodziejskie poroże"
"specials.name.enchanted_axe_swing","Wzmocniony zamach toporem"
"specials.name.enchanted_edge","Zaklęte ostrze"
"specials.name.enchanted_elven_sword","Zaczarowany elfi miecz"
"specials.name.enchanted_symphony","Zaklęta symfonia"
"specials.name.enchanting_divination","Zaklęta przepowiednia"
"specials.name.enchanting_melody","Zaklinająca melodia"
"specials.name.endless_daggers","Sztylety nieskończoności"
"specials.name.endless_maze","Nieskończony labirynt"
"specials.name.energy_conjunction","Koniunkcja energii"
"specials.name.energy_of_mjolnir","Energia Mjölnira"
"specials.name.energy_steal_dragon_pve","Kradzież energii"
"specials.name.engulfing_candlelight","Trawiący płomień świecy"
"specials.name.entangling_shot","Plączący strzał"
"specials.name.entrapping_enchantment","Zaklęcie krępujące"
"specials.name.erase_strength","Usunięcie siły"
"specials.name.erupting_slices","Wybuchowe plastry"
"specials.name.esprit_de_corps","Esprit de Corps"
"specials.name.essence_of_queen_nitocris","Esencja królowej Nitokris"
"specials.name.eternal_bond","Wiekuista więź"
"specials.name.eternal_ishq","Wieczna Ishq"
"specials.name.eternal_loyalty","Wieczna lojalność"
"specials.name.eternal_servitude","Wieczna niewola"
"specials.name.ethereal","Duch"
"specials.name.evading_dash","Odskok"
"specials.name.everlasting_wound","Odwieczna rana"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Strzała egzorcyzmu"
"specials.name.explosive_goo_minions","Nadzór pomocnika"
"specials.name.explosive_o_lantern","Wybuchający lampion"
"specials.name.express_delivery","Dostawa ekspresowa"
"specials.name.exquisite_alchemy","Wyrafinowana alchemia"
"specials.name.exquisite_victuals","Wyśmienite potrawy"
"specials.name.exquisite_victuals_pve_advanced","Wyśmienite potrawy"
"specials.name.exquisite_victuals_pve_normal","Wyśmienite potrawy"
"specials.name.eye_of_panther","Oko pantery"
"specials.name.eye_of_the_storm","Oko cyklonu"
"specials.name.eye_of_yog-sir","Oko Yog-Sir"
"specials.name.fabled_fist","Legendarna pięść"
"specials.name.fabled_llama_ballad","Legendarna ballada lamy"
"specials.name.fairy_godmothers_blessing","Błogosławieństwo wróżkowej matki chrzestnej"
"specials.name.faithful_force","Wierna siła"
"specials.name.falcon_screech","Sokoli pisk"
"specials.name.false_treat","Fałszywa gratka"
"specials.name.familiar_eater","Pożeracz pomocników"
"specials.name.familiar_witchcraft","Znajome gusła"
"specials.name.fangs_and_blades","Kły i ostrza"
"specials.name.fangs_of_death","Kły agonii"
"specials.name.fatal_dreams","Śmiercionośne sny"
"specials.name.fatal_finisher","Śmiertelny ostateczny cios"
"specials.name.fearless_charge","Nieustraszona szarża"
"specials.name.feather_tempest","Nawałnica piór"
"specials.name.feline_constellation","Kocia konstelacja"
"specials.name.feral_arrows","Dzikie strzały"
"specials.name.feral_bite","Feralne ukąszenie"
"specials.name.feral_gust_dragon_pve","Dziki podmuch"
"specials.name.feral_peck","Wściekłe dziobnięcie"
"specials.name.feral_revenge","Feralna zemsta"
"specials.name.feral_swing","Wściekły wymach"
"specials.name.feyfire_slash","Cięcie ognia obłędu"
"specials.name.field_aid","Podstawowe uzdrawianie"
"specials.name.field_surgery","Zaawansowane uzdrawianie"
"specials.name.fiendslayer","Pogromca bestii"
"specials.name.fierce_fu_jow_pai","Zaciekłe pazury tygrysa"
"specials.name.fierce_pierce","Gwałtowne przebicie"
"specials.name.fierce_slash","Zaciekły cios"
"specials.name.fiery_charge","Ognista szarża"
"specials.name.fiery_performance","Dziki występ"
"specials.name.fiery_revenge","Paląca zemsta"
"specials.name.fire_barrier_dragon_pve","Ognista bariera"
"specials.name.fire_bolt_zidane","Ognisty pocisk"
"specials.name.fire_storm","Ognista burza"
"specials.name.fire_tiger","Ogniste tygrysy"
"specials.name.fireball","Kula ognia"
"specials.name.fireball_single","Kula ognia"
"specials.name.fireblade_slash","Płomienna szrama"
"specials.name.fires_of_ragnarok","Ognie Ragnarok"
"specials.name.fires_of_ragnarok_final","Ognie Ragnarok"
"specials.name.firestone_daggers","Ogniste sztylety"
"specials.name.firewall","Ściana ognia"
"specials.name.firing_on_all_cylinders","Najwyższe obroty"
"specials.name.first_frost","Pierwszy mróz"
"specials.name.first_law_of_thermodynamics","Pierwsza zasada termodynamiki"
"specials.name.fishbone_blades","Ościste ostrze"
"specials.name.fists_of_atonement","Pięści pokuty"
"specials.name.flail_of_destruction","Destrukcyjna młócka"
"specials.name.flail_swing","Zamaszyste uderzenie"
"specials.name.flails_of_fury","Cepy furii"
"specials.name.flame_of_the_dragon_familiar","Płomień smoczego pomocnika"
"specials.name.flame_of_the_lioness","Płomień lwicy"
"specials.name.flame_storm","Burza płomieni"
"specials.name.flame_surge","Ognisty napływ"
"specials.name.flames_and_rejuvenation","Płomienie i odmłodzenie"
"specials.name.flames_and_rejuvenation_pve","Płomienie i odmłodzenie"
"specials.name.flames_of_revenge","Płomienie zemsty"
"specials.name.flaming_fury","Płonąca furia"
"specials.name.flaming_grudge","Płomienna zadra"
"specials.name.flaming_mandibles","Płonąca żuchwa"
"specials.name.flaming_rapier","Płonący rapier"
"specials.name.flaming_rapier_pve","Płonący rapier"
"specials.name.flaming_sword","Płonący miecz"
"specials.name.flanking_maneuver","Manewr flankujący"
"specials.name.flanking_maneuver_pve","Manewr flankujący"
"specials.name.flare","Ognisty oddech"
"specials.name.flat_cake_for_sweethearts","Ciasto kochanków"
"specials.name.flat_cake_for_sweethearts_pve","Ciasto kochanków"
"specials.name.flawless_shot","Perfekcyjny strzał"
"specials.name.flock_of_folly_eldwren","Stado głupców"
"specials.name.floral_sting","Kwiatowe ukłucie"
"specials.name.flower_arrangements","Kompozycja kwiatowa"
"specials.name.flower_of_kindness","Kwiaty dobroci"
"specials.name.fluff_in_the_air","Puch w powietrzu"
"specials.name.flurry_of_blows","Grad ciosów"
"specials.name.flurry_of_slashes","Grad ostrzy"
"specials.name.flurry_of_slashes_deadly","Grad ostrzy"
"specials.name.flute_of_enchantment","Zaklęty flet"
"specials.name.focused_shot","Precyzyjny strzał"
"specials.name.fog_machine","Mgła maszyny dymnej"
"specials.name.fog_of_the_fallen","Mgła upadłych"
"specials.name.fog_of_the_glass_sabina","Witrażowa mgła"
"specials.name.fog_of_the_perished","Mgła poległych"
"specials.name.fog_of_the_toons","Kreskówkowa mgła"
"specials.name.fog_of_the_vitrails","Witrażowa mgła"
"specials.name.for_queen_and_hollow","Za Królową i Dziuplę"
"specials.name.force_of_forest","Potęga lasu"
"specials.name.forceful_advance","Potężne natarcie"
"specials.name.forest_breath","Oddech lasu"
"specials.name.forest_command","Leśna komenda"
"specials.name.forest_friends","Leśni przyjaciele"
"specials.name.forge_rush","Śmiały szturm"
"specials.name.forged_axe_of_light","Przekuty topór światła"
"specials.name.forged_from_gold","Wykuty w złocie"
"specials.name.forged_in_fire","Wykute w ogniu"
"specials.name.fortunate_slice","Szczęśliwe cięcie"
"specials.name.fracturing_cut","Łamiące cięcie"
"specials.name.fracturing_shards","Pękające odłamki"
"specials.name.fracturing_slash","Łamiący cios"
"specials.name.freezing_cold_cutter","Przecinak mrozu"
"specials.name.freezing_crystal","Kryształ mrozu"
"specials.name.freezing_fairy_mist","Zamrażająca wróżkowa mgła"
"specials.name.freezing_power_hooks","Zamrażające sierpowe"
"specials.name.frenzied_rend","Oszalałe rozdarcie"
"specials.name.frenzy_plant","Szałorośl"
"specials.name.friendly_critters_feast","Uczta przyjaznych stworzeń"
"specials.name.frightening_pinch","Włócznia z Atlantydy"
"specials.name.frightstrike","Uderzenie strachu"
"specials.name.frogs_and_hoop","Żabi skok"
"specials.name.from_shadows","Spośród cieni"
"specials.name.from_shadows_pve","Spośród cieni"
"specials.name.frost_and_rime","Mróz i szadź"
"specials.name.frost_bound_blade","Szronostrze"
"specials.name.frostbite","Odmrożenie"
"specials.name.frostbolt_dragon_pve","Lodowy pocisk"
"specials.name.frostbound_smash","Mroźne uderzenie"
"specials.name.frostneedle","Mroźna igła"
"specials.name.frosty_axes","Topory lodu"
"specials.name.frosty_punches","Mrożące uderzenia"
"specials.name.frozen_orb","Zamarznięta kula"
"specials.name.frozen_path","Rzeczny szlak"
"specials.name.frozen_wind","Mroźny wiatr"
"specials.name.frozen_wind_pve","Mroźny wiatr"
"specials.name.fruit_cocktail","Koktajl owocowy"
"specials.name.fruits_of_labor","Porządna dawka czosnku"
"specials.name.fullmetal_pelt","Pancerna skóra"
"specials.name.furious_bite","Wściekłe ugryzienie"
"specials.name.furious_boar","Rozjuszony dzik"
"specials.name.furious_flames","Wściekłe płomienie"
"specials.name.furry_loggers_swing","Wymach Kudłatego Drwala"
"specials.name.fury_of_ash","Gniew Popiołów"
"specials.name.fury_of_grimnir","Furia Grimnira"
"specials.name.fury_of_the_ancient_forest","Gniew prastarej kniei"
"specials.name.fury_of_the_fire_giants","Gniew ogniowych gigantów"
"specials.name.fury_of_the_fire_giants_final","Gniew ogniowych gigantów"
"specials.name.fury_of_the_mountain_lord","Furia władcy gór"
"specials.name.fury_of_the_silverback","Furia srebrnogrzywego"
"specials.name.gallant_stance","Rycerska postawa"
"specials.name.gamblers_stance","Poza ryzykanta"
"specials.name.gamblers_swing","Zamach hazardzisty"
"specials.name.garbage_shock_wave","Śmieciowa fala uderzeniowa"
"specials.name.gardeners_remedy","Remedium ogrodnika"
"specials.name.gargantuan_bite","Ugryzienie mocy"
"specials.name.gargoyles_of_redemption","Gargulce odkupienia"
"specials.name.gargoyles_of_redemption_pve","Gargulce odkupienia"
"specials.name.gargoyles_of_restoration","Gargulce odrodzenia"
"specials.name.garlic_serving_edwin","Czosnkowy talerz"
"specials.name.generous_gifts","Hojne prezenty"
"specials.name.gentle_paw","Miękka łapka"
"specials.name.gentlemans_cane","Laska dżentelmena"
"specials.name.gentlemans_transformation","Transformacja dżentelmena"
"specials.name.giddy_jab_dragon_pve","Zawrotny cios"
"specials.name.gift_list","Lista prezentów"
"specials.name.gift_of_rejuvenation","Dar odnowy"
"specials.name.gift_of_rock","Dar rocka"
"specials.name.giftsack","Wór prezentów"
"specials.name.gilded_antlers","Pozłacane poroże"
"specials.name.glacial_atmosphere","Lodowa atmosfera"
"specials.name.glacial_crusher","Lodowcowy łamacz"
"specials.name.glacial_explosion","Eksplozja lodowcowa"
"specials.name.glacial_fissure_cleave","Lodowe rozszczepiające rozpłatanie"
"specials.name.glacial_resilience","Lodowata odporność"
"specials.name.glacial_shatter","Cios lodowcem"
"specials.name.glacial_vortex","Lodowaty wir"
"specials.name.glaive_of_flames","Ognisty pałasz"
"specials.name.glass_anger_of_forest_horghall","Gniew odłamków"
"specials.name.glass_arrow","Szklana strzała"
"specials.name.glass_barrage_scarlett","Szklany grad"
"specials.name.glass_beam","Szklany promień"
"specials.name.glass_bite","Szklane ukąszenie"
"specials.name.glass_bolt","Szklany pocisk"
"specials.name.glass_brew","Szklany napar"
"specials.name.glass_burning_strike","Szklany cios"
"specials.name.glass_chop","Szklane rąbnięcie"
"specials.name.glass_cleave","Szklane rozpłatanie"
"specials.name.glass_cold_blast_ulmer","Szklana zamieć"
"specials.name.glass_cut","Szklane cięcie"
"specials.name.glass_cut_chao","Witrażowe cięcie"
"specials.name.glass_entangling_shot","Szklana strzała"
"specials.name.glass_finisher_thorne","Szklane wykończenie"
"specials.name.glass_fireball","Szklana kula ognia"
"specials.name.glass_flame_smash","Lodowcowe płomienne uderzenie"
"specials.name.glass_four_blades","Cięcie szklanych ostrzy"
"specials.name.glass_fury","Szklista furia"
"specials.name.glass_gamblers_stance","Szklana postawa"
"specials.name.glass_hammer","Szklany młot"
"specials.name.glass_have_faith","Czysta wiara"
"specials.name.glass_heal","Szklane leczenie"
"specials.name.glass_jolt","Szklane porażenie"
"specials.name.glass_kick","Szklany kopniak"
"specials.name.glass_leaping_attack_dawa","Szklany atak"
"specials.name.glass_leeching_stars_renfeld","Szklane gwiazdy"
"specials.name.glass_link","Szklane połączenie"
"specials.name.glass_massive_chop","Szklane rąbnięcie"
"specials.name.glass_mist","Szklana mgła"
"specials.name.glass_order","Witrażowy rozkaz"
"specials.name.glass_peck","Szklane dziobnięcie"
"specials.name.glass_piercing_hit_tyrum","Szklane uderzenie"
"specials.name.glass_piercing_strike","Szklany cios"
"specials.name.glass_prayer","Szklane modły"
"specials.name.glass_pulverizer","Szklany niszczyciel"
"specials.name.glass_pulverizer_tiburtus","Szklany niszczyciel"
"specials.name.glass_purification","Przeszklenie"
"specials.name.glass_ramming_rush","Szklany szturm"
"specials.name.glass_ramming_rush_isshtak","Szklany szturm"
"specials.name.glass_riposte","Szklana riposta"
"specials.name.glass_riposte_boril","Szklana riposta"
"specials.name.glass_shatter","Szklane rozbicie"
"specials.name.glass_shield_kadilen","Szklana tarcza"
"specials.name.glass_skin","Szklana skóra"
"specials.name.glass_slam","Szklane tąpnięcie"
"specials.name.glass_slash","Szklane cięcie"
"specials.name.glass_spear","Szklana włócznia"
"specials.name.glass_stab","Szklane dźgnięcie"
"specials.name.glass_stone_skin_gunnar","Szklane połączenie"
"specials.name.glass_strike","Szklany cios"
"specials.name.glass_strike_caedmon","Szklany cios"
"specials.name.glass_strike_magni","Szklany cios"
"specials.name.glass_swords","Szklany mur"
"specials.name.glass_thunderstrike_quintus","Szklane ultimatum"
"specials.name.glass_traps_oberon","Szklane pułapki"
"specials.name.glass_vines","Szklane pnącza"
"specials.name.glass_volcano","Szklany wulkan"
"specials.name.glass_wall","Szklana ściana"
"specials.name.glass_warcry","Szklany okrzyk bojowy"
"specials.name.gleaming_gemstones","Błyszczące klejnoty"
"specials.name.gleaming_sword_and_iron_mail","Błyszczący miecz i żelazna kolczuga"
"specials.name.glittering_sweep_dragon_pve","Błyszczący zamach"
"specials.name.gloom_grenades","Granaty mroku"
"specials.name.gloomy_tune","Ponura melodia"
"specials.name.glorious_grace","Opromieniająca łaska"
"specials.name.glutinous_execution","Lepka egzekucja"
"specials.name.gnomish_carnage","Gnomia jatka"
"specials.name.goat_rush","Bodnięcie"
"specials.name.goblin_explosives","Goblinie bomby"
"specials.name.goblin_serenade","Goblińska serenada"
"specials.name.god_of_the_underworld","Uderzenie z zaświatów"
"specials.name.gold_gauntlet","Złota rękawica"
"specials.name.gold_rush","Gorączka złota"
"specials.name.gold_weaver","Tkacz złota"
"specials.name.golden_aura","Złota aura"
"specials.name.golden_cicada","Złota Cykada"
"specials.name.golden_sacred_symbol","Złoty święty symbol"
"specials.name.golden_thread","Złote struny"
"specials.name.golem_crusher","Miażdżyciel golemów"
"specials.name.goodnight_lullaby","Kołysanka"
"specials.name.gooey_rose","Kleista róża"
"specials.name.gorging_bite_yellow","Żarłoczne ukąszenie"
"specials.name.gorging_chew_blue","Łapczywy chaps"
"specials.name.gorging_chew_green","Łapczywy chaps"
"specials.name.gorging_chew_purple","Łapczywy chaps"
"specials.name.gorging_chew_red","Łapczywy chaps"
"specials.name.gorging_chew_yellow","Łapczywy chaps"
"specials.name.gorgyra","Niezłomność walkirii"
"specials.name.grab_and_run","Pochwycenie i ucieczka"
"specials.name.graceful_shot","Elegancki strzał"
"specials.name.graceless_ritual","Paskudny rytuał"
"specials.name.grand_heist","Wielki napad"
"specials.name.great_frost_axe","Wielki lodowy topór"
"specials.name.great_frost_hoe","Wielka lodowa motyka"
"specials.name.greed_and_bribery","Chciwość i przekupstwo"
"specials.name.greedy_munch_red","Zachłanne przeżucie"
"specials.name.green_dragon_crescent_blade","Zakrzywione ostrze zielonego smoka"
"specials.name.green_dragon_inferno","Piekielne ostrze zielonego smoka"
"specials.name.green_sparks_dragon_pve","Zielone iskry"
"specials.name.greeting_of_the_sun","Słoneczne powitanie"
"specials.name.grim_awakening","Posępne przebudzenie"
"specials.name.grimoire_skim","Sekrety grymuarów"
"specials.name.grips_of_longing","Uścisk tęsknoty"
"specials.name.grips_of_longing_pve","Uścisk tęsknoty"
"specials.name.grove_splash_dragon_pve","Kępisty bryzg"
"specials.name.gruesome_charge","Brutalna szarża"
"specials.name.guard_the_garden","Bronić ogrodu!"
"specials.name.guardian_armor","Pancerz strażnika"
"specials.name.guardians_retaliation","Zemsta strażnika"
"specials.name.guarding_tunes","Obronna melodia"
"specials.name.guiding_arrow","Strzała przewodnia"
"specials.name.gust_of_restoration","Podmuch odrodzenia"
"specials.name.gust_of_swiftness","Podmuch szybkości"
"specials.name.hack_and_slash","Rąb i siecz"
"specials.name.hacking_attack","Podstępny atak"
"specials.name.hailstone_glare_dragon_pve","Blask gradu"
"specials.name.hailstorm","Burza gradowa"
"specials.name.halflings_wisdom","Mądrość niziołka"
"specials.name.halflings_wit","Spryt niziołka"
"specials.name.hallowed_blade","Święte ostrze"
"specials.name.halting_counter_strike","Powstrzymujący kontratak"
"specials.name.hammer_thump","Uderzenie młota"
"specials.name.harmonic_bash","Harmoniczny grzmot"
"specials.name.harmonic_slam","Harmonijne uderzenie"
"specials.name.harpoon_sentry","Strażnik harpunnik"
"specials.name.harpy_claw","Szpon harpii"
"specials.name.harrow_the_heart","Trwoga serca"
"specials.name.hasty_gift_wrapper","Pospieszny pakowacz prezentów"
"specials.name.hasty_trigger_finger","Palec na spuście"
"specials.name.have_curiosity","Światełko nadziei"
"specials.name.have_faith","Siła wiary"
"specials.name.haze_of_the_deceased","Opary upadłych"
"specials.name.head_hurl","Gorąca głowa"
"specials.name.healing_chant","Uzdrawiający śpiew"
"specials.name.healing_fire_spirits","Leczący duch ognia"
"specials.name.healing_gift","Bezmyślne leczenie"
"specials.name.healing_gift_anteros","Bezmyślne leczenie"
"specials.name.healing_gift_kabeiroi","Bezmyślne leczenie"
"specials.name.healing_mirror","Uzdrawiające zwierciadło"
"specials.name.healthiest_catch","Najzdrowszy chwyt"
"specials.name.hearty_stew","Krzepiący gulasz"
"specials.name.heatstinger","Gorące użądlenie"
"specials.name.heavy_fragrance","Silna woń"
"specials.name.heedless_hammer_flurry","Wściekły deszcz młotów"
"specials.name.heirloom_dagger","Rodowy sztylet"
"specials.name.helping_hands","Pomocne dłonie"
"specials.name.hemlock_tea","Zatruta herbatka"
"specials.name.herbal_remedies","Lekarstwa ziołowe"
"specials.name.herculean_throw","Herkulesowy rzut"
"specials.name.herd_stampede","Pęd stada"
"specials.name.here_catch","Łap!"
"specials.name.heretic_slayer","Pogromca Heretyków"
"specials.name.heroic_noble","Rzut trójzębem"
"specials.name.heroic_noble_deadly","Rzut trójzębem"
"specials.name.herring_blaster","Miotacz śledzi"
"specials.name.herring_surprise","Śledziowa niespodzianka"
"specials.name.hide_in_shadows","Ukryty w cieniu"
"specials.name.high_altitude_ambush","Zasadzka na wysokości"
"specials.name.high_energy_field","Pole energetyczne"
"specials.name.high_noon_sun","Słońce w zenicie"
"specials.name.holding_down_the_fort","Stanie na straży"
