"herocard.passive_skill.description.addmana.all.allies","All allies gain a small amount of mana."
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","This Mimic gives a chance for extra loot when completing stages:

***
Rare Holy Trainer Heroes

**
Uncommon Holy Trainer Heroes
Uncommon Holy Heroes

*
Common Holy Trainer Heroes
Common Holy Heroes"
"herocard.passive_skill.description.nevermissspecial","This character's Special Skill never misses its targets."
"herocard.passive_skill.description.ransack","At the start of each turn, this character Ransacks a random enemy:

Steals {DAMAGE} health.
Safely steals a buff, Growth effect or positive stack buff from the enemy. This includes undispellable buffs and dance effects."
"herocard.passive_skill.description.ransack.chance","At the start of each turn, this character has a {CHANCE}% chance to Ransack a random enemy:

Ransack:
Steals {DAMAGE} health.
Safely steals one random Growth effect, positive Stack, or status effect buff from the enemy. This includes undispellable buffs and Dance effects.
Safe stealing bypasses secondary effects, such as damage on removal, from the removed buffs. Passive skills and family effects can still activate."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","When this character casts their Special Skill, they have a {CHANCE}% chance to steal the newest dispellable buff from a random enemy that has buffs. If no enemy has buffs, deals {DAMAGE}% damage to all enemies."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","When this character casts their Special Skill, they have a {CHANCE}% chance to steal the newest dispellable buff from a random enemy that has buffs. If no enemy has buffs, deals {DAMAGE}% damage to all enemies."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","When this character casts their Special Skill, they transfer the newest cleansable status ailment from themself to the target. If the Special Skill cannot target an enemy, a random enemy is chosen instead. If this character has no cleansable status ailments, they recover {HEALTH}% health."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","This hero receives less elemental damage from Troops of stronger element.

Received elemental damage: -{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER}% less elemental damage received from Troops of the stronger element."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER}% more elemental damage received from fireballs of the stronger element."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","The first time this character would receive fatal damage, they instead redirect that damage to a random enemy.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","The first time this character would receive fatal damage, they instead redirect that damage to a random enemy. (Activations left: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE}% extra chance to reflect status ailments back to the attacker."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Every {TURNS} turns, removes all Wither effects from all allies."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Every {TURNS} turns, removes all Growth effects from all enemies."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","The Construct Core of this character is a Repair Core.

The Repair Core activates each time this character's Special Skill is cast:

 With a fully charged Repair Core, boosts the health of all allies by {CHARGEDPOWER1}%.
 The healing is scaled by the amount of charge in the Core. All charge is exhausted when the Core is activated."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE}% chance to cast the Special Skill of this hero {REPEATS} times."
"herocard.passive_skill.description.resist.accuracymodifiers","This character is immune to status ailments that affect accuracy. Doesn't apply to original status effects from allies."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","This character is immune to status ailments and negative stacks."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE}% extra chance to resist all status ailments and buff dispels."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE}% extra chance to resist all status ailments, mana reductions, buff dispels and Wither effects."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE}% extra chance to resist all status ailments, mana reductions, buff dispels and Insanity."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE}% extra chance to resist all status ailments, mana reductions and buff dispels."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE}% extra chance to resist all status ailments."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","This character is immune to status ailments that affect defense. Applies also to status ailments that affect elemental defense."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","This character is immune to status ailments, stacks and Wither effects that affect defense."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","This character is not affected by effects that increase or reduce defense.

This includes status effect buffs and ailments, positive and negative Stacks as well as Wither and Growth effects."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","This character is not affected by effects that increase or reduce defense.

This includes
 Status effect buffs and ailments
 Positive and negative Stacks
 Growth and Wither effects"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","This character is not affected by effects that increase or reduce defense.

This includes status effect buffs and ailments, positive and negative Stacks as well as Wither and Growth effects."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","This character is immune to status ailments and negative stacks that affect mana generation. Applies also to status ailments that block mana or steal mana."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","This character is immune to incoming damage from status effects."
"herocard.passive_skill.description.resist.attackdelay","This character's normal attack cannot be delayed."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","This character's normal attack cannot be delayed."
"herocard.passive_skill.description.resist.attackmodifiers","This character is immune to status ailments that affect attack."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","This character is immune to all status effects and stacks that affect attack. This includes status effect buffs."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","This character is immune to status ailments, stacks and Wither effects that affect attack."
"herocard.passive_skill.description.resist.bleed","This character is immune to status ailments that deal Bleed damage."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","This character is immune to status ailments that deal Bleed damage and gains {HEALTHBOOST} boosted health and {MANA}% mana each time they resist."
"herocard.passive_skill.description.resist.buffdispels","This character is immune to effects that would dispel their status effect buffs."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE}% extra chance to resist buff dispels."
"herocard.passive_skill.description.resist.buffimmunity","This character is immune to effects that would block them from receiving new status effect buffs."
"herocard.passive_skill.description.resist.burn","This character is immune to status ailments that deal Burn damage."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","This character is immune to status ailments that deal Burn damage and gains {HEALTHBOOST} boosted health and {MANA}% mana each time they resist."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","This character is immune to status ailments."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE}% extra chance to resist all status ailments."
"herocard.passive_skill.description.resist.criticalhits.none","This character is immune to extra damage and additional effects from Critical Hits."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","This character is immune to status ailments that affect defense. Doesn't apply to status ailments that affect elemental defense."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","This character is immune to status ailments and negative stacks that affect defense. Doesn't apply to status ailments that affect elemental defense."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," Immune to effects that remove Minions.
 Can't be prevented from receiving Minions.
 Minion attacks and abilities can't be disabled."
"herocard.passive_skill.description.resist.frost","This character is immune to status ailments that deal Frost damage."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","This character is immune to status ailments that deal Frost damage and gains {HEALTHBOOST} boosted health and {MANA}% mana each time they resist."
"herocard.passive_skill.description.resist.healeffects","This character is immune to status ailments that affect healing."
"herocard.passive_skill.description.resist.healthsteal","This character is immune to status ailments that steal health."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","This character is immune to Insanity."
"herocard.passive_skill.description.resist.manadebuffs","This character is immune to status ailments that affect mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","This character is immune to status ailments that affect mana generation or prevent the use of Special Skills."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","This character has a {CHANCE}% chance to resist status ailments that affect mana or prevent the use of Special Skills."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","This character is immune to status ailments and negative stacks that affect mana generation. Doesn't apply to status ailments that stop mana generation or steal mana."
"herocard.passive_skill.description.resist.manareduction","This character is immune to mana reductions."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE}% extra chance to resist mana reductions."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","This character is immune to mana reductions. They also gain {HEALTHBOOST} boosted health and {MANA}% mana each time they resist."
"herocard.passive_skill.description.resist.maxhealthreduction","This character is immune to max health reduction."
"herocard.passive_skill.description.resist.poison","This character is immune to status ailments that deal Poison damage."
"herocard.passive_skill.description.resist.poison.burn.bleed","This character is immune to status ailments that deal Poison, Burn, or Bleed damage."
"herocard.passive_skill.description.resist.possession.allstatuseffects","This character is immune to status effects that would possess the character."
"herocard.passive_skill.description.resist.sand","This character is immune to status ailments that deal Sand damage."
"herocard.passive_skill.description.resist.specialblocking","This character is immune to status ailments that prevent the use of Special Skills."
"herocard.passive_skill.description.resist.specialblocking.with_chance","This character has a {CHANCE}% chance to resist status ailments that prevent the use of Special Skills."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","This character is immune to status ailments that prevent the use of Special Skills. They also gain {HEALTHBOOST} boosted health and {MANA}% mana each time they resist."
"herocard.passive_skill.description.resist.stopmanageneration","This character is immune to status ailments that stop mana generation."
"herocard.passive_skill.description.resist.water","This character is immune to status ailments that deal Water damage."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","This character is immune to status ailments that are from Minions."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","This character is immune to effects that would remove Minions from them."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","This character is immune to incoming negative effects and damage from Minions."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","This character is immune to incoming negative effects and damage from Minions and Mega Minions."
"herocard.passive_skill.description.resistnewfamiliars.parasite","This character can't receive Fiends."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","This character can't receive Fiends or Mega Fiends"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE}% extra chance to resist all status ailments."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","The chance of revival is reduced for all enemies in the battle. The chance is {MODIFIER}% of the original value."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","All enemies have {HEALTHMODIFIER}% health when revived. Boss enemies are not affected."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","If defeated, this character has a chance to be reborn as an Eldritch Host. The chance is {CHANCEINCREASEPERSTEP}% per {INSANITYPERSTEP} Insanity on this character, up to a maximum chance of {MAXCHANCEINCREASE}%. 

The Eldritch Host has:
{INHERITEDHEALTH}% inherited health. 
{ATTACK} attack.
{DEFENSE} defense.
Special Skill: Eldritch Blight."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","If defeated, this character has a chance to be reborn as an Eldritch Host. The chance is {CHANCEINCREASEPERSTEP}% per {INSANITYPERSTEP} Insanity on this character, up to a maximum chance of {MAXCHANCEINCREASE}%. 

The Eldritch Host has:
{INHERITEDHEALTH}% inherited health. 
{ATTACK} attack.
{DEFENSE} defense.
Special Skill: Eldritch Blight.

If this character defeats themself when activating Insanity, the chance to be reborn is always {CHANCEONSELFCAUSEDDEATH}%."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","When defeated, this character has {TOTALCHANCE}% chance to revive at the beginning of their next turn with {HEALTH}% health and {MANA}% mana. 

Activates up to {MAXACTIVATIONCOUNT} times. Chance to revive is reduced on each activation. Can't be prevented with status ailments or Passive Skills."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","All Ballads cast by enemies only last for {TURNS} turn."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","All Dances cast by enemies only last for {TURNS} turn."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION}% of damage received by this character is shared with all other allies."
"herocard.passive_skill.description.specialdamagereduction","Received damage is reduced by {DAMAGEREDUCTION}% for the first {MAXACTIVATIONCOUNT} times this character receives damage from Special Skills."
"herocard.passive_skill.description.specialdamagereduction.chance","This character has a {CHANCE}% chance to drop the direct damage received from Special Skills to 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Received damage from Special Skills is reduced by {DAMAGEREDUCTION}% for this character."
"herocard.passive_skill.description.startbattlewitheffect.addmana","This character receives {MANA}% mana at the start of the battle."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER}% Attack."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER}% Defense."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER}% Health."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER}% Health, {ATTACKMULTIPLIER}% Attack."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER}% Health, {DEFENSEMULTIPLIER}% Defense."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER}% Health, {DEFENSEMULTIPLIER}% Defense, {ATTACKMULTIPLIER}% Attack."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Status effects that increase attack are {MODIFIER}% more effective for this character."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Reduces the effect of status ailments affecting attack by {MODIFIER}%. The effect applies to this character and all its allies in the battle."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Status ailments that reduce attack are {MODIFIER}% less effective against this character."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Status effects that increase attack are {MODIFIER}% more effective for this character."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Status ailments that reduce attack are {MODIFIER}% less effective against this character."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Status effects that increase defense are {MODIFIER}% more effective for this character."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Reduces the effect of defense ailments by {MODIFIER}%. The effect applies to this character and all its allies in the battle."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Status ailments that reduce defense are {MODIFIER}% less effective against this character."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Status effects that increase defense are {MODIFIER}% more effective for this character."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Status ailments that reduce defense are {MODIFIER}% less effective against this character."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Duration of the first {MAXACTIVATIONCOUNT} status ailments this character receives from Special Skills is decreased by {DURATIONMODIFIER} turn."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Duration of the defense status ailments this character receives from Special Skills is decreased by {DURATIONMODIFIER} turns."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Duration of the first {MAXACTIVATIONCOUNT} buffs this character receives from Special Skills is increased by {DURATIONMODIFIER} turn."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","When a status ailment is cleansed from this hero, a new copy of the cleansed ailment is applied on a random enemy."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Every time this Gargoyle casts a Special Skill, all allies receive Softskin. The next {MAXACTIVATIONS} times they receive damage, it is reduced by {DAMAGEREDUCTION}%. They are also immune to all status ailments, mana reductions and Insanity. This effect can't be dispelled."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Every time this Gargoyle casts a Special Skill, their Softskin activates. The next {MAXACTIVATIONS} times they receive damage, it is reduced by {DAMAGEREDUCTION}%. They are also immune to all status ailments, mana reductions and Insanity. This effect can't be dispelled."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Every time this Gargoyle casts a Special Skill, their Stoneskin hardens. The next {MAXHITS} times they receive damage, it is dropped to 1. This effect can't be dispelled."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","When this character casts their Special Skill, they get {ATTACK}% attack for {TURNS} turns. This effect can be active in addition to other effects that alter attack."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Once per battle, this Hero's element can be changed to the Element of your choosing for {TURNS} turns. Element can be changed by tapping this Hero when it does not have full mana."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Summons a Seedling Fiend every turn to a random enemy.
The Seedling Fiend evolves into a Sprout Fiend after {EVOLVINGFAMILIAR1EVOLVETURNS} turns.
The Sprout Fiend evolves into a Blossom Mega Fiend after {EVOLVINGFAMILIAR2EVOLVETURNS} turns.

Seedling Fiend: 
{EVOLVINGFAMILIAR1ATTACK}% attack, {EVOLVINGFAMILIAR1HEALTH}% health.

Sprout Fiend: 
{EVOLVINGFAMILIAR2ATTACK}% attack, {EVOLVINGFAMILIAR2HEALTH}% health.

Blossom Mega Fiend: 
{EVOLVINGFAMILIAR3ATTACK}% attack, {EVOLVINGFAMILIAR3HEALTH}% health."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Summons a Seedling Fiend every turn to a random enemy. This Passive Skill only activates once per turn for each team.
The Seedling Fiend evolves into a Sprout Fiend after {EVOLVINGFAMILIAR1EVOLVETURNS} turns.
The Sprout Fiend evolves into a Blossom Mega Fiend after {EVOLVINGFAMILIAR2EVOLVETURNS} turns.

Seedling Fiend:
{EVOLVINGFAMILIAR1ATTACK}% attack, {EVOLVINGFAMILIAR1HEALTH}% health.

Sprout Fiend:
{EVOLVINGFAMILIAR2ATTACK}% attack, {EVOLVINGFAMILIAR2HEALTH}% health.

Blossom Mega Fiend:
{EVOLVINGFAMILIAR3ATTACK}% attack, {EVOLVINGFAMILIAR3HEALTH}% health."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","When this character is defeated, they summon Slime Mega Minions to nearby allies with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack inherited from this character."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","When this character is defeated, they summon Slime Mega Minions to nearby allies with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack inherited from this character."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","When this character is defeated, they summon Slime Mega Minions to nearby allies with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack inherited from this character."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","When this character is defeated, they summon Slime Mega Minions to nearby allies with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack inherited from this character."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","When this character is defeated, they summon Slime Mega Minions to nearby allies with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack inherited from this character."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","If this character loses more than {DAMAGETHRESHOLD}% of max health at once, they summon a Slime Mega Minion for themselves with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","If this character loses more than {DAMAGETHRESHOLD}% of max health at once, they summon a Slime Mega Minion for themselves with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","If this character loses more than {DAMAGETHRESHOLD}% of max health at once, they summon a Slime Mega Minion for themselves with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","If this character loses more than {DAMAGETHRESHOLD}% of max health at once, they summon a Slime Mega Minion for themselves with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","If this character loses more than {DAMAGETHRESHOLD}% of max health at once, they summon a Slime Mega Minion for themselves with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Each time this character receives a Burn status ailment, they summon a Forest Guardian Minion for themselves. Forest Guardian Minion inherits {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack from this character."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Each time this character receives a Damage Over Time status ailment, they summon a Card Soldier Minion for themselves. Card Soldier Minion inherits {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack from this character."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Each time this character receives a status ailment affecting their defense, they summon a Bull Minion for themselves. Bull Minion inherits {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack from this character."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Summons a Sparrow Minion for self when an enemy summons any Minions by Special Skill."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","When an enemy summons any Minions by a Special Skill, this character summons a Cursed Sapling Fiend for that enemy."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","When an enemy summons any Minions by a Special Skill, this character summons a Seedling Fiend for that enemy."
"herocard.passive_skill.description.taunt","This character's Special Skill is not affected by Taunt."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Each time this character casts their Special Skill, all dispellable buffs affecting attack, defense and mana generation on all enemies are transformed into matching undispellable status ailments.

Transformed effects: 
Attack status ailments are transformed into {STATUSEFFECT1ATTACK}% attack buffs for {STATUSEFFECT1TURNS} turns.
Defense status ailments are transformed into {STATUSEFFECT2DEFENSE}% defense buffs for {STATUSEFFECT2TURNS} turns.
Mana generation status ailments are transformed into {STATUSEFFECT3MANAREGEN}% mana generation buffs for {STATUSEFFECT3TURNS} turns."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Each time this character casts their Special Skill, all cleansable status ailments affecting attack, defense and mana generation on all allies are transformed into matching undispellable buffs.

Transformed effects: 
Attack status ailments are transformed into {STATUSEFFECT1ATTACK}% attack buffs for {STATUSEFFECT1TURNS} turns.
Defense status ailments are transformed into {STATUSEFFECT2DEFENSE}% defense buffs for {STATUSEFFECT2TURNS} turns.
Mana generation status ailments are transformed into {STATUSEFFECT3MANAREGEN}% mana generation buffs for {STATUSEFFECT3TURNS} turns."
"herocard.passive_skill.description.wither.all.enemies","Base attack and base defense of all enemies are decreased by {STATINCREASE} every turn for {MAXACTIVATIONCOUNT} turns."
"herocard.passive_skill.inactive","INACTIVE: Reach max level and full ascension to activate."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Passive Skill as attacking character:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Passive Skill as defending character:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Status Effect on Enemy Attack Buff"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Status Effect on Enemy Defense Buff"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Status Effect on Mana Reduction"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana on Bleed"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Heal on Bleed"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana on Burn"
"herocard.passive_skill.title.bypassfamiliars.minion","Bypass Minions"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Superior Bypass Minions"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Increased Status Effect Duration"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Flight Momentum"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana During Wither"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Revive Over Time"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Power of Sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Beautiful Inside"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Beautiful Inside"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Molten Core"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Molten Core"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Corrosive Core"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Arctic Core"
"herocard.passive_skill.title.criticalmodifier","Critical Modifier"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Critical Modifier"
"herocard.passive_skill.title.critmodifier","Critical Chance Modifier"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Branded By The Old Ones"
"herocard.passive_skill.title.dealtdamagemodifieragainststatuseffect.bloodlily.stacks","Sanguine Mark"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Troop Mastery"
"herocard.passive_skill.title.debuffdamagereduction","Status Ailment Damage Reduction"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Status Ailment Damage Reduction"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Destructive Core"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Cleanse on Minion Death"
"herocard.passive_skill.title.dodgespecialdamage","Dodge Special Damage"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Stack on Special"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Destroy Fiends on Special"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Eat Minions and Gain Mana Over Time"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana on Special Damage"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana On Damage Received"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Damage on Special Skill and Cover Damage"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Stacking Attack on Damage Received"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Stacking Attack on Damage Received"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Health Boost on Attempted Ally Cleanse"
