"heroes.name_fancy.astral_cosmicspeaker","Gök Bilimcisi Astral Elf"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Maskeli Eşkıya Kedi"
"heroes.name_fancy.fables_red_hood","Grim Ormanı'nın Koruyucusu"
"heroes.name_fancy.fables_rumpelstiltskin","Grim Ormanı'nın Soytarısı"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Ebedi Hilebaz"
"heroes.name_fancy.fables_snow_white","Grim Ormanı'nın Prensesi"
"heroes.name_fancy.fables_snow_white_costume_slayer","Beyaz Katil"
"heroes.name_fancy.faun_araminta","Korkutucu Faun Savaşçı"
"heroes.name_fancy.faun_ascian","Her Şeyi Gören Falcı Faun"
"heroes.name_fancy.faun_bramble","Nazik Bahçeci Faun"
"heroes.name_fancy.faun_gideon","Cesur Faun Komutan"
"heroes.name_fancy.faun_isidore","Karizmatik Faun Şampiyon"
"heroes.name_fancy.faun_jolyon","Düşünceli Tamirci Faun"
"heroes.name_fancy.faun_maud","Azimli Simyacı Faun"
"heroes.name_fancy.faun_myrtle","Bezgin Otacı Faun"
"heroes.name_fancy.faun_peregrine","Pervasız Faun Gözcü"
"heroes.name_fancy.faun_philomena","Büyüleyici Ozan Faun"
"heroes.name_fancy.faun_saskia","Hızlı Faun Dansçı"
"heroes.name_fancy.faun_tamlin","Ürkütücü Faun Flütçü"
"heroes.name_fancy.faun_verity","Gizemli Faun Tüccar"
"heroes.name_fancy.faun_yolanda","Kan Kırmızısı Kahin Faun"
"heroes.name_fancy.faun_ysabel","Gözü Pek Faun Gladyatör"
"heroes.name_fancy.fire_god_andre","İhanete Uğramış Tapınak Şövalyesi"
"heroes.name_fancy.fire_god_anzogh","Kindar Şaman"
"heroes.name_fancy.fire_god_ares","Savaş Tanrısı"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Savaşta Anahtar Ustası"
"heroes.name_fancy.fire_god_doom","Kanlı Rahip"
"heroes.name_fancy.fire_god_doom_costume_avenger","Yanan İntikamcı"
"heroes.name_fancy.fire_god_eliane","İhtiyar Kızıl Büyücü"
"heroes.name_fancy.fire_god_jean_francois","Silahşör Sihirbaz"
"heroes.name_fancy.fire_god_maple","Koyu Kestane Orman"
"heroes.name_fancy.fire_god_nadnog","Ateşli Şifacı"
"heroes.name_fancy.fire_god_natalya","Ateşten Doğan Büyücü"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Ateşten Doğan Terzi"
"heroes.name_fancy.fire_god_neema","Ateş Sihirbazı"
"heroes.name_fancy.fire_god_noor","Serçelere Fısıldayan"
"heroes.name_fancy.fire_god_reuben","Yeminli Okültist"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Ayrılmaz Takım"
"heroes.name_fancy.fire_god_russell","Öfkeli Ateş Kahini"
"heroes.name_fancy.fire_god_skargremar","Öncü Müdafaa"
"heroes.name_fancy.fire_god_tahir","Göçebe Avcı"
"heroes.name_fancy.fire_god_yang_mai","Güneşin Yumruğu"
"heroes.name_fancy.fire_god_zagrog","Yalnız Hain"
"heroes.name_fancy.fire_god_zarga","Hızlı Kılıç"
"heroes.name_fancy.fire_god_zidane","Çekici Korsan"
"heroes.name_fancy.fire_god_zimkitha","Kayıp Kız Evladı"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Uzun Zamandır Kayıp Macerası"
"heroes.name_fancy.fleur_elyzabel","Kan Kırmızısı Kontes"
"heroes.name_fancy.fleur_eumachius","Kan Kırmızısı Filiz"
"heroes.name_fancy.fleur_guillemette","Kan Kırmızısı Şövalye"
"heroes.name_fancy.fleur_lavinia","Kan Kırmızısı Hayalperest"
"heroes.name_fancy.fleur_ludovico","Kan Kırmızısı Kahya"
"heroes.name_fancy.fleur_talesie","Kan Kırmızısı Suikastçı"
"heroes.name_fancy.forest_archer","Yetenekli Okçu"
"heroes.name_fancy.forest_archer_costume_cute","Çizgi Okçu"
"heroes.name_fancy.forest_archer_costume_glass","Cam Okçu"
"heroes.name_fancy.forest_archer_costume_warrior","Usta Okçu"
"heroes.name_fancy.forest_female_druid","Rath Ormanı Rahibi"
"heroes.name_fancy.forest_female_druid_costume_cute","Rath Ormanı'nın Çizgisi"
"heroes.name_fancy.forest_female_druid_costume_glass","Raht Ormanı Vitrayı"
"heroes.name_fancy.forest_female_druid_costume_native","Concordia Şamanı"
"heroes.name_fancy.forest_female_elf","Ay ışığının kalkan ustası"
"heroes.name_fancy.forest_female_elf_costume_cute","Çizgi Film Kalkan Ustası"
"heroes.name_fancy.forest_female_elf_costume_fairy","Ay Işığıyla Aydınlanan Peri"
"heroes.name_fancy.forest_female_elf_costume_glass","Cam Kalkan Ustası"
"heroes.name_fancy.forest_female_elf_costume_mage","Ay Işığı Rahibesi"
"heroes.name_fancy.forest_female_illusionist","Bitkilere Fısıldayan"
"heroes.name_fancy.forest_female_spirit","Kayran Ruhu"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Oluk Ruhu"
"heroes.name_fancy.forest_female_spirit_costume_cute","Çizgi Ruh"
"heroes.name_fancy.forest_female_spirit_costume_glass","Cam Ruh"
"heroes.name_fancy.forest_female_warrior","Köylü Kız"
"heroes.name_fancy.forest_friar","Neşeli Kardeş"
"heroes.name_fancy.forest_friar_costume_cute","Neşeli Çizgi"
"heroes.name_fancy.forest_friar_costume_explorer","Neşeli Kaşif"
"heroes.name_fancy.forest_friar_costume_glass","Neşeli Vitray"
"heroes.name_fancy.forest_god_elinor","Hazine Avcısı"
"heroes.name_fancy.forest_god_elradir","Ay Ormanı'nın Çılgın Sihirbazı"
"heroes.name_fancy.forest_god_evelyn","Cesur Mirasçı"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Cesur Avcı"
"heroes.name_fancy.forest_god_grace","Koru Servitoru"
"heroes.name_fancy.forest_god_gregorion","Uzman Okçu"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Münzevi Simyacı"
"heroes.name_fancy.forest_god_kingston","Asil Suikastçı"
"heroes.name_fancy.forest_god_oberon","Seelie Şampiyonu"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Koruluk Şövalyesi"
"heroes.name_fancy.forest_god_telluria","Orman Tanrısı"
"heroes.name_fancy.forest_god_zeline","Doğanın Gök Cismi"
"heroes.name_fancy.forest_god_zeline_costume_avian","Göksel Kuş"
"heroes.name_fancy.forest_god_zocc","Anahtarların Ustası"
"heroes.name_fancy.forest_mage","Ormanın Bilgeliği"
"heroes.name_fancy.forest_mage_costume_cute","Çizgi Sihirbaz"
"heroes.name_fancy.forest_mage_costume_glass","Orman Vitrayı"
"heroes.name_fancy.forest_mage_costume_party","Parti Sihirbazı"
"heroes.name_fancy.forest_mage_costume_white","Güçlü Sihirbaz"
"heroes.name_fancy.forest_male_elf","Ay ışığının mızrak ustası"
"heroes.name_fancy.forest_male_elf_costume_cute","Çizgi Film Mızrak Ustası"
"heroes.name_fancy.forest_male_elf_costume_dark","Mehtaplı Fatih"
"heroes.name_fancy.forest_male_elf_costume_glass","Cam Mızrak Ustası"
"heroes.name_fancy.forest_male_elf_costume_king","Ay Işığı Kralı"
"heroes.name_fancy.forest_thug","Paralı Haydut"
"heroes.name_fancy.forest_titan","Ahşap Antiği"
"heroes.name_fancy.forest_titan_costume_cute","Orman Çizgisi"
"heroes.name_fancy.forest_titan_costume_glass","Orman Vitrayı"
"heroes.name_fancy.forest_titan_costume_jester","Ahşap Soytarı"
"heroes.name_fancy.forest_titan_costume_nightmare","Ormanların Kabusu"
"heroes.name_fancy.forest_woodsman","Acemi Ormancı"
"heroes.name_fancy.forest_woodsman_warrior","Güçlü Kardeş"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Gizli Kardeş"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Kudretli Çizgi"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Kudretli Vitray"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Kudretli Dağ Adamı"
"heroes.name_fancy.forsaken_demhalar","Tuhaf Yerli"
"heroes.name_fancy.forsaken_jax","İz Sürücü Serseri"
"heroes.name_fancy.forsaken_kadath","Melun Rahip"
"heroes.name_fancy.forsaken_khatrox","Yanık Boksör"
"heroes.name_fancy.forsaken_lamentia","Uçurum Uşağı"
"heroes.name_fancy.fox_ashen","Gümüş Sırtlı Tilki"
"heroes.name_fancy.fox_ember","Ateş Çağırıcı Tilki"
"heroes.name_fancy.fox_foxglove","Sinsi Yarasa Kulaklı Tilki"
"heroes.name_fancy.fox_foxley","Kanun Kaçağı Gri Tilki"
"heroes.name_fancy.fox_halcyon","Nöbetçi Gri Tilki"
"heroes.name_fancy.fox_nettletail","Nazik Koru Bekçisi Tilki"
"heroes.name_fancy.fox_nibbles","Aç Tilki Seti"
"heroes.name_fancy.fox_riverfang","Büyücü Bozkır Tilkisi"
"heroes.name_fancy.fox_rust","Muhafız Kızıl Tilki"
"heroes.name_fancy.fox_sable","Kayıp Prenses Tilki"
"heroes.name_fancy.fox_shadowfang","Kemik Koleksiyoncusu Kum Tilkisi"
"heroes.name_fancy.fox_silverpaw","Korsan Çöl Tilkisi"
"heroes.name_fancy.fox_spiff","Kraliyet Şövalyesi Tilki"
"heroes.name_fancy.fox_swiftpaw","Suikastçı Gümüş Tilki"
"heroes.name_fancy.fox_whitefang","Korucu Kutup Tilkisi"
"heroes.name_fancy.gargoyle_arco","Cesur Yaratık"
"heroes.name_fancy.gargoyle_bellerive","Kötü Yaratık"
"heroes.name_fancy.gargoyle_betty","Çevik Yaratık"
"heroes.name_fancy.gargoyle_budatin","Kötücül Yaratık"
"heroes.name_fancy.gargoyle_el_duque","Yüce Yaratık"
"heroes.name_fancy.gargoyle_gaillard","Ferasetli Yaratık"
"heroes.name_fancy.gargoyle_garten","Parti Yaratığı"
"heroes.name_fancy.gargoyle_goseck","Sinsi Yaratık"
"heroes.name_fancy.gargoyle_grumbl","Bilge Yaratık"
"heroes.name_fancy.gargoyle_guffa","Dayanıklı Yaratık"
"heroes.name_fancy.gargoyle_hilda","Korkusuz Yaratık"
"heroes.name_fancy.gargoyle_hohenwerf","Azılı Yaratık"
"heroes.name_fancy.gargoyle_kalo","Sapkın Yaratık"
"heroes.name_fancy.gargoyle_kemeny","Acımasız Yaratık"
"heroes.name_fancy.gargoyle_matrera","Şüpheli Yaratık"
"heroes.name_fancy.gargoyle_mena","Titiz Yaratık"
"heroes.name_fancy.gargoyle_penolite","Merhametsiz Yaratık"
"heroes.name_fancy.gargoyle_pophit","Üstat Yaratık"
"heroes.name_fancy.gargoyle_soroca","Hiddetli Yaratık"
"heroes.name_fancy.gargoyle_uwe","Kabarık Yaratık"
"heroes.name_fancy.gargoyle_vincent","Korkmuş Yaratık"
"heroes.name_fancy.gargoyle_vonreine","Ateşli Yaratık"
"heroes.name_fancy.garrison_archibald","Sinir Bozucu Serdümen"
"heroes.name_fancy.garrison_beatrice","Levazım Çavuşu"
"heroes.name_fancy.garrison_caelen","Dalgın Şair"
"heroes.name_fancy.garrison_ciara","Titiz Komutan"
"heroes.name_fancy.garrison_dima","Domuzların Efendisi"
"heroes.name_fancy.garrison_fergus","Soğukkanlı Polis Memuru"
"heroes.name_fancy.garrison_flamehide","Kertenkele Halkı Kumarcısı"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Şehirli Çavuş"
"heroes.name_fancy.garrison_frostsnout","Kertenkele Halkı Bayraktarı"
"heroes.name_fancy.garrison_godfrey","Geveze Muhafız"
"heroes.name_fancy.garrison_greg","İçki Ustası"
"heroes.name_fancy.garrison_iarlaith","Şık Silahşor"
"heroes.name_fancy.garrison_iocantha","Gemi Polisi"
"heroes.name_fancy.garrison_kolya","Vurdumduymaz Bekçi"
"heroes.name_fancy.garrison_maisie","Neşeli Taş Ustası"
"heroes.name_fancy.garrison_pip","Gergin Elçi"
"heroes.name_fancy.garrison_rosalind","Neşeli Kaptan"
"heroes.name_fancy.garrison_shimmerscale","Kertenkele Halkı Fenercisi"
"heroes.name_fancy.garrison_theodosius","Cesur Onbaşı"
"heroes.name_fancy.garrison_vanya","Kararlı Kazmacı"
"heroes.name_fancy.garrison_violet_potts","Kaygısız Buçukluk"
"heroes.name_fancy.garrison_william","Gergin Gece Muhafızı"
"heroes.name_fancy.goblin_acidfire","Goblin Ölüm Büyücüsü"
"heroes.name_fancy.goblin_archer","Çevik Avcı"
"heroes.name_fancy.goblin_boom_and_fang","Pervasız İkili"
"heroes.name_fancy.goblin_boots","Dikkatsiz Muhafız"
"heroes.name_fancy.goblin_darkfeather","Uzman Kartal Eğitmeni"
"heroes.name_fancy.goblin_deadboot","Tarikatçı Goblin"
"heroes.name_fancy.goblin_fighter","Yankesici"
"heroes.name_fancy.goblin_fighter_costume_cute","Yankesici Çizgi"
"heroes.name_fancy.goblin_fighter_costume_evil","Cani"
"heroes.name_fancy.goblin_fighter_costume_glass","Cam Yankesici"
"heroes.name_fancy.goblin_fizzcoil","Goblin Trup Kemancısı"
"heroes.name_fancy.goblin_goldie","Goblin Güzeli"
"heroes.name_fancy.goblin_grimsteel","Donmuş Dağ'ın Keşişi"
"heroes.name_fancy.goblin_kettle","Mutfak Simyacısı"
"heroes.name_fancy.goblin_leafwizzle","Canavar Büyüleyicisi"
"heroes.name_fancy.goblin_madhammer","Kavgacı Goblin"
"heroes.name_fancy.goblin_mage","Bataklık Cadısı"
"heroes.name_fancy.goblin_mage_costume_candy","Şeker Cadısı"
"heroes.name_fancy.goblin_mage_costume_cute","Çizgi Cadı"
"heroes.name_fancy.goblin_mage_costume_glass","Cam Cadısı"
"heroes.name_fancy.goblin_mage_costume_toad","İğrenç Cadı"
"heroes.name_fancy.goblin_pepperflame","Meşhur Flütçü Goblin"
"heroes.name_fancy.goblin_ratgrub","Goblin Fare Nedimi"
"heroes.name_fancy.goblin_rocket","Yıkım Uzmanı"
"heroes.name_fancy.goblin_scrollbeast","Emekli Domuz Binicisi"
"heroes.name_fancy.goblin_smarttongue","Ozan Goblin"
"heroes.name_fancy.goblin_soursting","Kibirli Goblin Suikastçı"
"heroes.name_fancy.guardian_bat","Teltoc Kabusu"
"heroes.name_fancy.guardian_cat_warrior","Teltoc Savaşçısı"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Sert Panter"
"heroes.name_fancy.guardian_chameleon","Teltoc Elementeristi"
"heroes.name_fancy.guardian_elephant","Teltoc için Doğru Ok"
"heroes.name_fancy.guardian_falcon_priest","Teltoc Papazı"
"heroes.name_fancy.guardian_gazelle","Teltoc Rahibi"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Teltoc'un Hızlı Vurucusu"
"heroes.name_fancy.guardian_gorilla_chieftain","Teltoc Reisi"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Fatih Kong"
"heroes.name_fancy.guardian_hippo","Teltoc Canavarı"
"heroes.name_fancy.guardian_jackal_assassin","Teltoc Suikastçısı"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Teltoc'un Kemik Koleksiyoncusu"
"heroes.name_fancy.guardian_lemur","Teltoc'un Tamircisi"
"heroes.name_fancy.guardian_owl_gentleman","Elit Teltoc Muhafızı"
"heroes.name_fancy.halloween_alucard","Vampir Filizi"
"heroes.name_fancy.halloween_alucard_costume_mafia","Vampir Elebaşı"
"heroes.name_fancy.halloween_amber","Vampir Kanı Savaşçısı"
"heroes.name_fancy.halloween_ana_belle","Morlovia'nın Hizmetçisi"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Toz Baronesi"
"heroes.name_fancy.halloween_chester","Frigo Hayalet"
"heroes.name_fancy.halloween_edwin","Kurnaz Kahya"
"heroes.name_fancy.halloween_edwin_costume_mafia","Hain Kahya"
"heroes.name_fancy.halloween_francine","Canavar"
"heroes.name_fancy.halloween_francine_costume_mafia","Gangster"
"heroes.name_fancy.halloween_frank","Canavar"
"heroes.name_fancy.halloween_frank_costume_mafia","Gangster"
"heroes.name_fancy.halloween_goopy","Jelatinli Yapışkan"
"heroes.name_fancy.halloween_hortensia","Sinekkapanların Bakıcısı"
"heroes.name_fancy.halloween_jack","Bal Kabağı Ozanı"
"heroes.name_fancy.halloween_lucinda","Ekskalibur Süpürgesinin Taşıyıcısı"
"heroes.name_fancy.halloween_matilda","Kutsanmamış Pasta Şefi"
"heroes.name_fancy.halloween_miriam_and_midnight","Okült İkilisi"
"heroes.name_fancy.halloween_vanda","Vampir Kraliçe"
"heroes.name_fancy.halloween_vanda_costume_mafia","Suç Kraliçesi"
"heroes.name_fancy.halloween_wayne","Morlovia'nın Usta Büyücüsü"
"heroes.name_fancy.hidden_dark_god_myztero","Büyü Bozma Uzmanı"
"heroes.name_fancy.holy_god_aurox","Parlak Vahşi"
"heroes.name_fancy.holy_god_aviana","Doğan Komutan"
"heroes.name_fancy.holy_god_bai_yeong","Kılıç Dansçısı"
"heroes.name_fancy.holy_god_celidana","Kutsal Ruhbanların Lideri"
"heroes.name_fancy.holy_god_delilah","Yasak Adanın Kahramanı"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Göksel Tapınak Muhafızı"
"heroes.name_fancy.holy_god_devana","Dikbaşlı Avcı"
"heroes.name_fancy.holy_god_drake_lee","Dövüş Sanatları Ustası"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Huzurlu Dövüşçü"
"heroes.name_fancy.holy_god_faeona","Elf Beyaz Büyücü"
"heroes.name_fancy.holy_god_gilligan","Donkişotvari Maceracı"
"heroes.name_fancy.holy_god_hanitra","Lemur Tanrıçası"
"heroes.name_fancy.holy_god_ithar","Erdemli Kedi Hırsız"
"heroes.name_fancy.holy_god_kara","Kutsal Savunucu"
"heroes.name_fancy.holy_god_malosi","Hükümdar Şampiyon"
"heroes.name_fancy.holy_god_may","Keyifli Toplayıcı"
"heroes.name_fancy.holy_god_musashi","Yenilmez Ronin"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Kaçış Sanatçısı"
"heroes.name_fancy.holy_god_neith","Yolları Açan"
"heroes.name_fancy.holy_god_onatel","Kör Gören"
"heroes.name_fancy.holy_god_ranvir","Kutsal Sentor"
"heroes.name_fancy.holy_god_uraeus","Gizli Vezir"
"heroes.name_fancy.holy_god_zora","Gül Şövalyesi"
"heroes.name_fancy.ice_god_alexandrine","Adaletsizliğe Karşı Kalkan"
"heroes.name_fancy.ice_god_areax","Yarı At Buz Büyücüsü"
"heroes.name_fancy.ice_god_athena","Buzdan Gök Cismi"
"heroes.name_fancy.ice_god_athena_costume_cute","Çizgi Buzdan Gök Cismi"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Savaş Tanrıçası"
"heroes.name_fancy.ice_god_balur","Azılı Gladyatör"
"heroes.name_fancy.ice_god_callum","Acımasız İz Sürücü"
"heroes.name_fancy.ice_god_claeg","Lanetlenmiş Şifacı"
"heroes.name_fancy.ice_god_eskimo","Buz Devlerinin Avcısı"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Buz Dağı Şampiyonu"
"heroes.name_fancy.ice_god_frida","Arktik Tehdit"
"heroes.name_fancy.ice_god_frosth","Kış Getiren"
"heroes.name_fancy.ice_god_glenda","Büyülü Vaftiz Anne"
"heroes.name_fancy.ice_god_iris","Uzman Bozucu"
"heroes.name_fancy.ice_god_klaern","Kafiye Büyücüsü"
"heroes.name_fancy.ice_god_mene","Gecenin Peri Kraliçesi"
"heroes.name_fancy.ice_god_miki","Ayaz Hayvanı Katili"
"heroes.name_fancy.ice_god_nerasis","Sessiz Ölüm"
"heroes.name_fancy.ice_god_october","Donmuş İskoçyalı"
"heroes.name_fancy.ice_god_october_costume_farmer","Donmuş Çiftçi"
"heroes.name_fancy.ice_god_perseus","Zeus'un Oğlu"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Boreas'ın Rakibi"
"heroes.name_fancy.ice_god_raffaele","Sakin Kanalcı"
"heroes.name_fancy.ice_god_sini","Gök Mavisi Büyücü"
"heroes.name_fancy.ice_god_suzuna","Moda Tutkunu Büyücü"
"heroes.name_fancy.ice_god_vela","Sucul Efsuncu"
"heroes.name_fancy.institute_ellery","Sapkın Biyolog"
"heroes.name_fancy.institute_emilie","Eşikteki Diyar Kaşifi"
"heroes.name_fancy.institute_piper","Meraklı Tetikçi"
"heroes.name_fancy.institute_professor_morryster","Maskeli Alim"
"heroes.name_fancy.institute_ryleh","Yardımcı Arşivci"
"heroes.name_fancy.journey_change","Ay Işığının Seçilmişi"
"heroes.name_fancy.journey_erlang_shen","Cennetin Savaşçı Tanrısı"
"heroes.name_fancy.journey_general_yin","Şekil Değiştiren İblis General"
"heroes.name_fancy.journey_heifeng_guai","Kara Yel İblisi"
"heroes.name_fancy.journey_nineheaded_beast","Dokuz Başlı Prens"
"heroes.name_fancy.journey_queen_guowang","Emsalsiz Güzellik"
"heroes.name_fancy.journey_sha_wujing","Kum Keşişi"
"heroes.name_fancy.journey_tang_sanzang","Nehrin Büyük Gizemi"
"heroes.name_fancy.journey_xie_zi_jing","Akrep İblis"
"heroes.name_fancy.journey_xiong_shanjun","Ayı Dağı Lordu"
"heroes.name_fancy.journey_xiwangmu","Ana Kraliçe"
"heroes.name_fancy.kalevala_aino","Yaz Kızı"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Göl Kızı"
"heroes.name_fancy.kalevala_iku_turso","Derinliklerin Canavarı"
"heroes.name_fancy.kalevala_ilmarinen","Uzman Demirci"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Uzman Zanaatkar"
"heroes.name_fancy.kalevala_joukahainen","Azılı Avcı"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Donmuş Avcı"
"heroes.name_fancy.kalevala_kullervo","Kindar Oğul"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Savaş Yaralı Oğul"
"heroes.name_fancy.kalevala_lemminkainen","Ölümsüz Şampiyon"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Tükenen Şampiyon"
"heroes.name_fancy.kalevala_louhi","Kuzey'in Cadısı"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Kuzeyin Hanımı"
"heroes.name_fancy.kalevala_mielikki","Ormanın Ruhu"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Ayıların Koruyucusu"
"heroes.name_fancy.kalevala_mother_lemminkainen","Şampiyonun Kurtarıcısı"
"heroes.name_fancy.kalevala_otso","Bozkır Gezgini"
"heroes.name_fancy.kalevala_para","Hane Halkı Dostu"
"heroes.name_fancy.kalevala_suomuhauki","İri Turna Balığı"
"heroes.name_fancy.kalevala_ukkonen","Väinämöinen'in Lanetli Kralı"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Väinämöinen'in Şeytani Hısmı"
"heroes.name_fancy.kalevala_vainamoinen","Ebedi Ozan"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Ebedi Bilge"
"heroes.name_fancy.kingdom_cao_cao","Wei'nin Savaş Lordu"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Buz Savaş Lordu"
"heroes.name_fancy.kingdom_diaochan","Göz Alıcı Güzellik"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Çiçek Güzelliği"
"heroes.name_fancy.kingdom_guan_yu","Cesur General"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Cehennem Generali"
"heroes.name_fancy.kingdom_jing","Shu Piyade Eri"
"heroes.name_fancy.kingdom_li","Wu Piyade Eri"
"heroes.name_fancy.kingdom_liu_bei","Shu'nun Savaş Lordu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Orman Savaş Lordu"
"heroes.name_fancy.kingdom_lu_bu","Hiddetli Savaş Lordu"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Hiddetli Kaplan Savaş Lordu"
"heroes.name_fancy.kingdom_sun_quan","Wu'nun Savaş Lordu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Talih Savaş Lordu"
"heroes.name_fancy.kingdom_sun_shangxiang","Asil Cengaver"
"heroes.name_fancy.kingdom_wang_yuanji","Kibar Soylu Kadın"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Kibar Kaligraf"
"heroes.name_fancy.kingdom_xiahou_dun","Tek Gözlü Komutan"
"heroes.name_fancy.kingdom_yao","Wei Piyade Eri"
"heroes.name_fancy.kingdom_zhang_fei","Acımasız General"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Acımasız Ayı General"
"heroes.name_fancy.kingdom_zhou_yu","Genç Komutan"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Kuzgun Komutan"
"heroes.name_fancy.kingdom_zhuge_liang","Usta Stratejist"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Strateji Uzmanı Üstünlüğü"
"heroes.name_fancy.knights_bauchan","Avalon Canavarı"
"heroes.name_fancy.knights_black_knight","Avalon Dehşeti"
"heroes.name_fancy.knights_black_knight_costume_negative","Negatif Şövalye"
"heroes.name_fancy.knights_gawain","Gök Mavisi Şövalye"
"heroes.name_fancy.knights_green_knight","Avalon'un Rakibi"
"heroes.name_fancy.knights_guinevere","Avalon Kraliçesi"
"heroes.name_fancy.knights_guinevere_costume_rider","Avalon'un Ejder Binicisi"
"heroes.name_fancy.knights_king_arthur","Avalon Kralı"
"heroes.name_fancy.knights_lady_of_the_lake","Avalon Büyücüsü"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Bıçakların Hanımı"
"heroes.name_fancy.knights_merlin","Avalon Sihirbazı"
"heroes.name_fancy.knights_merlin_costume_astrology","Avalon'un Astronomi Sevdalısı"
"heroes.name_fancy.knights_morgan_le_fay","Avalon Sihirbazı"
"heroes.name_fancy.knights_sir_lancelot","Avalon Şövalyesi"
"heroes.name_fancy.knights_treevil","Avalon'un Kötülüğü"
"heroes.name_fancy.lionman_barbarian","Son Leor"
"heroes.name_fancy.lionman_barbarian_costume_armor","Leor Kralı"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Aslan Bebek Bakıcısı"
"heroes.name_fancy.lionman_barbarian_costume_cute","Çizgi Leor"
"heroes.name_fancy.lionman_barbarian_costume_glass","Cam Leor"
"heroes.name_fancy.lizardman_trapper","Kertenkele Reisi"
"heroes.name_fancy.lizardman_trapper_costume_cute","Çizgi Şef"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Kertenkele Halkı Balıkçısı"
"heroes.name_fancy.lizardman_trapper_costume_glass","Cam Reis"
"heroes.name_fancy.lizardman_trapper_costume_shaman","İhtiyar Kertenkele"
"heroes.name_fancy.lizardman_warrior","Kertenkele Dövüşçüsü"
"heroes.name_fancy.lizardman_warrior_costume_cute","Çizgi Dövüşçü"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Kertenkele Atası"
"heroes.name_fancy.lizardman_warrior_costume_glass","Cam Dövüşçüsü"
"heroes.name_fancy.lunar_new_year_baishu","Ay Akrobat Faresi"
"heroes.name_fancy.lunar_new_year_gongniu","Ay Muhafızı Öküz"
"heroes.name_fancy.lunar_new_year_laohu","Ay Dövüşçü Kaplan"
"heroes.name_fancy.lunar_new_year_qinglong","Ay Stratejisti Ejderha"
"heroes.name_fancy.lunar_new_year_xiaoqing","Ay Müzisyen Yılanı"
"heroes.name_fancy.lunar_new_year_xiaotu","Ay Koruyucu Tavşan"
"heroes.name_fancy.magic_agrafena","Başmüfettiş"
"heroes.name_fancy.magic_agrafena_costume_dark","Yüce Karanlık Büyücü"
"heroes.name_fancy.magic_anastasia","Çırak Ulak"
"heroes.name_fancy.magic_anton","Genç Öğrenci"
"heroes.name_fancy.magic_becky","Yıldız Işığı Büyücüsü"
"heroes.name_fancy.magic_becky_costume_gothic","Alaca Karanlık Efsuncusu"
"heroes.name_fancy.magic_camilla","Gizli Tamiratçı"
