"heroes.name_fancy.astral_cosmicspeaker","Stjärnalvernas astronom"
"heroes.name_fancy.fire_god_maple","Fe från lummiga skogar"
"heroes.name_fancy.fire_god_nadnog","Den eldiga helaren"
"heroes.name_fancy.fire_god_natalya","Eldfödd besvärjerska"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Eldfödd sömmerska"
"heroes.name_fancy.fire_god_neema","Eldtrollkarl"
"heroes.name_fancy.fire_god_noor","Sparvviskare"
"heroes.name_fancy.fire_god_reuben","Svuren ockultist"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Oskiljaktiga"
"heroes.name_fancy.fire_god_russell","Rasande pyromantiker"
"heroes.name_fancy.fire_god_skargremar","Pionjäreftertrupp"
"heroes.name_fancy.fire_god_tahir","Nomadisk jägare"
"heroes.name_fancy.fire_god_yang_mai","Solens näve"
"heroes.name_fancy.fire_god_zagrog","Ensam skurk"
"heroes.name_fancy.fire_god_zarga","Snabbsvärd"
"heroes.name_fancy.fire_god_zidane","Charmig kapare"
"heroes.name_fancy.fire_god_zimkitha","Förlorad dotter"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Förlorad äventyrare"
"heroes.name_fancy.fleur_elyzabel","Rödblommig grevinna"
"heroes.name_fancy.fleur_eumachius","Rödblommig ättling"
"heroes.name_fancy.fleur_guillemette","Rödblommig korsfarare"
"heroes.name_fancy.fleur_lavinia","Rödblommig drömmare"
"heroes.name_fancy.fleur_ludovico","Rödblommig hovmästare"
"heroes.name_fancy.fleur_talesie","Rödblommig lönnmördare"
"heroes.name_fancy.forest_archer","Duglig bågskytt"
"heroes.name_fancy.forest_archer_costume_cute","Tecknad pilbågsskytt"
"heroes.name_fancy.forest_archer_costume_glass","Glasbågskytt"
"heroes.name_fancy.forest_archer_costume_warrior","Skicklig bågskytt"
"heroes.name_fancy.forest_female_druid","Druid från Rathwood"
"heroes.name_fancy.forest_female_druid_costume_cute","Tecknad Rathwood"
"heroes.name_fancy.forest_female_druid_costume_glass","Glasmålning från Rathwood"
"heroes.name_fancy.forest_female_druid_costume_native","Concordias shaman"
"heroes.name_fancy.forest_female_elf","Månskenets sköldmästare"
"heroes.name_fancy.forest_female_elf_costume_cute","Tecknad sköldmästare"
"heroes.name_fancy.forest_female_elf_costume_fairy","Månbelyst fe"
"heroes.name_fancy.forest_female_elf_costume_glass","Glassköldmästare"
"heroes.name_fancy.forest_female_elf_costume_mage","Månljusprästinna"
"heroes.name_fancy.forest_female_illusionist","Växtviskare"
"heroes.name_fancy.forest_female_spirit","Gläntans ande"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Lundens ande"
"heroes.name_fancy.forest_female_spirit_costume_cute","Tecknad ande"
"heroes.name_fancy.forest_female_spirit_costume_glass","Glasande"
"heroes.name_fancy.forest_female_warrior","Byflicka"
"heroes.name_fancy.forest_friar","Jovialisk broder"
"heroes.name_fancy.forest_friar_costume_cute","Gladlynt tecknad figur"
"heroes.name_fancy.forest_friar_costume_explorer","Jovialisk utforskare"
"heroes.name_fancy.forest_friar_costume_glass","Munter glasmålning"
"heroes.name_fancy.forest_god_elinor","Skattjägare"
"heroes.name_fancy.forest_god_elradir","Vild trollkarl från Månskogen"
"heroes.name_fancy.forest_god_evelyn","Modig arvtagerska"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Modig jägarinna"
"heroes.name_fancy.forest_god_grace","Skogscervitaur"
"heroes.name_fancy.forest_god_gregorion","Den lärande bågskytten"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Eremitalkemisten"
"heroes.name_fancy.forest_god_kingston","Den ädla lönnmördaren"
"heroes.name_fancy.forest_god_oberon","Feernas mästare"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Skogsriddare"
"heroes.name_fancy.forest_god_telluria","Skogsgud"
"heroes.name_fancy.forest_god_zeline","Naturens stjärna"
"heroes.name_fancy.forest_god_zeline_costume_avian","Himmelsk fågel"
"heroes.name_fancy.forest_god_zocc","Nycklarnas mästare"
"heroes.name_fancy.forest_mage","Skogens vishet"
"heroes.name_fancy.forest_mage_costume_cute","Tecknad trollkarl"
"heroes.name_fancy.forest_mage_costume_glass","Skogens glasmålning"
"heroes.name_fancy.forest_mage_costume_party","Grupptrollkarl"
"heroes.name_fancy.forest_mage_costume_white","Mäktig trollkarl"
"heroes.name_fancy.forest_male_elf","Månskenets spjutmästare"
"heroes.name_fancy.forest_male_elf_costume_cute","Tecknad spjutmästare"
"heroes.name_fancy.forest_male_elf_costume_dark","Månbelyst erövrare"
"heroes.name_fancy.forest_male_elf_costume_glass","Glasspjutmästare"
"heroes.name_fancy.forest_male_elf_costume_king","Månbelyst konung"
"heroes.name_fancy.forest_thug","Yrkesbandit"
"heroes.name_fancy.forest_titan","Skogsäldste"
"heroes.name_fancy.forest_titan_costume_cute","Tecknad skogsfigur"
"heroes.name_fancy.forest_titan_costume_glass","Skogens glasmålning"
"heroes.name_fancy.forest_titan_costume_jester","Tränarr"
"heroes.name_fancy.forest_titan_costume_nightmare","Skogens mardröm"
"heroes.name_fancy.forest_woodsman","Enkel skogsman"
"heroes.name_fancy.forest_woodsman_warrior","Mäktig broder"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Smygande broder"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Mäktig tecknad figur"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Mäktig glasmålning"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Mäktig högländare"
"heroes.name_fancy.forsaken_demhalar","Den märkliga invånaren"
"heroes.name_fancy.forsaken_jax","Härjande huligan"
"heroes.name_fancy.forsaken_kadath","Avskyvärd präst"
"heroes.name_fancy.forsaken_khatrox","Fördärvad slagskämpe"
"heroes.name_fancy.forsaken_lamentia","Avgrundens tjänare"
"heroes.name_fancy.fox_ashen","Den silverryggade räven"
"heroes.name_fancy.fox_ember","Brandvarnarräven"
"heroes.name_fancy.fox_foxglove","Den sluga öronräven"
"heroes.name_fancy.fox_foxley","Den gråa rävbanditen"
"heroes.name_fancy.fox_halcyon","Den vaktande gråräven"
"heroes.name_fancy.fox_nettletail","Den snälla skogsvaktarräven"
"heroes.name_fancy.fox_nibbles","Den hungriga rävungen"
"heroes.name_fancy.fox_riverfang","Korsakräven med trollkrafter"
"heroes.name_fancy.fox_rust","Den röda väktarräven"
"heroes.name_fancy.fox_sable","Den försvunna prinsessräven"
"heroes.name_fancy.fox_shadowfang","Bensamlarsandräven"
"heroes.name_fancy.fox_silverpaw","Piratfennek"
"heroes.name_fancy.fox_spiff","Kunglig riddarräv"
"heroes.name_fancy.fox_swiftpaw","Lönnmördarsilverräven"
"heroes.name_fancy.fox_whitefang","Jägarfjällräven"
"heroes.name_fancy.gargoyle_arco","Beslutsam grotesk"
"heroes.name_fancy.gargoyle_bellerive","Ondskefull grotesk"
"heroes.name_fancy.gargoyle_betty","Rask grotesk"
"heroes.name_fancy.gargoyle_budatin","Våldsam grotesk"
"heroes.name_fancy.gargoyle_el_duque","Välsignad grotesk"
"heroes.name_fancy.gargoyle_gaillard","Listig grotesk"
"heroes.name_fancy.gargoyle_garten","Festgrotesk"
"heroes.name_fancy.gargoyle_goseck","Förrädisk grotesk"
"heroes.name_fancy.gargoyle_grumbl","Klok grotesk"
"heroes.name_fancy.gargoyle_guffa","Stoisk grotesk"
"heroes.name_fancy.gargoyle_hilda","Våghalsig grotesk"
"heroes.name_fancy.gargoyle_hohenwerf","Blodtörstig grotesk"
"heroes.name_fancy.gargoyle_kalo","Galen grotesk"
"heroes.name_fancy.gargoyle_kemeny","Härdad grotesk"
"heroes.name_fancy.gargoyle_matrera","Lömsk grotesk"
"heroes.name_fancy.gargoyle_mena","Pedantisk grotesk"
"heroes.name_fancy.gargoyle_penolite","Obeveklig grotesk"
"heroes.name_fancy.gargoyle_pophit","Virtuosgrotesk"
"heroes.name_fancy.gargoyle_soroca","Ursinnig grotesk"
"heroes.name_fancy.gargoyle_uwe","Pälsklädd grotesk"
"heroes.name_fancy.gargoyle_vincent","Skrämd grotesk"
"heroes.name_fancy.gargoyle_vonreine","Eldig grotesk"
"heroes.name_fancy.garrison_archibald","Omskakande kvartermästare"
"heroes.name_fancy.garrison_beatrice","Kvartermästarsergeant"
"heroes.name_fancy.garrison_caelen","Filosofisk poet"
"heroes.name_fancy.garrison_ciara","Strikt befälhavare"
"heroes.name_fancy.garrison_dima","Svinmästaren"
"heroes.name_fancy.garrison_fergus","Orubblig konstapel"
"heroes.name_fancy.garrison_flamehide","Ödlefolkspelare"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Snillrik sergeant"
"heroes.name_fancy.garrison_frostsnout","Ödlefolkets flaggbärare"
"heroes.name_fancy.garrison_godfrey","Pratsjuk vakt"
"heroes.name_fancy.garrison_greg","Groggmästare"
"heroes.name_fancy.garrison_iarlaith","Stilsäker fäktare"
"heroes.name_fancy.garrison_iocantha","Vapenmästare"
"heroes.name_fancy.garrison_kolya","Slö väktare"
"heroes.name_fancy.garrison_maisie","Den muntra muraren"
"heroes.name_fancy.garrison_pip","Nervös budbärare"
"heroes.name_fancy.garrison_rosalind","Munter kapten"
"heroes.name_fancy.garrison_shimmerscale","Ödlefolkets lyktbärare"
"heroes.name_fancy.garrison_theodosius","Oförskräckt korpral"
"heroes.name_fancy.garrison_vanya","Stoisk sappör"
"heroes.name_fancy.garrison_violet_potts","Helglad halvman"
"heroes.name_fancy.garrison_william","Nervös nattvakt"
"heroes.name_fancy.goblin_acidfire","Svartalfsnekromantiker"
"heroes.name_fancy.goblin_archer","Rask jägare"
"heroes.name_fancy.goblin_boom_and_fang","Vettlös duo"
"heroes.name_fancy.goblin_boots","Ouppmärksam vakt"
"heroes.name_fancy.goblin_darkfeather","Duktig örntränare"
"heroes.name_fancy.goblin_deadboot","Svartalfssektmedlem"
"heroes.name_fancy.goblin_fighter","Ficktjuven"
"heroes.name_fancy.goblin_fighter_costume_cute","Tecknad ficktjuv"
"heroes.name_fancy.goblin_fighter_costume_evil","Dråparen"
"heroes.name_fancy.goblin_fighter_costume_glass","Glasficktjuv"
"heroes.name_fancy.goblin_fizzcoil","Svartalfstruppens violinist"
"heroes.name_fancy.goblin_goldie","Svartalfsdonna"
"heroes.name_fancy.goblin_grimsteel","Eremit från det frusna berget"
"heroes.name_fancy.goblin_kettle","Köksalkemist"
"heroes.name_fancy.goblin_leafwizzle","Odjurens förtrollare"
"heroes.name_fancy.goblin_madhammer","Svartalfsbrottare"
"heroes.name_fancy.goblin_mage","Träskets häxa"
"heroes.name_fancy.goblin_mage_costume_candy","Godishäxa"
"heroes.name_fancy.goblin_mage_costume_cute","Tecknad häxa"
"heroes.name_fancy.goblin_mage_costume_glass","Glashäxa"
"heroes.name_fancy.goblin_mage_costume_toad","Paddhäxa"
"heroes.name_fancy.goblin_pepperflame","Berömd svartalfsflöjtist"
"heroes.name_fancy.goblin_ratgrub","Svartalvsråtthovman"
"heroes.name_fancy.goblin_rocket","Expert på sprängämnen"
"heroes.name_fancy.goblin_scrollbeast","Pensionerad vildsvinsryttare"
"heroes.name_fancy.goblin_smarttongue","Svartalfsbard"
"heroes.name_fancy.goblin_soursting","Arrogant svartalfslönnmördare"
"heroes.name_fancy.guardian_bat","Teltocs mardröm"
"heroes.name_fancy.guardian_cat_warrior","Teltocs krigare"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Vild panter"
"heroes.name_fancy.guardian_chameleon","Teltocs elementmagiker"
"heroes.name_fancy.guardian_elephant","Teltocs trogna pil"
"heroes.name_fancy.guardian_falcon_priest","Teltocs präst"
"heroes.name_fancy.guardian_gazelle","Teltocs druid"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Teltocs kvicka anfallare"
"heroes.name_fancy.guardian_gorilla_chieftain","Teltocs hövding"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Erövraren Kong"
"heroes.name_fancy.guardian_hippo","Teltocs råskinn"
"heroes.name_fancy.guardian_jackal_assassin","Teltocs lönnmördare"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Teltocs bensamlare"
"heroes.name_fancy.guardian_lemur","Teltocs beskyddare"
"heroes.name_fancy.guardian_owl_gentleman","Teltocs elitväktare"
"heroes.name_fancy.halloween_alucard","Vampyrarvtagare"
"heroes.name_fancy.halloween_alucard_costume_mafia","Vampyrboss"
"heroes.name_fancy.halloween_amber","Vampyrisk blodskrigare"
"heroes.name_fancy.halloween_ana_belle","Morlovias städhjälp"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Stoftets baronessa"
"heroes.name_fancy.halloween_chester","Det ovänliga spöket"
"heroes.name_fancy.halloween_edwin","Listig butler"
"heroes.name_fancy.halloween_edwin_costume_mafia","Den rygghuggande butlern"
"heroes.name_fancy.halloween_francine","Monstrinnan"
"heroes.name_fancy.halloween_francine_costume_mafia","Maffiadrottningen"
"heroes.name_fancy.halloween_frank","Monstret"
"heroes.name_fancy.halloween_frank_costume_mafia","Maffiakungen"
"heroes.name_fancy.halloween_goopy","Geléaktig gegga"
"heroes.name_fancy.halloween_hortensia","Flugfällornas främjare"
"heroes.name_fancy.halloween_jack","Pumpaunderhållare"
"heroes.name_fancy.halloween_lucinda","Ägare av vapnet Excalibroom"
"heroes.name_fancy.halloween_matilda","Ohelig bagare"
"heroes.name_fancy.halloween_miriam_and_midnight","Ockult duo"
"heroes.name_fancy.halloween_vanda","Vampyrdrottning"
"heroes.name_fancy.halloween_vanda_costume_mafia","Brottens drottning"
"heroes.name_fancy.halloween_wayne","Morlovias stora magiker"
"heroes.name_fancy.hidden_dark_god_myztero","Besvärjelsekrökande gåta"
"heroes.name_fancy.holy_god_aurox","Den strålande bärsärken"
"heroes.name_fancy.holy_god_aviana","Falkbefälet"
"heroes.name_fancy.holy_god_bai_yeong","Svärdsdansare"
"heroes.name_fancy.holy_god_celidana","Heliga prästerskapets ledare"
"heroes.name_fancy.holy_god_delilah","Den förbjudna öns hjälte"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Stjärntemplets väktare"
"heroes.name_fancy.holy_god_devana","Ihärdig jägarinna"
"heroes.name_fancy.holy_god_drake_lee","Kampsportsmästaren"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Lugn kämpe"
"heroes.name_fancy.holy_god_faeona","Alvisk vitmagiker"
"heroes.name_fancy.holy_god_gilligan","Quixotisk äventyrare"
"heroes.name_fancy.holy_god_hanitra","Lemurisk gudinna"
"heroes.name_fancy.holy_god_ithar","Dygdig inbrottstjuv"
"heroes.name_fancy.holy_god_kara","Helgad försvarare"
"heroes.name_fancy.holy_god_malosi","Regerande mästare"
"heroes.name_fancy.holy_god_may","Den lyckliga skördaren"
"heroes.name_fancy.holy_god_musashi","Oövervinnerlig ronin"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Utbrytarkung"
"heroes.name_fancy.holy_god_neith","Vägöppnaren"
"heroes.name_fancy.holy_god_onatel","Den blinda siaren"
"heroes.name_fancy.holy_god_ranvir","Helig kentaur"
"heroes.name_fancy.holy_god_uraeus","Hemlig visir"
"heroes.name_fancy.holy_god_zora","Rosens riddare"
"heroes.name_fancy.ice_god_alexandrine","Skölden mot orättvisor"
"heroes.name_fancy.ice_god_areax","Ismagiker, till hälften häst"
"heroes.name_fancy.ice_god_athena","Isens stjärna"
"heroes.name_fancy.ice_god_athena_costume_cute","Isens tecknade stjärna"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Krigsgudinna"
"heroes.name_fancy.ice_god_balur","Blodtörstig gladiator"
"heroes.name_fancy.ice_god_callum","Ihärdig spårare"
"heroes.name_fancy.ice_god_claeg","Fördömd läkare"
"heroes.name_fancy.ice_god_eskimo","Isjättejägarinna"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Isbergskämpe"
"heroes.name_fancy.ice_god_frida","Arktiskt hot"
"heroes.name_fancy.ice_god_frosth","Vinterbringare"
"heroes.name_fancy.ice_god_glenda","Magisk gudmor"
"heroes.name_fancy.ice_god_iris","Expertavbrytare"
"heroes.name_fancy.ice_god_klaern","Frosthäxmästare"
"heroes.name_fancy.ice_god_mene","Nattens fedrottning"
"heroes.name_fancy.ice_god_miki","Dräpare av frostbestar"
"heroes.name_fancy.ice_god_nerasis","Den tysta döden"
"heroes.name_fancy.ice_god_october","Frusen högländare"
"heroes.name_fancy.ice_god_october_costume_farmer","Frusen bonde"
"heroes.name_fancy.ice_god_perseus","Zeus son"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Boreas utmanare"
"heroes.name_fancy.ice_god_raffaele","Stilla kanaliserare"
"heroes.name_fancy.ice_god_sini","Azurmagikern"
"heroes.name_fancy.ice_god_suzuna","Modemedveten magiker"
"heroes.name_fancy.ice_god_vela","Vattenbesvärjare"
"heroes.name_fancy.institute_ellery","Abnorm biolog"
"heroes.name_fancy.institute_emilie","Utforskare av världen mellan världar"
"heroes.name_fancy.institute_piper","Nyfiken lejd skytt"
"heroes.name_fancy.institute_professor_morryster","Det maskerade snillet"
"heroes.name_fancy.institute_ryleh","Arkivassistent"
"heroes.name_fancy.journey_change","Vald av månljuset"
"heroes.name_fancy.journey_erlang_shen","Himmelsk krigargud"
"heroes.name_fancy.journey_general_yin","Hamnskiftande demongeneral"
"heroes.name_fancy.journey_heifeng_guai","Svart vinddemon"
"heroes.name_fancy.journey_nineheaded_beast","Niohövdad prinsgemål"
"heroes.name_fancy.journey_queen_guowang","Sällan skådad skönhet"
"heroes.name_fancy.journey_sha_wujing","Sandmunk"
"heroes.name_fancy.journey_tang_sanzang","Flodens stora mysterium"
"heroes.name_fancy.journey_xie_zi_jing","Skorpiondemon"
"heroes.name_fancy.journey_xiong_shanjun","Bergens björnherre"
"heroes.name_fancy.journey_xiwangmu","Drottningmodern"
"heroes.name_fancy.kalevala_aino","Sommarjungfru"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Sjöflicka"
"heroes.name_fancy.kalevala_iku_turso","Djupens odjur"
"heroes.name_fancy.kalevala_ilmarinen","Expertsmed"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Experthantverkare"
"heroes.name_fancy.kalevala_joukahainen","Blodtörstig jägare"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Frusen jägare"
"heroes.name_fancy.kalevala_kullervo","Hämndlysten son"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Krigsdrabbad son"
"heroes.name_fancy.kalevala_lemminkainen","Odödlig mästare"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Tynande förkämpe"
"heroes.name_fancy.kalevala_louhi","Nordens häxa"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Nordens härskarinna"
"heroes.name_fancy.kalevala_mielikki","Skogens ande"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Björnarnas beskyddare"
"heroes.name_fancy.kalevala_mother_lemminkainen","Förkämpens räddare"
"heroes.name_fancy.kalevala_otso","Stäppvandrare"
"heroes.name_fancy.kalevala_para","Hushållsande"
"heroes.name_fancy.kalevala_suomuhauki","Jättegädda"
"heroes.name_fancy.kalevala_ukkonen","Väinämöinens förbannade ättling"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Väinämöinens infernaliska ättling"
"heroes.name_fancy.kalevala_vainamoinen","Evig bard"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Evigt vis"
"heroes.name_fancy.kingdom_cao_cao","Wei-krigsherre"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Isens herre"
"heroes.name_fancy.kingdom_diaochan","Briljant skönhet"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Blomsterskönhet"
"heroes.name_fancy.kingdom_guan_yu","Tapper general"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Infernogeneral"
"heroes.name_fancy.kingdom_jing","Shus fotsoldat"
"heroes.name_fancy.kingdom_li","Wus fotsoldat"
"heroes.name_fancy.kingdom_liu_bei","Shus krigsherre"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Skogens herre"
"heroes.name_fancy.kingdom_lu_bu","Ilsken krigsherre"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Ilsken tigerkrigsherre"
"heroes.name_fancy.kingdom_sun_quan","Wus krigsherre"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Lyckans krigsherre"
"heroes.name_fancy.kingdom_sun_shangxiang","Ädel krigare"
"heroes.name_fancy.kingdom_wang_yuanji","Vänlig adelsdam"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Vänlig kalligraf"
"heroes.name_fancy.kingdom_xiahou_dun","Enögd befälhavare"
"heroes.name_fancy.kingdom_yao","Weis fotsoldat"
"heroes.name_fancy.kingdom_zhang_fei","Skoningslös general"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Skoningslös björngeneral"
"heroes.name_fancy.kingdom_zhou_yu","Ung befälhavare"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Korpbefälhavare"
"heroes.name_fancy.kingdom_zhuge_liang","Mästerstrateg"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Överlägsen strateg"
"heroes.name_fancy.knights_bauchan","Avalons gast"
"heroes.name_fancy.knights_black_knight","Avalons skräck"
"heroes.name_fancy.knights_black_knight_costume_negative","Negativ riddare"
"heroes.name_fancy.knights_gawain","Azurblå riddare"
"heroes.name_fancy.knights_green_knight","Avalons utmanare"
"heroes.name_fancy.knights_guinevere","Avalons drottning"
"heroes.name_fancy.knights_guinevere_costume_rider","Avalons drakryttare"
"heroes.name_fancy.knights_king_arthur","Avalons kung"
"heroes.name_fancy.knights_lady_of_the_lake","Avalons trollkvinna"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Klingornas härskarinna"
"heroes.name_fancy.knights_merlin","Avalons trollkarl"
"heroes.name_fancy.knights_merlin_costume_astrology","Avalons astromantiker"
"heroes.name_fancy.knights_morgan_le_fay","Avalons besvärjelska"
"heroes.name_fancy.knights_sir_lancelot","Avalons riddare"
"heroes.name_fancy.knights_treevil","Avalons ondska"
"heroes.name_fancy.lionman_barbarian","Den sista leoren"
"heroes.name_fancy.lionman_barbarian_costume_armor","Leorernas kung"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Leor-barnvakt"
"heroes.name_fancy.lionman_barbarian_costume_cute","Tecknad leor"
"heroes.name_fancy.lionman_barbarian_costume_glass","Glasleor"
"heroes.name_fancy.lizardman_trapper","Ödlefolkets hövding"
"heroes.name_fancy.lizardman_trapper_costume_cute","Tecknad hövding"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Ödlefolkets fiskare"
"heroes.name_fancy.lizardman_trapper_costume_glass","Glashövding"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Ödlefolkets äldste"
"heroes.name_fancy.lizardman_warrior","Ödlefolkets kämpe"
"heroes.name_fancy.lizardman_warrior_costume_cute","Tecknad kämpe"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Ödlefolkets förfader"
"heroes.name_fancy.lizardman_warrior_costume_glass","Glaskämpe"
"heroes.name_fancy.lunar_new_year_baishu","Månakrobatråtta"
"heroes.name_fancy.lunar_new_year_gongniu","Månväktaroxe"
"heroes.name_fancy.lunar_new_year_laohu","Månkämpetiger"
"heroes.name_fancy.lunar_new_year_qinglong","Månstrategdrake"
"heroes.name_fancy.lunar_new_year_xiaoqing","Månmusikerorm"
"heroes.name_fancy.lunar_new_year_xiaotu","Månbeskyddarkanin"
"heroes.name_fancy.magic_agrafena","Det allseende ögat"
"heroes.name_fancy.magic_agrafena_costume_dark","Mörkrets övermagiker"
"heroes.name_fancy.magic_anastasia","Aspirerande åkallare"
"heroes.name_fancy.magic_anton","Unglärling"
"heroes.name_fancy.magic_becky","Stjärnljusbesvärjare"
"heroes.name_fancy.magic_becky_costume_gothic","Skymningsbesvärjare"
"heroes.name_fancy.magic_camilla","Hemlig mekaniker"
"heroes.name_fancy.magic_camilla_costume_flower","Grönskande meckare"
"heroes.name_fancy.magic_carpet_agadh","Mattflygarmördare"
"heroes.name_fancy.magic_carpet_amelia","Magisk flygare"
"heroes.name_fancy.magic_carpet_bart","Mattflygarfartdåre"
"heroes.name_fancy.magic_carpet_bertha","Tillverkare av flygande mattor"
"heroes.name_fancy.magic_carpet_crustee","Magiskt labb-geni"
"heroes.name_fancy.magic_carpet_elyssa","Mattflygargourmand"
"heroes.name_fancy.magic_carpet_jwala","Magisk lavaflicka"
"heroes.name_fancy.magic_carpet_kesha","Al-Layls besvärjerska"
"heroes.name_fancy.magic_carpet_lando","Mattflygarcharmör"
"heroes.name_fancy.magic_carpet_lilli","Mattflygarkattdam"
"heroes.name_fancy.magic_carpet_manpip","Nervös mattflygare"
"heroes.name_fancy.magic_carpet_naeem","Mattflygarvagabond"
"heroes.name_fancy.magic_carpet_ragrim","Mattflygarbotaniker"
"heroes.name_fancy.magic_carpet_shareef","Ostoppbar trollkarl"
"heroes.name_fancy.magic_carpet_zazha","Mattflygarhelare"
"heroes.name_fancy.magic_cristobal","Förtrollningsprofessor"
"heroes.name_fancy.magic_cristobal_costume_emerald","Trollkraftsprofessor"
"heroes.name_fancy.magic_dolgoon","Lärd bibliotekarie"
"heroes.name_fancy.magic_jett","Offersändebud"
"heroes.name_fancy.magic_kornel","Veteranvakt"
"heroes.name_fancy.magic_lucy","Magibollsunderbarn"
"heroes.name_fancy.magic_milena","Lärare i den förbjudna konsten"
"heroes.name_fancy.magic_milena_costume_ice","Lärare i ismagi"
"heroes.name_fancy.magic_motega","Förste viltvårdare"
"heroes.name_fancy.magic_nadezhda","Rektorn i tornet"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Tornpostmästare"
"heroes.name_fancy.magic_ray","Hovets kämpe"
"heroes.name_fancy.magic_ray_costume_spiky","Brambles kämpe"
"heroes.name_fancy.magic_roxia","Uråldrig klotterentusiast"
"heroes.name_fancy.magic_sergei","Studerar den förbjudna konsten"
"heroes.name_fancy.magic_telonius","Skogsbygdens kentaur"
"heroes.name_fancy.magic_ulius","Säregen uppfinnartrollkarl"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Säregen hemlig buckanjär"
"heroes.name_fancy.magic_vaishali","Mystisk schackmästare"
"heroes.name_fancy.magic_vaishali_costume_chef","Mystisk pajmästare"
"heroes.name_fancy.magic_willow","Levitationsmästare"
"heroes.name_fancy.magitech_sniper","Magiteknisk prickskytt"
"heroes.name_fancy.magitech_sniper_costume_cute","Tecknad prickskytt"
"heroes.name_fancy.magitech_sniper_costume_glass","Glasprickskytt"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Steampunkkrypskytt"
"heroes.name_fancy.magitech_sniper_costume_undead","Odöd krypskytt"
"heroes.name_fancy.mahayoddha_ali","Begåvad springpojke"
"heroes.name_fancy.mahayoddha_bhima","Vayus son"
"heroes.name_fancy.mahayoddha_bonga","Korgmakare"
"heroes.name_fancy.mahayoddha_chitrangada","Manipuras krigarprinsessa"
"heroes.name_fancy.mahayoddha_rafeeq","Klipsk politiker"
"heroes.name_fancy.mahayoddha_ustad_anand","Kunglig artist"
"heroes.name_fancy.mahayoddha_veer","Stolt lönnmördare"
"heroes.name_fancy.masquerade_alessia","Aradias anhängare"
"heroes.name_fancy.masquerade_aradia","Maskerad häxkonstgudinna"
"heroes.name_fancy.masquerade_carmenta","Maskerad besvärjelsegudinna"
"heroes.name_fancy.masquerade_cel","Maskerad jordgudinna"
"heroes.name_fancy.masquerade_februus","Maskerad reningsgud"
"heroes.name_fancy.masquerade_fortuna","Maskerad ödesgudinna"
"heroes.name_fancy.masquerade_fosco","Februus anhängare"
"heroes.name_fancy.masquerade_jana","Maskerad mångudinna"
