"specials.name.a_cozy_break","A Cozy Break"
"specials.name.dragon_inspirational_breath","Inspirational Breath"
"specials.name.dragon_mana_infused_breath","Mana Infused Breath"
"specials.name.dragon_mindless_blaze","Mindless Blaze"
"specials.name.dragon_novices_blaze","Novice's Blaze"
"specials.name.dragon_pacifying_breath","Pacifying Breath"
"specials.name.dragon_protective_breath","Protective Breath"
"specials.name.dragon_rallying_breath","Rallying Breath"
"specials.name.dragon_resuscitating_breath","Resuscitating Breath"
"specials.name.dragon_revitalizing_breath","Revitalizing Breath"
"specials.name.dragon_sacred_flame","Sacred Flame"
"specials.name.dragon_sacred_flame_harmonis","Sacred Flame"
"specials.name.dragon_searing_blaze","Searing Blaze"
"specials.name.dragon_shielding_breath","Shielding Breath"
"specials.name.dragon_shocking_blaze","Shocking Blaze"
"specials.name.dragon_spring_breath","Spring Breath"
"specials.name.dragon_strengthening_flame","Strengthening Flame"
"specials.name.dragon_summer_blaze","Summer Blaze"
"specials.name.dragon_volcanic_blaze","Volcanic Blaze"
"specials.name.dragon_weakening_blaze","Weakening Blaze"
"specials.name.dragon_weakening_blaze_ashenheart","Weakening Blaze"
"specials.name.dragon_wounding_blaze","Wounding Blaze"
"specials.name.dragon_wrecking_blaze","Wrecking Blaze"
"specials.name.drain_strike","Drain Strike"
"specials.name.draining_blade","Impairing Blade"
"specials.name.drawn_to_the_depths","Drawn to the Depths"
"specials.name.dread_hammer","Dread Hammer"
"specials.name.dreaded_swords","Dreaded Swords"
"specials.name.dreaded_waters","Dreaded Waters"
"specials.name.dreadful_riddle","Dreadful Riddle"
"specials.name.dreadstrike","Dreadstrike"
"specials.name.dreams_of_nourishment","Dreams of Nourishment"
"specials.name.dress_up","Dress Up!"
"specials.name.drowsy_bolt","Drowsy Bolt"
"specials.name.drum_chain","Ipu Drum Chain"
"specials.name.dual_axes","Dual Axes"
"specials.name.dual_blades","Dual Blades"
"specials.name.dual_data_blades","Dual Data Blades"
"specials.name.dual_laser_blades","Dual Laser Blades"
"specials.name.dual_slash","Dual Slash"
"specials.name.dual_sting","Dual Sting"
"specials.name.dubious_cuisine","Dubious Cuisine"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Catastrophic Kitchen Failure"
"specials.name.dubious_cuisine_exquisite_food","Exquisite Food"
"specials.name.dubious_cuisine_rotten_food","Rotten Food"
"specials.name.dubious_merchandise","Dubious Merchandise"
"specials.name.dubious_mixture","Dubious Mixture"
"specials.name.dum_and_dee","Dum and Dee"
"specials.name.dusk_dust","Dust of Dusk"
"specials.name.dusk_till_dawn","Dusk Till Dawn"
"specials.name.dust_to_dust","Dust to Dust"
"specials.name.dwarven_flourish","Dwarven Flourish"
"specials.name.dwarven_kings_levy","Dwarven King's Levy"
"specials.name.dwarven_recharge","Dwarven Recharge"
"specials.name.easy_breezy_aura","Easy-breezy Aura"
"specials.name.echoes_of_ice","Echoes of Ice"
"specials.name.echoes_of_pain","Echoes of Pain"
"specials.name.echoes_of_the_opera","Echoes of the Opera"
"specials.name.eclipse_shield","Eclipse Shield"
"specials.name.eclipse_spear","Eclipse Spear"
"specials.name.educated_exorcism","Educated Exorcism"
"specials.name.egg_barrage","Egg Barrage"
"specials.name.elders_remedy","Elder's Remedy"
"specials.name.eldritch_blight","Eldritch Blight"
"specials.name.eldritch_sign_bolts","Eldritch Sign Bolts"
"specials.name.electric_cut","Electric Cut"
"specials.name.electric_dragonfire","Electric Dragonfire"
"specials.name.electric_jolt","Electric Jolt"
"specials.name.electric_stab","Electric Stab"
"specials.name.electric_sting_dragon_pve","Electric Sting"
"specials.name.electrified_claws","Electrified Claws"
"specials.name.electrifying_gust_dragon_pve","Electrifying Gust"
"specials.name.elegant_pulverizer","Elegant Pulverizer"
"specials.name.elemental_corruption","Elemental Corruption"
"specials.name.elemental_infusion_arrow","Elemental Infusion Arrow"
"specials.name.elemental_infusion_arrow_pve","Elemental Infusion Arrow"
"specials.name.elemental_magic","Elemental Magic"
"specials.name.emboldened_strike","Emboldened Strike"
"specials.name.emerald_dual_blade","Emerald Dual Blade"
"specials.name.emerald_flash","Emerald Flash"
"specials.name.emerald_tide","Emerald Tide"
"specials.name.emerald_wind","Emerald Wind"
"specials.name.empowered_slash","Empowered Slash"
"specials.name.empowering_bash","Empowering Bash"
"specials.name.empowering_bash_deadly","Empowering Bash"
"specials.name.en_garde","En Garde"
"specials.name.enchanted_antlers","Enchanted Antlers"
"specials.name.enchanted_axe_swing","Enchanted Axe Swing"
"specials.name.enchanted_edge","Enchanted Edge"
"specials.name.enchanted_elven_sword","Enchanted Elven Sword"
"specials.name.enchanted_symphony","Enchanted Symphony"
"specials.name.enchanting_divination","Enchanting Divination"
"specials.name.enchanting_melody","Enchanting Melody"
"specials.name.endless_daggers","Endless Daggers"
"specials.name.endless_maze","Endless Maze"
"specials.name.energy_conjunction","Energy Conjunction"
"specials.name.energy_of_mjolnir","Energy of Mjölnir"
"specials.name.energy_steal_dragon_pve","Energy Steal"
"specials.name.entangling_shot","Entangling Shot"
"specials.name.entrapping_enchantment","Entrapping Enchantment"
"specials.name.erase_strength","Erase Strength"
"specials.name.erupting_slices","Erupting Slices"
"specials.name.esprit_de_corps","Esprit de Corps"
"specials.name.essence_of_queen_nitocris","Essence of Queen Nitocris"
"specials.name.eternal_bond","Eternal Bond"
"specials.name.eternal_loyalty","Eternal Loyalty"
"specials.name.eternal_servitude","Eternal Servitude"
"specials.name.ethereal","Ghost"
"specials.name.evading_dash","Evading Dash"
"specials.name.everlasting_wound","Everlasting Wound"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Exorcizing Arrow"
"specials.name.explosive_goo_minions","Minion Scrutiny"
"specials.name.explosive_o_lantern","Explosive O'Lantern"
"specials.name.express_delivery","Express Delivery"
"specials.name.exquisite_alchemy","Exquisite Alchemy"
"specials.name.exquisite_victuals","Exquisite Victuals"
"specials.name.exquisite_victuals_pve_advanced","Exquisite Victuals"
"specials.name.exquisite_victuals_pve_normal","Exquisite Victuals"
"specials.name.eye_of_panther","Eye of the Panther"
"specials.name.eye_of_the_storm","Eye of the Storm"
"specials.name.eye_of_yog-sir","Eye of Yog-Sir"
"specials.name.fabled_fist","Fabled Fist"
"specials.name.fabled_llama_ballad","Fabled Llama Ballad"
"specials.name.fairy_godmothers_blessing","Fairy Godmother's Blessing"
"specials.name.faithful_force","Faithful Force"
"specials.name.falcon_screech","Falcon Screech"
"specials.name.false_treat","False Treat"
"specials.name.familiar_eater","Minion Eater"
"specials.name.familiar_witchcraft","Familiar Witchcraft"
"specials.name.fangs_and_blades","Fangs and Blades"
"specials.name.fangs_of_death","Fangs of Agony"
"specials.name.fatal_dreams","Fatal Dreams"
"specials.name.fatal_finisher","Fatal Finisher"
"specials.name.fearless_charge","Fearless Charge"
"specials.name.feather_tempest","Feather Tempest"
"specials.name.feline_constellation","Feline Constellation"
"specials.name.feral_arrows","Feral Arrows"
"specials.name.feral_bite","Feral Bite"
"specials.name.feral_gust_dragon_pve","Feral Gust"
"specials.name.feral_peck","Feral Peck"
"specials.name.feral_revenge","Feral Revenge"
"specials.name.feral_swing","Feral Swing"
"specials.name.feyfire_slash","Feyfire Slash"
"specials.name.field_aid","Minor Healing"
"specials.name.field_surgery","Major Healing"
"specials.name.fiendslayer","Fiendslayer"
"specials.name.fierce_fu_jow_pai","Fierce Fu Jow Pai"
"specials.name.fierce_pierce","Fierce Pierce"
"specials.name.fierce_slash","Fierce Slash"
"specials.name.fiery_charge","Fiery Charge"
"specials.name.fiery_revenge","Fiery Revenge"
"specials.name.fire_barrier_dragon_pve","Fire Barrier"
"specials.name.fire_bolt_zidane","Fire Bolt"
"specials.name.fire_storm","Fire Storm"
"specials.name.fire_tiger","Fire Tigers"
"specials.name.fireball","Fireball"
"specials.name.fireball_single","Fireball"
"specials.name.fireblade_slash","Fireblade Slash"
"specials.name.fires_of_ragnarok","Fires of Ragnarok"
"specials.name.fires_of_ragnarok_final","Fires of Ragnarok"
"specials.name.firestone_daggers","Firestone Daggers"
"specials.name.firewall","Firewall"
"specials.name.firing_on_all_cylinders","Firing on all Cylinders"
"specials.name.first_frost","First Frost"
"specials.name.first_law_of_thermodynamics","First Law of Thermodynamics"
"specials.name.fishbone_blades","Fishbone Blades"
"specials.name.fists_of_atonement","Fists of Atonement"
"specials.name.flail_of_destruction","Flail of Destruction"
"specials.name.flail_swing","Flail Swing"
"specials.name.flails_of_fury","Flails of Fury"
"specials.name.flame_of_the_dragon_familiar","Flame of the Dragon Familiar"
"specials.name.flame_of_the_lioness","Flame of the Lioness"
"specials.name.flame_storm","Flame Storm"
"specials.name.flame_surge","Flame Surge"
"specials.name.flames_and_rejuvenation","Flames and Rejuvenation"
"specials.name.flames_and_rejuvenation_pve","Flames and Rejuvenation"
"specials.name.flames_of_revenge","Flames of Revenge"
"specials.name.flaming_fury","Flaming Fury"
"specials.name.flaming_grudge","Flaming Grudge"
"specials.name.flaming_mandibles","Flaming Mandibles"
"specials.name.flaming_rapier","Flaming Rapier"
"specials.name.flaming_rapier_pve","Flaming Rapier"
"specials.name.flaming_sword","Flaming Sword"
"specials.name.flanking_maneuver","Flanking Maneuver"
"specials.name.flanking_maneuver_pve","Flanking Maneuver"
"specials.name.flare","Fire Breath"
"specials.name.flat_cake_for_sweethearts","Flat Cake For Sweethearts"
"specials.name.flat_cake_for_sweethearts_pve","Flat Cake For Sweethearts"
"specials.name.flawless_shot","Flawless Shot"
"specials.name.flock_of_folly_eldwren","Flock of Folly"
"specials.name.floral_sting","Floral Sting"
"specials.name.flower_arrangements","Flower Arrangements"
"specials.name.flower_of_kindness","Flowers of Kindness"
"specials.name.fluff_in_the_air","Fluff in the Air"
"specials.name.flurry_of_blows","Flurry of Blows"
"specials.name.flurry_of_slashes","Flurry of Slashes"
"specials.name.flurry_of_slashes_deadly","Flurry of Slashes"
"specials.name.flute_of_enchantment","Flute of Enchantment"
"specials.name.focused_shot","Focused Shot"
"specials.name.fog_machine","Fog of the Smoke Machine"
"specials.name.fog_of_the_fallen","Fog of the Fallen"
"specials.name.fog_of_the_glass_sabina","Fog of the Vitrails"
"specials.name.fog_of_the_perished","Fog of the Perished"
"specials.name.fog_of_the_toons","Fog of the Toons"
"specials.name.fog_of_the_vitrails","Fog of the Vitrails"
"specials.name.for_queen_and_hollow","For Queen And Hollow"
"specials.name.force_of_forest","Force of Forest"
"specials.name.forceful_advance","Forceful Advance"
"specials.name.forest_breath","Forest Breath"
"specials.name.forest_command","Forest Command"
"specials.name.forest_friends","Forest Friends"
"specials.name.forge_rush","Forge Rush"
"specials.name.forged_axe_of_light","Forged Axe of Light"
"specials.name.forged_from_gold","Forged from Gold"
"specials.name.forged_in_fire","Forged in Fire"
"specials.name.fortunate_slice","Fortunate Slice"
"specials.name.fracturing_cut","Fracturing Cut"
"specials.name.fracturing_shards","Fracturing Shards"
"specials.name.fracturing_slash","Fracturing Slash"
"specials.name.freezing_cold_cutter","Freezing Cold Cutter"
"specials.name.freezing_crystal","Freezing Crystal"
"specials.name.freezing_fairy_mist","Freezing Fairy Mist"
"specials.name.freezing_power_hooks","Freezing Power Hooks"
"specials.name.frenzied_rend","Frenzied Rend"
"specials.name.frenzy_plant","Frenzy Plant"
"specials.name.friendly_critters_feast","Friendly Critters' Feast"
"specials.name.frightening_pinch","Atlantean Spear"
"specials.name.frightstrike","Frightstrike"
"specials.name.frogs_and_hoop","Frogs and Hoop"
"specials.name.from_shadows","From Shadows"
"specials.name.from_shadows_pve","From Shadows"
"specials.name.frost_and_rime","Frost and Rime"
"specials.name.frost_bound_blade","Frost-Bound Blade"
"specials.name.frostbite","Frostbite"
"specials.name.frostbolt_dragon_pve","Frostbolt"
"specials.name.frostneedle","Frostneedle"
"specials.name.frosty_axes","Frosty Axes"
"specials.name.frosty_punches","Frosty Punches"
"specials.name.frozen_orb","Frozen Orb"
"specials.name.frozen_path","Fluvial Path"
"specials.name.frozen_wind","Frozen Wind"
"specials.name.frozen_wind_pve","Frozen Wind"
"specials.name.fruit_cocktail","Fruit Cocktail"
"specials.name.fruits_of_labor","Good Dose of Garlic"
"specials.name.fullmetal_pelt","Fullmetal Pelt"
"specials.name.furious_bite","Furious Bite"
"specials.name.furious_boar","Furious Boar"
"specials.name.furious_flames","Furious Flames"
"specials.name.furry_loggers_swing","Furry Logger's Swing"
"specials.name.fury_of_ash","Fury of Ash"
"specials.name.fury_of_grimnir","Fury of Grimnir"
"specials.name.fury_of_the_ancient_forest","Fury of the Ancient Forest"
"specials.name.fury_of_the_fire_giants","Fury of the Fire Giants"
"specials.name.fury_of_the_fire_giants_final","Fury of the Fire Giants"
"specials.name.fury_of_the_mountain_lord","Fury of the Mountain Lord"
"specials.name.fury_of_the_silverback","Fury of the Silverback"
"specials.name.gallant_stance","Gallant Stance"
"specials.name.gamblers_stance","Gambler's Stance"
"specials.name.gamblers_swing","Gambler's Swing"
"specials.name.garbage_shock_wave","Garbage Shock Wave"
"specials.name.gardeners_remedy","Gardener's Remedy"
"specials.name.gargantuan_bite","Gargantuan Bite"
"specials.name.gargoyles_of_redemption","Gargoyles of Redemption"
"specials.name.gargoyles_of_redemption_pve","Gargoyles of Redemption"
"specials.name.gargoyles_of_restoration","Gargoyles of Restoration"
"specials.name.garlic_serving_edwin","Garlic Platter"
"specials.name.generous_gifts","Generous Gifts"
"specials.name.gentle_paw","Gentle Paw"
"specials.name.gentlemans_transformation","Gentleman's Transformation"
"specials.name.giddy_jab_dragon_pve","Giddy Jab"
"specials.name.gift_of_rejuvenation","Gift Of Rejuvenation"
"specials.name.gift_of_rock","Gift of Rock"
"specials.name.giftsack","Gift Sack"
"specials.name.gilded_antlers","Gilded Antlers"
"specials.name.glacial_atmosphere","Glacial Atmosphere"
"specials.name.glacial_crusher","Glacial Crusher"
"specials.name.glacial_explosion","Glacial Explosion"
"specials.name.glacial_fissure_cleave","Glacial Fissure Cleave"
"specials.name.glacial_resilience","Glacial Resilience"
"specials.name.glacial_shatter","Glacial Shatter"
"specials.name.glacial_vortex","Glacial Vortex"
"specials.name.glaive_of_flames","Glaive of Flames"
"specials.name.glass_anger_of_forest_horghall","Anger of Shards"
"specials.name.glass_arrow","Glass Arrow"
"specials.name.glass_barrage_scarlett","Glass Barrage"
"specials.name.glass_beam","Glass Beam"
"specials.name.glass_bite","Glass Bite"
"specials.name.glass_bolt","Glass Bolt"
"specials.name.glass_brew","Glass Brew"
"specials.name.glass_burning_strike","Glass Strike"
"specials.name.glass_chop","Glass Chop"
"specials.name.glass_cleave","Glass Cleave"
"specials.name.glass_cold_blast_ulmer","Glass Blizzard"
"specials.name.glass_cut","Glass Cut"
"specials.name.glass_cut_chao","Vitrail Cut"
"specials.name.glass_entangling_shot","Glass Arrow"
"specials.name.glass_finisher_thorne","Glass Finisher"
"specials.name.glass_fireball","Glass Fireball"
"specials.name.glass_flame_smash","Glass Flame Smash"
"specials.name.glass_four_blades","Slash of Glass Blades"
"specials.name.glass_fury","Glass Fury"
"specials.name.glass_gamblers_stance","Glass Stance"
"specials.name.glass_hammer","Glass Hammer"
"specials.name.glass_have_faith","Clear Faith"
"specials.name.glass_heal","Glass Heal"
"specials.name.glass_jolt","Glass Jolt"
"specials.name.glass_kick","Glass Kick"
"specials.name.glass_leaping_attack_dawa","Glass Attack"
"specials.name.glass_leeching_stars_renfeld","Glass Stars"
"specials.name.glass_link","Glass Link"
"specials.name.glass_massive_chop","Glass Chop"
"specials.name.glass_mist","Glass Mist"
"specials.name.glass_order","Vitrail's Order"
"specials.name.glass_peck","Glass Peck"
"specials.name.glass_piercing_hit_tyrum","Glass Hit"
"specials.name.glass_piercing_strike","Glass Strike"
"specials.name.glass_prayer","Glass Prayer"
"specials.name.glass_pulverizer","Glass Pulverizer"
"specials.name.glass_pulverizer_tiburtus","Glass Pulverizer"
"specials.name.glass_purification","Glassification"
"specials.name.glass_ramming_rush","Glass Rush"
"specials.name.glass_ramming_rush_isshtak","Glass Rush"
"specials.name.glass_riposte","Glass Riposte"
"specials.name.glass_riposte_boril","Glass Riposte"
"specials.name.glass_shatter","Glass Shatter"
"specials.name.glass_shield_kadilen","Glass Shield"
"specials.name.glass_skin","Glass Skin"
"specials.name.glass_slam","Glass Slam"
"specials.name.glass_slash","Glass Slash"
"specials.name.glass_spear","Glass Spear"
"specials.name.glass_stab","Glass Stab"
"specials.name.glass_stone_skin_gunnar","Glass Link"
"specials.name.glass_strike","Glass Strike"
"specials.name.glass_strike_caedmon","Glass Strike"
"specials.name.glass_strike_magni","Glass Strike"
"specials.name.glass_swords","Wall of Glass"
"specials.name.glass_thunderstrike_quintus","Glass Ultimatum"
"specials.name.glass_traps_oberon","Glass Traps"
"specials.name.glass_vines","Glass Vines"
"specials.name.glass_volcano","Glass Volcano"
"specials.name.glass_wall","Glass Wall"
"specials.name.glass_warcry","Glass Warcry"
"specials.name.gleaming_sword_and_iron_mail","Gleaming Sword and Iron Mail"
"specials.name.glittering_sweep_dragon_pve","Glittering Sweep"
"specials.name.gloom_grenades","Gloom Grenades"
"specials.name.gloomy_tune","Gloomy Tune"
"specials.name.glorious_grace","Glorious Grace"
"specials.name.glutinous_execution","Glutinous Execution"
"specials.name.gnomish_carnage","Gnomish Carnage"
"specials.name.goat_rush","Goat Rush"
"specials.name.goblin_explosives","Goblin Explosives"
"specials.name.goblin_serenade","Goblin Serenade"
"specials.name.god_of_the_underworld","Netherworld Strike"
"specials.name.gold_gauntlet","Gold Gauntlet"
"specials.name.gold_rush","Gold Rush"
"specials.name.gold_weaver","Gold Weaver"
"specials.name.golden_aura","Golden Aura"
"specials.name.golden_cicada","Golden Cicada"
"specials.name.golden_sacred_symbol","Golden Sacred Symbol"
"specials.name.golden_thread","Golden Strings"
"specials.name.golem_crusher","Golem Crusher"
"specials.name.goodnight_lullaby","Goodnight Lullaby"
"specials.name.gooey_rose","Gooey Rose"
"specials.name.gorging_bite_yellow","Gorging Bite"
"specials.name.gorging_chew_blue","Gorging Chew"
"specials.name.gorging_chew_green","Gorging Chew"
"specials.name.gorging_chew_purple","Gorging Chew"
"specials.name.gorging_chew_red","Gorging Chew"
"specials.name.gorging_chew_yellow","Gorging Chew"
"specials.name.gorgyra","Valkyrie's Fortitude"
"specials.name.grab_and_run","Grab and Run"
"specials.name.graceful_shot","Graceful Shot"
"specials.name.graceless_ritual","Graceless Ritual"
"specials.name.grand_heist","Grand Heist"
"specials.name.great_frost_axe","Great Frost Axe"
"specials.name.great_frost_hoe","Great Frost Hoe"
"specials.name.greed_and_bribery","Greed And Bribery"
"specials.name.greedy_munch_red","Greedy Munch"
"specials.name.green_dragon_crescent_blade","Green Dragon Crescent Blade"
"specials.name.green_dragon_inferno","Green Dragon Inferno Blade"
"specials.name.green_sparks_dragon_pve","Green Sparks"
"specials.name.grim_awakening","Grim Awakening"
"specials.name.grimoire_skim","Grimoire Skim"
"specials.name.grips_of_longing","Grips of Longing"
"specials.name.grips_of_longing_pve","Grips of Longing"
"specials.name.grove_splash_dragon_pve","Grove Splash"
"specials.name.gruesome_charge","Gruesome Charge"
"specials.name.guard_the_garden","Guard the Garden!"
"specials.name.guardian_armor","Guardian Armor"
"specials.name.guardians_retaliation","Guardian's Retaliation"
"specials.name.guarding_tunes","Guarding Tunes"
"specials.name.guiding_arrow","Guiding Arrow"
"specials.name.gust_of_restoration","Gust of Restoration"
"specials.name.gust_of_swiftness","Gust of Swiftness"
"specials.name.hack_and_slash","Hack and Slash"
"specials.name.hacking_attack","Hacking Attack"
"specials.name.hailstone_glare_dragon_pve","Hailstone Glare"
"specials.name.hailstorm","Hailstorm"
"specials.name.halflings_wisdom","Halfling's Wisdom"
"specials.name.halflings_wit","Halfling's Wit"
"specials.name.hallowed_blade","The Hallowed Blade"
"specials.name.halting_counter_strike","Halting Counter Strike"
"specials.name.hammer_thump","Hammer Thump"
"specials.name.harmonic_bash","Harmonic Bash"
"specials.name.harmonic_slam","Harmonic Slam"
"specials.name.harpoon_sentry","Harpoon Sentry"
"specials.name.harpy_claw","Harpy Claw"
"specials.name.harrow_the_heart","Harrow the Heart"
"specials.name.hasty_trigger_finger","Hasty Trigger Finger"
"specials.name.have_curiosity","Gain Hope"
"specials.name.have_faith","Have Faith"
"specials.name.haze_of_the_deceased","Haze of the Fallen"
"specials.name.head_hurl","Head Hurl"
"specials.name.healing_chant","Healing Chant"
"specials.name.healing_fire_spirits","Healing Fire Spirits"
"specials.name.healing_gift","Mindless Heal"
"specials.name.healing_gift_anteros","Mindless Heal"
"specials.name.healing_gift_kabeiroi","Mindless Heal"
"specials.name.healing_mirror","Healing Mirror"
"specials.name.healthiest_catch","Healthiest Catch"
"specials.name.hearty_stew","Hearty Stew"
"specials.name.heatstinger","Heatstinger"
"specials.name.heavy_fragrance","Heavy Fragrance"
"specials.name.heedless_hammer_flurry","Heedless Hammer Flurry"
"specials.name.heirloom_dagger","Heirloom Dagger"
"specials.name.helping_hands","Helping Hands"
"specials.name.hemlock_tea","Hemlock Tea"
"specials.name.herbal_remedies","Herbal Remedies"
"specials.name.herculean_throw","Herculean Throw"
"specials.name.herd_stampede","Herd Stampede"
"specials.name.here_catch","Here! Catch!"
"specials.name.heretic_slayer","Heretic Slayer"
"specials.name.heroic_noble","Trident Throw"
"specials.name.heroic_noble_deadly","Trident Throw"
"specials.name.herring_blaster","Herring Blaster"
"specials.name.herring_surprise","Herring Surprise"
"specials.name.hide_in_shadows","Hide in Shadows"
"specials.name.high_altitude_ambush","High Altitude Ambush"
"specials.name.high_energy_field","High Energy Field"
"specials.name.high_noon_sun","High Noon Sun"
"specials.name.holding_down_the_fort","Holding Down the Fort"
"specials.name.hollow_boast","Hollow Boast"
"specials.name.holy_aura","Holy Aura"
"specials.name.holy_guard","Holy Guard"
"specials.name.holy_hibiscus_ale","Holy Hibiscus Ale"
"specials.name.holy_mark","Holy Mark"
"specials.name.holy_splash","Holy Splash"
"specials.name.home_run","Home Run"
"specials.name.horn_attack","Antler Attack"
"specials.name.horrifying_wail","Horrifying Wail"
"specials.name.horses_curse","Sand Breeze"
"specials.name.hoverboard_crash","Hoverboard Crash"
"specials.name.hoverboard_slam","Hoverboard Slam"
"specials.name.howling_sword","Howling Sword"
"specials.name.hungering_grave","Hungering Grave"
"specials.name.hunt_for_prey","Hunt For Prey"
"specials.name.hunters_instinct","Hunter's Instinct"
"specials.name.hunters_mark","Hunter's Mark"
"specials.name.hunters_true_shot","Hunter's Trueshot"
"specials.name.hunting_ballad","Hunting Ballad"
"specials.name.hunting_charge","Hunting Charge"
"specials.name.hydra_bite","Hydra Bite"
"specials.name.hymn_of_enrichment","Hymn of Enrichment"
"specials.name.hyper_porridge","Hyper Porridge"
"specials.name.hyperborean_hook","Hyperborean Hook"
"specials.name.hypersonic_tackle","Hypersonic Tackle"
"specials.name.hypnosis_dragon_pve","Hypnosis"
"specials.name.ice_and_slice","Ice and Slice"
"specials.name.ice_boom","Ice Boom"
"specials.name.ice_cold_order","Ice-Cold Order"
"specials.name.ice_cream_smash","Ice Cream Smash"
"specials.name.ice_treatment","Ice Treatment"
"specials.name.iceberg_aura","Iceberg Aura"
"specials.name.iceberg_crush","Iceberg Crush"
"specials.name.iceberg_havoc","Iceberg Havoc"
"specials.name.icebound_howl","Icebound Howl"
"specials.name.icebound_ritual","Icebound Ritual"
"specials.name.icecold_finisher","Icecold Finisher"
"specials.name.icehammer_smash","Icehammer Smash"
"specials.name.iceshatter","Iceshatter"
"specials.name.icy_axes","Icy Axes"
"specials.name.icy_mandibles","Icy Mandibles"
"specials.name.icy_resilience","Icy Resilience"
"specials.name.ill_bring_you_back","I'll Bring You Back"
"specials.name.ill_fated_experiment","Ill-Fated Experiment"
"specials.name.imaginary_increments","Imaginary Increments"
"specials.name.immortal_annihilator","Immortal Annihilator"
"specials.name.immortal_annihilator_deadly","Immortal Annihilator"
"specials.name.immortal_punisher","Immortal Punisher"
"specials.name.impairing_strike","Impairing Strike"
"specials.name.impale_and_devour","Impale and Devour"
"specials.name.impeccable_charge","Impeccable Charge"
"specials.name.impeding_bolts","Impeding Bolts"
"specials.name.impervious_formation","Impervious Formation"
"specials.name.impossible_groove","Impossible Groove"
"specials.name.impossible_riddle","Impossible Riddle"
"specials.name.incite_ki","Incite Ki"
"specials.name.incite_ki2","Incite Ki"
"specials.name.indestructible_claw","Indestructible Claw"
"specials.name.indifferent_blade","Indifferent Blade"
"specials.name.inevitable_demise","Inevitable Demise"
"specials.name.infernal_chops","Infernal Chops"
"specials.name.infernal_drumstorm","Infernal Drumstorm"
"specials.name.infernal_flames","Infernal Flames"
"specials.name.infernal_jaws","Infernal Jaws"
"specials.name.ink_bomb","Ink Bomb"
"specials.name.innovative_lunge","Innovative Lunge"
"specials.name.insidious_goo","Insidious Goo"
"specials.name.inspiring_fencing","Inspiring Fencing"
"specials.name.insurmountable_flux","Insurmountable Flux"
"specials.name.intimidating_stance","Intimidating Stance"
"specials.name.invigorating_pollen","Invigorating Pollen"
"specials.name.invigorating_soup","Invigorating Soup"
"specials.name.invisible_strike","Invisible Strike"
"specials.name.iron_discipline_cut","Iron Discipline Cut"
"specials.name.iron_rocket_fist","Iron Rocket Fist"
"specials.name.ironbound_fury","Ironbound Fury"
"specials.name.jab_and_hook","Jab and Hook"
"specials.name.jack_of_owl_trades","Jack of Owl Trades"
"specials.name.jackal_strike","Jackal Strike"
"specials.name.jade_blades","Jade Blades"
"specials.name.jaw_clamp","Spreading Traps"
"specials.name.jaws_of_the_river","Jaws of the River"
"specials.name.jewel_of_the_deep","Jewel of the Deep"
"specials.name.join_in_joyful_song","Join In Joyful Song"
"specials.name.joyful_noise","Joyful Noise"
"specials.name.joyful_palette","Joyful Palette"
"specials.name.judgement_of_goo","Judgement of Goo"
"specials.name.judgment_of_sun","Judgment of Sun"
"specials.name.jungle_fury","Jungle Fury"
"specials.name.jungle_riposte","Jungle Riposte"
"specials.name.jungle_slash","Swamp Slash"
"specials.name.just_a_flesh_wound","Just a Flesh Wound"
"specials.name.karnov","Total Beatdown"
"specials.name.katana_rain","Katana Rain"
"specials.name.katana_rain_pve","Katana Rain"
"specials.name.keep_the_peace","Keep the Peace"
"specials.name.keyknife_typhoon","Keyknife Typhoon"
"specials.name.khans_order","Khan's Order"
"specials.name.kindled_carpet","Kindled Carpet"
"specials.name.kings_blood_poisoning","Night of Sorrow"
"specials.name.kings_curse","Sand Storm"
"specials.name.kings_curse_pve","Sand Storm"
"specials.name.kings_feast","The King's Feast"
"specials.name.kite_of_endurance","Kite of Endurance"
"specials.name.kitten_stampede","Kitten Stampede"
"specials.name.knights_armor","Knight's Armor"
"specials.name.knights_fury","Knight's Fury"
"specials.name.knights_parry","Knight's Parry"
"specials.name.kong_smash","Kong Smash"
"specials.name.kunai_assault","Kunai Assault"
"specials.name.lacerating_leap","Lacerating Leap"
"specials.name.lacerating_letters","Lacerating Letters"
"specials.name.lacerating_whip","Lacerating Whip"
"specials.name.ladys_charm","Lady's Charm"
"specials.name.ladys_flowers","Lady's Flowers"
"specials.name.lament_of_the_hunt","Lament of the Hunt"
"specials.name.lance_of_avarice","Lance of Avarice"
"specials.name.lance_of_torment","Lance of Torment"
"specials.name.lance_thrust","Lance Thrust"
"specials.name.landslide","Landslide"
"specials.name.lantern_of_insanity","Lantern of Insanity"
"specials.name.larva_prescription","Larva Prescription"
"specials.name.lash_of_the_whip","Lash of the Whip"
"specials.name.last_words","Last Words"
"specials.name.laundry_day","Laundry Day"
"specials.name.lava_blast","Lava Blast"
"specials.name.lava_spit","Lava Spit"
"specials.name.lava_splash_dragon_pve","Spiritfire Splash"
"specials.name.lavablow","Flame Assault"
"specials.name.lavablow_pve","Flame Assault"
"specials.name.lavaslash","Lavaslash"
