"specials.name.a_cozy_break","Una pausa confortevole"
"specials.name.dispelling_willpower_pve","Volontà dissipante"
"specials.name.disquieting_tune","Melodia inquietante"
"specials.name.disrupting_charge","Carica disgregante"
"specials.name.disrupting_charge_costume_tiger_lord","Carica devastante"
"specials.name.divine_connection","Connessione divina"
"specials.name.divine_current","Corrente divina"
"specials.name.divine_light1","Luce divina"
"specials.name.divine_lunge","Affondo divino"
"specials.name.divine_protection","Protezione divina"
"specials.name.divine_protection_deadly","Protezione divina"
"specials.name.divine_reflection","Riflesso divino"
"specials.name.divine_reversal","Capovolgimento divino"
"specials.name.dizzying_strike","Colpo vertiginoso"
"specials.name.donut_to_the_rescue","Ciambella in soccorso!"
"specials.name.doomrend","Squarcio del fato"
"specials.name.doomstrike","Colpo del fato"
"specials.name.double_flail_mayhem","Caos del mazzafrusto doppio"
"specials.name.double_strike","Doppio colpo"
"specials.name.doublebarreled_starstick","Bastone stellare a doppia canna"
"specials.name.dozy_mead","Idromele della pigrizia"
"specials.name.dragon_autumn_blaze","Fiamma d'autunno"
"specials.name.dragon_blaze_of_fatigue","Fiamma della fatica"
"specials.name.dragon_blaze_of_mortality","Fiamma della mortalità"
"specials.name.dragon_blaze_of_protection","Fiamma della protezione"
"specials.name.dragon_blaze_of_suppression","Fiamma della soppressione"
"specials.name.dragon_blaze_of_the_hydra","Fiamma dell'idra"
"specials.name.dragon_blaze_of_the_undying","Fiamma degli imperituri"
"specials.name.dragon_blaze_of_torment","Fiamma del tormento"
"specials.name.dragon_blaze_of_torment_marzul","Fiamma del tormento"
"specials.name.dragon_blazing_inferno","Inferno ardente"
"specials.name.dragon_blazing_storm","Tempesta ardente"
"specials.name.dragon_blazing_storm_preenakh","Tempesta ardente"
"specials.name.dragon_blinding_blaze","Fiamma accecante"
"specials.name.dragon_blinding_blaze_duskwing","Fiamma accecante"
"specials.name.dragon_blinding_blaze_jawbreaker","Fiamma accecante"
"specials.name.dragon_blinding_blaze_wildheart","Fiamma accecante"
"specials.name.dragon_breath_of_bulwark","Soffio del baluardo"
"specials.name.dragon_breath_of_compassion","Soffio della compassione"
"specials.name.dragon_breath_of_nourishment","Soffio del nutrimento"
"specials.name.dragon_breath_of_retribution","Soffio della vendetta"
"specials.name.dragon_breath_of_revival","Soffio della rinascita"
"specials.name.dragon_cauterizing_blaze","Fiamma cauterizzante"
"specials.name.dragon_charring_blaze","Fiamma inceneritrice"
"specials.name.dragon_claws","Artigli di drago"
"specials.name.dragon_cleansing_flame","Fiamma purificatrice"
"specials.name.dragon_cleansing_flame_gallakhran","Fiamma purificatrice"
"specials.name.dragon_corrosive_blaze","Fiamma corrosiva"
"specials.name.dragon_cracking_blaze","Fiamma incrinante"
"specials.name.dragon_crackling_blaze_smoldercoil","Fiamma incrinante"
"specials.name.dragon_crashing_blaze","Fiamma d'urto"
"specials.name.dragon_crippling_blaze","Fiamma paralizzante"
"specials.name.dragon_crippling_blaze_belzaas","Fiamma paralizzante"
"specials.name.dragon_crushing_blaze","Fiamma schiacciante"
"specials.name.dragon_dampening_blaze","Fiamma smorzante"
"specials.name.dragon_dampening_blaze_phebix","Fiamma smorzante"
"specials.name.dragon_dazing_blaze","Fiamma stordente"
"specials.name.dragon_delivery_service","Servizio di consegna del drago"
"specials.name.dragon_destabilizing_blaze","Fiamma destabilizzante"
"specials.name.dragon_devastating_blaze","Fiamma devastante"
"specials.name.dragon_disarming_blaze","Fiamma disarmante"
"specials.name.dragon_draining_blaze","Fiamma drenante"
"specials.name.dragon_empowering_breath","Soffio potenziante"
"specials.name.dragon_esoteric_flame","Fiamma esoterica"
"specials.name.dragon_fang","Zanna di Dragone"
"specials.name.dragon_fiery_blaze","Fiamma ardente"
"specials.name.dragon_flames_of_acceleration","Fiamme dell'accelerazione"
"specials.name.dragon_fortifying_flame","Fiamma fortificante"
"specials.name.dragon_inspirational_breath","Soffio ispiratore"
"specials.name.dragon_mana_infused_breath","Soffio infuso di mana"
"specials.name.dragon_mindless_blaze","Fiamma impulsiva"
"specials.name.dragon_novices_blaze","Fiamma del novizio"
"specials.name.dragon_pacifying_breath","Soffio pacificante"
"specials.name.dragon_protective_breath","Soffio protettivo"
"specials.name.dragon_rallying_breath","Soffio radunante"
"specials.name.dragon_rallying_breath_trezoro","Soffio radunante"
"specials.name.dragon_resuscitating_breath","Soffio rianimatore"
"specials.name.dragon_revitalizing_breath","Soffio rivitalizzante"
"specials.name.dragon_sacred_flame","Fiamma sacra"
"specials.name.dragon_sacred_flame_harmonis","Fiamma sacra"
"specials.name.dragon_searing_blaze","Fiamma rovente"
"specials.name.dragon_shielding_breath","Soffio schermante"
"specials.name.dragon_shocking_blaze","Fiamma scioccante"
"specials.name.dragon_spring_breath","Soffio di primavera"
"specials.name.dragon_spring_breath_erudius","Soffio di primavera"
"specials.name.dragon_strengthening_flame","Fiamma rafforzante"
"specials.name.dragon_summer_blaze","Fiamma d'estate"
"specials.name.dragon_volcanic_blaze","Fiamma vulcanica"
"specials.name.dragon_weakening_blaze","Fiamma indebolente"
"specials.name.dragon_weakening_blaze_ashenheart","Fiamma indebolente"
"specials.name.dragon_weakening_blaze_gonthrox","Fiamma indebolente"
"specials.name.dragon_wounding_blaze","Fiamma ferente"
"specials.name.dragon_wounding_blaze_ceestraze","Fiamma ferente"
"specials.name.dragon_wounding_blaze_froastyx","Fiamma ferente"
"specials.name.dragon_wounding_blaze_talonshine","Fiamma ferente"
"specials.name.dragon_wrecking_blaze","Fiamma distruttiva"
"specials.name.dragon_wrecking_blaze_rangifer","Fiamma distruttiva"
"specials.name.drain_strike","Colpo prosciugante"
"specials.name.draining_blade","Lama debilitante"
"specials.name.drawn_to_the_depths","Richiamo delle profondità"
"specials.name.dread_hammer","Martello del terrore"
"specials.name.dreaded_swords","Spade temibili"
"specials.name.dreaded_waters","Acque temute"
"specials.name.dreadful_riddle","Indovinello temibile"
"specials.name.dreadstrike","Assalto fatale"
"specials.name.dreams_of_nourishment","Sogni di nutrimento"
"specials.name.dress_up","Vestiti!"
"specials.name.drowsy_bolt","Colpo sonnolento"
"specials.name.drum_chain","Catena di tamburi Ipu"
"specials.name.dual_axes","Doppia ascia"
"specials.name.dual_blades","Doppia lama"
"specials.name.dual_data_blades","Doppia lama di dati"
"specials.name.dual_laser_blades","Doppia lama laser"
"specials.name.dual_slash","Doppio colpo"
"specials.name.dual_sting","Puntura doppia"
"specials.name.dubious_cuisine","Cucina dubbia"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Guasto catastrofico in cucina"
"specials.name.dubious_cuisine_exquisite_food","Cibo squisito"
"specials.name.dubious_cuisine_rotten_food","Cibo marcio"
"specials.name.dubious_merchandise","Merce dubbia"
"specials.name.dubious_mixture","Miscela dubbia"
"specials.name.dum_and_dee","Pinco e Panco"
"specials.name.dusk_dust","Polvere del crepuscolo"
"specials.name.dusk_till_dawn","Dal crepuscolo all'alba"
"specials.name.dust_to_dust","Polvere alla polvere"
"specials.name.dwarven_flourish","Fioritura nanica"
"specials.name.dwarven_kings_levy","Soldato del re nanico"
"specials.name.dwarven_recharge","Ricarica dei nani"
"specials.name.easy_breezy_aura","Aura delicata"
"specials.name.echoes_of_ice","Echi del ghiaccio"
"specials.name.echoes_of_pain","Echi di dolore"
"specials.name.echoes_of_the_opera","Echi dell'Opera"
"specials.name.eclipse_shield","Scudo dell'eclissi"
"specials.name.eclipse_spear","Lancia dell'eclissi"
"specials.name.educated_exorcism","Esorcismo mirato"
"specials.name.egg_barrage","Sbarramento di uova"
"specials.name.elders_remedy","Rimedio degli antichi"
"specials.name.eldritch_blight","Piaga sinistra"
"specials.name.eldritch_sign_bolts","Saette dai segni sinistri"
"specials.name.electric_cut","Taglio elettrifico"
"specials.name.electric_dragonfire","Fuoco di drago elettrico"
"specials.name.electric_jolt","Scossa elettrica"
"specials.name.electric_stab","Pugnalata elettrica"
"specials.name.electric_sting_dragon_pve","Pungiglione elettrico"
"specials.name.electrified_claws","Artigli elettrificati"
"specials.name.electrified_claws_ultimate_boss","Artigli elettrificati"
"specials.name.electrifying_gust_dragon_pve","Folata elettrizzante"
"specials.name.elegant_pulverizer","Polverizzatore elegante"
"specials.name.elemental_corruption","Corruzione elementale"
"specials.name.elemental_infusion_arrow","Freccia a infusione elementale"
"specials.name.elemental_infusion_arrow_pve","Freccia a infusione elementale"
"specials.name.elemental_magic","Magia elementale"
"specials.name.emboldened_strike","Colpo impetuoso"
"specials.name.emerald_dual_blade","Doppia lama smeraldina"
"specials.name.emerald_flash","Lampo smeraldo"
"specials.name.emerald_tide","Marea smeraldo"
"specials.name.emerald_wind","Vento smeraldo"
"specials.name.empowered_slash","Fendente potenziato"
"specials.name.empowering_bash","Botta potenziante"
"specials.name.empowering_bash_deadly","Botta potenziante"
"specials.name.en_garde","In guardia"
"specials.name.enchanted_antlers","Corna incantate"
"specials.name.enchanted_axe_swing","Fendente dell'ascia incantata"
"specials.name.enchanted_edge","Lama incantata"
"specials.name.enchanted_elven_sword","Spada elfica incantata"
"specials.name.enchanted_symphony","Sinfonia incantata"
"specials.name.enchanting_divination","Divinazione incantata"
"specials.name.enchanting_melody","Melodia incantevole"
"specials.name.endless_daggers","Pugnali infiniti"
"specials.name.endless_maze","Labirinto senza fine"
"specials.name.energy_conjunction","Congiunzione energetica"
"specials.name.energy_of_mjolnir","Energia di Mjölnir"
"specials.name.energy_steal_dragon_pve","Furto di energia"
"specials.name.engulfing_candlelight","Lume di candela avvolgente"
"specials.name.entangling_shot","Tiro aggrovigliante"
"specials.name.entrapping_enchantment","Incantesimo intrappolante"
"specials.name.erase_strength","Cancella forza"
"specials.name.erupting_slices","Sferzate eruttanti"
"specials.name.esprit_de_corps","Esprit de corps"
"specials.name.essence_of_queen_nitocris","Essenza della regina Nitocris"
"specials.name.eternal_bond","Legame eterno"
"specials.name.eternal_ishq","Ishq eterno"
"specials.name.eternal_loyalty","Lealtà eterna"
"specials.name.eternal_servitude","Servitù eterna"
"specials.name.ethereal","Fantasma"
"specials.name.evading_dash","Scatto sfuggente"
"specials.name.everlasting_wound","Ferita incurabile"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Freccia esorcizzante"
"specials.name.explosive_goo_minions","Controllo dei servitori"
"specials.name.explosive_o_lantern","Zucca intagliata esplosiva"
"specials.name.express_delivery","Consegna espressa"
"specials.name.exquisite_alchemy","Alchimia raffinata"
"specials.name.exquisite_victuals","Viveri squisiti"
"specials.name.exquisite_victuals_pve_advanced","Viveri squisiti"
"specials.name.exquisite_victuals_pve_normal","Viveri squisiti"
"specials.name.eye_of_panther","Occhio della pantera"
"specials.name.eye_of_the_storm","Occhio del ciclone"
"specials.name.eye_of_yog-sir","Occhio di Yog-Sir"
"specials.name.fabled_fist","Pugno fiabesco"
"specials.name.fabled_llama_ballad","Ballata del lama leggendario"
"specials.name.fairy_godmothers_blessing","Benedizione della Fata Madrina"
"specials.name.faithful_force","Forza devota"
"specials.name.falcon_screech","Grido del falco"
"specials.name.false_treat","Regalo ingannevole"
"specials.name.familiar_eater","Divoratore di servitori"
"specials.name.familiar_witchcraft","Stregoneria del famiglio"
"specials.name.fangs_and_blades","Zanne e lame"
"specials.name.fangs_of_death","Zanne dell'agonia"
"specials.name.fatal_dreams","Sogni fatali"
"specials.name.fatal_finisher","Mossa finale fatale"
"specials.name.fearless_charge","Carica impavida"
"specials.name.feather_tempest","Tempesta di piume"
"specials.name.feathered_embrace","Abbraccio piumato"
"specials.name.feline_constellation","Costellazione felina"
"specials.name.feral_arrows","Frecce selvagge"
"specials.name.feral_bite","Morso ferino"
"specials.name.feral_gust_dragon_pve","Raffica ferale"
"specials.name.feral_peck","Becco ferino"
"specials.name.feral_revenge","Vendetta ferina"
"specials.name.feral_swing","Colpo ferino"
"specials.name.feyfire_slash","Fendente di fuoco magico"
"specials.name.field_aid","Cura minore"
"specials.name.field_surgery","Cura maggiore"
"specials.name.fiendslayer","Ammazza-demoni"
"specials.name.fierce_fu_jow_pai","Fu Jow Pai feroce"
"specials.name.fierce_pierce","Perforazione feroce"
"specials.name.fierce_slash","Colpo feroce"
"specials.name.fiery_charge","Carica infuocata"
"specials.name.fiery_performance","Performance infuocata"
"specials.name.fiery_revenge","Vendetta infuocata"
"specials.name.fire_barrier_dragon_pve","Barriera di fuoco"
"specials.name.fire_bolt_zidane","Dardo di fuoco"
"specials.name.fire_storm","Tempesta di fuoco"
"specials.name.fire_tiger","Tigri del fuoco"
"specials.name.fireball","Palla di fuoco"
"specials.name.fireball_single","Palla di fuoco"
"specials.name.fireblade_slash","Colpo di lamafuoco"
"specials.name.fires_of_ragnarok","Fuoco del Ragnarok"
"specials.name.fires_of_ragnarok_final","Fuoco del Ragnarok"
"specials.name.firestone_daggers","Daghe della pietra di fuoco"
"specials.name.firewall","Muro di fuoco"
"specials.name.firing_on_all_cylinders","Massima potenza"
"specials.name.first_frost","Primo gelo"
"specials.name.first_law_of_thermodynamics","Prima legge della termodinamica"
"specials.name.fishbone_blades","Lame lisca"
"specials.name.fists_of_atonement","Pugni dell'espiazione"
"specials.name.flail_of_destruction","Flagello della distruzione"
"specials.name.flail_swing","Fendente del mazzafrusto"
"specials.name.flails_of_fury","Flagelli di furia"
"specials.name.flame_of_the_dragon_familiar","Fiamma del drago famiglio"
"specials.name.flame_of_the_lioness","Fiamma della leonessa"
"specials.name.flame_storm","Tempesta di fiamme"
"specials.name.flame_surge","Ondata di fuoco"
"specials.name.flames_and_rejuvenation","Fiamme e rigenerazione"
"specials.name.flames_and_rejuvenation_pve","Fiamme e rigenerazione"
"specials.name.flames_of_revenge","Fiamme della vendetta"
"specials.name.flaming_fury","Furia fiammeggiante"
"specials.name.flaming_grudge","Rancore fiammeggiante"
"specials.name.flaming_mandibles","Mandibole infuocate"
"specials.name.flaming_rapier","Stocco fiammeggiante"
"specials.name.flaming_rapier_pve","Stocco fiammeggiante"
"specials.name.flaming_sword","Spada fiammeggiante"
"specials.name.flanking_maneuver","Manovra di fiancheggiamento"
"specials.name.flanking_maneuver_pve","Manovra di fiancheggiamento"
"specials.name.flare","Respiro di fuoco"
"specials.name.flat_cake_for_sweethearts","Crostata per gli innamorati"
"specials.name.flat_cake_for_sweethearts_pve","Crostata per gli innamorati"
"specials.name.flawless_shot","Colpo impeccabile"
"specials.name.flock_of_folly_eldwren","Gregge di follia"
"specials.name.floral_sting","Puntura floreale"
"specials.name.flower_arrangements","Composizioni floreali"
"specials.name.flower_of_kindness","Fiori della gentilezza"
"specials.name.flowing_dragon_dual_slash","Doppio fendente del drago fluente"
"specials.name.fluff_in_the_air","Ventata di sofficità"
"specials.name.flurry_of_blows","Raffica di colpi"
"specials.name.flurry_of_slashes","Raffica di fendenti"
"specials.name.flurry_of_slashes_deadly","Raffica di fendenti"
"specials.name.flute_of_enchantment","Flauto dell'incanto"
"specials.name.focused_shot","Tiro mirato"
"specials.name.fog_machine","Nebbia della macchina del fumo"
"specials.name.fog_of_the_fallen","Nebbia dei Caduti"
"specials.name.fog_of_the_glass_sabina","Nebbia dei Vitrail"
"specials.name.fog_of_the_perished","Nebbia dei Periti"
"specials.name.fog_of_the_stylish","Nebbia dello stile"
"specials.name.fog_of_the_toons","Nebbia dei cartoni"
"specials.name.fog_of_the_vitrails","Nebbia dei Vitrail"
"specials.name.for_queen_and_hollow","Per la Regina e il Vuoto"
"specials.name.force_of_forest","Forza della Foresta"
"specials.name.forceful_advance","Avanzata energica"
"specials.name.forest_breath","Respiro della Foresta"
"specials.name.forest_command","Comando della foresta"
"specials.name.forest_friends","Amici della Foresta"
"specials.name.forge_rush","Corsa della fucina"
"specials.name.forged_axe_of_light","Ascia di luce forgiata"
"specials.name.forged_from_gold","Forgiato dall'oro"
"specials.name.forged_in_fire","Forgiato nel fuoco"
"specials.name.fortunate_slice","Fendente fortunato"
"specials.name.fracturing_cut","Taglio fratturante"
"specials.name.fracturing_shards","Frammenti fratturanti"
"specials.name.fracturing_slash","Fendente fratturante"
"specials.name.freezing_cold_cutter","Taglio congelante"
"specials.name.freezing_crystal","Cristallo congelante"
"specials.name.freezing_fairy_mist","Nebbia fatata congelante"
"specials.name.freezing_power_hooks","Ganci potenti congelanti"
"specials.name.frenzied_rend","Squarcio frenetico"
"specials.name.frenzy_plant","Pianta frenetica"
"specials.name.friendly_critters_feast","Banchetto delle creature amiche"
"specials.name.frightening_pinch","Lancia d'Atlantide"
"specials.name.frightstrike","Colpo dello spavento"
"specials.name.frogs_and_hoop","Rane e cerchi"
"specials.name.from_shadows","Dalle ombre"
"specials.name.from_shadows_pve","Dalle ombre"
"specials.name.frost_and_rime","Gelo e brina"
"specials.name.frost_bound_blade","Lama del gelo"
"specials.name.frostbite","Assideramento"
"specials.name.frostbolt_dragon_pve","Colpo di gelo"
"specials.name.frostbound_smash","Schianto glaciale"
"specials.name.frostneedle","Ago di gelo"
"specials.name.frosty_axes","Asce ghiacciate"
"specials.name.frosty_punches","Pugni gelidi"
"specials.name.frozen_orb","Sfera gelata"
"specials.name.frozen_path","Sentiero fluviale"
"specials.name.frozen_wind","Vento gelido"
"specials.name.frozen_wind_pve","Vento gelido"
"specials.name.fruit_cocktail","Cocktail di frutta"
"specials.name.fruits_of_kindness","Frutti di gentilezza"
"specials.name.fruits_of_labor","Buona dose di aglio"
"specials.name.fullmetal_pelt","Pelliccia di metallo"
"specials.name.furious_bite","Morso furioso"
"specials.name.furious_boar","Cinghiale furioso"
"specials.name.furious_flames","Fiamme furiose"
"specials.name.furry_loggers_swing","Colpo del boscaiolo peloso"
"specials.name.fury_of_ash","Furia della cenere"
"specials.name.fury_of_grimnir","Furia di Grimnir"
"specials.name.fury_of_the_ancient_forest","Furia della Foresta antica"
"specials.name.fury_of_the_fire_giants","Furia dei Giganti di Fuoco"
"specials.name.fury_of_the_fire_giants_final","Furia dei Giganti di Fuoco"
"specials.name.fury_of_the_mountain_lord","Furia del Signore della Montagna"
"specials.name.fury_of_the_silverback","Furia dei Silverback"
"specials.name.gallant_stance","Posizione maestosa"
"specials.name.gamblers_stance","Assetto del giocatore d'azzardo"
"specials.name.gamblers_swing","Colpo del giocatore d'azzardo"
"specials.name.garbage_shock_wave","Onda d'urto di rifiuti"
"specials.name.gardeners_remedy","Rimedio del giardiniere"
"specials.name.gargantuan_bite","Morso gargantuesco"
"specials.name.gargoyles_of_redemption","Gargoyle della redenzione"
"specials.name.gargoyles_of_redemption_pve","Gargoyle della redenzione"
"specials.name.gargoyles_of_restoration","Gargoyle del ristoro"
"specials.name.garlic_serving_edwin","Piatto d'aglio"
"specials.name.gaze_of_the_underworld","Sguardo degli Inferi"
"specials.name.generous_gifts","Doni generosi"
"specials.name.gentle_paw","Zampa gentile"
"specials.name.gentlemans_cane","Bastone da gentiluomo"
"specials.name.gentlemans_transformation","Trasformazione del gentiluomo"
"specials.name.giddy_jab_dragon_pve","Diretto vertiginoso"
"specials.name.gift_list","Lista dei doni"
"specials.name.gift_of_rejuvenation","Dono di ringiovanimento"
"specials.name.gift_of_rock","Dono di rocce"
"specials.name.giftsack","Sacchetto di doni"
"specials.name.gilded_antlers","Corna dorate"
"specials.name.glacial_atmosphere","Atmosfera glaciale"
"specials.name.glacial_crusher","Frantumatore glaciale"
"specials.name.glacial_explosion","Esplosione glaciale"
"specials.name.glacial_fissure_cleave","Fendente glaciale"
"specials.name.glacial_resilience","Resilienza glaciale"
"specials.name.glacial_shatter","Frammento glaciale"
"specials.name.glacial_vortex","Vortice glaciale"
"specials.name.glaive_of_flames","Falcione delle fiamme"
"specials.name.glass_anger_of_forest_horghall","Rabbia dei frammenti"
"specials.name.glass_arrow","Freccia di vetro"
"specials.name.glass_barrage_scarlett","Sbarramento di vetro"
"specials.name.glass_beam","Raggio di vetro"
"specials.name.glass_bite","Morso di vetro"
"specials.name.glass_bolt","Saetta di vetro"
"specials.name.glass_brew","Infuso di vetro"
"specials.name.glass_burning_strike","Colpo di vetro"
"specials.name.glass_chop","Taglio di vetro"
"specials.name.glass_cleave","Fendente di vetro"
"specials.name.glass_cold_blast_ulmer","Bufera di vetro"
"specials.name.glass_cut","Taglio di vetro"
"specials.name.glass_cut_chao","Taglio di Vitrail"
"specials.name.glass_entangling_shot","Freccia di vetro"
"specials.name.glass_finisher_thorne","Mossa finale di vetro"
"specials.name.glass_fireball","Palla di fuoco di vetro"
"specials.name.glass_flame_smash","Fiammata di vetro"
"specials.name.glass_four_blades","Fendente di lame di vetro"
"specials.name.glass_fury","Furia di vetro"
"specials.name.glass_gamblers_stance","Posizione di vetro"
"specials.name.glass_hammer","Martello di vetro"
"specials.name.glass_have_faith","Fede chiara"
"specials.name.glass_heal","Guarigione di vetro"
"specials.name.glass_jolt","Scossa di vetro"
"specials.name.glass_kick","Calcio di vetro"
"specials.name.glass_leaping_attack_dawa","Attacco di vetro"
"specials.name.glass_leeching_stars_renfeld","Stelle di vetro"
"specials.name.glass_link","Legame di vetro"
"specials.name.glass_massive_chop","Taglio di vetro"
"specials.name.glass_mist","Foschia di vetro"
"specials.name.glass_order","Ordine di Vitrail"
"specials.name.glass_peck","Beccata di vetro"
"specials.name.glass_piercing_hit_tyrum","Fendente di vetro"
"specials.name.glass_piercing_strike","Colpo di vetro"
"specials.name.glass_prayer","Preghiera di vetro"
"specials.name.glass_pulverizer","Polverizzatore di vetro"
"specials.name.glass_pulverizer_tiburtus","Polverizzatore di vetro"
"specials.name.glass_purification","Glassificazione"
"specials.name.glass_ramming_rush","Corsa del vetro"
"specials.name.glass_ramming_rush_isshtak","Corsa del vetro"
"specials.name.glass_riposte","Risposta di vetro"
"specials.name.glass_riposte_boril","Risposta di vetro"
"specials.name.glass_shatter","Frantumazione di vetro"
"specials.name.glass_shield_kadilen","Scudo di vetro"
"specials.name.glass_skin","Pelle di vetro"
"specials.name.glass_slam","Schiacciata di vetro"
"specials.name.glass_slash","Sferzata di vetro"
"specials.name.glass_spear","Lancia di vetro"
"specials.name.glass_stab","Pugnalata di vetro"
"specials.name.glass_stone_skin_gunnar","Legame di vetro"
"specials.name.glass_strike","Colpo di vetro"
"specials.name.glass_strike_caedmon","Colpo di vetro"
"specials.name.glass_strike_magni","Colpo di vetro"
"specials.name.glass_swords","Parete di vetro"
"specials.name.glass_thunderstrike_quintus","Ultimatum di vetro"
"specials.name.glass_traps_oberon","Trappole di vetro"
"specials.name.glass_vines","Vite di vetro"
"specials.name.glass_volcano","Vulcano di vetro"
"specials.name.glass_wall","Muro di vetro"
"specials.name.glass_warcry","Grido di guerra di vetro"
"specials.name.gleaming_gemstones","Gemme scintillanti"
"specials.name.gleaming_sword_and_iron_mail","Spada scintillante e cotta di ferro"
"specials.name.glittering_sweep_dragon_pve","Spazzata scintillante"
"specials.name.gloom_grenades","Granate delle tenebre"
"specials.name.gloomy_tune","Melodia cupa"
"specials.name.glorious_grace","Grazia gloriosa"
"specials.name.glutinous_execution","Esecuzione appiccicosa"
"specials.name.gluttonous_chomp_blue","Morsicata vorace"
"specials.name.gluttonous_chomp_green","Morsicata vorace"
"specials.name.gluttonous_chomp_purple","Morsicata vorace"
"specials.name.gluttonous_chomp_red","Morsicata vorace"
"specials.name.gluttonous_chomp_yellow","Morsicata vorace"
"specials.name.gnomish_carnage","Carneficina di Gnomi"
"specials.name.goat_rush","Corsa della capra"
"specials.name.goblin_explosives","Esplosivi dei goblin"
"specials.name.goblin_serenade","Serenata goblin"
"specials.name.god_of_the_underworld","Assalto degli inferi"
"specials.name.gold_gauntlet","Guanto d'oro"
"specials.name.gold_rush","Corsa all'oro"
"specials.name.gold_weaver","Tessitura d'oro"
"specials.name.golden_aura","Aura d'oro"
"specials.name.golden_cicada","Cicala d'oro"
"specials.name.golden_sacred_symbol","Simbolo sacro d'oro"
"specials.name.golden_thread","Corde d'oro"
"specials.name.golem_crusher","Schiaccia-Golem"
"specials.name.goodnight_lullaby","Ninna nanna"
"specials.name.gooey_rose","Rosa appiccicosa"
"specials.name.gorging_bite_yellow","Morso avido"
"specials.name.gorging_chew_blue","Masticata avida"
"specials.name.gorging_chew_green","Masticata avida"
"specials.name.gorging_chew_purple","Masticata avida"
"specials.name.gorging_chew_red","Masticata avida"
"specials.name.gorging_chew_yellow","Masticata avida"
"specials.name.gorgyra","Fermezza della valchiria"
"specials.name.grab_and_run","Prendi e scappa"
"specials.name.graceful_shot","Colpo aggraziato"
"specials.name.graceless_ritual","Rituale sgraziato"
"specials.name.grand_heist","Gran rapina"
"specials.name.great_frost_axe","Grande ascia del gelo"
"specials.name.great_frost_hoe","Grande zappa del gelo"
"specials.name.greed_and_bribery","Avidità e corruzione"
"specials.name.greedy_munch_red","Ruminare avido"
"specials.name.green_dragon_crescent_blade","Lama curva del Drago verde"
"specials.name.green_dragon_inferno","Lama Inferno del Drago verde"
"specials.name.green_sparks_dragon_pve","Scintille verdi"
"specials.name.greeting_of_the_sun","Saluto del Sole"
"specials.name.grim_awakening","Tetro risveglio"
"specials.name.grimoire_skim","Rassegna del grimorio"
"specials.name.grips_of_longing","Morsa del desiderio"
"specials.name.grips_of_longing_pve","Morsa del desiderio"
"specials.name.grove_splash_dragon_pve","Schizzo del boschetto"
"specials.name.gruesome_charge","Carica macabra"
"specials.name.guard_the_garden","Sorveglia il giardino!"
"specials.name.guardian_armor","Armatura del guardiano"
"specials.name.guardians_retaliation","Ritorsione del guardiano"
"specials.name.guarding_tunes","Melodie di guardia"
"specials.name.guiding_arrow","Freccia guida"
"specials.name.gust_of_restoration","Raffica di ristoro"
"specials.name.gust_of_swiftness","Raffica di rapidità"
"specials.name.hack_and_slash","Ferro e fuoco"
"specials.name.hacking_attack","Attacco di pirateria"
"specials.name.hailstone_glare_dragon_pve","Bagliore della pietra di grandine"
"specials.name.hailstorm","Grandinata"
"specials.name.halflings_wisdom","Saggezza dell'halfling"
"specials.name.halflings_wit","Ingegno dell'halfling"
"specials.name.hallowed_blade","Lama benedetta"
"specials.name.halting_counter_strike","Contrattacco d'arresto"
"specials.name.hammer_thump","Colpo di martello"
"specials.name.harmonic_bash","Colpo armonico"
"specials.name.harmonic_slam","Attacco armonico"
"specials.name.harpoon_sentry","Sentinella con arpione"
"specials.name.harpy_claw","Artiglio dell'arpia"
"specials.name.harrow_the_heart","Freccia al cuore"
"specials.name.hasty_gift_wrapper","Impacchettatore frettoloso"
"specials.name.hasty_trigger_finger","Grilletto facile"
"specials.name.have_curiosity","Speranza crescente"
"specials.name.have_faith","Fede"
"specials.name.haze_of_the_deceased","Bruma dei Caduti"
"specials.name.head_hurl","Urto di testa"
"specials.name.healing_chant","Canto curativo"
"specials.name.healing_fire_spirits","Spiriti del fuoco guaritore"
"specials.name.healing_gift","Guarigione senza pensieri"
"specials.name.healing_gift_anteros","Guarigione senza pensieri"
"specials.name.healing_gift_kabeiroi","Guarigione senza pensieri"
"specials.name.healing_mirror","Specchio curativo"
"specials.name.healthiest_catch","Pesca sana"
"specials.name.hearty_stew","Stufato pesante"
"specials.name.heatstinger","Puntura rovente"
"specials.name.heavy_fragrance","Fragranza pesante"
"specials.name.heedless_hammer_flurry","Turbine folle del martello"
"specials.name.heirloom_dagger","Pugnale ereditario"
"specials.name.helping_hands","Mani d'aiuto"
"specials.name.hemlock_tea","Tè alla cicuta"
"specials.name.herbal_remedies","Rimedi erboristici"
"specials.name.herculean_throw","Lancio erculeo"
"specials.name.herd_stampede","Sbandamento della mandria"
"specials.name.here_catch","Tieni! Prendi!"
"specials.name.heretic_slayer","Ammazza-eretici"
"specials.name.heroic_noble","Lancio del tridente"
"specials.name.heroic_noble_deadly","Lancio del tridente"
"specials.name.herring_blaster","Raffica di aringhe"
"specials.name.herring_surprise","Sorpresa d'aringa"
"specials.name.hide_in_shadows","In agguato nell'ombra"
