"specials.name.a_cozy_break","En koselig pause"
"specials.name.dragon_blinding_blaze","Blendende bluss"
"specials.name.dragon_blinding_blaze_duskwing","Blendende bluss"
"specials.name.dragon_blinding_blaze_jawbreaker","Blendende bluss"
"specials.name.dragon_blinding_blaze_wildheart","Blendende bluss"
"specials.name.dragon_breath_of_bulwark","Bulwarks pust"
"specials.name.dragon_breath_of_compassion","Lidenskaps pust"
"specials.name.dragon_breath_of_nourishment","Næringspust"
"specials.name.dragon_breath_of_retribution","Gjengjeldelsens pust"
"specials.name.dragon_breath_of_revival","Fornyelsens pust"
"specials.name.dragon_cauterizing_blaze","Etsende ild"
"specials.name.dragon_charring_blaze","Forkullende bluss"
"specials.name.dragon_claws","Drageklør"
"specials.name.dragon_cleansing_flame","Rensende flamme"
"specials.name.dragon_corrosive_blaze","Etsende bluss"
"specials.name.dragon_cracking_blaze","Spaltende flamme"
"specials.name.dragon_crackling_blaze_smoldercoil","Spaltende flamme"
"specials.name.dragon_crashing_blaze","Krasjende flamme"
"specials.name.dragon_crippling_blaze","Forkrøplende flamme"
"specials.name.dragon_crippling_blaze_belzaas","Forkrøplende flamme"
"specials.name.dragon_crushing_blaze","Knusende flamme"
"specials.name.dragon_dampening_blaze","Dempende bluss"
"specials.name.dragon_dazing_blaze","Lamslående flamme"
"specials.name.dragon_delivery_service","Drageleveringstjeneste"
"specials.name.dragon_destabilizing_blaze","Destabiliserende ild"
"specials.name.dragon_devastating_blaze","Ødeleggende flamme"
"specials.name.dragon_disarming_blaze","Avvæpnende flamme"
"specials.name.dragon_draining_blaze","Tappende flamme"
"specials.name.dragon_empowering_breath","Styrkende pust"
"specials.name.dragon_esoteric_flame","Esoterisk flamme"
"specials.name.dragon_fang","Dragen Fang"
"specials.name.dragon_fiery_blaze","Flammende bluss"
"specials.name.dragon_flames_of_acceleration","Akselererende flammer"
"specials.name.dragon_fortifying_flame","Styrkende flamme"
"specials.name.dragon_inspirational_breath","Inspirerende pust"
"specials.name.dragon_mana_infused_breath","Manabesatt pust"
"specials.name.dragon_mindless_blaze","Tankeløs flamme"
"specials.name.dragon_novices_blaze","Lærlingsbluss"
"specials.name.dragon_pacifying_breath","Pasifiserende pust"
"specials.name.dragon_protective_breath","Beskyttende pust"
"specials.name.dragon_rallying_breath","Samlende pust"
"specials.name.dragon_rallying_breath_trezoro","Samlende pust"
"specials.name.dragon_resuscitating_breath","Gjenopplivende pust"
"specials.name.dragon_revitalizing_breath","Fornyende pust"
"specials.name.dragon_sacred_flame","Hellig flamme"
"specials.name.dragon_sacred_flame_harmonis","Hellig flamme"
"specials.name.dragon_searing_blaze","Sviende ild"
"specials.name.dragon_shielding_breath","Skjoldpust"
"specials.name.dragon_shocking_blaze","Sjokkerende flamme"
"specials.name.dragon_spring_breath","Vårpust"
"specials.name.dragon_spring_breath_erudius","Vårpust"
"specials.name.dragon_strengthening_flame","Styrkende flamme"
"specials.name.dragon_summer_blaze","Sommerflamme"
"specials.name.dragon_volcanic_blaze","Vulkansk flamme"
"specials.name.dragon_weakening_blaze","Svekkende bluss"
"specials.name.dragon_weakening_blaze_ashenheart","Svekkende bluss"
"specials.name.dragon_weakening_blaze_gonthrox","Svekkende bluss"
"specials.name.dragon_wounding_blaze","Sårende bluss"
"specials.name.dragon_wounding_blaze_ceestraze","Sårende bluss"
"specials.name.dragon_wounding_blaze_talonshine","Sårende bluss"
"specials.name.dragon_wrecking_blaze","Knusende flamme"
"specials.name.dragon_wrecking_blaze_rangifer","Knusende flamme"
"specials.name.drain_strike","Tappeangrep"
"specials.name.draining_blade","Svekkende klinge"
"specials.name.drawn_to_the_depths","Trekkes til dypet"
"specials.name.dread_hammer","Gruhammer"
"specials.name.dreaded_swords","Grufulle sverd"
"specials.name.dreaded_waters","Fryktede vann"
"specials.name.dreadful_riddle","Fryktelig gåte"
"specials.name.dreadstrike","Skrekkelig angrep"
"specials.name.dreams_of_nourishment","Næringsrike drømmer"
"specials.name.dress_up","Kle deg opp!"
"specials.name.drowsy_bolt","Sløvhetslyn"
"specials.name.drum_chain","Ipu-trommekjede"
"specials.name.dual_axes","To økser"
"specials.name.dual_blades","Duellkniver"
"specials.name.dual_data_blades","Duelldatakniver"
"specials.name.dual_laser_blades","Doble laserkniver"
"specials.name.dual_slash","Dobbeltkutt"
"specials.name.dual_sting","Dobbeltstikk"
"specials.name.dubious_cuisine","Tvilsom matlaging"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Katastrofal kjøkkenfeil"
"specials.name.dubious_cuisine_exquisite_food","Utsøkt mat"
"specials.name.dubious_cuisine_rotten_food","Råtten mat"
"specials.name.dubious_merchandise","Tvilsomme varer"
"specials.name.dubious_mixture","Mistenkelig mikstur"
"specials.name.dum_and_dee","Dum og Dee"
"specials.name.dusk_dust","Skumringsstøv"
"specials.name.dusk_till_dawn","Fra morgen til kveld"
"specials.name.dust_to_dust","Av jord er du kommet"
"specials.name.dwarven_flourish","Dvergblomst"
"specials.name.dwarven_kings_levy","Dvergekongens beslag"
"specials.name.dwarven_recharge","Dvergpåfylling"
"specials.name.easy_breezy_aura","Enkelhetsaura"
"specials.name.echoes_of_ice","Isens ekko"
"specials.name.echoes_of_pain","Smerteekko"
"specials.name.echoes_of_the_opera","Operaens ekko"
"specials.name.eclipse_shield","Formørkelsesskjold"
"specials.name.eclipse_spear","Formørkelsesspyd"
"specials.name.educated_exorcism","Utdannet eksorsisme"
"specials.name.egg_barrage","Eggsperreild"
"specials.name.elders_remedy","Seniors botemiddel"
"specials.name.eldritch_blight","Uhyggelig trussel"
"specials.name.eldritch_sign_bolts","Uhyggelige skiltbolter"
"specials.name.electric_cut","Elektrisk kutt"
"specials.name.electric_dragonfire","Elektrisk drageild"
"specials.name.electric_jolt","Elektrisk støt"
"specials.name.electric_stab","Elektrisk stikk"
"specials.name.electric_sting_dragon_pve","Elektrisk stikk"
"specials.name.electrified_claws","Elektriske klør"
"specials.name.electrified_claws_ultimate_boss","Elektriske klør"
"specials.name.electrifying_gust_dragon_pve","Elektrisk vindkast"
"specials.name.elegant_pulverizer","Elegant pulveriserer"
"specials.name.elemental_corruption","Elementforringelse"
"specials.name.elemental_infusion_arrow","Elementpil"
"specials.name.elemental_infusion_arrow_pve","Elementpil"
"specials.name.elemental_magic","Elementmagi"
"specials.name.emboldened_strike","Modig angrep"
"specials.name.emerald_dual_blade","Smaragd-dobbeltsverd"
"specials.name.emerald_flash","Smaragdblits"
"specials.name.emerald_tide","Smaragdflo"
"specials.name.emerald_wind","Smaragdvind"
"specials.name.empowered_slash","Styrkende hugg"
"specials.name.empowering_bash","Styrkende slag"
"specials.name.empowering_bash_deadly","Styrkende slag"
"specials.name.en_garde","En Garde"
"specials.name.enchanted_antlers","Fortryllede gevirer"
"specials.name.enchanted_axe_swing","Fortryllet øksesving"
"specials.name.enchanted_edge","Fortryllet egg"
"specials.name.enchanted_elven_sword","Forhekset alvesverd"
"specials.name.enchanted_symphony","Fortryllet symfoni"
"specials.name.enchanting_divination","Fortryllende forutsigelse"
"specials.name.enchanting_melody","Fortryllende melodi"
"specials.name.endless_daggers","Endeløse dolker"
"specials.name.endless_maze","Endeløs labyrint"
"specials.name.energy_conjunction","Energikombinasjon"
"specials.name.energy_of_mjolnir","Mjölnir-energi"
"specials.name.energy_steal_dragon_pve","Energistjeling"
"specials.name.engulfing_candlelight","Omsluttende stearinlys"
"specials.name.entangling_shot","Festeskudd"
"specials.name.entrapping_enchantment","Fangende magi"
"specials.name.erase_strength","Slett styrke"
"specials.name.erupting_slices","Utbrytende skiver"
"specials.name.esprit_de_corps","Esprit de Corps"
"specials.name.essence_of_queen_nitocris","Essensen til dronning Nitocris"
"specials.name.eternal_bond","Evig bånd"
"specials.name.eternal_ishq","Evig Ishq"
"specials.name.eternal_loyalty","Evig lojalitet"
"specials.name.eternal_servitude","Evig trelldom"
"specials.name.ethereal","Spøkelse"
"specials.name.evading_dash","Unnvikende hopp"
"specials.name.everlasting_wound","Evigvarende skade"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Djevelutdrivende pil"
"specials.name.explosive_goo_minions","Undersåttgransking"
"specials.name.explosive_o_lantern","Eksplosiv lykt"
"specials.name.express_delivery","Ekspresslevering"
"specials.name.exquisite_alchemy","Utsøkt alkymi"
"specials.name.exquisite_victuals","Utsøkte matvarer"
"specials.name.exquisite_victuals_pve_advanced","Utsøkte matvarer"
"specials.name.exquisite_victuals_pve_normal","Utsøkte matvarer"
"specials.name.eye_of_panther","Panterens øye"
"specials.name.eye_of_the_storm","Stormens øye"
"specials.name.eye_of_yog-sir","Yog-Sirs øye"
"specials.name.fabled_fist","Sagnomsust neve"
"specials.name.fabled_llama_ballad","Kjent lamaballade"
"specials.name.fairy_godmothers_blessing","Den gode fees velsignelse"
"specials.name.faithful_force","Lojal styrke"
"specials.name.falcon_screech","Falkeskrik"
"specials.name.false_treat","Falsk trussel"
"specials.name.familiar_eater","Undersåttspiser"
"specials.name.familiar_witchcraft","Kjent heksekraft"
"specials.name.fangs_and_blades","Huggtenner og klinger"
"specials.name.fangs_of_death","Agonys hoggtenner"
"specials.name.fatal_dreams","Fatale drømmer"
"specials.name.fatal_finisher","Fatal avslutningsmanøver"
"specials.name.fearless_charge","Fryktløst angrep"
"specials.name.feather_tempest","Fjærstorm"
"specials.name.feline_constellation","Katteaktig stjernebilde"
"specials.name.feral_arrows","Ville piler"
"specials.name.feral_bite","Villbitt"
"specials.name.feral_gust_dragon_pve","Primitivt gust"
"specials.name.feral_peck","Villhakk"
"specials.name.feral_revenge","Vill hevn"
"specials.name.feral_swing","Vilt slag"
"specials.name.feyfire_slash","Fe-ildkutt"
"specials.name.field_aid","Mindre helbredelse"
"specials.name.field_surgery","Kraftig helbredelse"
"specials.name.fiendslayer","Djeveldreper"
"specials.name.fierce_fu_jow_pai","Olm Fu Jow Pai"
"specials.name.fierce_pierce","Brennende gjennomtrenging"
"specials.name.fierce_slash","Raserihugg"
"specials.name.fiery_charge","Flammende stormangrep"
"specials.name.fiery_performance","Ildfull utførelse"
"specials.name.fiery_revenge","Brennende hevn"
"specials.name.fire_barrier_dragon_pve","Ildbarriere"
"specials.name.fire_bolt_zidane","Ildbolt"
"specials.name.fire_storm","Ildstorm"
"specials.name.fire_tiger","Ildtigere"
"specials.name.fireball","Ildkule"
"specials.name.fireball_single","Ildkule"
"specials.name.fireblade_slash","Ildknivkjempe"
"specials.name.fires_of_ragnarok","Ragnaroks ild"
"specials.name.fires_of_ragnarok_final","Ragnaroks ild"
"specials.name.firestone_daggers","Ildsteindolker"
"specials.name.firewall","Ildvegg"
"specials.name.firing_on_all_cylinders","Fyrer på alle sylindere"
"specials.name.first_frost","Første frost"
"specials.name.first_law_of_thermodynamics","Termodynamikks første lov"
"specials.name.fishbone_blades","Fiskebeinklinger"
"specials.name.fists_of_atonement","Forsoningens knyttnever"
"specials.name.flail_of_destruction","Ødeleggelsens sliul"
"specials.name.flail_swing","Sliulsving"
"specials.name.flails_of_fury","Raseriets pisker"
"specials.name.flame_of_the_dragon_familiar","Drageundersåttens flamme"
"specials.name.flame_of_the_lioness","Løvinnens flamme"
"specials.name.flame_storm","Flammestorm"
"specials.name.flame_surge","Flammebølge"
"specials.name.flames_and_rejuvenation","Flammer og gjenopplivelse"
"specials.name.flames_and_rejuvenation_pve","Flammer og gjenopplivelse"
"specials.name.flames_of_revenge","Hevnens flammer"
"specials.name.flaming_fury","Flammende raseri"
"specials.name.flaming_grudge","Brennende nag"
"specials.name.flaming_mandibles","Brennende kjever"
"specials.name.flaming_rapier","Flammende kårde"
"specials.name.flaming_rapier_pve","Flammende kårde"
"specials.name.flaming_sword","Brennende sverd"
"specials.name.flanking_maneuver","Flankemanøver"
"specials.name.flanking_maneuver_pve","Flankemanøver"
"specials.name.flare","Ildpust"
"specials.name.flat_cake_for_sweethearts","Flat kake for elskede"
"specials.name.flat_cake_for_sweethearts_pve","Flat kake for elskede"
"specials.name.flawless_shot","Feilfritt skudd"
"specials.name.flock_of_folly_eldwren","Flokk av dårskap"
"specials.name.floral_sting","Blomsterstikk"
"specials.name.flower_arrangements","Blomsteroppsatser"
"specials.name.flower_of_kindness","Snillhetsblomster"
"specials.name.fluff_in_the_air","Silkemyk i luften"
"specials.name.flurry_of_blows","Storm av slag"
"specials.name.flurry_of_slashes","Huggvind"
"specials.name.flurry_of_slashes_deadly","Huggvind"
"specials.name.flute_of_enchantment","Fortryllende fløyte"
"specials.name.focused_shot","Fokusert skudd"
"specials.name.fog_machine","Røykmaskinens tåke"
"specials.name.fog_of_the_fallen","De falnes tåke"
"specials.name.fog_of_the_glass_sabina","Vitrails tåke"
"specials.name.fog_of_the_perished","De omkomnes tåke"
"specials.name.fog_of_the_toons","Toonståke"
"specials.name.fog_of_the_vitrails","Vitrails tåke"
"specials.name.for_queen_and_hollow","For dronningen"
"specials.name.force_of_forest","Skogens kraft"
"specials.name.forceful_advance","Kraftig fremskritt"
"specials.name.forest_breath","Skogspust"
"specials.name.forest_command","Skogskommandant"
"specials.name.forest_friends","Skogsvenner"
"specials.name.forge_rush","Smierush"
"specials.name.forged_axe_of_light","Smidd lysets øks"
"specials.name.forged_from_gold","Smidd av gull"
"specials.name.forged_in_fire","Svidd i ild"
"specials.name.fortunate_slice","Heldig hugg"
"specials.name.fracturing_cut","Oppsplittende kutt"
"specials.name.fracturing_shards","Oppsplittede skår"
"specials.name.fracturing_slash","Oppsplittende kutt"
"specials.name.freezing_cold_cutter","Frysende kald kutter"
"specials.name.freezing_crystal","Frysende krystall"
"specials.name.freezing_fairy_mist","Frysende festøv"
"specials.name.freezing_power_hooks","Frysende kraftslag"
"specials.name.frenzied_rend","Frenetisk rend"
"specials.name.frenzy_plant","Raseriplante"
"specials.name.friendly_critters_feast","Vennlige skapninger festmåltid"
"specials.name.frightening_pinch","Atlantisk spyd"
"specials.name.frightstrike","Fryktslag"
"specials.name.frogs_and_hoop","Froskoer og hopp"
"specials.name.from_shadows","Fra skyggene"
"specials.name.from_shadows_pve","Fra skyggene"
"specials.name.frost_and_rime","Frost og rim"
"specials.name.frost_bound_blade","Frostbundet kniv"
"specials.name.frostbite","Frostbitt"
"specials.name.frostbolt_dragon_pve","Frostbolt"
"specials.name.frostbound_smash","Frostbundet smekk"
"specials.name.frostneedle","Frostnål"
"specials.name.frosty_axes","Frosne økser"
"specials.name.frosty_punches","Frostslag"
"specials.name.frozen_orb","Frossen kule"
"specials.name.frozen_path","Fluvial vei"
"specials.name.frozen_wind","Frossen vind"
"specials.name.frozen_wind_pve","Frossen vind"
"specials.name.fruit_cocktail","Fruktcocktail"
"specials.name.fruits_of_labor","God dose hvitløk"
"specials.name.fullmetal_pelt","Fullmetall pels"
"specials.name.furious_bite","Villbitt"
"specials.name.furious_boar","Rasende villsvin"
"specials.name.furious_flames","Rasende flammer"
"specials.name.furry_loggers_swing","Mektig økseslag"
"specials.name.fury_of_ash","Ashs raseri"
"specials.name.fury_of_grimnir","Grimnirs raseri"
"specials.name.fury_of_the_ancient_forest","Den gamle skogens raseri"
"specials.name.fury_of_the_fire_giants","Ildkjempenes raseri"
"specials.name.fury_of_the_fire_giants_final","Ildkjempenes raseri"
"specials.name.fury_of_the_mountain_lord","Fjellherrens sinne"
"specials.name.fury_of_the_silverback","Søvryggens sinne"
"specials.name.gallant_stance","Tapper stilling"
"specials.name.gamblers_stance","Gamblers stilling"
"specials.name.gamblers_swing","Gamblers huske"
"specials.name.garbage_shock_wave","Søppelsjokkbølge"
"specials.name.gardeners_remedy","Gartnerens behandling"
"specials.name.gargantuan_bite","Gigantisk bitt"
"specials.name.gargoyles_of_redemption","Frelsende griffer"
"specials.name.gargoyles_of_redemption_pve","Frelsende griffer"
"specials.name.gargoyles_of_restoration","Gjenopprettelsens griffer"
"specials.name.garlic_serving_edwin","Hvitløkstallerken"
"specials.name.generous_gifts","Sjenerøse gaver"
"specials.name.gentle_paw","Forsiktig pote"
"specials.name.gentlemans_cane","Herrestokk"
"specials.name.gentlemans_transformation","Gentlemanns omgjøring"
"specials.name.giddy_jab_dragon_pve","Oppspilt slag"
"specials.name.gift_list","Gaveliste"
"specials.name.gift_of_rejuvenation","Foryngelsen gave"
"specials.name.gift_of_rock","Rockens gave"
"specials.name.giftsack","Sekk med gaver"
"specials.name.gilded_antlers","Forgylt gevir"
"specials.name.glacial_atmosphere","Isatmosfære"
"specials.name.glacial_crusher","Isbreknuser"
"specials.name.glacial_explosion","Iseksplosjon"
"specials.name.glacial_fissure_cleave","Isrevnehugg"
"specials.name.glacial_resilience","Glasial motstandskraft"
"specials.name.glacial_shatter","Isknusing"
"specials.name.glacial_vortex","Isbrevirvel"
"specials.name.glaive_of_flames","Flammelanser"
"specials.name.glass_anger_of_forest_horghall","Skårs sinne"
"specials.name.glass_arrow","Glasspil"
"specials.name.glass_barrage_scarlett","Glass-storm"
"specials.name.glass_beam","Glass-stråle"
"specials.name.glass_bite","Glassbitt"
"specials.name.glass_bolt","Glassbolt"
"specials.name.glass_brew","Glassbrygg"
"specials.name.glass_burning_strike","Glassangrep"
"specials.name.glass_chop","Glasshugg"
"specials.name.glass_cleave","Glasssplitt"
"specials.name.glass_cold_blast_ulmer","Glass-snøstorm"
"specials.name.glass_cut","Glasskutt"
"specials.name.glass_cut_chao","Vitrailkutt"
"specials.name.glass_entangling_shot","Glasspil"
"specials.name.glass_finisher_thorne","Glass-avslutningstrekk"
"specials.name.glass_fireball","Glassildkule"
"specials.name.glass_flame_smash","Glassflammeknuser"
"specials.name.glass_four_blades","Hugg fra glasskniver"
"specials.name.glass_fury","Glassraseri"
"specials.name.glass_gamblers_stance","Glass-stilling"
"specials.name.glass_hammer","Glasshammer"
"specials.name.glass_have_faith","Klar tro"
"specials.name.glass_heal","Glasshelbredelse"
"specials.name.glass_jolt","Glass-støt"
"specials.name.glass_kick","Glasspark"
"specials.name.glass_leaping_attack_dawa","Glass-angrep"
"specials.name.glass_leeching_stars_renfeld","Glass-stjerner"
"specials.name.glass_link","Glasslenke"
"specials.name.glass_massive_chop","Glasshugg"
"specials.name.glass_mist","Glasståke"
"specials.name.glass_order","Vitrails ordre"
"specials.name.glass_peck","Glasshakk"
"specials.name.glass_piercing_hit_tyrum","Glasstreff"
"specials.name.glass_piercing_strike","Glassangrep"
"specials.name.glass_prayer","Glassbønn"
"specials.name.glass_pulverizer","Glassulveriserer"
"specials.name.glass_pulverizer_tiburtus","Glassulveriserer"
"specials.name.glass_purification","Glassifisering"
"specials.name.glass_ramming_rush","Glass-storming"
"specials.name.glass_ramming_rush_isshtak","Glass-storming"
"specials.name.glass_riposte","Glassripost"
"specials.name.glass_riposte_boril","Glassripost"
"specials.name.glass_shatter","Glassknusser"
"specials.name.glass_shield_kadilen","Glass-skjold"
"specials.name.glass_skin","Glasshud"
"specials.name.glass_slam","Glass-slag"
"specials.name.glass_slash","Glasskutt"
"specials.name.glass_spear","Glassspyd"
"specials.name.glass_stab","Glasshugg"
"specials.name.glass_stone_skin_gunnar","Glasslenke"
"specials.name.glass_strike","Glassangrep"
"specials.name.glass_strike_caedmon","Glassangrep"
"specials.name.glass_strike_magni","Glassangrep"
"specials.name.glass_swords","Vegg av glass"
"specials.name.glass_thunderstrike_quintus","Glassultimatum"
"specials.name.glass_traps_oberon","Glass-feller"
"specials.name.glass_vines","Glassranker"
"specials.name.glass_volcano","Glassvulkan"
"specials.name.glass_wall","Glassvegg"
"specials.name.glass_warcry","Glasskrigsrop"
"specials.name.gleaming_gemstones","Glinsende juveler"
"specials.name.gleaming_sword_and_iron_mail","Glimtsverd og jernrustning"
"specials.name.glittering_sweep_dragon_pve","Glitrende sveip"
"specials.name.gloom_grenades","Mørkegranater"
"specials.name.gloomy_tune","Dyster låt"
"specials.name.glorious_grace","Praktfull ynde"
"specials.name.glutinous_execution","Klebrig henrettelse"
"specials.name.gnomish_carnage","Gnomisk nedslakting"
"specials.name.goat_rush","Geiterush"
"specials.name.goblin_explosives","Goblinsprengstoff"
"specials.name.goblin_serenade","Goblinserenade"
"specials.name.god_of_the_underworld","Underverdenangrep"
"specials.name.gold_gauntlet","Gullhanske"
"specials.name.gold_rush","Gullrush"
"specials.name.gold_weaver","Gullvever"
"specials.name.golden_aura","Gullaura"
"specials.name.golden_cicada","Gyllen sangsikade"
"specials.name.golden_sacred_symbol","Gyllent hellig symbol"
"specials.name.golden_thread","Gylne tråder"
"specials.name.golem_crusher","Golemknuser"
"specials.name.goodnight_lullaby","God natt-vuggevise"
"specials.name.gooey_rose","Slimete rose"
"specials.name.gorging_bite_yellow","Gjeltbitt"
"specials.name.gorging_chew_blue","Gjeltygg"
"specials.name.gorging_chew_green","Gjeltygg"
"specials.name.gorging_chew_purple","Gjeltygg"
"specials.name.gorging_chew_red","Gjeltygg"
"specials.name.gorging_chew_yellow","Gjeltygg"
"specials.name.gorgyra","Valkyriens standhaftighet"
"specials.name.grab_and_run","Grip og løp"
"specials.name.graceful_shot","Grasiøst skudd"
"specials.name.graceless_ritual","Ugrasiøst ritual"
"specials.name.grand_heist","Stort kupp"
"specials.name.great_frost_axe","Stor frostøks"
"specials.name.great_frost_hoe","Stor frostkrafse"
"specials.name.greed_and_bribery","Grådighet og bestikkelse"
"specials.name.greedy_munch_red","Grådig gumling"
"specials.name.green_dragon_crescent_blade","Grønn drage-halvmånesverd"
"specials.name.green_dragon_inferno","Grønt drageinfernosverd"
"specials.name.green_sparks_dragon_pve","Grønne gnister"
"specials.name.greeting_of_the_sun","Hilsen til solen"
"specials.name.grim_awakening","Grim vekkelse"
"specials.name.grimoire_skim","Svartebok-skumlesing"
"specials.name.grips_of_longing","Lengtende grep"
"specials.name.grips_of_longing_pve","Lengtende grep"
"specials.name.grove_splash_dragon_pve","Lundesprut"
"specials.name.gruesome_charge","Grusom ladning"
"specials.name.guard_the_garden","Vokt hagen!"
"specials.name.guardian_armor","Vokterrustning"
"specials.name.guardians_retaliation","Vokterens hevn"
"specials.name.guarding_tunes","Voktende melodier"
"specials.name.guiding_arrow","Styrende pil"
"specials.name.gust_of_restoration","Restitueringsgufs"
"specials.name.gust_of_swiftness","Hurtighetsgufs"
"specials.name.hack_and_slash","Hakk og kutt"
"specials.name.hacking_attack","Hakkeangrep"
"specials.name.hailstone_glare_dragon_pve","Haglsteinsblending"
"specials.name.hailstorm","Haglbyge"
"specials.name.halflings_wisdom","Halvlings visdom"
"specials.name.halflings_wit","Halvlings vidd"
"specials.name.hallowed_blade","Den hellige klinge"
"specials.name.halting_counter_strike","Haltende motangrep"
"specials.name.hammer_thump","Hammerslag"
"specials.name.harmonic_bash","Harmonisk slag"
"specials.name.harmonic_slam","Harmonisk smell"
"specials.name.harpoon_sentry","Harpunvakt"
"specials.name.harpy_claw","Harpeklo"
"specials.name.harrow_the_heart","Harve hjertet"
"specials.name.hasty_gift_wrapper","Hastig gaveinnpakning"
"specials.name.hasty_trigger_finger","Hastig avtrekkerfinger"
"specials.name.have_curiosity","Få håp"
"specials.name.have_faith","Ha troen"
"specials.name.haze_of_the_deceased","De falnes dis"
"specials.name.head_hurl","Hodekast"
"specials.name.healing_chant","Helbredende sang"
"specials.name.healing_fire_spirits","Helbredende ild-ånder"
"specials.name.healing_gift","Tankeløs helbredelse"
"specials.name.healing_gift_anteros","Tankeløs helbredelse"
"specials.name.healing_gift_kabeiroi","Tankeløs helbredelse"
"specials.name.healing_mirror","Helbredende speil"
"specials.name.healthiest_catch","Sunneste fangst"
"specials.name.hearty_stew","Kraftig stuing"
"specials.name.heatstinger","Hetestikker"
"specials.name.heavy_fragrance","Tung duft"
"specials.name.heedless_hammer_flurry","Hodeløs hammerstorm"
"specials.name.heirloom_dagger","Familiedolk"
"specials.name.helping_hands","Håndsrekning"
"specials.name.hemlock_tea","Hemlokk-te"
"specials.name.herbal_remedies","Urtelegemidler"
"specials.name.herculean_throw","Herkulisk kast"
"specials.name.herd_stampede","Flokkstormløp"
"specials.name.here_catch","Her! Ta imot!"
"specials.name.heretic_slayer","Kjetterslakter"
"specials.name.heroic_noble","Treforkkast"
"specials.name.heroic_noble_deadly","Treforkkast"
"specials.name.herring_blaster","Sildskyter"
"specials.name.herring_surprise","Sildoverraskelse"
"specials.name.hide_in_shadows","Skjul i skygger"
"specials.name.high_altitude_ambush","Bakhold i høyden"
"specials.name.high_energy_field","Høyenergifelt"
"specials.name.high_noon_sun","Middagssol"
"specials.name.holding_down_the_fort","Holder fortet"
"specials.name.hollow_boast","Hul skryting"
"specials.name.holy_aura","Hellig aura"
"specials.name.holy_guard","Hellig vakt"
"specials.name.holy_hibiscus_ale","Hellig hibiskusøl"
"specials.name.holy_mark","Hellig merke"
"specials.name.holy_splash","Hellig plask"
"specials.name.home_run","Home Run"
"specials.name.horn_attack","Gevir-angrep"
"specials.name.horrifying_wail","Skremmende hyl"
"specials.name.horses_curse","Sandpust"
"specials.name.hoverboard_crash","Hoverboard-krasj"
"specials.name.hoverboard_slam","Svevebrett-treff"
"specials.name.howling_sword","Ulende sverd"
"specials.name.hues_of_love","Kjærlighetens farger"
"specials.name.hungering_grave","Sultgrav"
"specials.name.hunt_for_prey","Jakt på bytte"
"specials.name.hunters_instinct","Jegers instinkt"
"specials.name.hunters_mark","Jegers merke"
"specials.name.hunters_true_shot","Jegers blink"
"specials.name.hunting_ballad","Jaktballade"
"specials.name.hunting_charge","Leder jakten"
"specials.name.hydra_bite","Hydrabitt"
"specials.name.hymn_of_enrichment","Berikelsens hymne"
"specials.name.hyper_porridge","Hypergrøt"
"specials.name.hyperborean_hook","Hyperboreansk krok"
"specials.name.hypersonic_tackle","Hypersoniske tentakler"
"specials.name.hypnosis_dragon_pve","Hypnose"
"specials.name.ice_and_slice","Is og hugg"
"specials.name.ice_boom","Issmell"
"specials.name.ice_cold_order","Iskald orden"
"specials.name.ice_cream_smash","Iskremmos"
"specials.name.ice_treatment","Isbehandling"
"specials.name.iceberg_aura","Isfjellaura"
"specials.name.iceberg_crush","Isfjell-knus"
"specials.name.iceberg_havoc","Isfjellskade"
"specials.name.icebound_howl","Isbundet uling"
"specials.name.icebound_ritual","Forfrysingsritual"
"specials.name.icecold_finisher","Iskaldt avslutningstrekk"
"specials.name.icehammer_smash","Ishammer knus"
"specials.name.iceshatter","Isknusing"
"specials.name.icy_axes","Isøkser"
"specials.name.icy_mandibles","Iskjever"
"specials.name.icy_resilience","Isig bestandighet"
"specials.name.ill_bring_you_back","Jeg skal bringe deg tilbake"
"specials.name.ill_fated_experiment","Mislykket eksperiment"
"specials.name.imaginary_increments","Innbilte inkrementer"
"specials.name.immortal_annihilator","Udødelig utsletter"
"specials.name.immortal_annihilator_deadly","Udødelig utsletter"
"specials.name.immortal_punisher","Udødelig straffer"
"specials.name.impairing_strike","Lammende angrep"
"specials.name.impale_and_devour","Spidde og fortære"
"specials.name.impeccable_charge","Upåklagelig angrep"
"specials.name.impeding_bolts","Hemmende bolter"
"specials.name.impervious_formation","Ugjennomtrengelig formasjon"
"specials.name.impossible_groove","Umulig groove"
"specials.name.impossible_riddle","Umulig gåte"
"specials.name.incite_ki","Fremkall Ki"
"specials.name.incite_ki2","Fremkall Ki"
"specials.name.indestructible_claw","Uknuselig klo"
"specials.name.indifferent_blade","Likegyldig klinge"
"specials.name.inevitable_demise","Uunngåelig bortgang"
"specials.name.infernal_chops","Infernalske kjever"
"specials.name.infernal_drumstorm","Infernalsk trommestorm"
"specials.name.infernal_flames","Djevelske flammer"
"specials.name.infernal_jaws","Djevelske kjever"
"specials.name.ink_bomb","Blekkbombe"
"specials.name.innovative_lunge","Kreativt sprang"
"specials.name.insidious_goo","Listig gørr"
"specials.name.inspiring_fencing","Inspirerende fekting"
"specials.name.insurmountable_flux","Uoverstigelig fluks"
