"specials.name.a_cozy_break","Miellyttävä tauko"
"specials.name.divine_protection","Taivaallinen turva"
"specials.name.divine_protection_deadly","Taivaallinen turva"
"specials.name.divine_reflection","Jumalainen kuvajainen"
"specials.name.divine_reversal","Taivaallinen kumous"
"specials.name.dizzying_strike","Huimaava isku"
"specials.name.donut_to_the_rescue","Donitsi pelastaa!"
"specials.name.doomrend","Tuhon repäisy"
"specials.name.doomstrike","Tuhon isku"
"specials.name.double_flail_mayhem","Kahden varstan kopautus"
"specials.name.double_strike","Kaksoisisku"
"specials.name.doublebarreled_starstick","Kaksipiippuinen tähtikeppi"
"specials.name.dozy_mead","Unettava sima"
"specials.name.dragon_autumn_blaze","Syksyinen loimu"
"specials.name.dragon_blaze_of_fatigue","Väsyttävä loimu"
"specials.name.dragon_blaze_of_mortality","Kuolettava loimu"
"specials.name.dragon_blaze_of_protection","Suojaava loimu"
"specials.name.dragon_blaze_of_suppression","Pysäyttävä loimu"
"specials.name.dragon_blaze_of_the_hydra","Ikitursaan loimu"
"specials.name.dragon_blaze_of_the_undying","Kuolemattomien loimu"
"specials.name.dragon_blaze_of_torment","Piinaava loimu"
"specials.name.dragon_blazing_inferno","Loimuava pätsi"
"specials.name.dragon_blazing_storm","Loimuava myrsky"
"specials.name.dragon_blinding_blaze","Sokaiseva loimu"
"specials.name.dragon_blinding_blaze_duskwing","Sokaiseva loimu"
"specials.name.dragon_blinding_blaze_wildheart","Sokaiseva loimu"
"specials.name.dragon_breath_of_bulwark","Suojaava henkäys"
"specials.name.dragon_breath_of_compassion","Myötätunnon henkäys"
"specials.name.dragon_breath_of_nourishment","Ravitseva henkäys"
"specials.name.dragon_breath_of_retribution","Koston henkäys"
"specials.name.dragon_breath_of_revival","Elvyttävä henkäys"
"specials.name.dragon_cauterizing_blaze","Polttava loimu"
"specials.name.dragon_charring_blaze","Hiillostava loimu"
"specials.name.dragon_claws","Lohikäärmeen kynnet"
"specials.name.dragon_cleansing_flame","Puhdistava liekki"
"specials.name.dragon_corrosive_blaze","Syövyttävä loimu"
"specials.name.dragon_cracking_blaze","Halkova loimu"
"specials.name.dragon_crackling_blaze_smoldercoil","Rätisevä loimu"
"specials.name.dragon_crashing_blaze","Romauttava loimu"
"specials.name.dragon_crippling_blaze","Rampauttava loimu"
"specials.name.dragon_crushing_blaze","Murskaava loimu"
"specials.name.dragon_dampening_blaze","Vaimentava loimu"
"specials.name.dragon_dazing_blaze","Pökerryttävä loimu"
"specials.name.dragon_delivery_service","Lohikäärmetoimitus"
"specials.name.dragon_destabilizing_blaze","Horjuttava loimu"
"specials.name.dragon_devastating_blaze","Tuhoisa loimu"
"specials.name.dragon_disarming_blaze","Aseista riisuva loimu"
"specials.name.dragon_draining_blaze","Tyhjentävä loimu"
"specials.name.dragon_empowering_breath","Voimaannuttava henkäys"
"specials.name.dragon_esoteric_flame","Esoteerinen liekki"
"specials.name.dragon_fang","Lohikäärmeen torahammas"
"specials.name.dragon_fiery_blaze","Tulinen loimu"
"specials.name.dragon_flames_of_acceleration","Kiihdyttävät liekit"
"specials.name.dragon_fortifying_flame","Vahvistava liekki"
"specials.name.dragon_inspirational_breath","Innoittava henkäys"
"specials.name.dragon_mana_infused_breath","Manapitoinen henkäys"
"specials.name.dragon_mindless_blaze","Mieletön loimu"
"specials.name.dragon_novices_blaze","Aloittelijan loimu"
"specials.name.dragon_pacifying_breath","Rauhoittava henkäys"
"specials.name.dragon_protective_breath","Suojaava henkäys"
"specials.name.dragon_rallying_breath","Voimauttava henkäys"
"specials.name.dragon_rallying_breath_trezoro","Voimauttava henkäys"
"specials.name.dragon_resuscitating_breath","Elvyttävä henkäys"
"specials.name.dragon_revitalizing_breath","Virkistävä henkäys"
"specials.name.dragon_sacred_flame","Pyhä liekki"
"specials.name.dragon_sacred_flame_harmonis","Pyhä liekki"
"specials.name.dragon_searing_blaze","Korventava loimu"
"specials.name.dragon_shielding_breath","Suojaava henkäys"
"specials.name.dragon_shocking_blaze","Järisyttävä loimu"
"specials.name.dragon_spring_breath","Keväthenkäys"
"specials.name.dragon_spring_breath_erudius","Keväthenkäys"
"specials.name.dragon_strengthening_flame","Voimistava liekki"
"specials.name.dragon_summer_blaze","Kesäloimu"
"specials.name.dragon_volcanic_blaze","Vulkaaninen loimu"
"specials.name.dragon_weakening_blaze","Heikentävä loimu"
"specials.name.dragon_weakening_blaze_ashenheart","Heikentävä loimu"
"specials.name.dragon_wounding_blaze","Haavoittava loimu"
"specials.name.dragon_wounding_blaze_ceestraze","Haavoittava loimu"
"specials.name.dragon_wrecking_blaze","Romuttava loimu"
"specials.name.drain_strike","Tyhjentävä isku"
"specials.name.draining_blade","Turmeleva terä"
"specials.name.drawn_to_the_depths","Syvyyksien houkutus"
"specials.name.dread_hammer","Kammomoukari"
"specials.name.dreaded_swords","Pelätyt miekat"
"specials.name.dreaded_waters","Alle aaltojen syvien"
"specials.name.dreadful_riddle","Kammottava arvoitus"
"specials.name.dreadstrike","Kauhuisku"
"specials.name.dreams_of_nourishment","Ruokaunelmia"
"specials.name.dress_up","Tälläydy!"
"specials.name.drowsy_bolt","Väsähtänyt salama"
"specials.name.drum_chain","Ipu-rummun ketju"
"specials.name.dual_axes","Kaksoiskirves"
"specials.name.dual_blades","Kaksoismiekat"
"specials.name.dual_data_blades","Kaksoisdatamiekat"
"specials.name.dual_laser_blades","Kaksoislasermiekat"
"specials.name.dual_slash","Tuplasivallus"
"specials.name.dual_sting","Kaksoispisto"
"specials.name.dubious_cuisine","Epäilyttävä ateria"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Katastrofaalinen keittiömoka"
"specials.name.dubious_cuisine_exquisite_food","Herkkuateria"
"specials.name.dubious_cuisine_rotten_food","Mätää ruokaa"
"specials.name.dubious_merchandise","Epäilyttävät myytävät"
"specials.name.dubious_mixture","Epäilyttävä sekoitus"
"specials.name.dum_and_dee","Tom ja Tyy"
"specials.name.dusk_dust","Hämärän tomu"
"specials.name.dusk_till_dawn","Hämärää aamunkoittoon"
"specials.name.dust_to_dust","Maan tomua"
"specials.name.dwarven_flourish","Kääpiön taitoisku"
"specials.name.dwarven_kings_levy","Kääpiökuninkaan vero"
"specials.name.dwarven_recharge","Kääpiön lepotauko"
"specials.name.easy_breezy_aura","Helpotuksen aura"
"specials.name.echoes_of_ice","Jään kaikuja"
"specials.name.echoes_of_pain","Kivun kaikuja"
"specials.name.echoes_of_the_opera","Oopperan kaiut"
"specials.name.eclipse_shield","Pimennyskilpi"
"specials.name.eclipse_spear","Pimennyskeihäs"
"specials.name.educated_exorcism","Mallikas manaus"
"specials.name.egg_barrage","Munasade"
"specials.name.elders_remedy","Vanhimman rohto"
"specials.name.eldritch_blight","Ikiaikainen vitsaus"
"specials.name.eldritch_sign_bolts","Ikiaikaisen merkin salamat"
"specials.name.electric_cut","Sähkösivallus"
"specials.name.electric_dragonfire","Sähköinen lohikäärmeen tuli"
"specials.name.electric_jolt","Sähköisku"
"specials.name.electric_stab","Sähköpisto"
"specials.name.electric_sting_dragon_pve","Sähköinen pistos"
"specials.name.electrified_claws","Sähköiset kynnet"
"specials.name.electrifying_gust_dragon_pve","Sähköinen puhuri"
"specials.name.elegant_pulverizer","Elegantti jauhin"
"specials.name.elemental_corruption","Elementaalin korruptio"
"specials.name.elemental_infusion_arrow","Elementaalinen infuusionuoli"
"specials.name.elemental_infusion_arrow_pve","Elementaalinen infuusionuoli"
"specials.name.elemental_magic","Elementaalimagiaa"
"specials.name.emboldened_strike","Rohkea isku"
"specials.name.emerald_dual_blade","Smaragdinen kaksoismiekka"
"specials.name.emerald_flash","Smaragdinen välähdys"
"specials.name.emerald_tide","Smaragditulva"
"specials.name.emerald_wind","Smaragdituuli"
"specials.name.empowered_slash","Voimakas sivallus"
"specials.name.empowering_bash","Voimaannuttava lyönti"
"specials.name.empowering_bash_deadly","Voimaannuttava lyönti"
"specials.name.en_garde","En garde"
"specials.name.enchanted_antlers","Lumotut sarvet"
"specials.name.enchanted_axe_swing","Lumotun kirveen isku"
"specials.name.enchanted_edge","Lumottu terä"
"specials.name.enchanted_elven_sword","Lumottu haltiamiekka"
"specials.name.enchanted_symphony","Lumottu sinfonia"
"specials.name.enchanting_divination","Lumoava ennustus"
"specials.name.enchanting_melody","Lumoava melodia"
"specials.name.endless_daggers","Loputtomat tikarit"
"specials.name.endless_maze","Loputon labyrintti"
"specials.name.energy_conjunction","Energiakonjunktio"
"specials.name.energy_of_mjolnir","Mjölnirin energia"
"specials.name.energy_steal_dragon_pve","Energian anastus"
"specials.name.engulfing_candlelight","Ympäröivä kynttilänvalo"
"specials.name.entangling_shot","Kietova laukaus"
"specials.name.entrapping_enchantment","Ansalumous"
"specials.name.erase_strength","Voimien poisto"
"specials.name.erupting_slices","Vimmaiset viillot"
"specials.name.esprit_de_corps","Yhteishenki"
"specials.name.essence_of_queen_nitocris","Kuningatar Nitocrisin olemus"
"specials.name.eternal_bond","Ikuinen side"
"specials.name.eternal_ishq","Ikuinen ishq"
"specials.name.eternal_loyalty","Ikuinen uskollisuus"
"specials.name.eternal_servitude","Ikuinen orjuus"
"specials.name.ethereal","Haamu"
"specials.name.evading_dash","Väistösyöksy"
"specials.name.everlasting_wound","Ikuinen haava"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Manausnuoli"
"specials.name.explosive_goo_minions","Käskyläisten syynäys"
"specials.name.explosive_o_lantern","Räjähtävä lyhty"
"specials.name.express_delivery","Pikatoimitus"
"specials.name.exquisite_alchemy","Ainutlaatuista alkemiaa"
"specials.name.exquisite_victuals","Erinomaista einettä"
"specials.name.exquisite_victuals_pve_advanced","Erinomaista einettä"
"specials.name.exquisite_victuals_pve_normal","Erinomaista einettä"
"specials.name.eye_of_panther","Pantterin silmä"
"specials.name.eye_of_the_storm","Myrskyn silmä"
"specials.name.eye_of_yog-sir","Yog-Sirin silmä"
"specials.name.fabled_fist","Tarujen nyrkki"
"specials.name.fabled_llama_ballad","Kuuluisa laamaballadi"
"specials.name.fairy_godmothers_blessing","Hyvän haltijattaren siunaus"
"specials.name.faithful_force","Uskollinen voima"
"specials.name.falcon_screech","Haukan huuto"
"specials.name.false_treat","Väärä herkku"
"specials.name.familiar_eater","Käskyläisten syöjä"
"specials.name.familiar_witchcraft","Kotihaltijan taikoja"
"specials.name.fangs_and_blades","Torahampaita ja teräaseita"
"specials.name.fangs_of_death","Tuskan torahampaat"
"specials.name.fatal_dreams","Tappavat unet"
"specials.name.fatal_finisher","Tappava lopetusliike"
"specials.name.fearless_charge","Peloton rynnäkkö"
"specials.name.feather_tempest","Höyhenmyrsky"
"specials.name.feline_constellation","Kissamainen tähtikuvio"
"specials.name.feral_arrows","Villit nuolet"
"specials.name.feral_bite","Villi puraisu"
"specials.name.feral_gust_dragon_pve","Villi puhuri"
"specials.name.feral_peck","Villi nokkaisu"
"specials.name.feral_revenge","Villi kosto"
"specials.name.feral_swing","Villi isku"
"specials.name.feyfire_slash","Taikatulisivallus"
"specials.name.field_aid","Pienparannus"
"specials.name.field_surgery","Suurparannus"
"specials.name.fiendslayer","Riiviönsurmaaja"
"specials.name.fierce_fu_jow_pai","Hurja Fu Jow Pai"
"specials.name.fierce_pierce","Raju lävistys"
"specials.name.fierce_slash","Raivokas sivallus"
"specials.name.fiery_charge","Tulinen rynnistys"
"specials.name.fiery_revenge","Tulinen kosto"
"specials.name.fire_barrier_dragon_pve","Tulimuuri"
"specials.name.fire_bolt_zidane","Tulinuoli"
"specials.name.fire_storm","Tulimyrsky"
"specials.name.fire_tiger","Tulitiikerit"
"specials.name.fireball","Tulipallo"
"specials.name.fireball_single","Tulipallo"
"specials.name.fireblade_slash","Tulisen terän sivallus"
"specials.name.fires_of_ragnarok","Ragnarökin lieskat"
"specials.name.fires_of_ragnarok_final","Ragnarökin lieskat"
"specials.name.firestone_daggers","Tulikivitikarit"
"specials.name.firewall","Tulimuuri"
"specials.name.firing_on_all_cylinders","Täysi vauhti"
"specials.name.first_frost","Ensihalla"
"specials.name.first_law_of_thermodynamics","Termodynamiikan ensimmäinen pääsääntö"
"specials.name.fishbone_blades","Kalanluuterät"
"specials.name.fists_of_atonement","Sovituksen nyrkit"
"specials.name.flail_of_destruction","Tuhoamisvarsta"
"specials.name.flail_swing","Varstan heilautus"
"specials.name.flails_of_fury","Raivon huitaisut"
"specials.name.flame_of_the_dragon_familiar","Lohikäärmelemmikin liekki"
"specials.name.flame_of_the_lioness","Naarasleijonan liekki"
"specials.name.flame_storm","Liekkimyrsky"
"specials.name.flame_surge","Liekkiaalto"
"specials.name.flames_and_rejuvenation","Liekkejä ja lievitystä"
"specials.name.flames_and_rejuvenation_pve","Liekkejä ja lievitystä"
"specials.name.flames_of_revenge","Koston liekit"
"specials.name.flaming_fury","Liekehtivä raivo"
"specials.name.flaming_grudge","Liekehtivä kauna"
"specials.name.flaming_mandibles","Liekehtivät leuat"
"specials.name.flaming_rapier","Liekehtivä säilä"
"specials.name.flaming_rapier_pve","Liekehtivä säilä"
"specials.name.flaming_sword","Liekehtivä miekka"
"specials.name.flanking_maneuver","Sivustahyökkäys"
"specials.name.flanking_maneuver_pve","Sivustahyökkäys"
"specials.name.flare","Tulihenkäys"
"specials.name.flat_cake_for_sweethearts","Lempiväisten kakku"
"specials.name.flat_cake_for_sweethearts_pve","Lempiväisten kakku"
"specials.name.flawless_shot","Virheetön laukaus"
"specials.name.flock_of_folly_eldwren","Älytön parvi"
"specials.name.floral_sting","Kukkapisto"
"specials.name.flower_arrangements","Kukka-asetelmat"
"specials.name.flower_of_kindness","Lempeyden kukat"
"specials.name.fluff_in_the_air","Höttöä ilmassa"
"specials.name.flurry_of_blows","Viuhuvat iskut"
"specials.name.flurry_of_slashes","Viuhuvat sivallukset"
"specials.name.flurry_of_slashes_deadly","Viuhuvat sivallukset"
"specials.name.flute_of_enchantment","Lumoava huilu"
"specials.name.focused_shot","Kohdennettu laukaus"
"specials.name.fog_machine","Savukoneen usva"
"specials.name.fog_of_the_fallen","Kaatuneiden sumu"
"specials.name.fog_of_the_glass_sabina","Lasimaalausten sumu"
"specials.name.fog_of_the_perished","Kuolleiden sumu"
"specials.name.fog_of_the_toons","Piirrettyjen sumu"
"specials.name.fog_of_the_vitrails","Lasimaalausten sumu"
"specials.name.for_queen_and_hollow","Kuningattaren ja pesäkolon puolesta"
"specials.name.force_of_forest","Metsän voima"
"specials.name.forceful_advance","Voimakas eteneminen"
"specials.name.forest_breath","Metsän henkäys"
"specials.name.forest_command","Metsän käsky"
"specials.name.forest_friends","Metsän ystävät"
"specials.name.forge_rush","Pajakiire"
"specials.name.forged_axe_of_light","Taottu valon kirves"
"specials.name.forged_from_gold","Kullasta taottu"
"specials.name.forged_in_fire","Tulessa taottu"
"specials.name.fortunate_slice","Onnekas sivallus"
"specials.name.fracturing_cut","Halkova viilto"
"specials.name.fracturing_shards","Sivaltavat sirpaleet"
"specials.name.fracturing_slash","Murskaava sivallus"
"specials.name.freezing_cold_cutter","Jäätävän kylmä viiltäjä"
"specials.name.freezing_crystal","Jäädyttävä kristalli"
"specials.name.freezing_fairy_mist","Jäädyttävä keijusumu"
"specials.name.freezing_power_hooks","Jäädyttävät voimakoukut"
"specials.name.frenzied_rend","Raivoisa raatelu"
"specials.name.frenzy_plant","Vimmakasvi"
"specials.name.friendly_critters_feast","Kilttien otusten juhla-ateria"
"specials.name.frightening_pinch","Atlantislainen keihäs"
"specials.name.frightstrike","Pelkoisku"
"specials.name.frogs_and_hoop","Sammakoiden rengastemppu"
"specials.name.from_shadows","Varjoista tullut"
"specials.name.from_shadows_pve","Varjoista tullut"
"specials.name.frost_and_rime","Kuuraa ja huurretta"
"specials.name.frost_bound_blade","Huurteinen terä"
"specials.name.frostbite","Pakkasenpurema"
"specials.name.frostbolt_dragon_pve","Jääisku"
"specials.name.frostneedle","Huurreneula"
"specials.name.frosty_axes","Huurteiset kirveet"
"specials.name.frosty_punches","Huurteiset iskut"
"specials.name.frozen_orb","Jäätävä pallo"
"specials.name.frozen_path","Fluviaalinen polku"
"specials.name.frozen_wind","Jäätävä tuuli"
"specials.name.frozen_wind_pve","Jäätävä tuuli"
"specials.name.fruit_cocktail","Hedelmäcocktail"
"specials.name.fruits_of_labor","Kunnon annos valkosipulia"
"specials.name.fullmetal_pelt","Metallitalja"
"specials.name.furious_bite","Raivokas puraisu"
"specials.name.furious_boar","Raivoisa villisika"
"specials.name.furious_flames","Roihuavat liekit"
"specials.name.furry_loggers_swing","Pörröisen tukkimiehen huitaisu"
"specials.name.fury_of_ash","Tuhkan raivo"
"specials.name.fury_of_grimnir","Grimnirin raivo"
"specials.name.fury_of_the_ancient_forest","Ikimetsän raivo"
"specials.name.fury_of_the_fire_giants","Tulijättiläisten raivo"
"specials.name.fury_of_the_fire_giants_final","Tulijättiläisten raivo"
"specials.name.fury_of_the_mountain_lord","Vuoren valtiaan raivo"
"specials.name.fury_of_the_silverback","Hopeaselän raivo"
"specials.name.gallant_stance","Urhea asenne"
"specials.name.gamblers_stance","Uhkapelurin asenne"
"specials.name.gamblers_swing","Uhkapelurin isku"
"specials.name.garbage_shock_wave","Järkyttävä roska-aalto"
"specials.name.gardeners_remedy","Puutarhurin rohto"
"specials.name.gargantuan_bite","Suunnaton purema"
"specials.name.gargoyles_of_redemption","Lunastuksen gargoilit"
"specials.name.gargoyles_of_redemption_pve","Lunastuksen gargoilit"
"specials.name.gargoyles_of_restoration","Korjaavat gargoilit"
"specials.name.garlic_serving_edwin","Valkosipulitarjotin"
"specials.name.generous_gifts","Anteliaat lahjat"
"specials.name.gentle_paw","Lempeä tassu"
"specials.name.gentlemans_cane","Herrasmiehen kävelykeppi"
"specials.name.gentlemans_transformation","Herrasmiehen muodonmuutos"
"specials.name.giddy_jab_dragon_pve","Innokas pisto"
"specials.name.gift_list","Lahjalista"
"specials.name.gift_of_rejuvenation","Elvytyksen lahja"
"specials.name.gift_of_rock","Rockin lahja"
"specials.name.giftsack","Lahjasäkki"
"specials.name.gilded_antlers","Kullatut sarvet"
"specials.name.glacial_atmosphere","Jäinen ilmakehä"
"specials.name.glacial_crusher","Jäinen murskaaja"
"specials.name.glacial_explosion","Hyinen räjähdys"
"specials.name.glacial_fissure_cleave","Railon halkaisu"
"specials.name.glacial_resilience","Jäätikön kestävyys"
"specials.name.glacial_shatter","Hyinen pirstaloituminen"
"specials.name.glacial_vortex","Jäätikköpyörre"
"specials.name.glaive_of_flames","Liekkiglaive"
"specials.name.glass_anger_of_forest_horghall","Sirujen viha"
"specials.name.glass_arrow","Lasinen nuoli"
"specials.name.glass_barrage_scarlett","Lasipommitus"
"specials.name.glass_beam","Lasinen säde"
"specials.name.glass_bite","Lasinen puraisu"
"specials.name.glass_bolt","Lasinen salama"
"specials.name.glass_brew","Lasinen juoma"
"specials.name.glass_burning_strike","Lasinen isku"
"specials.name.glass_chop","Lasinen lyönti"
"specials.name.glass_cleave","Lasinen halkaisu"
"specials.name.glass_cold_blast_ulmer","Lasinen lumimyrsky"
"specials.name.glass_cut","Lasinen viilto"
"specials.name.glass_cut_chao","Lasimaalauksen viilto"
"specials.name.glass_entangling_shot","Lasinen nuoli"
"specials.name.glass_finisher_thorne","Lasinen lopetusliike"
"specials.name.glass_fireball","Lasinen tulipallo"
"specials.name.glass_flame_smash","Lasinen liekki-isku"
"specials.name.glass_four_blades","Lasisten veitsien sivallus"
"specials.name.glass_fury","Lasinen raivo"
"specials.name.glass_gamblers_stance","Lasinen asento"
"specials.name.glass_hammer","Lasinen vasara"
"specials.name.glass_have_faith","Läpinäkyvä usko"
"specials.name.glass_heal","Lasinen parannus"
"specials.name.glass_jolt","Lasinen tärsky"
"specials.name.glass_kick","Lasipotku"
"specials.name.glass_leaping_attack_dawa","Lasinen hyökkäys"
"specials.name.glass_leeching_stars_renfeld","Lasitähdet"
"specials.name.glass_link","Lasinen linkki"
"specials.name.glass_massive_chop","Lasinen lyönti"
"specials.name.glass_mist","Lasinen usva"
"specials.name.glass_order","Lasimaalauksen käsky"
"specials.name.glass_peck","Lasinokkaisu"
"specials.name.glass_piercing_hit_tyrum","Lasi-isku"
"specials.name.glass_piercing_strike","Lasinen isku"
"specials.name.glass_prayer","Lasinen rukous"
"specials.name.glass_pulverizer","Lasinen jauhin"
"specials.name.glass_pulverizer_tiburtus","Lasinen jauhin"
"specials.name.glass_purification","Lasitus"
"specials.name.glass_ramming_rush","Lasinen rynnistys"
"specials.name.glass_ramming_rush_isshtak","Lasinen rynnistys"
"specials.name.glass_riposte","Lasinen riposti"
"specials.name.glass_riposte_boril","Lasinen riposti"
"specials.name.glass_shatter","Lasinen murskaus"
"specials.name.glass_shield_kadilen","Lasinen kilpi"
"specials.name.glass_skin","Lasinen iho"
"specials.name.glass_slam","Lasinen läimäys"
"specials.name.glass_slash","Lasinen sivallus"
"specials.name.glass_spear","Lasinen keihäs"
"specials.name.glass_stab","Lasinen pisto"
"specials.name.glass_stone_skin_gunnar","Lasinen linkki"
"specials.name.glass_strike","Lasinen isku"
"specials.name.glass_strike_caedmon","Lasinen isku"
"specials.name.glass_strike_magni","Lasinen isku"
"specials.name.glass_swords","Lasinen muuri"
"specials.name.glass_thunderstrike_quintus","Lasinen uhkaus"
"specials.name.glass_traps_oberon","Lasiset ansat"
"specials.name.glass_vines","Lasiset köynnökset"
"specials.name.glass_volcano","Lasinen tulivuori"
"specials.name.glass_wall","Lasimuuri"
"specials.name.glass_warcry","Lasinen sotahuuto"
"specials.name.gleaming_gemstones","Kimaltavat jalokivet"
"specials.name.gleaming_sword_and_iron_mail","Kimaltava miekka ja rautapaita"
"specials.name.glittering_sweep_dragon_pve","Kimaltava pyyhkäisy"
"specials.name.gloom_grenades","Synkät kranaatit"
"specials.name.gloomy_tune","Synkkä sävel"
"specials.name.glorious_grace","Loistelias armo"
"specials.name.glutinous_execution","Tahmea teloitus"
"specials.name.gnomish_carnage","Maahismainen verilöyly"
"specials.name.goat_rush","Vuohirynnäkkö"
"specials.name.goblin_explosives","Hiisiräjähteet"
"specials.name.goblin_serenade","Hiiden serenadi"
"specials.name.god_of_the_underworld","Alisen maailman isku"
"specials.name.gold_gauntlet","Kultahanska"
"specials.name.gold_rush","Kultaryntäys"
"specials.name.gold_weaver","Kullanpunoja"
"specials.name.golden_aura","Kultainen aura"
"specials.name.golden_cicada","Kultainen kaskas"
"specials.name.golden_sacred_symbol","Kultainen pyhä symboli"
"specials.name.golden_thread","Kultaiset kielet"
"specials.name.golem_crusher","Goleminmurskaaja"
"specials.name.goodnight_lullaby","Tuutulaulu"
"specials.name.gooey_rose","Mönjäruusu"
"specials.name.gorging_bite_yellow","Ahmiva puraisu"
"specials.name.gorging_chew_blue","Ahmiva pureksinta"
"specials.name.gorging_chew_green","Ahmiva pureksinta"
"specials.name.gorging_chew_purple","Ahmiva pureksinta"
"specials.name.gorging_chew_red","Ahmiva pureksinta"
"specials.name.gorging_chew_yellow","Ahmiva pureksinta"
"specials.name.gorgyra","Valkyrian sisu"
"specials.name.grab_and_run","Ota ja juokse"
"specials.name.graceful_shot","Sulava laukaus"
"specials.name.graceless_ritual","Ruma rituaali"
"specials.name.grand_heist","Iso keikka"
"specials.name.great_frost_axe","Mahtava huurrekirves"
"specials.name.great_frost_hoe","Mahtava huurrekuokka"
"specials.name.greed_and_bribery","Ahneutta ja lahjontaa"
"specials.name.greedy_munch_red","Ahne mussutus"
"specials.name.green_dragon_crescent_blade","Vihreän lohikäärmeen sirppiterä"
"specials.name.green_dragon_inferno","Vihreän lohikäärmeen Infernomiekka"
"specials.name.green_sparks_dragon_pve","Vihreät kipinät"
"specials.name.grim_awakening","Karu herätys"
"specials.name.grimoire_skim","Loitsukirjan lukaisu"
"specials.name.grips_of_longing","Kaipauksen pistot"
"specials.name.grips_of_longing_pve","Kaipauksen pistot"
"specials.name.grove_splash_dragon_pve","Lehtoloiskahdus"
"specials.name.gruesome_charge","Pelottava rynnistys"
"specials.name.guard_the_garden","Puutarhan suojelu"
"specials.name.guardian_armor","Vartijan haarniska"
"specials.name.guardians_retaliation","Vartijan vastaisku"
"specials.name.guarding_tunes","Vartijan sävelet"
"specials.name.guiding_arrow","Opastava nuoli"
"specials.name.gust_of_restoration","Elvyttävä puhuri"
"specials.name.gust_of_swiftness","Nopeuttava puhuri"
"specials.name.hack_and_slash","Hakkaa ja sivalla"
"specials.name.hacking_attack","Hakkurihyökkäys"
"specials.name.hailstone_glare_dragon_pve","Rakeen häikäisy"
"specials.name.hailstorm","Raekuuro"
"specials.name.halflings_wisdom","Puolituisen viisaus"
"specials.name.halflings_wit","Puolituisen oveluus"
"specials.name.hallowed_blade","Pyhitetty miekka"
"specials.name.halting_counter_strike","Pysäyttävä vastaisku"
"specials.name.hammer_thump","Moukarin mäjäytys"
"specials.name.harmonic_bash","Harmoninen lyönti"
"specials.name.harmonic_slam","Harmoninen läimäys"
"specials.name.harpoon_sentry","Harppuunavahti"
"specials.name.harpy_claw","Harpyijan kynsi"
"specials.name.harrow_the_heart","Sydämen raasto"
"specials.name.hasty_gift_wrapper","Hätäinen lahjojen käärijä"
"specials.name.hasty_trigger_finger","Hätäinen liipaisinsormi"
"specials.name.have_curiosity","Toivon pilkahdus"
"specials.name.have_faith","Uskon asia"
"specials.name.haze_of_the_deceased","Kaatuneiden utu"
"specials.name.head_hurl","Päänheitto"
"specials.name.healing_chant","Parannuslaulu"
"specials.name.healing_fire_spirits","Parantavat tulihenget"
"specials.name.healing_gift","Mieletön parannus"
"specials.name.healing_gift_anteros","Mieletön parannus"
"specials.name.healing_gift_kabeiroi","Mieletön parannus"
"specials.name.healing_mirror","Parantava peili"
"specials.name.healthiest_catch","Terveellinen saalis"
"specials.name.hearty_stew","Tuhti muhennos"
"specials.name.heatstinger","Lämpöpisto"
"specials.name.heavy_fragrance","Raskas tuoksu"
"specials.name.heedless_hammer_flurry","Mieletön moukarin mäiske"
"specials.name.heirloom_dagger","Perintötikari"
"specials.name.helping_hands","Auttavat kädet"
"specials.name.hemlock_tea","Myrkkykatkotee"
"specials.name.herbal_remedies","Yrttirohdot"
"specials.name.herculean_throw","Herkuleen heitto"
"specials.name.herd_stampede","Lauman pillastuminen"
"specials.name.here_catch","Ota koppi!"
"specials.name.heretic_slayer","Kerettiläisten surmaaja"
"specials.name.heroic_noble","Atraimenheitto"
"specials.name.heroic_noble_deadly","Atraimenheitto"
"specials.name.herring_blaster","Sillisade"
"specials.name.herring_surprise","Silliyllätys"
"specials.name.hide_in_shadows","Piiloudu varjoihin"
"specials.name.high_altitude_ambush","Väijytys korkeuksista"
"specials.name.high_energy_field","Korkeajännitekenttä"
"specials.name.high_noon_sun","Keskipäivän aurinko"
"specials.name.holding_down_the_fort","Kotirintaman puolustus"
"specials.name.hollow_boast","Ontto kehu"
"specials.name.holy_aura","Pyhä aura"
"specials.name.holy_guard","Pyhä vartija"
"specials.name.holy_hibiscus_ale","Pyhä kiinanruusuolut"
"specials.name.holy_mark","Pyhä merkki"
"specials.name.holy_splash","Pyhä loiskahdus"
"specials.name.home_run","Kunnari"
"specials.name.horn_attack","Sarvihyökkäys"
"specials.name.horrifying_wail","Kauhistuttava ulvonta"
"specials.name.horses_curse","Hiekkatuuli"
"specials.name.hoverboard_crash","Leijulautatörmäys"
"specials.name.hoverboard_slam","Leijulautaläimäys"
"specials.name.howling_sword","Ulvova miekka"
"specials.name.hungering_grave","Nälkäinen hauta"
"specials.name.hunt_for_prey","Saaliin jahtaaminen"
"specials.name.hunters_instinct","Metsästäjän vaisto"
"specials.name.hunters_mark","Metsästäjän merkki"
"specials.name.hunters_true_shot","Metsästäjän tarkka sihti"
"specials.name.hunting_ballad","Jahtiballadi"
"specials.name.hunting_charge","Jahtirynnäkkö"
