"specials.name.a_cozy_break","Pausa Agradável"
"specials.name.divine_reflection","Reflexo Divino"
"specials.name.divine_reversal","Reversão Divina"
"specials.name.dizzying_strike","Golpe Estonteante"
"specials.name.donut_to_the_rescue","Rosquinha de Resgate!"
"specials.name.doomrend","Rasgo da Destruição"
"specials.name.doomstrike","Ataque da Perdição"
"specials.name.double_flail_mayhem","Caos do Mangual"
"specials.name.double_strike","Ataque Duplo"
"specials.name.doublebarreled_starstick","Cajado de Cano Duplo"
"specials.name.dozy_mead","Hidromel Entorpecido"
"specials.name.dragon_autumn_blaze","Chama de Outono"
"specials.name.dragon_blaze_of_fatigue","Chama da Fatiga"
"specials.name.dragon_blaze_of_mortality","Chama da Mortalidade"
"specials.name.dragon_blaze_of_protection","Chama da Proteção"
"specials.name.dragon_blaze_of_suppression","Chama da Supressão"
"specials.name.dragon_blaze_of_the_hydra","Chama da Hidra"
"specials.name.dragon_blaze_of_the_undying","Chama do Imortal"
"specials.name.dragon_blaze_of_torment","Chama do Tormento"
"specials.name.dragon_blazing_inferno","Inferno Chamejante"
"specials.name.dragon_blazing_storm","Tempestade Flamejante"
"specials.name.dragon_blinding_blaze","Chama Ofuscante"
"specials.name.dragon_blinding_blaze_duskwing","Chama Ofuscante"
"specials.name.dragon_blinding_blaze_jawbreaker","Chama Ofuscante"
"specials.name.dragon_blinding_blaze_wildheart","Chama Ofuscante"
"specials.name.dragon_breath_of_bulwark","Sopro do Baluarte"
"specials.name.dragon_breath_of_compassion","Sopro de Compaixão"
"specials.name.dragon_breath_of_nourishment","Sopro de Nutrição"
"specials.name.dragon_breath_of_retribution","Sopro de Retribuição"
"specials.name.dragon_breath_of_revival","Sopro de Revivificação"
"specials.name.dragon_cauterizing_blaze","Chama Cauterizante"
"specials.name.dragon_charring_blaze","Chama Carbonizadora"
"specials.name.dragon_claws","Garras de Dragão"
"specials.name.dragon_cleansing_flame","Chama Purificante"
"specials.name.dragon_corrosive_blaze","Chama Corrosiva"
"specials.name.dragon_cracking_blaze","Chama Estalante"
"specials.name.dragon_crackling_blaze_smoldercoil","Chama Estalante"
"specials.name.dragon_crashing_blaze","Chama Espatifadora"
"specials.name.dragon_crippling_blaze","Chama Debilitante"
"specials.name.dragon_crippling_blaze_belzaas","Chama Debilitante"
"specials.name.dragon_crushing_blaze","Chama Esmagadora"
"specials.name.dragon_dampening_blaze","Chama Atenuante"
"specials.name.dragon_dazing_blaze","Chama Atordoante"
"specials.name.dragon_delivery_service","Serviço de Entregas Dracônico"
"specials.name.dragon_destabilizing_blaze","Chama Desestabilizadora"
"specials.name.dragon_devastating_blaze","Chama Devastadora"
"specials.name.dragon_disarming_blaze","Chama Desarmante"
"specials.name.dragon_draining_blaze","Chama Escoadora"
"specials.name.dragon_empowering_breath","Sopro Fortalecedor"
"specials.name.dragon_esoteric_flame","Chama Exotérica"
"specials.name.dragon_fang","Presa de Dragão"
"specials.name.dragon_fiery_blaze","Chama Ardente"
"specials.name.dragon_flames_of_acceleration","Chamas da Aceleração"
"specials.name.dragon_fortifying_flame","Chama Fortificante"
"specials.name.dragon_inspirational_breath","Sopro Inspirador"
"specials.name.dragon_mana_infused_breath","Sopro de Mana"
"specials.name.dragon_mindless_blaze","Chama Insana"
"specials.name.dragon_novices_blaze","Chama do Novato"
"specials.name.dragon_pacifying_breath","Sopro Pacificador"
"specials.name.dragon_protective_breath","Sopro Protetor"
"specials.name.dragon_rallying_breath","Sopro Mobilizador"
"specials.name.dragon_rallying_breath_trezoro","Sopro Mobilizador"
"specials.name.dragon_resuscitating_breath","Sopro Ressuscitante"
"specials.name.dragon_revitalizing_breath","Sopro Revitalizante"
"specials.name.dragon_sacred_flame","Chama Sagrada"
"specials.name.dragon_sacred_flame_harmonis","Chama Sagrada"
"specials.name.dragon_searing_blaze","Chama Ardente"
"specials.name.dragon_shielding_breath","Sopro Protetor"
"specials.name.dragon_shocking_blaze","Chama Chocante"
"specials.name.dragon_spring_breath","Sopro de Primavera"
"specials.name.dragon_spring_breath_erudius","Sopro de Primavera"
"specials.name.dragon_strengthening_flame","Chama Fortalecedora"
"specials.name.dragon_summer_blaze","Chama de Verão"
"specials.name.dragon_volcanic_blaze","Chama Vulcânica"
"specials.name.dragon_weakening_blaze","Chama Enfraquecedora"
"specials.name.dragon_weakening_blaze_ashenheart","Chama Enfraquecedora"
"specials.name.dragon_weakening_blaze_gonthrox","Chama Enfraquecedora"
"specials.name.dragon_wounding_blaze","Chama Feridora"
"specials.name.dragon_wounding_blaze_ceestraze","Chama Feridora"
"specials.name.dragon_wounding_blaze_talonshine","Chama Feridora"
"specials.name.dragon_wrecking_blaze","Chama Devastadora"
"specials.name.dragon_wrecking_blaze_rangifer","Chama Devastadora"
"specials.name.drain_strike","Golpe Drenante"
"specials.name.draining_blade","Lâmina debilitante"
"specials.name.drawn_to_the_depths","Atração das Profundezas"
"specials.name.dread_hammer","Martelo do Temor"
"specials.name.dreaded_swords","Espadas Temidas"
"specials.name.dreaded_waters","Águas Temidas"
"specials.name.dreadful_riddle","Charada Temida"
"specials.name.dreadstrike","Golpe Fatal"
"specials.name.dreams_of_nourishment","Sonho Nutritivo"
"specials.name.dress_up","Indumentária"
"specials.name.drowsy_bolt","Dardo Sonolento"
"specials.name.drum_chain","Corrente de Ipu"
"specials.name.dual_axes","Machado Duplo"
"specials.name.dual_blades","Fio Duplo"
"specials.name.dual_data_blades","Lâminas de Dados Duplas"
"specials.name.dual_laser_blades","Lâminas laser duplas"
"specials.name.dual_slash","Corte Duplo"
"specials.name.dual_sting","Ferroada Dupla"
"specials.name.dubious_cuisine","Culinária Duvidosa"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Falha Culinária Catastrófica"
"specials.name.dubious_cuisine_exquisite_food","Comida Requintada"
"specials.name.dubious_cuisine_rotten_food","Comida Podre"
"specials.name.dubious_merchandise","Mercadoria Duvidosa"
"specials.name.dubious_mixture","Mistura Duvidosa"
"specials.name.dum_and_dee","Dum e Dee"
"specials.name.dusk_dust","Poeira do Anoitecer"
"specials.name.dusk_till_dawn","Sol a Sol"
"specials.name.dust_to_dust","Do Pó ao Pó"
"specials.name.dwarven_flourish","Floreio de Anão"
"specials.name.dwarven_kings_levy","Tributo do Rei dos Anões"
"specials.name.dwarven_recharge","Recarga Anã"
"specials.name.easy_breezy_aura","Aura sossegada"
"specials.name.echoes_of_ice","Ecos do Gelo"
"specials.name.echoes_of_pain","Ecos da Dor"
"specials.name.echoes_of_the_opera","Ecos da Ópera"
"specials.name.eclipse_shield","Escudo Eclipse"
"specials.name.eclipse_spear","Lança do Eclipse"
"specials.name.educated_exorcism","Exorcismo educado"
"specials.name.egg_barrage","Barragem de Ovos"
"specials.name.elders_remedy","Cura de Ancião"
"specials.name.eldritch_blight","Flagelo Místico"
"specials.name.eldritch_sign_bolts","Setas Místicas"
"specials.name.electric_cut","Corte Elétrico"
"specials.name.electric_dragonfire","Fogo de Dragão Elétrico"
"specials.name.electric_jolt","Choque Elétrico"
"specials.name.electric_stab","Estocada Elétrica"
"specials.name.electric_sting_dragon_pve","Ferroada Elétrica"
"specials.name.electrified_claws","Garras Eletrificadas"
"specials.name.electrified_claws_ultimate_boss","Garras Eletrificadas"
"specials.name.electrifying_gust_dragon_pve","Rajada Eletrizante"
"specials.name.elegant_pulverizer","Pulverizador Elegante"
"specials.name.elemental_corruption","Corrupção Elemental"
"specials.name.elemental_infusion_arrow","Flecha de Infusão Elemental"
"specials.name.elemental_infusion_arrow_pve","Flecha de Infusão Elemental"
"specials.name.elemental_magic","Magia Elemental"
"specials.name.emboldened_strike","Ataque Encorajado"
"specials.name.emerald_dual_blade","Lâmina Dupla Esmeralda"
"specials.name.emerald_flash","Relâmpago Esmeralda"
"specials.name.emerald_tide","Maré Esmeralda"
"specials.name.emerald_wind","Vento da Esmeralda"
"specials.name.empowered_slash","Golpe Empoderado"
"specials.name.empowering_bash","Pancada poderosa"
"specials.name.empowering_bash_deadly","Pancada poderosa"
"specials.name.en_garde","En Garde"
"specials.name.enchanted_antlers","Galhadas Encantadas"
"specials.name.enchanted_axe_swing","Machadada Encantada"
"specials.name.enchanted_edge","Beira encantada"
"specials.name.enchanted_elven_sword","Espada Élfica Encantada"
"specials.name.enchanted_symphony","Sinfonia Encantada"
"specials.name.enchanting_divination","Adivinhação"
"specials.name.enchanting_melody","Melodia Encantadora"
"specials.name.endless_daggers","Adagas Infinitas"
"specials.name.endless_maze","Labirinto Infinito"
"specials.name.energy_conjunction","Conjunção Energética"
"specials.name.energy_of_mjolnir","Energia de Mjölnir"
"specials.name.energy_steal_dragon_pve","Roubo de Energia"
"specials.name.engulfing_candlelight","Luz de Velas Envolvente"
"specials.name.entangling_shot","Tiro emaranhante"
"specials.name.entrapping_enchantment","Encantamento Arrebatador"
"specials.name.erase_strength","Apagar Força"
"specials.name.erupting_slices","Fatias Explosivas"
"specials.name.esprit_de_corps","Esprit de Corps"
"specials.name.essence_of_queen_nitocris","Essência da Rainha Nitócris"
"specials.name.eternal_bond","Elo Eterno"
"specials.name.eternal_ishq","Ishq Eterno"
"specials.name.eternal_loyalty","Lealdade Eterna"
"specials.name.eternal_servitude","Servidão eterna"
"specials.name.ethereal","Fantasma"
"specials.name.evading_dash","Investida Evasora"
"specials.name.everlasting_wound","Ferida eterna"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Flecha Exorcizante"
"specials.name.explosive_goo_minions","Escrutínio de Ajudante"
"specials.name.explosive_o_lantern","Lanterna Explosiva"
"specials.name.express_delivery","Entrega Expressa"
"specials.name.exquisite_alchemy","Alquimia Alucinante"
"specials.name.exquisite_victuals","Mantimentos Primorosos"
"specials.name.exquisite_victuals_pve_advanced","Mantimentos Primorosos"
"specials.name.exquisite_victuals_pve_normal","Mantimentos Primorosos"
"specials.name.eye_of_panther","Olho da Pantera"
"specials.name.eye_of_the_storm","Olho da Tempestade"
"specials.name.eye_of_yog-sir","Olho de Yog-Sir"
"specials.name.fabled_fist","Punho Fabuloso"
"specials.name.fabled_llama_ballad","Balada famosa das lhamas"
"specials.name.fairy_godmothers_blessing","Bênção da Fada Madrinha"
"specials.name.faithful_force","Força Fiel"
"specials.name.falcon_screech","Guincho do Falcão"
"specials.name.false_treat","Falso Agrado"
"specials.name.familiar_eater","Comedor de ajudantes"
"specials.name.familiar_witchcraft","Bruxaria Familiar"
"specials.name.fangs_and_blades","Presas e Lâminas"
"specials.name.fangs_of_death","Presas da agonia"
"specials.name.fatal_dreams","Sonhos Fatais"
"specials.name.fatal_finisher","Finalização Fatal"
"specials.name.fearless_charge","Investida Destemida"
"specials.name.feather_tempest","Tempestade  de Penas"
"specials.name.feline_constellation","Constelação Felina"
"specials.name.feral_arrows","Flechas Ferozes"
"specials.name.feral_bite","Mordida Selvagem"
"specials.name.feral_gust_dragon_pve","Rajada Feroz"
"specials.name.feral_peck","Golpe Feroz"
"specials.name.feral_revenge","Vingança Selvagem"
"specials.name.feral_swing","Golpe Feroz"
"specials.name.feyfire_slash","Golpe de Fogo de Fada"
"specials.name.field_aid","Cura leve"
"specials.name.field_surgery","Cura forte"
"specials.name.fiendslayer","Matador de Demônios"
"specials.name.fierce_fu_jow_pai","Fu Jow Pai Feroz"
"specials.name.fierce_pierce","Perfuração Feroz"
"specials.name.fierce_slash","Corte feroz"
"specials.name.fiery_charge","Investida Flamejante"
"specials.name.fiery_performance","Desempenho flamejante"
"specials.name.fiery_revenge","Vingança Flamejante"
"specials.name.fire_barrier_dragon_pve","Barreira de Fogo"
"specials.name.fire_bolt_zidane","Dardo de Fogo"
"specials.name.fire_storm","Tormenta de fogo"
"specials.name.fire_tiger","Tigres de Fogo"
"specials.name.fireball","Bola de Fogo"
"specials.name.fireball_single","Bola de Fogo"
"specials.name.fireblade_slash","Golpe da lâmina ígnea"
"specials.name.fires_of_ragnarok","Chamas de Ragnarok"
"specials.name.fires_of_ragnarok_final","Chamas de Ragnarok"
"specials.name.firestone_daggers","Adagas de Pedra de fogo"
"specials.name.firewall","Guarda-Fogo"
"specials.name.firing_on_all_cylinders","Todo Vapor"
"specials.name.first_frost","Primeira Geada"
"specials.name.first_law_of_thermodynamics","Primeira Lei da Termodinâmica"
"specials.name.fishbone_blades","Espinha de Peixe"
"specials.name.fists_of_atonement","Punhos da Expiação"
"specials.name.flail_of_destruction","Mangual da Destruição"
"specials.name.flail_swing","Golpe de Mangual"
"specials.name.flails_of_fury","Malhos da fúria"
"specials.name.flame_of_the_dragon_familiar","Chama do Dragão Familiar"
"specials.name.flame_of_the_lioness","Chama da Leoa"
"specials.name.flame_storm","Tempestade de Chamas"
"specials.name.flame_surge","Surto de Chamas"
"specials.name.flames_and_rejuvenation","Chamas do Rejuvenescimento"
"specials.name.flames_and_rejuvenation_pve","Chamas do Rejuvenescimento"
"specials.name.flames_of_revenge","Chamas da Vingança"
"specials.name.flaming_fury","Fúria Flamejante"
"specials.name.flaming_grudge","Rancor Flamejante"
"specials.name.flaming_mandibles","Mandíbulas Flamejantes"
"specials.name.flaming_rapier","Espadim Flamejante"
"specials.name.flaming_rapier_pve","Espadim Flamejante"
"specials.name.flaming_sword","Espada Flamejante"
"specials.name.flanking_maneuver","Manobra de Flanqueamento"
"specials.name.flanking_maneuver_pve","Manobra de Flanqueamento"
"specials.name.flare","Sopro de fogo"
"specials.name.flat_cake_for_sweethearts","Bolo dos Apaixonados"
"specials.name.flat_cake_for_sweethearts_pve","Bolo dos Apaixonados"
"specials.name.flawless_shot","Disparo Impecável"
"specials.name.flock_of_folly_eldwren","Rebanho de Tolos"
"specials.name.floral_sting","Picada Floral"
"specials.name.flower_arrangements","Arranjos Florais"
"specials.name.flower_of_kindness","Flores Gentis"
"specials.name.fluff_in_the_air","Felpudez"
"specials.name.flurry_of_blows","Turbilhão de Ataques"
"specials.name.flurry_of_slashes","Turbilhão de Golpes"
"specials.name.flurry_of_slashes_deadly","Turbilhão de Golpes"
"specials.name.flute_of_enchantment","Flauta Encantada"
"specials.name.focused_shot","Tiro certeiro"
"specials.name.fog_machine","Máquina de Fumaça"
"specials.name.fog_of_the_fallen","Bruma dos derrotados"
"specials.name.fog_of_the_glass_sabina","Névoa dos Vitrais"
"specials.name.fog_of_the_perished","Névoa dos mortos"
"specials.name.fog_of_the_toons","Névoa das Fofuras"
"specials.name.fog_of_the_vitrails","Névoa dos Vitrais"
"specials.name.for_queen_and_hollow","Pela Rainha"
"specials.name.force_of_forest","Força da Floresta"
"specials.name.forceful_advance","Avanço Forçado"
"specials.name.forest_breath","Sopro da Floresta"
"specials.name.forest_command","Comando da Floresta"
"specials.name.forest_friends","Amigos florestais"
"specials.name.forge_rush","Fundição acelerada"
"specials.name.forged_axe_of_light","Machado Forjado de Luz"
"specials.name.forged_from_gold","Forjado em Ouro"
"specials.name.forged_in_fire","Forjado no Fogo"
"specials.name.fortunate_slice","Fatia Afortunada"
"specials.name.fracturing_cut","Corte Fraturante"
"specials.name.fracturing_shards","Fragmentos Fraturantes"
"specials.name.fracturing_slash","Golpe Fraturante"
"specials.name.freezing_cold_cutter","Cortador do Frio Congelante"
"specials.name.freezing_crystal","Cristal Congelante"
"specials.name.freezing_fairy_mist","Névoa Gelada de Fada"
"specials.name.freezing_power_hooks","Ganchos Congelantes"
"specials.name.frenzied_rend","Rasgo Frenético"
"specials.name.frenzy_plant","Planta Frenética"
"specials.name.friendly_critters_feast","Banquete dos Insetos"
"specials.name.frightening_pinch","Lança atlanteana"
"specials.name.frightstrike","Golpe do Medo"
"specials.name.frogs_and_hoop","Sapos e Aros"
"specials.name.from_shadows","Das Sombras"
"specials.name.from_shadows_pve","Das Sombras"
"specials.name.frost_and_rime","Rima e Gelo"
"specials.name.frost_bound_blade","Lâmina Congelada"
"specials.name.frostbite","Queimadura de Frio"
"specials.name.frostbolt_dragon_pve","Dardo Gelado"
"specials.name.frostbound_smash","Golpe gelado"
"specials.name.frostneedle","Agulha de Gelo"
"specials.name.frosty_axes","Machados Gélidos"
"specials.name.frosty_punches","Socos Gélidos"
"specials.name.frozen_orb","Orbe Congelado"
"specials.name.frozen_path","Caminho Fluvial"
"specials.name.frozen_wind","Vento Congelado"
"specials.name.frozen_wind_pve","Vento Congelado"
"specials.name.fruit_cocktail","Coquetel de Frutas"
"specials.name.fruits_of_labor","Dose de Alho"
"specials.name.fullmetal_pelt","Pele de Metal"
"specials.name.furious_bite","Mordida Furiosa"
"specials.name.furious_boar","Javali Furioso"
"specials.name.furious_flames","Chamas Furiosas"
"specials.name.furry_loggers_swing","Golpe do Lenhador"
"specials.name.fury_of_ash","Fúria da Cinza"
"specials.name.fury_of_grimnir","Fúria de Grimnir"
"specials.name.fury_of_the_ancient_forest","Fúria da Floresta Ancestral"
"specials.name.fury_of_the_fire_giants","Fúria dos Gigantes de Fogo"
"specials.name.fury_of_the_fire_giants_final","Fúria dos Gigantes de Fogo"
"specials.name.fury_of_the_mountain_lord","Fúria do Senhor da Montanha"
"specials.name.fury_of_the_silverback","Fúria do Gorila"
"specials.name.gallant_stance","Postura Galante"
"specials.name.gamblers_stance","Posição do Apostador"
"specials.name.gamblers_swing","Golpe de Sorte"
"specials.name.garbage_shock_wave","Onda de Choque de Lixo"
"specials.name.gardeners_remedy","Cura de Jardineiro"
"specials.name.gargantuan_bite","Mordida Gigantesca"
"specials.name.gargoyles_of_redemption","Gárgulas da Redenção"
"specials.name.gargoyles_of_redemption_pve","Gárgulas da Redenção"
"specials.name.gargoyles_of_restoration","Gárgulas da Restauração"
"specials.name.garlic_serving_edwin","Travessa de Alho"
"specials.name.generous_gifts","Presentes Generosos"
"specials.name.gentle_paw","Pata Gentil"
"specials.name.gentlemans_cane","Bengala do Cavalheiro"
"specials.name.gentlemans_transformation","Transformação Cavalheiresca"
"specials.name.giddy_jab_dragon_pve","Estocada Eufórica"
"specials.name.gift_list","Lista de Presentes"
"specials.name.gift_of_rejuvenation","Dádiva do Rejuvenescimento"
"specials.name.gift_of_rock","Presente do Rock"
"specials.name.giftsack","Saco de presentes"
"specials.name.gilded_antlers","Galhada Dourada"
"specials.name.glacial_atmosphere","Atmosfera Glacial"
"specials.name.glacial_crusher","Esmagada Glacial"
"specials.name.glacial_explosion","Explosão glacial"
"specials.name.glacial_fissure_cleave","Cutelo de Fissura Glacial"
"specials.name.glacial_resilience","Resiliência Glacial"
"specials.name.glacial_shatter","Estilhaço glacial"
"specials.name.glacial_vortex","Vórtice Glacial"
"specials.name.glaive_of_flames","Glaive das Chamas"
"specials.name.glass_anger_of_forest_horghall","Fúria dos Fragmentos"
"specials.name.glass_arrow","Flecha de Vidro"
"specials.name.glass_barrage_scarlett","Barragem de Vidro"
"specials.name.glass_beam","Feixe de Vidro"
"specials.name.glass_bite","Mordida de Vidro"
"specials.name.glass_bolt","Raio de Vidro"
"specials.name.glass_brew","Mistura de Vidro"
"specials.name.glass_burning_strike","Ataque de Vidro"
"specials.name.glass_chop","Talho de Vidro"
"specials.name.glass_cleave","Cutelo de Vidro"
"specials.name.glass_cold_blast_ulmer","Nevasca de Vidro"
"specials.name.glass_cut","Corte de Vidro"
"specials.name.glass_cut_chao","Corte de Vitral"
"specials.name.glass_entangling_shot","Flecha de Vidro"
"specials.name.glass_finisher_thorne","Finalização de Vidro"
"specials.name.glass_fireball","Bola de Fogo de Vidro"
"specials.name.glass_flame_smash","Estrondo de Chama de Vidro"
"specials.name.glass_four_blades","Corte de Lâminas de Vidro"
"specials.name.glass_fury","Fúria de Vidro"
"specials.name.glass_gamblers_stance","Postura de Vidro"
"specials.name.glass_hammer","Martelo de Vidro"
"specials.name.glass_have_faith","Fé Clara"
"specials.name.glass_heal","Cura de Vidro"
"specials.name.glass_jolt","Abalo de Vidro"
"specials.name.glass_kick","Chute de Vidro"
"specials.name.glass_leaping_attack_dawa","Ataque de Vidro"
"specials.name.glass_leeching_stars_renfeld","Estrelas de Vidro"
"specials.name.glass_link","Elo de Vidro"
"specials.name.glass_massive_chop","Talho de Vidro"
"specials.name.glass_mist","Névoa de Vidro"
"specials.name.glass_order","Ordem do Vitral"
"specials.name.glass_peck","Bicada de Vidro"
"specials.name.glass_piercing_hit_tyrum","Golpe de Vidro"
"specials.name.glass_piercing_strike","Ataque de Vidro"
"specials.name.glass_prayer","Prece de Vidro"
"specials.name.glass_pulverizer","Pulverizador de Vidro"
"specials.name.glass_pulverizer_tiburtus","Pulverizador de Vidro"
"specials.name.glass_purification","Vitrificação"
"specials.name.glass_ramming_rush","Investida de Vidro"
"specials.name.glass_ramming_rush_isshtak","Investida de Vidro"
"specials.name.glass_riposte","Riposta de Vidro"
"specials.name.glass_riposte_boril","Riposta de Vidro"
"specials.name.glass_shatter","Despedaçamento de Vidro"
"specials.name.glass_shield_kadilen","Escudo de Vidro"
"specials.name.glass_skin","Pele de Vidro"
"specials.name.glass_slam","Trombada de Vidro"
"specials.name.glass_slash","Golpe de Vidro"
"specials.name.glass_spear","Lança de Vidro"
"specials.name.glass_stab","Punhalada de Vidro"
"specials.name.glass_stone_skin_gunnar","Elo de Vidro"
"specials.name.glass_strike","Ataque de Vidro"
"specials.name.glass_strike_caedmon","Ataque de Vidro"
"specials.name.glass_strike_magni","Ataque de Vidro"
"specials.name.glass_swords","Muro de Vidro"
"specials.name.glass_thunderstrike_quintus","Ultimato de Vidro"
"specials.name.glass_traps_oberon","Armadilhas de Vidro"
"specials.name.glass_vines","Vinhas de Vidro"
"specials.name.glass_volcano","Vulcão de Vidro"
"specials.name.glass_wall","Parede de Vidro"
"specials.name.glass_warcry","Grito de Guerra de Vidro"
"specials.name.gleaming_gemstones","Joias Brilhantes"
"specials.name.gleaming_sword_and_iron_mail","Espada Reluzente e Cota de Ferro"
"specials.name.glittering_sweep_dragon_pve","Varredura Cintilante"
"specials.name.gloom_grenades","Granadas Escuras"
"specials.name.gloomy_tune","Melodia Tenebrosa"
"specials.name.glorious_grace","Graça Gloriosa"
"specials.name.glutinous_execution","Execução Glutinosa"
"specials.name.gnomish_carnage","Carnificina gnômica"
"specials.name.goat_rush","Investida de Bode"
"specials.name.goblin_explosives","Explosivos Goblins"
"specials.name.goblin_serenade","Serenata Goblin"
"specials.name.god_of_the_underworld","Ataque do éter"
"specials.name.gold_gauntlet","Manopla de Ouro"
"specials.name.gold_rush","Corrida do Ouro"
"specials.name.gold_weaver","Tecelão de ouro"
"specials.name.golden_aura","Aura Dourada"
"specials.name.golden_cicada","Cigarra Dourada"
"specials.name.golden_sacred_symbol","Símbolo Sagrado Dourado"
"specials.name.golden_thread","Cordas Douradas"
"specials.name.golem_crusher","Esmagada de Golem"
"specials.name.goodnight_lullaby","Canção de Ninar"
"specials.name.gooey_rose","Gosma Rosada"
"specials.name.gorging_bite_yellow","Mordida Voraz"
"specials.name.gorging_chew_blue","Mastigada Voraz"
"specials.name.gorging_chew_green","Mastigada Voraz"
"specials.name.gorging_chew_purple","Mastigada Voraz"
"specials.name.gorging_chew_red","Mastigada Voraz"
"specials.name.gorging_chew_yellow","Mastigada Voraz"
"specials.name.gorgyra","Fortitude da Valquíria"
"specials.name.grab_and_run","Arrebatamento"
"specials.name.graceful_shot","Tiro Gracioso"
"specials.name.graceless_ritual","Ritual Ímpio"
"specials.name.grand_heist","Grande Assalto"
"specials.name.great_frost_axe","Machado da Neve"
"specials.name.great_frost_hoe","Enxada da Neve"
"specials.name.greed_and_bribery","Ganância e Suborno"
"specials.name.greedy_munch_red","Fome Ávida"
"specials.name.green_dragon_crescent_blade","Lâmina do Dragão Verde"
"specials.name.green_dragon_inferno","Lâmina Infernal do Dragão Verde"
"specials.name.green_sparks_dragon_pve","Faíscas Verdes"
"specials.name.greeting_of_the_sun","Saudação solar"
"specials.name.grim_awakening","Despertar Sinistro"
"specials.name.grimoire_skim","Escória do Grimório"
"specials.name.grips_of_longing","Punhos da Saudade"
"specials.name.grips_of_longing_pve","Punhos da Saudade"
"specials.name.grove_splash_dragon_pve","Borrifo do Bosque"
"specials.name.gruesome_charge","Investida Tenebrosa"
"specials.name.guard_the_garden","Proteção de Jardim"
"specials.name.guardian_armor","Armadura do Guardião"
"specials.name.guardians_retaliation","Retaliação do Guardião"
"specials.name.guarding_tunes","Canções de Guarda"
"specials.name.guiding_arrow","Flecha Guia"
"specials.name.gust_of_restoration","Rajada Restauradora"
"specials.name.gust_of_swiftness","Rajada Célere"
"specials.name.hack_and_slash","Retalhador"
"specials.name.hacking_attack","Ataque retalhador"
"specials.name.hailstone_glare_dragon_pve","Clarão de Granizo"
"specials.name.hailstorm","Granizo"
"specials.name.halflings_wisdom","Sabedoria de Halfling"
"specials.name.halflings_wit","Sagacidade de Halfling"
"specials.name.hallowed_blade","Lâmina Consagrada"
"specials.name.halting_counter_strike","Contragolpe Paralisante"
"specials.name.hammer_thump","Martelada"
"specials.name.harmonic_bash","Golpe harmônico"
"specials.name.harmonic_slam","Trombada harmônica"
"specials.name.harpoon_sentry","Sentinela de Arpão"
"specials.name.harpy_claw","Garra de harpia"
"specials.name.harrow_the_heart","Coração Arado"
"specials.name.hasty_gift_wrapper","Embalagem Apressada"
"specials.name.hasty_trigger_finger","Dedo Rápido"
"specials.name.have_curiosity","Esperança renovada"
"specials.name.have_faith","Tenha fé"
"specials.name.haze_of_the_deceased","Neblina dos Derrotados"
"specials.name.head_hurl","Mergulho de Cabeça"
"specials.name.healing_chant","Canto de cura"
"specials.name.healing_fire_spirits","Espíritos do Fogo de Cura"
"specials.name.healing_gift","Cura Aleatória"
"specials.name.healing_gift_anteros","Cura Aleatória"
"specials.name.healing_gift_kabeiroi","Cura Aleatória"
"specials.name.healing_mirror","Espelho de Cura"
"specials.name.healthiest_catch","Captura Saudável"
"specials.name.hearty_stew","Ensopado Farto"
"specials.name.heatstinger","Ferroada Quente"
"specials.name.heavy_fragrance","Fragrância Pesada"
"specials.name.heedless_hammer_flurry","Turbilhão de Marteladas"
"specials.name.heirloom_dagger","Adaga de Família"
"specials.name.helping_hands","Mão Amiga"
"specials.name.hemlock_tea","Chá de Cicuta"
"specials.name.herbal_remedies","Remédios Naturais"
"specials.name.herculean_throw","Arremesso Hercúleo"
"specials.name.herd_stampede","Debandada"
"specials.name.here_catch","Vá Buscar!"
"specials.name.heretic_slayer","Matador Herege"
"specials.name.heroic_noble","Lançamento de tridente"
"specials.name.heroic_noble_deadly","Lançamento de tridente"
"specials.name.herring_blaster","Explode-peixe"
"specials.name.herring_surprise","Surpresa de Arenque"
"specials.name.hide_in_shadows","Oculto nas sombras"
"specials.name.high_altitude_ambush","Emboscada nas Alturas"
"specials.name.high_energy_field","Campo de Alta Energia"
"specials.name.high_noon_sun","Sol do Meio-Dia"
"specials.name.holding_down_the_fort","Aguentando Firme"
"specials.name.hollow_boast","Orgulho Vazio"
"specials.name.holy_aura","Aura Sagrada"
"specials.name.holy_guard","Guarda Sagrada"
"specials.name.holy_hibiscus_ale","Cerveja Sagrada"
"specials.name.holy_mark","Marca Sagrada"
"specials.name.holy_splash","Respingo Sagrado"
"specials.name.home_run","Home Run"
"specials.name.horn_attack","Ataque de galhada"
"specials.name.horrifying_wail","Lamento Horripilante"
"specials.name.horses_curse","Brisa de areia"
"specials.name.hoverboard_crash","Acidente de Hoverboard"
"specials.name.hoverboard_slam","Golpe de Hoverboard"
"specials.name.howling_sword","Espada Uivante"
"specials.name.hues_of_love","Tons do amor"
"specials.name.hungering_grave","Cova Faminta"
"specials.name.hunt_for_prey","Caça à Presa"
"specials.name.hunters_instinct","Instinto de Caçador"
"specials.name.hunters_mark","Marca do Caçador"
"specials.name.hunters_true_shot","Disparo Certeiro"
"specials.name.hunting_ballad","Balada da Caça"
"specials.name.hunting_charge","Investida de Caça"
"specials.name.hydra_bite","Mordida da Hidra"
