"specials.name.a_cozy_break","En hyggelig pause"
"specials.name.dragon_blaze_of_the_undying","De udødeliges flammer"
"specials.name.dragon_blaze_of_torment","Smertens flammehav"
"specials.name.dragon_blazing_inferno","Flammehav"
"specials.name.dragon_blazing_storm","Ildstorm"
"specials.name.dragon_blinding_blaze","Blændende flammehav"
"specials.name.dragon_blinding_blaze_duskwing","Blændende flammehav"
"specials.name.dragon_blinding_blaze_jawbreaker","Blændende flammehav"
"specials.name.dragon_blinding_blaze_wildheart","Blændende flammehav"
"specials.name.dragon_breath_of_bulwark","Bulwarks ånde"
"specials.name.dragon_breath_of_compassion","Barmhjertighedens åndedrag"
"specials.name.dragon_breath_of_nourishment","Nærende ådendrag"
"specials.name.dragon_breath_of_retribution","Hævnens åndedrag"
"specials.name.dragon_breath_of_revival","Genoplivningens åndedrag"
"specials.name.dragon_cauterizing_blaze","Ætsende flamme"
"specials.name.dragon_charring_blaze","Svidende flammehav"
"specials.name.dragon_claws","Dragekløer"
"specials.name.dragon_cleansing_flame","Rensende flammehav"
"specials.name.dragon_corrosive_blaze","Ætsende flammehav"
"specials.name.dragon_cracking_blaze","Buldrende flammehav"
"specials.name.dragon_crackling_blaze_smoldercoil","Buldrende flammehav"
"specials.name.dragon_crashing_blaze","Smadrende flammehav"
"specials.name.dragon_crippling_blaze","Lammende flammehav"
"specials.name.dragon_crippling_blaze_belzaas","Lammende flammehav"
"specials.name.dragon_crushing_blaze","Knusende flammehav"
"specials.name.dragon_dampening_blaze","Vædende flammehav"
"specials.name.dragon_dazing_blaze","Fortumlethedens flammehav"
"specials.name.dragon_delivery_service","Dragebudservice"
"specials.name.dragon_destabilizing_blaze","Destabiliserende flamme"
"specials.name.dragon_devastating_blaze","Ødelæggende flammehav"
"specials.name.dragon_disarming_blaze","Afvæbnende flammehav"
"specials.name.dragon_draining_blaze","Drænende flammer"
"specials.name.dragon_empowering_breath","Styrkende flammehav"
"specials.name.dragon_esoteric_flame","Esoterisk flamme"
"specials.name.dragon_fang","Dragetand"
"specials.name.dragon_fiery_blaze","Brændende flammehav"
"specials.name.dragon_flames_of_acceleration","Accelerationens flammer"
"specials.name.dragon_fortifying_flame","Befæstende flamme"
"specials.name.dragon_inspirational_breath","Inspirerende åndedrag"
"specials.name.dragon_mana_infused_breath","Manabestyrket åndedrag"
"specials.name.dragon_mindless_blaze","Tankeløst flammehav"
"specials.name.dragon_novices_blaze","Nybegynderens åndedrag"
"specials.name.dragon_pacifying_breath","Formildende åndedrag"
"specials.name.dragon_protective_breath","Beskyttende åndedrag"
"specials.name.dragon_rallying_breath","Styrkende åndedrag"
"specials.name.dragon_rallying_breath_trezoro","Styrkende åndedrag"
"specials.name.dragon_resuscitating_breath","Genoplivende åndedrag"
"specials.name.dragon_revitalizing_breath","Revitaliserende åndedrag"
"specials.name.dragon_sacred_flame","Fredhellig flamme"
"specials.name.dragon_sacred_flame_harmonis","Fredhellig flamme"
"specials.name.dragon_searing_blaze","Svidende flamme"
"specials.name.dragon_shielding_breath","Skærmende åndedrag"
"specials.name.dragon_shocking_blaze","Chokerende flammer"
"specials.name.dragon_spring_breath","Forårsånde"
"specials.name.dragon_spring_breath_erudius","Forårsånde"
"specials.name.dragon_strengthening_flame","Styrkende flamme"
"specials.name.dragon_summer_blaze","Sommerflammehav"
"specials.name.dragon_volcanic_blaze","Vulkansk flammehav"
"specials.name.dragon_weakening_blaze","Svækkende flammehav"
"specials.name.dragon_weakening_blaze_ashenheart","Svækkende flammehav"
"specials.name.dragon_weakening_blaze_gonthrox","Svækkende flammehav"
"specials.name.dragon_wounding_blaze","Sårende flammehav"
"specials.name.dragon_wounding_blaze_ceestraze","Sårende flammehav"
"specials.name.dragon_wounding_blaze_talonshine","Sårende flammehav"
"specials.name.dragon_wrecking_blaze","Maltrakterende flammehav"
"specials.name.dragon_wrecking_blaze_rangifer","Maltrakterende flammehav"
"specials.name.drain_strike","Drænende slag"
"specials.name.draining_blade","Svækkeren"
"specials.name.drawn_to_the_depths","Draget mod dybet"
"specials.name.dread_hammer","Skrækhammer"
"specials.name.dreaded_swords","Frygtede sværd"
"specials.name.dreaded_waters","Frygtede vande"
"specials.name.dreadful_riddle","Frygtelig gåde"
"specials.name.dreadstrike","Rædselsslag"
"specials.name.dreams_of_nourishment","Drømme om næring"
"specials.name.dress_up","Udklædning!"
"specials.name.drowsy_bolt","Døsigt lyn"
"specials.name.drum_chain","Ipu-trommekæde"
"specials.name.dual_axes","Dobbeltøkser"
"specials.name.dual_blades","Dobbeltklinger"
"specials.name.dual_data_blades","Dobbelte dataklinger"
"specials.name.dual_laser_blades","Dobbelte laserklinger"
"specials.name.dual_slash","Dobbelt hug"
"specials.name.dual_sting","Dobbeltstik"
"specials.name.dubious_cuisine","Tvivlsomme kokkerier"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Katastrofisk køkkenkiks"
"specials.name.dubious_cuisine_exquisite_food","Udsøgt mad"
"specials.name.dubious_cuisine_rotten_food","Rådden mad"
"specials.name.dubious_merchandise","Tvivlsomme varer"
"specials.name.dubious_mixture","Tvivlsom mikstur"
"specials.name.dum_and_dee","Dum og Dee"
"specials.name.dusk_dust","Skumringsstøvet"
"specials.name.dusk_till_dawn","Fra solnedgang til solopgang"
"specials.name.dust_to_dust","Støv og røg"
"specials.name.dwarven_flourish","Dværgetuche"
"specials.name.dwarven_kings_levy","Dværgekongens told"
"specials.name.dwarven_recharge","Dværgegenopladning"
"specials.name.easy_breezy_aura","Afslappet aura"
"specials.name.echoes_of_ice","Ekkoer af is"
"specials.name.echoes_of_pain","Pinslens ekko"
"specials.name.echoes_of_the_opera","Operaens ekko"
"specials.name.eclipse_shield","Eklipseformet skjold"
"specials.name.eclipse_spear","Eklipseformet spyd"
"specials.name.educated_exorcism","Uddannet eksorcisme"
"specials.name.egg_barrage","Æggeangreb"
"specials.name.elders_remedy","Ældremiddel"
"specials.name.eldritch_blight","Sælsomt fordærv"
"specials.name.eldritch_sign_bolts","Bolte med sælsomme skilte"
"specials.name.electric_cut","Elektriske spidser"
"specials.name.electric_dragonfire","Elektrisk drageild"
"specials.name.electric_jolt","Elektrisk stød"
"specials.name.electric_stab","Elektrisk stik"
"specials.name.electric_sting_dragon_pve","Elektrisk stik"
"specials.name.electrified_claws","Elektriske kløer"
"specials.name.electrified_claws_ultimate_boss","Elektriske kløer"
"specials.name.electrifying_gust_dragon_pve","Elektrisk vindstød"
"specials.name.elegant_pulverizer","Elegant pulveriserende"
"specials.name.elemental_corruption","Elementfordærvelse"
"specials.name.elemental_infusion_arrow","Elementpil"
"specials.name.elemental_infusion_arrow_pve","Elementpil"
"specials.name.elemental_magic","Grundlæggende magi"
"specials.name.emboldened_strike","Forstærket slag"
"specials.name.emerald_dual_blade","Smagradgrøn dobbeltklinge"
"specials.name.emerald_flash","Smaragdlyn"
"specials.name.emerald_tide","Smaragdgrønt tidevand"
"specials.name.emerald_wind","Smaragdvind"
"specials.name.empowered_slash","Forstærket hug"
"specials.name.empowering_bash","Styrkende slag"
"specials.name.empowering_bash_deadly","Styrkende slag"
"specials.name.en_garde","En garde"
"specials.name.enchanted_antlers","Fortryllet gevir"
"specials.name.enchanted_axe_swing","Fortryllet øksehug"
"specials.name.enchanted_edge","Fortryllet kant"
"specials.name.enchanted_elven_sword","Fortryllet elversværd"
"specials.name.enchanted_symphony","Fortryllet symfoni"
"specials.name.enchanting_divination","Fortryllende klarsyn"
"specials.name.enchanting_melody","Fortryllende melodi"
"specials.name.endless_daggers","Endeløse dolke"
"specials.name.endless_maze","Endeløs labyrint"
"specials.name.energy_conjunction","Energifremkaldelse"
"specials.name.energy_of_mjolnir","Mjølners kraft"
"specials.name.energy_steal_dragon_pve","Energityv"
"specials.name.engulfing_candlelight","Opslugende stearinlys"
"specials.name.entangling_shot","Indfiltrende skud"
"specials.name.entrapping_enchantment","Fortryllende fælde"
"specials.name.erase_strength","Slettestyrke"
"specials.name.erupting_slices","Frembrydende hug"
"specials.name.esprit_de_corps","Korpsånd"
"specials.name.essence_of_queen_nitocris","Dronning Nitocris' essens"
"specials.name.eternal_bond","Evigt bånd"
"specials.name.eternal_ishq","Evig ishq"
"specials.name.eternal_loyalty","Evig loyalitet"
"specials.name.eternal_servitude","Evigt slaveri"
"specials.name.ethereal","Spøgelse"
"specials.name.evading_dash","Undvigende sprint"
"specials.name.everlasting_wound","Evigt sår"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Eksorcistpil"
"specials.name.explosive_goo_minions","Håndlangereftersyn"
"specials.name.explosive_o_lantern","Eksplosiv lanterne"
"specials.name.express_delivery","Ekspreslevering"
"specials.name.exquisite_alchemy","Udsøgt alkymi"
"specials.name.exquisite_victuals","Udsøgte levnedsmidler"
"specials.name.exquisite_victuals_pve_advanced","Udsøgte levnedsmidler"
"specials.name.exquisite_victuals_pve_normal","Udsøgte levnedsmidler"
"specials.name.eye_of_panther","Panterens øje"
"specials.name.eye_of_the_storm","Stormens øje"
"specials.name.eye_of_yog-sir","Yog-Sirs øje"
"specials.name.fabled_fist","Notoriske næver"
"specials.name.fabled_llama_ballad","Sagnomspunden lamaballade"
"specials.name.fairy_godmothers_blessing","Fe-gudmorens velsignelse"
"specials.name.faithful_force","Troende kraft"
"specials.name.falcon_screech","Falkeskrig"
"specials.name.false_treat","Falsk trussel"
"specials.name.familiar_eater","Håndlanger-æder"
"specials.name.familiar_witchcraft","Velkendt magi"
"specials.name.fangs_and_blades","Hugtænder og klinger"
"specials.name.fangs_of_death","Pinefulde dødskroge"
"specials.name.fatal_dreams","Fatale drømme"
"specials.name.fatal_finisher","Fatal afslutter"
"specials.name.fearless_charge","Frygtløst angreb"
"specials.name.feather_tempest","Fjerstorm"
"specials.name.feline_constellation","Kattekonstellation"
"specials.name.feral_arrows","Vilde pile"
"specials.name.feral_bite","Barbarisk bid"
"specials.name.feral_gust_dragon_pve","Vildt pust"
"specials.name.feral_peck","Utæmmet hak"
"specials.name.feral_revenge","Vild hævn"
"specials.name.feral_swing","Vildt sving"
"specials.name.feyfire_slash","Ildstormens hug"
"specials.name.field_aid","Mindre helbredelse"
"specials.name.field_surgery","Større helbredelse"
"specials.name.fiendslayer","Djævledræber"
"specials.name.fierce_fu_jow_pai","Vild Fu Jow Pai"
"specials.name.fierce_pierce","Kraftig gennemboring"
"specials.name.fierce_slash","Voldsomt hug"
"specials.name.fiery_charge","Brandfarligt angreb"
"specials.name.fiery_performance","Fyrig forestilling"
"specials.name.fiery_revenge","Hævn med ild"
"specials.name.fire_barrier_dragon_pve","Ildmur"
"specials.name.fire_bolt_zidane","Ildkugle"
"specials.name.fire_storm","Ildstorm"
"specials.name.fire_tiger","Ildtigre"
"specials.name.fireball","Ildkugle"
"specials.name.fireball_single","Ildkugle"
"specials.name.fireblade_slash","Hug med ildklinge"
"specials.name.fires_of_ragnarok","Ragnaroks flammer"
"specials.name.fires_of_ragnarok_final","Ragnaroks flammer"
"specials.name.firestone_daggers","Ildstendolke"
"specials.name.firewall","Ildmur"
"specials.name.firing_on_all_cylinders","Affyring af alle cylindre"
"specials.name.first_frost","Første frost"
"specials.name.first_law_of_thermodynamics","Termodynamikkens første lov"
"specials.name.fishbone_blades","Fiskebensdolke"
"specials.name.fists_of_atonement","Bodens næver"
"specials.name.flail_of_destruction","Ødelæggende sving"
"specials.name.flail_swing","Vildt sving"
"specials.name.flails_of_fury","Rasende fægtning"
"specials.name.flame_of_the_dragon_familiar","Ilddrageånd"
"specials.name.flame_of_the_lioness","Løvindens flamme"
"specials.name.flame_storm","Flammestorm"
"specials.name.flame_surge","Flammebølge"
"specials.name.flames_and_rejuvenation","Flammer og forfriskelse"
"specials.name.flames_and_rejuvenation_pve","Flammer og forfriskelse"
"specials.name.flames_of_revenge","Hævnens flammer"
"specials.name.flaming_fury","Flammens rasen"
"specials.name.flaming_grudge","Flammende uvilje"
"specials.name.flaming_mandibles","Flammende kindbakker"
"specials.name.flaming_rapier","Flammende kåre"
"specials.name.flaming_rapier_pve","Flammende kåre"
"specials.name.flaming_sword","Flammende sværd"
"specials.name.flanking_maneuver","Flankeringsmanøvre"
"specials.name.flanking_maneuver_pve","Flankeringsmanøvre"
"specials.name.flare","Ildånde"
"specials.name.flat_cake_for_sweethearts","Kagekrummer til kærester"
"specials.name.flat_cake_for_sweethearts_pve","Kagekrummer til kærester"
"specials.name.flawless_shot","Fejlfrit skud"
"specials.name.flock_of_folly_eldwren","Dårskabens flok"
"specials.name.floral_sting","Blomsterstik"
"specials.name.flower_arrangements","Blomsterarrangementer"
"specials.name.flower_of_kindness","Venlighedens blomst"
"specials.name.fluff_in_the_air","Blødhed i luften"
"specials.name.flurry_of_blows","Byge af slag"
"specials.name.flurry_of_slashes","Hvirvelsnit"
"specials.name.flurry_of_slashes_deadly","Hvirvelsnit"
"specials.name.flute_of_enchantment","Fortryllende fløjte"
"specials.name.focused_shot","Fokuseret skud"
"specials.name.fog_machine","Røgmaskinens tåge"
"specials.name.fog_of_the_fallen","De faldnes tåge"
"specials.name.fog_of_the_glass_sabina","Vitrailernes tåge"
"specials.name.fog_of_the_perished","De dødes tåge"
"specials.name.fog_of_the_toons","Tegneserietåge"
"specials.name.fog_of_the_vitrails","Vitrailernes tåge"
"specials.name.for_queen_and_hollow","For dronning og dal"
"specials.name.force_of_forest","Skovens kraft"
"specials.name.forceful_advance","Kraftig fremmarch"
"specials.name.forest_breath","Skovånd"
"specials.name.forest_command","Skovkommando"
"specials.name.forest_friends","Skovvenner"
"specials.name.forge_rush","Smedjestormløb"
"specials.name.forged_axe_of_light","Smedet lysøkse"
"specials.name.forged_from_gold","Smedet af guld"
"specials.name.forged_in_fire","Smedet i flammer"
"specials.name.fortunate_slice","Heldigt hug"
"specials.name.fracturing_cut","Splintrende snit"
"specials.name.fracturing_shards","Brudstykker"
"specials.name.fracturing_slash","Brudhug"
"specials.name.freezing_cold_cutter","Iskold klinge"
"specials.name.freezing_crystal","Frostkrystal"
"specials.name.freezing_fairy_mist","Frysende fetåge"
"specials.name.freezing_power_hooks","Frysende kraftkroge"
"specials.name.frenzied_rend","Rasende riven"
"specials.name.frenzy_plant","Rasende plante"
"specials.name.friendly_critters_feast","Venskabeligt dyregilde"
"specials.name.frightening_pinch","Atlantisspyd"
"specials.name.frightstrike","Rædselsslag"
"specials.name.frogs_and_hoop","Frøer og ring"
"specials.name.from_shadows","Fra skyggen"
"specials.name.from_shadows_pve","Fra skyggen"
"specials.name.frost_and_rime","Frost og rim"
"specials.name.frost_bound_blade","Frostbundet klinge"
"specials.name.frostbite","Forfrysninger"
"specials.name.frostbolt_dragon_pve","Frostbolt"
"specials.name.frostbound_smash","Frosset smash"
"specials.name.frostneedle","Frostnål"
"specials.name.frosty_axes","Frosne økser"
"specials.name.frosty_punches","Frostnæver"
"specials.name.frozen_orb","Frossen kugle"
"specials.name.frozen_path","Flodstien"
"specials.name.frozen_wind","Frossen vind"
"specials.name.frozen_wind_pve","Frossen vind"
"specials.name.fruit_cocktail","Frugtcocktail"
"specials.name.fruits_of_labor","En god omgang hvidløg"
"specials.name.fullmetal_pelt","Metalskind"
"specials.name.furious_bite","Rasende bid"
"specials.name.furious_boar","Rasende vildsvin"
"specials.name.furious_flames","Rasende flammer"
"specials.name.furry_loggers_swing","Pelsklædt skovhuggers sving"
"specials.name.fury_of_ash","Askeraseri"
"specials.name.fury_of_grimnir","Grimnirs vrede"
"specials.name.fury_of_the_ancient_forest","Den gamle skovs raseri"
"specials.name.fury_of_the_fire_giants","Ildkæmpernes vrede"
"specials.name.fury_of_the_fire_giants_final","Ildkæmpernes vrede"
"specials.name.fury_of_the_mountain_lord","Bjergkongens vrede"
"specials.name.fury_of_the_silverback","Sølvryggens vrede"
"specials.name.gallant_stance","Galant holdning"
"specials.name.gamblers_stance","Gamblerens holdning"
"specials.name.gamblers_swing","Hasardsving"
"specials.name.garbage_shock_wave","Skraldechokbølge"
"specials.name.gardeners_remedy","Gartnermiddel"
"specials.name.gargantuan_bite","Gigantisk bid"
"specials.name.gargoyles_of_redemption","Frelsens gargoiler"
"specials.name.gargoyles_of_redemption_pve","Frelsens gargoiler"
"specials.name.gargoyles_of_restoration","Genopbygningens gargoiler"
"specials.name.garlic_serving_edwin","Hvidløgsfad"
"specials.name.generous_gifts","Generøse gaver"
"specials.name.gentle_paw","Blid pote"
"specials.name.gentlemans_cane","Fornem stok"
"specials.name.gentlemans_transformation","Hofmandens forvandling"
"specials.name.giddy_jab_dragon_pve","Tummelumsk slag"
"specials.name.gift_list","Gaveliste"
"specials.name.gift_of_rejuvenation","Foryngelsens gave"
"specials.name.gift_of_rock","Stenet gave"
"specials.name.giftsack","Gavesæk"
"specials.name.gilded_antlers","Gyldne gevir"
"specials.name.glacial_atmosphere","Gletsjeratmosfære"
"specials.name.glacial_crusher","Isknuser"
"specials.name.glacial_explosion","Glacial eksplosion"
"specials.name.glacial_fissure_cleave","Gletsjerrevne"
"specials.name.glacial_resilience","Gletsjermodstand"
"specials.name.glacial_shatter","Glacial splintren"
"specials.name.glacial_vortex","Isnende malstrøm"
"specials.name.glaive_of_flames","Flammeglavind"
"specials.name.glass_anger_of_forest_horghall","Vredesstumper"
"specials.name.glass_arrow","Glaspil"
"specials.name.glass_barrage_scarlett","Glasangreb"
"specials.name.glass_beam","Glasstråle"
"specials.name.glass_bite","Glasbid"
"specials.name.glass_bolt","Glaslyn"
"specials.name.glass_brew","Glasbryg"
"specials.name.glass_burning_strike","Glasangreb"
"specials.name.glass_chop","Glashug"
"specials.name.glass_cleave","Glaskløvning"
"specials.name.glass_cold_blast_ulmer","Glassnestorm"
"specials.name.glass_cut","Glasskår"
"specials.name.glass_cut_chao","Vitrail-snit"
"specials.name.glass_entangling_shot","Glaspil"
"specials.name.glass_finisher_thorne","Glasafslutter"
"specials.name.glass_fireball","Glas-ildkugle"
"specials.name.glass_flame_smash","Glasflammeødelæggelse"
"specials.name.glass_four_blades","Snit med glasklinger"
"specials.name.glass_fury","Glasraseri"
"specials.name.glass_gamblers_stance","Glaspositur"
"specials.name.glass_hammer","Glashammer"
"specials.name.glass_have_faith","Klar tro"
"specials.name.glass_heal","Glashelbredelse"
"specials.name.glass_jolt","Glasstød"
"specials.name.glass_kick","Glasspark"
"specials.name.glass_leaping_attack_dawa","Glasangreb"
"specials.name.glass_leeching_stars_renfeld","Glasstjerner"
"specials.name.glass_link","Glaskæde"
"specials.name.glass_massive_chop","Glashug"
"specials.name.glass_mist","Glaståge"
"specials.name.glass_order","Vitrailens ordre"
"specials.name.glass_peck","Glashak"
"specials.name.glass_piercing_hit_tyrum","Glasslag"
"specials.name.glass_piercing_strike","Glasangreb"
"specials.name.glass_prayer","Glasbøn"
"specials.name.glass_pulverizer","Glasknuser"
"specials.name.glass_pulverizer_tiburtus","Glasknuser"
"specials.name.glass_purification","Glasificering"
"specials.name.glass_ramming_rush","Glassprint"
"specials.name.glass_ramming_rush_isshtak","Glassprint"
"specials.name.glass_riposte","Glasripost"
"specials.name.glass_riposte_boril","Glasripost"
"specials.name.glass_shatter","Glasknuser"
"specials.name.glass_shield_kadilen","Glasskjold"
"specials.name.glass_skin","Glashud"
"specials.name.glass_slam","Glasslag"
"specials.name.glass_slash","Glashug"
"specials.name.glass_spear","Glasspyd"
"specials.name.glass_stab","Glasstik"
"specials.name.glass_stone_skin_gunnar","Glaskæde"
"specials.name.glass_strike","Glasangreb"
"specials.name.glass_strike_caedmon","Glasangreb"
"specials.name.glass_strike_magni","Glasangreb"
"specials.name.glass_swords","Mur af glas"
"specials.name.glass_thunderstrike_quintus","Glasultimatum"
"specials.name.glass_traps_oberon","Glasfælder"
"specials.name.glass_vines","Glasranke"
"specials.name.glass_volcano","Glasvulkan"
"specials.name.glass_wall","Glasvæg"
"specials.name.glass_warcry","Glas-krigsråb"
"specials.name.gleaming_gemstones","Skinnende ædelsten"
"specials.name.gleaming_sword_and_iron_mail","Glimtende sværd og jernpanser"
"specials.name.glittering_sweep_dragon_pve","Fejende stråleangreb"
"specials.name.gloom_grenades","Dystre granater"
"specials.name.gloomy_tune","Trist tone"
"specials.name.glorious_grace","Glorværdig nåde"
"specials.name.glutinous_execution","Klæbrig henrettelse"
"specials.name.gnomish_carnage","Gnomblodbad"
"specials.name.goat_rush","Gedeløb"
"specials.name.goblin_explosives","Goblineksplosioner"
"specials.name.goblin_serenade","Goblinserenade"
"specials.name.god_of_the_underworld","Skyggestød"
"specials.name.gold_gauntlet","Gylden stridshandske"
"specials.name.gold_rush","Guldfeber"
"specials.name.gold_weaver","Guldvæver"
"specials.name.golden_aura","Gylden aura"
"specials.name.golden_cicada","Gylden sangcikade"
"specials.name.golden_sacred_symbol","Forgyldt helligt symbol"
"specials.name.golden_thread","Gyldne stik"
"specials.name.golem_crusher","Golemknuser"
"specials.name.goodnight_lullaby","Godnatsang"
"specials.name.gooey_rose","Slimet rose"
"specials.name.gorging_bite_yellow","Glubsk bid"
"specials.name.gorging_chew_blue","Mæskende smask"
"specials.name.gorging_chew_green","Mæskende smask"
"specials.name.gorging_chew_purple","Mæskende smask"
"specials.name.gorging_chew_red","Mæskende smask"
"specials.name.gorging_chew_yellow","Mæskende smask"
"specials.name.gorgyra","Valkyriens mod"
"specials.name.grab_and_run","Snup og løb"
"specials.name.graceful_shot","Yndeskud"
"specials.name.graceless_ritual","Klodset ritual"
"specials.name.grand_heist","Det store kup"
"specials.name.great_frost_axe","Storslået frostøkse"
"specials.name.great_frost_hoe","Storslået frosthyppe"
"specials.name.greed_and_bribery","Grådighed og bestikkelse"
"specials.name.greedy_munch_red","Grådig gnasken"
"specials.name.green_dragon_crescent_blade","Den grønne drages måneklinge"
"specials.name.green_dragon_inferno","Den grønne drages infernoklinge"
"specials.name.green_sparks_dragon_pve","Grønne gnister"
"specials.name.greeting_of_the_sun","Solens hilsen"
"specials.name.grim_awakening","Grum vækkelse"
"specials.name.grimoire_skim","Grimoirekig"
"specials.name.grips_of_longing","Længslens greb"
"specials.name.grips_of_longing_pve","Længslens greb"
"specials.name.grove_splash_dragon_pve","Lundplask"
"specials.name.gruesome_charge","Grusomt angreb"
"specials.name.guard_the_garden","Vogt haven!"
"specials.name.guardian_armor","Vogterpanser"
"specials.name.guardians_retaliation","Vogterens gengældelse"
"specials.name.guarding_tunes","Vogtende toner"
"specials.name.guiding_arrow","Vejvisende pil"
"specials.name.gust_of_restoration","Genfødslens vindstød"
"specials.name.gust_of_swiftness","Hurtighedens vindstød"
"specials.name.hack_and_slash","Hak og hug"
"specials.name.hacking_attack","Hugangreb"
"specials.name.hailstone_glare_dragon_pve","Haglstensblænding"
"specials.name.hailstorm","Haglstorm"
"specials.name.halflings_wisdom","Hobbitvisdom"
"specials.name.halflings_wit","Hobbitvid"
"specials.name.hallowed_blade","Den hule klinge"
"specials.name.halting_counter_strike","Standsning af modangreb"
"specials.name.hammer_thump","Hammerslag"
"specials.name.harmonic_bash","Harmonisk sammenstød"
"specials.name.harmonic_slam","Harmonisk slag"
"specials.name.harpoon_sentry","Harpunvagt"
"specials.name.harpy_claw","Harpy-klo"
"specials.name.harrow_the_heart","Harv hjertet"
"specials.name.hasty_gift_wrapper","Hurtig indpakning"
"specials.name.hasty_trigger_finger","Ivrig aftrækkerfinger"
"specials.name.have_curiosity","Opnå håb"
"specials.name.have_faith","Stærk i troen"
"specials.name.haze_of_the_deceased","De faldnes tågedis"
"specials.name.head_hurl","Hovedkast"
"specials.name.healing_chant","Helbredende sang"
"specials.name.healing_fire_spirits","Helende ildånder"
"specials.name.healing_gift","Tankeløs helbredelse"
"specials.name.healing_gift_anteros","Tankeløs helbredelse"
"specials.name.healing_gift_kabeiroi","Tankeløs helbredelse"
"specials.name.healing_mirror","Helbredelsesspejl"
"specials.name.healthiest_catch","Sund fangst"
"specials.name.hearty_stew","Mors gryder"
"specials.name.heatstinger","Varmestikker"
"specials.name.heavy_fragrance","Tung dunst"
"specials.name.heedless_hammer_flurry","Hovedløse hammersving"
"specials.name.heirloom_dagger","Arvestykke-daggert"
"specials.name.helping_hands","Hjælpende hænder"
"specials.name.hemlock_tea","Skarntyde-te"
"specials.name.herbal_remedies","Urtelægemidler"
"specials.name.herculean_throw","Herkulisk kast"
"specials.name.herd_stampede","Hjordens bissen"
"specials.name.here_catch","Grib!"
"specials.name.heretic_slayer","Kætterens banemand"
"specials.name.heroic_noble","Trefork-kast"
"specials.name.heroic_noble_deadly","Trefork-kast"
"specials.name.herring_blaster","Sildekaster"
"specials.name.herring_surprise","Sildechok"
"specials.name.hide_in_shadows","Skjult i skyggen"
"specials.name.high_altitude_ambush","Bagholdsangreb fra oven"
"specials.name.high_energy_field","Højenergifelt"
"specials.name.high_noon_sun","Middagssol"
"specials.name.holding_down_the_fort","Holder skansen"
"specials.name.hollow_boast","Hult praleri"
"specials.name.holy_aura","Hellig aura"
"specials.name.holy_guard","Hellig vogter"
"specials.name.holy_hibiscus_ale","Hellig hibiscus-øl"
"specials.name.holy_mark","Helligt mærke"
"specials.name.holy_splash","Helligt stænk"
"specials.name.home_run","Homerun"
"specials.name.horn_attack","Gevirangreb"
"specials.name.horrifying_wail","Rædselsslagent skrig"
"specials.name.horses_curse","Sandbrise"
"specials.name.hoverboard_crash","Svævebrætstyrt"
"specials.name.hoverboard_slam","Hoverboardangreb"
"specials.name.howling_sword","Hylende sværd"
"specials.name.hues_of_love","Kærlighedsnuancer"
"specials.name.hungering_grave","Hungrende grav"
"specials.name.hunt_for_prey","Jagt efter bytte"
"specials.name.hunters_instinct","Jægerens instinkt"
"specials.name.hunters_mark","Jægerens mærke"
"specials.name.hunters_true_shot","Jægerens skud"
"specials.name.hunting_ballad","Jagtballade"
"specials.name.hunting_charge","Jagtangreb"
"specials.name.hydra_bite","Hydrabid"
"specials.name.hymn_of_enrichment","Berigelsens hymne"
"specials.name.hyper_porridge","Supergrød"
"specials.name.hyperborean_hook","Hyperboræisk krog"
"specials.name.hypersonic_tackle","Hypersonisk takling"
"specials.name.hypnosis_dragon_pve","Hypnose"
"specials.name.ice_and_slice","Glatte snit"
"specials.name.ice_boom","Isbrag"
"specials.name.ice_cold_order","Iskold ordre"
"specials.name.ice_cream_smash","Isknuser"
"specials.name.ice_treatment","Isbehandling"
"specials.name.iceberg_aura","Isbjergsaura"
"specials.name.iceberg_crush","Knusning af isbjerg"
"specials.name.iceberg_havoc","Isbjerg-ødelæggelse"
"specials.name.icebound_howl","Isnende hylen"
"specials.name.icebound_ritual","Frostritual"
"specials.name.icecold_finisher","Iskold afslutter"
"specials.name.icehammer_smash","Slag med ishammer"
"specials.name.iceshatter","Isknuser"
"specials.name.icy_axes","Isøkser"
"specials.name.icy_mandibles","Iskæbe"
"specials.name.icy_resilience","Isnende ukuelighed"
"specials.name.ill_bring_you_back","Jeg får dig tilbage"
"specials.name.ill_fated_experiment","Skæbnesvangert eksperiment"
"specials.name.imaginary_increments","Forestillede stigninger"
"specials.name.immortal_annihilator","Udødelig udsletter"
"specials.name.immortal_annihilator_deadly","Udødelig udsletter"
"specials.name.immortal_punisher","Udødelig straffer"
"specials.name.impairing_strike","Svækkende angreb"
"specials.name.impale_and_devour","Spid og fortær"
"specials.name.impeccable_charge","Upåklageligt angreb"
"specials.name.impeding_bolts","Hæmningslyn"
"specials.name.impervious_formation","Uigennemtrængelig formation"
"specials.name.impossible_groove","Umulig gænge"
"specials.name.impossible_riddle","Umulig gåde"
"specials.name.incite_ki","Anspor ki"
"specials.name.incite_ki2","Anspor ki"
"specials.name.indestructible_claw","Unedbrydelig klo"
"specials.name.indifferent_blade","Passiv klinge"
"specials.name.inevitable_demise","Uundgåelig undergang"
"specials.name.infernal_chops","Infernalske hug"
"specials.name.infernal_drumstorm","Infernalsk trommestorm"
