"herocard.passive_skill.description.addmana.all.allies","Wszyscy sojusznicy zyskują małą ilość many."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Redukuje ilość many zwiększanej przez specjalne umiejętności o {MODIFIER}%. Efekt dotyczy wszystkich wrogów w bitwie."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Redukuje ilość many zwiększanej przez specjalne umiejętności, premie rodzinne umiejętności pasywnych i efekty ze statusu o {MODIFIER}%. Efekt dotyczy wszystkich wrogów w bitwie."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Redukuje ilość many zwiększanej przez specjalne umiejętności, premie rodzinne umiejętności pasywnych i efekty ze statusu o {MODIFIER}%. Efekt dotyczy wszystkich wrogów w bitwie."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Ta postać zyskuje niewielką ilość many, gdy jej pomocnik ginie."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Ta postać ma wrodzoną umiejętność, dzięki której Zapamiętuje każdego pomocnika lub potwora przywołanego przez specjalnie umiejętności przeciwników. Do momentu rzucenia umiejętności specjalnej, zapamiętane zostaną ostatni pomocnik i potwór przywołane przez przeciwników."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Ta postać ma wrodzoną umiejętność, dzięki której Zapamiętuje każdego pomocnika lub potwora przywołanego przez specjalnie umiejętności przeciwników. Do momentu rzucenia umiejętności specjalnej, zapamiętanych zostanie ostatnich {0} pomocników i potworów przywołanych przez przeciwników."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","Ta postać ma wrodzoną umiejętność, dzięki której Zapamiętuje każdego pomocnika lub potwora przywołanego przez specjalnie umiejętności przeciwników. Do momentu rzucenia umiejętności specjalnej, zapamiętanych zostanie ostatnich {0} pomocników i potworów przywołanych przez przeciwników."
"herocard.passive_skill.description.memorizestatuseffects","Ta postać ma wrodzoną umiejętność, dzięki której Zapamiętuje dolegliwości ze statusu. Zapamięta dolegliwość ze statusu, która została na nią ostatnio nałożona, do momentu rzucenia umiejętności specjalnej. Zapamiętane mogą zostać jedynie dolegliwości ze statusu z czasem działania."
"herocard.passive_skill.description.memorizestatuseffects#2","Ta postać ma wrodzoną umiejętność, dzięki której Zapamiętuje dolegliwości ze statusu. Zapamięta {0} dolegliwości ze statusu, które zostały na nią ostatnio nałożone, do momentu rzucenia umiejętności specjalnej. Zapamiętane mogą zostać jedynie dolegliwości ze statusu z czasem działania."
"herocard.passive_skill.description.memorizestatuseffects#3","Ta postać ma wrodzoną umiejętność, dzięki której Zapamiętuje dolegliwości ze statusu. Zapamięta {0} dolegliwości ze statusu, które zostały na nią ostatnio nałożone, do momentu rzucenia umiejętności specjalnej. Zapamiętane mogą zostać jedynie dolegliwości ze statusu z czasem działania."
"herocard.passive_skill.description.mimiclootonlevelcompleted","Każdy unikalny Mimik z twojej drużyny może zapewnić dodatkowe łupy po ukończeniu etapów. Ten mimik daje szansę na następujące dodatkowe łupy:"
"herocard.passive_skill.description.nevermissspecial","Umiejętność specjalna tej postaci nigdy nie chybia obranego celu."
"herocard.passive_skill.description.ransack","Na początku każdej tury ta postać grabi losowego wroga:

Kradnie {DAMAGE} zdrowia.
Bezpiecznie kradnie wrogowi wzmocnienie, efekt wzrostu lub pozytywną kumulację wzmocnienia. Obejmuje to nieodwoływalne wzmocnienia i efekty tańca."
"herocard.passive_skill.description.ransack.chance","Na początku każdej tury ta postać ma {CHANCE}% szans na ograbienie losowego wroga:

Ograbienie:
Kradnie {DAMAGE} zdrowia.
Bezpiecznie kradnie wrogowi jeden losowy efekt wzrostu, pozytywną kumulację lub wzmocnienie ze statusu. Obejmuje to nieodwoływalne wzmocnienia i efekty tańca.
Bezpieczna kradzież pomija efekty drugorzędne, takie jak obrażenia nakładane przez usuwane wzmocnienia. Efekty zewnętrzne, takie jak umiejętności pasywne i efekty rodziny wciąż mogą zostać aktywowane."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Po rzuceniu przez tę postać umiejętności specjalnej, zyskuje ona {CHANCE}% szansy, by wykraść losowemu wrogowi ze wzmocnieniami ostatnie wzmocnienie możliwe do rozproszenia. Jeśli żaden przeciwnik nie ma wzmocnień, zadaje {DAMAGE}% obrażeń wszystkim wrogom."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Po rzuceniu swojej umiejętności specjalnej ta postać zyskuje {CHANCE}% szans, by wykraść losowemu wrogowi ze wzmocnieniami ostatnie odwoływalne wzmocnienie. Jeśli żaden przeciwnik nie ma wzmocnień, zadaje {DAMAGE}% obrażeń wszystkim wrogom."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Po rzuceniu umiejętności specjalnej ta postać przenosi swoje najnowsze oczyszczalne dolegliwości ze statusu na cel. Jeśli umiejętności specjalnej nie można wycelować we wroga, dolegliwości ze statusu są nakładane na losowego przeciwnika. Jeśli ta postać nie ma na sobie żadnych oczyszczalnych dolegliwości ze statusu, regeneruje {HEALTH}% zdrowia."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE}% szans na zastąpienie negatywnych efektów odpowiadającymi im pozytywnymi efektami."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Ta postać otrzymuje mniej obrażeń od oddziałów silniejszego żywiołu.

Otrzymywane obrażenia: -{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER}% mniej obrażeń otrzymywanych od oddziałów silniejszego żywiołu."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER}% więcej obrażeń od żywiołu otrzymywanych od kul ognia silniejszego żywiołu."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Za pierwszym razem, gdy ta postać ma otrzymać śmiertelne obrażenia, przekierowuje je na losowego wroga.

W bitwach z wieloma falami efekt ten jest odświeżany na początku każdej fali."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Za pierwszym razem, gdy ta postać ma otrzymać śmiertelne obrażenia, przekierowuje je na losowego wroga. (Pozostała liczba aktywacji: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE}% dodatkowych szans na odbicie dolegliwości ze statusu do atakującego."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Co każde {TURNS} tur usuwa wszystkie efekty Suszy z każdego sojusznika."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Co {TURNS} tur(y) usuwa wszystkie efekty wzrostu z każdego przeciwnika."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Rdzeń konstruktu tej postaci to rdzeń naprawczy.

 Rdzeń naprawczy aktywuje się za każdym razem, gdy postać rzuca umiejętność specjalną:

 W pełni naładowany rdzeń naprawczy wzmacnia zdrowie wszystkich sojuszników o {CHARGEDPOWER1}%. 
 Leczenie skaluje się z naładowaniem rdzenia. Aktywacja rdzenia zużywa cały ładunek."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE}% szans na rzucenie umiejętności specjalnej tego bohatera {REPEATS} razy."
"herocard.passive_skill.description.resist.accuracymodifiers","Ta postać ma odporność na dolegliwości ze statusu, które wpływają na celność. Nie dotyczy to pierwotnych sojuszniczych efektów ze statusu."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Ta postać ma odporność na dolegliwości ze statusu i kumulacje negatywne."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE}% dodatkowych szans na odporność na wszystkie dolegliwości ze statusu i odwołania wzmocnień."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE}% dodatkowych szans na odporność na wszystkie dolegliwości ze statusu, wyssania many, odwołania wzmocnień i efekty suszy."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE}% dodatkowych szans na odporność na wszystkie dolegliwości ze statusu, zmniejszenia many, odwołania wzmocnień i obłęd."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE}% dodatkowych szans na odporność na wszystkie dolegliwości ze statusu, wyssania many i odwołania wzmocnień."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE}% dodatkowych szans na odporność na wszystkie dolegliwości ze statusu."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Ten wróg ma odporność na dolegliwości ze statusu, które wpływają na obronę. Dotyczy to również dolegliwości ze statusu wpływających na obronę przed żywiołami."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Ta postać ma odporność na dolegliwości ze statusu, kumulacje i efekty suszy, które wpływają na obronę."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Na tę postać nie wpływają efekty zmniejszające bądź zwiększające obronę.

Obejmuje to wzmocnienia i dolegliwości ze statusu, pozytywne i negatywne kumulacje oraz efekty wzrostu i suszy."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Na tę postać nie wpływają efekty zmniejszające bądź zwiększające obronę.

Obejmuje to 
 wzmocnienia i dolegliwości ze statusu
, pozytywne i negatywne kumulacje
 oraz efekty wzrostu i suszy."
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Na tę postać nie wpływają efekty zmniejszające bądź zwiększające obronę.

Obejmuje to wzmocnienia i dolegliwości ze statusu, pozytywne i negatywne kumulacje oraz efekty wzrostu i suszy."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Ta postać ma odporność na dolegliwości ze statusu oraz kumulacje negatywne, które wpływają na generowanie many. Dotyczy to dolegliwości, które blokują lub wysysają manę."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Ta postać ma odporność na zmniejszenia many, dolegliwości ze statusu oraz kumulacje negatywne, które wpływają na generowanie many. Dotyczy to efektów i dolegliwości ze statusu, które blokują lub wysysają manę."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Ta postać ma odporność na obrażenia z efektów statusu i kumulacji."
"herocard.passive_skill.description.resist.attackdelay","Nie można opóźnić zwykłego ataku tej postaci."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Nie można opóźnić zwykłego ataku tej postaci."
"herocard.passive_skill.description.resist.attackmodifiers","Ta postać ma odporność na dolegliwości ze statusu, które wpływają na atak."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Ta postać ma odporność na wszystkie efekty ze statusu i kumulacje, które wpływają na atak, wliczając w to wzmocnienia z efektów statusu."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Ta postać ma odporność na dolegliwości ze statusu, kumulacje i efekty suszy, które wpływają na atak."
"herocard.passive_skill.description.resist.bleed","Ta postać ma odporność na dolegliwości ze statusu, które zadają obrażenia od krwawienia."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Ten bohater ma odporność na dolegliwości ze statusu, które zadają obrażenia od krwawienia i zyskuje {HEALTHBOOST} pkt. wzmocnienia zdrowia i {MANA}% many za każde odparcie."
"herocard.passive_skill.description.resist.buffdispels","Ta postać ma odporność na efekty, które odwołują wzmocnienia efektów ze statusu."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","+{CHANCE}% dodatkowych szans na odporność na dolegliwości ze statusu."
"herocard.passive_skill.description.resist.buffimmunity","Ta postać ma odporność na efekty, które uniemożliwiają otrzymywanie nowych wzmocnień efektów ze statusu."
"herocard.passive_skill.description.resist.burn","Ta postać ma odporność na dolegliwości ze statusu, które zadają obrażenia od poparzenia."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Ten bohater ma odporność na dolegliwości ze statusu, które zadają obrażenia od poparzenia i zyskuje {HEALTHBOOST} pkt. wzmocnienia zdrowia i {MANA}% many za każde odparcie."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Ta postać ma odporność na dolegliwości ze statusu."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE}% dodatkowych szans na odporność na wszystkie dolegliwości ze statusu."
"herocard.passive_skill.description.resist.criticalhits.none","Ta postać jest odporna na dodatkowe obrażenia i efekty od trafień krytycznych."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Ten wróg ma odporność na dolegliwości ze statusu, które wpływają na obronę. Nie dotyczy dolegliwości ze statusu wpływających na obronę przed żywiołami."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Ten wróg ma odporność na dolegliwości ze statusu i kumulacje negatywne, które wpływają na obronę. Nie dotyczy dolegliwości ze statusu wpływających na obronę przed żywiołami."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," Odporność na usunięcie pomocników.
 Nie można zapobiec pojawianiu się pomocników.
 Nie można wyłączyć ataków i umiejętności pomocników."
"herocard.passive_skill.description.resist.frost","Ta postać ma odporność na dolegliwości ze statusu, które zadają obrażenia od mrozu."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Ten bohater ma odporność na dolegliwości ze statusu, które zadają obrażenia od mrozu i zyskuje {HEALTHBOOST} pkt. wzmocnienia zdrowia i {MANA}% many za każde odparcie."
"herocard.passive_skill.description.resist.healeffects","Ta postać ma odporność na dolegliwości ze statusu, które wpływają na leczenie."
"herocard.passive_skill.description.resist.healthsteal","Ta postać ma odporność na dolegliwości ze statusu, które wysysają zdrowie."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Ta postać ma odporność na obłęd."
"herocard.passive_skill.description.resist.manadebuffs","Ta postać ma odporność na dolegliwości ze statusu, które wpływają na manę."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Ta postać ma odporność na dolegliwości ze statusu, które wpływają na generowanie many lub uniemożliwiają korzystanie z umiejętności specjalnych."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Ta postać ma {CHANCE}% szans na odparcie efektów ze statusu wpływających na manę lub uniemożliwiających korzystanie z umiejętności specjalnych."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Ta postać ma odporność na dolegliwości ze statusu i kumulacje negatywne, które wpływają na generowanie many. Nie dotyczy to dolegliwości ze statusu, które powstrzymują generowanie many lub ją wysysają."
"herocard.passive_skill.description.resist.manareduction","Ta postać ma odporność na zmniejszenia many."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE}% dodatkowych szans na odporność na wyssanie many."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Ten bohater ma odporność na zmniejszenia many i zyskuje {HEALTHBOOST} pkt. wzmocnionego zdrowia oraz {MANA}% many za każde odparcie."
"herocard.passive_skill.description.resist.maxhealthreduction","Ta postać ma odporność na zmniejszenia maksymalnego poziomu zdrowia."
"herocard.passive_skill.description.resist.poison","Ta postać ma odporność na dolegliwości ze statusu, które zadają obrażenia od zatrucia."
"herocard.passive_skill.description.resist.poison.burn.bleed","Ta postać ma odporność na dolegliwości ze statusu, które zadają obrażenia od zatrucia, poparzenia lub krwawienia."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Ta postać ma odporność na efekty ze statusu, które mogą opętać postać."
"herocard.passive_skill.description.resist.sand","Ta postać ma odporność na dolegliwości ze statusu, które zadają obrażenia od piasku."
"herocard.passive_skill.description.resist.specialblocking","Ta postać ma odporność na dolegliwości ze statusu, które uniemożliwiają korzystanie z umiejętności specjalnych."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Ta postać ma {CHANCE}% szans na odparcie efektów ze statusu uniemożliwiających korzystanie z umiejętności specjalnych."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Ten bohater ma odporność na dolegliwości ze statusu, które uniemożliwiają korzystanie z umiejętności specjalnych i zyskuje {HEALTHBOOST} pkt. wzmocnionego zdrowia oraz {MANA}% many za każde odparcie."
"herocard.passive_skill.description.resist.stopmanageneration","Ta postać ma odporność na dolegliwości ze statusu, które powstrzymują generowanie many."
"herocard.passive_skill.description.resist.water","Ta postać ma odporność na dolegliwości ze statusu, które zadają obrażenia od wody."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Ta postać ma odporność na dolegliwości ze statusu wywoływane przez pomocników."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Ta postać ma odporność na efekty usuwające pomocników."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Ta postać ma odporność na negatywne efekty i obrażenia ze strony pomocników."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Ta postać ma odporność na negatywne efekty i obrażenia ze strony pomocników i mega pomocników."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Ta postać nie może otrzymywać potworów."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Ta postać nie może otrzymywać potworów lub mega potworów"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE}% dodatkowych szans na odporność na wszystkie dolegliwości ze statusu."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Szansa na odrodzenie zostaje zmniejszona dla wszystkich wrogów w bitwie. Wynosi ona {MODIFIER}% pierwotnej wartości."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Wszyscy wrogowie mają {HEALTHMODIFIER}% zdrowia przy wskrzeszeniu. Bossowie nie odczuwają tego efektu."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","W przypadku porażki ta postać ma szanse na odrodzenie jako nadprzyrodzony nosiciel. Szanse wynoszą {CHANCEINCREASEPERSTEP}% za każde {INSANITYPERSTEP} pkt. obłędu tej postaci, maksymalnie do {MAXCHANCEINCREASE}%.

 Nadprzyrodzony nosiciel ma:
{INHERITEDHEALTH}% odziedziczonego zdrowia. 
{ATTACK} pkt. ataku.
{DEFENSE} pkt. obrony.
Następująca umiejętność specjalna:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Jeśli ta postać pokona sama siebie, gdy aktywuje się obłęd, szanse wynoszą {CHANCEONSELFCAUSEDDEATH}%."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","W przypadku porażki ta postać ma szanse na odrodzenie jako nadprzyrodzony nosiciel. Szanse wynoszą {CHANCEINCREASEPERSTEP}%. za każde {INSANITYPERSTEP}. pkt. obłędu tej postaci, maksymalnie do {MAXCHANCEINCREASE}%.

 Nadprzyrodzony nosiciel ma:
{INHERITEDHEALTH}% odziedziczonego zdrowia. 
{ATTACK} pkt. ataku.
{DEFENSE} pkt. obrony.
Następująca umiejętność specjalna:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Po pokonaniu ta postać ma {TOTALCHANCE}% szans na wskrzeszenie na początku swojej następnej tury z {HEALTH}% zdrowia i {MANA}% many. 

Aktywuje się maksymalnie {MAXACTIVATIONCOUNT} razy. Szanse na wskrzeszenie maleją z każdą aktywacją. Nie można zapobiec przy użyciu dolegliwości ze statusu lub umiejętności pasywnych."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","Po pokonaniu ta postać ma {TOTALCHANCE}% szans na wskrzeszenie na początku swojej następnej tury z {HEALTH}% zdrowia i {MANA}% many. 

Aktywuje się maksymalnie {MAXACTIVATIONCOUNT} razy. Szanse na wskrzeszenie maleją z każdą aktywacją. Nie można zapobiec przy użyciu dolegliwości ze statusu lub umiejętności pasywnych."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Wszystkie Ballady rzucane przez wrogów trwają przez {TURNS} tur."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Wszystkie Tańce rzucane przez wrogów trwają przez {TURNS} tur."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION}% obrażeń otrzymanych przez tą postać zostaje rozłożone pomiędzy wszystkich pozostałych sojuszników."
"herocard.passive_skill.description.specialdamagereduction","Przy pierwszych {MAXACTIVATIONCOUNT} razach otrzymane przez tę postać obrażenia od umiejętności specjalnych zmniejszają się o {DAMAGEREDUCTION}%."
"herocard.passive_skill.description.specialdamagereduction.chance","Ta postać ma {CHANCE}% szans, by zmniejszyć bezpośrednie obrażenia otrzymane specjalnymi umiejętnościami do 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Obrażenia otrzymywane od umiejętności specjalnych zostają zmniejszone dla tej postaci o {DAMAGEREDUCTION}%."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Na początku bitwy ta postać otrzymuje {MANA}% many."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER}% ataku."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER}% obrony."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER}% zdrowia."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER}% zdrowia, {ATTACKMULTIPLIER}% ataku."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER}% zdrowia, {DEFENSEMULTIPLIER}% obrony."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER}% zdrowia, {DEFENSEMULTIPLIER}% obrony, {ATTACKMULTIPLIER}% ataku."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Efekty ze statusu zwiększające atak są o {MODIFIER}% bardziej skuteczne dla tej postaci."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Zmniejsza efekt dolegliwości ze statusu wpływających na atak o {MODIFIER}%. Efekt dotyczy tej postaci i wszystkich jej sojuszników w bitwie."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Efekty ze statusu zmniejszające atak są o {MODIFIER}% mniej skuteczne przeciw tej postaci."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Efekty ze statusu zwiększające atak są o {MODIFIER}% bardziej skuteczne dla tej postaci."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Efekty ze statusu zmniejszające atak są o {MODIFIER}% mniej skuteczne przeciw tej postaci."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Efekty ze statusu zwiększające obronę są o {MODIFIER}% bardziej skuteczne dla tej postaci."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Zmniejsza efekt dolegliwości obronnych o {MODIFIER}%. Efekt dotyczy tej postaci i wszystkich jej sojuszników w bitwie."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Efekty ze statusu zmniejszające obronę są o {MODIFIER}% mniej skuteczne przeciw temu przeciwnikowi."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Efekty ze statusu zwiększające obronę są o {MODIFIER}% bardziej skuteczne dla tej postaci."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Efekty ze statusu zmniejszające obronę są o {MODIFIER}% mniej skuteczne przeciw temu przeciwnikowi."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Czas trwania pierwszych {MAXACTIVATIONCOUNT} dolegliwości ze statusu otrzymanych przez tę postać od umiejętności specjalnych skraca się o {DURATIONMODIFIER} turę."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Czas trwania dolegliwości ze statusu wpływających na obronę otrzymanych przez tę postać od umiejętności specjalnych skraca się o następującą liczbę tur: {DURATIONMODIFIER}."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Czas trwania pierwszych {MAXACTIVATIONCOUNT} wzmocnień otrzymanych przez tę postać od umiejętności specjalnych wydłuża się o {DURATIONMODIFIER} turę."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Gdy ten bohater zostanie oczyszczony z dolegliwości ze statusu, nowa kopia oczyszczonej dolegliwości zostanie nałożona na losowego wroga."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Za każdym razem, gdy gargulec użyje umiejętności specjalnej, wszyscy sojusznicy otrzymują delikatną skórę. Przez kolejne {MAXACTIVATIONS} razy, gdy otrzymują obrażenia, zostają one zmniejszone o {DAMAGEREDUCTION}%. Mają również odporność na wszystkie dolegliwości ze statusu, zmniejszenia many i obłęd. Tego efektu nie można odwołać."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Za każdym razem, gdy gargulec użyje umiejętności specjalnej, aktywuje się jego delikatna skóra. Przez kolejne {MAXACTIVATIONS} razy, gdy otrzymuje obrażenia, zostają one zmniejszone o {DAMAGEREDUCTION}%. Mają również odporność na wszystkie dolegliwości ze statusu, zmniejszenia many i obłęd. Tego efektu nie można odwołać."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Za każdym razem, gdy gargulec użyje umiejętności specjalnej, jego kamienna skóra twardnieje. Przez {MAXHITS} kolejnych(-ne) razy otrzymane przez niego obrażenia obniżone są do 1. Efekt nie może być odwołany czarami."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Gdy ta postać rzuci umiejętność specjalną, oznacza losowego wroga flarą myśliwską na {TURNS} tury(y).
 Cel oznaczony flarą myśliwską odnosi dodatkowo {FIXEDPOWER} pkt. obrażeń, gdy zostanie trafiony krytycznie."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Podczas rzucania umiejętności specjalnej ta postać otrzymuje {ATTACK}% do ataku przez okres {TURNS} tur. Ten efekt może być aktywny wraz z innymi efektami, które wpływają na siłę ataku."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Raz w każdej bitwie żywioł tego bohatera można zmienić na dowolny wybrany przez gracza. Efekt trwa następującą liczbę tur: {TURNS}. Żywioł można zmienić, stukając w bohatera, gdy nie ma pełnej many."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Co turę wzywa na losowego wroga potwora sadzonkę.
 Potwór sadzonka ewoluuje w kiełkującego potwora po upływie {EVOLVINGFAMILIAR1EVOLVETURNS} tur.
 Kiełkujący potwór ewoluuje w kwitnącego mega potwora po upływie {EVOLVINGFAMILIAR2EVOLVETURNS} tur.

Potwór sadzonka: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% zdrowia.

Kiełkujący potwór: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% zdrowia.

Kwitnący mega potwór: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% zdrowia."
