"heroes.name_fancy.astral_cosmicspeaker","Astronoma degli elfi astrali"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Signora delle chiavi di guerra"
"heroes.name_fancy.fire_god_doom","Druido macchiato di sangue"
"heroes.name_fancy.fire_god_doom_costume_avenger","Vendicatrice infuocata"
"heroes.name_fancy.fire_god_eliane","Maga rossa anziana"
"heroes.name_fancy.fire_god_jean_francois","Moschettiere mago"
"heroes.name_fancy.fire_god_maple","Fata dei boschi ramati"
"heroes.name_fancy.fire_god_nadnog","La guaritrice incendiaria"
"heroes.name_fancy.fire_god_natalya","Incantatrice ignea"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Tessitrice ignea"
"heroes.name_fancy.fire_god_neema","Strega del fuoco"
"heroes.name_fancy.fire_god_noor","Sussurratrice del passero"
"heroes.name_fancy.fire_god_reuben","Occultista giurato"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Squadra inseparabile"
"heroes.name_fancy.fire_god_russell","Piromante furioso"
"heroes.name_fancy.fire_god_skargremar","Pioniere della retroguardia"
"heroes.name_fancy.fire_god_tahir","Cacciatore nomade"
"heroes.name_fancy.fire_god_yang_mai","Pugno solare"
"heroes.name_fancy.fire_god_zagrog","Furfante solitario"
"heroes.name_fancy.fire_god_zarga","Lama veloce"
"heroes.name_fancy.fire_god_zidane","Corsaro affascinante"
"heroes.name_fancy.fire_god_zimkitha","Figlia perduta"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Avventuriera perduta"
"heroes.name_fancy.fleur_elyzabel","Contessa sanguigna"
"heroes.name_fancy.fleur_eumachius","Rampollo sanguigno"
"heroes.name_fancy.fleur_guillemette","Crociato sanguigno"
"heroes.name_fancy.fleur_lavinia","Sognatore sanguigno"
"heroes.name_fancy.fleur_ludovico","Servitore sanguigno"
"heroes.name_fancy.fleur_talesie","Assassino sanguigno"
"heroes.name_fancy.forest_archer","Arciere della foresta"
"heroes.name_fancy.forest_archer_costume_cute","Arciere cartone"
"heroes.name_fancy.forest_archer_costume_glass","Arciere di vetro"
"heroes.name_fancy.forest_archer_costume_warrior","Arciere accorto"
"heroes.name_fancy.forest_female_druid","Druida di Rathwood"
"heroes.name_fancy.forest_female_druid_costume_cute","Cartone di Rathwood"
"heroes.name_fancy.forest_female_druid_costume_glass","Vitrail di Rathwood"
"heroes.name_fancy.forest_female_druid_costume_native","Sciamano di Concordia"
"heroes.name_fancy.forest_female_elf","Maestra di scudi del chiaro di luna"
"heroes.name_fancy.forest_female_elf_costume_cute","Maestra di scudi cartone"
"heroes.name_fancy.forest_female_elf_costume_fairy","Fata lunare"
"heroes.name_fancy.forest_female_elf_costume_glass","Maestra di scudo di vetro"
"heroes.name_fancy.forest_female_elf_costume_mage","Sacerdotessa del chiaro di luna"
"heroes.name_fancy.forest_female_illusionist","Sussurratrice alle piante"
"heroes.name_fancy.forest_female_spirit","Spirito delle radure"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Spirito dei boschetti"
"heroes.name_fancy.forest_female_spirit_costume_cute","Spirito cartone"
"heroes.name_fancy.forest_female_spirit_costume_glass","Spirito di vetro"
"heroes.name_fancy.forest_female_warrior","Ragazza del villaggio"
"heroes.name_fancy.forest_friar","Fratello gioviale"
"heroes.name_fancy.forest_friar_costume_cute","Cartone gioviale"
"heroes.name_fancy.forest_friar_costume_explorer","Esploratore gioviale"
"heroes.name_fancy.forest_friar_costume_glass","Vitrail gioviale"
"heroes.name_fancy.forest_god_elinor","Cacciatrice di tesori"
"heroes.name_fancy.forest_god_elradir","Mago selvaggio del Bosco lunare"
"heroes.name_fancy.forest_god_evelyn","Erede coraggiosa"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Cacciatrice coraggiosa"
"heroes.name_fancy.forest_god_grace","Satira del boschetto"
"heroes.name_fancy.forest_god_gregorion","L'arciere esperto"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","L'eremita alchimista"
"heroes.name_fancy.forest_god_kingston","Il nobile assassino"
"heroes.name_fancy.forest_god_oberon","Seelie campione"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Cavaliere di Quercia Perenne"
"heroes.name_fancy.forest_god_telluria","Dea della foresta"
"heroes.name_fancy.forest_god_zeline","Celestiale della natura"
"heroes.name_fancy.forest_god_zeline_costume_avian","Celestiale aviaria"
"heroes.name_fancy.forest_god_zocc","Signore delle chiavi"
"heroes.name_fancy.forest_mage","Saggio della Foresta"
"heroes.name_fancy.forest_mage_costume_cute","Stregone cartone"
"heroes.name_fancy.forest_mage_costume_glass","Vitrail della Foresta"
"heroes.name_fancy.forest_mage_costume_party","Mago della festa"
"heroes.name_fancy.forest_mage_costume_white","Possente stregone"
"heroes.name_fancy.forest_male_elf","Mastro di lance del chiaro di luna"
"heroes.name_fancy.forest_male_elf_costume_cute","Mastro di lance cartone"
"heroes.name_fancy.forest_male_elf_costume_dark","Conquistatore illuminato"
"heroes.name_fancy.forest_male_elf_costume_glass","Maestro di lance di vetro"
"heroes.name_fancy.forest_male_elf_costume_king","Re illuminato"
"heroes.name_fancy.forest_thug","Criminale mercenario"
"heroes.name_fancy.forest_titan","Antico dei boschi"
"heroes.name_fancy.forest_titan_costume_cute","Cartone dei boschi"
"heroes.name_fancy.forest_titan_costume_glass","Vitrail dei boschi"
"heroes.name_fancy.forest_titan_costume_jester","Giullare di legno"
"heroes.name_fancy.forest_titan_costume_nightmare","Incubo dei boschi"
"heroes.name_fancy.forest_woodsman","Boscaiolo semplice"
"heroes.name_fancy.forest_woodsman_warrior","Fratello possente"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Fratello furtivo"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Cartone potente"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Vitrail potente"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Montanaro potente"
"heroes.name_fancy.forsaken_demhalar","Lo strano abitante"
"heroes.name_fancy.forsaken_jax","Teppista accanito"
"heroes.name_fancy.forsaken_kadath","Sacerdote maledetto"
"heroes.name_fancy.forsaken_khatrox","Picchiatore malvagio"
"heroes.name_fancy.forsaken_lamentia","Servo dell'Abisso"
"heroes.name_fancy.fox_ashen","Volpe dal dorso argenteo"
"heroes.name_fancy.fox_ember","Volpe del fuoco"
"heroes.name_fancy.fox_foxglove","Volpe astuta dalle orecchie di pipistrello"
"heroes.name_fancy.fox_foxley","Volpe grigia fuorilegge"
"heroes.name_fancy.fox_halcyon","Volpe grigia sentinella"
"heroes.name_fancy.fox_nettletail","Volpe gentile custode del bosco"
"heroes.name_fancy.fox_nibbles","Cucciolo di volpe affamato"
"heroes.name_fancy.fox_riverfang","Volpe corsac prestidigitatrice"
"heroes.name_fancy.fox_rust","Volpe rossa guardiana"
"heroes.name_fancy.fox_sable","Volpe principessa perduta"
"heroes.name_fancy.fox_shadowfang","Volpe delle sabbie collezionista di ossa"
"heroes.name_fancy.fox_silverpaw","Volpe fennec pirata"
"heroes.name_fancy.fox_spiff","Volpe cavaliere reale"
"heroes.name_fancy.fox_swiftpaw","Volpe d'argento assassina"
"heroes.name_fancy.fox_whitefang","Volpe artica ranger"
"heroes.name_fancy.gargoyle_arco","Gargoyle risoluto"
"heroes.name_fancy.gargoyle_bellerive","Gargoyle malvagio"
"heroes.name_fancy.gargoyle_betty","Gargoyle agile"
"heroes.name_fancy.gargoyle_budatin","Gargoyle feroce"
"heroes.name_fancy.gargoyle_el_duque","Gargoyle esaltato"
"heroes.name_fancy.gargoyle_gaillard","Gargoyle astuto"
"heroes.name_fancy.gargoyle_garten","Gargoyle festaiolo"
"heroes.name_fancy.gargoyle_goseck","Gargoyle insidioso"
"heroes.name_fancy.gargoyle_grumbl","Gargoyle saggio"
"heroes.name_fancy.gargoyle_guffa","Gargoyle stoico"
"heroes.name_fancy.gargoyle_hilda","Gargoyle impavida"
"heroes.name_fancy.gargoyle_hohenwerf","Gargoyle aggressivo"
"heroes.name_fancy.gargoyle_kalo","Gargoyle aberrante"
"heroes.name_fancy.gargoyle_kemeny","Gargoyle temprato"
"heroes.name_fancy.gargoyle_matrera","Gargoyle misterioso"
"heroes.name_fancy.gargoyle_mena","Gargoyle pedante"
"heroes.name_fancy.gargoyle_penolite","Gargoyle implacabile"
"heroes.name_fancy.gargoyle_pophit","Gargoyle virtuoso"
"heroes.name_fancy.gargoyle_soroca","Gargoyle furioso"
"heroes.name_fancy.gargoyle_uwe","Gargoyle soffice"
"heroes.name_fancy.gargoyle_vincent","Gargoyle spaventato"
"heroes.name_fancy.gargoyle_vonreine","Gargoyle focoso"
"heroes.name_fancy.garrison_archibald","Quartiermastro inquietante"
"heroes.name_fancy.garrison_beatrice","Sergente quartiermastra"
"heroes.name_fancy.garrison_caelen","Il poeta pensieroso"
"heroes.name_fancy.garrison_ciara","Comandante esigente"
"heroes.name_fancy.garrison_dima","Signore dei maiali"
"heroes.name_fancy.garrison_fergus","Conestabile imperturbabile"
"heroes.name_fancy.garrison_flamehide","Giocatore d'azzardo degli uomini lucertola"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Sergente di strada"
"heroes.name_fancy.garrison_frostsnout","Portabandiera degli uomini lucertola"
"heroes.name_fancy.garrison_godfrey","Guardia garrula"
"heroes.name_fancy.garrison_greg","Signore del grog"
"heroes.name_fancy.garrison_iarlaith","Spadaccino elegante"
"heroes.name_fancy.garrison_iocantha","Maestra d'armi"
"heroes.name_fancy.garrison_kolya","Sentinella determinata"
"heroes.name_fancy.garrison_maisie","L'allegra muratrice"
"heroes.name_fancy.garrison_pip","Messaggero nervoso"
"heroes.name_fancy.garrison_rosalind","Capitana allegra"
"heroes.name_fancy.garrison_shimmerscale","Lanternista degli uomini lucertola"
"heroes.name_fancy.garrison_theodosius","Caporale coraggioso"
"heroes.name_fancy.garrison_vanya","Geniere risoluto"
"heroes.name_fancy.garrison_violet_potts","Halfling spensierata"
"heroes.name_fancy.garrison_william","Guardiano notturno nervoso"
"heroes.name_fancy.goblin_acidfire","Goblin negromante"
"heroes.name_fancy.goblin_archer","Cacciatore abile"
"heroes.name_fancy.goblin_boom_and_fang","Duo spericolato"
"heroes.name_fancy.goblin_boots","Guardia ignara"
"heroes.name_fancy.goblin_darkfeather","Addestratore abile di aquile"
"heroes.name_fancy.goblin_deadboot","Cultista goblin"
"heroes.name_fancy.goblin_fighter","Il tagliaborse"
"heroes.name_fancy.goblin_fighter_costume_cute","Il tagliaborse cartone"
"heroes.name_fancy.goblin_fighter_costume_evil","Il tagliagole"
"heroes.name_fancy.goblin_fighter_costume_glass","Tagliaborse di vetro"
"heroes.name_fancy.goblin_fizzcoil","Violinista della squadra dei goblin"
"heroes.name_fancy.goblin_goldie","Bellezza goblin"
"heroes.name_fancy.goblin_grimsteel","Eremita della montagna ghiacciata"
"heroes.name_fancy.goblin_kettle","Alchimista della cucina"
"heroes.name_fancy.goblin_leafwizzle","Incantatore di bestie"
"heroes.name_fancy.goblin_madhammer","Attaccabrighe goblin"
"heroes.name_fancy.goblin_mage","Stregone del pantano"
"heroes.name_fancy.goblin_mage_costume_candy","Strega dei dolci"
"heroes.name_fancy.goblin_mage_costume_cute","Strega cartone"
"heroes.name_fancy.goblin_mage_costume_glass","Strega di vetro"
"heroes.name_fancy.goblin_mage_costume_toad","Strega rospo"
"heroes.name_fancy.goblin_pepperflame","Famosa flautista goblin"
"heroes.name_fancy.goblin_ratgrub","Cortigiano spia goblin"
"heroes.name_fancy.goblin_rocket","Esperto di demolizioni"
"heroes.name_fancy.goblin_scrollbeast","Cavaliere di cinghiali in pensione"
"heroes.name_fancy.goblin_smarttongue","Barda goblin"
"heroes.name_fancy.goblin_soursting","Assassino goblin arrogante"
"heroes.name_fancy.guardian_bat","Incubo di Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Guerriera di Teltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Pantera feroce"
"heroes.name_fancy.guardian_chameleon","Elementalista di Teltoc"
"heroes.name_fancy.guardian_elephant","Freccia sicura di Teltoc"
"heroes.name_fancy.guardian_falcon_priest","Sacerdote di Teltoc"
"heroes.name_fancy.guardian_gazelle","Druida di Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Attaccante rapida di Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain","Comandante di Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Kong conquistatore"
"heroes.name_fancy.guardian_hippo","Bruto di Teltoc"
"heroes.name_fancy.guardian_jackal_assassin","Assassino di Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Collezionista di ossa di Teltoc"
"heroes.name_fancy.guardian_lemur","Riparatore di Teltoc"
"heroes.name_fancy.guardian_owl_gentleman","Guardiano scelto di Teltoc"
"heroes.name_fancy.halloween_alucard","Rampollo vampiro"
"heroes.name_fancy.halloween_alucard_costume_mafia","Boss vampiro"
"heroes.name_fancy.halloween_amber","Vampira guerriera del sangue"
"heroes.name_fancy.halloween_ana_belle","Domestica di Morlovia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Baronessa della polvere"
"heroes.name_fancy.halloween_chester","Fantasma ostile"
"heroes.name_fancy.halloween_edwin","Maggiordomo astuto"
"heroes.name_fancy.halloween_edwin_costume_mafia","Il maggiordomo traditore"
"heroes.name_fancy.halloween_francine","Madame mostro"
"heroes.name_fancy.halloween_francine_costume_mafia","La gangster"
"heroes.name_fancy.halloween_frank","Il mostro"
"heroes.name_fancy.halloween_frank_costume_mafia","Il gangster"
"heroes.name_fancy.halloween_goopy","Melma gelatinosa"
"heroes.name_fancy.halloween_hortensia","Coltivatore di Diomee"
"heroes.name_fancy.halloween_jack","Menestrello zucca"
"heroes.name_fancy.halloween_lucinda","Impugnatrice di Excalibroom"
"heroes.name_fancy.halloween_matilda","Pasticciere sconsacrato"
"heroes.name_fancy.halloween_miriam_and_midnight","Duo occulto"
"heroes.name_fancy.halloween_vanda","Regina vampira"
"heroes.name_fancy.halloween_vanda_costume_mafia","Regina del crimine"
"heroes.name_fancy.halloween_wayne","Il grande mago di Morlovia"
"heroes.name_fancy.hidden_dark_god_myztero","Mistero riflettente"
"heroes.name_fancy.holy_god_aurox","Il berserker radioso"
"heroes.name_fancy.holy_god_aviana","Il Comandante dei falchi"
"heroes.name_fancy.holy_god_bai_yeong","Danzatore delle lame"
"heroes.name_fancy.holy_god_celidana","Capo del Sacro Clero"
"heroes.name_fancy.holy_god_delilah","Eroina dell'isola proibita"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Guardiana del Tempio celestiale"
"heroes.name_fancy.holy_god_devana","Cacciatrice caparbia"
"heroes.name_fancy.holy_god_drake_lee","Maestro di arti marziali"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Combattente sereno"
"heroes.name_fancy.holy_god_faeona","Maga bianca elfica"
"heroes.name_fancy.holy_god_gilligan","Avventuriero donchisciottesco"
"heroes.name_fancy.holy_god_hanitra","Dea lemuriana"
"heroes.name_fancy.holy_god_ithar","Gatto scassinatore virtuoso"
"heroes.name_fancy.holy_god_kara","Difensore consacrato"
"heroes.name_fancy.holy_god_malosi","Campione in carica"
"heroes.name_fancy.holy_god_may","La raccoglitrice beata"
"heroes.name_fancy.holy_god_musashi","Ronin invincibile"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Artista della fuga"
"heroes.name_fancy.holy_god_neith","Spalancatrice di porte"
"heroes.name_fancy.holy_god_onatel","Veggente cieco"
"heroes.name_fancy.holy_god_ranvir","Centauro sacro"
"heroes.name_fancy.holy_god_uraeus","Visir arcano"
"heroes.name_fancy.holy_god_zora","Cavaliere della rosa"
"heroes.name_fancy.ice_god_alexandrine","Scudo contro l'ingiustizia"
"heroes.name_fancy.ice_god_areax","Donna-cavallo maga del ghiaccio"
"heroes.name_fancy.ice_god_athena","Celestiale del ghiaccio"
"heroes.name_fancy.ice_god_athena_costume_cute","Celestiale del ghiaccio cartone"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Dea della guerra"
"heroes.name_fancy.ice_god_balur","Gladiatore feroce"
"heroes.name_fancy.ice_god_callum","Inseguitore implacabile"
"heroes.name_fancy.ice_god_claeg","Guaritore maledetto"
"heroes.name_fancy.ice_god_eskimo","Cacciatrice di Giganti di Ghiaccio"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Campionessa dei ghiacci"
"heroes.name_fancy.ice_god_frida","Minaccia artica"
"heroes.name_fancy.ice_god_frosth","Portatore d'inverno"
"heroes.name_fancy.ice_god_glenda","Madrina magica"
"heroes.name_fancy.ice_god_iris","Dissipatrice esperta"
"heroes.name_fancy.ice_god_klaern","Incantatore della brina"
"heroes.name_fancy.ice_god_mene","Fata regina della notte"
"heroes.name_fancy.ice_god_miki","Assassino di Bestie gelate"
"heroes.name_fancy.ice_god_nerasis","La Morte silente"
"heroes.name_fancy.ice_god_october","Montanaro ghiacciato"
"heroes.name_fancy.ice_god_october_costume_farmer","Fattore congelato"
"heroes.name_fancy.ice_god_perseus","Figlio di Zeus"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Sfidante di Boreas"
"heroes.name_fancy.ice_god_raffaele","Medium tranquillo"
"heroes.name_fancy.ice_god_sini","L'Evocatore azzurro"
"heroes.name_fancy.ice_god_suzuna","Incantatrice fashionista"
"heroes.name_fancy.ice_god_vela","Prestigiatore acquatico"
"heroes.name_fancy.institute_ellery","Biologa aberrante"
"heroes.name_fancy.institute_emilie","Esploratore del Regno liminale"
"heroes.name_fancy.institute_piper","Sicario curioso"
"heroes.name_fancy.institute_professor_morryster","L'erudito mascherato"
"heroes.name_fancy.institute_ryleh","Assistente archivista"
"heroes.name_fancy.journey_change","Eletta dalla luce lunare"
"heroes.name_fancy.journey_erlang_shen","Dio guerriero del cielo"
"heroes.name_fancy.journey_general_yin","Generale demone mutaforma"
"heroes.name_fancy.journey_heifeng_guai","Demone del vento nero"
"heroes.name_fancy.journey_nineheaded_beast","Principe consorte a nove teste"
"heroes.name_fancy.journey_queen_guowang","Bellezza senza pari"
"heroes.name_fancy.journey_sha_wujing","Monaco delle sabbie"
"heroes.name_fancy.journey_tang_sanzang","Grande mistero del fiume"
"heroes.name_fancy.journey_xie_zi_jing","Demonessa dello scorpione"
"heroes.name_fancy.journey_xiong_shanjun","Signore della Montagna degli orsi"
"heroes.name_fancy.journey_xiwangmu","Regina Madre"
"heroes.name_fancy.kalevala_aino","Fanciulla estiva"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Dama del lago"
"heroes.name_fancy.kalevala_iku_turso","Bestia degli abissi"
"heroes.name_fancy.kalevala_ilmarinen","Fabbro esperto"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Artefice esperto"
"heroes.name_fancy.kalevala_joukahainen","Cacciatore feroce"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Cacciatore ghiacciato"
"heroes.name_fancy.kalevala_kullervo","Figlio vendicativo"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Figlio segnato dalla battaglia"
"heroes.name_fancy.kalevala_lemminkainen","Campione imperituro"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Campione dissolvente"
"heroes.name_fancy.kalevala_louhi","Strega del nord"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Signora del Nord"
"heroes.name_fancy.kalevala_mielikki","Spirito della foresta"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Protettrice degli orsi"
"heroes.name_fancy.kalevala_mother_lemminkainen","Salvatrice dei campioni"
"heroes.name_fancy.kalevala_otso","Vagabondo delle steppe"
"heroes.name_fancy.kalevala_para","Famiglio della casa"
"heroes.name_fancy.kalevala_suomuhauki","Luccio spaventoso"
"heroes.name_fancy.kalevala_ukkonen","Parente maledetto di Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Parente infernale di Väinämöinen"
"heroes.name_fancy.kalevala_vainamoinen","Bardo eterno"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Saggio eterno"
"heroes.name_fancy.kingdom_cao_cao","Signore della guerra di Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Signore della guerra dei ghiacci"
"heroes.name_fancy.kingdom_diaochan","Bellezza brillante"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Bellezza floreale"
"heroes.name_fancy.kingdom_guan_yu","Generale valoroso"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Generale Inferno"
"heroes.name_fancy.kingdom_jing","Soldato a piedi di Shu"
"heroes.name_fancy.kingdom_li","Soldato a piedi di Wu"
"heroes.name_fancy.kingdom_liu_bei","Signore della guerra di Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Signore della guerra della foresta"
"heroes.name_fancy.kingdom_lu_bu","Signore della guerra iracondo"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Signore della guerra tigre iracondo"
"heroes.name_fancy.kingdom_sun_quan","Signore della guerra di Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Signore della guerra della fortuna"
"heroes.name_fancy.kingdom_sun_shangxiang","Combattente nobile"
"heroes.name_fancy.kingdom_wang_yuanji","Nobildonna gentile"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Calligrafa gentile"
"heroes.name_fancy.kingdom_xiahou_dun","Comandante guercio"
"heroes.name_fancy.kingdom_yao","Soldato a piedi di Wei"
"heroes.name_fancy.kingdom_zhang_fei","Generale spietato"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Generale orso spietato"
"heroes.name_fancy.kingdom_zhou_yu","Giovane comandante"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Comandante corvo"
"heroes.name_fancy.kingdom_zhuge_liang","Maestro stratega"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Stratega supremo"
"heroes.name_fancy.knights_bauchan","Folletto di Avalon"
"heroes.name_fancy.knights_black_knight","Terrore di Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Cavaliere negativo"
"heroes.name_fancy.knights_gawain","Cavaliere azzurro"
"heroes.name_fancy.knights_green_knight","Sfidante di Avalon"
"heroes.name_fancy.knights_guinevere","Regina di Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Cavaliera dei draghi di Avalon"
"heroes.name_fancy.knights_king_arthur","Re di Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Incantatrice di Avalon"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Signora delle lame"
"heroes.name_fancy.knights_merlin","Stregone di Avalon"
"heroes.name_fancy.knights_merlin_costume_astrology","Astromante di Avalon"
"heroes.name_fancy.knights_morgan_le_fay","Incantatrice di Avalon"
"heroes.name_fancy.knights_sir_lancelot","Cavaliere di Avalon"
"heroes.name_fancy.knights_treevil","Male di Avalon"
"heroes.name_fancy.lionman_barbarian","Ultimo dei Leor"
"heroes.name_fancy.lionman_barbarian_costume_armor","Re dei Leor"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Babysitter dei Leor"
"heroes.name_fancy.lionman_barbarian_costume_cute","Leor cartone"
"heroes.name_fancy.lionman_barbarian_costume_glass","Leor di vetro"
"heroes.name_fancy.lizardman_trapper","Comandante degli uomini lucertola"
"heroes.name_fancy.lizardman_trapper_costume_cute","Comandante cartone"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Pescatore degli uomini lucertola"
"heroes.name_fancy.lizardman_trapper_costume_glass","Capo tribù di vetro"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Anziano degli uomini lucertola"
"heroes.name_fancy.lizardman_warrior","Combattente degli uomini lucertola"
"heroes.name_fancy.lizardman_warrior_costume_cute","Combattente cartone"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Antenato degli uomini lucertola"
"heroes.name_fancy.lizardman_warrior_costume_glass","Combattente di vetro"
"heroes.name_fancy.lunar_new_year_baishu","Topo lunare acrobata"
"heroes.name_fancy.lunar_new_year_gongniu","Bue lunare guardiano"
"heroes.name_fancy.lunar_new_year_laohu","Tigre lunare delle zuffe"
"heroes.name_fancy.lunar_new_year_qinglong","Drago lunare stratega"
"heroes.name_fancy.lunar_new_year_xiaoqing","Serpente lunare musicista"
"heroes.name_fancy.lunar_new_year_xiaotu","Coniglietta lunare protettrice"
"heroes.name_fancy.magic_agrafena","Sovrintendente suprema"
"heroes.name_fancy.magic_agrafena_costume_dark","Maga oscura suprema"
"heroes.name_fancy.magic_anastasia","Apprendista evocatrice"
"heroes.name_fancy.magic_anton","Giovane erudito"
"heroes.name_fancy.magic_becky","Evocatrice della luce stellare"
"heroes.name_fancy.magic_becky_costume_gothic","Evocatore del Crepuscolo"
"heroes.name_fancy.magic_camilla","Arcanista tuttofare"
"heroes.name_fancy.magic_camilla_costume_flower","Tuttofare floreale"
"heroes.name_fancy.magic_carpet_agadh","Assassino del tappeto magico"
"heroes.name_fancy.magic_carpet_amelia","Aviatrice magica"
"heroes.name_fancy.magic_carpet_bart","Corridore del tappeto magico"
"heroes.name_fancy.magic_carpet_bertha","Tessitrice di tappeti magici"
"heroes.name_fancy.magic_carpet_crustee","Genio del laboratorio magico"
"heroes.name_fancy.magic_carpet_elyssa","Buongustaia del tappeto magico"
"heroes.name_fancy.magic_carpet_jwala","Ragazza della magia di lava"
"heroes.name_fancy.magic_carpet_kesha","Incantatrice di Al-Layl"
"heroes.name_fancy.magic_carpet_lando","Incantatore del tappeto magico"
"heroes.name_fancy.magic_carpet_lilli","Donna gatto del tappeto magico"
"heroes.name_fancy.magic_carpet_manpip","Volatore nervoso del tappeto magico"
"heroes.name_fancy.magic_carpet_naeem","Vagabondo del tappeto magico"
"heroes.name_fancy.magic_carpet_ragrim","Botanico del tappeto magico"
"heroes.name_fancy.magic_carpet_shareef","Mago inarrestabile"
"heroes.name_fancy.magic_carpet_zazha","Guaritrice del tappeto magico"
"heroes.name_fancy.magic_cristobal","Professore di incantesimi"
"heroes.name_fancy.magic_cristobal_costume_emerald","Professore di incantesimi"
"heroes.name_fancy.magic_dolgoon","Bibliotecario erudito"
"heroes.name_fancy.magic_jett","Araldo del sacrificio"
"heroes.name_fancy.magic_kornel","Custode veterano"
"heroes.name_fancy.magic_lucy","Prodigio della palla magica"
"heroes.name_fancy.magic_milena","Insegnante di arti arcane"
"heroes.name_fancy.magic_milena_costume_ice","Insegnante di incantesimi artici"
"heroes.name_fancy.magic_motega","Maestro custode"
"heroes.name_fancy.magic_nadezhda","Direttrice della torre"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Direttore postale della torre"
"heroes.name_fancy.magic_ray","Campione del campo"
"heroes.name_fancy.magic_ray_costume_spiky","Campione dei rovi"
"heroes.name_fancy.magic_roxia","Appassionata di scritture antiche"
"heroes.name_fancy.magic_sergei","Studente dell'arcano"
"heroes.name_fancy.magic_telonius","Centauro dei boschi"
"heroes.name_fancy.magic_ulius","Mago inventore eccentrico"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Bucaniere arcano eccentrico"
"heroes.name_fancy.magic_vaishali","Maestra di scacchi mistica"
"heroes.name_fancy.magic_vaishali_costume_chef","Maestra delle torte mistica"
"heroes.name_fancy.magic_willow","Maestra della levitazione"
"heroes.name_fancy.magitech_sniper","Cecchina magitech"
"heroes.name_fancy.magitech_sniper_costume_cute","Cecchina cartone"
"heroes.name_fancy.magitech_sniper_costume_glass","Cecchino di vetro"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Cecchina steampunk"
"heroes.name_fancy.magitech_sniper_costume_undead","Cecchina non morta"
"heroes.name_fancy.mahayoddha_ali","Fattorino di talento"
"heroes.name_fancy.mahayoddha_bhima","Figlio di Vayu"
"heroes.name_fancy.mahayoddha_bonga","Cestaio"
