"specials.name.a_cozy_break","Istirahat yang Nyaman"
"specials.name.divine_reflection","Refleksi Ilahi"
"specials.name.divine_reversal","Pantulan Ilahi"
"specials.name.dizzying_strike","Serangan Memusingkan"
"specials.name.donut_to_the_rescue","Donat Menyelamatkan!"
"specials.name.doomrend","Kerusakan Kiamat"
"specials.name.doomstrike","Serangan Kiamat"
"specials.name.double_flail_mayhem","Kekacauan Cambuk Ganda"
"specials.name.double_strike","Serangan Ganda"
"specials.name.doublebarreled_starstick","Tongkat Bintang Laras Ganda"
"specials.name.dozy_mead","Madu Mengantuk"
"specials.name.dragon_autumn_blaze","Bara Musim Gugur"
"specials.name.dragon_blaze_of_fatigue","Bara Kelelahan"
"specials.name.dragon_blaze_of_mortality","Bara Mortalitas"
"specials.name.dragon_blaze_of_protection","Bara Perlindungan"
"specials.name.dragon_blaze_of_suppression","Bara Penindasan"
"specials.name.dragon_blaze_of_the_hydra","Bara Hidra"
"specials.name.dragon_blaze_of_the_undying","Bara yang Belum Mati"
"specials.name.dragon_blaze_of_torment","Bara Siksaan"
"specials.name.dragon_blazing_inferno","Inferno Membara"
"specials.name.dragon_blazing_storm","Badai Membara"
"specials.name.dragon_blinding_blaze","Bara Membutakan"
"specials.name.dragon_blinding_blaze_duskwing","Bara Membutakan"
"specials.name.dragon_blinding_blaze_wildheart","Bara Membutakan"
"specials.name.dragon_breath_of_bulwark","Napas Bulwark"
"specials.name.dragon_breath_of_compassion","Napas Belas Kasih"
"specials.name.dragon_breath_of_nourishment","Napas Gizi"
"specials.name.dragon_breath_of_retribution","Napas Pembalasan"
"specials.name.dragon_breath_of_revival","Napas Pembangkitan"
"specials.name.dragon_cauterizing_blaze","Bara Menyengat"
"specials.name.dragon_charring_blaze","Bara Menghanguskan"
"specials.name.dragon_claws","Cakar Naga"
"specials.name.dragon_cleansing_flame","Api Membersihkan"
"specials.name.dragon_corrosive_blaze","Bara Korosif"
"specials.name.dragon_cracking_blaze","Bara Berderik"
"specials.name.dragon_crackling_blaze_smoldercoil","Bara Berderak"
"specials.name.dragon_crashing_blaze","Bara Bertabrakan"
"specials.name.dragon_crippling_blaze","Bara Melumpuhkan"
"specials.name.dragon_crushing_blaze","Bara Meremukkan"
"specials.name.dragon_dampening_blaze","Bara Berkurang"
"specials.name.dragon_dazing_blaze","Bara Membingungkan"
"specials.name.dragon_delivery_service","Layanan Antar Naga"
"specials.name.dragon_destabilizing_blaze","Bara Destabilisasi"
"specials.name.dragon_devastating_blaze","Bara Menghancurkan"
"specials.name.dragon_disarming_blaze","Bara Melucuti"
"specials.name.dragon_draining_blaze","Bara Menguras"
"specials.name.dragon_empowering_breath","Napas Memberdayakan"
"specials.name.dragon_esoteric_flame","Api Batin"
"specials.name.dragon_fang","Taring Naga"
"specials.name.dragon_fiery_blaze","Bara Berkobar"
"specials.name.dragon_flames_of_acceleration","Api Percepatan"
"specials.name.dragon_fortifying_flame","Api Membentengi"
"specials.name.dragon_inspirational_breath","Napas Inspirasional"
"specials.name.dragon_mana_infused_breath","Napas Terinfusi Mana"
"specials.name.dragon_mindless_blaze","Bara Awur"
"specials.name.dragon_novices_blaze","Bara Pemula"
"specials.name.dragon_pacifying_breath","Bara Menenangkan"
"specials.name.dragon_protective_breath","Napas Protektif"
"specials.name.dragon_rallying_breath","Napas Mereli"
"specials.name.dragon_rallying_breath_trezoro","Napas Mereli"
"specials.name.dragon_resuscitating_breath","Napas Menyadarkan"
"specials.name.dragon_revitalizing_breath","Napas Revitalisasi"
"specials.name.dragon_sacred_flame","Api Suci"
"specials.name.dragon_sacred_flame_harmonis","Api Suci"
"specials.name.dragon_searing_blaze","Bara Penghangus"
"specials.name.dragon_shielding_breath","Napas Melindungi"
"specials.name.dragon_shocking_blaze","Bara Mengejutkan"
"specials.name.dragon_spring_breath","Napas Musim Semi"
"specials.name.dragon_spring_breath_erudius","Napas Musim Semi"
"specials.name.dragon_strengthening_flame","Api Memperkuat"
"specials.name.dragon_summer_blaze","Bara Musim Panas"
"specials.name.dragon_volcanic_blaze","Bara Vulkanik"
"specials.name.dragon_weakening_blaze","Bara Memperlemah"
"specials.name.dragon_weakening_blaze_ashenheart","Bara Memperlemah"
"specials.name.dragon_wounding_blaze","Bara Melukai"
"specials.name.dragon_wounding_blaze_ceestraze","Bara Melukai"
"specials.name.dragon_wrecking_blaze","Api Mencelakakan"
"specials.name.drain_strike","Serangan Tiris"
"specials.name.draining_blade","Pisau Perusak"
"specials.name.drawn_to_the_depths","Tertarik ke Kedalaman"
"specials.name.dread_hammer","Palu Ketakutan"
"specials.name.dreaded_swords","Pedang yang Ditakuti"
"specials.name.dreaded_waters","Perairan yang Ditakuti"
"specials.name.dreadful_riddle","Teka-Teki Menakutkan"
"specials.name.dreadstrike","Serangan Menakutkan"
"specials.name.dreams_of_nourishment","Mimpi Nutrisi"
"specials.name.dress_up","Dandan!"
"specials.name.drowsy_bolt","Petir Kantuk"
"specials.name.drum_chain","Rantai Drum Ipu"
"specials.name.dual_axes","Kapak Ganda"
"specials.name.dual_blades","Pedang Ganda"
"specials.name.dual_data_blades","Pedang Data Ganda"
"specials.name.dual_laser_blades","Pedang Laser Ganda"
"specials.name.dual_slash","Sayatan Ganda"
"specials.name.dual_sting","Sengatan Ganda"
"specials.name.dubious_cuisine","Masakan yang Meragukan"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Bencana Gagal di Dapur"
"specials.name.dubious_cuisine_exquisite_food","Makanan Indah"
"specials.name.dubious_cuisine_rotten_food","Makanan Busuk"
"specials.name.dubious_merchandise","Merchandise yang Meragukan"
"specials.name.dubious_mixture","Campuran yang Meragukan"
"specials.name.dum_and_dee","Dum dan Dee"
"specials.name.dusk_dust","Serbuk Petang"
"specials.name.dusk_till_dawn","Senja Sampai Fajar"
"specials.name.dust_to_dust","Debu ke Debu"
"specials.name.dwarven_flourish","Perkembangan Kurcaci"
"specials.name.dwarven_kings_levy","Pungutan Raja Kurcaci"
"specials.name.dwarven_recharge","Isi Ulang Kurcaci"
"specials.name.easy_breezy_aura","Aura Mudah Berangin"
"specials.name.echoes_of_ice","Gema Es"
"specials.name.echoes_of_pain","Gema Rasa Sakit"
"specials.name.echoes_of_the_opera","Gema Opera"
"specials.name.eclipse_shield","Perisai Gerhana"
"specials.name.eclipse_spear","Tombak Gerhana"
"specials.name.educated_exorcism","Eksorsis Terdidik"
"specials.name.egg_barrage","Rentetan Telur"
"specials.name.elders_remedy","Pengobatan Tetua"
"specials.name.eldritch_blight","Penyakit Eldritch"
"specials.name.eldritch_sign_bolts","Tanda Petir Eldritch"
"specials.name.electric_cut","Irisan Listrik"
"specials.name.electric_dragonfire","Api Naga Listrik"
"specials.name.electric_jolt","Sentakan Listrik"
"specials.name.electric_stab","Tikaman Listrik"
"specials.name.electric_sting_dragon_pve","Sengatan Listrik"
"specials.name.electrified_claws","Cakar Setrum"
"specials.name.electrifying_gust_dragon_pve","Bayu Menggetarkan"
"specials.name.elegant_pulverizer","Pelumat Elegan"
"specials.name.elemental_corruption","Korupsi Elemen"
"specials.name.elemental_infusion_arrow","Panah Infusi Elemen"
"specials.name.elemental_infusion_arrow_pve","Panah Infusi Elemen"
"specials.name.elemental_magic","Sihir Elemen"
"specials.name.emboldened_strike","Serangan Diperkuat"
"specials.name.emerald_dual_blade","Bilah Ganda Zamrud"
"specials.name.emerald_flash","Kilas Zamrud"
"specials.name.emerald_tide","Gelombang Pasang Zamrud"
"specials.name.emerald_wind","Angin Zamrud"
"specials.name.empowered_slash","Sabetan Berdaya"
"specials.name.empowering_bash","Tamparan Berdaya"
"specials.name.empowering_bash_deadly","Tamparan Berdaya"
"specials.name.en_garde","Siaga"
"specials.name.enchanted_antlers","Tanduk Rusa Sihir"
"specials.name.enchanted_axe_swing","Ayunan Kapak Bermantra"
"specials.name.enchanted_edge","Sisi Bermantra"
"specials.name.enchanted_elven_sword","Pedang Elf Memesona"
"specials.name.enchanted_symphony","Simfoni Memesona"
"specials.name.enchanting_divination","Ramalan Memesona"
"specials.name.enchanting_melody","Melodi Memesona"
"specials.name.endless_daggers","Belati Tiada Akhir"
"specials.name.endless_maze","Labirin Tak Berujung"
"specials.name.energy_conjunction","Konjungsi Energi"
"specials.name.energy_of_mjolnir","Energi Mjölnir"
"specials.name.energy_steal_dragon_pve","Curian Energi"
"specials.name.engulfing_candlelight","Berselimut Cahaya Lilin"
"specials.name.entangling_shot","Tembakan Menjerat"
"specials.name.entrapping_enchantment","Sihir Penjebak"
"specials.name.erase_strength","Hapus Kekuatan"
"specials.name.erupting_slices","Irisan Meletus"
"specials.name.esprit_de_corps","Setia Kawan"
"specials.name.essence_of_queen_nitocris","Esensi Ratu Nitocris"
"specials.name.eternal_bond","Ikatan Abadi"
"specials.name.eternal_ishq","Ishq Abadi"
"specials.name.eternal_loyalty","Kesetiaan Abadi"
"specials.name.eternal_servitude","Perhambaan Abadi"
"specials.name.ethereal","Hantu"
"specials.name.evading_dash","Lari Menghindar"
"specials.name.everlasting_wound","Luka Lestari"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Panah Eksorsis"
"specials.name.explosive_goo_minions","Pengawasan Antek"
"specials.name.explosive_o_lantern","Lentera Eksplosif"
"specials.name.express_delivery","Pengiriman Ekspres"
"specials.name.exquisite_alchemy","Alkimia Istimewa"
"specials.name.exquisite_victuals","Hidangan Istimewa"
"specials.name.exquisite_victuals_pve_advanced","Hidangan Istimewa"
"specials.name.exquisite_victuals_pve_normal","Hidangan Istimewa"
"specials.name.eye_of_panther","Mata Panter"
"specials.name.eye_of_the_storm","Mata Badai"
"specials.name.eye_of_yog-sir","Mata Yog-Sir"
"specials.name.fabled_fist","Tinju Fabel"
"specials.name.fabled_llama_ballad","Balada Lama Fabel"
"specials.name.fairy_godmothers_blessing","Berkat Ibu Peri"
"specials.name.faithful_force","Kekuatan Iman"
"specials.name.falcon_screech","Pekikan Elang"
"specials.name.false_treat","Suguhan Palsu"
"specials.name.familiar_eater","Penyantap Antek"
"specials.name.familiar_witchcraft","Ilmu Sihir Familier"
"specials.name.fangs_and_blades","Taring dan Pedang"
"specials.name.fangs_of_death","Taring Penderitaan"
"specials.name.fatal_dreams","Mimpi Fatal"
"specials.name.fatal_finisher","Perampung Fatal"
"specials.name.fearless_charge","Serangan Tanpa Takut"
"specials.name.feather_tempest","Badai Bulu"
"specials.name.feline_constellation","Konstelasi Kucing"
"specials.name.feral_arrows","Panah Feral"
"specials.name.feral_bite","Gigitan Feral"
"specials.name.feral_gust_dragon_pve","Bayu Feral"
"specials.name.feral_peck","Patukan Feral"
"specials.name.feral_revenge","Balas Dendam Feral"
"specials.name.feral_swing","Ayunan Feral"
"specials.name.feyfire_slash","Sabetan Api Unggun"
"specials.name.field_aid","Penyembuhan Kecil"
"specials.name.field_surgery","Penyembuhan Besar"
"specials.name.fiendslayer","Pembasmi Iblis"
"specials.name.fierce_fu_jow_pai","Fu Jow Pai Ganas"
"specials.name.fierce_pierce","Tusukan Ganas"
"specials.name.fierce_slash","Sabetan Ganas"
"specials.name.fiery_charge","Serangan Berapi-api"
"specials.name.fiery_revenge","Balas Dendam Membara"
"specials.name.fire_barrier_dragon_pve","Penghalang Api"
"specials.name.fire_bolt_zidane","Petir Api"
"specials.name.fire_storm","Badai Api"
"specials.name.fire_tiger","Macan Api"
"specials.name.fireball","Bola Api"
"specials.name.fireball_single","Bola Api"
"specials.name.fireblade_slash","Tebasan Pedang Api"
"specials.name.fires_of_ragnarok","Api Ragnarok"
"specials.name.fires_of_ragnarok_final","Api Ragnarok"
"specials.name.firestone_daggers","Belati Batu Api"
"specials.name.firewall","Tembok Api"
"specials.name.firing_on_all_cylinders","Menembak semua Silinder"
"specials.name.first_frost","Beku Pertama"
"specials.name.first_law_of_thermodynamics","Hukum Pertama Termodinamika"
"specials.name.fishbone_blades","Pedang Tulang Ikan"
"specials.name.fists_of_atonement","Tinju Pertobatan"
"specials.name.flail_of_destruction","Pukulan Penghancur"
"specials.name.flail_swing","Pukulan Cambuk"
"specials.name.flails_of_fury","Pukulan Amarah"
"specials.name.flame_of_the_dragon_familiar","Api dari Naga Akrab"
"specials.name.flame_of_the_lioness","Api Singa Betina"
"specials.name.flame_storm","Badai Api"
"specials.name.flame_surge","Lonjakan Api"
"specials.name.flames_and_rejuvenation","Api dan Peremajaan"
"specials.name.flames_and_rejuvenation_pve","Api dan Peremajaan"
"specials.name.flames_of_revenge","Api Balas Dendam"
"specials.name.flaming_fury","Api Amarah"
"specials.name.flaming_grudge","Dendam Membara"
"specials.name.flaming_mandibles","Mandibula Membara"
"specials.name.flaming_rapier","Pedang Rapier Membara"
"specials.name.flaming_rapier_pve","Pedang Rapier Membara"
"specials.name.flaming_sword","Pedang Membara"
"specials.name.flanking_maneuver","Manuver Mengapit"
"specials.name.flanking_maneuver_pve","Manuver Mengapit"
"specials.name.flare","Napas Api"
"specials.name.flat_cake_for_sweethearts","Kue Datar untuk si Doi"
"specials.name.flat_cake_for_sweethearts_pve","Kue Datar untuk si Doi"
"specials.name.flawless_shot","Tembakan Tanpa Ejek"
"specials.name.flock_of_folly_eldwren","Kawanan Kebodohan"
"specials.name.floral_sting","Sengatan Bunga"
"specials.name.flower_arrangements","Rangkaian Bunga"
"specials.name.flower_of_kindness","Bunga Kebaikan"
"specials.name.fluff_in_the_air","Bulu Halus di Udara"
"specials.name.flurry_of_blows","Hujan Pukulan"
"specials.name.flurry_of_slashes","Hujan Sabetan"
"specials.name.flurry_of_slashes_deadly","Hujan Sabetan"
"specials.name.flute_of_enchantment","Suling Pesona"
"specials.name.focused_shot","Tembakan Terpusat"
"specials.name.fog_machine","Kabut Mesin Asap"
"specials.name.fog_of_the_fallen","Kabut yang Gugur"
"specials.name.fog_of_the_glass_sabina","Kabut Kaca Patri"
"specials.name.fog_of_the_perished","Kabut Jenazah"
"specials.name.fog_of_the_toons","Kabut Toon"
"specials.name.fog_of_the_vitrails","Kabut Kaca Patri"
"specials.name.for_queen_and_hollow","Untuk Ratu dan Kolong"
"specials.name.force_of_forest","Kekuatan Hutan"
"specials.name.forceful_advance","Maju Kuat"
"specials.name.forest_breath","Napas Hutan"
"specials.name.forest_command","Komando Hutan"
"specials.name.forest_friends","Kawan Hutan"
"specials.name.forge_rush","Serangan Tempa"
"specials.name.forged_axe_of_light","Kapak Cahaya Tempa"
"specials.name.forged_from_gold","Ditempa dari Emas"
"specials.name.forged_in_fire","Ditempa dalam Api"
"specials.name.fortunate_slice","Irisan Beruntung"
"specials.name.fracturing_cut","Potongan Mematahkan"
"specials.name.fracturing_shards","Serpihan Mematahkan"
"specials.name.fracturing_slash","Sabetan Mematahkan"
"specials.name.freezing_cold_cutter","Pemotong Sedingin Es"
"specials.name.freezing_crystal","Kristal Pembeku"
"specials.name.freezing_fairy_mist","Kabut Peri yang Membekukan"
"specials.name.freezing_power_hooks","Pengait Kekuatan Membekukan"
"specials.name.frenzied_rend","Belah Heboh"
"specials.name.frenzy_plant","Tanaman Heboh"
"specials.name.friendly_critters_feast","Pesta Makhluk Ramah"
"specials.name.frightening_pinch","Tombak Atlantis"
"specials.name.frightstrike","Serangan Ketakutan"
"specials.name.frogs_and_hoop","Kodok dan Lompat"
"specials.name.from_shadows","Dari Bayangan"
"specials.name.from_shadows_pve","Dari Bayangan"
"specials.name.frost_and_rime","Beku dan Lapisan Es"
"specials.name.frost_bound_blade","Pedang Tenaga Beku"
"specials.name.frostbite","Radang Dingin"
"specials.name.frostbolt_dragon_pve","Petir Beku"
"specials.name.frostneedle","Jarum Beku"
"specials.name.frosty_axes","Kapak Beku"
"specials.name.frosty_punches","Tinju Beku"
"specials.name.frozen_orb","Bola Beku"
"specials.name.frozen_path","Jalur Fluvial"
"specials.name.frozen_wind","Angin Beku"
"specials.name.frozen_wind_pve","Angin Beku"
"specials.name.fruit_cocktail","Koktail Buah"
"specials.name.fruits_of_labor","Dosis Ampuh Bawang Putih"
"specials.name.fullmetal_pelt","Kulit Logam"
"specials.name.furious_bite","Gigitan Garang"
"specials.name.furious_boar","Celeng Garang"
"specials.name.furious_flames","Api Garang"
"specials.name.furry_loggers_swing","Ayunan Penebang Berbulu"
"specials.name.fury_of_ash","Amarah Abu"
"specials.name.fury_of_grimnir","Amarah Grimnir"
"specials.name.fury_of_the_ancient_forest","Amarah Hutan Kuno"
"specials.name.fury_of_the_fire_giants","Amarah Raksasa Api"
"specials.name.fury_of_the_fire_giants_final","Amarah Raksasa Api"
"specials.name.fury_of_the_mountain_lord","Amarah Penguasa Gunung"
"specials.name.fury_of_the_silverback","Amarah Punggung Perak"
"specials.name.gallant_stance","Sikap Gagah"
"specials.name.gamblers_stance","Pandangan Penjudi"
"specials.name.gamblers_swing","Ayunan Penjudi"
"specials.name.garbage_shock_wave","Gelombang Kejut Sampah"
"specials.name.gardeners_remedy","Obat Tukang Kebun"
"specials.name.gargantuan_bite","Gigitan Raksasa"
"specials.name.gargoyles_of_redemption","Gargoyle Pertobatan"
"specials.name.gargoyles_of_redemption_pve","Gargoyle Pertobatan"
"specials.name.gargoyles_of_restoration","Gargoyle Restorasi"
"specials.name.garlic_serving_edwin","Piring Bawang Putih"
"specials.name.generous_gifts","Kado Dermawan"
"specials.name.gentle_paw","Cakar Lembut"
"specials.name.gentlemans_cane","Tongkat Lelaki"
"specials.name.gentlemans_transformation","Transformasi Lelaki"
"specials.name.giddy_jab_dragon_pve","Tusukan Pening"
"specials.name.gift_list","Daftar Hadiah"
"specials.name.gift_of_rejuvenation","Hadiah Peremajaan"
"specials.name.gift_of_rock","Hadiah Batu"
"specials.name.giftsack","Karung Hadiah"
"specials.name.gilded_antlers","Tanduk Berlapis Emas"
"specials.name.glacial_atmosphere","Suasana Glasial"
"specials.name.glacial_crusher","Peremuk Glasial"
"specials.name.glacial_explosion","Ledakan Glasial"
"specials.name.glacial_fissure_cleave","Belahan Celah Glasial"
"specials.name.glacial_resilience","Resiliensi Glasial"
"specials.name.glacial_shatter","Serpihan Glasial"
"specials.name.glacial_vortex","Pusaran Glasial"
"specials.name.glaive_of_flames","Pedang Api"
"specials.name.glass_anger_of_forest_horghall","Amarah Serpihan"
"specials.name.glass_arrow","Panah Kaca"
"specials.name.glass_barrage_scarlett","Rentetan Kaca"
"specials.name.glass_beam","Sinar Kaca"
"specials.name.glass_bite","Gigitan Kaca"
"specials.name.glass_bolt","Petir Kaca"
"specials.name.glass_brew","Ramuan Kaca"
"specials.name.glass_burning_strike","Serangan Kaca"
"specials.name.glass_chop","Potongan Kaca"
"specials.name.glass_cleave","Belahan Kaca"
"specials.name.glass_cold_blast_ulmer","Badai Salju Kaca"
"specials.name.glass_cut","Irisan Kaca"
"specials.name.glass_cut_chao","Irisan Kaca Patri"
"specials.name.glass_entangling_shot","Panah Kaca"
"specials.name.glass_finisher_thorne","Penyelesai Kaca"
"specials.name.glass_fireball","Bola Api Kaca"
"specials.name.glass_flame_smash","Hantaman Api Kaca"
"specials.name.glass_four_blades","Sabetan Pedang Kaca"
"specials.name.glass_fury","Amarah Kaca"
"specials.name.glass_gamblers_stance","Sikap Kaca"
"specials.name.glass_hammer","Palu Kaca"
"specials.name.glass_have_faith","Iman Jernih"
"specials.name.glass_heal","Penyembuhan Kaca"
"specials.name.glass_jolt","Sentakan Kaca"
"specials.name.glass_kick","Tendangan Kaca"
"specials.name.glass_leaping_attack_dawa","Serangan Kaca"
"specials.name.glass_leeching_stars_renfeld","Bintang Kaca"
"specials.name.glass_link","Dinamika Kaca"
"specials.name.glass_massive_chop","Potongan Kaca"
"specials.name.glass_mist","Kabut Kaca"
"specials.name.glass_order","Perintah Kaca Patri"
"specials.name.glass_peck","Patukan Kaca"
"specials.name.glass_piercing_hit_tyrum","Pukulan Kaca"
"specials.name.glass_piercing_strike","Serbuan Kaca"
"specials.name.glass_prayer","Doa Kaca"
"specials.name.glass_pulverizer","Pelumat Kaca"
"specials.name.glass_pulverizer_tiburtus","Pelumat Kaca"
"specials.name.glass_purification","Menjadi Kaca"
"specials.name.glass_ramming_rush","Serangan Kaca"
"specials.name.glass_ramming_rush_isshtak","Serangan Kaca"
"specials.name.glass_riposte","Balasan Kaca"
"specials.name.glass_riposte_boril","Balasan Kaca"
"specials.name.glass_shatter","Pecahnya Kaca"
"specials.name.glass_shield_kadilen","Perisai Kaca"
"specials.name.glass_skin","Kulit Kaca"
"specials.name.glass_slam","Bantingan Kaca"
"specials.name.glass_slash","Sabetan Kaca"
"specials.name.glass_spear","Tombak Kaca"
"specials.name.glass_stab","Tikaman Kaca"
"specials.name.glass_stone_skin_gunnar","Dinamika Kaca"
"specials.name.glass_strike","Serangan Kaca"
"specials.name.glass_strike_caedmon","Serangan Kaca"
"specials.name.glass_strike_magni","Serangan Kaca"
"specials.name.glass_swords","Tembok dari Kaca"
"specials.name.glass_thunderstrike_quintus","Ultimatum Kaca"
"specials.name.glass_traps_oberon","Jebakan Kaca"
"specials.name.glass_vines","Sulur Kaca"
"specials.name.glass_volcano","Vulkan Kaca"
"specials.name.glass_wall","Tembok Kaca"
"specials.name.glass_warcry","Jeritan Perang Kaca"
"specials.name.gleaming_gemstones","Batu Permata yang Berkilau"
"specials.name.gleaming_sword_and_iron_mail","Pedang Berkilauan dan Baju Zirah Besi"
"specials.name.glittering_sweep_dragon_pve","Sapuan Berkilauan"
"specials.name.gloom_grenades","Granat Suram"
"specials.name.gloomy_tune","Lagu Suram"
"specials.name.glorious_grace","Rahmat Mulia"
"specials.name.glutinous_execution","Eksekusi Lengket"
"specials.name.gnomish_carnage","Pembantaian Jembalang"
"specials.name.goat_rush","Demam Kambing"
"specials.name.goblin_explosives","Peledak Goblin"
"specials.name.goblin_serenade","Serenade Goblin"
"specials.name.god_of_the_underworld","Serangan Dunia Bawah"
"specials.name.gold_gauntlet","Sarung Tangan Emas"
"specials.name.gold_rush","Demam Emas"
"specials.name.gold_weaver","Penenun Emas"
"specials.name.golden_aura","Aura Emas"
"specials.name.golden_cicada","Jangkrik Emas"
"specials.name.golden_sacred_symbol","Simbol Suci Emas"
"specials.name.golden_thread","Senar Emas"
"specials.name.golem_crusher","Peremuk Golem"
"specials.name.goodnight_lullaby","Nyanyian Pengantar Tidur"
"specials.name.gooey_rose","Mawar Lengket"
"specials.name.gorging_bite_yellow","Gigit Rakus"
"specials.name.gorging_chew_blue","Kunyah Rakus"
"specials.name.gorging_chew_green","Kunyah Rakus"
"specials.name.gorging_chew_purple","Kunyah Rakus"
"specials.name.gorging_chew_red","Kunyah Rakus"
"specials.name.gorging_chew_yellow","Kunyah Rakus"
"specials.name.gorgyra","Ketabahan Valkyrie"
"specials.name.grab_and_run","Sambar dan Lari"
"specials.name.graceful_shot","Tembakan Anggun"
"specials.name.graceless_ritual","Ritual Barbar"
"specials.name.grand_heist","Perampokan Akbar"
"specials.name.great_frost_axe","Kapak Beku Besar"
"specials.name.great_frost_hoe","Cangkul Beku Besar"
"specials.name.greed_and_bribery","Ketamakan dan Suap"
"specials.name.greedy_munch_red","Rakus Mengunyah"
"specials.name.green_dragon_crescent_blade","Pedang Bulan Sabit Naga Hijau"
"specials.name.green_dragon_inferno","Pedang Inferno Naga Hijau"
"specials.name.green_sparks_dragon_pve","Percikan Hijau"
"specials.name.grim_awakening","Kebangkitan yang Suram"
"specials.name.grimoire_skim","Grimoire Meluncur"
"specials.name.grips_of_longing","Genggaman Rindu"
"specials.name.grips_of_longing_pve","Genggaman Rindu"
"specials.name.grove_splash_dragon_pve","Percikan Belukar"
"specials.name.gruesome_charge","Serangan Mengerikan"
"specials.name.guard_the_garden","Jaga Tamannya!"
"specials.name.guardian_armor","Zirah Penjaga"
"specials.name.guardians_retaliation","Pembalasan Penjaga"
"specials.name.guarding_tunes","Lagu Penjaga"
"specials.name.guiding_arrow","Panah Pemandu"
"specials.name.gust_of_restoration","Bayu Restorasi"
"specials.name.gust_of_swiftness","Bayu Kecepatan"
"specials.name.hack_and_slash","Sayat dan Tebas"
"specials.name.hacking_attack","Serangan Menerabas"
"specials.name.hailstone_glare_dragon_pve","Silau Batu Hujan"
"specials.name.hailstorm","Hujan Es"
"specials.name.halflings_wisdom","Ilmu Halfling"
"specials.name.halflings_wit","Akal Halfling"
"specials.name.hallowed_blade","Pedang Berongga"
"specials.name.halting_counter_strike","Serangan Balik Penghenti"
"specials.name.hammer_thump","Pukulan Palu"
"specials.name.harmonic_bash","Tamparan Harmoni"
"specials.name.harmonic_slam","Bantingan Harmoni"
"specials.name.harpoon_sentry","Penjaga Harpun"
"specials.name.harpy_claw","Cakar Perampas"
"specials.name.harrow_the_heart","Menyakiti Hati"
"specials.name.hasty_gift_wrapper","Pembungkus Kado Terburu-buru"
"specials.name.hasty_trigger_finger","Jari Pemicu Tergesa-gesa"
"specials.name.have_curiosity","Raih Harapan"
"specials.name.have_faith","Keyakinan"
"specials.name.haze_of_the_deceased","Kabut Asap yang Gugur"
"specials.name.head_hurl","Lemparan Kepala"
"specials.name.healing_chant","Nyanyian Penyembuhan"
"specials.name.healing_fire_spirits","Roh Api Penyembuhan"
"specials.name.healing_gift","Penyembuhan Awur"
"specials.name.healing_gift_anteros","Penyembuhan Awur"
"specials.name.healing_gift_kabeiroi","Penyembuhan Awur"
"specials.name.healing_mirror","Cermin Penyembuh"
"specials.name.healthiest_catch","Tangkapan Tersehat"
"specials.name.hearty_stew","Semur Hangat"
"specials.name.heatstinger","Penyengat Panas"
"specials.name.heavy_fragrance","Wewangian Berat"
"specials.name.heedless_hammer_flurry","Kebingungan Palu Lalai"
"specials.name.heirloom_dagger","Pisau Warisan"
"specials.name.helping_hands","Tangan Penolong"
"specials.name.hemlock_tea","Teh Hemlock"
"specials.name.herbal_remedies","Pengobatan Herbal"
"specials.name.herculean_throw","Lemparan Herkules"
"specials.name.herd_stampede","Derap Kerumunan"
"specials.name.here_catch","Sini! Tangkap!"
"specials.name.heretic_slayer","Pembunuh Bidaah"
"specials.name.heroic_noble","Lontaran Trisula"
"specials.name.heroic_noble_deadly","Lontaran Trisula"
"specials.name.herring_blaster","Peledak Haring"
"specials.name.herring_surprise","Kejutan Haring"
"specials.name.hide_in_shadows","Bersembunyi di balik Bayangan"
"specials.name.high_altitude_ambush","Sergapan Altitudo Tinggi"
"specials.name.high_energy_field","Medan Energi Tinggi"
"specials.name.high_noon_sun","Matahari Tengah Hari"
"specials.name.holding_down_the_fort","Mempertahankan Benteng"
"specials.name.hollow_boast","Omong Kosong"
"specials.name.holy_aura","Aura Suci"
"specials.name.holy_guard","Penjaga Suci"
"specials.name.holy_hibiscus_ale","Ale Hibiskus Suci"
"specials.name.holy_mark","Tanda Suci"
"specials.name.holy_splash","Percikan Suci"
"specials.name.home_run","Home Run"
"specials.name.horn_attack","Serangan Tanduk"
"specials.name.horrifying_wail","Ratapan Mengerikan"
"specials.name.horses_curse","Hembusan Pasir"
"specials.name.hoverboard_crash","Tabrakan Hoverboard"
"specials.name.hoverboard_slam","Bantingan Hoverboard"
"specials.name.howling_sword","Pedang Lolongan"
"specials.name.hungering_grave","Kuburan Kelaparan"
"specials.name.hunt_for_prey","Berburu Mangsa"
"specials.name.hunters_instinct","Naluri Pemburu"
"specials.name.hunters_mark","Tanda Pemburu"
"specials.name.hunters_true_shot","Tembakan Sejati Pemburu"
"specials.name.hunting_ballad","Balada Berburu"
"specials.name.hunting_charge","Serangan Berburu"
"specials.name.hydra_bite","Gigitan Hidra"
"specials.name.hymn_of_enrichment","Himne Pengayaan"
"specials.name.hyper_porridge","Bubur Hiper"
"specials.name.hyperborean_hook","Pengait Hyperborean"
"specials.name.hypersonic_tackle","Tekel Hipersonik"
"specials.name.hypnosis_dragon_pve","Hipnosis"
"specials.name.ice_and_slice","Es dan Iris"
"specials.name.ice_boom","Bom Es"
