"heroes.name_fancy.astral_cosmicspeaker","Astronom Elf Astral"
"heroes.name_fancy.faun_bramble","Tukang Kebun Faun yang Lembut"
"heroes.name_fancy.faun_gideon","Komandan Faun yang Pemberani"
"heroes.name_fancy.faun_isidore","Juara Faun yang Karismatik"
"heroes.name_fancy.faun_jolyon","Pengulik Faun Penuh Pemikiran"
"heroes.name_fancy.faun_maud","Ahli Alkimia Faun Ambisius"
"heroes.name_fancy.faun_myrtle","Herbalis Faun Tergesa-gesa"
"heroes.name_fancy.faun_peregrine","Pengintai Faun yang Sembrono"
"heroes.name_fancy.faun_philomena","Penyanyi Faun Memikat"
"heroes.name_fancy.faun_saskia","Penari Faun Berkaki Armada"
"heroes.name_fancy.faun_tamlin","Pemain Flaut Faun yang Seram"
"heroes.name_fancy.faun_verity","Pedagang Faun yang Misterius"
"heroes.name_fancy.faun_yolanda","Peramal Faun yang Optimis"
"heroes.name_fancy.faun_ysabel","Gladiator Faun yang Gigih"
"heroes.name_fancy.fire_god_andre","Penjaga Kuil Terkhianati"
"heroes.name_fancy.fire_god_anzogh","Syaman Pendendam"
"heroes.name_fancy.fire_god_ares","Dewa Perang"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Pemimpin Perang"
"heroes.name_fancy.fire_god_doom","Klenik Ternoda Darah"
"heroes.name_fancy.fire_god_doom_costume_avenger","Pembalas Membara"
"heroes.name_fancy.fire_god_eliane","Magi Merah Senior"
"heroes.name_fancy.fire_god_jean_francois","Magi Musketri"
"heroes.name_fancy.fire_god_maple","Peri dari Hutan Merah"
"heroes.name_fancy.fire_god_nadnog","Tabib Berapi-api"
"heroes.name_fancy.fire_god_natalya","Penenung Hebat"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Penjahit Hebat"
"heroes.name_fancy.fire_god_neema","Dukun Api"
"heroes.name_fancy.fire_god_noor","Penjinak Pipit"
"heroes.name_fancy.fire_god_reuben","Okultis Tersumpah"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Tim Tak Terpisahkan"
"heroes.name_fancy.fire_god_russell","Peramal Api Marah"
"heroes.name_fancy.fire_god_skargremar","Perintis Garda Belakang"
"heroes.name_fancy.fire_god_tahir","Pemburu Nomad"
"heroes.name_fancy.fire_god_yang_mai","Tinju Matahari"
"heroes.name_fancy.fire_god_zagrog","Berandal Sendirian"
"heroes.name_fancy.fire_god_zarga","Pisau Cepat"
"heroes.name_fancy.fire_god_zidane","Prajurit Menawan"
"heroes.name_fancy.fire_god_zimkitha","Putri yang Lama-Hilang"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Petualang yang Lama-Hilang"
"heroes.name_fancy.fleur_elyzabel","Countess Optimis"
"heroes.name_fancy.fleur_eumachius","Keturunan Optimis"
"heroes.name_fancy.fleur_guillemette","Tentara Salib Optimis"
"heroes.name_fancy.fleur_lavinia","Pemimpi Optimis"
"heroes.name_fancy.fleur_ludovico","Pramugara Optimis"
"heroes.name_fancy.fleur_talesie","Pembunuh Optimis"
"heroes.name_fancy.forest_archer","Pemanah Cakap"
"heroes.name_fancy.forest_archer_costume_cute","Pemanah Toon"
"heroes.name_fancy.forest_archer_costume_glass","Pemanah Kaca"
"heroes.name_fancy.forest_archer_costume_warrior","Pemanah Jago"
"heroes.name_fancy.forest_female_druid","Klenik Rathwood"
"heroes.name_fancy.forest_female_druid_costume_cute","Toon Rathwood"
"heroes.name_fancy.forest_female_druid_costume_glass","Kaca Patri Rathwood"
"heroes.name_fancy.forest_female_druid_costume_native","Syaman Concordia"
"heroes.name_fancy.forest_female_elf","Perisai Sinar Candra"
"heroes.name_fancy.forest_female_elf_costume_cute","Master Perisai Toon"
"heroes.name_fancy.forest_female_elf_costume_fairy","Peri Cahaya Bulan"
"heroes.name_fancy.forest_female_elf_costume_glass","Master Perisai Kaca"
"heroes.name_fancy.forest_female_elf_costume_mage","Pendeta Wanita Cahaya Bulan"
"heroes.name_fancy.forest_female_illusionist","Penjinak Tanaman"
"heroes.name_fancy.forest_female_spirit","Roh Rawa"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Roh Belukar"
"heroes.name_fancy.forest_female_spirit_costume_cute","Roh Toon"
"heroes.name_fancy.forest_female_spirit_costume_glass","Roh Kaca"
"heroes.name_fancy.forest_female_warrior","Gadis Desa"
"heroes.name_fancy.forest_friar","Saudara Periang"
"heroes.name_fancy.forest_friar_costume_cute","Toon Periang"
"heroes.name_fancy.forest_friar_costume_explorer","Penjelajah Periang"
"heroes.name_fancy.forest_friar_costume_glass","Kaca Patri Periang"
"heroes.name_fancy.forest_god_elinor","Pemburu Harta Karun"
"heroes.name_fancy.forest_god_elradir","Penyihir Liar dari Hutan Bulan"
"heroes.name_fancy.forest_god_evelyn","Tuan Putri Pemberani"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Wanita Pemburu Pemberani"
"heroes.name_fancy.forest_god_grace","Cervitaur Belukar"
"heroes.name_fancy.forest_god_gregorion","Pemanah Ahli"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Petapa Alkimia"
"heroes.name_fancy.forest_god_kingston","Pembunuh Luhur"
"heroes.name_fancy.forest_god_oberon","Jawara Seelie"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Kesatria Everoak"
"heroes.name_fancy.forest_god_telluria","Dewa Rimba"
"heroes.name_fancy.forest_god_zeline","Surgawi Alam"
"heroes.name_fancy.forest_god_zeline_costume_avian","Dewa Burung"
"heroes.name_fancy.forest_god_zocc","Ahli Kunci"
"heroes.name_fancy.forest_mage","Kebijaksanaan Hutan"
"heroes.name_fancy.forest_mage_costume_cute","Dukun Toon"
"heroes.name_fancy.forest_mage_costume_glass","Kaca Patri Hutan"
"heroes.name_fancy.forest_mage_costume_party","Penyihir Pesta"
"heroes.name_fancy.forest_mage_costume_white","Penyihir Ampuh"
"heroes.name_fancy.forest_male_elf","Tombak Sinar Candra"
"heroes.name_fancy.forest_male_elf_costume_cute","Master Tombak Toon"
"heroes.name_fancy.forest_male_elf_costume_dark","Penakluk Terang Bulan"
"heroes.name_fancy.forest_male_elf_costume_glass","Master Tombak Kaca"
"heroes.name_fancy.forest_male_elf_costume_king","Raja Sinar Bulan"
"heroes.name_fancy.forest_male_elf_costume_stylish","Master Tombak Bergaya"
"heroes.name_fancy.forest_thug","Preman Bayaran"
"heroes.name_fancy.forest_titan","Purba Hutan"
"heroes.name_fancy.forest_titan_costume_cute","Toon Hutan"
"heroes.name_fancy.forest_titan_costume_glass","Kaca Patri Hutan"
"heroes.name_fancy.forest_titan_costume_jester","Komedian Kayu"
"heroes.name_fancy.forest_titan_costume_nightmare","Mimpi Buruk Hutan"
"heroes.name_fancy.forest_woodsman","Juruwana Lugu"
"heroes.name_fancy.forest_woodsman_warrior","Abang Perkasa"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Abang Misterius"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Toon Perkasa"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Kaca Patri Perkasa"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Highlander Perkasa"
"heroes.name_fancy.forsaken_demhalar","Penghuni Aneh"
"heroes.name_fancy.forsaken_inanis","Yang Tak Terikat"
"heroes.name_fancy.forsaken_jax","Penjahat Pengganggu"
"heroes.name_fancy.forsaken_kadath","Pendeta Terkutuk"
"heroes.name_fancy.forsaken_khatrox","Bramacorah Kehancuran"
"heroes.name_fancy.forsaken_lamentia","Pelayan Jurang"
"heroes.name_fancy.fox_ashen","Rubah Berpunggung Perak"
"heroes.name_fancy.fox_ember","Rubah Pemanggil Api"
"heroes.name_fancy.fox_foxglove","Rubah Licik Bertelinga Kelelawar"
"heroes.name_fancy.fox_foxley","Rubah Kelabu Penjahat"
"heroes.name_fancy.fox_halcyon","Rubah Kelabu Penjaga"
"heroes.name_fancy.fox_nettletail","Rubah Baik Hati Penjaga Hutan"
"heroes.name_fancy.fox_nibbles","Bayi Rubah Lapar"
"heroes.name_fancy.fox_riverfang","Rubah Corsac Pesulap"
"heroes.name_fancy.fox_rust","Rubah Merah Penjaga"
"heroes.name_fancy.fox_sable","Putri Rubah yang Hilang"
"heroes.name_fancy.fox_shadowfang","Rubah Pasir Pengumpul Tulang"
"heroes.name_fancy.fox_silverpaw","Rubah Fennec Bajak Laut"
"heroes.name_fancy.fox_spiff","Rubah Kesatria Kerajaan"
"heroes.name_fancy.fox_swiftpaw","Rubah Perak Pembunuh"
"heroes.name_fancy.fox_whitefang","Rubah Arktik Pamong"
"heroes.name_fancy.gargoyle_arco","Gargoyle Tegas"
"heroes.name_fancy.gargoyle_bellerive","Gargoyle Keji"
"heroes.name_fancy.gargoyle_betty","Gargoyle Gesit"
"heroes.name_fancy.gargoyle_budatin","Gargoyle Ganas"
"heroes.name_fancy.gargoyle_el_duque","Gargoyle Mulia"
"heroes.name_fancy.gargoyle_gaillard","Gargoyle Cerdik"
"heroes.name_fancy.gargoyle_garten","Gargoyle Pesta"
"heroes.name_fancy.gargoyle_goseck","Gargoyle Berbahaya"
"heroes.name_fancy.gargoyle_grumbl","Gargoyle Bijak"
"heroes.name_fancy.gargoyle_guffa","Gargoyle Tabah"
"heroes.name_fancy.gargoyle_hilda","Gargoyle Tanpa Takut"
"heroes.name_fancy.gargoyle_hohenwerf","Gargoyle Buas"
"heroes.name_fancy.gargoyle_kalo","Gargoyle Aneh"
"heroes.name_fancy.gargoyle_kemeny","Gargoyle Keras"
"heroes.name_fancy.gargoyle_matrera","Gargoyle Bayangan"
"heroes.name_fancy.gargoyle_mena","Gargoyle Sombong Ilmu"
"heroes.name_fancy.gargoyle_penolite","Gargoyle Tanpa Henti"
"heroes.name_fancy.gargoyle_pophit","Gargoyle Virtuoso"
"heroes.name_fancy.gargoyle_soroca","Gargoyle Garang"
"heroes.name_fancy.gargoyle_uwe","Gargoyle Empuk"
"heroes.name_fancy.gargoyle_vincent","Gargoyle Ketakutan"
"heroes.name_fancy.gargoyle_vonreine","Gargoyle Berapi-api"
"heroes.name_fancy.garrison_archibald","Intendans Melemahkan"
"heroes.name_fancy.garrison_beatrice","Sersan Intendans"
"heroes.name_fancy.garrison_caelen","Penyair Termenung"
"heroes.name_fancy.garrison_ciara","Komandan yang Tepat"
"heroes.name_fancy.garrison_dima","Hogmaster"
"heroes.name_fancy.garrison_fergus","Polisi Tak Tergoyahkan"
"heroes.name_fancy.garrison_flamehide","Penjudi Puakadal"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Sersan Jago di Jalanan"
"heroes.name_fancy.garrison_frostsnout","Pembawa Bendera Puakadal"
"heroes.name_fancy.garrison_godfrey","Penjaga Banyak Cakap"
"heroes.name_fancy.garrison_greg","Grogsmaster"
"heroes.name_fancy.garrison_iarlaith","Jago Pedang Bergaya"
"heroes.name_fancy.garrison_iocantha","Ahli Senjata"
"heroes.name_fancy.garrison_kolya","Penjaga yang Kokoh"
"heroes.name_fancy.garrison_maisie","Tukang Batu Ria"
"heroes.name_fancy.garrison_pip","Pembawa Pesan yang Gugup"
"heroes.name_fancy.garrison_rosalind","Kapten Ceria"
"heroes.name_fancy.garrison_shimmerscale","Pembawa Lentera Puakadal"
"heroes.name_fancy.garrison_theodosius","Kopral Berani"
"heroes.name_fancy.garrison_vanya","Pencari Ranjau yang Tegar"
"heroes.name_fancy.garrison_violet_potts","Halfling Ceria dan Santai"
"heroes.name_fancy.garrison_william","Penjaga Malam yang Gugup"
"heroes.name_fancy.goblin_acidfire","Nekromansi Goblin"
"heroes.name_fancy.goblin_archer","Pemburu Gesit"
"heroes.name_fancy.goblin_boom_and_fang","Duo Ceroboh"
"heroes.name_fancy.goblin_boots","Penjaga yang Terlupakan"
"heroes.name_fancy.goblin_darkfeather","Pelatih Elang Mahir"
"heroes.name_fancy.goblin_deadboot","Kultus Goblin"
"heroes.name_fancy.goblin_fighter","Copet"
"heroes.name_fancy.goblin_fighter_costume_cute","Si Toon Copet"
"heroes.name_fancy.goblin_fighter_costume_evil","Si Pembunuh"
"heroes.name_fancy.goblin_fighter_costume_glass","Copet Kaca"
"heroes.name_fancy.goblin_fizzcoil","Pemain Biola Rombongan Goblin"
"heroes.name_fancy.goblin_goldie","Kecantikan Goblin"
"heroes.name_fancy.goblin_grimsteel","Petapa Gunung Beku"
"heroes.name_fancy.goblin_kettle","Ahli Alkimia Dapur"
"heroes.name_fancy.goblin_leafwizzle","Pemikat Beast"
"heroes.name_fancy.goblin_madhammer","Petarung Goblin"
"heroes.name_fancy.goblin_mage","Penyihir Payau"
"heroes.name_fancy.goblin_mage_costume_candy","Penyihir Permen"
"heroes.name_fancy.goblin_mage_costume_cute","Penyihir Toon"
"heroes.name_fancy.goblin_mage_costume_glass","Penyihir Kaca"
"heroes.name_fancy.goblin_mage_costume_toad","Penyihir Kodok"
"heroes.name_fancy.goblin_pepperflame","Peniup Suling Goblin Terkenal"
"heroes.name_fancy.goblin_ratgrub","Punggawa Tikus Goblin"
"heroes.name_fancy.goblin_rocket","Pakar Demolisi"
"heroes.name_fancy.goblin_scrollbeast","Pensiunan Pengendara Celeng"
"heroes.name_fancy.goblin_smarttongue","Penyair Goblin"
"heroes.name_fancy.goblin_soursting","Pembunuh Goblin Arogan"
"heroes.name_fancy.guardian_bat","Mimpi Buruk Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Pejuang Telltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Panter Galak"
"heroes.name_fancy.guardian_chameleon","Elementalis Teltoc"
"heroes.name_fancy.guardian_elephant","Panah Sejati Teltoc"
"heroes.name_fancy.guardian_falcon_priest","Pendeta Teltoc"
"heroes.name_fancy.guardian_gazelle","Dukun Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Penyerang Cepat Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain","Kepala Suku Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Penakluk Kong"
"heroes.name_fancy.guardian_hippo","Si Brutal dari Teltoc"
"heroes.name_fancy.guardian_jackal_assassin","Pembunuh Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Kolektor Tulang Teltoc"
"heroes.name_fancy.guardian_lemur","Pengurus Teltoc"
"heroes.name_fancy.guardian_owl_gentleman","Penjaga Elite Teltoc"
"heroes.name_fancy.halloween_alucard","Keturunan Vampir"
"heroes.name_fancy.halloween_alucard_costume_mafia","Gembong Vampir"
"heroes.name_fancy.halloween_amber","Pejuang Darah Vampir"
"heroes.name_fancy.halloween_ana_belle","Wanita Pembersih dari Morlovia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Istri Baron Debu"
"heroes.name_fancy.halloween_chester","Hantu Tak Ramah"
"heroes.name_fancy.halloween_edwin","Kepala Pelayan yang Licik"
"heroes.name_fancy.halloween_edwin_costume_mafia","Kepala Pelayan yang Menusuk dari Belakang"
"heroes.name_fancy.halloween_francine","Monster Wanita"
"heroes.name_fancy.halloween_francine_costume_mafia","Mafia Wanita"
"heroes.name_fancy.halloween_frank","Monster"
"heroes.name_fancy.halloween_frank_costume_mafia","Mafia"
"heroes.name_fancy.halloween_goopy","Agar-agar Gelatin"
"heroes.name_fancy.halloween_hortensia","Pembina Perangkap Lalat"
"heroes.name_fancy.halloween_jack","Penyanyi Labu"
"heroes.name_fancy.halloween_lucinda","Pemegang Excalibroom"
"heroes.name_fancy.halloween_matilda","Chef Pastri Haram"
"heroes.name_fancy.halloween_miriam_and_midnight","Duo Gaib"
"heroes.name_fancy.halloween_vanda","Ratu Vampir"
"heroes.name_fancy.halloween_vanda_costume_mafia","Ratu Kejahatan"
"heroes.name_fancy.halloween_wayne","Penyihir Agung Morlovia"
"heroes.name_fancy.hidden_dark_god_myztero","Teka-Teki Memukau"
"heroes.name_fancy.holy_god_aurox","Pengamuk Berseri"
"heroes.name_fancy.holy_god_aviana","Komandan Elang"
"heroes.name_fancy.holy_god_bai_yeong","Penari Pedang"
"heroes.name_fancy.holy_god_celidana","Pemimpin Pendeta Suci"
"heroes.name_fancy.holy_god_delilah","Pahlawan Pulau Terlarang"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Penjaga Kuil Surgawi"
"heroes.name_fancy.holy_god_devana","Pemburu Wanita Keras Kepala"
"heroes.name_fancy.holy_god_drake_lee","Master Seni Bela Diri"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Petarung Tenang"
"heroes.name_fancy.holy_god_faeona","Magi Putih Elf"
"heroes.name_fancy.holy_god_gilda","Pemandu Cahaya Kurcaci"
"heroes.name_fancy.holy_god_gilligan","Petualang Quixotic"
"heroes.name_fancy.holy_god_hanitra","Dewi Lemuria"
"heroes.name_fancy.holy_god_ithar","Pencuri Kucing yang Berbudi"
"heroes.name_fancy.holy_god_kara","Pembela Suci"
"heroes.name_fancy.holy_god_malosi","Juara Bertahan"
"heroes.name_fancy.holy_god_may","Pemanen Bahagia"
"heroes.name_fancy.holy_god_musashi","Ronin Tanpa Tanding"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Seniman Kabur"
"heroes.name_fancy.holy_god_neith","Pembuka Jalan"
"heroes.name_fancy.holy_god_onatel","Peramal Buta"
"heroes.name_fancy.holy_god_ranvir","Kentaur Suci"
"heroes.name_fancy.holy_god_uraeus","Vizier Gaib"
"heroes.name_fancy.holy_god_zora","Kesatria Mawar"
"heroes.name_fancy.ice_god_alexandrine","Perisai Melawan Ketidakadilan"
"heroes.name_fancy.ice_god_areax","Magi Es Setengah Kuda"
"heroes.name_fancy.ice_god_athena","Surgawi Es"
"heroes.name_fancy.ice_god_athena_costume_cute","Surgawi Es Toon"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Dewi Perang"
"heroes.name_fancy.ice_god_balur","Gladiator Buas"
"heroes.name_fancy.ice_god_callum","Pelacak Tanpa Henti"
"heroes.name_fancy.ice_god_claeg","Penyembuh Tersentuh Kutukan"
"heroes.name_fancy.ice_god_dvalin","Pemegang Beku"
"heroes.name_fancy.ice_god_eskimo","Pemburu Raksasa Es"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Juara Gunung Es"
"heroes.name_fancy.ice_god_frida","Mara Arktika"
"heroes.name_fancy.ice_god_frosth","Pembawa Musim Dingin"
"heroes.name_fancy.ice_god_glenda","Ibu Baptis Penyihir"
"heroes.name_fancy.ice_god_iris","Ahli Pengenyah"
"heroes.name_fancy.ice_god_klaern","Penyihir Es"
"heroes.name_fancy.ice_god_mene","Ratu Peri Malam"
"heroes.name_fancy.ice_god_miki","Pembantai Monster Beku"
"heroes.name_fancy.ice_god_nerasis","Kematian Tenang"
"heroes.name_fancy.ice_god_october","Highlander Beku"
"heroes.name_fancy.ice_god_october_costume_farmer","Petani Beku"
"heroes.name_fancy.ice_god_perseus","Putra Zeus"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Penantang Boreas"
"heroes.name_fancy.ice_god_raffaele","Cenayang Senyap"
"heroes.name_fancy.ice_god_sini","Pesulap Azurit"
"heroes.name_fancy.ice_god_suzuna","Perapal Mantra Modis"
"heroes.name_fancy.ice_god_vela","Pesulap Akuatik"
"heroes.name_fancy.institute_ellery","Ahli Biologi Aneh"
"heroes.name_fancy.institute_emilie","Penjelajah Area Liminal"
"heroes.name_fancy.institute_piper","Penembak Bayaran yang Ingin Tahu"
"heroes.name_fancy.institute_professor_morryster","Sarjana Bertopeng"
"heroes.name_fancy.institute_ryleh","Asisten Pengarsip"
"heroes.name_fancy.institute_wilcox","Fisikawan Jagoan"
"heroes.name_fancy.journey_change","Dipilih oleh Cahaya Bulan"
"heroes.name_fancy.journey_erlang_shen","Dewa Pejuang dari Surga"
"heroes.name_fancy.journey_general_yin","Jenderal Setan Berubah Bentuk"
"heroes.name_fancy.journey_heifeng_guai","Setan Angin Hitam"
"heroes.name_fancy.journey_nineheaded_beast","Pangeran Pendamping Berkepala Sembilan"
"heroes.name_fancy.journey_queen_guowang","Kecantikan Tiada Tanding"
"heroes.name_fancy.journey_sha_wujing","Petapa Pasir"
"heroes.name_fancy.journey_tang_sanzang","Misteri Besar Sungai"
"heroes.name_fancy.journey_xie_zi_jing","Iblis Kalajengking"
"heroes.name_fancy.journey_xiong_shanjun","Penguasa Gunung Beruang"
"heroes.name_fancy.journey_xiwangmu","Ibu Suri"
"heroes.name_fancy.kalevala_aino","Gadis Musim Panas"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Gadis Danau"
"heroes.name_fancy.kalevala_iku_turso","Hewan Buas Kedalaman"
"heroes.name_fancy.kalevala_ilmarinen","Tukang Besi Ahli"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Tukang Ahli"
"heroes.name_fancy.kalevala_joukahainen","Pemburu Buas"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Pemburu Beku"
"heroes.name_fancy.kalevala_kullervo","Putra Pembalas Dendam"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Anak Berbekas Lluka Pertempuran"
"heroes.name_fancy.kalevala_lemminkainen","Juara Abadi"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Juara Memudar"
"heroes.name_fancy.kalevala_louhi","Penyihir dari Utara"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Nyonya dari Utara"
"heroes.name_fancy.kalevala_mielikki","Roh dari Hutan"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Pelindung Beruang"
"heroes.name_fancy.kalevala_mother_lemminkainen","Penyelamat Sang Juara"
"heroes.name_fancy.kalevala_otso","Pengembara Stepa"
"heroes.name_fancy.kalevala_para","Antek Rumah Tangga"
"heroes.name_fancy.kalevala_suomuhauki","Tombak Jumbo"
"heroes.name_fancy.kalevala_ukkonen","Kerabat Terkutuk Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Kerabat Neraka dari Väinämöinen"
"heroes.name_fancy.kalevala_vainamoinen","Penyair Abadi"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Sage Abadi"
"heroes.name_fancy.kingdom_cao_cao","Panglima Perang Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Panglima Perang Es"
"heroes.name_fancy.kingdom_diaochan","Kecantikan Brilian"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Keindahan Bunga"
"heroes.name_fancy.kingdom_guan_yu","Jenderal Perkasa"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Jenderal Inferno"
"heroes.name_fancy.kingdom_jing","Prajurit Berjalan Shu"
"heroes.name_fancy.kingdom_li","Prajurit Berjalan Wu"
"heroes.name_fancy.kingdom_liu_bei","Panglima Perang Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Panglima Perang Hutan"
"heroes.name_fancy.kingdom_lu_bu","Panglima Perang Amarah"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Panglima Perang Macan Amarah"
"heroes.name_fancy.kingdom_sun_quan","Panglima Perang Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Panglima Perang Keberuntungan"
"heroes.name_fancy.kingdom_sun_shangxiang","Petempur Mulia"
"heroes.name_fancy.kingdom_wang_yuanji","Wanita Bangsawan"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Kaligrafer Lembut"
"heroes.name_fancy.kingdom_xiahou_dun","Komandan Mata Satu"
"heroes.name_fancy.kingdom_yao","Prajurit Berjalan Wei"
"heroes.name_fancy.kingdom_zhang_fei","Jenderal Tanpa Ampun"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Jenderal Beruang Tanpa Ampun"
"heroes.name_fancy.kingdom_zhou_yu","Komandan Muda"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Komandan Gagal"
"heroes.name_fancy.kingdom_zhuge_liang","Master Strategi"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Ahli Strategi Tertinggi"
"heroes.name_fancy.knights_bauchan","Orang Kurcaci Avalon"
"heroes.name_fancy.knights_black_knight","Teror Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Kesatria Negatif"
"heroes.name_fancy.knights_gawain","Kesatria Azurit"
"heroes.name_fancy.knights_green_knight","Penantang Avalon"
"heroes.name_fancy.knights_guinevere","Ratu Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Penunggang Naga Avalon"
"heroes.name_fancy.knights_king_arthur","Raja Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Penyihir Avalon"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Putri Pedang"
"heroes.name_fancy.knights_merlin","Tukang Sihir Avalon"
"heroes.name_fancy.knights_merlin_costume_astrology","Ahli Nujum Avalon"
"heroes.name_fancy.knights_morgan_le_fay","Penenung Avalon"
"heroes.name_fancy.knights_sir_lancelot","Kesatria Avalon"
"heroes.name_fancy.knights_treevil","Si Jahat dari Avalon"
"heroes.name_fancy.lionman_barbarian","Leors Pamungkas"
"heroes.name_fancy.lionman_barbarian_costume_armor","Raja Leors"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Pengasuh Leor"
"heroes.name_fancy.lionman_barbarian_costume_cute","Leor Toon"
"heroes.name_fancy.lionman_barbarian_costume_glass","Leor Kaca"
"heroes.name_fancy.lionman_barbarian_costume_stylish","Leor Bergaya"
"heroes.name_fancy.lizardman_trapper","Kepala Suku Puakadal"
"heroes.name_fancy.lizardman_trapper_costume_cute","Kepala Suku Toon"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Nelayan Puakadal"
"heroes.name_fancy.lizardman_trapper_costume_glass","Kepala Suku Kaca"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Tetua Puakadal"
"heroes.name_fancy.lizardman_warrior","Petarung Puakadal"
"heroes.name_fancy.lizardman_warrior_costume_cute","Petarung Toon"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Leluhur Puakadal"
"heroes.name_fancy.lizardman_warrior_costume_glass","Petarung Kaca"
"heroes.name_fancy.lunar_new_year_baishu","Tikus Akrobat Imlek"
"heroes.name_fancy.lunar_new_year_gongniu","Kerbau Penjaga Imlek"
"heroes.name_fancy.lunar_new_year_laohu","Macan Jagoan Imlek"
"heroes.name_fancy.lunar_new_year_qinglong","Naga Ahli Strategi Imlek"
"heroes.name_fancy.lunar_new_year_xiaoqing","Ular Musisi Imlek"
"heroes.name_fancy.lunar_new_year_xiaotu","Kelinci Pelindung Imlek"
"heroes.name_fancy.magic_agrafena","Inspektur Tertinggi"
"heroes.name_fancy.magic_agrafena_costume_dark","Penyihir Gelap Tertinggi"
"heroes.name_fancy.magic_anastasia","Pemanggil Magang"
"heroes.name_fancy.magic_anton","Sarjana Muda"
"heroes.name_fancy.magic_becky","Pesulap Cahaya Bintang"
"heroes.name_fancy.magic_becky_costume_gothic","Pesulap Senja"
"heroes.name_fancy.magic_camilla","Pengulik Jago"
"heroes.name_fancy.magic_camilla_costume_flower","Pengulik Floral"
"heroes.name_fancy.magic_carpet_agadh","Pembunuh Karpet Ajaib"
"heroes.name_fancy.magic_carpet_amelia","Aviator Ajaib"
"heroes.name_fancy.magic_carpet_bart","Pengebut Karet Ajaib"
"heroes.name_fancy.magic_carpet_bertha","Pembuat Karpet Ajaib"
"heroes.name_fancy.magic_carpet_crustee","Genius Lab Ajaib"
"heroes.name_fancy.magic_carpet_elyssa","Penikmat Kuliner Karpet Ajaib"
"heroes.name_fancy.magic_carpet_jwala","Gadis Ajaib Lava"
"heroes.name_fancy.magic_carpet_kesha","Penenung Al-Layl"
"heroes.name_fancy.magic_carpet_lando","Pemikat Karpet Ajaib"
"heroes.name_fancy.magic_carpet_lilli","Wanita Kucing Karpet Ajaib"
