"specials.name.a_cozy_break","Un merecido descanso"
"specials.name.dragon_blaze_of_mortality","Llamarada de mortalidad"
"specials.name.dragon_blaze_of_protection","Llamarada de protección"
"specials.name.dragon_blaze_of_suppression","Llamarada de supresión"
"specials.name.dragon_blaze_of_the_hydra","Llamarada de hidra"
"specials.name.dragon_blaze_of_the_undying","Llamarada de los inmortales"
"specials.name.dragon_blaze_of_torment","Llamarada de tormento"
"specials.name.dragon_blazing_inferno","Infierno ardiente"
"specials.name.dragon_blazing_storm","Tormenta de llamaradas"
"specials.name.dragon_blinding_blaze","Llamarada cegadora"
"specials.name.dragon_blinding_blaze_duskwing","Llamarada cegadora"
"specials.name.dragon_blinding_blaze_jawbreaker","Llamarada cegadora"
"specials.name.dragon_blinding_blaze_wildheart","Llamarada cegadora"
"specials.name.dragon_breath_of_bulwark","Aliento de bastión"
"specials.name.dragon_breath_of_compassion","Aliento de compasión"
"specials.name.dragon_breath_of_nourishment","Aliento de nutrición"
"specials.name.dragon_breath_of_retribution","Aliento de represalia"
"specials.name.dragon_breath_of_revival","Aliento del renacimiento"
"specials.name.dragon_cauterizing_blaze","Llamarada cauterizadora"
"specials.name.dragon_charring_blaze","Llamarada carbonizadora"
"specials.name.dragon_claws","Garras de dragón"
"specials.name.dragon_cleansing_flame","Llama purificadora"
"specials.name.dragon_corrosive_blaze","Llamarada corrosiva"
"specials.name.dragon_cracking_blaze","Llamarada restallante"
"specials.name.dragon_crackling_blaze_smoldercoil","Llamarada restallante"
"specials.name.dragon_crashing_blaze","Llamarada demoledora"
"specials.name.dragon_crippling_blaze","Llamarada incapacitante"
"specials.name.dragon_crippling_blaze_belzaas","Llamarada incapacitante"
"specials.name.dragon_crushing_blaze","Llamarada aplastante"
"specials.name.dragon_dampening_blaze","Llamarada atenuante"
"specials.name.dragon_dazing_blaze","Llamarada aturdidora"
"specials.name.dragon_delivery_service","Servicio postal dragontino"
"specials.name.dragon_destabilizing_blaze","Llamarada desestabilizadora"
"specials.name.dragon_devastating_blaze","Llamarada devastadora"
"specials.name.dragon_disarming_blaze","Llamarada que desarma"
"specials.name.dragon_draining_blaze","Llamarada drenadora"
"specials.name.dragon_empowering_breath","Aliento fortalecedor"
"specials.name.dragon_esoteric_flame","Llama esotérica"
"specials.name.dragon_fang","Colmillo de dragón"
"specials.name.dragon_fiery_blaze","Llamarada ardiente"
"specials.name.dragon_flames_of_acceleration","Llamas de aceleración"
"specials.name.dragon_fortifying_flame","Llama fortificadora"
"specials.name.dragon_inspirational_breath","Aliento inspirador"
"specials.name.dragon_mana_infused_breath","Aliento lleno de maná"
"specials.name.dragon_mindless_blaze","Llamarada descerebrada"
"specials.name.dragon_novices_blaze","Llamarada de aprendiz"
"specials.name.dragon_pacifying_breath","Aliento apaciguador"
"specials.name.dragon_protective_breath","Aliento protector"
"specials.name.dragon_rallying_breath","Aliento arengador"
"specials.name.dragon_rallying_breath_trezoro","Aliento arengador"
"specials.name.dragon_resuscitating_breath","Aliento resucitador"
"specials.name.dragon_revitalizing_breath","Aliento revitalizante"
"specials.name.dragon_sacred_flame","Llama sagrada"
"specials.name.dragon_sacred_flame_harmonis","Llama sagrada"
"specials.name.dragon_searing_blaze","Llamarada abrasadora"
"specials.name.dragon_shielding_breath","Aliento de escudo"
"specials.name.dragon_shocking_blaze","Llamarada impactante"
"specials.name.dragon_spring_breath","Aliento de primavera"
"specials.name.dragon_spring_breath_erudius","Aliento de primavera"
"specials.name.dragon_strengthening_flame","Llama fortalecedora"
"specials.name.dragon_summer_blaze","Llamarada de verano"
"specials.name.dragon_volcanic_blaze","Llamarada volcánica"
"specials.name.dragon_weakening_blaze","Llamarada debilitadora"
"specials.name.dragon_weakening_blaze_ashenheart","Llamarada debilitadora"
"specials.name.dragon_weakening_blaze_gonthrox","Llamarada debilitadora"
"specials.name.dragon_wounding_blaze","Llamarada hiriente"
"specials.name.dragon_wounding_blaze_ceestraze","Llamarada hiriente"
"specials.name.dragon_wounding_blaze_talonshine","Llamarada hiriente"
"specials.name.dragon_wrecking_blaze","Llamarada asoladora"
"specials.name.dragon_wrecking_blaze_rangifer","Llamarada asoladora"
"specials.name.drain_strike","Golpe absorbente"
"specials.name.draining_blade","Hoja incapacitante"
"specials.name.drawn_to_the_depths","Atracción por las profundidades"
"specials.name.dread_hammer","Martillo aterrador"
"specials.name.dreaded_swords","Espadas aterradoras"
"specials.name.dreaded_waters","Aguas temidas"
"specials.name.dreadful_riddle","Acertijo temido"
"specials.name.dreadstrike","Ataque de espanto"
"specials.name.dreams_of_nourishment","Sueños nutritivos"
"specials.name.dress_up","De punta en blanco"
"specials.name.drowsy_bolt","Golpe somnoliento"
"specials.name.drum_chain","Cadena de ipu"
"specials.name.dual_axes","Hachas dobles"
"specials.name.dual_blades","Filos dobles"
"specials.name.dual_data_blades","Filos de datos dobles"
"specials.name.dual_laser_blades","Filos láser dobles"
"specials.name.dual_slash","Sablazo doble"
"specials.name.dual_sting","Picadura doble"
"specials.name.dubious_cuisine","Cocina sospechosa"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Fallo gastronómico catastrófico"
"specials.name.dubious_cuisine_exquisite_food","Comida exquisita"
"specials.name.dubious_cuisine_rotten_food","Comida podrida"
"specials.name.dubious_merchandise","Mercancía sospechosa"
"specials.name.dubious_mixture","Mezcla dudosa"
"specials.name.dum_and_dee","Por partida doble"
"specials.name.dusk_dust","Polvo del crepúsculo"
"specials.name.dusk_till_dawn","De sol a sol"
"specials.name.dust_to_dust","Cenizas a las cenizas"
"specials.name.dwarven_flourish","Asalto enano"
"specials.name.dwarven_kings_levy","Impuesto del rey de los enanos"
"specials.name.dwarven_recharge","Recarga enana"
"specials.name.easy_breezy_aura","Aura sofisticada"
"specials.name.echoes_of_ice","Ecos del hielo"
"specials.name.echoes_of_pain","Ecos del dolor"
"specials.name.echoes_of_the_opera","Ecos de la ópera"
"specials.name.eclipse_shield","Escudo eclipse"
"specials.name.eclipse_spear","Lanza eclipse"
"specials.name.educated_exorcism","Exorcismo educado"
"specials.name.egg_barrage","Salva de huevos"
"specials.name.elders_remedy","Remedio del anciano"
"specials.name.eldritch_blight","Plaga sobrenatural"
"specials.name.eldritch_sign_bolts","Proyectiles señalizadores sobrenaturales"
"specials.name.electric_cut","Corte eléctrico"
"specials.name.electric_dragonfire","Fuego eléctrico"
"specials.name.electric_jolt","Sacudida eléctrica"
"specials.name.electric_stab","Puñalada eléctrica"
"specials.name.electric_sting_dragon_pve","Picadura eléctrica"
"specials.name.electrified_claws","Garras electrificadas"
"specials.name.electrified_claws_ultimate_boss","Garras electrificadas"
"specials.name.electrifying_gust_dragon_pve","Ráfaga electrizante"
"specials.name.elegant_pulverizer","Pulverizador elegante"
"specials.name.elemental_corruption","Corrupción elemental"
"specials.name.elemental_infusion_arrow","Flecha elemental"
"specials.name.elemental_infusion_arrow_pve","Flecha elemental"
"specials.name.elemental_magic","Magia elemental"
"specials.name.emboldened_strike","Golpe embravecido"
"specials.name.emerald_dual_blade","Espada doble esmeralda"
"specials.name.emerald_flash","Destello esmeralda"
"specials.name.emerald_tide","Corriente esmeralda"
"specials.name.emerald_wind","Viento esmeralda"
"specials.name.empowered_slash","Corte fortalecido"
"specials.name.empowering_bash","Golpe fortalecido"
"specials.name.empowering_bash_deadly","Golpe fortalecido"
"specials.name.en_garde","En guardia"
"specials.name.enchanted_antlers","Astas encantadas"
"specials.name.enchanted_axe_swing","Hachazo encantado"
"specials.name.enchanted_edge","Filo encantado"
"specials.name.enchanted_elven_sword","Espada élfica encantada"
"specials.name.enchanted_symphony","Sinfonía encantada"
"specials.name.enchanting_divination","Sortilegio encantador"
"specials.name.enchanting_melody","Melodía encantadora"
"specials.name.endless_daggers","Dagas infinitas"
"specials.name.endless_maze","Laberinto infinito"
"specials.name.energy_conjunction","Conjunción de energía"
"specials.name.energy_of_mjolnir","Energía del Mjölnir"
"specials.name.energy_steal_dragon_pve","Robo de energía"
"specials.name.engulfing_candlelight","Velas envolventes"
"specials.name.entangling_shot","Tiro enmarañado"
"specials.name.entrapping_enchantment","Encantamiento embaucador"
"specials.name.erase_strength","Fuerza eliminada"
"specials.name.erupting_slices","Tajos en erupción"
"specials.name.esprit_de_corps","Conciencia de grupo"
"specials.name.essence_of_queen_nitocris","Esencia de la reina Nitocris"
"specials.name.eternal_bond","Vínculo eterno"
"specials.name.eternal_ishq","Ishq eterno"
"specials.name.eternal_loyalty","Lealtad eterna"
"specials.name.eternal_servitude","Servidumbre eterna"
"specials.name.ethereal","Fantasma"
"specials.name.evading_dash","Evasión ágil"
"specials.name.everlasting_wound","Herida perpetua"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Flecha exorcizadora"
"specials.name.explosive_goo_minions","Escrutinio de secuaces"
"specials.name.explosive_o_lantern","Calabaza explosiva"
"specials.name.express_delivery","Entrega exprés"
"specials.name.exquisite_alchemy","Alquimia sofisticada"
"specials.name.exquisite_victuals","Provisiones exquisitas"
"specials.name.exquisite_victuals_pve_advanced","Provisiones exquisitas"
"specials.name.exquisite_victuals_pve_normal","Provisiones exquisitas"
"specials.name.eye_of_panther","Ojo de la pantera"
"specials.name.eye_of_the_storm","Ojo de la tormenta"
"specials.name.eye_of_yog-sir","Ojo del Yog"
"specials.name.fabled_fist","Puño legendario"
"specials.name.fabled_llama_ballad","Balada legendaria de la llama"
"specials.name.fairy_godmothers_blessing","Bendición del hada madrina"
"specials.name.faithful_force","Fuerza de fe"
"specials.name.falcon_screech","Graznido de halcón"
"specials.name.false_treat","Premio falso"
"specials.name.familiar_eater","Devorador de secuaces"
"specials.name.familiar_witchcraft","Brujería de familiar"
"specials.name.fangs_and_blades","Colmillos y hojas"
"specials.name.fangs_of_death","Colmillos de agonía"
"specials.name.fatal_dreams","Sueños fatales"
"specials.name.fatal_finisher","Remate fatal"
"specials.name.fearless_charge","Embestida intrépida"
"specials.name.feather_tempest","Tempestad emplumada"
"specials.name.feline_constellation","Constelación felina"
"specials.name.feral_arrows","Flechas salvajes"
"specials.name.feral_bite","Mordisco salvaje"
"specials.name.feral_gust_dragon_pve","Ráfaga salvaje"
"specials.name.feral_peck","Picoteo salvaje"
"specials.name.feral_revenge","Venganza salvaje"
"specials.name.feral_swing","Movimiento salvaje"
"specials.name.feyfire_slash","Tajo de fuego feérico"
"specials.name.field_aid","Sanación menor"
"specials.name.field_surgery","Sanación mayor"
"specials.name.fiendslayer","Matademonios"
"specials.name.fierce_fu_jow_pai","Fu Jow Pai feroz"
"specials.name.fierce_pierce","Ataque punzante"
"specials.name.fierce_slash","Sablazo feroz"
"specials.name.fiery_charge","Carga ardiente"
"specials.name.fiery_performance","Actuación ardiente"
"specials.name.fiery_revenge","Venganza salvaje"
"specials.name.fire_barrier_dragon_pve","Barrera de fuego"
"specials.name.fire_bolt_zidane","Flecha ígnea"
"specials.name.fire_storm","Tormenta de fuego"
"specials.name.fire_tiger","Tigres ígneos"
"specials.name.fireball","Bola de fuego"
"specials.name.fireball_single","Bola de fuego"
"specials.name.fireblade_slash","Sablazo hoja en llamas"
"specials.name.fires_of_ragnarok","Fuegos del Ragnarok"
"specials.name.fires_of_ragnarok_final","Fuegos del Ragnarok"
"specials.name.firestone_daggers","Dagas de piedra de fuego"
"specials.name.firewall","Muro de fuego"
"specials.name.firing_on_all_cylinders","A toda máquina"
"specials.name.first_frost","Primera escarcha"
"specials.name.first_law_of_thermodynamics","Primer principio de la termodinámica"
"specials.name.fishbone_blades","Filos de raspa"
"specials.name.fists_of_atonement","Puños de la expiación"
"specials.name.flail_of_destruction","Mayal de la destrucción"
"specials.name.flail_swing","Golpe con mayal"
"specials.name.flails_of_fury","Sacudida de furia"
"specials.name.flame_of_the_dragon_familiar","Llama del familiar dragón"
"specials.name.flame_of_the_lioness","Llama de la leona"
"specials.name.flame_storm","Tormenta de llamas"
"specials.name.flame_surge","Explosión de llamas"
"specials.name.flames_and_rejuvenation","Llamas rejuvenecedoras"
"specials.name.flames_and_rejuvenation_pve","Llamas rejuvenecedoras"
"specials.name.flames_of_revenge","Llamas vengadoras"
"specials.name.flaming_fury","Furia ardiente"
"specials.name.flaming_grudge","Rencor ardiente"
"specials.name.flaming_mandibles","Mandíbulas en llamas"
"specials.name.flaming_rapier","Estoque en llamas"
"specials.name.flaming_rapier_pve","Estoque en llamas"
"specials.name.flaming_sword","Espada en llamas"
"specials.name.flanking_maneuver","Maniobra por los flancos"
"specials.name.flanking_maneuver_pve","Maniobra por los flancos"
"specials.name.flare","Aliento de fuego"
"specials.name.flat_cake_for_sweethearts","Pastel para tortolitos"
"specials.name.flat_cake_for_sweethearts_pve","Pastel para tortolitos"
"specials.name.flawless_shot","Tiro impecable"
"specials.name.flock_of_folly_eldwren","Rebaño disparatado"
"specials.name.floral_sting","Picadura floral"
"specials.name.flower_arrangements","Arreglos florales"
"specials.name.flower_of_kindness","Flores de la amabilidad"
"specials.name.fluff_in_the_air","Pelusa en el aire"
"specials.name.flurry_of_blows","Oleada de golpes"
"specials.name.flurry_of_slashes","Oleada de tajos"
"specials.name.flurry_of_slashes_deadly","Oleada de tajos"
"specials.name.flute_of_enchantment","Flauta del encantamiento"
"specials.name.focused_shot","Tiro concentrado"
"specials.name.fog_machine","Niebla de la máquina de humo"
"specials.name.fog_of_the_fallen","Niebla de los caídos"
"specials.name.fog_of_the_glass_sabina","Niebla de las vidrieras"
"specials.name.fog_of_the_perished","Niebla de los perecidos"
"specials.name.fog_of_the_toons","Niebla de las caricaturas"
"specials.name.fog_of_the_vitrails","Niebla de las vidrieras"
"specials.name.for_queen_and_hollow","Por la reina y nuestro hogar"
"specials.name.force_of_forest","Fuerza del bosque"
"specials.name.forceful_advance","Avance por la fuerza"
"specials.name.forest_breath","Aliento del bosque"
"specials.name.forest_command","Comando del bosque"
"specials.name.forest_friends","Amigos del bosque"
"specials.name.forge_rush","Ataque de forja"
"specials.name.forged_axe_of_light","Hacha de luz forjada"
"specials.name.forged_from_gold","Forja de oro"
"specials.name.forged_in_fire","Forja de fuego"
"specials.name.fortunate_slice","Tajo afortunado"
"specials.name.fracturing_cut","Corte fracturador"
"specials.name.fracturing_shards","Fragmentos fracturadores"
"specials.name.fracturing_slash","Tajo fracturador"
"specials.name.freezing_cold_cutter","Corte escarchado"
"specials.name.freezing_crystal","Cristal congelante"
"specials.name.freezing_fairy_mist","Niebla feérica congelante"
"specials.name.freezing_power_hooks","Ganchos contundentes congelantes"
"specials.name.frenzied_rend","Desgarro frenético"
"specials.name.frenzy_plant","Planta del delirio"
"specials.name.friendly_critters_feast","Pasto de animalillos amigables"
"specials.name.frightening_pinch","Lanza atlante"
"specials.name.frightstrike","Golpe temible"
"specials.name.frogs_and_hoop","La rana por el aro"
"specials.name.from_shadows","Entre las sombras"
"specials.name.from_shadows_pve","Entre las sombras"
"specials.name.frost_and_rime","Escarcha glacial"
"specials.name.frost_bound_blade","Cuchilla helada"
"specials.name.frostbite","Congelación"
"specials.name.frostbolt_dragon_pve","Poder congelante"
"specials.name.frostbound_smash","Golpe helado"
"specials.name.frostneedle","Aguja gélida"
"specials.name.frosty_axes","Hachas gélidas"
"specials.name.frosty_punches","Puñetazos escarchados"
"specials.name.frozen_orb","Orbe helado"
"specials.name.frozen_path","Camino fluvial"
"specials.name.frozen_wind","Viento helado"
"specials.name.frozen_wind_pve","Viento helado"
"specials.name.fruit_cocktail","Cóctel de fruta"
"specials.name.fruits_of_labor","Buena dosis de ajo"
"specials.name.fullmetal_pelt","Piel de metal"
"specials.name.furious_bite","Mordedura feroz"
"specials.name.furious_boar","Jabalí furioso"
"specials.name.furious_flames","Llamas furiosas"
"specials.name.furry_loggers_swing","Golpe del leñador peludo"
"specials.name.fury_of_ash","Furia de cenizas"
"specials.name.fury_of_grimnir","Furia de Grimnir"
"specials.name.fury_of_the_ancient_forest","Furia del bosque ancestral"
"specials.name.fury_of_the_fire_giants","Furia de los gigantes de fuego"
"specials.name.fury_of_the_fire_giants_final","Furia de los gigantes de fuego"
"specials.name.fury_of_the_mountain_lord","Furia del señor de la montaña"
"specials.name.fury_of_the_silverback","Furia de espalda plateada"
"specials.name.gallant_stance","Actitud gallarda"
"specials.name.gamblers_stance","Actitud de jugador"
"specials.name.gamblers_swing","Apuesta mortal"
"specials.name.garbage_shock_wave","Onda de choque basurera"
"specials.name.gardeners_remedy","Remedio de jardinería"
"specials.name.gargantuan_bite","Mordisco titánico"
"specials.name.gargoyles_of_redemption","Gárgolas de la redención"
"specials.name.gargoyles_of_redemption_pve","Gárgolas de la redención"
"specials.name.gargoyles_of_restoration","Gárgolas de la restauración"
"specials.name.garlic_serving_edwin","Ajo y agua"
"specials.name.generous_gifts","Regalos generosos"
"specials.name.gentle_paw","Pata amable"
"specials.name.gentlemans_cane","Bastón de caballero"
"specials.name.gentlemans_transformation","Transformación del caballero"
"specials.name.giddy_jab_dragon_pve","Puñetazo atolondrado"
"specials.name.gift_list","Lista de regalos"
"specials.name.gift_of_rejuvenation","Regalo de rejuvenecimiento"
"specials.name.gift_of_rock","Regalo pedregoso"
"specials.name.giftsack","Zurrón de regalos"
"specials.name.gilded_antlers","Astas doradas"
"specials.name.glacial_atmosphere","Atmósfera glacial"
"specials.name.glacial_crusher","Triturador glacial"
"specials.name.glacial_explosion","Explosión glacial"
"specials.name.glacial_fissure_cleave","Hendidura glacial"
"specials.name.glacial_resilience","Resiliencia glacial"
"specials.name.glacial_shatter","Estallido glacial"
"specials.name.glacial_vortex","Vórtice glacial"
"specials.name.glaive_of_flames","Guja ardiente"
"specials.name.glass_anger_of_forest_horghall","Ira de los fragmentos"
"specials.name.glass_arrow","Flecha de cristal"
"specials.name.glass_barrage_scarlett","Salva de cristal"
"specials.name.glass_beam","Rayo de cristal"
"specials.name.glass_bite","Mordisco de cristal"
"specials.name.glass_bolt","Virote de cristal"
"specials.name.glass_brew","Brebaje de cristal"
"specials.name.glass_burning_strike","Golpe de cristal"
"specials.name.glass_chop","Golpe masivo de cristal"
"specials.name.glass_cleave","Surco de cristal"
"specials.name.glass_cold_blast_ulmer","Ventisca de cristal"
"specials.name.glass_cut","Corte de cristal"
"specials.name.glass_cut_chao","Corte de vidriera"
"specials.name.glass_entangling_shot","Flecha de cristal"
"specials.name.glass_finisher_thorne","Remate de cristal"
"specials.name.glass_fireball","Bola de fuego de cristal"
"specials.name.glass_flame_smash","Aplastamiento ígneo de cristal"
"specials.name.glass_four_blades","Sablazo de cuchillas de cristal"
"specials.name.glass_fury","Furia de cristal"
"specials.name.glass_gamblers_stance","Actitud de cristal"
"specials.name.glass_hammer","Martillo de cristal"
"specials.name.glass_have_faith","Fe transparente"
"specials.name.glass_heal","Curación de cristal"
"specials.name.glass_jolt","Sacudida de cristal"
"specials.name.glass_kick","Coz de cristal"
"specials.name.glass_leaping_attack_dawa","Ataque de cristal"
"specials.name.glass_leeching_stars_renfeld","Estrellas de cristal"
"specials.name.glass_link","Vínculo de cristal"
"specials.name.glass_massive_chop","Golpe masivo de cristal"
"specials.name.glass_mist","Niebla de cristal"
"specials.name.glass_order","Orden de vidriera"
"specials.name.glass_peck","Picoteo de cristal"
"specials.name.glass_piercing_hit_tyrum","Leñazo de cristal"
"specials.name.glass_piercing_strike","Golpe de cristal"
"specials.name.glass_prayer","Oración de cristal"
"specials.name.glass_pulverizer","Pulverizador de cristal"
"specials.name.glass_pulverizer_tiburtus","Pulverizador de cristal"
"specials.name.glass_purification","Purificación de cristal"
"specials.name.glass_ramming_rush","Avalancha de cristal"
"specials.name.glass_ramming_rush_isshtak","Avalancha de cristal"
"specials.name.glass_riposte","Estocada de cristal"
"specials.name.glass_riposte_boril","Estocada de cristal"
"specials.name.glass_shatter","Estallido de cristal"
"specials.name.glass_shield_kadilen","Escudo de cristal"
"specials.name.glass_skin","Piel de cristal"
"specials.name.glass_slam","Golpetazo de cristal"
"specials.name.glass_slash","Tajo de cristal"
"specials.name.glass_spear","Lanza de cristal"
"specials.name.glass_stab","Puñalada de cristal"
"specials.name.glass_stone_skin_gunnar","Vínculo de cristal"
"specials.name.glass_strike","Golpe de cristal"
"specials.name.glass_strike_caedmon","Golpe de cristal"
"specials.name.glass_strike_magni","Golpe de cristal"
"specials.name.glass_swords","Muro de cristal"
"specials.name.glass_thunderstrike_quintus","Ultimátum de cristal"
"specials.name.glass_traps_oberon","Trampas de cristal"
"specials.name.glass_vines","Enredaderas de cristal"
"specials.name.glass_volcano","Volcán de cristal"
"specials.name.glass_wall","Muro cristalino"
"specials.name.glass_warcry","Grito de guerra de cristal"
"specials.name.gleaming_gemstones","Gemas resplandecientes"
"specials.name.gleaming_sword_and_iron_mail","Espada reluciente y malla de hierro"
"specials.name.glittering_sweep_dragon_pve","Barrido resplandeciente"
"specials.name.gloom_grenades","Granadas tristes"
"specials.name.gloomy_tune","Melodía triste"
"specials.name.glorious_grace","Honra gloriosa"
"specials.name.glutinous_execution","Ejecución pegajosa"
"specials.name.gnomish_carnage","Masacre de gnomo"
"specials.name.goat_rush","Estampida de cabras"
"specials.name.goblin_explosives","Explosivos de duende"
"specials.name.goblin_serenade","Serenata de duende"
"specials.name.god_of_the_underworld","Ataque del inframundo"
"specials.name.gold_gauntlet","Guantelete de oro"
"specials.name.gold_rush","Fiebre del oro"
"specials.name.gold_weaver","Tejedora de oro"
"specials.name.golden_aura","Aura dorada"
"specials.name.golden_cicada","Cigarra dorada"
"specials.name.golden_sacred_symbol","Símbolo dorado sagrado"
"specials.name.golden_thread","Sogas doradas"
"specials.name.golem_crusher","Aplastagólems"
"specials.name.goodnight_lullaby","Nana de buenas noches"
"specials.name.gooey_rose","Rosa viscosa"
"specials.name.gorging_bite_yellow","Mordisco empachado"
"specials.name.gorging_chew_blue","Mordisco de atiborramiento"
"specials.name.gorging_chew_green","Mordisco de atiborramiento"
"specials.name.gorging_chew_purple","Mordisco de atiborramiento"
"specials.name.gorging_chew_red","Mordisco de atiborramiento"
"specials.name.gorging_chew_yellow","Mordisco de atiborramiento"
"specials.name.gorgyra","Fortaleza de valkiria"
"specials.name.grab_and_run","Hurto con fuga"
"specials.name.graceful_shot","Tiro elegante"
"specials.name.graceless_ritual","Ritual descortés"
"specials.name.grand_heist","Gran robo"
"specials.name.great_frost_axe","Gran hacha de escarcha"
"specials.name.great_frost_hoe","Gran azada de escarcha"
"specials.name.greed_and_bribery","Avaricia y soborno"
"specials.name.greedy_munch_red","Codicia glotona"
"specials.name.green_dragon_crescent_blade","Filo de medialuna del dragón verde"
"specials.name.green_dragon_inferno","Filo infernal del dragón verde"
"specials.name.green_sparks_dragon_pve","Chispas verdes"
"specials.name.greeting_of_the_sun","Saludo del sol"
"specials.name.grim_awakening","Macabro despertar"
"specials.name.grimoire_skim","Página del grimorio"
"specials.name.grips_of_longing","Puñales del deseo"
"specials.name.grips_of_longing_pve","Puñales del deseo"
"specials.name.grove_splash_dragon_pve","Salpicadura de arboleda"
"specials.name.gruesome_charge","Embestida cruel"
"specials.name.guard_the_garden","Protección del huerto"
"specials.name.guardian_armor","Armadura de guardián"
"specials.name.guardians_retaliation","Represalias protectoras"
"specials.name.guarding_tunes","Melodías protectoras"
"specials.name.guiding_arrow","Flecha guía"
"specials.name.gust_of_restoration","Ráfaga de restauración"
"specials.name.gust_of_swiftness","Ráfaga de velocidad"
"specials.name.hack_and_slash","Cortar y rajar"
"specials.name.hacking_attack","Ataque a machete"
"specials.name.hailstone_glare_dragon_pve","Brillo de granizo"
"specials.name.hailstorm","Granizada"
"specials.name.halflings_wisdom","Ingenio de mediano"
"specials.name.halflings_wit","Ingenio del mediano"
"specials.name.hallowed_blade","Espada sagrada"
"specials.name.halting_counter_strike","Contragolpe vacilante"
"specials.name.hammer_thump","Martillazo"
"specials.name.harmonic_bash","Ataque armónico"
"specials.name.harmonic_slam","Golpe armónico"
"specials.name.harpoon_sentry","Centinela con arpón"
"specials.name.harpy_claw","Zarpa puntiaguda"
"specials.name.harrow_the_heart","Corazón torturado"
"specials.name.hasty_gift_wrapper","Envoltorio de regalo apresurado"
"specials.name.hasty_trigger_finger","Gatillo veloz"
"specials.name.have_curiosity","Atisbo de esperanza"
"specials.name.have_faith","Ruego de fe"
"specials.name.haze_of_the_deceased","Neblina de los caídos"
"specials.name.head_hurl","Lanzamiento de cabeza"
"specials.name.healing_chant","Canto de sanación"
"specials.name.healing_fire_spirits","Espíritus de fuego curativos"
"specials.name.healing_gift","Curación inconsciente"
"specials.name.healing_gift_anteros","Curación inconsciente"
"specials.name.healing_gift_kabeiroi","Curación inconsciente"
"specials.name.healing_mirror","Espejo sanador"
"specials.name.healthiest_catch","Pesca más que saludable"
"specials.name.hearty_stew","Estofado hogareño"
"specials.name.heatstinger","Punzada ígnea"
"specials.name.heavy_fragrance","Fragancia pesada"
"specials.name.heedless_hammer_flurry","Ráfaga de martillazos negligentes"
"specials.name.heirloom_dagger","Daga reliquia"
"specials.name.helping_hands","Mano amiga"
"specials.name.hemlock_tea","Té de cicuta"
"specials.name.herbal_remedies","Remedios naturales"
"specials.name.herculean_throw","Lanzamiento hercúleo"
"specials.name.herd_stampede","Estampida"
"specials.name.here_catch","¡Toma, coge!"
"specials.name.heretic_slayer","Hereje homicida"
"specials.name.heroic_noble","Lanzamiento de tridente"
"specials.name.heroic_noble_deadly","Lanzamiento de tridente"
"specials.name.herring_blaster","Arrojaarenques"
"specials.name.herring_surprise","Sorpresa de arenques"
"specials.name.hide_in_shadows","Oculto en las sombras"
"specials.name.high_altitude_ambush","Emboscada a gran altitud"
"specials.name.high_energy_field","Campo de alta energía"
"specials.name.high_noon_sun","Sol de mediodía"
"specials.name.holding_down_the_fort","Vigilancia del fuerte"
"specials.name.hollow_boast","Alardeo"
"specials.name.holy_aura","Halo sagrado"
"specials.name.holy_guard","Guardia sagrada"
"specials.name.holy_hibiscus_ale","Cerveza de hibisco sagrado"
"specials.name.holy_mark","Marca sagrada"
"specials.name.holy_splash","Salpicadura sagrada"
"specials.name.home_run","«Home run»"
"specials.name.horn_attack","Ataque de astas"
"specials.name.horrifying_wail","Llanto horripilante"
"specials.name.horses_curse","Brisa arenosa"
"specials.name.hoverboard_crash","Choque con aeropatín"
"specials.name.hoverboard_slam","Golpe con aeropatín"
"specials.name.howling_sword","Espada aullante"
"specials.name.hues_of_love","Facetas del amor"
"specials.name.hungering_grave","Tumba hambrienta"
"specials.name.hunt_for_prey","Cacería de la presa"
"specials.name.hunters_instinct","Instinto de caza"
"specials.name.hunters_mark","Marca del cazador"
"specials.name.hunters_true_shot","Precisión de caza"
"specials.name.hunting_ballad","Balada de caza"
"specials.name.hunting_charge","Embate de caza"
"specials.name.hydra_bite","Mordisco de hidra"
"specials.name.hymn_of_enrichment","Himno del enriquecimiento"
"specials.name.hyper_porridge","Hipergachas"
"specials.name.hyperborean_hook","Señuelo hiperbóreo"
"specials.name.hypersonic_tackle","Placaje hipersónico"
"specials.name.hypnosis_dragon_pve","Hipnosis"
"specials.name.ice_and_slice","Tajos helados"
"specials.name.ice_boom","Bomba gélida"
"specials.name.ice_cold_order","Orden gélida"
"specials.name.ice_cream_smash","Aplastamiento de helado"
"specials.name.ice_treatment","Tratamiento de hielo"
"specials.name.iceberg_aura","Aura de iceberg"
"specials.name.iceberg_crush","Choque de iceberg"
"specials.name.iceberg_havoc","Estragos de iceberg"
"specials.name.icebound_howl","Aullido gélido"
"specials.name.icebound_ritual","Ritual gélido"
"specials.name.icecold_finisher","Rematador del hielo"
"specials.name.icehammer_smash","Rotura martillo de hielo"
"specials.name.iceshatter","Rotura de hielo"
"specials.name.icy_axes","Hachas de hielo"
"specials.name.icy_mandibles","Mandíbula de hielo"
"specials.name.icy_resilience","Resiliencia helada"
"specials.name.ill_bring_you_back","Te traeré de vuelta"
