"heroes.name_fancy.astral_cosmicspeaker","Elfa astral astrónoma"
"heroes.name_fancy.faun_gideon","Comandante fauno valeroso"
"heroes.name_fancy.faun_isidore","Campeón fauno carismático"
"heroes.name_fancy.faun_jolyon","Pintor fauno detallista"
"heroes.name_fancy.faun_maud","Alquimista fauno ambiciosa"
"heroes.name_fancy.faun_myrtle","Herborista fauno silvestre"
"heroes.name_fancy.faun_peregrine","Explorador fauno temerario"
"heroes.name_fancy.faun_philomena","Trovadora fauno hipnotizante"
"heroes.name_fancy.faun_saskia","Bailarina fauno de pies ágiles"
"heroes.name_fancy.faun_tamlin","Flautista fauno tétrico"
"heroes.name_fancy.faun_verity","Comerciante fauno misteriosa"
"heroes.name_fancy.faun_yolanda","Pitonisa fauno encarnada"
"heroes.name_fancy.faun_ysabel","Gladiadora fauno intrépida"
"heroes.name_fancy.fire_god_andre","Templario traicionado"
"heroes.name_fancy.fire_god_anzogh","Chamán con rencor"
"heroes.name_fancy.fire_god_ares","Deidad de la guerra"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Ama de llaves beligerante"
"heroes.name_fancy.fire_god_doom","Druida manchado de sangre"
"heroes.name_fancy.fire_god_doom_costume_avenger","Vengadora ardiente"
"heroes.name_fancy.fire_god_eliane","Maga roja experta"
"heroes.name_fancy.fire_god_jean_francois","Mago mosquetero"
"heroes.name_fancy.fire_god_maple","Hada de los bosques otoñales"
"heroes.name_fancy.fire_god_nadnog","El sanador impetuoso"
"heroes.name_fancy.fire_god_natalya","Hechicera nacida del fuego"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Costurera nacida del fuego"
"heroes.name_fancy.fire_god_neema","Maga ígnea"
"heroes.name_fancy.fire_god_noor","Susurradora de gorriones"
"heroes.name_fancy.fire_god_reuben","Ocultista jurado"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Equipo inseparable"
"heroes.name_fancy.fire_god_russell","Pirómano enfurecido"
"heroes.name_fancy.fire_god_skargremar","Retaguardia pionera"
"heroes.name_fancy.fire_god_tahir","Cazador nómada"
"heroes.name_fancy.fire_god_yang_mai","Puño solar"
"heroes.name_fancy.fire_god_zagrog","Rebelde solitario"
"heroes.name_fancy.fire_god_zarga","Puñales veloces"
"heroes.name_fancy.fire_god_zidane","Corsario cautivador"
"heroes.name_fancy.fire_god_zimkitha","Hija perdida hace tiempo"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Aventurera perdida hace tiempo"
"heroes.name_fancy.fleur_elyzabel","Condesa sanguinaria"
"heroes.name_fancy.fleur_eumachius","Vástago sanguinario"
"heroes.name_fancy.fleur_guillemette","Cruzada sanguinaria"
"heroes.name_fancy.fleur_lavinia","Idealista sanguinaria"
"heroes.name_fancy.fleur_ludovico","Ayudante sanguinario"
"heroes.name_fancy.fleur_talesie","Asesino sanguinario"
"heroes.name_fancy.forest_archer","Arquero con talento"
"heroes.name_fancy.forest_archer_costume_cute","Arquero de caricatura"
"heroes.name_fancy.forest_archer_costume_glass","Arquero de cristal"
"heroes.name_fancy.forest_archer_costume_warrior","Arquero diestro"
"heroes.name_fancy.forest_female_druid","Druida de Rathwood"
"heroes.name_fancy.forest_female_druid_costume_cute","Caricatura de Rathwood"
"heroes.name_fancy.forest_female_druid_costume_glass","Vidriera de Rathwood"
"heroes.name_fancy.forest_female_druid_costume_native","Chamán de Concordia"
"heroes.name_fancy.forest_female_druid_costume_stylish","Druida elegante"
"heroes.name_fancy.forest_female_elf","Maestra del escudo de la luna"
"heroes.name_fancy.forest_female_elf_costume_cute","Maestra del escudo de caricatura"
"heroes.name_fancy.forest_female_elf_costume_fairy","Hada lunar"
"heroes.name_fancy.forest_female_elf_costume_glass","Maestra del escudo de cristal"
"heroes.name_fancy.forest_female_elf_costume_mage","Sacerdotisa de la luna"
"heroes.name_fancy.forest_female_illusionist","Encantador de plantas"
"heroes.name_fancy.forest_female_spirit","Espíritu del claro"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Espíritu de la arboleda"
"heroes.name_fancy.forest_female_spirit_costume_cute","Espíritu de caricatura"
"heroes.name_fancy.forest_female_spirit_costume_glass","Espíritu de cristal"
"heroes.name_fancy.forest_female_spirit_costume_stylish","Espíritu elegante"
"heroes.name_fancy.forest_female_warrior","Chica de la aldea"
"heroes.name_fancy.forest_friar","Hermano alegre"
"heroes.name_fancy.forest_friar_costume_cute","Caricatura alegre"
"heroes.name_fancy.forest_friar_costume_explorer","Explorador alegre"
"heroes.name_fancy.forest_friar_costume_glass","Vidriera alegre"
"heroes.name_fancy.forest_god_elinor","Cazador de tesoros"
"heroes.name_fancy.forest_god_elradir","Brujo salvaje del bosque lunar"
"heroes.name_fancy.forest_god_evelyn","Heredera valiente"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Cazadora valiente"
"heroes.name_fancy.forest_god_grace","Cervitáuride de la arboleda"
"heroes.name_fancy.forest_god_gregorion","Arquero erudito"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Alquimista ermitaño"
"heroes.name_fancy.forest_god_kingston","El asesino noble"
"heroes.name_fancy.forest_god_oberon","Campeón de Seelie"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Caballero del roble eterno"
"heroes.name_fancy.forest_god_telluria","Dios del bosque"
"heroes.name_fancy.forest_god_zeline","Celestial de naturaleza"
"heroes.name_fancy.forest_god_zeline_costume_avian","Celestial aviar"
"heroes.name_fancy.forest_god_zocc","Maestro de las llaves"
"heroes.name_fancy.forest_mage","Sabiduría del bosque"
"heroes.name_fancy.forest_mage_costume_cute","Brujo de caricatura"
"heroes.name_fancy.forest_mage_costume_glass","Vidriera del bosque"
"heroes.name_fancy.forest_mage_costume_party","Mago fiestero"
"heroes.name_fancy.forest_mage_costume_stylish","Mago elegante"
"heroes.name_fancy.forest_mage_costume_white","Mago poderoso"
"heroes.name_fancy.forest_male_elf","Maestro de la lanza de la luna"
"heroes.name_fancy.forest_male_elf_costume_cute","Maestro de la lanza de caricatura"
"heroes.name_fancy.forest_male_elf_costume_dark","Conquistador de la luna"
"heroes.name_fancy.forest_male_elf_costume_glass","Maestro de la lanza de cristal"
"heroes.name_fancy.forest_male_elf_costume_king","Rey lunar"
"heroes.name_fancy.forest_male_elf_costume_stylish","Maestro de la lanza con estilo"
"heroes.name_fancy.forest_thug","Matón mercenario"
"heroes.name_fancy.forest_titan","Antigüedad de los bosques"
"heroes.name_fancy.forest_titan_costume_cute","Caricatura de los bosques"
"heroes.name_fancy.forest_titan_costume_glass","Vidriera de los bosques"
"heroes.name_fancy.forest_titan_costume_jester","Bufón de madera"
"heroes.name_fancy.forest_titan_costume_nightmare","Pesadilla del bosque"
"heroes.name_fancy.forest_woodsman","Leñador sencillo"
"heroes.name_fancy.forest_woodsman_warrior","Hermano poderoso"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Hermano sigiloso"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Caricatura formidable"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Vidriera formidable"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Montañés formidable"
"heroes.name_fancy.forsaken_amarosa","Emperatriz del dominio exterior"
"heroes.name_fancy.forsaken_cassilda","Archisacerdotisa fervorosa"
"heroes.name_fancy.forsaken_demhalar","Morador extraño"
"heroes.name_fancy.forsaken_inanis","La Desatada"
"heroes.name_fancy.forsaken_jax","Hincha ferviente"
"heroes.name_fancy.forsaken_kadath","Clérigo maldito"
"heroes.name_fancy.forsaken_khatrox","Matón de plaga"
"heroes.name_fancy.forsaken_lamentia","Sierva del abismo"
"heroes.name_fancy.fortune_bai_yan","Tamborilera de la danza de león"
"heroes.name_fancy.fortune_dragon_kids","La nueva generación de bailarines del dragón"
"heroes.name_fancy.fortune_ling_long","Bailarina del dragón joven"
"heroes.name_fancy.fortune_wei_qi","Bailarín de león de nieve"
"heroes.name_fancy.fortune_yan_qing","Bailarín del dragón con farol"
"heroes.name_fancy.fox_ashen","Zorro de espalda plateada"
"heroes.name_fancy.fox_ember","Zorra invocafuegos"
"heroes.name_fancy.fox_foxglove","Zorro orejudo taimado"
"heroes.name_fancy.fox_foxley","Zorro forajido"
"heroes.name_fancy.fox_halcyon","Zorra centinela"
"heroes.name_fancy.fox_nettletail","Zorra protectora del claro"
"heroes.name_fancy.fox_nibbles","Zorrezno hambriento"
"heroes.name_fancy.fox_riverfang","Zorro Corsac brujo"
"heroes.name_fancy.fox_rust","Zorro rojo guardián"
"heroes.name_fancy.fox_sable","Princesa perdida de los zorros"
"heroes.name_fancy.fox_shadowfang","Zorra de las arenas coleccionista de huesos"
"heroes.name_fancy.fox_silverpaw","Fénec pirata"
"heroes.name_fancy.fox_spiff","Zorro caballero real"
"heroes.name_fancy.fox_swiftpaw","Zorra plateada asesina"
"heroes.name_fancy.fox_whitefang","Zorro ártico guardabosques"
"heroes.name_fancy.gargoyle_arco","Gárgola firme"
"heroes.name_fancy.gargoyle_bellerive","Gárgola malvada"
"heroes.name_fancy.gargoyle_betty","Gárgola ágil"
"heroes.name_fancy.gargoyle_budatin","Gárgola despiadada"
"heroes.name_fancy.gargoyle_el_duque","Gárgola sublime"
"heroes.name_fancy.gargoyle_gaillard","Gárgola astuta"
"heroes.name_fancy.gargoyle_garten","Gárgola juerguista"
"heroes.name_fancy.gargoyle_goseck","Gárgola pérfida"
"heroes.name_fancy.gargoyle_grumbl","Gárgola sabia"
"heroes.name_fancy.gargoyle_guffa","Gárgola estoica"
"heroes.name_fancy.gargoyle_hilda","Gárgola audaz"
"heroes.name_fancy.gargoyle_hohenwerf","Gárgola feroz"
"heroes.name_fancy.gargoyle_kalo","Gárgola aberrante"
"heroes.name_fancy.gargoyle_kemeny","Gárgola inflexible"
"heroes.name_fancy.gargoyle_matrera","Gárgola sombría"
"heroes.name_fancy.gargoyle_mena","Gárgola certera"
"heroes.name_fancy.gargoyle_penolite","Gárgola implacable"
"heroes.name_fancy.gargoyle_pophit","Gárgola talentosa"
"heroes.name_fancy.gargoyle_soroca","Gárgola furiosa"
"heroes.name_fancy.gargoyle_uwe","Gárgola peluda"
"heroes.name_fancy.gargoyle_vincent","Gárgola asustada"
"heroes.name_fancy.gargoyle_vonreine","Gárgola ardiente"
"heroes.name_fancy.garrison_archibald","Contramaestre perturbador"
"heroes.name_fancy.garrison_beatrice","Intendente sargento"
"heroes.name_fancy.garrison_caelen","Poeta pensativo"
"heroes.name_fancy.garrison_ciara","Comandante exigente"
"heroes.name_fancy.garrison_dima","Cuidador de puercos"
"heroes.name_fancy.garrison_fergus","Oficial sereno"
"heroes.name_fancy.garrison_flamehide","Tahúr lagarto"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Sargento con calle"
"heroes.name_fancy.garrison_frostsnout","Portabanderas lagarto"
"heroes.name_fancy.garrison_godfrey","Guarda charlatán"
"heroes.name_fancy.garrison_greg","Maestro del licor"
"heroes.name_fancy.garrison_iarlaith","Espadachín con estilo"
"heroes.name_fancy.garrison_iocantha","Maestra de armas"
"heroes.name_fancy.garrison_kolya","Centinela impasible"
"heroes.name_fancy.garrison_maisie","La mampostera feliz"
"heroes.name_fancy.garrison_pip","Mensajero inquieto"
"heroes.name_fancy.garrison_rosalind","Capitana alegre"
"heroes.name_fancy.garrison_shimmerscale","Vigilante lagarto"
"heroes.name_fancy.garrison_theodosius","Cabo audaz"
"heroes.name_fancy.garrison_vanya","Zapador leal"
"heroes.name_fancy.garrison_violet_potts","Mediana despreocupada"
"heroes.name_fancy.garrison_william","Sereno nervioso"
"heroes.name_fancy.goblin_acidfire","Duende nigromante"
"heroes.name_fancy.goblin_archer","Cazador ágil"
"heroes.name_fancy.goblin_boom_and_fang","Dúo de insensatos"
"heroes.name_fancy.goblin_boots","Guardia despistado"
"heroes.name_fancy.goblin_darkfeather","Adiestrador de águilas experto"
"heroes.name_fancy.goblin_deadboot","Sectario duende"
"heroes.name_fancy.goblin_fighter","Carterista"
"heroes.name_fancy.goblin_fighter_costume_cute","Caricatura del Carterista"
"heroes.name_fancy.goblin_fighter_costume_evil","El Implacable"
"heroes.name_fancy.goblin_fighter_costume_glass","Carterista de cristal"
"heroes.name_fancy.goblin_fizzcoil","Duende violinista itinerante"
"heroes.name_fancy.goblin_goldie","Belleza duende"
"heroes.name_fancy.goblin_grimsteel","Ermitaño de la montaña congelada"
"heroes.name_fancy.goblin_kettle","Alquimista culinaria"
"heroes.name_fancy.goblin_leafwizzle","Encantador de bestias"
"heroes.name_fancy.goblin_madhammer","Matona duende"
"heroes.name_fancy.goblin_mage","Bruja del pantano"
"heroes.name_fancy.goblin_mage_costume_candy","Bruja golosa"
"heroes.name_fancy.goblin_mage_costume_cute","Bruja de caricatura"
"heroes.name_fancy.goblin_mage_costume_glass","Bruja de cristal"
"heroes.name_fancy.goblin_mage_costume_stylish","Bruja elegante"
"heroes.name_fancy.goblin_mage_costume_toad","Bruja sapo"
"heroes.name_fancy.goblin_pepperflame","Duende flautista de renombre"
"heroes.name_fancy.goblin_ratgrub","Duende enamorado de las ratas"
"heroes.name_fancy.goblin_rocket","Experto en demoliciones"
"heroes.name_fancy.goblin_scrollbeast","Jinete de jabalíes jubilado"
"heroes.name_fancy.goblin_smarttongue","Trovadora duende"
"heroes.name_fancy.goblin_soursting","Duende asesino arrogante"
"heroes.name_fancy.guardian_bat","Pesadilla de Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Guerrero de Teltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Pantera feroz"
"heroes.name_fancy.guardian_chameleon","Elementalista de Teltoc"
"heroes.name_fancy.guardian_elephant","Arquero maestro de Teltoc"
"heroes.name_fancy.guardian_falcon_priest","Sacerdote de Teltoc"
"heroes.name_fancy.guardian_gazelle","Druida de Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Combatiente veloz de Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain","Jefe de tribu de Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Conquistador Kong"
"heroes.name_fancy.guardian_hippo","Salvaje de Teltoc"
"heroes.name_fancy.guardian_jackal_assassin","Asesino de Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Coleccionista de huesos de Teltoc"
"heroes.name_fancy.guardian_lemur","Manitas de Teltoc"
"heroes.name_fancy.guardian_owl_gentleman","Guardián de élite de Teltoc"
"heroes.name_fancy.halloween_alucard","Vástago vampírico"
"heroes.name_fancy.halloween_alucard_costume_mafia","Mente criminal de los vampiros"
"heroes.name_fancy.halloween_amber","Guerrera de sangre vampírica"
"heroes.name_fancy.halloween_ana_belle","Asistenta de Morlovia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Baronesa del polvo"
"heroes.name_fancy.halloween_chester","Fantasma de poco amigos"
"heroes.name_fancy.halloween_edwin","Mayordomo sagaz"
"heroes.name_fancy.halloween_edwin_costume_mafia","Mayordomo traicionero"
"heroes.name_fancy.halloween_francine","La abominación"
"heroes.name_fancy.halloween_francine_costume_mafia","La mafiosa"
"heroes.name_fancy.halloween_frank","El monstruo"
"heroes.name_fancy.halloween_frank_costume_mafia","El mafioso"
"heroes.name_fancy.halloween_goopy","Baba gelatinosa"
"heroes.name_fancy.halloween_hortensia","Criador de atrapamoscas"
"heroes.name_fancy.halloween_jack","Trovador calabaza"
"heroes.name_fancy.halloween_lucinda","Portadora de la Excaliescoba"
"heroes.name_fancy.halloween_matilda","Repostera profana"
"heroes.name_fancy.halloween_miriam_and_midnight","Pareja mística"
"heroes.name_fancy.halloween_vanda","Reina vampira"
"heroes.name_fancy.halloween_vanda_costume_mafia","Reina del crimen"
"heroes.name_fancy.halloween_wayne","Gran mago de Morlovia"
"heroes.name_fancy.hidden_dark_god_myztero","Acertijo replicante de hechizo"
"heroes.name_fancy.holy_god_aurox","Berserker radiante"
"heroes.name_fancy.holy_god_aviana","Comandante halconera"
"heroes.name_fancy.holy_god_bai_yeong","Bailarín de las espadas"
"heroes.name_fancy.holy_god_celidana","Líder del clero sagrado"
"heroes.name_fancy.holy_god_delilah","Heroína de la Isla olvidada"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Guardiana del templo celestial"
"heroes.name_fancy.holy_god_devana","Cazadora obstinada"
"heroes.name_fancy.holy_god_drake_lee","Maestro de las artes marciales"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Luchador sereno"
"heroes.name_fancy.holy_god_faeona","Maga blanca elfa"
"heroes.name_fancy.holy_god_gilda","Guía de la luz enana"
"heroes.name_fancy.holy_god_gilligan","Aventurero quijotesco"
"heroes.name_fancy.holy_god_hanitra","Diosa lemuria"
"heroes.name_fancy.holy_god_ithar","Ladrona virtuosa"
"heroes.name_fancy.holy_god_kara","Defensora sagrada"
"heroes.name_fancy.holy_god_malosi","Campeón reinante"
"heroes.name_fancy.holy_god_may","Recolectora feliz"
"heroes.name_fancy.holy_god_musashi","Ronin invencible"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Escapista"
"heroes.name_fancy.holy_god_neith","Abridor de caminos"
"heroes.name_fancy.holy_god_onatel","Vidente ciega"
"heroes.name_fancy.holy_god_ranvir","Centauro sagrado"
"heroes.name_fancy.holy_god_uraeus","Visir arcano"
"heroes.name_fancy.holy_god_zora","Caballera de la rosa"
"heroes.name_fancy.ice_god_alexandrine","Escudo contra la injusticia"
"heroes.name_fancy.ice_god_areax","Maga de hielo centauro"
"heroes.name_fancy.ice_god_athena","Celestial de hielo"
"heroes.name_fancy.ice_god_athena_costume_cute","Celestial de hielo de caricatura"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Diosa de la guerra"
"heroes.name_fancy.ice_god_balur","Gladiador feroz"
"heroes.name_fancy.ice_god_callum","Rastreador implacable"
"heroes.name_fancy.ice_god_claeg","Curandero maldito"
"heroes.name_fancy.ice_god_dvalin","Combatiente de las nieves"
"heroes.name_fancy.ice_god_eskimo","Cazadora de gigantes de hielo"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Campeona entre icebergs"
"heroes.name_fancy.ice_god_frida","Amenaza ártica"
"heroes.name_fancy.ice_god_frosth","Heraldo del invierno"
"heroes.name_fancy.ice_god_glenda","Madrina mágica"
"heroes.name_fancy.ice_god_iris","Disipadora experta"
"heroes.name_fancy.ice_god_klaern","Hechicero de escarcha"
"heroes.name_fancy.ice_god_mene","Reina de la noche feérica"
"heroes.name_fancy.ice_god_miki","Matabestias heladas"
"heroes.name_fancy.ice_god_nerasis","Muerte silenciosa"
"heroes.name_fancy.ice_god_october","Montañés congelado"
"heroes.name_fancy.ice_god_october_costume_farmer","Granjero congelado"
"heroes.name_fancy.ice_god_perseus","Hijo de Zeus"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Duelista de Bóreas"
"heroes.name_fancy.ice_god_raffaele","Médium tranquilo"
"heroes.name_fancy.ice_god_sini","Conjuradora celeste"
"heroes.name_fancy.ice_god_suzuna","Hechicera icono de la moda"
"heroes.name_fancy.ice_god_vela","Conjurador acuático"
"heroes.name_fancy.institute_azureus","Estratega aetérico"
"heroes.name_fancy.institute_ellery","Bióloga aberrante"
"heroes.name_fancy.institute_emilie","Exploradora del mundo liminal"
"heroes.name_fancy.institute_piper","Sicaria curiosa"
"heroes.name_fancy.institute_professor_ambrose","Director del instituto"
"heroes.name_fancy.institute_professor_morryster","Erudito enmascarado"
"heroes.name_fancy.institute_ryleh","Ayudante de archivo"
"heroes.name_fancy.institute_wilcox","Físico célebre"
"heroes.name_fancy.institute_zenas","Mineralogista experto"
"heroes.name_fancy.journey_change","Elegida por la luz lunar"
"heroes.name_fancy.journey_erlang_shen","Dios guerrero del cielo"
"heroes.name_fancy.journey_general_yin","General demonio cambiaformas"
"heroes.name_fancy.journey_heifeng_guai","Demonio del viento negro"
"heroes.name_fancy.journey_nineheaded_beast","Príncipe consorte de nueve cabezas"
"heroes.name_fancy.journey_queen_guowang","Belleza incomparable"
"heroes.name_fancy.journey_sha_wujing","Monje de arena"
"heroes.name_fancy.journey_tang_sanzang","Gran misterio del río"
"heroes.name_fancy.journey_xie_zi_jing","Demonio escorpión"
"heroes.name_fancy.journey_xiong_shanjun","Señor de la montaña del oso"
"heroes.name_fancy.journey_xiwangmu","Reina madre"
"heroes.name_fancy.kalevala_aino","Doncella veraniega"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Doncella del lago"
"heroes.name_fancy.kalevala_iku_turso","Bestia de las profundidades"
"heroes.name_fancy.kalevala_ilmarinen","Herrero experto"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Artesano experto"
"heroes.name_fancy.kalevala_joukahainen","Cazador feroz"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Cazador congelado"
"heroes.name_fancy.kalevala_kullervo","Hijo vengativo"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Hijo con cicatrices de batalla"
"heroes.name_fancy.kalevala_lemminkainen","Campeón zombi"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Campeón desvanecido"
"heroes.name_fancy.kalevala_louhi","Bruja del norte"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Dama del norte"
"heroes.name_fancy.kalevala_mielikki","Espíritu del bosque"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Protectora de los osos"
"heroes.name_fancy.kalevala_mother_lemminkainen","Salvadora del campeón"
"heroes.name_fancy.kalevala_otso","Caminante de las estepas"
"heroes.name_fancy.kalevala_para","Familiar doméstico"
"heroes.name_fancy.kalevala_suomuhauki","Lucio descomunal"
"heroes.name_fancy.kalevala_ukkonen","Pariente maldito de Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Pariente infernal de Väinämöinen"
"heroes.name_fancy.kalevala_vainamoinen","Trovador eterno"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Sabio eterno"
"heroes.name_fancy.kingdom_cao_cao","Señor de la guerra de Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Señor de la guerra de hielo"
"heroes.name_fancy.kingdom_diaochan","Belleza deslumbrante"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Belleza en flor"
"heroes.name_fancy.kingdom_guan_yu","General valeroso"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","General infernal"
"heroes.name_fancy.kingdom_jing","Soldado raso de Shu"
"heroes.name_fancy.kingdom_li","Soldado raso de Wu"
"heroes.name_fancy.kingdom_liu_bei","Señor de la guerra de Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Señor de la guerra del bosque"
"heroes.name_fancy.kingdom_lu_bu","Señor de la guerra iracundo"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Señor de la guerra tigre iracundo"
"heroes.name_fancy.kingdom_sun_quan","Señor de la guerra de Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Señor de la guerra de fortuna"
"heroes.name_fancy.kingdom_sun_shangxiang","Combatiente noble"
"heroes.name_fancy.kingdom_wang_yuanji","Noble amable"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Calígrafa amable"
"heroes.name_fancy.kingdom_xiahou_dun","Comandante tuerto"
"heroes.name_fancy.kingdom_yao","Soldado raso de Wei"
"heroes.name_fancy.kingdom_zhang_fei","General despiadado"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","General oso despiadado"
"heroes.name_fancy.kingdom_zhou_yu","Comandante joven"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Comandante cuervo"
"heroes.name_fancy.kingdom_zhuge_liang","Estratega experto"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Estratega supremo"
"heroes.name_fancy.knights_bauchan","Diablillo de Avalon"
"heroes.name_fancy.knights_black_knight","Terror de Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Caballero negativo"
"heroes.name_fancy.knights_gawain","Caballero celeste"
"heroes.name_fancy.knights_green_knight","Duelista de Avalon"
"heroes.name_fancy.knights_guinevere","Reina de Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Jinete de dragón de Avalon"
"heroes.name_fancy.knights_king_arthur","Rey de Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Bruja de Avalon"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Dama espadachina"
"heroes.name_fancy.knights_merlin","Brujo de Avalon"
"heroes.name_fancy.knights_merlin_costume_astrology","Astromante de Avalon"
"heroes.name_fancy.knights_morgan_le_fay","Hechicera de Avalon"
"heroes.name_fancy.knights_sir_lancelot","Caballero de Avalon"
"heroes.name_fancy.knights_treevil","Maligno de Avalon"
"heroes.name_fancy.lionman_barbarian","El último de Leors"
"heroes.name_fancy.lionman_barbarian_costume_armor","Rey de Leors"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Canguro leor"
"heroes.name_fancy.lionman_barbarian_costume_cute","Leor de caricatura"
"heroes.name_fancy.lionman_barbarian_costume_glass","Leor de cristal"
"heroes.name_fancy.lionman_barbarian_costume_stylish","Leor con estilo"
"heroes.name_fancy.lizardman_trapper","Jefe de tribu lagarto"
"heroes.name_fancy.lizardman_trapper_costume_cute","Jefe de tribu de caricatura"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Pescador lagarto"
"heroes.name_fancy.lizardman_trapper_costume_glass","Jefe de tribu de cristal"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Anciano lagarto"
"heroes.name_fancy.lizardman_warrior","Luchador lagarto"
"heroes.name_fancy.lizardman_warrior_costume_cute","Luchador de caricatura"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Ancestro lagarto"
"heroes.name_fancy.lizardman_warrior_costume_glass","Luchador de cristal"
"heroes.name_fancy.lunar_new_year_baishu","Rata acróbata lunar"
"heroes.name_fancy.lunar_new_year_gongniu","Buey guardián lunar"
"heroes.name_fancy.lunar_new_year_hongyunxing","Caballo itinerante lunar"
"heroes.name_fancy.lunar_new_year_laohu","Tigre peleón lunar"
"heroes.name_fancy.lunar_new_year_laohu_costume_golden","Tigre de la suerte lunar"
"heroes.name_fancy.lunar_new_year_qinglong","Dragón estratega lunar"
"heroes.name_fancy.lunar_new_year_xiaoqing","Serpiente música lunar"
"heroes.name_fancy.lunar_new_year_xiaotu","Coneja protectora lunar"
"heroes.name_fancy.lunar_new_year_xiaotu_costume_golden","Conejo del farol lunar"
"heroes.name_fancy.magic_agrafena","Superintendente suprema"
"heroes.name_fancy.magic_agrafena_costume_dark","Hechicera oscura suprema"
"heroes.name_fancy.magic_anastasia","Aprendiz de invocadora"
"heroes.name_fancy.magic_anton","Joven erudito"
"heroes.name_fancy.magic_becky","Conjuradora estelar"
"heroes.name_fancy.magic_becky_costume_gothic","Conjuradora crepuscular"
"heroes.name_fancy.magic_camilla","Chatarrera arcana"
"heroes.name_fancy.magic_camilla_costume_flower","Chatarrera floral"
"heroes.name_fancy.magic_carpet_agadh","Asesino de la alfombra mágica"
"heroes.name_fancy.magic_carpet_amelia","Aviadora mágica"
"heroes.name_fancy.magic_carpet_bart","Velocista de alfombras mágicas"
"heroes.name_fancy.magic_carpet_bertha","Tejedora de alfombras mágicas"
"heroes.name_fancy.magic_carpet_crustee","Genio del laboratorio mágico"
"heroes.name_fancy.magic_carpet_elyssa","Sibarita de alfombras mágicas"
"heroes.name_fancy.magic_carpet_jwala","Chica de lava mágica"
"heroes.name_fancy.magic_carpet_kesha","Encantadora de Al-Layl"
"heroes.name_fancy.magic_carpet_lando","Encantador de alfombras mágicas"
"heroes.name_fancy.magic_carpet_lilli","Dama felina de alfombras mágicas"
"heroes.name_fancy.magic_carpet_manpip","Piloto impaciente de alfombras mágicas"
"heroes.name_fancy.magic_carpet_naeem","Náufrago de alfombras mágicas"
