"specials.name.a_cozy_break","Een gezellige pauze"
"specials.name.disquieting_tune","Verontrustend deuntje"
"specials.name.disrupting_charge","Verstorende lading"
"specials.name.disrupting_charge_costume_tiger_lord","Verwoestende lading"
"specials.name.divine_connection","Goddelijke connectie"
"specials.name.divine_current","Goddelijke stroom"
"specials.name.divine_light1","Goddelijk licht"
"specials.name.divine_lunge","Goddelijke uitval"
"specials.name.divine_protection","Goddelijke bescherming"
"specials.name.divine_protection_deadly","Goddelijke bescherming"
"specials.name.divine_reflection","Goddelijke reflectie"
"specials.name.divine_reversal","Goddelijke omkering"
"specials.name.dizzying_strike","Duizelingwekkende aanval"
"specials.name.donut_to_the_rescue","Reddende donut!"
"specials.name.doomrend","Doomrend"
"specials.name.doomstrike","Doemslag"
"specials.name.double_flail_mayhem","Dubbele vlegelchaos"
"specials.name.double_strike","Dubbele aanval"
"specials.name.doublebarreled_starstick","Dubbelloopse Starstick"
"specials.name.dozy_mead","Slome mede"
"specials.name.dragon_autumn_blaze","Najaarsvuur"
"specials.name.dragon_blaze_of_fatigue","Aanval van vermoeidheid"
"specials.name.dragon_blaze_of_mortality","Aanval van sterfelijkheid"
"specials.name.dragon_blaze_of_protection","Aanval van bescherming"
"specials.name.dragon_blaze_of_suppression","Aanval van onderdrukking"
"specials.name.dragon_blaze_of_the_hydra","Aanval van de Hydra"
"specials.name.dragon_blaze_of_the_undying","Vlammenzee van de ondoden"
"specials.name.dragon_blaze_of_torment","Aanval van kwelling"
"specials.name.dragon_blaze_of_torment_marzul","Aanval van kwelling"
"specials.name.dragon_blazing_inferno","Laaiend inferno"
"specials.name.dragon_blazing_storm","Vlammende storm"
"specials.name.dragon_blazing_storm_preenakh","Vlammende storm"
"specials.name.dragon_blinding_blaze","Verblindende vuurzee"
"specials.name.dragon_blinding_blaze_duskwing","Verblindende vuurzee"
"specials.name.dragon_blinding_blaze_jawbreaker","Verblindende vuurzee"
"specials.name.dragon_blinding_blaze_wildheart","Verblindende vuurzee"
"specials.name.dragon_breath_of_bulwark","Lucht van het bolwerk"
"specials.name.dragon_breath_of_compassion","Adem van compassie"
"specials.name.dragon_breath_of_nourishment","Voedende adem"
"specials.name.dragon_breath_of_retribution","Adem van vergelding"
"specials.name.dragon_breath_of_revival","Adem van terugkeer"
"specials.name.dragon_cauterizing_blaze","Dichtschroeiende vuurzee"
"specials.name.dragon_charring_blaze","Verkolende vuurzee"
"specials.name.dragon_claws","Drakenklauwen"
"specials.name.dragon_cleansing_flame","Zuiverende vlam"
"specials.name.dragon_cleansing_flame_gallakhran","Zuiverende vlam"
"specials.name.dragon_corrosive_blaze","Corrosieve vlam"
"specials.name.dragon_cracking_blaze","Barstende vuurzee"
"specials.name.dragon_crackling_blaze_smoldercoil","Barstende vuurzee"
"specials.name.dragon_crashing_blaze","Verpletterende vuurzee"
"specials.name.dragon_crippling_blaze","Verminkende vuurzee"
"specials.name.dragon_crippling_blaze_belzaas","Verminkende vuurzee"
"specials.name.dragon_crushing_blaze","Vernietigende vuurzee"
"specials.name.dragon_dampening_blaze","Dempende vuurzee"
"specials.name.dragon_dampening_blaze_phebix","Dempende vuurzee"
"specials.name.dragon_dazing_blaze","Bedwelmende vuurzee"
"specials.name.dragon_delivery_service","Drakenleverservice"
"specials.name.dragon_destabilizing_blaze","Destabiliserende vuurzee"
"specials.name.dragon_devastating_blaze","Verwoestende vuurzee"
"specials.name.dragon_disarming_blaze","Ontwapenende vuurzee"
"specials.name.dragon_draining_blaze","Uitputtend vuur"
"specials.name.dragon_empowering_breath","Versterkende adem"
"specials.name.dragon_esoteric_flame","Esoterische vlam"
"specials.name.dragon_fang","Drakentand"
"specials.name.dragon_fiery_blaze","Felle vuurzee"
"specials.name.dragon_flames_of_acceleration","Vlammen van versnelling"
"specials.name.dragon_fortifying_flame","Versterkende vlam"
"specials.name.dragon_inspirational_breath","Inspirerende adem"
"specials.name.dragon_mana_infused_breath","Mana-doordrenkte adem"
"specials.name.dragon_mindless_blaze","Hersenloze vuurzee"
"specials.name.dragon_novices_blaze","Beginnersvuurzee"
"specials.name.dragon_pacifying_breath","Vredelievende adem"
"specials.name.dragon_protective_breath","Beschermende adem"
"specials.name.dragon_rallying_breath","Charge-adem"
"specials.name.dragon_rallying_breath_trezoro","Groeperingsadem"
"specials.name.dragon_resuscitating_breath","Reanimerende adem"
"specials.name.dragon_revitalizing_breath","Nieuw leven inblazende adem"
"specials.name.dragon_sacred_flame","Heilige vlam"
"specials.name.dragon_sacred_flame_harmonis","Heilige vlam"
"specials.name.dragon_searing_blaze","Verschroeiende vuurzee"
"specials.name.dragon_shielding_breath","Beschermende adem"
"specials.name.dragon_shocking_blaze","Schokkend vuur"
"specials.name.dragon_spring_breath","Geur van lente"
"specials.name.dragon_spring_breath_erudius","Geur van lente"
"specials.name.dragon_strengthening_flame","Versterkende vlam"
"specials.name.dragon_summer_blaze","Zomerse hitte"
"specials.name.dragon_volcanic_blaze","Vulkanische vuurzee"
"specials.name.dragon_weakening_blaze","Verzwakkende vuurzee"
"specials.name.dragon_weakening_blaze_ashenheart","Verzwakkende vuurzee"
"specials.name.dragon_weakening_blaze_gonthrox","Verzwakkende vuurzee"
"specials.name.dragon_wounding_blaze","Verwondende vuurzee"
"specials.name.dragon_wounding_blaze_ceestraze","Verwondende vuurzee"
"specials.name.dragon_wounding_blaze_froastyx","Verwondende vuurzee"
"specials.name.dragon_wounding_blaze_talonshine","Verwondende vuurzee"
"specials.name.dragon_wrecking_blaze","Slopende vuurzee"
"specials.name.dragon_wrecking_blaze_rangifer","Slopende vuurzee"
"specials.name.drain_strike","Onttrekkende aanval"
"specials.name.draining_blade","Verzwakkend zwaard"
"specials.name.drawn_to_the_depths","Aangetrokken tot de diepte"
"specials.name.dread_hammer","Angstaanjagende hamer"
"specials.name.dreaded_swords","Angstaanjagende zwaarden"
"specials.name.dreaded_waters","Griezelige wateren"
"specials.name.dreadful_riddle","Vreselijk raadsel"
"specials.name.dreadstrike","Vreeswekkende slag"
"specials.name.dreams_of_nourishment","Dromen van voeding"
"specials.name.dress_up","Verkleedpartij!"
"specials.name.drowsy_bolt","Versuffende schicht"
"specials.name.drum_chain","Ipudrumketting"
"specials.name.dual_axes","Dubbele bijlen"
"specials.name.dual_blades","Dubbele lemmeten"
"specials.name.dual_data_blades","Dubbele datalemmeten"
"specials.name.dual_laser_blades","Dubbel laserzwaard"
"specials.name.dual_slash","Dubbele slag"
"specials.name.dual_sting","Dubbele steek"
"specials.name.dubious_cuisine","Dubieuze cuisine"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Catastrofale keukenramp"
"specials.name.dubious_cuisine_exquisite_food","Overheerlijk eten"
"specials.name.dubious_cuisine_rotten_food","Verrot eten"
"specials.name.dubious_merchandise","Dubieuze handelswaar"
"specials.name.dubious_mixture","Dubieus mengsel"
"specials.name.dum_and_dee","Dum en Dee"
"specials.name.dusk_dust","Spekje schemer"
"specials.name.dusk_till_dawn","Van zonsopkomst tot zonsondergang"
"specials.name.dust_to_dust","Van stof tot stof"
"specials.name.dwarven_flourish","Florerende dwergen"
"specials.name.dwarven_kings_levy","Heffing van de Dwergenkoning"
"specials.name.dwarven_recharge","Dwergenherlading"
"specials.name.easy_breezy_aura","Alles zijn gangetje-aura"
"specials.name.echoes_of_ice","Echo's van het ijs"
"specials.name.echoes_of_pain","Pijnecho's"
"specials.name.echoes_of_the_opera","Echo's van de opera"
"specials.name.eclipse_shield","Verduisterend schild"
"specials.name.eclipse_spear","Verduisterende speer"
"specials.name.educated_exorcism","Beschaafd exorcisme"
"specials.name.egg_barrage","Eierbarrage"
"specials.name.elders_remedy","Oudstenremedie"
"specials.name.eldritch_blight","Eldritch-verderf"
"specials.name.eldritch_sign_bolts","Eldritchtekenflitsen"
"specials.name.electric_cut","Elektrische snee"
"specials.name.electric_dragonfire","Elektrisch drakenvuur"
"specials.name.electric_jolt","Elektrische Schok"
"specials.name.electric_stab","Elektrische steek"
"specials.name.electric_sting_dragon_pve","Elektrische steek"
"specials.name.electrified_claws","Geëlektrificeerde klauwen"
"specials.name.electrified_claws_ultimate_boss","Geëlektrificeerde klauwen"
"specials.name.electrifying_gust_dragon_pve","Tintelende vlaag"
"specials.name.elegant_pulverizer","Elegante vermaler"
"specials.name.elemental_corruption","Elementaire corruptie"
"specials.name.elemental_infusion_arrow","Pijl doordrenkt met elementen"
"specials.name.elemental_infusion_arrow_pve","Pijl doordrenkt met elementen"
"specials.name.elemental_magic","Elementenmagie"
"specials.name.emboldened_strike","Aangemoedigede aanval"
"specials.name.emerald_dual_blade","Dubbel smaragden zwaard"
"specials.name.emerald_flash","Smarargdflits"
"specials.name.emerald_tide","Smaragden getijde"
"specials.name.emerald_wind","Smaragden wind"
"specials.name.empowered_slash","Versterkende slag"
"specials.name.empowering_bash","Versterkende slag"
"specials.name.empowering_bash_deadly","Versterkende slag"
"specials.name.en_garde","En garde"
"specials.name.enchanted_antlers","Betoverd gewei"
"specials.name.enchanted_axe_swing","Betoverde bijlzwaai"
"specials.name.enchanted_edge","Magisch Lemmet"
"specials.name.enchanted_elven_sword","Betoverd elfenzwaard"
"specials.name.enchanted_symphony","Betoverde symfonie"
"specials.name.enchanting_divination","Betoverende waarzeggerij"
"specials.name.enchanting_melody","Betoverende melodie"
"specials.name.endless_daggers","Eindeloze dolken"
"specials.name.endless_maze","Eindeloos doolhoof"
"specials.name.energy_conjunction","Energieverbinding"
"specials.name.energy_of_mjolnir","Energie van Mjölnir"
"specials.name.energy_steal_dragon_pve","Energiediefstal"
"specials.name.engulfing_candlelight","Verzwelgend kaarslicht"
"specials.name.entangling_shot","Verstrikkend Schot"
"specials.name.entrapping_enchantment","Beknellende betovering"
"specials.name.erase_strength","Kracht wissen"
"specials.name.erupting_slices","Uitbarstende klieven"
"specials.name.esprit_de_corps","Esprit de corps"
"specials.name.essence_of_queen_nitocris","Essentie van Koningin Nitocris"
"specials.name.eternal_bond","Eeuwige bard"
"specials.name.eternal_ishq","Eeuwige Ishq"
"specials.name.eternal_loyalty","Eeuwige trouw"
"specials.name.eternal_servitude","Eeuwige onderworpenheid"
"specials.name.ethereal","Geest"
"specials.name.evading_dash","Ontwijkende sprint"
"specials.name.everlasting_wound","Eeuwigdurende verwonding"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Uitdrijvingspijl"
"specials.name.explosive_goo_minions","Volgelingentoezicht"
"specials.name.explosive_o_lantern","Explosieve pompoenlampion"
"specials.name.express_delivery","Expresslevering"
"specials.name.exquisite_alchemy","Uitstekende alchemie"
"specials.name.exquisite_victuals","Uitstekende levensmiddelen"
"specials.name.exquisite_victuals_pve_advanced","Uitstekende levensmiddelen"
"specials.name.exquisite_victuals_pve_normal","Uitstekende levensmiddelen"
"specials.name.eye_of_panther","Oog van de Panter"
"specials.name.eye_of_the_storm","Oog van de storm"
"specials.name.eye_of_yog-sir","Oog van Yog-Sir"
"specials.name.fabled_fist","Fabelachtige vuist"
"specials.name.fabled_llama_ballad","Beroemde lamaballade"
"specials.name.fairy_godmothers_blessing","Zege van de Goede Fee"
"specials.name.faithful_force","Trouwe macht"
"specials.name.falcon_screech","Valkenkras"
"specials.name.false_treat","Valse traktatie"
"specials.name.familiar_eater","Verslinder van volgelingen"
"specials.name.familiar_witchcraft","Bekende hekserij"
"specials.name.fangs_and_blades","Slagtanden en zwaarden"
"specials.name.fangs_of_death","Pijnlijke beet"
"specials.name.fatal_dreams","Fatale dromen"
"specials.name.fatal_finisher","Fatale finisher"
"specials.name.fearless_charge","Onverschrokken aanval"
"specials.name.feather_tempest","Verenoproer"
"specials.name.feathered_embrace","Geveerde omhelzing"
"specials.name.feline_constellation","Katachtige constellatie"
"specials.name.feral_arrows","Wilde pijlen"
"specials.name.feral_bite","Dierlijke beet"
"specials.name.feral_gust_dragon_pve","Vlaag van verwildering"
"specials.name.feral_peck","Wilde prik"
"specials.name.feral_revenge","Dierlijke wraak"
"specials.name.feral_swing","Wilde zwaai"
"specials.name.feyfire_slash","Feyfire-slag"
"specials.name.field_aid","Lichte Genezing"
"specials.name.field_surgery","Sterke Genezing"
"specials.name.fiendslayer","Demonendoder"
"specials.name.fierce_fu_jow_pai","Vurige Fu Jow Pai"
"specials.name.fierce_pierce","Doorborende kracht"
"specials.name.fierce_slash","Woeste Houw"
"specials.name.fiery_charge","Felle lading"
"specials.name.fiery_performance","Vurige prestatie"
"specials.name.fiery_revenge","Vurige wraak"
"specials.name.fire_barrier_dragon_pve","Vuurbarrière"
"specials.name.fire_bolt_zidane","Vuurbal"
"specials.name.fire_storm","Vuurstorm"
"specials.name.fire_tiger","Vuurtijgers"
"specials.name.fireball","Vuurbal"
"specials.name.fireball_single","Vuurbal"
"specials.name.fireblade_slash","Vuurzwaardslag"
"specials.name.fires_of_ragnarok","Vuren van Ragnarok"
"specials.name.fires_of_ragnarok_final","Vuren van Ragnarok"
"specials.name.firestone_daggers","Vuursteendolken"
"specials.name.firewall","Vuurmuur"
"specials.name.firing_on_all_cylinders","Alle cilinders vuren"
"specials.name.first_frost","Eerste vorst"
"specials.name.first_law_of_thermodynamics","Eerste wet van thermodynamica"
"specials.name.fishbone_blades","Visgraatzwaard"
"specials.name.fists_of_atonement","Vuisten van vergoeding"
"specials.name.flail_of_destruction","Vernietigende vlegels"
"specials.name.flail_swing","Vlegelzwaai"
"specials.name.flails_of_fury","Woeste vlegels"
"specials.name.flame_of_the_dragon_familiar","Vlam van de beruchte draak"
"specials.name.flame_of_the_lioness","Vlam van de leeuwin"
"specials.name.flame_storm","Vlammenstorm"
"specials.name.flame_surge","Vlaag van vlammen"
"specials.name.flames_and_rejuvenation","Vlammen en verjonging"
"specials.name.flames_and_rejuvenation_pve","Vlammen en verjonging"
"specials.name.flames_of_revenge","Vlammen van wraak"
"specials.name.flaming_fury","Vlammende furie"
"specials.name.flaming_grudge","Vurige wraak"
"specials.name.flaming_mandibles","Vlammende kaken"
"specials.name.flaming_rapier","Vlammende rapier"
"specials.name.flaming_rapier_pve","Vlammende rapier"
"specials.name.flaming_sword","Ziedend zwaard"
"specials.name.flanking_maneuver","Flankerende manoeuvre"
"specials.name.flanking_maneuver_pve","Flankerende manoeuvre"
"specials.name.flare","Vuurspugen"
"specials.name.flat_cake_for_sweethearts","Platte taart voor geliefden"
"specials.name.flat_cake_for_sweethearts_pve","Platte taart voor geliefden"
"specials.name.flawless_shot","Onberispelijk schot"
"specials.name.flock_of_folly_eldwren","Zwerm van dwaasheid"
"specials.name.floral_sting","Bloemensteek"
"specials.name.flower_arrangements","Bloemstukken"
"specials.name.flower_of_kindness","Bloemen van vriendelijkheid"
"specials.name.flowing_dragon_dual_slash","Dubbele slag stromende draak"
"specials.name.fluff_in_the_air","Pluis in de lucht"
"specials.name.flurry_of_blows","Klappenstorm"
"specials.name.flurry_of_slashes","Slagenstorm"
"specials.name.flurry_of_slashes_deadly","Slagenstorm"
"specials.name.flute_of_enchantment","Fluit van betovering"
"specials.name.focused_shot","Gefocust Schot"
"specials.name.fog_machine","Mist van de rookmachine"
"specials.name.fog_of_the_fallen","Mist der Gevallenen"
"specials.name.fog_of_the_glass_sabina","Mist van de vitrails"
"specials.name.fog_of_the_perished","Mist van de Gesneuvelden"
"specials.name.fog_of_the_stylish","Mist van de stijlvolle"
"specials.name.fog_of_the_toons","Mist van de Toons"
"specials.name.fog_of_the_vitrails","Mist van de vitrails"
"specials.name.for_queen_and_hollow","Voor Koningin en Holte"
"specials.name.force_of_forest","Kracht van het Woud"
"specials.name.forceful_advance","Krachtige voortgang"
"specials.name.forest_breath","Bosadem"
"specials.name.forest_command","Boscommando"
"specials.name.forest_friends","Vrienden van het Woud"
"specials.name.forge_rush","Smeedstormaanval"
"specials.name.forged_axe_of_light","Gesmede bijl van het licht"
"specials.name.forged_from_gold","Gesmeed in goud"
"specials.name.forged_in_fire","In vuur gesmeed"
"specials.name.fortunate_slice","Fortuinlijke klap"
"specials.name.fracturing_cut","Brekende snede"
"specials.name.fracturing_shards","Brekende scherven"
"specials.name.fracturing_slash","Brekende houw"
"specials.name.freezing_cold_cutter","IJskoude kling"
"specials.name.freezing_crystal","Vrieskristal"
"specials.name.freezing_fairy_mist","Bevriezende feeënmist"
"specials.name.freezing_power_hooks","IJskoude krachtpatsers"
"specials.name.frenzied_rend","Razende verscheuring"
"specials.name.frenzy_plant","Razende Plant"
"specials.name.friendly_critters_feast","Vriendelijke beestjes-feestmaal"
"specials.name.frightening_pinch","Speer van Atlantis"
"specials.name.frightstrike","Angstaanval"
"specials.name.frogs_and_hoop","Kikkers en hoepel"
"specials.name.from_shadows","Uit de schaduwen"
"specials.name.from_shadows_pve","Uit de schaduwen"
"specials.name.frost_and_rime","Vorst en rijp"
"specials.name.frost_bound_blade","Bevroren zwaard"
"specials.name.frostbite","Bevriezing"
"specials.name.frostbolt_dragon_pve","Vorstschicht"
"specials.name.frostbound_smash","Bevroren slag"
"specials.name.frostneedle","Vorstnaald"
"specials.name.frosty_axes","Bevroren Bijlen"
"specials.name.frosty_punches","Kille stoten"
"specials.name.frozen_orb","Bevroren bol"
"specials.name.frozen_path","Rivierpad"
"specials.name.frozen_wind","Bevroren wind"
"specials.name.frozen_wind_pve","Bevroren wind"
"specials.name.fruit_cocktail","Fruitcocktail"
"specials.name.fruits_of_kindness","Vruchten van vriendelijkheid"
"specials.name.fruits_of_labor","Flinke dosis knoflook"
"specials.name.fullmetal_pelt","Metalen vacht"
"specials.name.furious_bite","Woeste Beet"
"specials.name.furious_boar","Furieus zwijn"
"specials.name.furious_flames","Furieuze vlammen"
"specials.name.furry_loggers_swing","Harige houthakkers slag"
"specials.name.fury_of_ash","Furie van As"
"specials.name.fury_of_grimnir","Wraak van Grimnir"
"specials.name.fury_of_the_ancient_forest","Razernij van het oeroude bos"
"specials.name.fury_of_the_fire_giants","Razernij van de vuurreuzen"
"specials.name.fury_of_the_fire_giants_final","Razernij van de vuurreuzen"
"specials.name.fury_of_the_mountain_lord","Furie van de bergheer"
"specials.name.fury_of_the_silverback","Furie van de gorilla"
"specials.name.gallant_stance","Galante houding"
"specials.name.gamblers_stance","Gokkerspose"
"specials.name.gamblers_swing","Gokkerszwaai"
"specials.name.garbage_shock_wave","Schokgolf van afval"
"specials.name.gardeners_remedy","Tuiniersremedie"
"specials.name.gargantuan_bite","Reusachtige beet"
"specials.name.gargoyles_of_redemption","Gargouilles van bevrijding"
"specials.name.gargoyles_of_redemption_pve","Gargouilles van bevrijding"
"specials.name.gargoyles_of_restoration","Gargouilles van herstel"
"specials.name.garlic_serving_edwin","Knoflookschotel"
"specials.name.gaze_of_the_underworld","Blik van de onderwereld"
"specials.name.generous_gifts","Gulle giften"
"specials.name.gentle_paw","Zachte poot"
"specials.name.gentlemans_cane","Stok van een heer"
"specials.name.gentlemans_transformation","Beschaafde transformatie"
"specials.name.giddy_jab_dragon_pve","Frivole stoot"
"specials.name.gift_list","Cadeaulijst"
"specials.name.gift_of_rejuvenation","Gave van verjonging"
"specials.name.gift_of_rock","Rock-cadeau"
"specials.name.giftsack","Zak met cadeautjes"
"specials.name.gilded_antlers","Verguld gewei"
"specials.name.glacial_atmosphere","Gletsjeratmosfeer"
"specials.name.glacial_crusher","IJspletter"
"specials.name.glacial_explosion","Glaciale Explosie"
"specials.name.glacial_fissure_cleave","Glaciale kloof"
"specials.name.glacial_resilience","IJzige weerstand"
"specials.name.glacial_shatter","IJzige Uitbarsting"
"specials.name.glacial_vortex","IJzige vortex"
"specials.name.glaive_of_flames","Slagzwaard van vuur"
"specials.name.glass_anger_of_forest_horghall","Boosheid in scherven"
"specials.name.glass_arrow","Glazen pijl"
"specials.name.glass_barrage_scarlett","Regen van glas"
"specials.name.glass_beam","Glazen straal"
"specials.name.glass_bite","Glasbeet"
"specials.name.glass_bolt","Glasflits"
"specials.name.glass_brew","Glazen brouwsel"
"specials.name.glass_burning_strike","Glasaanval"
"specials.name.glass_chop","Glazen hakaanval"
"specials.name.glass_cleave","Glazen houw"
"specials.name.glass_cold_blast_ulmer","Glassneeuwstorm"
"specials.name.glass_cut","Glassnee"
"specials.name.glass_cut_chao","Vitrail-snee"
"specials.name.glass_entangling_shot","Glazen pijl"
"specials.name.glass_finisher_thorne","Glasafronder"
"specials.name.glass_fireball","Glazen vuurbal"
"specials.name.glass_flame_smash","Glazen vlammenslag"
"specials.name.glass_four_blades","Houw met glazen zwaarden"
"specials.name.glass_fury","Glaswoede"
"specials.name.glass_gamblers_stance","Glashouding"
"specials.name.glass_hammer","Glazen hamer"
"specials.name.glass_have_faith","Helder geloof"
"specials.name.glass_heal","Glazen genezing"
"specials.name.glass_jolt","Glazen schok"
"specials.name.glass_kick","Glazen schop"
"specials.name.glass_leaping_attack_dawa","Glasaanval"
"specials.name.glass_leeching_stars_renfeld","Glazen sterren"
"specials.name.glass_link","Glazen link"
"specials.name.glass_massive_chop","Glazen hakaanval"
"specials.name.glass_mist","Glasmist"
"specials.name.glass_order","Vitrails opdracht"
"specials.name.glass_peck","Glazen prik"
"specials.name.glass_piercing_hit_tyrum","Glastreffer"
"specials.name.glass_piercing_strike","Glasaanval"
"specials.name.glass_prayer","Glazen gebed"
"specials.name.glass_pulverizer","Glazen vergruizer"
"specials.name.glass_pulverizer_tiburtus","Glasvergruizer"
"specials.name.glass_purification","Glassificatie"
"specials.name.glass_ramming_rush","Glasstorm"
"specials.name.glass_ramming_rush_isshtak","Glasstorm"
"specials.name.glass_riposte","Glasriposte"
"specials.name.glass_riposte_boril","Glasriposte"
"specials.name.glass_shatter","Barst in glas"
"specials.name.glass_shield_kadilen","Glasschild"
"specials.name.glass_skin","Glazen huid"
"specials.name.glass_slam","Glasknal"
"specials.name.glass_slash","Glasslag"
"specials.name.glass_spear","Glazen speer"
"specials.name.glass_stab","Glazen steek"
"specials.name.glass_stone_skin_gunnar","Glazen link"
"specials.name.glass_strike","Glasaanval"
"specials.name.glass_strike_caedmon","Glasaanval"
"specials.name.glass_strike_magni","Glasaanval"
"specials.name.glass_swords","Muur van glas"
"specials.name.glass_thunderstrike_quintus","Glasultimatum"
"specials.name.glass_traps_oberon","Glasvallen"
"specials.name.glass_vines","Glazen ranken"
"specials.name.glass_volcano","Glazen vulkaan"
"specials.name.glass_wall","Glazen muur"
"specials.name.glass_warcry","Glazen strijdkreet"
"specials.name.gleaming_gemstones","Gloeiende edelstenen"
"specials.name.gleaming_sword_and_iron_mail","Gloeiend zwaard en maliënkolder"
"specials.name.glittering_sweep_dragon_pve","Glinsterende veeg"
"specials.name.gloom_grenades","Treurgranaat"
"specials.name.gloomy_tune","Droevig deuntje"
"specials.name.glorious_grace","Glorieuze genade"
"specials.name.glutinous_execution","Kleverige uitvoering"
"specials.name.gluttonous_chomp_blue","Kleverige chomp"
"specials.name.gluttonous_chomp_green","Kleverige chomp"
"specials.name.gluttonous_chomp_purple","Kleverige chomp"
"specials.name.gluttonous_chomp_red","Kleverige chomp"
"specials.name.gluttonous_chomp_yellow","Kleverige chomp"
"specials.name.gnomish_carnage","Kabouterchaos"
"specials.name.goat_rush","Geitenaanval"
"specials.name.goblin_explosives","Explosieve kobold"
"specials.name.goblin_serenade","Koboldserenade"
"specials.name.god_of_the_underworld","Onderwereldaanval"
"specials.name.gold_gauntlet","Gouden handschoen"
"specials.name.gold_rush","Goudkoorts"
"specials.name.gold_weaver","Goudwever"
"specials.name.golden_aura","Gouden aura"
"specials.name.golden_cicada","Gouden cicade"
"specials.name.golden_sacred_symbol","Gouden heilig symbool"
"specials.name.golden_thread","Gouden touw"
"specials.name.golem_crusher","Golempletter"
"specials.name.goodnight_lullaby","Slaaplied"
"specials.name.gooey_rose","Slijmerige roos"
"specials.name.gorging_bite_yellow","Verzwelgende beet"
"specials.name.gorging_chew_blue","Verzwelgende kauwactie"
"specials.name.gorging_chew_green","Verzwelgende kauwactie"
"specials.name.gorging_chew_purple","Verzwelgende kauwactie"
"specials.name.gorging_chew_red","Verzwelgende kauwactie"
"specials.name.gorging_chew_yellow","Verzwelgende kauwactie"
"specials.name.gorgyra","Standvastigheid van de Walkure"
"specials.name.grab_and_run","Grijp en ren"
"specials.name.graceful_shot","Elegant schot"
"specials.name.graceless_ritual","Onsierlijk ritueel"
"specials.name.grand_heist","Grote roof"
"specials.name.great_frost_axe","Grote vorstbijl"
"specials.name.great_frost_hoe","Grote vorstschoffel"
"specials.name.greed_and_bribery","Hebzucht en omkoperij"
"specials.name.greedy_munch_red","Gulzig geknaag"
"specials.name.green_dragon_crescent_blade","Zwaard met halve maan en groene draak"
"specials.name.green_dragon_inferno","Infernozwaart en groene draak"
"specials.name.green_sparks_dragon_pve","Groene vonken"
"specials.name.greeting_of_the_sun","Begroeting van de zon"
"specials.name.grim_awakening","Grimmig ontwaken"
"specials.name.grimoire_skim","Blik in spreukenboek"
"specials.name.grips_of_longing","Grepen van verlangen"
"specials.name.grips_of_longing_pve","Grepen van verlangen"
"specials.name.grove_splash_dragon_pve","Gespetter in de grot"
"specials.name.gruesome_charge","Gruwelijke lading"
"specials.name.guard_the_garden","Bewaak de tuin!"
"specials.name.guardian_armor","Wachterpantser"
"specials.name.guardians_retaliation","Vergelding van de wachter"
"specials.name.guarding_tunes","Beschermende deuntjes"
"specials.name.guiding_arrow","Geleidende pijl"
"specials.name.gust_of_restoration","Vlaag van herstel"
"specials.name.gust_of_swiftness","Vlaag van vlugheid"
"specials.name.hack_and_slash","Hakken en houwen"
"specials.name.hacking_attack","Hakkende Aanval"
"specials.name.hailstone_glare_dragon_pve","Glitter van de hagelsteen"
"specials.name.hailstorm","Hagelstorm"
"specials.name.halflings_wisdom","Halflingwijsheid"
"specials.name.halflings_wit","Halflingverstand"
"specials.name.hallowed_blade","Het gewijde zwaard"
"specials.name.halting_counter_strike","Haperende tegenaanval"
"specials.name.hammer_thump","Hamerslag"
"specials.name.harmonic_bash","Harmonische Beuk"
"specials.name.harmonic_slam","Harmonische Klap"
"specials.name.harpoon_sentry","Harpoenschildwacht"
"specials.name.harpy_claw","Harpijenklauw"
"specials.name.harrow_the_heart","Opengereten hart"
"specials.name.hasty_gift_wrapper","Haastige cadeau-inpakker"
"specials.name.hasty_trigger_finger","Schichtige schutter"
"specials.name.have_curiosity","Nieuwe hoop"
"specials.name.have_faith","Wees Vroom"
"specials.name.haze_of_the_deceased","Waas der gevallenen"
"specials.name.head_hurl","Kopgooi"
"specials.name.healing_chant","Genezende Hymne"
"specials.name.healing_fire_spirits","Genezende vuurgeesten"
"specials.name.healing_gift","Hersenloze genezing"
"specials.name.healing_gift_anteros","Hersenloze genezing"
"specials.name.healing_gift_kabeiroi","Hersenloze genezing"
"specials.name.healing_mirror","Genezende spiegel"
"specials.name.healthiest_catch","Gezondste vangst"
"specials.name.hearty_stew","Stevige stoofpot"
"specials.name.heatstinger","Hittesteek"
"specials.name.heavy_fragrance","Zware geur"
"specials.name.heedless_hammer_flurry","Genadeloze hameraanval"
"specials.name.heirloom_dagger","Traditionele dolk"
"specials.name.helping_hands","Helpende handen"
"specials.name.hemlock_tea","Hemlock-thee"
"specials.name.herbal_remedies","Kruidenremedies"
"specials.name.herculean_throw","Herculeaanse worp"
"specials.name.herd_stampede","Hordestormloop"
"specials.name.here_catch","Hier! Vang!"
"specials.name.heretic_slayer","Slachtende ketter"
"specials.name.heroic_noble","Drietandworp"
"specials.name.heroic_noble_deadly","Drietandworp"
"specials.name.herring_blaster","Haringknaller"
"specials.name.herring_surprise","Haringverrassing"
"specials.name.hide_in_shadows","Verborgen in de schaduw"
"specials.name.high_altitude_ambush","Hinderlaag op grote hoogte"
"specials.name.high_energy_field","Veld met hoge energie"
"specials.name.high_noon_sun","Twaalfuurszon"
"specials.name.holding_down_the_fort","Het fort bewaken"
