"heroes.name_fancy.astral_cosmicspeaker","아스트랄 엘프 천문학자"
"heroes.name_fancy.fire_god_maple","어번 숲의 요정"
"heroes.name_fancy.fire_god_nadnog","불의 치유사"
"heroes.name_fancy.fire_god_natalya","불꽃의 여마법사"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","불꽃의 재봉사"
"heroes.name_fancy.fire_god_neema","불 마법사"
"heroes.name_fancy.fire_god_noor","참새 소통가"
"heroes.name_fancy.fire_god_reuben","맹세한 주술사"
"heroes.name_fancy.fire_god_roughian_and_nurgib","떼놓을 수 없는 팀"
"heroes.name_fancy.fire_god_russell","광포한 화염술사"
"heroes.name_fancy.fire_god_skargremar","후발 정찰병"
"heroes.name_fancy.fire_god_tahir","떠돌이 사냥꾼"
"heroes.name_fancy.fire_god_yang_mai","태양의 주먹"
"heroes.name_fancy.fire_god_zagrog","외로운 도적"
"heroes.name_fancy.fire_god_zarga","빠른 칼날"
"heroes.name_fancy.fire_god_zidane","매력적인 사병"
"heroes.name_fancy.fire_god_zimkitha","사라졌던 딸"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","잊혀진 모험가"
"heroes.name_fancy.fleur_elyzabel","핏빛 백작부인"
"heroes.name_fancy.fleur_eumachius","핏빛 시온"
"heroes.name_fancy.fleur_guillemette","핏빛 십자군"
"heroes.name_fancy.fleur_lavinia","핏빛 드리머"
"heroes.name_fancy.fleur_ludovico","핏빛 스튜어드"
"heroes.name_fancy.fleur_talesie","핏빛 암살자"
"heroes.name_fancy.forest_archer","유능한 궁수"
"heroes.name_fancy.forest_archer_costume_cute","궁사 툰"
"heroes.name_fancy.forest_archer_costume_glass","유리 궁수"
"heroes.name_fancy.forest_archer_costume_warrior","노련한 궁수"
"heroes.name_fancy.forest_female_druid","라스우드의 드루이드"
"heroes.name_fancy.forest_female_druid_costume_cute","래스우드 툰"
"heroes.name_fancy.forest_female_druid_costume_glass","래스우드의 비트레일"
"heroes.name_fancy.forest_female_druid_costume_native","콩코르디아의 주술사"
"heroes.name_fancy.forest_female_elf","달빛의 방패전사"
"heroes.name_fancy.forest_female_elf_costume_cute","툰 방패전사"
"heroes.name_fancy.forest_female_elf_costume_fairy","달빛 요정"
"heroes.name_fancy.forest_female_elf_costume_glass","유리 방패전사"
"heroes.name_fancy.forest_female_elf_costume_mage","달빛의 여사제"
"heroes.name_fancy.forest_female_illusionist","식물 소통가"
"heroes.name_fancy.forest_female_spirit","숲 정령"
"heroes.name_fancy.forest_female_spirit_costume_autumn","삼림 정령"
"heroes.name_fancy.forest_female_spirit_costume_cute","툰 스피릿"
"heroes.name_fancy.forest_female_spirit_costume_glass","유리 영혼"
"heroes.name_fancy.forest_female_warrior","마을 소녀"
"heroes.name_fancy.forest_friar","쾌활한 형제"
"heroes.name_fancy.forest_friar_costume_cute","쾌활한 툰"
"heroes.name_fancy.forest_friar_costume_explorer","쾌활한 탐험가"
"heroes.name_fancy.forest_friar_costume_glass","쾌활한 비트랄리"
"heroes.name_fancy.forest_god_elinor","보물 사냥꾼"
"heroes.name_fancy.forest_god_elradir","달의 숲의 거친 마법사"
"heroes.name_fancy.forest_god_evelyn","용감한 상속인"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","용감한 사냥꾼"
"heroes.name_fancy.forest_god_grace","삼림 사슴인간"
"heroes.name_fancy.forest_god_gregorion","뛰어난 궁수"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","은둔 연금술사"
"heroes.name_fancy.forest_god_kingston","고귀한 암살자"
"heroes.name_fancy.forest_god_oberon","실리 챔피언"
"heroes.name_fancy.forest_god_oberon_costume_everoak","에버로크 기사"
"heroes.name_fancy.forest_god_telluria","숲의 신"
"heroes.name_fancy.forest_god_zeline","자연의 천체"
"heroes.name_fancy.forest_god_zeline_costume_avian","천상의 새"
"heroes.name_fancy.forest_god_zocc","열쇠의 마스터"
"heroes.name_fancy.forest_mage","숲의 지혜"
"heroes.name_fancy.forest_mage_costume_cute","툰 마법사"
"heroes.name_fancy.forest_mage_costume_glass","숲의 비트레일"
"heroes.name_fancy.forest_mage_costume_party","파티 마법사"
"heroes.name_fancy.forest_mage_costume_white","강력한 마법사"
"heroes.name_fancy.forest_male_elf","달빛의 창전사"
"heroes.name_fancy.forest_male_elf_costume_cute","툰 스핌마스터"
"heroes.name_fancy.forest_male_elf_costume_dark","달빛 정복자"
"heroes.name_fancy.forest_male_elf_costume_glass","유리 창전사"
"heroes.name_fancy.forest_male_elf_costume_king","문라이트 킹"
"heroes.name_fancy.forest_male_elf_costume_stylish","세련된 창전사"
"heroes.name_fancy.forest_thug","용병 전투원"
"heroes.name_fancy.forest_titan","숲의 고대인"
"heroes.name_fancy.forest_titan_costume_cute","숲의 툰"
"heroes.name_fancy.forest_titan_costume_glass","숲의 비트레일"
"heroes.name_fancy.forest_titan_costume_jester","나무 광대"
"heroes.name_fancy.forest_titan_costume_nightmare","숲 속의 악몽"
"heroes.name_fancy.forest_woodsman","단순한 나무인간"
"heroes.name_fancy.forest_woodsman_warrior","강력한 형제"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","은밀한 형제"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","강력한 툰"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","강력한 비트랄리"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","마이티 하이랜더"
"heroes.name_fancy.forsaken_demhalar","기이한 거주자"
"heroes.name_fancy.forsaken_inanis","무결속자"
"heroes.name_fancy.forsaken_jax","사냥개 같은 난동꾼"
"heroes.name_fancy.forsaken_kadath","불경한 성직자"
"heroes.name_fancy.forsaken_khatrox","황폐한 폭력배"
"heroes.name_fancy.forsaken_lamentia","심연의 하인"
"heroes.name_fancy.fox_ashen","은빛 등 여우"
"heroes.name_fancy.fox_ember","화염 소환술사 여우"
"heroes.name_fancy.fox_foxglove","교활한 박쥐귀 여우"
"heroes.name_fancy.fox_foxley","무법자 회색 여우"
"heroes.name_fancy.fox_halcyon","감시자 회색 여우"
"heroes.name_fancy.fox_nettletail","친절한 숲지기 여우"
"heroes.name_fancy.fox_nibbles","굶주린 여우 키트"
"heroes.name_fancy.fox_riverfang","마법사 코르삭 여우"
"heroes.name_fancy.fox_rust","가디언 붉은 여우"
"heroes.name_fancy.fox_sable","잊혀진 공주 여우"
"heroes.name_fancy.fox_shadowfang","뼈 수집가 모래 여우"
"heroes.name_fancy.fox_silverpaw","해적 사막 여우"
"heroes.name_fancy.fox_spiff","왕실 기사 여우"
"heroes.name_fancy.fox_swiftpaw","암살자 은색 여우"
"heroes.name_fancy.fox_whitefang","레인저 북극 여우"
"heroes.name_fancy.gargoyle_arco","확고한 가고일"
"heroes.name_fancy.gargoyle_bellerive","사악한 가고일"
"heroes.name_fancy.gargoyle_betty","날쌘 가고일"
"heroes.name_fancy.gargoyle_budatin","사나운 가고일"
"heroes.name_fancy.gargoyle_el_duque","고위 가고일"
"heroes.name_fancy.gargoyle_gaillard","영악한 가고일"
"heroes.name_fancy.gargoyle_garten","파티 가고일"
"heroes.name_fancy.gargoyle_goseck","간사한 가고일"
"heroes.name_fancy.gargoyle_grumbl","현명한 가고일"
"heroes.name_fancy.gargoyle_guffa","금욕적인 가고일"
"heroes.name_fancy.gargoyle_hilda","두려움 없는 가고일"
"heroes.name_fancy.gargoyle_hohenwerf","흉포한 가고일"
"heroes.name_fancy.gargoyle_kalo","일탈의 가고일"
"heroes.name_fancy.gargoyle_kemeny","경화 가고일"
"heroes.name_fancy.gargoyle_matrera","어두운 가고일"
"heroes.name_fancy.gargoyle_mena","현학적인 가고일"
"heroes.name_fancy.gargoyle_penolite","무모한 가고일"
"heroes.name_fancy.gargoyle_pophit","거장 가고일"
"heroes.name_fancy.gargoyle_soroca","분노의 가고일"
"heroes.name_fancy.gargoyle_uwe","솜털 가고일"
"heroes.name_fancy.gargoyle_vincent","겁에 질린 가고일"
"heroes.name_fancy.gargoyle_vonreine","화염 가고일"
"heroes.name_fancy.garrison_archibald","불안한 분대장"
"heroes.name_fancy.garrison_beatrice","병참 하사관"
"heroes.name_fancy.garrison_caelen","사색에 잠긴 시인"
"heroes.name_fancy.garrison_ciara","행동하는 지휘관"
"heroes.name_fancy.garrison_dima","호그마스터"
"heroes.name_fancy.garrison_fergus","흔들리지 않는 경찰"
"heroes.name_fancy.garrison_flamehide","도마뱀족 도박꾼"
"heroes.name_fancy.garrison_frank_fangs_brimwell","길거리 상사"
"heroes.name_fancy.garrison_frostsnout","도마뱀족 기수"
"heroes.name_fancy.garrison_godfrey","가혹한 경비병"
"heroes.name_fancy.garrison_greg","그로스마스터"
"heroes.name_fancy.garrison_iarlaith","세련된 검객"
"heroes.name_fancy.garrison_iocantha","마스터-앳-암즈"
"heroes.name_fancy.garrison_kolya","견고한 경비"
"heroes.name_fancy.garrison_maisie","즐거운 석공"
"heroes.name_fancy.garrison_pip","초조한 메신저"
"heroes.name_fancy.garrison_rosalind","유쾌한 선장"
"heroes.name_fancy.garrison_shimmerscale","도마뱀족 등불지기"
"heroes.name_fancy.garrison_theodosius","용감한 상병"
"heroes.name_fancy.garrison_vanya","굳건한 수호자"
"heroes.name_fancy.garrison_violet_potts","태평스러운 혼혈"
"heroes.name_fancy.garrison_william","긴장한 야간 경비병"
"heroes.name_fancy.goblin_acidfire","고블린 네크로맨서"
"heroes.name_fancy.goblin_archer","날쌘 사냥꾼"
"heroes.name_fancy.goblin_boom_and_fang","못말리는 한 쌍"
"heroes.name_fancy.goblin_boots","망각의 수호자"
"heroes.name_fancy.goblin_darkfeather","숙련된 독수리 조련사"
"heroes.name_fancy.goblin_deadboot","고블린 숭배자"
"heroes.name_fancy.goblin_fighter","소매치기"
"heroes.name_fancy.goblin_fighter_costume_cute","소매치기 툰"
"heroes.name_fancy.goblin_fighter_costume_evil","암습자"
"heroes.name_fancy.goblin_fighter_costume_glass","유리 소매치기"
"heroes.name_fancy.goblin_fizzcoil","고블린 극단 바이올리니스트"
"heroes.name_fancy.goblin_goldie","고블린 미녀"
"heroes.name_fancy.goblin_grimsteel","얼어붙은 산의 은둔자"
"heroes.name_fancy.goblin_kettle","부엌 연금술사"
"heroes.name_fancy.goblin_leafwizzle","야수의 마법사"
"heroes.name_fancy.goblin_madhammer","고블린 싸움꾼"
"heroes.name_fancy.goblin_mage","수렁 마녀"
"heroes.name_fancy.goblin_mage_costume_candy","캔디 마녀"
"heroes.name_fancy.goblin_mage_costume_cute","툰 마녀"
"heroes.name_fancy.goblin_mage_costume_glass","유리 마녀"
"heroes.name_fancy.goblin_mage_costume_toad","두꺼비 마녀"
"heroes.name_fancy.goblin_pepperflame","유명한 고블린 플루티스트"
"heroes.name_fancy.goblin_ratgrub","고블린 쥐 조신"
"heroes.name_fancy.goblin_rocket","철거 전문가"
"heroes.name_fancy.goblin_scrollbeast","은퇴한 멧돼지 라이더"
"heroes.name_fancy.goblin_smarttongue","고블린 음유시인"
"heroes.name_fancy.goblin_soursting","오만한 고블린 암살자"
"heroes.name_fancy.guardian_bat","텔톡의 악몽"
"heroes.name_fancy.guardian_cat_warrior","텔톡의 용사"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","맹렬한 표범"
"heroes.name_fancy.guardian_chameleon","텔톡의 정령술사"
"heroes.name_fancy.guardian_elephant","텔톡의 진실한 화살"
"heroes.name_fancy.guardian_falcon_priest","텔톡의 사제"
"heroes.name_fancy.guardian_gazelle","텔톡의 드루이드"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","텔톡의 신속 타격가"
"heroes.name_fancy.guardian_gorilla_chieftain","텔톡의 족장"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","정복자 콩"
"heroes.name_fancy.guardian_hippo","텔톡의 야수"
"heroes.name_fancy.guardian_jackal_assassin","텔톡의 암살자"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","텔톡의 뼈 수집가"
"heroes.name_fancy.guardian_lemur","텔톡의 치유술사"
"heroes.name_fancy.guardian_owl_gentleman","텔톡의 정예 수호병"
"heroes.name_fancy.halloween_alucard","흡혈귀의 후손"
"heroes.name_fancy.halloween_alucard_costume_mafia","뱀파이어 우두머리"
"heroes.name_fancy.halloween_amber","뱀파이어 피의 전사"
"heroes.name_fancy.halloween_ana_belle","몰로비아의 청소부"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","먼지 남작부인"
"heroes.name_fancy.halloween_chester","불친절한 유령"
"heroes.name_fancy.halloween_edwin","교활한 집사"
"heroes.name_fancy.halloween_edwin_costume_mafia","믿을 수 없는 집사"
"heroes.name_fancy.halloween_francine","여자 몬스터"
"heroes.name_fancy.halloween_francine_costume_mafia","여자 몹스터"
"heroes.name_fancy.halloween_frank","몬스터"
"heroes.name_fancy.halloween_frank_costume_mafia","몹스터"
"heroes.name_fancy.halloween_goopy","끈적이는 덩어리"
"heroes.name_fancy.halloween_hortensia","파리잡이 육성자"
"heroes.name_fancy.halloween_jack","호박 음유 시인"
"heroes.name_fancy.halloween_lucinda","엑칼리브룸의 용접공"
"heroes.name_fancy.halloween_matilda","불경한 파티시에"
"heroes.name_fancy.halloween_miriam_and_midnight","오컬트 듀오"
"heroes.name_fancy.halloween_vanda","뱀파이어 여왕"
"heroes.name_fancy.halloween_vanda_costume_mafia","범죄의 여왕"
"heroes.name_fancy.halloween_wayne","몰로비아의 위대한 마법사"
"heroes.name_fancy.hidden_dark_god_myztero","마력 신비술사"
"heroes.name_fancy.holy_god_aurox","빛나는 광전사"
"heroes.name_fancy.holy_god_aviana","팔콘 사령관"
"heroes.name_fancy.holy_god_bai_yeong","검무사"
"heroes.name_fancy.holy_god_celidana","신성한 성직자의 지도자"
"heroes.name_fancy.holy_god_delilah","금지된 섬의 영웅"
"heroes.name_fancy.holy_god_delilah_costume_guardian","천계 사원의 수호자"
"heroes.name_fancy.holy_god_devana","고집불통 여사냥꾼"
"heroes.name_fancy.holy_god_drake_lee","무술의 대가"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","평온의 투사"
"heroes.name_fancy.holy_god_faeona","엘프 백마법사"
"heroes.name_fancy.holy_god_gilda","빛의 드워프 인도자"
"heroes.name_fancy.holy_god_gilligan","라만차의 모험가"
"heroes.name_fancy.holy_god_hanitra","레무리아 여신"
"heroes.name_fancy.holy_god_ithar","의적"
"heroes.name_fancy.holy_god_kara","신성한 수호자"
"heroes.name_fancy.holy_god_malosi","지배의 투사"
"heroes.name_fancy.holy_god_may","행복한 수확자"
"heroes.name_fancy.holy_god_musashi","무적낭인"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","탈출 예술가"
"heroes.name_fancy.holy_god_neith","길을 여는 자"
"heroes.name_fancy.holy_god_onatel","눈 먼 선견자"
"heroes.name_fancy.holy_god_ranvir","신성한 켄타우로스"
"heroes.name_fancy.holy_god_uraeus","신비로운 대신"
"heroes.name_fancy.holy_god_zora","장미의 기사"
"heroes.name_fancy.ice_god_alexandrine","부당함에 맞서는 방패"
"heroes.name_fancy.ice_god_areax","반인반마 얼음 마법사"
"heroes.name_fancy.ice_god_athena","얼음의 천체"
"heroes.name_fancy.ice_god_athena_costume_cute","툰 얼음의 천체"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","전쟁의 여신"
"heroes.name_fancy.ice_god_balur","흉폭한 검투사"
"heroes.name_fancy.ice_god_callum","끈질긴 추적자"
"heroes.name_fancy.ice_god_claeg","저주에 걸린 치유사"
"heroes.name_fancy.ice_god_dvalin","서리의 주인"
"heroes.name_fancy.ice_god_eskimo","얼음 거인 사냥꾼"
"heroes.name_fancy.ice_god_eskimo_costume_champion","빙하 챔피언"
"heroes.name_fancy.ice_god_frida","극지의 위협"
"heroes.name_fancy.ice_god_frosth","겨울을 몰아오는 자"
"heroes.name_fancy.ice_god_glenda","마법의 대모"
"heroes.name_fancy.ice_god_iris","전문 해제자"
"heroes.name_fancy.ice_god_klaern","서리 마술사"
"heroes.name_fancy.ice_god_mene","밤의 요정 여왕"
"heroes.name_fancy.ice_god_miki","서리 야수의 학살자"
"heroes.name_fancy.ice_god_nerasis","조용한 죽음"
"heroes.name_fancy.ice_god_october","얼어붙은 하이랜더"
"heroes.name_fancy.ice_god_october_costume_farmer","얼어붙은 농부"
"heroes.name_fancy.ice_god_perseus","제우스의 아들"
"heroes.name_fancy.ice_god_perseus_costume_frozen","보리아스의 도전자"
"heroes.name_fancy.ice_god_raffaele","평온의 집중술사"
"heroes.name_fancy.ice_god_sini","푸른 마법사"
"heroes.name_fancy.ice_god_suzuna","세련된 주문 시전자"
"heroes.name_fancy.ice_god_vela","물 마술사"
"heroes.name_fancy.institute_ellery","괴이한 생물학자"
"heroes.name_fancy.institute_emilie","변방 왕국의 탐험가"
"heroes.name_fancy.institute_piper","호기심 많은 용병"
"heroes.name_fancy.institute_professor_morryster","가면 쓴 학자"
"heroes.name_fancy.institute_ryleh","보조 기록관"
"heroes.name_fancy.institute_wilcox","유망한 물리학자"
"heroes.name_fancy.journey_change","달빛에 선택받은 자"
"heroes.name_fancy.journey_erlang_shen","천국의 전신"
"heroes.name_fancy.journey_general_yin","둔갑술사 악마 장군"
"heroes.name_fancy.journey_heifeng_guai","검은 바람 악마"
"heroes.name_fancy.journey_nineheaded_beast","구두부마"
"heroes.name_fancy.journey_queen_guowang","비교 불가의 미"
"heroes.name_fancy.journey_sha_wujing","모래 수도승"
"heroes.name_fancy.journey_tang_sanzang","강의 위대한 미스터리"
"heroes.name_fancy.journey_xie_zi_jing","전갈 요괴녀"
"heroes.name_fancy.journey_xiong_shanjun","곰 산 주인"
"heroes.name_fancy.journey_xiwangmu","신들의 어머니"
"heroes.name_fancy.kalevala_aino","여름 여인"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","호수의 여인"
"heroes.name_fancy.kalevala_iku_turso","심연의 짐승"
"heroes.name_fancy.kalevala_ilmarinen","전문 대장장이"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","전문 기술자"
"heroes.name_fancy.kalevala_joukahainen","흉포한 사냥꾼"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","얼어붙은 사냥꾼"
"heroes.name_fancy.kalevala_kullervo","원한에 사무친 아들"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","싸움에 지친 아이"
"heroes.name_fancy.kalevala_lemminkainen","불멸의 챔피언"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","사라져가는 챔피언"
"heroes.name_fancy.kalevala_louhi","북방의 마녀"
"heroes.name_fancy.kalevala_louhi_costume_mistress","북방의 여제"
"heroes.name_fancy.kalevala_mielikki","숲의 정령"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","곰 수호자"
"heroes.name_fancy.kalevala_mother_lemminkainen","챔피언의 구원자"
"heroes.name_fancy.kalevala_otso","대초원의 방랑자"
"heroes.name_fancy.kalevala_para","가정용 패밀리어"
"heroes.name_fancy.kalevala_suomuhauki","커다란 파이크"
"heroes.name_fancy.kalevala_ukkonen","배이내뫼이넨의 저주받은 핏줄"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","배이내뫼이넨의 지옥 친족"
"heroes.name_fancy.kalevala_vainamoinen","영원한 시인"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","영원한 현자"
"heroes.name_fancy.kingdom_cao_cao","위의 군벌"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","얼음의 군주"
"heroes.name_fancy.kingdom_diaochan","절세미인"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","꽃의 아름다운"
"heroes.name_fancy.kingdom_guan_yu","용맹한 장군"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","지옥의 장군"
"heroes.name_fancy.kingdom_jing","촉의 보병"
"heroes.name_fancy.kingdom_li","오의 보병"
"heroes.name_fancy.kingdom_liu_bei","촉의 군벌"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","숲의 군주"
"heroes.name_fancy.kingdom_lu_bu","분노의 군벌"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","분노한 호랑이 군주"
"heroes.name_fancy.kingdom_sun_quan","오의 군벌"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","행운의 군주"
"heroes.name_fancy.kingdom_sun_shangxiang","고귀한 전사"
"heroes.name_fancy.kingdom_wang_yuanji","온화한 귀족 여인"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","친절한 캘리그래퍼"
"heroes.name_fancy.kingdom_xiahou_dun","외눈의 사령관"
"heroes.name_fancy.kingdom_yao","위의 보병"
"heroes.name_fancy.kingdom_zhang_fei","무자비한 장군"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","무자비한 곰 장군"
"heroes.name_fancy.kingdom_zhou_yu","젊은 사령관"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","레이븐 사령관"
"heroes.name_fancy.kingdom_zhuge_liang","전략의 달인"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","최고 전략가"
"heroes.name_fancy.knights_bauchan","아발론의 임프"
"heroes.name_fancy.knights_black_knight","아발론의 공포"
"heroes.name_fancy.knights_black_knight_costume_negative","부정의 기사"
"heroes.name_fancy.knights_gawain","하늘색 기사"
"heroes.name_fancy.knights_green_knight","알바온의 도전자"
"heroes.name_fancy.knights_guinevere","아발론의 여왕"
"heroes.name_fancy.knights_guinevere_costume_rider","아발론의 용기사"
"heroes.name_fancy.knights_king_arthur","아발론의 왕"
"heroes.name_fancy.knights_lady_of_the_lake","아발론의 마녀"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","검의 숙녀"
"heroes.name_fancy.knights_merlin","아발론의 마법사"
"heroes.name_fancy.knights_merlin_costume_astrology","아발론의 아스트로맨서"
"heroes.name_fancy.knights_morgan_le_fay","아발론의 여마법사"
"heroes.name_fancy.knights_sir_lancelot","아발론의 기사"
"heroes.name_fancy.knights_treevil","아발론의 악"
"heroes.name_fancy.lionman_barbarian","레오스의 최후"
"heroes.name_fancy.lionman_barbarian_costume_armor","레오스의 왕"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","몸짱 아기돌봄이"
"heroes.name_fancy.lionman_barbarian_costume_cute","툰 레오"
"heroes.name_fancy.lionman_barbarian_costume_glass","유리 레오"
"heroes.name_fancy.lionman_barbarian_costume_stylish","세련된 레오"
"heroes.name_fancy.lizardman_trapper","도마뱀족 족장"
"heroes.name_fancy.lizardman_trapper_costume_cute","대장 툰"
"heroes.name_fancy.lizardman_trapper_costume_fisher","도마뱀족 어부"
"heroes.name_fancy.lizardman_trapper_costume_glass","유리 족장"
"heroes.name_fancy.lizardman_trapper_costume_shaman","도마뱀족 장로"
"heroes.name_fancy.lizardman_warrior","도마뱀족 전투사"
"heroes.name_fancy.lizardman_warrior_costume_cute","전투사 툰"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","도마뱀족 선조"
"heroes.name_fancy.lizardman_warrior_costume_glass","유리 투사"
"heroes.name_fancy.lunar_new_year_baishu","달의 곡예사 쥐"
"heroes.name_fancy.lunar_new_year_gongniu","달의 수호 황소"
"heroes.name_fancy.lunar_new_year_laohu","싸움꾼 호랑이"
"heroes.name_fancy.lunar_new_year_qinglong","달의 전략가 용"
"heroes.name_fancy.lunar_new_year_xiaoqing","달의 음악가 뱀"
"heroes.name_fancy.lunar_new_year_xiaotu","수호자 호랑이"
"heroes.name_fancy.magic_agrafena","최고 감독관"
"heroes.name_fancy.magic_agrafena_costume_dark","최강 흑마술사"
"heroes.name_fancy.magic_anastasia","견습 소환사"
"heroes.name_fancy.magic_anton","젊은 학자"
"heroes.name_fancy.magic_becky","별빛 마법사"
"heroes.name_fancy.magic_becky_costume_gothic","황혼의 마법사"
"heroes.name_fancy.magic_camilla","도자기 수선공"
"heroes.name_fancy.magic_camilla_costume_flower","플로럴 팅커러"
"heroes.name_fancy.magic_carpet_agadh","마법 양탄자 암살자"
"heroes.name_fancy.magic_carpet_amelia","마법 비행사"
"heroes.name_fancy.magic_carpet_bart","마법 양탄자 속도광"
"heroes.name_fancy.magic_carpet_bertha","마법 양탄자 장인"
"heroes.name_fancy.magic_carpet_crustee","마법 연구실의 천재"
"heroes.name_fancy.magic_carpet_elyssa","마법 양탄자 대식가"
"heroes.name_fancy.magic_carpet_jwala","용암 마법 소녀"
"heroes.name_fancy.magic_carpet_kesha","알 라일의 여마법사"
"heroes.name_fancy.magic_carpet_lando","마법 양탄자 매혹가"
"heroes.name_fancy.magic_carpet_lilli","마법 양탄자 캣 레이디"
"heroes.name_fancy.magic_carpet_manpip","불안한 마법 양탄자 승객"
"heroes.name_fancy.magic_carpet_naeem","마법 양탄자 드리프터"
"heroes.name_fancy.magic_carpet_ragrim","마법 양탄자 식물학자"
"heroes.name_fancy.magic_carpet_shareef","불굴의 마법사"
"heroes.name_fancy.magic_carpet_zazha","마법 양탄자 치유술사"
"heroes.name_fancy.magic_cristobal","매력의 교수"
"heroes.name_fancy.magic_cristobal_costume_emerald","마법 부여 교수"
"heroes.name_fancy.magic_dolgoon","박식한 사서"
"heroes.name_fancy.magic_jett","희생의 전조"
"heroes.name_fancy.magic_kornel","베테랑 파수꾼"
"heroes.name_fancy.magic_lucy","마법구 영재"
"heroes.name_fancy.magic_milena","비전술 스승"
"heroes.name_fancy.magic_milena_costume_ice","극지 주문의 스승"
"heroes.name_fancy.magic_motega","마스터 관리인"
"heroes.name_fancy.magic_nadezhda","타워 헤드마스터"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","탑의 우체국장"
"heroes.name_fancy.magic_ray","코트의 챔피언"
"heroes.name_fancy.magic_ray_costume_spiky","가시덤불의 챔피언"
"heroes.name_fancy.magic_roxia","고대 문자 애호가"
"heroes.name_fancy.magic_sergei","비전술 학생"
"heroes.name_fancy.magic_telonius","숲 속의 켄타우르스"
"heroes.name_fancy.magic_telonius_costume_brew","탭룸의 켄타우로스"
"heroes.name_fancy.magic_ulius","기이한 발명 마법사"
"heroes.name_fancy.magic_ulius_costume_buccaneer","기이한 비전술 해적"
"heroes.name_fancy.magic_vaishali","신비한 체스 고수"
"heroes.name_fancy.magic_vaishali_costume_chef","신비한 파이 마스터"
"heroes.name_fancy.magic_willow","공중부양의 달인"
"heroes.name_fancy.magitech_sniper","마법 저격수"
"heroes.name_fancy.magitech_sniper_costume_cute","툰 스나이퍼"
"heroes.name_fancy.magitech_sniper_costume_glass","유리 스나이퍼"
"heroes.name_fancy.magitech_sniper_costume_steampunk","스팀펑크 저격수"
"heroes.name_fancy.magitech_sniper_costume_undead","언데드 저격수"
"heroes.name_fancy.mahayoddha_ali","재능 있는 사환"
"heroes.name_fancy.mahayoddha_bhima","바유의 아들"
"heroes.name_fancy.mahayoddha_bonga","바구니 장인"
"heroes.name_fancy.mahayoddha_chitrangada","매니푸라의 전사 공주"
"heroes.name_fancy.mahayoddha_devyani","맹렬한 전사 공주"
"heroes.name_fancy.mahayoddha_jyoti","차리 무용수"
"heroes.name_fancy.mahayoddha_meenakshi","코코넛 체치"
"heroes.name_fancy.mahayoddha_rafeeq","예리한 정치가"
"heroes.name_fancy.mahayoddha_ustad_anand","왕실 재주꾼"
"heroes.name_fancy.mahayoddha_veer","오만한 암살자"
"heroes.name_fancy.masquerade_alessia","아라디아의 추종자"
"heroes.name_fancy.masquerade_aradia","가면을 쓴 마법의 여신"
"heroes.name_fancy.masquerade_carmenta","가면을 쓴 주문의 여신"
"heroes.name_fancy.masquerade_cel","가면을 쓴 대지의 여신"
"heroes.name_fancy.masquerade_februus","가면을 쓴 정화의 신"
"heroes.name_fancy.masquerade_fortuna","가면을 쓴 운명의 여신"
"heroes.name_fancy.masquerade_fosco","페브루우스의 추종자"
"heroes.name_fancy.masquerade_jana","가면을 쓴 달의 여신"
