"heroes.name_fancy.astral_cosmicspeaker","アストラルエルフの天文学者"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","永遠の詐欺師"
"heroes.name_fancy.fables_snow_white","グリムの森の王妃"
"heroes.name_fancy.fables_snow_white_costume_slayer","スレイヤーホワイト"
"heroes.name_fancy.faun_araminta","恐るべきファウヌスの戦士"
"heroes.name_fancy.faun_ascian","全智なるファウヌスの予言者"
"heroes.name_fancy.faun_bramble","穏やかなファウヌスの庭師"
"heroes.name_fancy.faun_gideon","勇敢なるファウヌス指揮官"
"heroes.name_fancy.faun_isidore","カリスマ的なファウヌスの王者"
"heroes.name_fancy.faun_jolyon","思慮深きファウヌスの鋳掛師"
"heroes.name_fancy.faun_maud","野心あふれるファウヌスの錬金術師"
"heroes.name_fancy.faun_myrtle","いら立つファウヌスの薬草医"
"heroes.name_fancy.faun_peregrine","向こう見ずなファウヌスの偵察員"
"heroes.name_fancy.faun_philomena","魅惑のファウヌスの吟遊詩人"
"heroes.name_fancy.faun_saskia","俊足のファウヌスの踊り手"
"heroes.name_fancy.faun_tamlin","不気味なファウヌスのフルート奏者"
"heroes.name_fancy.faun_verity","不可思議なファウヌスの商人"
"heroes.name_fancy.faun_yolanda","紅のファウヌスの女予言者"
"heroes.name_fancy.faun_ysabel","剛胆なるファウヌスの剣闘士"
"heroes.name_fancy.fire_god_andre","裏切られたテンプル騎士"
"heroes.name_fancy.fire_god_anzogh","怨恨のシャーマン"
"heroes.name_fancy.fire_god_ares","戦神"
"heroes.name_fancy.fire_god_ares_costume_keymaster","戦争の鍵となる人物"
"heroes.name_fancy.fire_god_doom","血染みのドルイド"
"heroes.name_fancy.fire_god_doom_costume_avenger","燃えるアヴェンジャー"
"heroes.name_fancy.fire_god_eliane","老年の赤き魔術師"
"heroes.name_fancy.fire_god_jean_francois","マスケティア魔術師"
"heroes.name_fancy.fire_god_maple","赤褐色の森の妖精"
"heroes.name_fancy.fire_god_nadnog","炎の治療師"
"heroes.name_fancy.fire_god_natalya","炎の術師"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","炎の裁縫師"
"heroes.name_fancy.fire_god_neema","炎のウィザード"
"heroes.name_fancy.fire_god_noor","スパロウ・ウィスパラー"
"heroes.name_fancy.fire_god_reuben","宣誓のオカルト信者"
"heroes.name_fancy.fire_god_roughian_and_nurgib","一心同体のチーム"
"heroes.name_fancy.fire_god_russell","業火占い師"
"heroes.name_fancy.fire_god_skargremar","後衛の草分け"
"heroes.name_fancy.fire_god_tahir","放浪ハンター"
"heroes.name_fancy.fire_god_yang_mai","太陽の拳"
"heroes.name_fancy.fire_god_zagrog","孤高の放浪者"
"heroes.name_fancy.fire_god_zarga","剣の達人"
"heroes.name_fancy.fire_god_zidane","魅力的な私掠船の船長"
"heroes.name_fancy.fire_god_zimkitha","長失の娘"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","消息不明の冒険家"
"heroes.name_fancy.fleur_elyzabel","紅の伯爵夫人"
"heroes.name_fancy.fleur_eumachius","紅の御曹司"
"heroes.name_fancy.fleur_guillemette","紅の改革者"
"heroes.name_fancy.fleur_lavinia","紅の夢想家"
"heroes.name_fancy.fleur_ludovico","紅の執事"
"heroes.name_fancy.fleur_talesie","紅の暗殺者"
"heroes.name_fancy.forest_archer","極みの弓人"
"heroes.name_fancy.forest_archer_costume_cute","アニメ風の射手"
"heroes.name_fancy.forest_archer_costume_glass","ガラスの弓人"
"heroes.name_fancy.forest_archer_costume_warrior","器用な弓人"
"heroes.name_fancy.forest_female_druid","ラスウッドのドルイド"
"heroes.name_fancy.forest_female_druid_costume_cute","アニメ風のラスウッド"
"heroes.name_fancy.forest_female_druid_costume_glass","ラスウッドのヴィトレイル"
"heroes.name_fancy.forest_female_druid_costume_native","コンコルディアのシャーマン"
"heroes.name_fancy.forest_female_druid_costume_stylish","お洒落なドルイド"
"heroes.name_fancy.forest_female_elf","月光の盾達人"
"heroes.name_fancy.forest_female_elf_costume_cute","アニメ風の盾達人"
"heroes.name_fancy.forest_female_elf_costume_fairy","月夜の妖精"
"heroes.name_fancy.forest_female_elf_costume_glass","ガラスのシールドマスター"
"heroes.name_fancy.forest_female_elf_costume_mage","月光の女祭司"
"heroes.name_fancy.forest_female_illusionist","草木と語らう者"
"heroes.name_fancy.forest_female_spirit","湿地の精霊"
"heroes.name_fancy.forest_female_spirit_costume_autumn","木立の精霊"
"heroes.name_fancy.forest_female_spirit_costume_cute","アニメ風の精霊"
"heroes.name_fancy.forest_female_spirit_costume_glass","ガラスの精霊"
"heroes.name_fancy.forest_female_spirit_costume_stylish","スタイリッシュな精霊"
"heroes.name_fancy.forest_female_warrior","村の少女"
"heroes.name_fancy.forest_friar","陽気な兄者"
"heroes.name_fancy.forest_friar_costume_cute","アニメ風の陽気屋"
"heroes.name_fancy.forest_friar_costume_explorer","陽気な探索者"
"heroes.name_fancy.forest_friar_costume_glass","陽気なヴィトレイル"
"heroes.name_fancy.forest_god_elinor","トレジャーハンター"
"heroes.name_fancy.forest_god_elradir","月の森のワイルドウィザード"
"heroes.name_fancy.forest_god_evelyn","勇敢なる女相続人"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","勇敢な女性狩猟家"
"heroes.name_fancy.forest_god_grace","森のセビタウルス"
"heroes.name_fancy.forest_god_gregorion","弓の達人"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","隠者の錬金術師"
"heroes.name_fancy.forest_god_kingston","高貴なる暗殺者"
"heroes.name_fancy.forest_god_oberon","心広き英者"
"heroes.name_fancy.forest_god_oberon_costume_everoak","エバーオークの騎士"
"heroes.name_fancy.forest_god_telluria","森の神"
"heroes.name_fancy.forest_god_zeline","自然の天上人"
"heroes.name_fancy.forest_god_zeline_costume_avian","鳥族の天使"
"heroes.name_fancy.forest_god_zocc","マスター・オブ・キー"
"heroes.name_fancy.forest_mage","森の智慧"
"heroes.name_fancy.forest_mage_costume_cute","アニメ風のウィザード"
"heroes.name_fancy.forest_mage_costume_glass","森のヴィトレイル"
"heroes.name_fancy.forest_mage_costume_party","パーティーウィザード"
"heroes.name_fancy.forest_mage_costume_stylish","お洒落なウィザード"
"heroes.name_fancy.forest_mage_costume_white","無敵のウィザード"
"heroes.name_fancy.forest_male_elf","月光の槍達人"
"heroes.name_fancy.forest_male_elf_costume_cute","アニメ風の槍達人"
"heroes.name_fancy.forest_male_elf_costume_dark","月光の征服者"
"heroes.name_fancy.forest_male_elf_costume_glass","ガラスの槍達人"
"heroes.name_fancy.forest_male_elf_costume_king","月明かりの王"
"heroes.name_fancy.forest_male_elf_costume_stylish","スタイリッシュな槍達人"
"heroes.name_fancy.forest_thug","賊傭兵"
"heroes.name_fancy.forest_titan","森の古人"
"heroes.name_fancy.forest_titan_costume_cute","アニメ風の樹木"
"heroes.name_fancy.forest_titan_costume_glass","木のヴィトレイル"
"heroes.name_fancy.forest_titan_costume_jester","木の道化師"
"heroes.name_fancy.forest_titan_costume_nightmare","森の悪夢"
"heroes.name_fancy.forest_woodsman","森人"
"heroes.name_fancy.forest_woodsman_warrior","逞しき兄者"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","忍なる兄者"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","アニメ風の強者"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","剛力のヴィトレイル"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","無敵の高地人"
"heroes.name_fancy.forsaken_amarosa","辺境の女帝"
"heroes.name_fancy.forsaken_cassilda","激高の大女祭司"
"heroes.name_fancy.forsaken_demhalar","奇妙な居住者"
"heroes.name_fancy.forsaken_inanis","解き放たれし者"
"heroes.name_fancy.forsaken_jax","追跡の荒くれ者"
"heroes.name_fancy.forsaken_kadath","呪われし牧師"
"heroes.name_fancy.forsaken_khatrox","病の乱暴者"
"heroes.name_fancy.forsaken_lamentia","奈落の従者"
"heroes.name_fancy.fortune_bai_yan","獅子のダンスドラマー"
"heroes.name_fancy.fortune_dragon_kids","次世代の竜の踊り手"
"heroes.name_fancy.fortune_ling_long","若き竜の踊り手"
"heroes.name_fancy.fortune_wei_qi","雪の獅子の踊り手"
"heroes.name_fancy.fortune_yan_qing","提灯の竜の踊り手"
"heroes.name_fancy.fox_ashen","銀背のキツネ"
"heroes.name_fancy.fox_ember","炎を呼ぶキツネ"
"heroes.name_fancy.fox_foxglove","ずる賢いオオミミギツネ"
"heroes.name_fancy.fox_foxley","無法者の灰キツネ"
"heroes.name_fancy.fox_halcyon","歩哨の灰キツネ"
"heroes.name_fancy.fox_nettletail","森を守る優しきキツネ"
"heroes.name_fancy.fox_nibbles","空腹なキットギツネ"
"heroes.name_fancy.fox_riverfang","魔術師のコサックギツネ"
"heroes.name_fancy.fox_rust","守護者の赤キツネ"
"heroes.name_fancy.fox_sable","行方不明の王女キツネ"
"heroes.name_fancy.fox_shadowfang","骨収集家の砂キツネ"
"heroes.name_fancy.fox_silverpaw","海賊のフェネックギツネ"
"heroes.name_fancy.fox_spiff","王国騎士団のキツネ"
"heroes.name_fancy.fox_swiftpaw","暗殺者の銀キツネ"
"heroes.name_fancy.fox_whitefang","レンジャーの北極キツネ"
"heroes.name_fancy.gargoyle_arco","威厳のあるガーゴイル"
"heroes.name_fancy.gargoyle_bellerive","邪悪なガーゴイル"
"heroes.name_fancy.gargoyle_betty","機微なガーゴイル"
"heroes.name_fancy.gargoyle_budatin","凶悪なガーゴイル"
"heroes.name_fancy.gargoyle_el_duque","高貴なるガーゴイル"
"heroes.name_fancy.gargoyle_gaillard","ずる賢いガーゴイル"
"heroes.name_fancy.gargoyle_garten","パーティー・ガーゴイル"
"heroes.name_fancy.gargoyle_goseck","狡猾なガーゴイル"
"heroes.name_fancy.gargoyle_grumbl","知見のガーゴイル"
"heroes.name_fancy.gargoyle_guffa","ストイックなガーゴイル"
"heroes.name_fancy.gargoyle_hilda","恐れ知らずのガーゴイル"
"heroes.name_fancy.gargoyle_hohenwerf","凶暴なガーゴイル"
"heroes.name_fancy.gargoyle_kalo","型破りなガーゴイル"
"heroes.name_fancy.gargoyle_kemeny","無情なガーゴイル"
"heroes.name_fancy.gargoyle_matrera","闇のガーゴイル"
"heroes.name_fancy.gargoyle_mena","偏屈のガーゴイル"
"heroes.name_fancy.gargoyle_penolite","残忍なガーゴイル"
"heroes.name_fancy.gargoyle_pophit","ガーゴイルの巨匠"
"heroes.name_fancy.gargoyle_soroca","怒れるガーゴイル"
"heroes.name_fancy.gargoyle_uwe","フワフワのガーゴイル"
"heroes.name_fancy.gargoyle_vincent","怯えたガーゴイル"
"heroes.name_fancy.gargoyle_vonreine","燃えさかるガーゴイル"
"heroes.name_fancy.garrison_archibald","不安を与える軍需参謀"
"heroes.name_fancy.garrison_beatrice","軍需参謀軍曹"
"heroes.name_fancy.garrison_caelen","哀愁の詩人"
"heroes.name_fancy.garrison_ciara","厳格な指揮官"
"heroes.name_fancy.garrison_dima","ホグマスター"
"heroes.name_fancy.garrison_fergus","泰然たる法の守り手"
"heroes.name_fancy.garrison_flamehide","トカゲ族の勝負師"
"heroes.name_fancy.garrison_frank_fangs_brimwell","世慣れた軍曹"
"heroes.name_fancy.garrison_frostsnout","トカゲ族の旗手"
"heroes.name_fancy.garrison_godfrey","無駄話好きな衛兵"
"heroes.name_fancy.garrison_greg","ラム酒の達人"
"heroes.name_fancy.garrison_iarlaith","スタイリッシュな剣士"
"heroes.name_fancy.garrison_iocantha","上級士官"
"heroes.name_fancy.garrison_kolya","無神経な見張り員"
"heroes.name_fancy.garrison_maisie","陽気な石工"
"heroes.name_fancy.garrison_pip","神経質なメッセンジャー"
"heroes.name_fancy.garrison_rosalind","陽気な隊長"
"heroes.name_fancy.garrison_shimmerscale","トカゲのランタン持ち"
"heroes.name_fancy.garrison_theodosius","勇敢な伍長"
"heroes.name_fancy.garrison_vanya","堅実な工兵"
"heroes.name_fancy.garrison_violet_potts","楽天家のハーフリング"
"heroes.name_fancy.garrison_william","心配性の夜警"
"heroes.name_fancy.goblin_acidfire","ゴブリンの魔術師"
"heroes.name_fancy.goblin_archer","機知に富む狩人"
"heroes.name_fancy.goblin_boom_and_fang","向こう見ずなコンビ"
"heroes.name_fancy.goblin_boots","忘れっぽい護衛"
"heroes.name_fancy.goblin_darkfeather","熟練のワシトレーナー"
"heroes.name_fancy.goblin_deadboot","ゴブリンのカルト信者"
"heroes.name_fancy.goblin_fighter","スリ師"
"heroes.name_fancy.goblin_fighter_costume_cute","アニメ風のスリ師"
"heroes.name_fancy.goblin_fighter_costume_evil","喉切者"
"heroes.name_fancy.goblin_fighter_costume_glass","ガラスのスリ師"
"heroes.name_fancy.goblin_fizzcoil","ゴブリンのバイオリン奏者団"
"heroes.name_fancy.goblin_goldie","ゴブリンの美女"
"heroes.name_fancy.goblin_grimsteel","氷山に住む世捨て人"
"heroes.name_fancy.goblin_kettle","台所の錬金術師"
"heroes.name_fancy.goblin_leafwizzle","獣の魔術師"
"heroes.name_fancy.goblin_madhammer","ゴブリンの荒くれ者"
"heroes.name_fancy.goblin_mage","沼の魔女"
"heroes.name_fancy.goblin_mage_costume_candy","キャンディウィッチ"
"heroes.name_fancy.goblin_mage_costume_cute","アニメ風の魔女"
"heroes.name_fancy.goblin_mage_costume_glass","ガラスの魔女"
"heroes.name_fancy.goblin_mage_costume_stylish","スタイリッシュな魔女"
"heroes.name_fancy.goblin_mage_costume_toad","ヒキガエルの魔女"
"heroes.name_fancy.goblin_pepperflame","有名なゴブリンのフルート奏者"
"heroes.name_fancy.goblin_ratgrub","ネズミの廷臣ゴブリン"
"heroes.name_fancy.goblin_rocket","破壊工作専門家"
"heroes.name_fancy.goblin_scrollbeast","引退したボアライダー"
"heroes.name_fancy.goblin_smarttongue","ゴブリンの詩人"
"heroes.name_fancy.goblin_soursting","傲慢な暗殺者ゴブリン"
"heroes.name_fancy.guardian_bat","テルトックの悪夢"
"heroes.name_fancy.guardian_cat_warrior","テルトックの戦士"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","残忍なパンサー"
"heroes.name_fancy.guardian_chameleon","テルトックの元素主義者"
"heroes.name_fancy.guardian_elephant","テルトックの真の矢"
"heroes.name_fancy.guardian_falcon_priest","テルトックの僧侶"
"heroes.name_fancy.guardian_gazelle","テルトックのドルイド"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","テルトックの高速ストライカー"
"heroes.name_fancy.guardian_gorilla_chieftain","テルトックの族長"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","征服者コング"
"heroes.name_fancy.guardian_hippo","テルトックの獣"
"heroes.name_fancy.guardian_jackal_assassin","テルトックの暗殺者"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","テルトックの骨収集家"
"heroes.name_fancy.guardian_lemur","テルトックの改革者"
"heroes.name_fancy.guardian_owl_gentleman","エリートガーディアン テルトック"
"heroes.name_fancy.halloween_alucard","吸血鬼の子孫"
"heroes.name_fancy.halloween_alucard_costume_mafia","バンパイアの親玉"
"heroes.name_fancy.halloween_amber","バンパイアの戦士"
"heroes.name_fancy.halloween_ana_belle","モルロヴィアの掃除婦"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","塵の男爵夫人"
"heroes.name_fancy.halloween_chester","無愛想なゴースト"
"heroes.name_fancy.halloween_edwin","悪賢い執事"
"heroes.name_fancy.halloween_edwin_costume_mafia","裏切りの執事"
"heroes.name_fancy.halloween_francine","モンストレス"
"heroes.name_fancy.halloween_francine_costume_mafia","女ギャング"
"heroes.name_fancy.halloween_frank","モンスター"
"heroes.name_fancy.halloween_frank_costume_mafia","ギャング"
"heroes.name_fancy.halloween_goopy","ベタベタのゼラチンモンスター"
"heroes.name_fancy.halloween_hortensia","ハエトリグサの育成者"
"heroes.name_fancy.halloween_jack","パンプキンの吟遊詩人"
"heroes.name_fancy.halloween_lucinda","エクスカリブルームの使い手"
"heroes.name_fancy.halloween_matilda","邪悪な菓子職人"
"heroes.name_fancy.halloween_miriam_and_midnight","神秘的な二人組"
"heroes.name_fancy.halloween_vanda","バンパイアの女王"
"heroes.name_fancy.halloween_vanda_costume_mafia","犯罪の女王"
"heroes.name_fancy.halloween_wayne","モルロヴィアの大魔術師"
"heroes.name_fancy.hidden_dark_god_myztero","捻曲呪のコナンドラム"
"heroes.name_fancy.holy_god_aurox","輝けるバーサーカー"
"heroes.name_fancy.holy_god_aviana","ファルコンの指揮官"
"heroes.name_fancy.holy_god_bai_yeong","ブレードダンサー"
"heroes.name_fancy.holy_god_celidana","聖なる神官のリーダー"
"heroes.name_fancy.holy_god_delilah","禁忌の島の英雄"
"heroes.name_fancy.holy_god_delilah_costume_guardian","天の寺院の守護者"
"heroes.name_fancy.holy_god_devana","強情な女ハンター"
"heroes.name_fancy.holy_god_drake_lee","格闘の達人"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","穏やかな戦士"
"heroes.name_fancy.holy_god_faeona","エルフの白魔術師"
"heroes.name_fancy.holy_god_gilda","ドワーフの光の案内人"
"heroes.name_fancy.holy_god_gilligan","無謀な冒険家"
"heroes.name_fancy.holy_god_hanitra","レムリアンの女神"
"heroes.name_fancy.holy_god_ithar","高潔な泥棒猫"
"heroes.name_fancy.holy_god_kara","神聖な守護者"
"heroes.name_fancy.holy_god_malosi","君臨の王者"
"heroes.name_fancy.holy_god_may","至福なる収穫者"
"heroes.name_fancy.holy_god_musashi","無敵たる浪人"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","縄抜け曲芸師"
"heroes.name_fancy.holy_god_neith","道を切り開く者"
"heroes.name_fancy.holy_god_onatel","盲目の予言者"
"heroes.name_fancy.holy_god_ranvir","聖ケンタウロス"
"heroes.name_fancy.holy_god_uraeus","アーケイン高官"
"heroes.name_fancy.holy_god_zora","バラの騎士"
"heroes.name_fancy.ice_god_alexandrine","不正に対抗する盾"
"heroes.name_fancy.ice_god_areax","半馬の氷の魔術師"
"heroes.name_fancy.ice_god_athena","氷の天上人"
"heroes.name_fancy.ice_god_athena_costume_cute","アニメ風の氷の天上人"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","戦争の女神"
"heroes.name_fancy.ice_god_balur","どう猛な剣闘士"
"heroes.name_fancy.ice_god_callum","無慈悲な追跡者"
"heroes.name_fancy.ice_god_claeg","呪いに冒された治療師"
"heroes.name_fancy.ice_god_dvalin","冷気を操る者"
"heroes.name_fancy.ice_god_eskimo","氷巨人の女ハンター"
"heroes.name_fancy.ice_god_eskimo_costume_champion","氷山の王者"
"heroes.name_fancy.ice_god_frida","極氷神"
"heroes.name_fancy.ice_god_frosth","冬の執行者"
"heroes.name_fancy.ice_god_glenda","魔法のゴッドマザー"
"heroes.name_fancy.ice_god_iris","解除の達人"
"heroes.name_fancy.ice_god_klaern","霧氷の魔術師"
"heroes.name_fancy.ice_god_mene","夜のフェアリークイーン"
"heroes.name_fancy.ice_god_miki","氷獣スレイヤー"
"heroes.name_fancy.ice_god_nerasis","音なき死神"
"heroes.name_fancy.ice_god_october","凍てつく大地人"
"heroes.name_fancy.ice_god_october_costume_farmer","凍てつく農夫"
"heroes.name_fancy.ice_god_perseus","ゼウスの息子"
"heroes.name_fancy.ice_god_perseus_costume_frozen","ボリアスの挑戦者"
"heroes.name_fancy.ice_god_raffaele","静寂のチャネラー"
"heroes.name_fancy.ice_god_sini","紺碧の呪術師"
"heroes.name_fancy.ice_god_suzuna","オシャレなウィザード"
"heroes.name_fancy.ice_god_vela","水術師"
"heroes.name_fancy.institute_azureus","エーテルの策士"
"heroes.name_fancy.institute_ellery","異端の生物学者"
"heroes.name_fancy.institute_emilie","境界領域の探検家"
"heroes.name_fancy.institute_piper","詮索好きな雇われ銃使い"
"heroes.name_fancy.institute_professor_ambrose","研究所の所長"
"heroes.name_fancy.institute_professor_morryster","仮面をかぶった碩学"
"heroes.name_fancy.institute_ryleh","記録保管のアシスタント"
"heroes.name_fancy.institute_wilcox","凄腕の物理学者"
"heroes.name_fancy.institute_zenas","博識の鉱物学者"
"heroes.name_fancy.journey_change","月の光に選ばれし者"
"heroes.name_fancy.journey_erlang_shen","天界の戦神"
"heroes.name_fancy.journey_general_yin","変幻自在の残忍な将軍"
"heroes.name_fancy.journey_heifeng_guai","暗黒の風魔"
"heroes.name_fancy.journey_nineheaded_beast","九頭の皇配"
"heroes.name_fancy.journey_queen_guowang","国色無双"
"heroes.name_fancy.journey_sha_wujing","砂のモンク"
"heroes.name_fancy.journey_tang_sanzang","大河の大いなる謎"
"heroes.name_fancy.journey_xie_zi_jing","サソリの魔物女"
"heroes.name_fancy.journey_xiong_shanjun","熊の山の主"
"heroes.name_fancy.journey_xiwangmu","皇太后"
"heroes.name_fancy.kalevala_aino","夏の乙女"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","湖の乙女"
"heroes.name_fancy.kalevala_iku_turso","地底の獣"
"heroes.name_fancy.kalevala_ilmarinen","熟練の鍛冶師"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","熟練の技師"
"heroes.name_fancy.kalevala_joukahainen","残忍なハンター"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","凍てつくハンター"
"heroes.name_fancy.kalevala_kullervo","復讐心に燃える息子"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","歴戦の息子"
"heroes.name_fancy.kalevala_lemminkainen","不滅の王者"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","消えゆく王者"
"heroes.name_fancy.kalevala_louhi","北の魔女"
"heroes.name_fancy.kalevala_louhi_costume_mistress","北の女主人"
"heroes.name_fancy.kalevala_mielikki","森の精霊"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","熊の保護者"
"heroes.name_fancy.kalevala_mother_lemminkainen","王者の救世主"
"heroes.name_fancy.kalevala_otso","大草原を彷徨う者"
"heroes.name_fancy.kalevala_para","使い魔"
"heroes.name_fancy.kalevala_suomuhauki","巨体のカワカマス"
"heroes.name_fancy.kalevala_ukkonen","ワイナミョイネンの呪われた親族"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","ワイナミョイネンの地獄の血族"
"heroes.name_fancy.kalevala_vainamoinen","永遠の詩人"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","永遠の賢者"
"heroes.name_fancy.kingdom_cao_cao","魏の武将"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","氷のウォーロード"
"heroes.name_fancy.kingdom_diaochan","中国四大美人の1人"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","花の美女"
"heroes.name_fancy.kingdom_guan_yu","勇猛なる将軍"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","地獄の将軍"
"heroes.name_fancy.kingdom_jing","蜀の歩兵"
"heroes.name_fancy.kingdom_li","呉の歩兵"
"heroes.name_fancy.kingdom_liu_bei","蜀の武将"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","森のウォーロード"
"heroes.name_fancy.kingdom_lu_bu","激昂する武将"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","激昂する虎の武将"
"heroes.name_fancy.kingdom_sun_quan","呉の武将"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","運命の武将"
"heroes.name_fancy.kingdom_sun_shangxiang","高貴なる戦士"
"heroes.name_fancy.kingdom_wang_yuanji","優しい貴婦人"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","穏やかな書家"
"heroes.name_fancy.kingdom_xiahou_dun","独眼の大将"
"heroes.name_fancy.kingdom_yao","魏の歩兵"
"heroes.name_fancy.kingdom_zhang_fei","無慈悲な将軍"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","無慈悲な熊の将軍"
"heroes.name_fancy.kingdom_zhou_yu","若き大将"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","鴉の指揮官"
"heroes.name_fancy.kingdom_zhuge_liang","策略の達人"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","至高の戦略家"
"heroes.name_fancy.knights_bauchan","アヴァロンのインプ"
"heroes.name_fancy.knights_black_knight","アヴァロンの恐怖"
"heroes.name_fancy.knights_black_knight_costume_negative","マイナスの騎士"
"heroes.name_fancy.knights_gawain","紺碧の騎士"
"heroes.name_fancy.knights_green_knight","アヴァロンの挑戦者"
"heroes.name_fancy.knights_guinevere","アヴァロンの女王"
"heroes.name_fancy.knights_guinevere_costume_rider","アヴァロンのドラゴンライダー"
"heroes.name_fancy.knights_king_arthur","アヴァロンの王"
"heroes.name_fancy.knights_lady_of_the_lake","アヴァロンの女術士"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","ブレードレディ"
"heroes.name_fancy.knights_merlin","アヴァロンのウィザード"
"heroes.name_fancy.knights_merlin_costume_astrology","アヴァロンの星占い師"
"heroes.name_fancy.knights_morgan_le_fay","アヴァロンの術師"
"heroes.name_fancy.knights_sir_lancelot","アヴァロンの騎士"
"heroes.name_fancy.knights_treevil","アヴァロンの悪魔"
"heroes.name_fancy.lionman_barbarian","最後のレオルス"
"heroes.name_fancy.lionman_barbarian_costume_armor","獅子王"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","ライオンのベビーシッター"
"heroes.name_fancy.lionman_barbarian_costume_cute","アニメ風のライオン"
"heroes.name_fancy.lionman_barbarian_costume_glass","ガラスのライオン"
"heroes.name_fancy.lionman_barbarian_costume_stylish","スタイリッシュなライオン"
"heroes.name_fancy.lizardman_trapper","トカゲ族の族長"
"heroes.name_fancy.lizardman_trapper_costume_cute","アニメ風の族長"
"heroes.name_fancy.lizardman_trapper_costume_fisher","トカゲ族の漁夫"
"heroes.name_fancy.lizardman_trapper_costume_glass","ガラスの族長"
"heroes.name_fancy.lizardman_trapper_costume_shaman","トカゲ族の高長"
"heroes.name_fancy.lizardman_warrior","トカゲ族の戦士"
"heroes.name_fancy.lizardman_warrior_costume_cute","アニメ風戦士"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","トカゲ族の始祖"
"heroes.name_fancy.lizardman_warrior_costume_glass","ガラスの戦士"
"heroes.name_fancy.lunar_new_year_baishu","月の曲芸ネズミ"
"heroes.name_fancy.lunar_new_year_gongniu","月の守護者の丑"
"heroes.name_fancy.lunar_new_year_hongyunxing","旧正月の野生馬"
"heroes.name_fancy.lunar_new_year_laohu","十二支の虎の格闘家"
"heroes.name_fancy.lunar_new_year_laohu_costume_golden","旧正月の幸運の虎"
"heroes.name_fancy.lunar_new_year_qinglong","月の策士の辰"
"heroes.name_fancy.lunar_new_year_xiaoqing","月の音楽家ヘビ"
"heroes.name_fancy.lunar_new_year_xiaotu","十二支の兎の庇護者"
"heroes.name_fancy.lunar_new_year_xiaotu_costume_golden","旧正月の提灯うさぎ"
"heroes.name_fancy.magic_agrafena","警視長"
"heroes.name_fancy.magic_agrafena_costume_dark","至高の女闇魔術師"
"heroes.name_fancy.magic_anastasia","サモン者の見習い"
"heroes.name_fancy.magic_anton","若手研究者"
"heroes.name_fancy.magic_becky","星明りの奇術師"
"heroes.name_fancy.magic_becky_costume_gothic","黄昏の奇術師"
"heroes.name_fancy.magic_camilla","陶磁器の修理屋"
"heroes.name_fancy.magic_camilla_costume_flower","花の修理屋"
"heroes.name_fancy.magic_carpet_agadh","魔法の絨毯の暗殺者"
"heroes.name_fancy.magic_carpet_amelia","魔法の飛行者"
"heroes.name_fancy.magic_carpet_bart","魔法のカーペットのスピードスター"
"heroes.name_fancy.magic_carpet_bertha","魔法の絨毯の織師"
"heroes.name_fancy.magic_carpet_crustee","魔法の実験室の天才"
"heroes.name_fancy.magic_carpet_elyssa","魔法の絨毯の美食家"
"heroes.name_fancy.magic_carpet_jwala","溶岩の魔法少女"
"heroes.name_fancy.magic_carpet_kesha","アッ・ライルの女魔法使い"
