"heroes.name_fancy.astral_cosmicspeaker","Astral-elvernes astronom"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Krigens nøglemester"
"heroes.name_fancy.fire_god_doom","Blodplettet druide"
"heroes.name_fancy.fire_god_doom_costume_avenger","Flammehævner"
"heroes.name_fancy.fire_god_eliane","Ældre rød magiker"
"heroes.name_fancy.fire_god_jean_francois","Musketertroldmand"
"heroes.name_fancy.fire_god_maple","Efterårsskovfe"
"heroes.name_fancy.fire_god_nadnog","Den fyrige helbreder"
"heroes.name_fancy.fire_god_natalya","Ildfødt troldkvinde"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Ildfødt syerske"
"heroes.name_fancy.fire_god_neema","Ildmagiker"
"heroes.name_fancy.fire_god_noor","Spurvehvisker"
"heroes.name_fancy.fire_god_reuben","Inkarneret okkultist"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Uadskilleligt hold"
"heroes.name_fancy.fire_god_russell","Rasende pyromantiker"
"heroes.name_fancy.fire_god_skargremar","Banebrydende bagtrop"
"heroes.name_fancy.fire_god_tahir","Nomadisk jæger"
"heroes.name_fancy.fire_god_yang_mai","Solens næve"
"heroes.name_fancy.fire_god_zagrog","Ensom oprører"
"heroes.name_fancy.fire_god_zarga","Hurtig klinge"
"heroes.name_fancy.fire_god_zidane","Charmerende kaper"
"heroes.name_fancy.fire_god_zimkitha","Længe savnet datter"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Forsvundne eventyrer"
"heroes.name_fancy.fleur_elyzabel","Sangvinsk grevinde"
"heroes.name_fancy.fleur_eumachius","Sangvinsk efterkommer"
"heroes.name_fancy.fleur_guillemette","Sangvinsk korsfarer"
"heroes.name_fancy.fleur_lavinia","Sangvinsk drømmer"
"heroes.name_fancy.fleur_ludovico","Sangvinsk forvalter"
"heroes.name_fancy.fleur_talesie","Rødmosset snigmorder"
"heroes.name_fancy.forest_archer","Dygtig bueskytte"
"heroes.name_fancy.forest_archer_costume_cute","Tegneserie-bueskytte"
"heroes.name_fancy.forest_archer_costume_glass","Glasbueskytte"
"heroes.name_fancy.forest_archer_costume_warrior","Dygtig bueskytte"
"heroes.name_fancy.forest_female_druid","Druide af Rathwood"
"heroes.name_fancy.forest_female_druid_costume_cute","Ratskovs tegneseriefigur"
"heroes.name_fancy.forest_female_druid_costume_glass","Ratskovs vitrail"
"heroes.name_fancy.forest_female_druid_costume_native","Concordias shaman"
"heroes.name_fancy.forest_female_elf","Skjoldmester af månelys"
"heroes.name_fancy.forest_female_elf_costume_cute","Tegneserie-skjoldmester"
"heroes.name_fancy.forest_female_elf_costume_fairy","Måneskinsfe"
"heroes.name_fancy.forest_female_elf_costume_glass","Glasskjoldmester"
"heroes.name_fancy.forest_female_elf_costume_mage","Månelysets præstinde"
"heroes.name_fancy.forest_female_illusionist","Plantehvisker"
"heroes.name_fancy.forest_female_spirit","Lysånd"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Lundånd"
"heroes.name_fancy.forest_female_spirit_costume_cute","Tegneserieånd"
"heroes.name_fancy.forest_female_spirit_costume_glass","Glasånd"
"heroes.name_fancy.forest_female_warrior","Landsbypige"
"heroes.name_fancy.forest_friar","Munter bror"
"heroes.name_fancy.forest_friar_costume_cute","Jovial tegneseriefigur"
"heroes.name_fancy.forest_friar_costume_explorer","Jovial opdagelsesrejsende"
"heroes.name_fancy.forest_friar_costume_glass","Munter vitrail"
"heroes.name_fancy.forest_god_elinor","Skattejæger"
"heroes.name_fancy.forest_god_elradir","Vild troldmand fra Måneskoven"
"heroes.name_fancy.forest_god_evelyn","Modig arving"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Modig jægerinde"
"heroes.name_fancy.forest_god_grace","Skov-cervitaur"
"heroes.name_fancy.forest_god_gregorion","Den dygtige bueskytte"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Eremit-alkymisten"
"heroes.name_fancy.forest_god_kingston","Den ædle snigmorder"
"heroes.name_fancy.forest_god_oberon","Seeliemester"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Evigegens ridder"
"heroes.name_fancy.forest_god_telluria","Skovguld"
"heroes.name_fancy.forest_god_zeline","Overjordisk natur"
"heroes.name_fancy.forest_god_zeline_costume_avian","Himmelsk fugl"
"heroes.name_fancy.forest_god_zocc","Nøglemester"
"heroes.name_fancy.forest_mage","Skovens visdom"
"heroes.name_fancy.forest_mage_costume_cute","Tegneserietroldmand"
"heroes.name_fancy.forest_mage_costume_glass","Skov-vitrail"
"heroes.name_fancy.forest_mage_costume_party","Festtroldmand"
"heroes.name_fancy.forest_mage_costume_white","Mægtig troldmand"
"heroes.name_fancy.forest_male_elf","Spydmester af månelys"
"heroes.name_fancy.forest_male_elf_costume_cute","Tegneserie-spydmester"
"heroes.name_fancy.forest_male_elf_costume_dark","Måneklar erobrer"
"heroes.name_fancy.forest_male_elf_costume_glass","Glasspydmester"
"heroes.name_fancy.forest_male_elf_costume_king","Månebeskinnet konge"
"heroes.name_fancy.forest_male_elf_costume_stylish","Stilfuld spydmester"
"heroes.name_fancy.forest_thug","Banditlejesoldat"
"heroes.name_fancy.forest_titan","Ældste af skoven"
"heroes.name_fancy.forest_titan_costume_cute","Skovboende tegneseriefigur"
"heroes.name_fancy.forest_titan_costume_glass","Skov-vitrail"
"heroes.name_fancy.forest_titan_costume_jester","Træhofnar"
"heroes.name_fancy.forest_titan_costume_nightmare","Skovenes mareridt"
"heroes.name_fancy.forest_woodsman","Simpel skovarbejder"
"heroes.name_fancy.forest_woodsman_warrior","Mægtige bror"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Lydløs bror"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Mægtig tegneseriefigur"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Mægtig vitrail"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Mægtig højlænder"
"heroes.name_fancy.forsaken_demhalar","Den sære beboer"
"heroes.name_fancy.forsaken_inanis","Den utøjrede"
"heroes.name_fancy.forsaken_jax","Forfølgende bølle"
"heroes.name_fancy.forsaken_kadath","Forbandet præst"
"heroes.name_fancy.forsaken_khatrox","Fordærvet slagsbror"
"heroes.name_fancy.forsaken_lamentia","Afgrundens tjener"
"heroes.name_fancy.fox_ashen","Den sølvryggede ræv"
"heroes.name_fancy.fox_ember","Ildræven"
"heroes.name_fancy.fox_foxglove","Den snu ræv med flagermuseører"
"heroes.name_fancy.fox_foxley","Den fredløse grå ræv"
"heroes.name_fancy.fox_halcyon","Den vogtende grå ræv"
"heroes.name_fancy.fox_nettletail","Den flinke skovpasserræv"
"heroes.name_fancy.fox_nibbles","Den sultne rævehvalp"
"heroes.name_fancy.fox_riverfang","Den magiske korsarræv"
"heroes.name_fancy.fox_rust","Beskyttende rød ræv"
"heroes.name_fancy.fox_sable","Den vildfarne prinsesseræv"
"heroes.name_fancy.fox_shadowfang","Knoglesamlende sandræv"
"heroes.name_fancy.fox_silverpaw","Piratørkenræven"
"heroes.name_fancy.fox_spiff","Den kongelige ridderræv"
"heroes.name_fancy.fox_swiftpaw","Snigmyrdende sølvræv"
"heroes.name_fancy.fox_whitefang","Vandrende arktisk ræv"
"heroes.name_fancy.gargoyle_arco","Besolutsom gargoil"
"heroes.name_fancy.gargoyle_bellerive","Ondskabsfuld gargoil"
"heroes.name_fancy.gargoyle_betty","Smidig gargoil"
"heroes.name_fancy.gargoyle_budatin","Frygtindgydende gargoil"
"heroes.name_fancy.gargoyle_el_duque","Ophøjet gargoil"
"heroes.name_fancy.gargoyle_gaillard","Kløgtig gargoil"
"heroes.name_fancy.gargoyle_garten","Festgargoile"
"heroes.name_fancy.gargoyle_goseck","Nedrig gargoil"
"heroes.name_fancy.gargoyle_grumbl","Vis gargoil"
"heroes.name_fancy.gargoyle_guffa","Stoisk gargoil"
"heroes.name_fancy.gargoyle_hilda","Frygtløs gargoil"
"heroes.name_fancy.gargoyle_hohenwerf","Rasende gargoil"
"heroes.name_fancy.gargoyle_kalo","Vildfarende gargoil"
"heroes.name_fancy.gargoyle_kemeny","Hærdet gargoil"
"heroes.name_fancy.gargoyle_matrera","Skyggeagtig gargoil"
"heroes.name_fancy.gargoyle_mena","Pedantisk gargoil"
"heroes.name_fancy.gargoyle_penolite","Nådesløs gargoil"
"heroes.name_fancy.gargoyle_pophit","Virtuos gargoile"
"heroes.name_fancy.gargoyle_soroca","Vred gargoil"
"heroes.name_fancy.gargoyle_uwe","Blød gargoil"
"heroes.name_fancy.gargoyle_vincent","Bange gargoil"
"heroes.name_fancy.gargoyle_vonreine","Flammende gargoil"
"heroes.name_fancy.garrison_archibald","Foruroligende kvartermester"
"heroes.name_fancy.garrison_beatrice","Kvartermester sergeant"
"heroes.name_fancy.garrison_caelen","Den eftertænksomme poet"
"heroes.name_fancy.garrison_ciara","Præcis kommandør"
"heroes.name_fancy.garrison_dima","Vildsvinenes herre"
"heroes.name_fancy.garrison_fergus","Godlidende konstabel"
"heroes.name_fancy.garrison_flamehide","Øglefolkets hasardspiller"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Gadeklog sergent"
"heroes.name_fancy.garrison_frostsnout","Øglefolkets fanebærer"
"heroes.name_fancy.garrison_godfrey","snakkesagelig vagtmand"
"heroes.name_fancy.garrison_greg","Grogmesteren"
"heroes.name_fancy.garrison_iarlaith","Den stilfulde sværdkæmper"
"heroes.name_fancy.garrison_iocantha","Våbenmester"
"heroes.name_fancy.garrison_kolya","Snusfornuftig skildvagt"
"heroes.name_fancy.garrison_maisie","Den muntre stenhugger"
"heroes.name_fancy.garrison_pip","Nervøs budbringer"
"heroes.name_fancy.garrison_rosalind","Frejdig kaptajn"
"heroes.name_fancy.garrison_shimmerscale","Øglefolkets lanternebærer"
"heroes.name_fancy.garrison_theodosius","Modig korporal"
"heroes.name_fancy.garrison_vanya","Den urokkelige minør"
"heroes.name_fancy.garrison_violet_potts","Sorgløs halving"
"heroes.name_fancy.garrison_william","Nervøs nattevagt"
"heroes.name_fancy.goblin_acidfire","Goblin-åndemaner"
"heroes.name_fancy.goblin_archer","Kvik jæger"
"heroes.name_fancy.goblin_boom_and_fang","Hensynsløs duo"
"heroes.name_fancy.goblin_boots","Intetanende vagt"
"heroes.name_fancy.goblin_darkfeather","Avanceret ørnetræner"
"heroes.name_fancy.goblin_deadboot","Goblinkultist"
"heroes.name_fancy.goblin_fighter","Lommetyven"
"heroes.name_fancy.goblin_fighter_costume_cute","Tegneserie-lommetyv"
"heroes.name_fancy.goblin_fighter_costume_evil","Halsskæreren"
"heroes.name_fancy.goblin_fighter_costume_glass","Glaslommetyv"
"heroes.name_fancy.goblin_fizzcoil","Goblin-violinist"
"heroes.name_fancy.goblin_goldie","Goblinskønhed"
"heroes.name_fancy.goblin_grimsteel","Eremit fra det frosne bjerg"
"heroes.name_fancy.goblin_kettle","Køkkenalkymist"
"heroes.name_fancy.goblin_leafwizzle","Dyrebesværger"
"heroes.name_fancy.goblin_madhammer","Goblinslagsbror"
"heroes.name_fancy.goblin_mage","Moseheks"
"heroes.name_fancy.goblin_mage_costume_candy","Slikheks"
"heroes.name_fancy.goblin_mage_costume_cute","Tegneserieheks"
"heroes.name_fancy.goblin_mage_costume_glass","Glasheks"
"heroes.name_fancy.goblin_mage_costume_toad","Tudseheks"
"heroes.name_fancy.goblin_pepperflame","Berømt goblin-fløjtespiller"
"heroes.name_fancy.goblin_ratgrub","Goblinrottehofmand"
"heroes.name_fancy.goblin_rocket","Sprængningsekspert"
"heroes.name_fancy.goblin_scrollbeast","Pensioneret vildsvinerytter"
"heroes.name_fancy.goblin_smarttongue","Goblinbarde"
"heroes.name_fancy.goblin_soursting","Arrogant goblinsnigmorder"
"heroes.name_fancy.guardian_bat","Mareridt af Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Kriger af Teltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Vild panter"
"heroes.name_fancy.guardian_chameleon","Elementalist af Teltocs"
"heroes.name_fancy.guardian_elephant","Teltocs sande pil"
"heroes.name_fancy.guardian_falcon_priest","Præst af Teltoc"
"heroes.name_fancy.guardian_gazelle","Druide af Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Teltocs rappe angriber"
"heroes.name_fancy.guardian_gorilla_chieftain","Høvding af Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Kong Erobreren"
"heroes.name_fancy.guardian_hippo","Teltocs vilddyr"
"heroes.name_fancy.guardian_jackal_assassin","Snigmorder af Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Teltocs bensamler"
"heroes.name_fancy.guardian_lemur","Teltocs helbreder"
"heroes.name_fancy.guardian_owl_gentleman","Elitevagtpost af Teltoc"
"heroes.name_fancy.halloween_alucard","Vampyr-ætling"
"heroes.name_fancy.halloween_alucard_costume_mafia","Vampyrmafioso"
"heroes.name_fancy.halloween_amber","Vampyrblodskriger"
"heroes.name_fancy.halloween_ana_belle","Charlady af Morlovia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Støvets baronesse"
"heroes.name_fancy.halloween_chester","Det uvenlige spøgelse"
"heroes.name_fancy.halloween_edwin","Snedig butler"
"heroes.name_fancy.halloween_edwin_costume_mafia","Den bagstræberiske butler"
"heroes.name_fancy.halloween_francine","Det kvindelige monster"
"heroes.name_fancy.halloween_francine_costume_mafia","Gangsterinden"
"heroes.name_fancy.halloween_frank","Monsteret"
"heroes.name_fancy.halloween_frank_costume_mafia","Gangsteren"
"heroes.name_fancy.halloween_goopy","Geléslim"
"heroes.name_fancy.halloween_hortensia","Fluefangernes amme"
"heroes.name_fancy.halloween_jack","Græskarklovn"
"heroes.name_fancy.halloween_lucinda","Bruger af Excalibroom"
"heroes.name_fancy.halloween_matilda","Uhellig konditor"
"heroes.name_fancy.halloween_miriam_and_midnight","Okkult duo"
"heroes.name_fancy.halloween_vanda","Vampyrdronning"
"heroes.name_fancy.halloween_vanda_costume_mafia","Forbrydelsens dronning"
"heroes.name_fancy.halloween_wayne","Morlovias store magiker"
"heroes.name_fancy.hidden_dark_god_myztero","Tryllebindende gåde"
"heroes.name_fancy.holy_god_aurox","Den strålende bersærker"
"heroes.name_fancy.holy_god_aviana","Falkekommandøren"
"heroes.name_fancy.holy_god_bai_yeong","Klingedanser"
"heroes.name_fancy.holy_god_celidana","Leder af de hellige præster"
"heroes.name_fancy.holy_god_delilah","Helt af den forbudte ø"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Himmeltemplets vogter"
"heroes.name_fancy.holy_god_devana","Egensindig jæger"
"heroes.name_fancy.holy_god_drake_lee","Mester i krigskunst"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Rolig kæmper"
"heroes.name_fancy.holy_god_faeona","Hvid elvermagiker"
"heroes.name_fancy.holy_god_gilda","Lysets dværgevejleder"
"heroes.name_fancy.holy_god_gilligan","Verdensfjern eventyrer"
"heroes.name_fancy.holy_god_hanitra","Lemurisk gudinde"
"heroes.name_fancy.holy_god_ithar","Dydig klatretyv"
"heroes.name_fancy.holy_god_kara","Hellig forsvarer"
"heroes.name_fancy.holy_god_malosi","Herskende mester"
"heroes.name_fancy.holy_god_may","Den lyksalige høsterske"
"heroes.name_fancy.holy_god_musashi","Usynlig ronin"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Udbryderkonge"
"heroes.name_fancy.holy_god_neith","Åbner af vejene"
"heroes.name_fancy.holy_god_onatel","Blind seer"
"heroes.name_fancy.holy_god_ranvir","Hellig kentaur"
"heroes.name_fancy.holy_god_uraeus","Mystisk vesir"
"heroes.name_fancy.holy_god_zora","Rosenridderen"
"heroes.name_fancy.ice_god_alexandrine","Skjold mod uretfærdighed"
"heroes.name_fancy.ice_god_areax","Ismagiker med hestehoved"
"heroes.name_fancy.ice_god_athena","Overjordisk is"
"heroes.name_fancy.ice_god_athena_costume_cute","Isens himmelske tegneseriefigur"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Krigsgudinde"
"heroes.name_fancy.ice_god_balur","Vild gladiator"
"heroes.name_fancy.ice_god_callum","Utrættelig sporhund"
"heroes.name_fancy.ice_god_claeg","Forbandet helbreder"
"heroes.name_fancy.ice_god_dvalin","Frostudøver"
"heroes.name_fancy.ice_god_eskimo","Iskæmpe-jægerkvinde"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Ismester"
"heroes.name_fancy.ice_god_frida","Arktisk trussel"
"heroes.name_fancy.ice_god_frosth","Vinterbringer"
"heroes.name_fancy.ice_god_glenda","Magisk gudmoder"
"heroes.name_fancy.ice_god_iris","Ekspertophæver"
"heroes.name_fancy.ice_god_klaern","Rimmagiker"
"heroes.name_fancy.ice_god_mene","Nattens fedronningen"
"heroes.name_fancy.ice_god_miki","Frostvæseners banemand"
"heroes.name_fancy.ice_god_nerasis","Den stille død"
"heroes.name_fancy.ice_god_october","Frossen højlænder"
"heroes.name_fancy.ice_god_october_costume_farmer","Frossen bonde"
"heroes.name_fancy.ice_god_perseus","Søn af Zeus"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Boreas' udfordrer"
"heroes.name_fancy.ice_god_raffaele","Roligt medie"
"heroes.name_fancy.ice_god_sini","Azurbesværgeren"
"heroes.name_fancy.ice_god_suzuna","Moderigtig tryllekunstner"
"heroes.name_fancy.ice_god_vela","Havtryllekunstner"
"heroes.name_fancy.institute_ellery","Vildfaren biolog"
"heroes.name_fancy.institute_emilie","Grænserigets opdagelsesrejsende"
"heroes.name_fancy.institute_piper","Nysgerrig lejesoldat"
"heroes.name_fancy.institute_professor_morryster","Den maskerede lærde"
"heroes.name_fancy.institute_ryleh","Assisterende arkivar"
"heroes.name_fancy.institute_wilcox","Hotshotfysiker"
"heroes.name_fancy.journey_change","Udvalgt af månelyset"
"heroes.name_fancy.journey_erlang_shen","Himlens krigsgud"
"heroes.name_fancy.journey_general_yin","Dæmonisk formskiftende general"
"heroes.name_fancy.journey_heifeng_guai","Sort vinddæmon"
"heroes.name_fancy.journey_nineheaded_beast","Nihovedet prinsgemal"
"heroes.name_fancy.journey_queen_guowang","Mageløs skønhed"
"heroes.name_fancy.journey_sha_wujing","Sandmunk"
"heroes.name_fancy.journey_tang_sanzang","Flodens store mysterium"
"heroes.name_fancy.journey_xie_zi_jing","Skorpiondæmon"
"heroes.name_fancy.journey_xiong_shanjun","Bjergbjørn"
"heroes.name_fancy.journey_xiwangmu","Dronningemoderen"
"heroes.name_fancy.kalevala_aino","Sommerjomfru"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Søfrue"
"heroes.name_fancy.kalevala_iku_turso","Uhyret fra dybet"
"heroes.name_fancy.kalevala_ilmarinen","Smedeekspert"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Ekspertopfinder"
"heroes.name_fancy.kalevala_joukahainen","Frygtindgydende jæger"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Frostjæger"
"heroes.name_fancy.kalevala_kullervo","Hævngerrig søn"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Arret søn"
"heroes.name_fancy.kalevala_lemminkainen","Udødelig mester"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Svindmester"
"heroes.name_fancy.kalevala_louhi","Heksen fra nord"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Nordens herskerinde"
"heroes.name_fancy.kalevala_mielikki","Skovens ånd"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Bjørnenes beskytter"
"heroes.name_fancy.kalevala_mother_lemminkainen","Mesterens frelser"
"heroes.name_fancy.kalevala_otso","Steppernes vandrer"
"heroes.name_fancy.kalevala_para","Husånd"
"heroes.name_fancy.kalevala_suomuhauki","Enormt spyd"
"heroes.name_fancy.kalevala_ukkonen","Väinämöinens forbandede slægtning"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Väinämöinens infernalske slægtning"
"heroes.name_fancy.kalevala_vainamoinen","Evig skjald"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Evig vismand"
"heroes.name_fancy.kingdom_cao_cao","Krigsherre fra Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Iskrigsherre"
"heroes.name_fancy.kingdom_diaochan","Genial skønhed"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Blomsterskønhed"
"heroes.name_fancy.kingdom_guan_yu","Modig general"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Infernogeneral"
"heroes.name_fancy.kingdom_jing","Fodsoldat fra Shu"
"heroes.name_fancy.kingdom_li","Fodsoldat fra Wu"
"heroes.name_fancy.kingdom_liu_bei","Krigsherre fra Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Skovens krigsherre"
"heroes.name_fancy.kingdom_lu_bu","Vredefyldt krigsherre"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Vred tigerkriger"
"heroes.name_fancy.kingdom_sun_quan","Krigsherre fra Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Lykkens krigsherre"
"heroes.name_fancy.kingdom_sun_shangxiang","Ædel kriger"
"heroes.name_fancy.kingdom_wang_yuanji","Mild adelsfrue"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Blid kalligraf"
"heroes.name_fancy.kingdom_xiahou_dun","Enøjet kommandør"
"heroes.name_fancy.kingdom_yao","Fodsoldat fra Wei"
"heroes.name_fancy.kingdom_zhang_fei","Nådesløs general"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Nådesløs bjørnegeneral"
"heroes.name_fancy.kingdom_zhou_yu","Ung kommandør"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Ravnekommandør"
"heroes.name_fancy.kingdom_zhuge_liang","Mesterstrateg"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Suveræn strateg"
"heroes.name_fancy.knights_bauchan","Nisse af Avalon"
"heroes.name_fancy.knights_black_knight","Rædsel af Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Negativ ridder"
"heroes.name_fancy.knights_gawain","Azurblå ridder"
"heroes.name_fancy.knights_green_knight","Avalons udfordrer"
"heroes.name_fancy.knights_guinevere","Dronning af Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Dragerytter fra Avalon"
"heroes.name_fancy.knights_king_arthur","Konge af Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Magikerinde af Avalon"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Klingekvinden"
"heroes.name_fancy.knights_merlin","Troldmand af Avalon"
"heroes.name_fancy.knights_merlin_costume_astrology","Astromancer fra Avalon"
"heroes.name_fancy.knights_morgan_le_fay","Troldkvinde af Avalon"
"heroes.name_fancy.knights_sir_lancelot","Ridder af Avalon"
"heroes.name_fancy.knights_treevil","Ondskaben fra Avalon"
"heroes.name_fancy.lionman_barbarian","Den sidste Leor"
"heroes.name_fancy.lionman_barbarian_costume_armor","Konge af Leor"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Babysitter fra Leor"
"heroes.name_fancy.lionman_barbarian_costume_cute","Tegneserieudgave af Leor"
"heroes.name_fancy.lionman_barbarian_costume_glass","Leor i glas"
"heroes.name_fancy.lionman_barbarian_costume_stylish","Stilfuld Leor"
"heroes.name_fancy.lizardman_trapper","Øglefolkets høvding"
"heroes.name_fancy.lizardman_trapper_costume_cute","Tegneseriehøvding"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Øglefolk-fisker"
"heroes.name_fancy.lizardman_trapper_costume_glass","Glashøvding"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Ældre medlem af øglefolket"
"heroes.name_fancy.lizardman_warrior","Øglefolk-kriger"
"heroes.name_fancy.lizardman_warrior_costume_cute","Tegneseriekæmper"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Forfader fra øglefolket"
"heroes.name_fancy.lizardman_warrior_costume_glass","Glaskriger"
"heroes.name_fancy.lunar_new_year_baishu","Akrobatisk månerotte"
"heroes.name_fancy.lunar_new_year_gongniu","Månevogter: Okse"
"heroes.name_fancy.lunar_new_year_laohu","Månetigerbølle"
"heroes.name_fancy.lunar_new_year_qinglong","Månestrateg: Drage"
"heroes.name_fancy.lunar_new_year_xiaoqing","Musikalsk måneslange"
"heroes.name_fancy.lunar_new_year_xiaotu","Månekaninbeskytter"
"heroes.name_fancy.magic_agrafena","Øverste kommissær"
"heroes.name_fancy.magic_agrafena_costume_dark","Ypperstetroldkvinde af mørket"
"heroes.name_fancy.magic_anastasia","Hidkalderlærling"
"heroes.name_fancy.magic_anton","Ung studerende"
"heroes.name_fancy.magic_becky","Stjerneskærsbesværger"
"heroes.name_fancy.magic_becky_costume_gothic","Tusmørkebesværgeren"
"heroes.name_fancy.magic_camilla","Altmuligspecialist"
"heroes.name_fancy.magic_camilla_costume_flower","Blomsterbinder"
"heroes.name_fancy.magic_carpet_agadh","Flyvende tæppe-snigmorder"
"heroes.name_fancy.magic_carpet_amelia","Magisk flyver"
"heroes.name_fancy.magic_carpet_bart","Fartbølle på magisk tæppe"
"heroes.name_fancy.magic_carpet_bertha","Flyvende tæppe-mager"
"heroes.name_fancy.magic_carpet_crustee","Magisk laboratoriegeni"
"heroes.name_fancy.magic_carpet_elyssa","Flyvende tæppe-gourmand"
"heroes.name_fancy.magic_carpet_jwala","Magisk lavapige"
"heroes.name_fancy.magic_carpet_kesha","Al-Layls fortryller"
"heroes.name_fancy.magic_carpet_lando","Flyvende tæppe-tæmmer"
"heroes.name_fancy.magic_carpet_lilli","Flyvende tæppe-kattedame"
"heroes.name_fancy.magic_carpet_manpip","Nervøs flyvende tæppe-fører"
"heroes.name_fancy.magic_carpet_naeem","Flyvende tæppe-drifter"
"heroes.name_fancy.magic_carpet_ragrim","Botaniker på magisk tæppe"
"heroes.name_fancy.magic_carpet_shareef","Ustoppelig troldmand"
"heroes.name_fancy.magic_carpet_zazha","Flyvende tæppe-helbreder"
"heroes.name_fancy.magic_cristobal","Besværgelsesprofessor"
"heroes.name_fancy.magic_cristobal_costume_emerald","Besværgelsesprofessor"
"heroes.name_fancy.magic_dolgoon","Lærd bibliotekar"
"heroes.name_fancy.magic_jett","Offerets budbringer"
"heroes.name_fancy.magic_kornel","Veteranbeskytter"
"heroes.name_fancy.magic_lucy","Naturtalent til magikerbold"
"heroes.name_fancy.magic_milena","Professor i magi"
"heroes.name_fancy.magic_milena_costume_ice","Professor i arktiske besværgelser"
"heroes.name_fancy.magic_motega","Øverste opsynsmand"
"heroes.name_fancy.magic_nadezhda","Tårnets rektor"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Tårnets postmester"
"heroes.name_fancy.magic_ray","Hoffets mester"
"heroes.name_fancy.magic_ray_costume_spiky","Tjørnenes forkæmper"
"heroes.name_fancy.magic_roxia","Ældgamle skriblerier-entusiast"
"heroes.name_fancy.magic_sergei","Magistuderende"
"heroes.name_fancy.magic_telonius","Skovens kentaur"
"heroes.name_fancy.magic_telonius_costume_brew","Skænkestuens kentaur"
"heroes.name_fancy.magic_ulius","Spøjs opfinder-troldmand"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Spøjs og mystisk sørøver"
"heroes.name_fancy.magic_vaishali","Mystisk skakmester"
"heroes.name_fancy.magic_vaishali_costume_chef","Mystisk tærtemester"
"heroes.name_fancy.magic_willow","Svævemester"
"heroes.name_fancy.magitech_sniper","Magitech-snigskytte"
"heroes.name_fancy.magitech_sniper_costume_cute","Tegneseriesnigskytte"
"heroes.name_fancy.magitech_sniper_costume_glass","Glassnigskytte"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Steampunksnigskytte"
"heroes.name_fancy.magitech_sniper_costume_undead","Udød snigskytte"
