"heroes.name.astral_cosmicspeaker","宇宙讲者"
"heroes.name.magic_roxia","洛茜娅"
"heroes.name.magic_sergei","谢尔盖"
"heroes.name.magic_telonius","特罗纽斯"
"heroes.name.magic_ulius","尤留思"
"heroes.name.magic_vaishali","吠舍离"
"heroes.name.magic_willow","维柳"
"heroes.name.magitech_sniper","多米西亚"
"heroes.name.mahayoddha_bhima","比马"
"heroes.name.mahayoddha_chitrangada","齐特拉伽达"
"heroes.name.masquerade_alessia","阿莱西亚"
"heroes.name.masquerade_aradia","阿拉迪亚"
"heroes.name.masquerade_carmenta","卡耳门塔"
"heroes.name.masquerade_cel","谢尔"
"heroes.name.masquerade_februus","菲布路斯"
"heroes.name.masquerade_fortuna","福尔图娜"
"heroes.name.masquerade_fosco","佛斯考"
"heroes.name.masquerade_jana","嘉娜"
"heroes.name.masquerade_jove","朱庇特"
"heroes.name.masquerade_umbria","翁布丽亚"
"heroes.name.mighty_pet_barkley","巴克利"
"heroes.name.mighty_pet_bubbles","泡泡"
"heroes.name.mighty_pet_chomper","嘎嘣"
"heroes.name.mighty_pet_cinnamon","肉桂"
"heroes.name.mighty_pet_cupcake","小蛋糕"
"heroes.name.mighty_pet_furdinand","费迪南"
"heroes.name.mighty_pet_hachiko","忠犬八公"
"heroes.name.mighty_pet_luna","露娜"
"heroes.name.mighty_pet_ribbit","呱呱"
"heroes.name.mighty_pet_rufus","鲁弗斯"
"heroes.name.mighty_pet_snowball","雪球"
"heroes.name.mighty_pet_toto","麦克思"
"heroes.name.mighty_pet_waddles","摆摆"
"heroes.name.mimic_ascension_epic_yellow","进阶拟态兽"
"heroes.name.mimic_ascension_item_blue","进阶拟态兽"
"heroes.name.mimic_ascension_item_green","进阶拟态兽"
"heroes.name.mimic_ascension_item_purple","进阶拟态兽"
"heroes.name.mimic_ascension_item_red","进阶拟态兽"
"heroes.name.mimic_ascension_item_yellow","进阶拟态兽"
"heroes.name.mimic_emblem_blue","纹章拟态兽"
"heroes.name.mimic_emblem_green","纹章拟态兽"
"heroes.name.mimic_emblem_purple","纹章拟态兽"
"heroes.name.mimic_emblem_red","纹章拟态兽"
"heroes.name.mimic_emblem_yellow","纹章拟态兽"
"heroes.name.mimic_experience_rare_red","经验拟态兽"
"heroes.name.mimic_training_hero_blue","经验拟态兽"
"heroes.name.mimic_training_hero_green","经验拟态兽"
"heroes.name.mimic_training_hero_purple","经验拟态兽"
"heroes.name.mimic_training_hero_red","经验拟态兽"
"heroes.name.mimic_training_hero_yellow","经验拟态兽"
"heroes.name.monster_hunter_adalinda","爱德琳达"
"heroes.name.monster_hunter_amund","阿蒙德"
"heroes.name.monster_hunter_basil","贝索"
"heroes.name.monster_hunter_berit","贝里特"
"heroes.name.monster_hunter_bogart","博加特"
"heroes.name.monster_hunter_bonecrusher","碎骨魔"
"heroes.name.monster_hunter_cedar","西达"
"heroes.name.monster_hunter_cleaver","屠刀"
"heroes.name.monster_hunter_dabria","达布莉亚"
"heroes.name.monster_hunter_dawn","旦"
"heroes.name.monster_hunter_dubhain","杜班"
"heroes.name.monster_hunter_ebba","埃芭"
"heroes.name.monster_hunter_edelaide","爱德蕾德"
"heroes.name.monster_hunter_fianna","菲安娜"
"heroes.name.monster_hunter_goretooth","血齿"
"heroes.name.monster_hunter_greel","格留"
"heroes.name.monster_hunter_hammertusk","锤牙"
"heroes.name.monster_hunter_hawthorn","山楂"
"heroes.name.monster_hunter_hurricane","飓风"
"heroes.name.monster_hunter_kai","凯"
"heroes.name.monster_hunter_knuckles","纳克斯"
"heroes.name.monster_hunter_maheegan","玛黑根"
"heroes.name.monster_hunter_malin","玛琳"
"heroes.name.monster_hunter_meadow","梅朵"
"heroes.name.monster_hunter_mistweaver","布雾者"
"heroes.name.monster_hunter_njal","尼亚尔"
"heroes.name.monster_hunter_numbskull","僵骨"
"heroes.name.monster_hunter_otis","奥提斯"
"heroes.name.monster_hunter_revna","蕾夫娜"
"heroes.name.monster_hunter_ruadh","鲁瓦"
"heroes.name.monster_hunter_sigyn","西格恩"
"heroes.name.monster_hunter_sorcha","索查"
"heroes.name.monster_hunter_sorrow","娑柔"
"heroes.name.monster_hunter_staintongue","斯特因堂"
"heroes.name.monster_hunter_sune","苏涅"
"heroes.name.monster_hunter_thunderclap","雷响"
"heroes.name.monster_hunter_thura","杜拉"
"heroes.name.monster_hunter_tremor","特烈末"
"heroes.name.monster_hunter_waterpipe","水贯"
"heroes.name.moth_auricarc","奥瑞卡克"
"heroes.name.moth_chimister","切米斯特"
"heroes.name.moth_chunkyroi","淳绮罗翼"
"heroes.name.moth_furgeant","弗吉安特"
"heroes.name.moth_gardered","加德瑞德"
"heroes.name.moth_grovevert","格罗沃特"
"heroes.name.moth_joyvert","乔伊沃特"
"heroes.name.moth_lilareine","莉拉瑞恩"
"heroes.name.moth_limeboire","莱姆博尔"
"heroes.name.moth_mortewitch","死亡女巫"
"heroes.name.moth_pepperbleu","佩普布勒"
"heroes.name.moth_rosepetite","小玫瑰"
"heroes.name.moth_satinpimenter","萨丁皮门特"
"heroes.name.moth_shyombre","希罗布雷"
"heroes.name.moth_tealmoine","提尔莫因"
"heroes.name.musketeer_aramis","阿拉密斯"
"heroes.name.musketeer_athos","阿多斯"
"heroes.name.musketeer_cardinal_richelieu","红衣主教黎塞留"
"heroes.name.musketeer_constance","康斯坦丝"
"heroes.name.musketeer_dartagnan","达达尼昂"
"heroes.name.musketeer_felton","费尔顿"
"heroes.name.musketeer_kitty","凯蒂"
"heroes.name.musketeer_milady_de_winter","米莱狄·德·温特"
"heroes.name.musketeer_planchet","布朗歇"
"heroes.name.musketeer_porthos","波尔多斯"
"heroes.name.musketeer_queen_anne","安娜王后"
"heroes.name.musketeer_rochefort","罗什福尔"
"heroes.name.musketeer_villiers","维利尔斯"
"heroes.name.mystery_enigmo","恩尼格莫"
"heroes.name.nature_god_balbar","巴尔巴"
"heroes.name.nature_god_bertila","贝蒂拉"
"heroes.name.nature_god_bo_and_runt","博与朗特"
"heroes.name.nature_god_chloris","克洛丽丝"
"heroes.name.nature_god_cinisia","西尼希雅"
"heroes.name.nature_god_florenna","弗洛伦娜"
"heroes.name.nature_god_leadria","丽德里娅"
"heroes.name.nature_god_liora","利奥拉"
"heroes.name.nature_god_mystia","米斯蒂亚"
"heroes.name.nature_god_silvaria","西尔瓦丽亚"
"heroes.name.nature_god_viselus","维赛勒斯"
"heroes.name.ninja_amethyst","紫石"
"heroes.name.ninja_ametrine","紫晶"
"heroes.name.ninja_aurum","黄金"
"heroes.name.ninja_azurite","石青"
"heroes.name.ninja_chikao","知贺雄"
"heroes.name.ninja_cobalt","钴蓝"
"heroes.name.ninja_ekanite","埃卡奈特"
"heroes.name.ninja_garnet","绯红"
"heroes.name.ninja_iga","伊贺"
"heroes.name.ninja_ito","伊藤"
"heroes.name.ninja_jade","碧玉"
"heroes.name.ninja_kinsaishi","金砂石"
"heroes.name.ninja_kushanku","公相君"
"heroes.name.ninja_malum","灾厄"
"heroes.name.ninja_mica","云母"
"heroes.name.ninja_morganite","摩根奈特"
"heroes.name.ninja_myoinni","妙印尼"
"heroes.name.ninja_nomad","浪子"
"heroes.name.ninja_oniwaka","鬼若丸"
"heroes.name.ninja_oniwakamaru","鬼若丸"
"heroes.name.ninja_onyx","玛瑙"
"heroes.name.ninja_osamu","修"
"heroes.name.ninja_peridot","珮绿朵"
"heroes.name.ninja_quartz","瓜尔茨"
"heroes.name.ninja_ruby","露比"
"heroes.name.ninja_sapphire","青玉"
"heroes.name.ninja_satsui","杀意"
"heroes.name.ninja_sawano","泽野"
"heroes.name.ninja_serandite","桃针"
"heroes.name.ninja_shale","页岩"
"heroes.name.ninja_tametomo","为朝"
"heroes.name.ninja_topaz","黄玉"
"heroes.name.ninja_tora","寅"
"heroes.name.ninja_umeko","梅子"
"heroes.name.ninja_zircon","锆英"
"heroes.name.nomad_axe_adventurer","科伦"
"heroes.name.nomad_female_archer","莎朗"
"heroes.name.nomad_female_assassin","斯嘉丽"
"heroes.name.nomad_female_berserker","卡莉莱"
"heroes.name.nomad_female_captain","马里亚娜"
"heroes.name.nomad_female_lord","艾琳娜"
"heroes.name.nomad_female_shaman","鹰月"
"heroes.name.nomad_female_swordmaster","阿萨尔"
"heroes.name.nomad_female_thief","吉尔"
"heroes.name.nomad_fighter","法里德"
"heroes.name.nomad_mage","贾汉吉"
"heroes.name.nomad_scout","图丹"
"heroes.name.nomad_shaman","沙克特"
"heroes.name.nordic_ancestral_warrior","格林姆"
"heroes.name.nordic_chained_werewolf","灰鬃狼人"
"heroes.name.nordic_female_scout","西格鲁恩"
"heroes.name.nordic_female_warrior","莱西德"
"heroes.name.nordic_ice_enchantress","伊萨莉亚"
"heroes.name.nordic_mage","乌尔墨"
"heroes.name.nordic_male_lord","理查德"
"heroes.name.nordic_swordman","瓦伦"
"heroes.name.nordic_warrior","布兰德"
"heroes.name.orc_gladiator","猛牙"
"heroes.name.orc_skirmisher","祖达"
"heroes.name.orc_troopmaster","戈莫克"
"heroes.name.orc_warrior","纳什加"
"heroes.name.oriental_brawler","贝恩"
"heroes.name.oriental_enchanted_monk","尤恩"
"heroes.name.oriental_falconer","赵"
"heroes.name.oriental_falconer.falcon","赵氏飞鹰"
"heroes.name.oriental_female_guard","达瓦"
"heroes.name.oriental_female_mage","凯兰尼"
"heroes.name.oriental_female_mystic","薇薇卡"
"heroes.name.oriental_female_ninja","光"
"heroes.name.oriental_female_templar","丽秀"
"heroes.name.oriental_monkey_captain","悟空"
"heroes.name.oriental_monkey_warrior","猴"
"heroes.name.oriental_panda_berserker","柑橘"
"heroes.name.oriental_panda_scout","莎姬"
"heroes.name.oriental_panda_warrior","胡桃"
"heroes.name.oriental_squire","纳什"
"heroes.name.oriental_warrior","健次郎"
"heroes.name.oriental_warrior_king","莱昂尼达斯"
"heroes.name.outlaw_chao_gai","晁盖"
"heroes.name.outlaw_gu_dasao","顾大嫂"
"heroes.name.outlaw_hu_sanniang","扈三娘"
"heroes.name.outlaw_li_kui","李逵"
"heroes.name.outlaw_lin_chong","林冲"
"heroes.name.outlaw_liu_tang","刘唐"
"heroes.name.outlaw_lu_zhishen","鲁智深"
"heroes.name.outlaw_ruan_xiaoqi","阮小七"
"heroes.name.outlaw_shi_jin","史进"
"heroes.name.outlaw_song_jiang","宋江"
"heroes.name.outlaw_sun_erniang","孙二娘"
"heroes.name.outlaw_wu_song","武松"
"heroes.name.outlaw_wu_yong","吴用"
"heroes.name.outlaw_xiang_chong","项充"
"heroes.name.outlaw_zheng_tianshou","郑天寿"
"heroes.name.owl_cennius","塞妮乌丝"
"heroes.name.owl_eron","埃隆"
"heroes.name.owl_featherino","费瑟里诺"
"heroes.name.owl_fulvia","富尔维亚"
"heroes.name.owl_juliani","朱利安尼"
"heroes.name.owl_livia","利维娅"
"heroes.name.owl_lodius","洛迪乌斯"
"heroes.name.owl_mariol","马莉奥尔"
"heroes.name.owl_olbec","奥尔贝克"
"heroes.name.owl_ommodus","奥莫德斯"
"heroes.name.owl_paeia","佩雅"
"heroes.name.owl_pertinax","佩蒂纳克斯"
"heroes.name.owl_relius","雷利乌斯"
"heroes.name.owl_timius","蒂米乌斯"
"heroes.name.owl_verus","韦鲁斯"
"heroes.name.pirate_anne","安"
"heroes.name.pirate_boatswain","黑凯撒"
"heroes.name.pirate_bonny","邦妮"
"heroes.name.pirate_cabin_boy","皮特斯"
"heroes.name.pirate_commodore_finley","芬利"
"heroes.name.pirate_dread_captain","马尾藻"
"heroes.name.pirate_first_mate","炸弹魔"
"heroes.name.pirate_lady","洛克小姐"
"heroes.name.pirate_marie_therese","玛丽-特瑞莎"
"heroes.name.pirate_sally","萨莉"
"heroes.name.pirate_swashbuckler","科斯特雷尔船长"
"heroes.name.pirate_vodnik","沃德尼克"
"heroes.name.rabbit_blue","天兔大师"
"heroes.name.rabbit_green","杰克·奥黑尔"
"heroes.name.rabbit_red","兔子随从"
"heroes.name.rider_hero_blue","训练师英雄"
"heroes.name.rider_hero_green","训练师英雄"
"heroes.name.rider_hero_purple","训练师英雄"
"heroes.name.rider_hero_red","训练师英雄"
"heroes.name.rider_hero_yellow","训练师英雄"
"heroes.name.royal_female_knight","索尼娅"
"heroes.name.royal_knight","古纳尔"
"heroes.name.royal_knight_commander","索恩"
"heroes.name.royal_knight_commander_tutorial","格雷"
"heroes.name.royal_pikeman","奥拉夫"
"heroes.name.s2_ariel","爱丽儿"
"heroes.name.s2_atlantean_robot","嘉德利亚斯"
"heroes.name.s2_chameleon_bruiser","麻吉"
"heroes.name.s2_chameleon_chief","戈布勒"
"heroes.name.s2_chameleon_mage","艾格威"
"heroes.name.s2_crab_man","卡其诺斯"
"heroes.name.s2_croc_man","加托"
"heroes.name.s2_cursed_samurai","影血"
"heroes.name.s2_demon_master","住友"
"heroes.name.s2_fiji_mermaid","鳃拉"
"heroes.name.s2_fox_girl","稻荷"
"heroes.name.s2_ghost_woman","雨女"
"heroes.name.s2_hammerhead_hulk","巨齿鲨"
"heroes.name.s2_junglehunter","塔拉克"
"heroes.name.s2_lantern_ghost","提灯"
"heroes.name.s2_mercenary_woman","米桑德拉"
"heroes.name.s2_merman","内修斯"
"heroes.name.s2_merwoman","梅里亚"
"heroes.name.s2_noble_lady","光子"
"heroes.name.s2_oceanus","俄刻阿诺斯"
"heroes.name.s2_poseidon","波塞冬"
"heroes.name.s2_proteus","普罗透斯"
"heroes.name.s2_rugged_fisherman","威尔伯"
"heroes.name.s2_skyllaros","阿多莫斯"
"heroes.name.s2_straw_demon","生剥鬼"
"heroes.name.s2_tanuki_raccoon","团三郎狸"
"heroes.name.s2_tethys","忒提丝"
"heroes.name.s2_triton","崔坦"
"heroes.name.s2_ursena","尤塞娜"
"heroes.name.s3_agnes","艾格尼斯"
"heroes.name.s3_alfrike","阿尔弗莱克"
"heroes.name.s3_almur","阿穆尔"
"heroes.name.s3_anwindr","安文德尔"
"heroes.name.s3_baldur","巴德尔"
"heroes.name.s3_bera","贝拉"
"heroes.name.s3_bjorn","比约恩"
"heroes.name.s3_brynhild","布琳希尔德"
"heroes.name.s3_by_ulf","拜伍尔夫"
"heroes.name.s3_ei_dunn","艾邓恩"
"heroes.name.s3_fenrir","芬里厄"
"heroes.name.s3_freya","弗蕾亚"
"heroes.name.s3_frigg","弗丽嘉"
"heroes.name.s3_fura","芙拉"
"heroes.name.s3_gefjon","格费因"
"heroes.name.s3_grevle","格里弗"
"heroes.name.s3_gullinbursti","古林博斯帝"
"heroes.name.s3_heimdall","海姆达"
"heroes.name.s3_jarvur","亚弗尔"
"heroes.name.s3_jott","乔特"
"heroes.name.s3_kvasir","卡瓦希尔"
"heroes.name.s3_loki_female","洛基夫人"
"heroes.name.s3_loki_fish","鲑鱼洛基"
"heroes.name.s3_loki_male","洛基领主"
"heroes.name.s3_lord_loki_covenant","洛基领主"
"heroes.name.s3_mireweave","麦尔威弗"
"heroes.name.s3_mist","迷雾"
"heroes.name.s3_nordri","诺德里"
"heroes.name.s3_norns","诺伦三女神"
"heroes.name.s3_odin","奥丁"
"heroes.name.s3_ratatoskr","拉塔托斯克"
"heroes.name.s3_shadereave","沙德里夫"
"heroes.name.s3_sif","希芙"
"heroes.name.s3_skadi","斯嘉蒂"
"heroes.name.s3_stonecleave","斯通克里夫"
"heroes.name.s3_sudri","苏德里"
"heroes.name.s3_sumle","萨姆勒"
"heroes.name.s3_thor","托尔"
"heroes.name.s3_tyr","泰尔"
"heroes.name.s4_akkorog","阿克罗格"
"heroes.name.s4_aouda","奥代"
"heroes.name.s4_captain_nemo","尼莫船长"
"heroes.name.s4_congalach","康伽拉赫"
"heroes.name.s4_doctor_moreau","莫罗博士"
"heroes.name.s4_elizabeth","伊丽莎白"
"heroes.name.s4_exeera","艾克塞拉"
"heroes.name.s4_garjammal","卡加莫"
"heroes.name.s4_gramps","格兰普斯"
"heroes.name.s4_griffin","格里芬"
"heroes.name.s4_hannah","汉娜"
"heroes.name.s4_helo","河洛"
"heroes.name.s4_hulda","胡尔达"
"heroes.name.s4_kravekrush","克拉夫克鲁什"
"heroes.name.s4_lepiota","勒皮奥塔"
"heroes.name.s4_lughaidh","鲁海德"
"heroes.name.s4_mack","马克"
"heroes.name.s4_morel","莫雷尔"
"heroes.name.s4_morris","毛里斯"
"heroes.name.s4_octros","奥克特斯"
"heroes.name.s4_passepartout","帕瑟帕特奥"
"heroes.name.s4_phileas_fogg","斐利亚·福格"
"heroes.name.s4_poppy","波比"
"heroes.name.s4_professor_lidenbrock","黎登布洛克教授"
"heroes.name.s4_rokkamush","洛卡莫什"
"heroes.name.s4_russula","鲁苏拉"
"heroes.name.s4_tettukh","特图克"
"heroes.name.s4_vollermork","沃勒莫克"
"heroes.name.s4_xenda","仙妲"
"heroes.name.s4_xnolphod","泽诺福德"
"heroes.name.s4_zekena","泽克纳"
"heroes.name.s4_zenobia","季诺碧亚"
"heroes.name.s4_zila_lei","齐拉蕾"
"heroes.name.s5_ahhotep","爱赫特波"
"heroes.name.s5_ahmose","雅赫摩斯"
"heroes.name.s5_anubis","阿努比斯"
"heroes.name.s5_aqeela","阿奎拉"
"heroes.name.s5_azmia","奥兹玛"
"heroes.name.s5_bastet","巴斯泰托"
"heroes.name.s5_bennu","本努"
"heroes.name.s5_cleopatra","克利奥帕特拉"
"heroes.name.s5_el_naddaha","埃纳达哈"
"heroes.name.s5_eset","艾塞特"
"heroes.name.s5_faiez","法伊兹"
"heroes.name.s5_hathor","哈索尔"
"heroes.name.s5_hetepheres","赫特费雷斯"
"heroes.name.s5_horus","荷鲁斯"
"heroes.name.s5_jarif","加里夫"
"heroes.name.s5_junaid","约纳德"
"heroes.name.s5_khafre","胡夫"
"heroes.name.s5_khepri","凯布利"
"heroes.name.s5_khonshu","孔舒"
"heroes.name.s5_maat","玛阿特"
"heroes.name.s5_meresankh","美勒桑克"
"heroes.name.s5_papyros","帕普罗斯"
"heroes.name.s5_ptolemy","托勒密"
"heroes.name.s5_rekhetre","雷克赫特"
"heroes.name.s5_scoratek","苏格拉泰"
"heroes.name.s5_sekhmet","塞赫美特"
"heroes.name.s5_set","赛特"
"heroes.name.s5_sneferu","斯尼夫鲁"
"heroes.name.s5_sobek","索贝克"
"heroes.name.s5_tetisheri","特里谢里"
"heroes.name.s5_waqas","瓦卡斯"
"heroes.name.sand_horse","阿骏"
"heroes.name.sand_king","尤纳恩"
"heroes.name.sand_queen","拉娜"
"heroes.name.sand_roc","罗克"
"heroes.name.sand_soldier","阿尔曼"
"heroes.name.sand_tower","贾巴尔"
"heroes.name.sand_vizier","贾法尔"
"heroes.name.shadow_abigail","阿比盖尔"
"heroes.name.shadow_asketel","阿斯科特尔"
"heroes.name.shadow_atwood","阿特伍德"
"heroes.name.shadow_burton","伯顿"
"heroes.name.shadow_cthuwu","克苏乌"
"heroes.name.shadow_dolores","德洛丽丝"
"heroes.name.shadow_gwendoline","格温多林"
"heroes.name.shadow_hunter","狩猎者"
"heroes.name.shadow_hysteria","希丝特莉亚"
"heroes.name.shadow_melancholia","忧郁者"
"heroes.name.shadow_omen","奥门"
"heroes.name.shadow_penelope","珀涅罗珀"
"heroes.name.shadow_rashan","拉尚"
"heroes.name.shadow_rosanna","罗莎娜"
"heroes.name.shadow_salvatore","萨尔瓦多"
"heroes.name.shadow_shoggo","肖戈"
"heroes.name.shadow_wulfstan","武尔夫斯坦"
"heroes.name.shadow_zavinia","扎维尼亚"
"heroes.name.slayer_aodhan","奥丹"
"heroes.name.slayer_caitlin","凯特琳"
"heroes.name.slayer_cathal","卡塔尔"
"heroes.name.slayer_cillian","希里安"
"heroes.name.slayer_maeve","梅芙"
"heroes.name.slayer_noril","诺里尔"
"heroes.name.slayer_orla","奥拉"
"heroes.name.slayer_rian","里安"
"heroes.name.slayer_saoirse","西尔莎"
"heroes.name.slayer_senan","森安"
"heroes.name.slime","史莱姆"
"heroes.name.slime_charmione","夏麦妮"
"heroes.name.slime_choozen","楚森"
"heroes.name.slime_fruitio","弗鲁提奥"
"heroes.name.slime_fungustine","香菇斯丁"
"heroes.name.slime_gloozmer","格鲁兹默"
"heroes.name.slime_goldrip","金滴"
"heroes.name.slime_gooldron","古尔德隆"
"heroes.name.slime_goorian","古利安"
"heroes.name.slime_gooric","古里克"
"heroes.name.slime_gooze","古兹"
"heroes.name.slime_gunktus","刚特司"
"heroes.name.slime_harubo","春坊"
"heroes.name.slime_knightus","奈特司"
"heroes.name.slime_labblub","拉布拉布"
"heroes.name.slime_magistine","玛吉斯汀"
"heroes.name.slime_mucktus","马克特司"
"heroes.name.slime_slaymire","斯雷迈尔"
"heroes.name.slime_slimgo","史莱姆戈"
"heroes.name.slime_sliposi","斯利波西"
"heroes.name.slime_sludgus","斯拉古司"
"heroes.name.slime_verdigoo","维迪古"
"heroes.name.slime_zestique","泽斯蒂克"
"heroes.name.styx_amphitrite","安菲特里忒"
"heroes.name.styx_arges","阿尔吉斯"
"heroes.name.styx_brontes","布隆特斯"
"heroes.name.styx_charon","卡戎"
"heroes.name.styx_dante","但丁"
"heroes.name.styx_erebus","厄瑞玻斯"
"heroes.name.styx_hypnos","修普诺斯"
"heroes.name.styx_nemesis","涅墨西斯"
"heroes.name.styx_nyx","倪克斯"
"heroes.name.styx_steropes","斯忒洛珀"
"heroes.name.styx_thanatos","塔纳托斯"
"heroes.name.styx_virgil","维吉尔"
"heroes.name.tales1_aqualith","水形魔"
"heroes.name.tales1_atlanteia","亚特兰蒂亚"
"heroes.name.tales1_bagreg","巴格雷格"
"heroes.name.tales1_ceto","刻托"
"heroes.name.tales1_domiventus","多米万图斯"
"heroes.name.tales1_ephyra","依菲拉"
"heroes.name.tales1_galapago","加拉帕戈"
"heroes.name.tales1_gelert","杰勒"
"heroes.name.tales1_gestalt","格式塔"
"heroes.name.tales1_jaco","雅科"
"heroes.name.tales1_lasalle","拉萨尔"
"heroes.name.tales1_medea","美狄亚"
"heroes.name.tales1_mulgog","木果"
"heroes.name.tales1_persa","波莎"
"heroes.name.tales1_phorcys","福耳库斯"
"heroes.name.tales1_sharkhai","沙凯"
"heroes.name.tales1_spartoi","斯帕托依"
"heroes.name.tales1_thalassa","塔拉萨"
"heroes.name.tales1_ultrox","奥绰刻斯"
"heroes.name.tales2_aethslegaur","埃斯莱高"
"heroes.name.tales2_andvari","安德瓦里"
"heroes.name.tales2_bragi","布拉吉"
"heroes.name.tales2_bryggvir","布里格维尔"
"heroes.name.tales2_dagr","达格"
"heroes.name.tales2_dain","达因"
"heroes.name.tales2_dularfulr","杜拉富勒"
"heroes.name.tales2_fafnir","法夫纳"
"heroes.name.tales2_fimafeng","费玛芬格"
"heroes.name.tales2_fjalar","菲亚拉尔"
"heroes.name.tales2_gandr","甘德尔"
"heroes.name.tales2_helgi","赫尔吉"
"heroes.name.tales2_hogne","赫格内"
"heroes.name.tales2_hreidmarr","赫里德马尔"
"heroes.name.tales2_motsognir","莫索尼尔"
"heroes.name.tales2_ott","奥特"
"heroes.name.tales2_regin","雷金"
"heroes.name.tales2_snorri","斯诺里"
"heroes.name.tales2_svafa","斯瓦法"
"heroes.name.tales2_thrivaldi","特里瓦尔迪"
"heroes.name.trainer","训练师英雄"
"heroes.name.trainer_rainbow","训练师大师"
"heroes.name.tribal_chief","可汗"
"heroes.name.undead_captain_warrior","塞普里恩"
"heroes.name.undead_female_warrior","萨拜娜"
"heroes.name.undead_horned_skeleton","奥伯伦"
"heroes.name.undead_running_skeleton","泰伦"
"heroes.name.undead_screaming_zombie","希利苏斯"
"heroes.name.underworld_champion","欧巴坎"
"heroes.name.valentines_anteros","安忒洛斯"
"heroes.name.valentines_cupido","丘比特"
"heroes.name.valentines_elba","厄尔巴"
"heroes.name.valentines_eros","厄洛斯"
"heroes.name.valentines_himeros","希莫洛斯"
"heroes.name.valentines_kabeiroi","卡比洛斯"
"heroes.name.valentines_matchmaker_dodgrom","多戈洛姆"
"heroes.name.valentines_phthonus","菲托努斯"
"heroes.name.valentines_voluptas","沃路普塔斯"
"heroes.name.valentines_zarola","查罗拉"
"heroes.name.vampire_king","维克托"
"heroes.name.vampire_lord","弗拉德"
"heroes.name.vampire_queen","法蕾莉"
"heroes.name.vegetable_bartholomew","巴塞洛缪"
"heroes.name.vegetable_elsbeth","埃尔斯贝特"
"heroes.name.villain_asterius","阿斯特琉思"
"heroes.name.villain_crystalis","克里斯托里斯"
"heroes.name.villain_dark_lord","暗黑领主"
"heroes.name.villain_edd","艾德"
"heroes.name.villain_ingolf","因戈尔夫"
"heroes.name.villain_isrod","艾斯罗德"
"heroes.name.villain_karnov","卡洛夫"
"heroes.name.villain_sanngrior","桑格里厄"
"heroes.name.villain_skrekok","斯克里克"
"heroes.name.villain_toxicandra","托克斯坎德拉"
"heroes.name.wild_cat_ferni","费尔尼"
"heroes.name.wild_cat_imagus","伊玛古斯"
"heroes.name.wild_cat_lennart","伦纳特"
"heroes.name.wild_cat_leonie","雷奥妮"
"heroes.name.wild_cat_marnes","马恩斯"
"heroes.name.wild_cat_rajesh","拉杰什"
"heroes.name.wild_cat_stravia","斯特拉维亚"
"heroes.name.wild_cat_thaffer","塔弗"
"heroes.name.wild_cat_tunes","图内斯"
"heroes.name.wild_cat_vernix","维尼克斯"
"heroes.name.witch_king","图特阿蒙"
"heroes.name.wonderland_alice","爱丽丝"
"heroes.name.wonderland_bear","灌木熊"
"heroes.name.wonderland_captain","方块上尉"
"heroes.name.wonderland_cheshire_cat","柴郡猫"
"heroes.name.wonderland_duchess","女爵"
"heroes.name.wonderland_hatter","疯帽子"
"heroes.name.wonderland_jabberwocky","炸脖龙"
"heroes.name.wonderland_king_of_hearts","红心国王"
"heroes.name.wonderland_knave_of_hearts","红心骑士"
"heroes.name.wonderland_phoenicus","菲尼克斯"
"heroes.name.wonderland_queen","红桃王后"
"heroes.name.wonderland_tweedles","特伟双胞胎"
"heroes.name.wonderland_white_rabbit","白兔先生"
"heroes.name.zombie","僵尸"
