"heroes.name_fancy.astral_cosmicspeaker","Astrônomo dos Elfos Astrais"
"heroes.name_fancy.faun_peregrine","Patrulheiro Fauno Imprudente"
"heroes.name_fancy.faun_philomena","Trovadora Fauna Hipnotizante"
"heroes.name_fancy.faun_saskia","Dançarino Fauno"
"heroes.name_fancy.faun_tamlin","Flautista Fauno"
"heroes.name_fancy.faun_verity","Comerciante Fauno"
"heroes.name_fancy.faun_yolanda","Vidente Fauna Sanguinária"
"heroes.name_fancy.faun_ysabel","Gladiadora Fauna Destemida"
"heroes.name_fancy.fire_god_andre","Templário Traído"
"heroes.name_fancy.fire_god_anzogh","Xamã Rancoroso"
"heroes.name_fancy.fire_god_ares","Deidade de guerra"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Guardiã das Chaves de Guerra"
"heroes.name_fancy.fire_god_doom","Druida manchado de sangue"
"heroes.name_fancy.fire_god_doom_costume_avenger","Vingadora Ardente"
"heroes.name_fancy.fire_god_eliane","Mago Vermelho Idoso"
"heroes.name_fancy.fire_god_jean_francois","Mago Mosqueteiro"
"heroes.name_fancy.fire_god_maple","Fada do Bosque"
"heroes.name_fancy.fire_god_nadnog","O curandeiro inflamado"
"heroes.name_fancy.fire_god_natalya","Feiticeira ígnea"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Costureira do Fogo"
"heroes.name_fancy.fire_god_neema","Bruxo de Fogo"
"heroes.name_fancy.fire_god_noor","Encantador de Pardais"
"heroes.name_fancy.fire_god_reuben","Ocultista Juramentado"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Equipe Inseparável"
"heroes.name_fancy.fire_god_russell","Piromante Furioso"
"heroes.name_fancy.fire_god_skargremar","Retaguarda Pioneira"
"heroes.name_fancy.fire_god_tahir","Caçador Nômade"
"heroes.name_fancy.fire_god_yang_mai","Punho do Sol"
"heroes.name_fancy.fire_god_zagrog","Ladino Solitário"
"heroes.name_fancy.fire_god_zarga","Lâmina Veloz"
"heroes.name_fancy.fire_god_zidane","Corsário Charmoso"
"heroes.name_fancy.fire_god_zimkitha","Filha perdida"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Aventureira Desaparecida"
"heroes.name_fancy.fleur_elyzabel","Condessa Sanguinária"
"heroes.name_fancy.fleur_eumachius","Herdeiro Sanguinário"
"heroes.name_fancy.fleur_guillemette","Cruzada Sanguinária"
"heroes.name_fancy.fleur_lavinia","Sonhadora Sanguinária"
"heroes.name_fancy.fleur_ludovico","Guardião Sanguinário"
"heroes.name_fancy.fleur_talesie","Assassino Sanguinário"
"heroes.name_fancy.forest_archer","Arqueiro capaz"
"heroes.name_fancy.forest_archer_costume_cute","Arqueiro Fofo"
"heroes.name_fancy.forest_archer_costume_glass","Arqueiro de Vidro"
"heroes.name_fancy.forest_archer_costume_warrior","Arqueiro Habilidoso"
"heroes.name_fancy.forest_female_druid","Druida do Bosque do Bastião"
"heroes.name_fancy.forest_female_druid_costume_cute","Fofura de Rathwood"
"heroes.name_fancy.forest_female_druid_costume_glass","Vitral de Rathwood"
"heroes.name_fancy.forest_female_druid_costume_native","Xamã da concórdia"
"heroes.name_fancy.forest_female_elf","Mestra Escudeira do Luar"
"heroes.name_fancy.forest_female_elf_costume_cute","Mestra Escudeira Fofa"
"heroes.name_fancy.forest_female_elf_costume_fairy","Fada do Luar"
"heroes.name_fancy.forest_female_elf_costume_glass","Mestra Escudeira de Vidro"
"heroes.name_fancy.forest_female_elf_costume_mage","Sacerdotisa da Luz da Lua"
"heroes.name_fancy.forest_female_illusionist","Encantador de plantas"
"heroes.name_fancy.forest_female_spirit","Espírito da clareira"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Espírito do Arvoredo"
"heroes.name_fancy.forest_female_spirit_costume_cute","Espírito Fofo"
"heroes.name_fancy.forest_female_spirit_costume_glass","Espírito de Vidro"
"heroes.name_fancy.forest_female_warrior","Menina da aldeia"
"heroes.name_fancy.forest_friar","Irmão jovial"
"heroes.name_fancy.forest_friar_costume_cute","Fofura Jovial"
"heroes.name_fancy.forest_friar_costume_explorer","Explorador Jovial"
"heroes.name_fancy.forest_friar_costume_glass","Vitral Jovial"
"heroes.name_fancy.forest_god_elinor","Caçador de tesouros"
"heroes.name_fancy.forest_god_elradir","Bruxo Selvagem do Bosque Lunar"
"heroes.name_fancy.forest_god_evelyn","Herdeira corajosa"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Caçadora Valente"
"heroes.name_fancy.forest_god_grace","Cervitaura do Bosque"
"heroes.name_fancy.forest_god_gregorion","O arqueiro adepto"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Alquimista Ermitão"
"heroes.name_fancy.forest_god_kingston","O assassino nobre"
"heroes.name_fancy.forest_god_oberon","Campeão de Seelie"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Cavaleiro do Carvalho Eterno"
"heroes.name_fancy.forest_god_telluria","Deus da floresta"
"heroes.name_fancy.forest_god_zeline","Celestial da natureza"
"heroes.name_fancy.forest_god_zeline_costume_avian","Celestial Aviária"
"heroes.name_fancy.forest_god_zocc","Mestre das Chaves"
"heroes.name_fancy.forest_mage","Sabedoria da floresta"
"heroes.name_fancy.forest_mage_costume_cute","Bruxo Fofo"
"heroes.name_fancy.forest_mage_costume_glass","Vitral da Floresta"
"heroes.name_fancy.forest_mage_costume_party","Mago da Festa"
"heroes.name_fancy.forest_mage_costume_white","Mago poderoso"
"heroes.name_fancy.forest_male_elf","Mestre escudeiro do luar"
"heroes.name_fancy.forest_male_elf_costume_cute","Lanceiro Fofo"
"heroes.name_fancy.forest_male_elf_costume_dark","Conquistador Enluarado"
"heroes.name_fancy.forest_male_elf_costume_glass","Mestre da Lança de Vidro"
"heroes.name_fancy.forest_male_elf_costume_king","Rei Enluarado"
"heroes.name_fancy.forest_male_elf_costume_stylish","Lanceiro estiloso"
"heroes.name_fancy.forest_thug","Bandido mercenário"
"heroes.name_fancy.forest_titan","Ancestral dos bosques"
"heroes.name_fancy.forest_titan_costume_cute","Fofura da Floresta"
"heroes.name_fancy.forest_titan_costume_glass","Vitral da Floresta"
"heroes.name_fancy.forest_titan_costume_jester","Bobo da corte de madeira"
"heroes.name_fancy.forest_titan_costume_nightmare","Pesadelo dos Bosques"
"heroes.name_fancy.forest_woodsman","Lenhador simples"
"heroes.name_fancy.forest_woodsman_warrior","Irmão poderoso"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Irmão Furtivo"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Fofura Poderosa"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Vitral Poderoso"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Grande Montanhês"
"heroes.name_fancy.forsaken_demhalar","Ocupante Estranho"
"heroes.name_fancy.forsaken_inanis","A Desamarrada"
"heroes.name_fancy.forsaken_jax","Vândalo Perseguidor"
"heroes.name_fancy.forsaken_kadath","Clérigo Amaldiçoado"
"heroes.name_fancy.forsaken_khatrox","Brutamontes Flagelado"
"heroes.name_fancy.forsaken_lamentia","Serva do Abismo"
"heroes.name_fancy.fox_ashen","Raposa do Cabo"
"heroes.name_fancy.fox_ember","Raposa Chama-Fogo"
"heroes.name_fancy.fox_foxglove","Raposa Orelhuda"
"heroes.name_fancy.fox_foxley","Raposa Fora-da-Lei"
"heroes.name_fancy.fox_halcyon","Raposa Cinzenta"
"heroes.name_fancy.fox_nettletail","Raposa Gentil"
"heroes.name_fancy.fox_nibbles","Filhote de Raposa"
"heroes.name_fancy.fox_riverfang","Raposa das Estepes"
"heroes.name_fancy.fox_rust","Raposa Vermelha Guardiã"
"heroes.name_fancy.fox_sable","Raposa Princesa Desaparecida"
"heroes.name_fancy.fox_shadowfang","Raposa da Areia Colecionadora de Ossos"
"heroes.name_fancy.fox_silverpaw","Feneco Pirata"
"heroes.name_fancy.fox_spiff","Raposa Cavaleiro Real"
"heroes.name_fancy.fox_swiftpaw","Raposa Prateada Assassina"
"heroes.name_fancy.fox_whitefang","Raposa Ártica Patrulheira"
"heroes.name_fancy.gargoyle_arco","Gárgula Resoluto"
"heroes.name_fancy.gargoyle_bellerive","Gárgula Perverso"
"heroes.name_fancy.gargoyle_betty","Gárgula Ágil"
"heroes.name_fancy.gargoyle_budatin","Gárgula Malévolo"
"heroes.name_fancy.gargoyle_el_duque","Gárgula Exaltado"
"heroes.name_fancy.gargoyle_gaillard","Gárgula Astuto"
"heroes.name_fancy.gargoyle_garten","Gárgula Festivo"
"heroes.name_fancy.gargoyle_goseck","Gárgula Insidioso"
"heroes.name_fancy.gargoyle_grumbl","Gárgula Sábio"
"heroes.name_fancy.gargoyle_guffa","Gárgula Estoico"
"heroes.name_fancy.gargoyle_hilda","Gárgula Destemido"
"heroes.name_fancy.gargoyle_hohenwerf","Gárgula Feroz"
"heroes.name_fancy.gargoyle_kalo","Gárgula Aberrante"
"heroes.name_fancy.gargoyle_kemeny","Gárgula Fortalecido"
"heroes.name_fancy.gargoyle_matrera","Gárgula Sombrio"
"heroes.name_fancy.gargoyle_mena","Gárgula Pedante"
"heroes.name_fancy.gargoyle_penolite","Gárgula Implacável"
"heroes.name_fancy.gargoyle_pophit","Gárgula Virtuoso"
"heroes.name_fancy.gargoyle_soroca","Gárgula Furioso"
"heroes.name_fancy.gargoyle_uwe","Gárgula Felpudo"
"heroes.name_fancy.gargoyle_vincent","Gárgula Assustado"
"heroes.name_fancy.gargoyle_vonreine","Gárgula Flamejante"
"heroes.name_fancy.garrison_archibald","Quartel-Mestre Irritante"
"heroes.name_fancy.garrison_beatrice","Sargento Intendente"
"heroes.name_fancy.garrison_caelen","Poeta Pensativo"
"heroes.name_fancy.garrison_ciara","Comandante Rigorosa"
"heroes.name_fancy.garrison_dima","Mestre dos Porcos"
"heroes.name_fancy.garrison_fergus","Comandante Imperturbável"
"heroes.name_fancy.garrison_flamehide","Apostador do Povo Lagarto"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Sargento Urbano"
"heroes.name_fancy.garrison_frostsnout","Porta-Bandeira do Povo Lagarto"
"heroes.name_fancy.garrison_godfrey","Guarda Tagarela"
"heroes.name_fancy.garrison_greg","Mestre do Goró"
"heroes.name_fancy.garrison_iarlaith","Espadachim Estiloso"
"heroes.name_fancy.garrison_iocantha","Mestre de Armas"
"heroes.name_fancy.garrison_kolya","Sentinela Estólida"
"heroes.name_fancy.garrison_maisie","Pedreiro Feliz"
"heroes.name_fancy.garrison_pip","Mensageiro Nervoso"
"heroes.name_fancy.garrison_rosalind","Capitã Sorridente"
"heroes.name_fancy.garrison_shimmerscale","Lagarto Lanterneiro"
"heroes.name_fancy.garrison_theodosius","Soldado Corajoso"
"heroes.name_fancy.garrison_vanya","Sapador Imperturbável"
"heroes.name_fancy.garrison_violet_potts","Halfling Despreocupada"
"heroes.name_fancy.garrison_william","Guarda Noturno Nervoso"
"heroes.name_fancy.goblin_acidfire","Goblin Necromante"
"heroes.name_fancy.goblin_archer","Caçador ágil"
"heroes.name_fancy.goblin_boom_and_fang","Dupla Desenfreada"
"heroes.name_fancy.goblin_boots","Guarda Desatento"
"heroes.name_fancy.goblin_darkfeather","Treinador de Águias"
"heroes.name_fancy.goblin_deadboot","Cultista Goblin"
"heroes.name_fancy.goblin_fighter","Batedor de carteiras"
"heroes.name_fancy.goblin_fighter_costume_cute","Fofura Batedora de Carteiras"
"heroes.name_fancy.goblin_fighter_costume_evil","O Corta-Garganta"
"heroes.name_fancy.goblin_fighter_costume_glass","Ladrão de Vidro"
"heroes.name_fancy.goblin_fizzcoil","Violinista Goblin"
"heroes.name_fancy.goblin_goldie","Beldade Goblin"
"heroes.name_fancy.goblin_grimsteel","Eremita da Montanha Gelada"
"heroes.name_fancy.goblin_kettle","Alquimista da Cozinha"
"heroes.name_fancy.goblin_leafwizzle","Encantador de Feras"
"heroes.name_fancy.goblin_madhammer","Goblin Arruaceiro"
"heroes.name_fancy.goblin_mage","Bruxa do lodaçal"
"heroes.name_fancy.goblin_mage_costume_candy","Bruxa dos doces"
"heroes.name_fancy.goblin_mage_costume_cute","Bruxa Fofa"
"heroes.name_fancy.goblin_mage_costume_glass","Bruxa de Vidro"
"heroes.name_fancy.goblin_mage_costume_toad","Bruxa Sapo"
"heroes.name_fancy.goblin_pepperflame","Flautista Goblin"
"heroes.name_fancy.goblin_ratgrub","Goblin do Rato Mensageiro"
"heroes.name_fancy.goblin_rocket","Especialista em Demolições"
"heroes.name_fancy.goblin_scrollbeast","Montador de Javali Aposentado"
"heroes.name_fancy.goblin_smarttongue","Bardo Goblin"
"heroes.name_fancy.goblin_soursting","Assassino Goblin Arrogante"
"heroes.name_fancy.guardian_bat","Pesadelo de Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Guerreiro de Teltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Pantera Feroz"
"heroes.name_fancy.guardian_chameleon","Elementalista de Teltoc"
"heroes.name_fancy.guardian_elephant","Flecha de Teltoc"
"heroes.name_fancy.guardian_falcon_priest","Sacerdote de Teltoc"
"heroes.name_fancy.guardian_gazelle","Druida de Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Atacante de Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain","Cacique da tribo de Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Kong Conquistador"
"heroes.name_fancy.guardian_hippo","Brutamontes de Teltoc"
"heroes.name_fancy.guardian_jackal_assassin","Assassino de Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Colecionador de Ossos de Teltoc"
"heroes.name_fancy.guardian_lemur","Reparador de Teltoc"
"heroes.name_fancy.guardian_owl_gentleman","Guardião de elite de Teltoc"
"heroes.name_fancy.halloween_alucard","Herdeiro Vampiro"
"heroes.name_fancy.halloween_alucard_costume_mafia","Rei do Crime Vampiro"
"heroes.name_fancy.halloween_amber","Guerreira de Sangue Vampírico"
"heroes.name_fancy.halloween_ana_belle","Dama da Morlóvia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Baronesa do Pó"
"heroes.name_fancy.halloween_chester","Fantasma Hostil"
"heroes.name_fancy.halloween_edwin","Mordomo Sagaz"
"heroes.name_fancy.halloween_edwin_costume_mafia","Mordomo Traiçoeiro"
"heroes.name_fancy.halloween_francine","A Monstra"
"heroes.name_fancy.halloween_francine_costume_mafia","A Mafiosa"
"heroes.name_fancy.halloween_frank","O Monstro"
"heroes.name_fancy.halloween_frank_costume_mafia","O Mafioso"
"heroes.name_fancy.halloween_goopy","Gosma Gelatinosa"
"heroes.name_fancy.halloween_hortensia","Criador de Dioneias"
"heroes.name_fancy.halloween_jack","Menestrel Abóbora"
"heroes.name_fancy.halloween_lucinda","Empunhadora de Excalibroom"
"heroes.name_fancy.halloween_matilda","Confeiteira Possuída"
"heroes.name_fancy.halloween_miriam_and_midnight","Duo Oculto"
"heroes.name_fancy.halloween_vanda","Rainha Vampira"
"heroes.name_fancy.halloween_vanda_costume_mafia","Rainha do Crime"
"heroes.name_fancy.halloween_wayne","Grande Mágico de Morlóvia"
"heroes.name_fancy.hidden_dark_god_myztero","Enigma de Distorção de Feitiços"
"heroes.name_fancy.holy_god_aurox","Berserker Radiante"
"heroes.name_fancy.holy_god_aviana","Comandante Falcão"
"heroes.name_fancy.holy_god_bai_yeong","Dançarino das Lâminas"
"heroes.name_fancy.holy_god_celidana","Líder do Clero Sagrado"
"heroes.name_fancy.holy_god_delilah","Heroína da ilha proibida"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Guardiã do Templo Celestial"
"heroes.name_fancy.holy_god_devana","Caçadora Obstinada"
"heroes.name_fancy.holy_god_drake_lee","Mestre de artes marciais"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Lutador Sereno"
"heroes.name_fancy.holy_god_faeona","Maga Branca Élfica"
"heroes.name_fancy.holy_god_gilda","Guia da luz anã"
"heroes.name_fancy.holy_god_gilligan","Aventureiro Quixotesco"
"heroes.name_fancy.holy_god_hanitra","Deusa Lemuriana"
"heroes.name_fancy.holy_god_ithar","Ladrão Virtuoso"
"heroes.name_fancy.holy_god_kara","Defensor Santificado"
"heroes.name_fancy.holy_god_malosi","Campeão Reinante"
"heroes.name_fancy.holy_god_may","Ceifador Feliz"
"heroes.name_fancy.holy_god_musashi","Ronin invencível"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Artista de Fuga"
"heroes.name_fancy.holy_god_neith","Abridor de caminhos"
"heroes.name_fancy.holy_god_onatel","Oráculo cego"
"heroes.name_fancy.holy_god_ranvir","Centauro sagrado"
"heroes.name_fancy.holy_god_uraeus","Vizir Arcano"
"heroes.name_fancy.holy_god_zora","Cavaleiro da Rosa"
"heroes.name_fancy.ice_god_alexandrine","Escudo Contra a Injustiça"
"heroes.name_fancy.ice_god_areax","Maga do Gelo Equestre"
"heroes.name_fancy.ice_god_athena","Celestial do gelo"
"heroes.name_fancy.ice_god_athena_costume_cute","Celestial do gelo fofo"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Deusa da Guerra"
"heroes.name_fancy.ice_god_balur","Gladiador Feroz"
"heroes.name_fancy.ice_god_callum","Caçador Incansável"
"heroes.name_fancy.ice_god_claeg","Curandeiro Amaldiçoado"
"heroes.name_fancy.ice_god_dvalin","Empunhador do gelo"
"heroes.name_fancy.ice_god_eskimo","Caçadora de gigantes de gelo"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Campeã do Iceberg"
"heroes.name_fancy.ice_god_frida","Ameaça ártica"
"heroes.name_fancy.ice_god_frosth","Portador do Inverno"
"heroes.name_fancy.ice_god_glenda","Madrinha Mágica"
"heroes.name_fancy.ice_god_iris","Mestre Dissipadora"
"heroes.name_fancy.ice_god_klaern","Feiticeiro das Rimas"
"heroes.name_fancy.ice_god_mene","Rainha da Noite das Fadas"
"heroes.name_fancy.ice_god_miki","Exterminador de monstros da neve"
"heroes.name_fancy.ice_god_nerasis","Morte Silenciosa"
"heroes.name_fancy.ice_god_october","Highlander congelado"
"heroes.name_fancy.ice_god_october_costume_farmer","Fazendeiro Congelado"
"heroes.name_fancy.ice_god_perseus","Filho de Zeus"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Desafiante de Boreas"
"heroes.name_fancy.ice_god_raffaele","Canalizador Tranquilo"
"heroes.name_fancy.ice_god_sini","Conjurador Azulado"
"heroes.name_fancy.ice_god_suzuna","Fashionista Conjurador"
"heroes.name_fancy.ice_god_vela","Conjurador aquático"
"heroes.name_fancy.institute_ellery","Bióloga Aberrante"
"heroes.name_fancy.institute_emilie","Exploradora do Reino Liminar"
"heroes.name_fancy.institute_piper","Capanga Curiosa"
"heroes.name_fancy.institute_professor_morryster","Sábio Mascarado"
"heroes.name_fancy.institute_ryleh","Assistente de Arquivo"
"heroes.name_fancy.institute_wilcox","Físico de prestígio"
"heroes.name_fancy.journey_change","Escolhida da Luz Lunar"
"heroes.name_fancy.journey_erlang_shen","Deus Guerreiro dos Céus"
"heroes.name_fancy.journey_general_yin","General Demoníaco Metamorfo"
"heroes.name_fancy.journey_heifeng_guai","Demônio do Vento Negro"
"heroes.name_fancy.journey_nineheaded_beast","Príncipe de Nove Cabeças"
"heroes.name_fancy.journey_queen_guowang","Beldade Incomparável"
"heroes.name_fancy.journey_sha_wujing","Monge da Areia"
"heroes.name_fancy.journey_tang_sanzang","Grande Mistério do Rio"
"heroes.name_fancy.journey_xie_zi_jing","Demônio Escorpião"
"heroes.name_fancy.journey_xiong_shanjun","Senhor da Montanha"
"heroes.name_fancy.journey_xiwangmu","Rainha Mãe"
"heroes.name_fancy.kalevala_aino","Donzela de Verão"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Donzela do Lago"
"heroes.name_fancy.kalevala_iku_turso","Fera das Profundezas"
"heroes.name_fancy.kalevala_ilmarinen","Ferreiro Experiente"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Artífice Experiente"
"heroes.name_fancy.kalevala_joukahainen","Caçador Feroz"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Caçador Gelado"
"heroes.name_fancy.kalevala_kullervo","Filho Vingativo"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Filho Marcado pela Guerra"
"heroes.name_fancy.kalevala_lemminkainen","Campeão Imortal"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Campeão Evanescente"
"heroes.name_fancy.kalevala_louhi","Bruxa do Norte"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Senhora do Norte"
"heroes.name_fancy.kalevala_mielikki","Espírito da Floresta"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Protetora dos Ursos"
"heroes.name_fancy.kalevala_mother_lemminkainen","Salvadora de Campeões"
"heroes.name_fancy.kalevala_otso","Peregrino das Estepes"
"heroes.name_fancy.kalevala_para","Animal Doméstico"
"heroes.name_fancy.kalevala_suomuhauki","Lúcio Gigante"
"heroes.name_fancy.kalevala_ukkonen","Parente Amaldiçoado de Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Infernal de Väinämöinen"
"heroes.name_fancy.kalevala_vainamoinen","Bardo Eterno"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Sábio Eterno"
"heroes.name_fancy.kingdom_cao_cao","Senhor da Guerra de Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Senhor do Gelo"
"heroes.name_fancy.kingdom_diaochan","Beldade Brilhante"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Beleza Floral"
"heroes.name_fancy.kingdom_guan_yu","General Valente"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","General do Inferno"
"heroes.name_fancy.kingdom_jing","Soldado Raso de Shu"
"heroes.name_fancy.kingdom_li","Soldado Raso de Wu"
"heroes.name_fancy.kingdom_liu_bei","Senhor da Guerra de Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Senhor da Floresta"
"heroes.name_fancy.kingdom_lu_bu","Senhor da Guerra Irado"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Senhor da Guerra dos Tigres"
"heroes.name_fancy.kingdom_sun_quan","Senhor da Guerra de Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Senhor da Guerra da Fortuna"
"heroes.name_fancy.kingdom_sun_shangxiang","Nobre Batalhadora"
"heroes.name_fancy.kingdom_wang_yuanji","Nobre Gentil"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Calígrafo Gentil"
"heroes.name_fancy.kingdom_xiahou_dun","Comandante Caolho"
"heroes.name_fancy.kingdom_yao","Soldado Raso de Wei"
"heroes.name_fancy.kingdom_zhang_fei","General Impiedoso"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","General Impiedoso dos Ursos"
"heroes.name_fancy.kingdom_zhou_yu","Jovem Comandante"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Comandante Corvo"
"heroes.name_fancy.kingdom_zhuge_liang","Mestre Estrategista"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Supremo Estrategista"
"heroes.name_fancy.knights_bauchan","Diabrete de Avalon"
"heroes.name_fancy.knights_black_knight","Terror de Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Cavaleiro Negativo"
"heroes.name_fancy.knights_gawain","Cavaleiro Azulado"
"heroes.name_fancy.knights_green_knight","Desafiante de Avalon"
"heroes.name_fancy.knights_guinevere","Rainha de Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Ginete de Dragão de Avalon"
"heroes.name_fancy.knights_king_arthur","Rei de Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Maga de Avalon"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Senhora das Lâminas"
"heroes.name_fancy.knights_merlin","Mago de Avalon"
"heroes.name_fancy.knights_merlin_costume_astrology","Astromante de Avalon"
"heroes.name_fancy.knights_morgan_le_fay","Feiticeira de Avalon"
"heroes.name_fancy.knights_sir_lancelot","Cavaleiro de Avalon"
"heroes.name_fancy.knights_treevil","Mal de Avalon"
"heroes.name_fancy.lionman_barbarian","Último dos Leors"
"heroes.name_fancy.lionman_barbarian_costume_armor","Rei dos Leors"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Babá de Leor"
"heroes.name_fancy.lionman_barbarian_costume_cute","Leor Fofo"
"heroes.name_fancy.lionman_barbarian_costume_glass","Leor de Vidro"
"heroes.name_fancy.lionman_barbarian_costume_stylish","Leor estiloso"
"heroes.name_fancy.lizardman_trapper","Cacique da tribo do povo Lagarto"
"heroes.name_fancy.lizardman_trapper_costume_cute","Chefe Fofo"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Pescador do Povo Lagarto"
"heroes.name_fancy.lizardman_trapper_costume_glass","Chefe de Vidro"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Ancião do Povo Lagarto"
"heroes.name_fancy.lizardman_warrior","Lutador do povo Lagarto"
"heroes.name_fancy.lizardman_warrior_costume_cute","Guerreiro Fofo"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Ancestral do Povo Lagarto"
"heroes.name_fancy.lizardman_warrior_costume_glass","Guerreiro de Vidro"
"heroes.name_fancy.lunar_new_year_baishu","Rato Acrobata Lunar"
"heroes.name_fancy.lunar_new_year_gongniu","Boi Guardião Lunar"
"heroes.name_fancy.lunar_new_year_laohu","Tigre Agressivo Lunar"
"heroes.name_fancy.lunar_new_year_qinglong","Dragão Estrategista Lunar"
"heroes.name_fancy.lunar_new_year_xiaoqing","Serpente Musical Lunar"
"heroes.name_fancy.lunar_new_year_xiaotu","Coelho Protetor Lunar"
"heroes.name_fancy.magic_agrafena","Superintendente Supremo"
"heroes.name_fancy.magic_agrafena_costume_dark","Maga Sombria Suprema"
"heroes.name_fancy.magic_anastasia","Aprendiz de Invocadora"
"heroes.name_fancy.magic_anton","Jovem Estudante"
"heroes.name_fancy.magic_becky","Conjuradora das Estrelas"
"heroes.name_fancy.magic_becky_costume_gothic","Conjuradora do Crepúsculo"
"heroes.name_fancy.magic_camilla","Cientista Arcana"
"heroes.name_fancy.magic_camilla_costume_flower","Engenhoqueira Floral"
"heroes.name_fancy.magic_carpet_agadh","Assassino do Tapete Mágico"
"heroes.name_fancy.magic_carpet_amelia","Aviadora mágica"
"heroes.name_fancy.magic_carpet_bart","Às do Tapete Mágico"
"heroes.name_fancy.magic_carpet_bertha","Fabricante de Tapetes Mágicos"
"heroes.name_fancy.magic_carpet_crustee","Gênio do laboratório mágico"
"heroes.name_fancy.magic_carpet_elyssa","Gourmand do Tapete Mágico"
"heroes.name_fancy.magic_carpet_jwala","Garota da lava mágica"
"heroes.name_fancy.magic_carpet_kesha","Feiticeira de Al-Layl"
"heroes.name_fancy.magic_carpet_lando","Encantador do Tapete Mágico"
"heroes.name_fancy.magic_carpet_lilli","Gateira do Tapete Mágico"
"heroes.name_fancy.magic_carpet_manpip","Piloto de Tapete Mágico"
"heroes.name_fancy.magic_carpet_naeem","Andarilho do Tapete Mágico"
"heroes.name_fancy.magic_carpet_ragrim","Botânico do Tapete Mágico"
"heroes.name_fancy.magic_carpet_shareef","Bruxo Implacável"
"heroes.name_fancy.magic_carpet_zazha","Tecelã de Tapete Mágico"
"heroes.name_fancy.magic_cristobal","Professor de Feitiços"
"heroes.name_fancy.magic_cristobal_costume_emerald","Professor de Encantamentos"
"heroes.name_fancy.magic_dolgoon","Bibliotecário Erudito"
"heroes.name_fancy.magic_jett","Arauto do Sacrifício"
"heroes.name_fancy.magic_kornel","Cuidador Veterano"
"heroes.name_fancy.magic_lucy","Prodígio dos Magos"
"heroes.name_fancy.magic_milena","Professora de Artes Arcanas"
"heroes.name_fancy.magic_milena_costume_ice","Professora de Feitiços Árticos"
