"herocard.passive_skill.description.addmana.all.allies","Tous les alliés reçoivent une petite quantité de mana."
"herocard.passive_skill.description.nevermissspecial","La compétence spéciale de ce personnage ne rate jamais sa cible."
"herocard.passive_skill.description.ransack","Au début de chaque tour, ce personnage pille un ennemi aléatoire :

Vole {DAMAGE} PV.
Vole de façon sûre un bonus, effet de croissance ou cumul positif de l'ennemi. Il peut s'agir d'un bonus non dissipable ou d'un effet de danse."
"herocard.passive_skill.description.ransack.chance","Au début de chaque tour, ce personnage a {CHANCE} % de chances de piller un ennemi aléatoire :

Pillage :
Vole {DAMAGE} PV.
Vole de façon sûre un bonus, effet de croissance ou cumul positif de l'ennemi. Il peut s'agir d'un bonus non dissipable ou d'un effet de danse.
Le vol sûr contourne les effets secondaires comme les dégâts lors du vol. Les Les compétences passives et les effets de famille peuvent toujours s'activer."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Lorsque ce personnage utilise sa compétence spéciale, il a {CHANCE} % de chances de voler le bonus dissipable le plus récent d'un ennemi aléatoire bénéficiant de bonus. Si aucun ennemi n'a de bonus, inflige {DAMAGE} % de dégâts à tous les ennemis."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Lorsque ce personnage utilise sa compétence spéciale, il a {CHANCE} % de chances de voler le bonus dissipable le plus récent d'un ennemi aléatoire bénéficiant de bonus. Si aucun ennemi n'a de bonus, inflige {DAMAGE} % de dégâts à tous les ennemis."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Lorsque ce personnage utilise sa compétence spéciale, il transmet l'effet négatif dissipable le plus récent dont il souffre à la cible. Si la compétence spéciale n'a pas de cible, un ennemi aléatoire est sélectionné. Si le personnage ne souffre d'aucun effet négatif dissipable, il récupère {HEALTH} % de santé."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE} % de chances de transformer les effets négatifs subis en effets positifs équivalents."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Ce personnage subit moins de dégâts des troupes de l'élément fort.

Dégâts subis : -{MODIFIER} %"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER} % de dégâts en moins subis par les troupes de l'élément fort."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","Les boules de feu de l'élément fort infligent {MODIFIER} % de dégâts élémentaires supplémentaires."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","La première fois que ce personnage subit des dégâts qui devraient l'éliminer, ces dégâts sont envoyés à un ennemi aléatoire.

Dans les combats comportant plusieurs vagues, l'effet est rechargé au début de chaque vague."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","La première fois que ce personnage subit des dégâts qui devraient l'éliminer, ces dégâts sont envoyés à un ennemi aléatoire. (Activations restantes : {ACTIVATIONSLEFT}.)"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE} % de chances supplémentaires de renvoyer les effets à l'attaquant."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Tous les {TURNS} tours, supprime tous les effets de flétrissement de tous les alliés."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Tous les {TURNS} tours, supprime tous les effets de croissance de tous les ennemis."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Le noyau de golem de ce personnage est un noyau réparateur.

Le noyau réparateur s'active à chaque fois que la compétence spéciale de ce personnage est utilisée :

 Avec un noyau réparateur chargé au maximum, booste de {CHARGEDPOWER1} % la santé de tous les alliés. 
 Les soins sont proportionnels à la charge du noyau. Toute la charge est consommée lors de l'activation du noyau."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE} % de chances de lancer {REPEATS} fois la compétence spéciale de ce héros."
"herocard.passive_skill.description.resist.accuracymodifiers","Ce personnage est immunisé contre les effets négatifs qui touchent la précision. Ne s'applique pas aux effets appliqués d'origine des alliés."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Ce personnage est immunisé contre les effets et cumuls négatifs."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE} % de chances supplémentaires de résister à tous les effets négatifs et dissipations de bonus."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE} % de chances supplémentaires de résister à tous les effets négatifs, réductions de mana, dissipations de bonus et effets de flétrissement."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE} % de chances supplémentaires de résister aux effets négatifs, aux réductions de mana, aux dissipations de bonus et à la folie."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE} % de chances supplémentaires de résister à tous les effets négatifs, réductions de mana et dissipations de bonus."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE} % de chances supplémentaires de résister à tous les effets négatifs."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Ce personnage est immunisé contre les effets négatifs qui touchent la défense. S'applique également aux effets négatifs qui affectent la défense élémentaire."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Ce personnage est immunisé contre les effets négatifs, cumuls et effets de flétrissement qui touchent la défense."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Ce personnage n'est pas affecté par les effets qui augmentent ou réduisent la défense.

Cela concerne les bonus, les effets négatifs, les cumuls positifs ou négatifs et les effets de croissance et de flétrissement."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Ce personnage n'est pas affecté par les effets qui augmentent ou réduisent la défense.

Cela inclut :
 Les bonus et effets négatifs
 Les cumuls positifs et négatifs
 Les effets de croissance et de flétrissement"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Ce personnage n'est pas affecté par les effets qui augmentent ou réduisent la défense.

Cela concerne les bonus, les effets négatifs, les cumuls positifs ou négatifs et les effets de croissance et de flétrissement."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Ce personnage est immunisé contre les effets et cumuls négatifs qui touchent la génération de mana. S'applique aussi aux effets négatifs qui arrêtent la génération de mana ou volent du mana."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Ce personnage est immunisé contre les réductions de mana ainsi que les effets et cumuls négatifs qui touchent la génération de mana. S'applique aussi aux effets négatifs qui arrêtent la génération de mana ou volent du mana."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Ce personnage est immunisé contre les dégâts des effets et cumuls négatifs."
"herocard.passive_skill.description.resist.attackdelay","L'attaque normale de ce personnage ne peut pas être repoussée."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","L'attaque normale de ce personnage ne peut pas être repoussée."
"herocard.passive_skill.description.resist.attackmodifiers","Ce personnage est immunisé contre les effets négatifs qui touchent l'attaque."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Ce personnage est immunisé contre les effets et cumuls qui touchent l'attaque, y compris les bonus."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Ce personnage est immunisé contre les effets négatifs, cumuls et effets de flétrissement qui touchent l'attaque."
"herocard.passive_skill.description.resist.bleed","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de saignement."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de saignement et reçoit {HEALTHBOOST} points de santé boostée et {MANA} % de mana à chaque fois qu'il résiste."
"herocard.passive_skill.description.resist.buffdispels","Ce personnage est immunisé contre les effets qui dissipent les bonus."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE} % de chances supplémentaires de résister à tous les retraits de bonus."
"herocard.passive_skill.description.resist.buffimmunity","Ce personnage est immunisé contre les effets qui l'empêchent de recevoir de nouveaux bonus."
"herocard.passive_skill.description.resist.burn","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de brûlure."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de brûlure et reçoit {HEALTHBOOST} points de santé boostée et {MANA} % de mana à chaque fois qu'il résiste."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Ce personnage est immunisé contre les effets négatifs."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE} % de chances supplémentaires de résister à tous les effets négatifs."
"herocard.passive_skill.description.resist.criticalhits.none","Ce personnage est immunisé contre les dégâts supplémentaires et les autres effets des coups critiques."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Ce personnage est immunisé contre les effets négatifs qui touchent la défense. Ne s'applique pas aux effets négatifs qui affectent la défense élémentaire."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Ce personnage est immunisé contre les effets et cumuls négatifs qui touchent la défense. Ne s'applique pas aux effets négatifs qui affectent la défense élémentaire."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Immunité contre les effets qui suppriment les sbires.
 Rien ne peut empêcher de recevoir des sbires.
 Les attaques et capacités des sbires ne peuvent pas être désactivées."
"herocard.passive_skill.description.resist.frost","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de givre."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de givre et reçoit {HEALTHBOOST} points de santé boostée et {MANA} % de mana à chaque fois qu'il résiste."
"herocard.passive_skill.description.resist.healeffects","Ce personnage est immunisé contre les effets négatifs qui affectent les soins."
"herocard.passive_skill.description.resist.healthsteal","Ce personnage est immunisé contre les effets négatifs qui volent de la santé."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Ce personnage est immunisé contre la folie."
"herocard.passive_skill.description.resist.manadebuffs","Ce personnage est immunisé contre les effets négatifs qui affectent le mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Ce personnage est immunisé contre les effets négatifs qui affectent le mana ou empêchent d'utiliser les compétences spéciales."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Ce personnage a {CHANCE} % de chances de résister aux effets négatifs qui affectent le mana ou empêchent d'utiliser les compétences spéciales."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Ce personnage est immunisé contre les effets et cumuls négatifs qui affectent la génération de mana. Ne s'applique pas aux effets négatifs qui arrêtent la génération de mana ou volent du mana."
"herocard.passive_skill.description.resist.manareduction","Ce personnage est immunisé contre les réductions de mana."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE} % de chances de résister à la réduction de mana."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Ce personnage est immunisé contre les réduction de mana et reçoit {HEALTHBOOST} points de santé boostée et {MANA} % de mana à chaque fois qu'il résiste."
"herocard.passive_skill.description.resist.maxhealthreduction","Ce personnage est immunisé contre les réductions de santé maximale."
"herocard.passive_skill.description.resist.poison","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de poison."
"herocard.passive_skill.description.resist.poison.burn.bleed","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de poison, de brûlure ou de saignement."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Ce personnage est immunisé contre les effets de possession."
"herocard.passive_skill.description.resist.sand","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts de sable."
"herocard.passive_skill.description.resist.specialblocking","Ce personnage est immunisé contre les effets négatifs qui empêchent d'utiliser les compétences spéciales."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Ce personnage a {CHANCE} % de chances de résister aux effets négatifs qui empêchent d'utiliser les compétences spéciales."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Ce personnage est immunisé contre les effets négatifs qui empêchent d'utiliser les compétences spéciales et reçoit {HEALTHBOOST} points de santé boostée et {MANA} % de mana à chaque fois qu'il résiste."
"herocard.passive_skill.description.resist.stopmanageneration","Ce personnage est immunisé contre les effets négatifs qui bloquent la génération de mana."
"herocard.passive_skill.description.resist.water","Ce personnage est immunisé contre les effets négatifs qui infligent des dégâts d'eau."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Ce personnage est immunisé contre les effets négatifs des sbires."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Ce personnage est immunisé contre les effets qui suppriment ses sbires."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Ce personnage est immunisé contre les effets négatifs et les dégâts des sbires."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Ce personnage est immunisé contre les effets négatifs et les dégâts des sbires et des méga sbires."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Ce personnage ne peut pas recevoir de démons."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Ce personnage ne peut pas recevoir de démons ou de méga démons."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE} % de chances supplémentaires de résister à tous les effets négatifs."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Les chances de résurrection de tous les ennemis sont réduites à {MODIFIER} % de leur valeur originale."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Tous les ennemis ont {HEALTHMODIFIER} % de santé lorsqu'ils reviennent à la vie. Les boss ne sont pas affectés."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","S'il est vaincu, ce personnage a une chance de renaître sous la forme d'un hôte fantasmagorique. La probabilité est de {CHANCEINCREASEPERSTEP} % pour chaque tranche de {INSANITYPERSTEP} point(s) de folie sur le personnage, jusqu'à un maximum de {MAXCHANCEINCREASE} % .

L'hôte fantasmagorique a :
{INHERITEDHEALTH} % de santé héritée.
{ATTACK} points d'attaque.
{DEFENSE} points de défense.
La compétence spéciale suivante :

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Si le personnage s'élimine lui-même lors de l'activation de la folie, la probabilité est de {CHANCEONSELFCAUSEDDEATH} %."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","S'il est vaincu, ce personnage a une chance de renaître sous la forme d'un hôte fantasmagorique. La probabilité est de {CHANCEINCREASEPERSTEP} % pour chaque tranche de {INSANITYPERSTEP} points de folie sur ce personnage, jusqu'à un maximum de {MAXCHANCEINCREASE} %.

L'hôte fantasmagorique a :
{INHERITEDHEALTH} % de santé héritée
{ATTACK} points d'attaque
{DEFENSE} points de défense
La compétence spéciale suivante :

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Lorsqu'il est vaincu, ce personnage a {TOTALCHANCE} % de chances de ressusciter au début du tour suivant avec {HEALTH} % de santé et {MANA} % de mana.

Cet effet peut s'activer {MAXACTIVATIONCOUNT} fois au maximum. Les chances de résurrection diminuent à chaque activation. L'effet ne peut pas être bloqué par les effets négatifs ou les compétences passives."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","Lorsqu'il est vaincu, ce personnage a {TOTALCHANCE} % de chances de ressusciter au début du tour suivant avec {HEALTH} % de santé et {MANA} % de mana.

Cet effet peut s'activer {MAXACTIVATIONCOUNT} fois au maximum. Les chances de résurrection diminuent à chaque activation. L'effet ne peut pas être bloqué par les effets négatifs ou les compétences passives."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Les ballades des ennemis ne durent que {TURNS} tour."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Les danses des ennemis ne durent que {TURNS} tour."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION} % des dégâts subis par ce personnage sont partagés avec tous les autres alliés."
"herocard.passive_skill.description.specialdamagereduction","Les dégâts subis sont réduits de {DAMAGEREDUCTION} % lors des {MAXACTIVATIONCOUNT} premières fois que ce personnage subit des dégâts de compétences spéciales."
"herocard.passive_skill.description.specialdamagereduction.chance","Ce personnage a {CHANCE} % de chances de réduire les dégâts directs infligés par les compétences spéciales à 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Les dégâts que les compétences spéciales infligent à ce personnage sont réduits de {DAMAGEREDUCTION} %."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Ce personnage reçoit {MANA} % de mana au début du combat."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER} % d'attaque."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER} % de défense."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER} % de santé."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER} % de santé, {ATTACKMULTIPLIER} % d'attaque."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER} % de santé, {DEFENSEMULTIPLIER} % de défense."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER} % de santé, {DEFENSEMULTIPLIER} % de défense, {ATTACKMULTIPLIER} % d'attaque."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Les effets qui augmentent l'attaque sont {MODIFIER} % plus efficaces sur ce personnage."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Réduit l'efficacité des effets négatifs affectant l'attaque de {MODIFIER} %. Cet effet s'applique à ce personnage et à tous ses alliés."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Les effets négatifs qui réduisent l'attaque sont {MODIFIER} % moins efficaces contre ce personnage."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Les effets qui augmentent l'attaque sont {MODIFIER} % plus efficaces sur ce personnage."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Les effets négatifs qui réduisent l'attaque sont {MODIFIER} % moins efficaces contre ce personnage."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Les effets qui augmentent la défense sont {MODIFIER} % plus efficaces sur ce personnage."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Réduit l'efficacité des effets négatifs de défense de {MODIFIER} %. Cet effet s'applique à ce personnage et à tous ses alliés."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Les effets négatifs qui réduisent la défense sont {MODIFIER} % moins efficaces contre ce personnage."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Les effets qui augmentent la défense sont {MODIFIER} % plus efficaces sur ce personnage."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Les effets négatifs qui réduisent la défense sont {MODIFIER} % moins efficaces contre ce personnage."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","La durée des {MAXACTIVATIONCOUNT} premiers effets négatifs infligés à ce personnage par des compétences spéciales est réduite de {DURATIONMODIFIER} tour."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","La durée des effets négatifs affectant la défense infligés à ce personnage par des compétences spéciales est réduite de {DURATIONMODIFIER} tours."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","La durée des {MAXACTIVATIONCOUNT} premiers bonus octroyés à ce personnage par des compétences spéciales est augmentée de {DURATIONMODIFIER} tour."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Lorsqu'un effet négatif de ce héros est purifié, une copie de cet effet est infligée à un ennemi aléatoire."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","À chaque fois que cette gargouille active sa compétence spéciale, tous les alliés reçoivent Peau douce. Les {MAXACTIVATIONS} prochaines fois où ils reçoivent des dégâts, ceux-ci sont réduits de {DAMAGEREDUCTION} %. De plus, les alliés sont immunisés contre les effets négatifs, les réductions de mana et la folie. Cet effet ne peut pas être dissipé."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","À chaque fois que cette gargouille active sa compétence spéciale, Peau douce s'active. Les {MAXACTIVATIONS} prochaines fois où elle reçoit des dégâts, ceux-ci sont réduits de {DAMAGEREDUCTION} %. De plus, la gargouille est immunisée contre effets négatifs, les réductions de mana et la folie. Cet effet ne peut pas être dissipé."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","À chaque fois que cette gargouille utilise une compétence spéciale, sa peau de pierre devient plus dure. Les {MAXHITS} prochaines attaques qu'elle subit infligent des dégâts réduits à 1. Cet effet ne peut pas être dissipé."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Lorsque ce personnage utilise sa compétence spéciale, il marque un ennemi aléatoire avec une fusée de chasse pendant {TURNS} tours.
 Une cible marquée par une fusée de chasse subit {FIXEDPOWER} points de dégâts supplémentaires lorsqu'elle encaisse un coup critique."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Lorsque ce personnage utilise sa compétence spéciale, il reçoit {ATTACK} % d'attaque pour {TURNS} tours. Cet effet peut s'ajouter à d'autres effets qui modifient l'attaque."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Une fois par combat, vous pouvez sélectionner un nouvel élément pour ce héros pour {TURNS} tours. Pour changer l'élément, touchez le héros quand son mana n'est pas au maximum."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","À chaque tour, invoque un démon plantule pour un ennemi aléatoire.
Le démon plantule devient un démon jeune pousse au bout de {EVOLVINGFAMILIAR1EVOLVETURNS} tours.
Le démon jeune pousse devient un méga démon florissant au bout de {EVOLVINGFAMILIAR2EVOLVETURNS} tours.

Démon plantule :
{EVOLVINGFAMILIAR1FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % de santé.

Démon jeune pousse :
{EVOLVINGFAMILIAR2FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % de santé.

Méga démon florissant :
{EVOLVINGFAMILIAR3FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % de santé."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","À chaque tour, invoque un démon plantule pour un ennemi aléatoire. Cette compétence passive s'active une seule fois par tour pour chaque équipe. 
Le démon plantule devient un démon jeune pousse au bout de {EVOLVINGFAMILIAR1EVOLVETURNS} tours.
Le démon jeune pousse devient un méga démon florissant au bout de {EVOLVINGFAMILIAR2EVOLVETURNS} tours.

Démon plantule :
{EVOLVINGFAMILIAR1FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % de santé.

Démon jeune pousse :
{EVOLVINGFAMILIAR2FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % de santé.

Méga démon florissant :
{EVOLVINGFAMILIAR3FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % de santé."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","À chaque tour, invoque un démon plantule pour un ennemi aléatoire. Cette compétence passive s'active une seule fois par tour pour chaque équipe. 
Le démon plantule devient un démon jeune pousse au bout de {EVOLVINGFAMILIAR1EVOLVETURNS} tours.
Le démon jeune pousse devient un méga démon florissant au bout de {EVOLVINGFAMILIAR2EVOLVETURNS} tours.
L'évolution du démon est retardée de {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} tour à chaque fois qu'il absorbe des soins.

Démon plantule :
{EVOLVINGFAMILIAR1FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % de santé.

Démon jeune pousse :
{EVOLVINGFAMILIAR2FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % de santé.

Méga démon florissant :
{EVOLVINGFAMILIAR3FAMILIARATTACK} % d'attaque, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % de santé."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","À chaque tour, invoque un [#!]démon plantule[#] pour un ennemi aléatoire. Cette compétence passive s'active une seule fois par tour pour chaque équipe. 
[*]Le [#!]démon plantule[#] devient un [#!]démon jeune pousse[#] au bout de {EVOLVINGFAMILIAR1EVOLVETURNS} tours.
[*]Le [#!]démon jeune pousse[#] devient un [#!]méga démon florissant[#] au bout de {EVOLVINGFAMILIAR2EVOLVETURNS} tours.
[*]L'évolution du démon est retardée de {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} tour à chaque fois qu'il absorbe des soins.

[#!]Démon plantule[#] :
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}[#] % de santé.

[#!]Démon jeune pousse[#] :
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}[#] % de santé.

[#!]Méga démon florissant[#] :
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}[#] % de santé."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","À chaque tour, invoque un [#!]démon plantule[#] pour un ennemi aléatoire. Cette compétence passive s'active une seule fois par tour pour chaque équipe. 
[*]Le [#!]démon plantule[#] devient un [#!]démon jeune pousse[#] au bout de {EVOLVINGFAMILIAR1EVOLVETURNS} tours.
[*]Le [#!]démon jeune pousse[#] devient un [#!]méga démon florissant[#] au bout de {EVOLVINGFAMILIAR2EVOLVETURNS} tours.
[*]L'évolution du démon est retardée de {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} tour à chaque fois qu'il absorbe des soins.

[#!]Démon plantule[#] :
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}[#] % de santé.

[#!]Démon jeune pousse[#] :
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}[#] % de santé.

[#!]Méga démon florissant[#] :
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}[#] % de santé."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Lorsque ce personnage est vaincu, des méga sbires gluants sont invoqués sur les alliés proches avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque hérités de ce personnage."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Lorsque ce personnage est vaincu, des méga sbires gluants sont invoqués sur les alliés proches avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque hérités de ce personnage."
