"herocard.passive_skill.description.addmana.all.allies","Alle allierte får en liten mengde mana."
"herocard.passive_skill.description.mimiclootonlevelcompleted","Hver unike etterligner på laget ditt kan gi deg ekstra bytte når du har fullført nivåer. Denne etterligneren gir en sjanse for følgende ekstra bytte:"
"herocard.passive_skill.description.minioncorruption.all.enemies","Ved slutten av hver tur har fiender med galskap en sjanse til å få undersåttene sine gjort om til djevler. Når du når {AUTOMATICTRANSFORMINSANITYTHRESHOLD} galskap aktiveres transformasjonen automatisk.
 En undersått gjøres om til en uhyggelig djevel: {FAMILIAR1FAMILIARATTACK} % angrep, {FAMILIAR1FAMILIARHEALTHPERCENT} % helse, påfører {FAMILIAR1INSANITYTOADD} galskap hver runde.
 En megaundersått gjøres om til en uhyggelig megadjevel: {FAMILIAR2FAMILIARATTACK} % angrep, {FAMILIAR2FAMILIARHEALTHPERCENT} % helse, påfører {FAMILIAR2INSANITYTOADD} galskap hver runde."
"herocard.passive_skill.description.nevermissspecial","Denne figurens spesialferdighet bommer aldri på målet sitt."
"herocard.passive_skill.description.preventboostedhealth.all.enemies","Fienders helse kan ikke øke over maksimal helse."
"herocard.passive_skill.description.ransack","Ved starten av hver runde ransaker denne figuren en tilfeldig fiende:

Stjeler {DAMAGE} helse.
Stjeler på en trygg måte en økning, veksteffekt eller positiv stabeløkning fra fienden. Dette inkluderer økninger som ikke kan fjernes, og danseeffekter."
"herocard.passive_skill.description.ransack.chance","Ved starten av hver runde har denne figuren en {CHANCE} % sjanse til å ransake en tilfeldig fiende:

Ransake:
Stjeler {DAMAGE} helse.
Stjeler på en trygg måte én tilfeldig veksteffekt, positiv stabel eller statuseffektøkning fra fienden. Dette inkluderer økninger som ikke kan fjernes, og danseeffekter.
Trygg stjeling forbigår sekundære effekter, som skade ved fjerning, fra de fjernede økningene. Passive ferdigheter og familieeffekter kan fortsatt aktiveres."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Når denne figuren bruker spesialferdigheten sin, har hen en {CHANCE} % sjanse til å stjele den nyeste fjernbare økningen fra en tilfeldig fiende som har økninger. Hvis ingen fiende har økninger, påføres alle fiender {DAMAGE} % skade."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Når denne figuren bruker spesialferdigheten sin, har hen en {CHANCE} % sjanse til å stjele den nyeste fjernbare økningen fra en tilfeldig fiende som har økninger. Hvis ingen fiende har økninger, påføres alle fiender {DAMAGE} % skade."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Når denne figuren bruker spesialferdigheten sin, overfører de den nyeste rensbare statuslidelsen fra seg selv til målet. Hvis spesialferdigheten ikke kan brukes mot en fiende, velges en tilfeldig fiende i stedet. Hvis denne figuren ikke har noen rensbare statuslidelser, får figuren tilbake {HEALTH} % helse."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE} % sjanse til å erstatte innkommende negative effekter med matchende positive effekter."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Denne figuren tar mindre skade fra tropper av det sterkere elementet.

Tatt skade: -{MODIFIER} %"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER} % mindre skade fra tropper av det sterkere elementet."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER} % mer elementskade fra ildkulene til sterkere element."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Den første gangen denne figuren ville tatt fatal skade, omdirigeres i stedet skaden til en tilfeldig fiende.

I kamper med flere bølger oppdateres effekten ved begynnelsen av hver bølge."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Den første gangen denne figuren ville tatt fatal skade, omdirigeres i stedet skaden til en tilfeldig fiende. (Aktiveringer igjen: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE} % ekstra sjanse til å reflektere statuslidelser tilbake til angriperen."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Hver {TURNS}. runde fjernes alle visne-effekter fra alle allierte."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Hver {TURNS}. runde fjernes alle vekst-effekter fra alle fiender."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Konstruktørkjernen til denne figuren er en reparasjonskjerne.

Reparasjonskjernen aktiveres hver gang figurens spesialferdighet brukes:

 Med en fulladet reparasjonskjerne økes helsen til alle allierte med {CHARGEDPOWER1} %. 
 Helbredelsen skaleres med ladningen i kjernen. All ladning brukes når kjernen aktiveres."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE} % sjanse til å bruke spesialferdigheten til denne helten {REPEATS} ganger."
"herocard.passive_skill.description.resist.accuracymodifiers","Denne figuren er immun mot statuslidelser som påvirker treffsikkerhet. Gjelder ikke for opprinnelige statustilstander fra allierte."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Denne figuren er immun mot statuslidelser og negative stabler."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE} % ekstra sjanse til å motstå alle statuslidelser og fjerning av økninger."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE} % ekstra sjanse til å motstå alle statuslidelser, manareduksjoner, fjerning av økninger og visne-effekter."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE} % ekstra sjanse til å motstå alle statuslidelser, manareduksjoner, fjerning av økninger og galskap."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE} % ekstra sjanse til å motstå alle statuslidelser, manareduksjoner og fjerning av økninger."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance.with_effect.addmana","{CHANCE} % ekstra sjanse til å motstå alle statuslidelser, manareduksjoner og fjerning av økninger. Få {MANA} % mana for hver gang du motstår vellykket."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE} % ekstra sjanse til å motstå alle statuslidelser."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Denne figuren er immun mot statuslidelser som påvirker forsvar. Gjelder også for statuslidelser som påvirker elementforsvar."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Denne figuren er immun mot statuslidelser, stabler og visne-effekter som påvirker forsvar."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Denne figuren påvirkes ikke av effekter som øker eller reduserer forsvar.

Dette inkluderer statuseffektøkninger og -lidelser, positive og negative stabler samt visne- og veksteffekter."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Denne figuren påvirkes ikke av effekter som øker eller reduserer forsvar.

Dette inkluderer
 statuseffektøkninger og -lidelser
, positive og negative stabler
 samt visne- og veksteffekter."
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Denne figuren påvirkes ikke av effekter som øker eller reduserer forsvar.

Dette inkluderer statuseffektøkninger og -lidelser, positive og negative stabler samt visne- og veksteffekter."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Denne figuren er immun mot statuslidelser og negative stabler som påvirker mana-generering. Gjelder også for statuslidelser som blokkerer mana eller stjeler mana."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Denne figuren er immun mot manareduksjoner samt statuslidelser og negative stabler som påvirker mana-generering. Gjelder også for effekter og statuslidelser som blokkerer eller stjeler mana."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Denne figuren er immun mot innkommende skade fra statuseffekter og stabler."
"herocard.passive_skill.description.resist.attackdelay","Det normale angrepet til denne figuren kan ikke forsinkes."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Det normale angrepet til denne figuren kan ikke forsinkes."
"herocard.passive_skill.description.resist.attackmodifiers","Denne figuren er immun mot statuslidelser som påvirker angrep."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Denne figuren er immun mot statuseffekter og stabler som påvirker angrep. Dette inkluderer økninger fra statuseffekter."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Denne figuren er immun mot statuslidelser, stabler og visne-effekter som påvirker angrep."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.attackgrowth.allstatuseffectsandstacks","Denne figuren påvirkes ikke av effekter som øker eller reduserer angrep.

Dette inkluderer
 statuseffektøkninger og -lidelser
, positive og negative stabler
 samt visne- og veksteffekter."
"herocard.passive_skill.description.resist.bleed","Denne figuren er immun mot statuslidelser som påfører blødeskade."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Denne figuren er immun mot statuslidelser som påfører blødeskade, og får {HEALTHBOOST} økt helse og {MANA} % mana hver gang den motstår."
"herocard.passive_skill.description.resist.buffdispels","Denne figuren er immun mot effekter som fjerner statustilstand-økninger."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE} % ekstra sjanse til å motstå fjerning av økninger."
"herocard.passive_skill.description.resist.buffimmunity","Denne figuren er immun mot effekter som hindrer dem i å motta nye statustilstand-økninger."
"herocard.passive_skill.description.resist.burn","Denne figuren er immun mot statuslidelser som påfører brannskade."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Denne figuren er immun mot statuslidelser som påfører brannskade, og får {HEALTHBOOST} økt helse og {MANA} % mana hver gang den motstår."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Denne figuren er immun mot statuslidelser."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE} % ekstra sjanse til å motstå alle statuslidelser."
"herocard.passive_skill.description.resist.criticalhits.none","Denne figuren er immun mot ekstra skade og ytterligere effekter fra kritiske treff."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Denne figuren er immun mot statuslidelser som påvirker forsvar. Gjelder ikke for statuslidelser som påvirker elementforsvar."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Denne figuren er immun mot statuslidelser og negative stabler som påvirker forsvar. Gjelder ikke for statuslidelser som påvirker elementforsvar."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Immun mot effekter som fjerner undersåtter.
 Kan ikke hindres i å motta undersåtter.
 Undersåtts angrep og evner kan ikke deaktiveres."
"herocard.passive_skill.description.resist.frost","Denne figuren er immun mot statuslidelser som påfører frostskade."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Denne figuren er immun mot statuslidelser som påfører frostskade, og får {HEALTHBOOST} økt helse og {MANA} % mana hver gang den motstår."
"herocard.passive_skill.description.resist.healeffects","Denne figuren er immun mot statuslidelser som påvirker helbredelse."
"herocard.passive_skill.description.resist.healthsteal","Denne figuren er immun mot statuslidelser som stjeler helse."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Denne figuren er immun mot galskap."
"herocard.passive_skill.description.resist.manadebuffs","Denne figuren er immun mot statuslidelser som påvirker mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Denne figuren er immun mot statuslidelser som påvirker managenerering eller forhindrer bruken av spesialferdigheter."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Denne figuren har en {CHANCE} % sjanse til å motstå statuslidelser som påvirker mana eller forhindrer bruken av spesialferdigheter."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Denne figuren er immun mot statuslidelser og negative stabler som påvirker mana-generering. Gjelder ikke for statuslidelser som stopper mana-generering eller stjeler mana."
"herocard.passive_skill.description.resist.manareduction","Denne figuren er immun mot manareduksjoner."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE} % ekstra sjanse til å motstå manareduksjoner."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Denne figuren er immun mot manareduksjoner. Den får også {HEALTHBOOST} økt helse og {MANA} % mana hver gang de motstår."
"herocard.passive_skill.description.resist.maxhealthreduction","Denne figuren er immun mot reduksjon av maksimal helse."
"herocard.passive_skill.description.resist.poison","Denne figuren er immun mot statuslidelser som påfører giftskade."
"herocard.passive_skill.description.resist.poison.burn.bleed","Denne figuren er immun mot statuslidelser som påfører gift-, brann- eller blødeskade."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Denne figuren er immun mot statuseffekter som besetter figuren."
"herocard.passive_skill.description.resist.sand","Denne figuren er immun mot statuslidelser som påfører sandskade."
"herocard.passive_skill.description.resist.specialblocking","Denne figuren er immun mot statuslidelser som forhindrer bruken av spesialferdigheter."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Denne figuren har en {CHANCE} % sjanse til å motstå statuslidelser som forhindrer bruken av spesialferdigheter."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Denne figuren er immun mot statuslidelser som forhindrer bruken av spesialferdigheter. Den får også {HEALTHBOOST} økt helse og {MANA} % mana hver gang den motstår."
"herocard.passive_skill.description.resist.stopmanageneration","Denne figuren er immun mot statuslidelser som stopper managenerering."
"herocard.passive_skill.description.resist.water","Denne figuren er immun mot statuslidelser som påfører vannskade."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Denne figuren er immun mot statuslidelser som er fra undersåtter."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Denne figuren er immun mot effekter som fjerner undersåtter fra dem."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Denne figuren er immun mot innkommende negative effekter og skade fra undersåtter."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Denne figuren er immun mot innkommende negative effekter og skade fra undersåtter og megaundersåtter."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Denne figuren kan ikke motta djevler."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Denne figuren kan ikke motta djevler eller megadjevler."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE} % ekstra sjanse til å motstå alle statuslidelser."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Sjansen til å gjenopplive reduseres for alle fiender i kampen. Sjansen er {MODIFIER} % av opprinnelig verdi."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Alle fiender har {HEALTHMODIFIER} % helse når gjenopplivet. Sjefer påvirkes ikke."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Hvis den beseires, har denne figuren en sjanse til å bli gjenfødt som en uhyggelig vert. Sjansen er {CHANCEINCREASEPERSTEP} % per {INSANITYPERSTEP} galskap på denne figuren, opptil en maksimal sjanse på {MAXCHANCEINCREASE} %. 

Den uhyggelige verten har:
{INHERITEDHEALTH} % nedarvet helse. 
{ATTACK} angrep.
{DEFENSE} forsvar.
Følgende spesialferdighet:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Hvis denne figuren beseirer seg selv når galskap aktiveres, er sjansen {CHANCEONSELFCAUSEDDEATH} %."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Hvis den beseires, har denne figuren en sjanse til å bli gjenfødt som en uhyggelig vert. Sjansen er {CHANCEINCREASEPERSTEP} % per {INSANITYPERSTEP} galskap på denne figuren, opptil en maksimal sjanse på {MAXCHANCEINCREASE} %.

Den uhyggelige verten har:
{INHERITEDHEALTH} % nedarvet helse. 
{ATTACK} angrep.
{DEFENSE} forsvar.
Følgende spesialferdighet:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Når den beseires, har denne figuren {TOTALCHANCE} % sjanse til å gjenopplives ved starten av neste runde med {HEALTH} % helse og {MANA} % mana. 

Aktiveres opptil {MAXACTIVATIONCOUNT} ganger. Sjansen for å gjenopplives reduseres for hver aktivering. Kan ikke hindres med statuslidelser eller passive ferdigheter."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","Når den beseires, har denne figuren {TOTALCHANCE} % sjanse til å gjenopplives ved starten av neste runde med {HEALTH} % helse og {MANA} % mana. 

Aktiveres opptil {MAXACTIVATIONCOUNT} ganger. Sjansen for å gjenopplives reduseres for hver aktivering. Kan ikke hindres med statuslidelser eller passive ferdigheter."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Alle ballader brukt av fiender varer bare i {TURNS} runde."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Alle danser brukt av fiender varer bare i {TURNS} runde."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION} % av skade denne figuren tar, deles med alle andre allierte."
"herocard.passive_skill.description.specialdamagereduction","Skaden som mottas, reduseres med {DAMAGEREDUCTION} % de første {MAXACTIVATIONCOUNT} gangene denne figuren tar skade fra spesialferdigheter."
"herocard.passive_skill.description.specialdamagereduction.chance","Denne figuren har {CHANCE} % sjanse til å redusere direkte skade tatt fra spesialferdigheter til 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Tatt skade fra spesialferdigheter reduseres med {DAMAGEREDUCTION} % for denne figuren."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Denne figuren mottar {MANA} % mana når kampen starter."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER} % angrep."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER} % forsvar."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER} % helse."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER} % helse, {ATTACKMULTIPLIER} % angrep."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER} % helse, {DEFENSEMULTIPLIER} % forsvar."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER} % helse, {DEFENSEMULTIPLIER} % forsvar, {ATTACKMULTIPLIER} % angrep."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Statuseffekter som øker angrep er {MODIFIER} % mer effektive for denne figuren."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Reduserer effekten til statuslidelser som påvirker angrep, med {MODIFIER} %. Effekten gjelder for denne figuren og alle dens allierte i kampen."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Statuslidelser som reduserer angrep, er {MODIFIER} % mindre effektive mot denne fienden."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Statuseffekter som øker angrep er {MODIFIER} % mer effektive for denne figuren."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Statuslidelser som reduserer angrep, er {MODIFIER} % mindre effektive mot denne fienden."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Statuseffekter som øker forsvar, er {MODIFIER} % mer effektive for denne figuren."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Reduserer effekten til forsvarslidelser med {MODIFIER} %. Effekten gjelder for denne figuren og alle dens allierte i kampen."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Statuslidelser som reduserer forsvar, er {MODIFIER} % mindre effektive mot denne fienden."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Statuseffekter som øker forsvar, er {MODIFIER} % mer effektive for denne figuren."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Statuslidelser som reduserer forsvar, er {MODIFIER} % mindre effektive mot denne fienden."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Varigheten til de {MAXACTIVATIONCOUNT} første statuslidelsene denne figuren mottar fra spesialferdigheter, reduseres med {DURATIONMODIFIER} runde."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Varigheten til forvarsstatuslidelsene denne figuren mottar fra spesialferdigheter, reduseres med {DURATIONMODIFIER} runder."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Varigheten til de {MAXACTIVATIONCOUNT} første økningene denne figuren mottar fra spesialferdigheter, økes med {DURATIONMODIFIER} runde."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Når en statuslidelse renses fra denne helten, brukes en ny kopi av den rensede lidensen på en tilfeldig fiende."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Hver gang denne griffen bruker en spesialferdighet, mottar alle allierte myk hud. De neste {MAXACTIVATIONS} gangene den tar skade, reduseres den med {DAMAGEREDUCTION} %. Den er også immun mot alle statuslidelser, manareduksjoner og galskap. Denne effekten kan ikke fjernes."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Hver gang denne griffen bruker en spesialferdighet, aktiveres deres myke hud. De neste {MAXACTIVATIONS} gangene den tar skade, reduseres den med {DAMAGEREDUCTION} %. Den er også immun mot alle statuslidelser, manareduksjoner og galskap. Denne effekten kan ikke fjernes."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Hver gang denne griffen bruker en spesialferdighet, blir steinhuden dens hardere. De neste {MAXHITS} gangene den mottar skade, reduseres skaden til 1. Denne effekten kan ikke fjernes."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Når denne figuren bruker spesialferdigheten sin, merker de en tilfeldig fiende med en jaktbluss i {TURNS} runder.
 Et mål merket med en jaktbluss mottar {FIXEDPOWER} ekstra skade når de utsettes for et kritisk treff."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Når denne figuren bruker spesialferdigheten sin, får den {ATTACK} % angrep i {TURNS} runder. Denne effekten kan være aktiv i tillegg til andre effekter som endrer angrep."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Én gang per kamp kan denne heltens element endres til elementet du velger i {TURNS} runder. Element kan endres ved å trykke på denne helten når den ikke har full mana."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Fremkaller en frøplante-djevel hver runde til en tilfeldig fiende.
Frøplante-djevelen utvikler seg til en knopp-djevel etter {EVOLVINGFAMILIAR1EVOLVETURNS} runder.
Knopp-djevelen utvikler seg til en blomst-megadjevel etter {EVOLVINGFAMILIAR2EVOLVETURNS} runder.

Frøplante-djevel: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % helse.

Knopp-djevel: 
{EVOLVINGFAMILIAR2FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % helse.

Blomst-megadjevel: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % helse."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Fremkaller en frøplante-djevel hver runde til en tilfeldig fiende. Denne passive ferdigheten aktiveres kun én gang per runde for hvert lag.
Frøplante-djevelen utvikler seg til en knopp-djevel etter {EVOLVINGFAMILIAR1EVOLVETURNS} runder.
Knopp-djevelen utvikler seg til en blomst-megadjevel etter {EVOLVINGFAMILIAR2EVOLVETURNS} runder.

Frøplante-djevel:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % helse.

Knopp-djevel:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % helse.

Blomst-megadjevel:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % helse."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Fremkaller en frøplante-djevel hver runde til en tilfeldig fiende.
Frøplante-djevelen utvikler seg til en knopp-djevel etter {EVOLVINGFAMILIAR1EVOLVETURNS} runder.
Knopp-djevelen utvikler seg til en blomst-megadjevel etter {EVOLVINGFAMILIAR2EVOLVETURNS} runder.
Utviklingen til djevelen er forsinket med {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} runde hver gang de absorberer helbredelse.

Frøplante-djevel:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % helse.

Knopp-djevel:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % helse.

Blomst-megadjevel:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % helse."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Fremkaller en frøplante-djevel hver runde til en tilfeldig fiende. Denne passive ferdigheten aktiveres kun én gang per runde for hvert lag.
Frøplante-djevelen utvikler seg til en knopp-djevel etter {EVOLVINGFAMILIAR1EVOLVETURNS} runder.
Knopp-djevelen utvikler seg til en blomst-megadjevel etter {EVOLVINGFAMILIAR2EVOLVETURNS} runder.
Utviklingen til djevelen er forsinket med {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} runde hver gang de absorberer helbredelse.

Frøplante-djevel:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % helse.

Knopp-djevel:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % helse.

Blomst-megadjevel:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % helse."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Fremkaller en frøplante-djevel hver runde til en tilfeldig fiende. Denne passive ferdigheten aktiveres kun én gang per runde for hvert lag.
Frøplante-djevelen utvikler seg til en knopp-djevel etter {EVOLVINGFAMILIAR1EVOLVETURNS} runder.
Knopp-djevelen utvikler seg til en blomst-megadjevel etter {EVOLVINGFAMILIAR2EVOLVETURNS} runder.
Utviklingen til djevelen er forsinket med {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} runde hver gang de absorberer helbredelse.

Frøplante-djevel:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % helse.

Knopp-djevel:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % helse.

Blomst-megadjevel:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % helse."
