"heroes.name_fancy.astral_cosmicspeaker","Astralalv-astronom"
"heroes.name_fancy.fire_god_neema","Ildtrollmann"
"heroes.name_fancy.fire_god_noor","Spurv-hvisker"
"heroes.name_fancy.fire_god_reuben","Edsvoren okkultist"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Uatskillelig lag"
"heroes.name_fancy.fire_god_russell","Rasende pyroman"
"heroes.name_fancy.fire_god_skargremar","Banebrytende baktropp"
"heroes.name_fancy.fire_god_tahir","Nomadisk jeger"
"heroes.name_fancy.fire_god_yang_mai","Solens knyttneve"
"heroes.name_fancy.fire_god_zagrog","Ensom tyv"
"heroes.name_fancy.fire_god_zarga","Rask klinge"
"heroes.name_fancy.fire_god_zidane","Sjarmerende pirat"
"heroes.name_fancy.fire_god_zimkitha","Bortkommen datter"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Fortapt eventyrer"
"heroes.name_fancy.fleur_elyzabel","Optimistisk grevinne"
"heroes.name_fancy.fleur_eumachius","Optimistisk scion"
"heroes.name_fancy.fleur_guillemette","Optimistisk korsridder"
"heroes.name_fancy.fleur_lavinia","Optimistisk drømmer"
"heroes.name_fancy.fleur_ludovico","Optimistisk oppvarter"
"heroes.name_fancy.fleur_talesie","Optimistisk snikmorder"
"heroes.name_fancy.forest_archer","Klar bueskytter"
"heroes.name_fancy.forest_archer_costume_cute","Toon-bueskytter"
"heroes.name_fancy.forest_archer_costume_glass","Glassbueskytter"
"heroes.name_fancy.forest_archer_costume_warrior","Hendig bueskytter"
"heroes.name_fancy.forest_female_druid","Rathwoods druide"
"heroes.name_fancy.forest_female_druid_costume_cute","Toon av råskog"
"heroes.name_fancy.forest_female_druid_costume_glass","Vitrail fra Råskogen"
"heroes.name_fancy.forest_female_druid_costume_native","Shaman fra Concordia"
"heroes.name_fancy.forest_female_elf","Månelysets skjoldmester"
"heroes.name_fancy.forest_female_elf_costume_cute","Toon-skjoldmester"
"heroes.name_fancy.forest_female_elf_costume_fairy","Månelys-fé"
"heroes.name_fancy.forest_female_elf_costume_glass","Skjoldmester av glass"
"heroes.name_fancy.forest_female_elf_costume_mage","Månelysets prestinne"
"heroes.name_fancy.forest_female_illusionist","Plantehvisker"
"heroes.name_fancy.forest_female_spirit","Glad ånd"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Lundens ånd"
"heroes.name_fancy.forest_female_spirit_costume_cute","Toon-ånd"
"heroes.name_fancy.forest_female_spirit_costume_glass","Glassånd"
"heroes.name_fancy.forest_female_warrior","Landsbyjente"
"heroes.name_fancy.forest_friar","Jovial bror"
"heroes.name_fancy.forest_friar_costume_cute","Jovial Toon"
"heroes.name_fancy.forest_friar_costume_explorer","Jovial eventyrreisende"
"heroes.name_fancy.forest_friar_costume_glass","Jovial vitrail"
"heroes.name_fancy.forest_god_elinor","Skattejeger"
"heroes.name_fancy.forest_god_elradir","Vill trollmann fra måneskogen"
"heroes.name_fancy.forest_god_evelyn","Modig arving"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Modig jegerinne"
"heroes.name_fancy.forest_god_grace","Lundens cervitaur"
"heroes.name_fancy.forest_god_gregorion","Den dyktige bueskytteren"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Eremittalkymisten"
"heroes.name_fancy.forest_god_kingston","Den kongelige snikmorderen"
"heroes.name_fancy.forest_god_oberon","Seelie mester"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Evigeik-ridder"
"heroes.name_fancy.forest_god_telluria","Skogsgud"
"heroes.name_fancy.forest_god_zeline","Naturens himmel"
"heroes.name_fancy.forest_god_zeline_costume_avian","Himmelsk fugl"
"heroes.name_fancy.forest_god_zocc","Nøkkelmester"
"heroes.name_fancy.forest_mage","Skogens visdom"
"heroes.name_fancy.forest_mage_costume_cute","Toon-trollmann"
"heroes.name_fancy.forest_mage_costume_glass","Skogsvitrail"
"heroes.name_fancy.forest_mage_costume_party","Festtrollmann"
"heroes.name_fancy.forest_mage_costume_white","Mektig trollmann"
"heroes.name_fancy.forest_male_elf","Månelysets spydmester"
"heroes.name_fancy.forest_male_elf_costume_cute","Toon-spydmester"
"heroes.name_fancy.forest_male_elf_costume_dark","Erobrer i månelys"
"heroes.name_fancy.forest_male_elf_costume_glass","Glassspydmester"
"heroes.name_fancy.forest_male_elf_costume_king","Månebelyst konge"
"heroes.name_fancy.forest_thug","Leiesoldatbanditt"
"heroes.name_fancy.forest_titan","Skogens eldgammelhet"
"heroes.name_fancy.forest_titan_costume_cute","Toon av skogen"
"heroes.name_fancy.forest_titan_costume_glass","Vitrail av skogen"
"heroes.name_fancy.forest_titan_costume_jester","Hoffnarr av tre"
"heroes.name_fancy.forest_titan_costume_nightmare","Skogens mareritt"
"heroes.name_fancy.forest_woodsman","Enkel skogmann"
"heroes.name_fancy.forest_woodsman_warrior","Mektig bror"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Snikende bror"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Mektig Toon"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Mektig vitrail"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Mektig Highlander"
"heroes.name_fancy.forsaken_demhalar","Den merkelige innbyggeren"
"heroes.name_fancy.forsaken_jax","Jagende bølle"
"heroes.name_fancy.forsaken_kadath","Forbannet prest"
"heroes.name_fancy.forsaken_khatrox","Skadet knuser"
"heroes.name_fancy.forsaken_lamentia","Avgrunnens tjener"
"heroes.name_fancy.fox_ashen","Sølvryggreven"
"heroes.name_fancy.fox_ember","Ildkallerreven"
"heroes.name_fancy.fox_foxglove","Rev med Sly Bat-ører"
"heroes.name_fancy.fox_foxley","Den fredløse gråreven"
"heroes.name_fancy.fox_halcyon","Grå slangerev"
"heroes.name_fancy.fox_nettletail","Den snille fruktlundreven"
"heroes.name_fancy.fox_nibbles","Den sultne rev-sett"
"heroes.name_fancy.fox_riverfang","Den fremkalte Corsac-reven"
"heroes.name_fancy.fox_rust","Rød rev-vokteren"
"heroes.name_fancy.fox_sable","Forsvunnet prinsesse-reven"
"heroes.name_fancy.fox_shadowfang","Beinsamler-sandreven"
"heroes.name_fancy.fox_silverpaw","Piratørkenreven"
"heroes.name_fancy.fox_spiff","Kongelig ridder-reven"
"heroes.name_fancy.fox_swiftpaw","Snikmorder-sølvreven"
"heroes.name_fancy.fox_whitefang","Den arktiske skogvokterreven"
"heroes.name_fancy.gargoyle_arco","Bestemt griff"
"heroes.name_fancy.gargoyle_bellerive","Ond griff"
"heroes.name_fancy.gargoyle_betty","Rask griff"
"heroes.name_fancy.gargoyle_budatin","Slem griff"
"heroes.name_fancy.gargoyle_el_duque","Opphøyd griff"
"heroes.name_fancy.gargoyle_gaillard","Gløgg griff"
"heroes.name_fancy.gargoyle_garten","Festgriff"
"heroes.name_fancy.gargoyle_goseck","Lumsk griff"
"heroes.name_fancy.gargoyle_grumbl","Klok griff"
"heroes.name_fancy.gargoyle_guffa","Behersket griff"
"heroes.name_fancy.gargoyle_hilda","Fryktløs griff"
"heroes.name_fancy.gargoyle_hohenwerf","Illsint griff"
"heroes.name_fancy.gargoyle_kalo","Avvikende griff"
"heroes.name_fancy.gargoyle_kemeny","Herdet griff"
"heroes.name_fancy.gargoyle_matrera","Skyggegriff"
"heroes.name_fancy.gargoyle_mena","Pedantisk griff"
"heroes.name_fancy.gargoyle_penolite","Nådeløss griff"
"heroes.name_fancy.gargoyle_pophit","Virtuosgriff"
"heroes.name_fancy.gargoyle_soroca","Rasende griff"
"heroes.name_fancy.gargoyle_uwe","Silkemyk griff"
"heroes.name_fancy.gargoyle_vincent","Redd griff"
"heroes.name_fancy.gargoyle_vonreine","Vill griff"
"heroes.name_fancy.garrison_archibald","Nervøs kvartmester"
"heroes.name_fancy.garrison_beatrice","Kvartermestersersjant"
"heroes.name_fancy.garrison_caelen","Den tankefulle poet"
"heroes.name_fancy.garrison_ciara","Streng kommandant"
"heroes.name_fancy.garrison_dima","Svinmesteren"
"heroes.name_fancy.garrison_fergus","Urokkelig konstabel"
"heroes.name_fancy.garrison_flamehide","Øglefolk-gambler"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Gatesmart sersjant"
"heroes.name_fancy.garrison_frostsnout","Øglefolk-flaggbærer"
"heroes.name_fancy.garrison_godfrey","Skravlete vaktmann"
"heroes.name_fancy.garrison_greg","Grogsmester"
"heroes.name_fancy.garrison_iarlaith","Den stilige sverdmannen"
"heroes.name_fancy.garrison_iocantha","Våpenmester"
"heroes.name_fancy.garrison_kolya","Upåvirkelig vakt"
"heroes.name_fancy.garrison_maisie","Den muntre steinhugger"
"heroes.name_fancy.garrison_pip","Nervøs budbringer"
"heroes.name_fancy.garrison_rosalind","Munter kaptein"
"heroes.name_fancy.garrison_shimmerscale","Øglefolk-lanternebærer"
"heroes.name_fancy.garrison_theodosius","Modig korporal"
"heroes.name_fancy.garrison_vanya","Den urokkelige sappør"
"heroes.name_fancy.garrison_violet_potts","Glad halvling"
"heroes.name_fancy.garrison_william","Nervøs nattvakt"
"heroes.name_fancy.goblin_acidfire","Goblinåndemaner"
"heroes.name_fancy.goblin_archer","Kjapp jeger"
"heroes.name_fancy.goblin_boom_and_fang","Hensynsløs duo"
"heroes.name_fancy.goblin_boots","Glemsk vakt"
"heroes.name_fancy.goblin_darkfeather","Erfaren ørnetrener"
"heroes.name_fancy.goblin_deadboot","Goblindyrker"
"heroes.name_fancy.goblin_fighter","Veskeskjæreren"
"heroes.name_fancy.goblin_fighter_costume_cute","Raner-Toon"
"heroes.name_fancy.goblin_fighter_costume_evil","Halskutteren"
"heroes.name_fancy.goblin_fighter_costume_glass","Glass-skjærer"
"heroes.name_fancy.goblin_fizzcoil","Fiolinist i goblintrupp"
"heroes.name_fancy.goblin_goldie","Goblinskjønnhet"
"heroes.name_fancy.goblin_grimsteel","Eremitt fra det frosne fjellet"
"heroes.name_fancy.goblin_kettle","Kjøkkenalkymist"
"heroes.name_fancy.goblin_leafwizzle","Målbinder av beist"
"heroes.name_fancy.goblin_madhammer","Goblinbråkmaker"
"heroes.name_fancy.goblin_mage","Sumpheks"
"heroes.name_fancy.goblin_mage_costume_candy","Godteriheks"
"heroes.name_fancy.goblin_mage_costume_cute","Toon-heks"
"heroes.name_fancy.goblin_mage_costume_glass","Glassheks"
"heroes.name_fancy.goblin_mage_costume_toad","Paddeheks"
"heroes.name_fancy.goblin_pepperflame","Berømt goblinfløytist"
"heroes.name_fancy.goblin_ratgrub","Goblinrottehoffmann"
"heroes.name_fancy.goblin_rocket","Sprengningsekspert"
"heroes.name_fancy.goblin_scrollbeast","Pensjonert villsvinrytter"
"heroes.name_fancy.goblin_smarttongue","Goblinbarde"
"heroes.name_fancy.goblin_soursting","Arrogant goblinsnikmorder"
"heroes.name_fancy.guardian_bat","Mareritt fra Teltoc"
"heroes.name_fancy.guardian_cat_warrior","Kriger av Teltoc"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Olm panter"
"heroes.name_fancy.guardian_chameleon","Elementarist av Teltoc"
"heroes.name_fancy.guardian_elephant","Sann pil fra Teltoc"
"heroes.name_fancy.guardian_falcon_priest","Prest av Teltoc"
"heroes.name_fancy.guardian_gazelle","Druide av Teltoc"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Teltocs raske slag"
"heroes.name_fancy.guardian_gorilla_chieftain","Høvding av Teltoc"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Erobrer Kong"
"heroes.name_fancy.guardian_hippo","Teltoc-villdyr"
"heroes.name_fancy.guardian_jackal_assassin","Leiesoldat av Teltoc"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Teltocs beinsamler"
"heroes.name_fancy.guardian_lemur","Teltocsteller"
"heroes.name_fancy.guardian_owl_gentleman","Elitevokter av Teltoc"
"heroes.name_fancy.halloween_alucard","Vampyrætling"
"heroes.name_fancy.halloween_alucard_costume_mafia","Vampyrleder"
"heroes.name_fancy.halloween_amber","Vampyrblodkriger"
"heroes.name_fancy.halloween_ana_belle","Vaskehjelp fra Morlovia"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Støvets baronesse"
"heroes.name_fancy.halloween_chester","Uvennlig spøkelse"
"heroes.name_fancy.halloween_edwin","Slu butler"
"heroes.name_fancy.halloween_edwin_costume_mafia","Den forræderske butleren"
"heroes.name_fancy.halloween_francine","Monsterinnen"
"heroes.name_fancy.halloween_francine_costume_mafia","Gangsterinnen"
"heroes.name_fancy.halloween_frank","Monsteret"
"heroes.name_fancy.halloween_frank_costume_mafia","Gangsteren"
"heroes.name_fancy.halloween_goopy","Gelatingørr"
"heroes.name_fancy.halloween_hortensia","Fostrer av fluefangere"
"heroes.name_fancy.halloween_jack","Gresskar-trubadur"
"heroes.name_fancy.halloween_lucinda","Bruker av Excalibroom"
"heroes.name_fancy.halloween_matilda","Uhellig konditor"
"heroes.name_fancy.halloween_miriam_and_midnight","Okkult duo"
"heroes.name_fancy.halloween_vanda","Vampyrdronning"
"heroes.name_fancy.halloween_vanda_costume_mafia","Ugjerningdronningen"
"heroes.name_fancy.halloween_wayne","Morlovias store magiker"
"heroes.name_fancy.hidden_dark_god_myztero","Formelbøyende gåte"
"heroes.name_fancy.holy_god_aurox","Den strålende berserkeren"
"heroes.name_fancy.holy_god_aviana","Falkekommandanten"
"heroes.name_fancy.holy_god_bai_yeong","Sverddanser"
"heroes.name_fancy.holy_god_celidana","Leder av det hellige presteskap"
"heroes.name_fancy.holy_god_delilah","Helten av den forbudte øy"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Vokter av himmeltempelet"
"heroes.name_fancy.holy_god_devana","Fremadstormende jeger"
"heroes.name_fancy.holy_god_drake_lee","Mester av kampsport"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Behersket slåsskjempe"
"heroes.name_fancy.holy_god_faeona","Alvhvitmagiker"
"heroes.name_fancy.holy_god_gilligan","Quixotic-eventyrer"
"heroes.name_fancy.holy_god_hanitra","Gudinnen Lemurian"
"heroes.name_fancy.holy_god_ithar","Katteaktig innbruddstyv"
"heroes.name_fancy.holy_god_kara","Hellig forsvarer"
"heroes.name_fancy.holy_god_malosi","Regjerende mester"
"heroes.name_fancy.holy_god_may","Den fredfulle innhøster"
"heroes.name_fancy.holy_god_musashi","Uovervinnelig ronin"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Utbryterkonge"
"heroes.name_fancy.holy_god_neith","Veienes åpner"
"heroes.name_fancy.holy_god_onatel","Blind seer"
"heroes.name_fancy.holy_god_ranvir","Hellig kentaur"
"heroes.name_fancy.holy_god_uraeus","Hemmelig vesir"
"heroes.name_fancy.holy_god_zora","Roseridder"
"heroes.name_fancy.ice_god_alexandrine","Skjold mot urettferdighet"
"heroes.name_fancy.ice_god_areax","Hestemenneske-ismagiker"
"heroes.name_fancy.ice_god_athena","Isens himmel"
"heroes.name_fancy.ice_god_athena_costume_cute","Toon-isens himmel"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Krigsgudinne"
"heroes.name_fancy.ice_god_balur","Vill gladiator"
"heroes.name_fancy.ice_god_callum","Nådeløs sporer"
"heroes.name_fancy.ice_god_claeg","Forbannet helbreder"
"heroes.name_fancy.ice_god_eskimo","Iskjempenes jegergudinne"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Isbergmester"
"heroes.name_fancy.ice_god_frida","Arktisk trussel"
"heroes.name_fancy.ice_god_frosth","Vinterbringer"
"heroes.name_fancy.ice_god_glenda","Magisk gudmor"
"heroes.name_fancy.ice_god_iris","Ekspertfjerner"
"heroes.name_fancy.ice_god_klaern","Frostmagiker"
"heroes.name_fancy.ice_god_mene","Fedronning av natten"
"heroes.name_fancy.ice_god_miki","Slakter av frosne beist"
"heroes.name_fancy.ice_god_nerasis","Den stille død"
"heroes.name_fancy.ice_god_october","Frossen Highlander"
"heroes.name_fancy.ice_god_october_costume_farmer","Frossen gårdbruker"
"heroes.name_fancy.ice_god_perseus","Zeus sønn"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Utfordrer fra Boreas"
"heroes.name_fancy.ice_god_raffaele","Rolig kanaliserer"
"heroes.name_fancy.ice_god_sini","Azure-fremmaneren"
"heroes.name_fancy.ice_god_suzuna","Moteskapende formelbruker"
"heroes.name_fancy.ice_god_vela","Akvatisk fremkaller"
"heroes.name_fancy.institute_ellery","Avvikende biolog"
"heroes.name_fancy.institute_emilie","Utforsker av det liminale riket"
"heroes.name_fancy.institute_piper","Nysgjerrig leiesoldat"
"heroes.name_fancy.institute_professor_morryster","Den maskerte savanten"
"heroes.name_fancy.institute_ryleh","Assisterende arkivar"
"heroes.name_fancy.journey_change","Valgt av månelyset"
"heroes.name_fancy.journey_erlang_shen","Himmelsk krigsgud"
"heroes.name_fancy.journey_general_yin","Hamskiftende demongeneral"
"heroes.name_fancy.journey_heifeng_guai","Svart vind-demon"
"heroes.name_fancy.journey_nineheaded_beast","Nihodet prins-følgesvenn"
"heroes.name_fancy.journey_queen_guowang","Enestående skjønnhet"
"heroes.name_fancy.journey_sha_wujing","Sandmunk"
"heroes.name_fancy.journey_tang_sanzang","Elvens store mysterium"
"heroes.name_fancy.journey_xie_zi_jing","Skorpiondemoner"
"heroes.name_fancy.journey_xiong_shanjun","Bjørnefjellherre"
"heroes.name_fancy.journey_xiwangmu","Dronningmor"
"heroes.name_fancy.kalevala_aino","Sommerjomfru"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Innsjøjomfru"
"heroes.name_fancy.kalevala_iku_turso","Beist fra dypet"
"heroes.name_fancy.kalevala_ilmarinen","Ekspertsmed"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Ekspertmekaniker"
"heroes.name_fancy.kalevala_joukahainen","Blodtørstig jeger"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Frossen jeger"
"heroes.name_fancy.kalevala_kullervo","Hevngjerrig sønn"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Kamppreget sønn"
"heroes.name_fancy.kalevala_lemminkainen","Vandød mester"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Falmende mester"
"heroes.name_fancy.kalevala_louhi","Heks fra nord"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Herskerinne fra nord"
"heroes.name_fancy.kalevala_mielikki","Skogsånd"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Bjørnenes beskytter"
"heroes.name_fancy.kalevala_mother_lemminkainen","Mesters frelser"
"heroes.name_fancy.kalevala_otso","Vandrer på steppene"
"heroes.name_fancy.kalevala_para","Husholdningsundersått"
"heroes.name_fancy.kalevala_suomuhauki","Hulkende gjedde"
"heroes.name_fancy.kalevala_ukkonen","Forhekset slektning av Väinämöinen"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Infernalsk slektning av Väinämöinen"
"heroes.name_fancy.kalevala_vainamoinen","Evig skald"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Evig vismann"
"heroes.name_fancy.kingdom_cao_cao","Krigsherre fra Wei"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Iskrigsherre"
"heroes.name_fancy.kingdom_diaochan","Briljant skjønnhet"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Blomsterskjønnhet"
"heroes.name_fancy.kingdom_guan_yu","Tapper general"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Infernogeneral"
"heroes.name_fancy.kingdom_jing","Shu-fotsoldat"
"heroes.name_fancy.kingdom_li","Wu-fotsoldat"
"heroes.name_fancy.kingdom_liu_bei","Krigsherre fra Shu"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Skogskrigsherre"
"heroes.name_fancy.kingdom_lu_bu","Rasende krigsherre"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Rasende tigerkrigsherre"
"heroes.name_fancy.kingdom_sun_quan","Krigsherre fra Wu"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Rikdomskrigsherre"
"heroes.name_fancy.kingdom_sun_shangxiang","Nobel sliter"
"heroes.name_fancy.kingdom_wang_yuanji","Mild nobelkvinne"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Forsiktig kalligraf"
"heroes.name_fancy.kingdom_xiahou_dun","Énøyd kommandant"
"heroes.name_fancy.kingdom_yao","Wei-fotsoldat"
"heroes.name_fancy.kingdom_zhang_fei","Nådeløs general"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Nådeløs bjørnegeneral"
"heroes.name_fancy.kingdom_zhou_yu","Ung kommandant"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Ravnkommandant"
"heroes.name_fancy.kingdom_zhuge_liang","Mesterstrateg"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Overlegen stateg"
"heroes.name_fancy.knights_bauchan","Imp fra Avalon"
"heroes.name_fancy.knights_black_knight","Terror fra Avalon"
"heroes.name_fancy.knights_black_knight_costume_negative","Negativ ridder"
"heroes.name_fancy.knights_gawain","Azure-ridder"
"heroes.name_fancy.knights_green_knight","Avalon-utfordrer"
"heroes.name_fancy.knights_guinevere","Dronning av Avalon"
"heroes.name_fancy.knights_guinevere_costume_rider","Avalon-dragerytter"
"heroes.name_fancy.knights_king_arthur","Konge av Avalon"
"heroes.name_fancy.knights_lady_of_the_lake","Magikerkvinne fra Avalon"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Klingefrue"
"heroes.name_fancy.knights_merlin","Trollmann av Avalon"
"heroes.name_fancy.knights_merlin_costume_astrology","Avalon-astromaner"
"heroes.name_fancy.knights_morgan_le_fay","Trollkvinnen av Avalon"
"heroes.name_fancy.knights_sir_lancelot","Ridder av Avalen"
"heroes.name_fancy.knights_treevil","Avalons ondskap"
"heroes.name_fancy.lionman_barbarian","Den siste av Leorene"
"heroes.name_fancy.lionman_barbarian_costume_armor","Leorenes konge"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Leorbarnevakt"
"heroes.name_fancy.lionman_barbarian_costume_cute","Toon Leor"
"heroes.name_fancy.lionman_barbarian_costume_glass","Glass-Leor"
"heroes.name_fancy.lizardman_trapper","Høvding av Øglefolket"
"heroes.name_fancy.lizardman_trapper_costume_cute","Toon-høvding"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Øglefolket-fisker"
"heroes.name_fancy.lizardman_trapper_costume_glass","Glasshøvding"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Senior av Øglefolket"
"heroes.name_fancy.lizardman_warrior","Kriger av Øglefolket"
"heroes.name_fancy.lizardman_warrior_costume_cute","Toon-kriger"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Forfeder av Øglefolket"
"heroes.name_fancy.lizardman_warrior_costume_glass","Glasskjemper"
"heroes.name_fancy.lunar_new_year_baishu","Måneakrobatrotte"
"heroes.name_fancy.lunar_new_year_gongniu","Månevokterokse"
"heroes.name_fancy.lunar_new_year_laohu","Månekamptiger"
"heroes.name_fancy.lunar_new_year_qinglong","Månestrategdrage"
"heroes.name_fancy.lunar_new_year_xiaoqing","Månemusikkslange"
"heroes.name_fancy.lunar_new_year_xiaotu","Månebeskytterkanin"
"heroes.name_fancy.magic_agrafena","Øversteinspektør"
"heroes.name_fancy.magic_agrafena_costume_dark","Suveren mørketrollkvinne"
"heroes.name_fancy.magic_anastasia","Påkallerlærling"
"heroes.name_fancy.magic_anton","Ung elev"
"heroes.name_fancy.magic_becky","Stjerneskinnmagiker"
"heroes.name_fancy.magic_becky_costume_gothic","Skumringsmagiker"
"heroes.name_fancy.magic_camilla","Mystisk oppfinner"
"heroes.name_fancy.magic_camilla_costume_flower","Blomsterfikler"
"heroes.name_fancy.magic_carpet_agadh","Magisk teppe-snikmorder"
"heroes.name_fancy.magic_carpet_amelia","Magisk flyger"
"heroes.name_fancy.magic_carpet_bart","Magisk teppe-racer"
"heroes.name_fancy.magic_carpet_bertha","Lager av magiske tepper"
"heroes.name_fancy.magic_carpet_crustee","Magisk laboratoriumsgeni"
"heroes.name_fancy.magic_carpet_elyssa","Magisk teppe-gourmand"
"heroes.name_fancy.magic_carpet_jwala","Lavamagijente"
"heroes.name_fancy.magic_carpet_kesha","Al-Layls fortryllelse"
"heroes.name_fancy.magic_carpet_lando","Magisk teppe-sjarmør"
"heroes.name_fancy.magic_carpet_lilli","Magisk teppe-kattedame"
"heroes.name_fancy.magic_carpet_manpip","Nervøs flyger av magisk teppe"
"heroes.name_fancy.magic_carpet_naeem","Magisk teppe-drifter"
"heroes.name_fancy.magic_carpet_ragrim","Magisk teppe-botaniker"
"heroes.name_fancy.magic_carpet_shareef","Ustoppelig trollmann"
"heroes.name_fancy.magic_carpet_zazha","Magisk teppe-fikser"
"heroes.name_fancy.magic_cristobal","Amulettprofessor"
"heroes.name_fancy.magic_cristobal_costume_emerald","Professor i fortryllelser"
"heroes.name_fancy.magic_dolgoon","Lærd bibliotekar"
"heroes.name_fancy.magic_jett","Offersendebud"
"heroes.name_fancy.magic_kornel","Erfaren vaktmester"
"heroes.name_fancy.magic_lucy","Magikerunikum"
"heroes.name_fancy.magic_milena","Lærer i de mystiske kunster"
"heroes.name_fancy.magic_milena_costume_ice","Lærer av arktiske formler"
"heroes.name_fancy.magic_motega","Overvaktmester"
"heroes.name_fancy.magic_nadezhda","Tårnrektor"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Tårnpostmester"
"heroes.name_fancy.magic_ray","Hoffets mester"
"heroes.name_fancy.magic_ray_costume_spiky","Bjørnebærbuskens mester"
"heroes.name_fancy.magic_roxia","Gammel skriblerientusiast"
"heroes.name_fancy.magic_sergei","Elev av de mystiske kunster"
"heroes.name_fancy.magic_telonius","Skogens kentaur"
"heroes.name_fancy.magic_ulius","Merkelig oppfinnertrollmann"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Merkelig, gåtefull buccaneer"
"heroes.name_fancy.magic_vaishali","Mystisk sjakkmester"
"heroes.name_fancy.magic_vaishali_costume_chef","Mystisk paimester"
"heroes.name_fancy.magic_willow","Mester i levitasjon"
"heroes.name_fancy.magitech_sniper","Magitech snikskyter"
"heroes.name_fancy.magitech_sniper_costume_cute","Toon-skarpskytter"
"heroes.name_fancy.magitech_sniper_costume_glass","Glass-skarpskytter"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Steampunk snikskytter"
"heroes.name_fancy.magitech_sniper_costume_undead","Vandød skarpskytter"
"heroes.name_fancy.mahayoddha_ali","Begavet ærendsgutt"
"heroes.name_fancy.mahayoddha_bhima","Sønn av Vayu"
"heroes.name_fancy.mahayoddha_bonga","Kurvmaker"
"heroes.name_fancy.mahayoddha_chitrangada","Krigerprinsesse fra Manipura"
"heroes.name_fancy.mahayoddha_rafeeq","Skarp politiker"
"heroes.name_fancy.mahayoddha_ustad_anand","Kongelig artist"
"heroes.name_fancy.mahayoddha_veer","Stolt leiemorder"
"heroes.name_fancy.masquerade_alessia","Følger av Aradia"
"heroes.name_fancy.masquerade_aradia","Maskert heksekraftgudinne"
"heroes.name_fancy.masquerade_carmenta","Maskert formelgudinne"
"heroes.name_fancy.masquerade_cel","Maskert gudinne av jorden"
"heroes.name_fancy.masquerade_februus","Maskert renselsesgud"
"heroes.name_fancy.masquerade_fortuna","Maskert gudinne av tro"
"heroes.name_fancy.masquerade_fosco","Følgere av Februus"
"heroes.name_fancy.masquerade_jana","Maskert månegudinne"
"heroes.name_fancy.masquerade_jove","Maskert gud av himmelen"
"heroes.name_fancy.masquerade_umbria","Maskert gud av skyggene"
"heroes.name_fancy.mighty_pet_barkley","Mopskriger"
"heroes.name_fancy.mighty_pet_bubbles","Listig mesterkatt"
"heroes.name_fancy.mighty_pet_chomper","Hamsterslåsskjempe"
