"specials.name.a_cozy_break","Sıcak Bir Mola"
"specials.name.dewling_sweep","Dewling Süpürmesi"
"specials.name.dewling_warcry","Dewling Savaş Çığlığı"
"specials.name.dig_a_hole","Bir Çukur kaz"
"specials.name.dinner_with_the_beast","Canavar ile Akşam Yemeği"
"specials.name.dire_ghost","Korkunç Hayalet"
"specials.name.directors_blessing","Yönetmenin Lütfu"
"specials.name.directors_blessing_pve","Yönetmenin Lütfu"
"specials.name.disabling_decree","Etkisizleştirici Ferman"
"specials.name.disabling_study","Etkisizleştiren Çalışma"
"specials.name.disarming_gaze_dragon_pve","Etkisizleştiren Bakış"
"specials.name.disheartening_riddle","Cesaret Kıran Bilmece"
"specials.name.dishonorable_ploy","Onursuz Hile"
"specials.name.disir_of_dreams","Rüyaların Dísir'i"
"specials.name.disir_of_dusk","Alaca Karanlık Dísir'i"
"specials.name.dispelling_curse","Laneti Bozmak"
"specials.name.dispelling_judgement","Bozan Yargı"
"specials.name.dispelling_potion","Bozulan İksir"
"specials.name.dispelling_strike","Bozulan Vuruş"
"specials.name.dispelling_willpower","Giden İrade"
"specials.name.dispelling_willpower_pve","Giden İrade"
"specials.name.disquieting_tune","Rahatsız Edici Ezgi"
"specials.name.disrupting_charge","Hücumu Bozma"
"specials.name.disrupting_charge_costume_tiger_lord","Yıkıcı Hücum"
"specials.name.divine_connection","İlahi Bağlantı"
"specials.name.divine_current","İlahi Akıntı"
"specials.name.divine_light1","İlahi Işık"
"specials.name.divine_lunge","İlahi Hamle"
"specials.name.divine_protection","İlahi Koruma"
"specials.name.divine_protection_deadly","İlahi Koruma"
"specials.name.divine_reflection","İlahi Yansıma"
"specials.name.divine_reversal","İlahi Kontra"
"specials.name.dizzying_strike","Baş Döndürücü Vuruş"
"specials.name.donut_to_the_rescue","Donut Yardıma Geliyor!"
"specials.name.doomrend","Kıyamet Parçalaması"
"specials.name.doomstrike","Yok Edici Vuruş"
"specials.name.double_flail_mayhem","Çifte Gürz Kargaşası"
"specials.name.double_strike","Çifte Darbe"
"specials.name.doublebarreled_starstick","Çift Namlulu Yıldız Çubuğu"
"specials.name.dozy_mead","Sersemletici Şarap"
"specials.name.dragon_autumn_blaze","Güz Alevi"
"specials.name.dragon_blaze_of_fatigue","Yorgunluk Alevi"
"specials.name.dragon_blaze_of_mortality","Fanilik Alevi"
"specials.name.dragon_blaze_of_protection","Koruma Alevi"
"specials.name.dragon_blaze_of_suppression","Bastırma Alevi"
"specials.name.dragon_blaze_of_the_hydra","Hidra Alevi"
"specials.name.dragon_blaze_of_the_undying","Ölümsüzlerin Alazı"
"specials.name.dragon_blaze_of_torment","İşkence Alevi"
"specials.name.dragon_blazing_inferno","Yanan Cehennem"
"specials.name.dragon_blazing_storm","Yanan Fırtına"
"specials.name.dragon_blinding_blaze","Kör Eden Yangın"
"specials.name.dragon_blinding_blaze_duskwing","Kör Eden Yangın"
"specials.name.dragon_blinding_blaze_jawbreaker","Kör Eden Yangın"
"specials.name.dragon_blinding_blaze_wildheart","Kör Eden Yangın"
"specials.name.dragon_breath_of_bulwark","Siper Nefesi"
"specials.name.dragon_breath_of_compassion","Şefkat Nefesi"
"specials.name.dragon_breath_of_nourishment","Besleyici Nefes"
"specials.name.dragon_breath_of_retribution","İntikam Nefesi"
"specials.name.dragon_breath_of_revival","Diriltme Nefesi"
"specials.name.dragon_cauterizing_blaze","Dağlayan Alaz"
"specials.name.dragon_charring_blaze","Kavuran Yangın"
"specials.name.dragon_claws","Ejderha Pençeleri"
"specials.name.dragon_cleansing_flame","Arındırıcı Alev"
"specials.name.dragon_corrosive_blaze","Aşındıran Yangın"
"specials.name.dragon_cracking_blaze","Çatlayan Alaz"
"specials.name.dragon_crackling_blaze_smoldercoil","Çatlayan Alaz"
"specials.name.dragon_crashing_blaze","Ezici Alaz"
"specials.name.dragon_crippling_blaze","Sakatlayan Alaz"
"specials.name.dragon_crippling_blaze_belzaas","Sakatlayan Alaz"
"specials.name.dragon_crushing_blaze","Ezici Alev"
"specials.name.dragon_dampening_blaze","Islatan Yangın"
"specials.name.dragon_dazing_blaze","Sersemletici Alev"
"specials.name.dragon_delivery_service","Ejderha Teslimat Servisi"
"specials.name.dragon_destabilizing_blaze","İstikrarsızlaştırıcı Alaz"
"specials.name.dragon_devastating_blaze","Yıkıcı Alev"
"specials.name.dragon_disarming_blaze","Etkisizleştiren Alaz"
"specials.name.dragon_draining_blaze","Tüketen Alev"
"specials.name.dragon_empowering_breath","Güçlendiren Nefes"
"specials.name.dragon_esoteric_flame","Ezoterik Alev"
"specials.name.dragon_fang","Ejderha Dişi"
"specials.name.dragon_fiery_blaze","Ateşli Yangın"
"specials.name.dragon_flames_of_acceleration","Hızlandırma Alevleri"
"specials.name.dragon_fortifying_flame","Kuvvetlendiren Alev"
"specials.name.dragon_inspirational_breath","İlham Verici Nefes"
"specials.name.dragon_mana_infused_breath","Mana Etkili Nefes"
"specials.name.dragon_mindless_blaze","Akılsız Alaz"
"specials.name.dragon_novices_blaze","Aceminin Yangını"
"specials.name.dragon_pacifying_breath","Sakinleştirici Nefes"
"specials.name.dragon_protective_breath","Koruyucu Nefes"
"specials.name.dragon_rallying_breath","Toparlanan Nefes"
"specials.name.dragon_rallying_breath_trezoro","Toparlanan Nefes"
"specials.name.dragon_resuscitating_breath","Hayata Döndüren Nefes"
"specials.name.dragon_revitalizing_breath","Canlandırıcı Nefes"
"specials.name.dragon_sacred_flame","Kutsal Alev"
"specials.name.dragon_sacred_flame_harmonis","Kutsal Alev"
"specials.name.dragon_searing_blaze","Yakıcı Alaz"
"specials.name.dragon_shielding_breath","Koruyan Nefes"
"specials.name.dragon_shocking_blaze","Şoke Edici Alev"
"specials.name.dragon_spring_breath","Bahar Nefesi"
"specials.name.dragon_spring_breath_erudius","Bahar Nefesi"
"specials.name.dragon_strengthening_flame","Güçlendiren Alev"
"specials.name.dragon_summer_blaze","Yaz Alazı"
"specials.name.dragon_volcanic_blaze","Volkanik Alev"
"specials.name.dragon_weakening_blaze","Zayıflatan Yangın"
"specials.name.dragon_weakening_blaze_ashenheart","Zayıflatan Yangın"
"specials.name.dragon_weakening_blaze_gonthrox","Zayıflatan Yangın"
"specials.name.dragon_wounding_blaze","Yaralayan Yangın"
"specials.name.dragon_wounding_blaze_ceestraze","Yaralayan Yangın"
"specials.name.dragon_wounding_blaze_talonshine","Yaralayan Yangın"
"specials.name.dragon_wrecking_blaze","Yıkıcı Alaz"
"specials.name.dragon_wrecking_blaze_rangifer","Yıkıcı Alaz"
"specials.name.drain_strike","Tüketen Saldırı"
"specials.name.draining_blade","Zayıflatıcı Bıçak"
"specials.name.drawn_to_the_depths","Derinliklere Çekilmiş"
"specials.name.dread_hammer","Korku Çekici"
"specials.name.dreaded_swords","Korkunç Kılıçlar"
"specials.name.dreaded_waters","Korkunç Sular"
"specials.name.dreadful_riddle","Korkunç Bulmaca"
"specials.name.dreadstrike","Ölüm Darbesi"
"specials.name.dreams_of_nourishment","Besin Düşleri"
"specials.name.dress_up","Giyin!"
"specials.name.drowsy_bolt","Uyuşuk Ok"
"specials.name.drum_chain","Ipu Davul Zinciri"
"specials.name.dual_axes","Çift Balta"
"specials.name.dual_blades","İkili Bıçaklar"
"specials.name.dual_data_blades","İki Başlı Veri Kılıcı"
"specials.name.dual_laser_blades","İkili Lazer Bıçakları"
"specials.name.dual_slash","İkili Kesik"
"specials.name.dual_sting","Çift Isırık"
"specials.name.dubious_cuisine","Şüpheci Aşçı"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Feci Mutfak Başarısızlığı"
"specials.name.dubious_cuisine_exquisite_food","Eşsiz Yemek"
"specials.name.dubious_cuisine_rotten_food","Çürümüş Yemek"
"specials.name.dubious_merchandise","Şüpheci Mamul"
"specials.name.dubious_mixture","Şüpheli Karışım"
"specials.name.dum_and_dee","Dum ve Dee"
"specials.name.dusk_dust","Alaca Karanlık Tozu"
"specials.name.dusk_till_dawn","Gün Batımından Şafağa Kadar"
"specials.name.dust_to_dust","Toprak Toprağa"
"specials.name.dwarven_flourish","Cüce Gelişimi"
"specials.name.dwarven_kings_levy","Cüce Kral'ın Vergisi"
"specials.name.dwarven_recharge","Cüce Canlanması"
"specials.name.easy_breezy_aura","Gamsız Aura"
"specials.name.echoes_of_ice","Buz Yankıları"
"specials.name.echoes_of_pain","Acı Yankıları"
"specials.name.echoes_of_the_opera","Operanın Yankısı"
"specials.name.eclipse_shield","Tutulma Kalkanı"
"specials.name.eclipse_spear","Tutulma Mızrağı"
"specials.name.educated_exorcism","Eğitimli Şeytan Çıkarma"
"specials.name.egg_barrage","Yumurta Ateşi"
"specials.name.elders_remedy","İhtiyarın İlacı"
"specials.name.eldritch_blight","Tuhaf Felaket"
"specials.name.eldritch_sign_bolts","Tuhaf İşaret Okları"
"specials.name.electric_cut","Elektrik Kesiği"
"specials.name.electric_dragonfire","Elektrikli Ejderha Ateşi"
"specials.name.electric_jolt","Elektrik Çarpması"
"specials.name.electric_stab","Elektrik Saplama"
"specials.name.electric_sting_dragon_pve","Elektrikli İğne"
"specials.name.electrified_claws","Elektrik Yüklü Pençeler"
"specials.name.electrified_claws_ultimate_boss","Elektrik Yüklü Pençeler"
"specials.name.electrifying_gust_dragon_pve","Elektrikli Rüzgar"
"specials.name.elegant_pulverizer","Zarif Öğütücü"
"specials.name.elemental_corruption","Elementer Yozlaşma"
"specials.name.elemental_infusion_arrow","Elementer İnfüzyon Oku"
"specials.name.elemental_infusion_arrow_pve","Elementer İnfüzyon Oku"
"specials.name.elemental_magic","Elementer Büyüsü"
"specials.name.emboldened_strike","Yüreklendirilmiş Darbe"
"specials.name.emerald_dual_blade","İkili Zümrüt Kılıç"
"specials.name.emerald_flash","Zümrüt Işıltısı"
"specials.name.emerald_tide","Zümrüt Gelgiti"
"specials.name.emerald_wind","Zümrüt Rüzgarı"
"specials.name.empowered_slash","Güçlü Kesik"
"specials.name.empowering_bash","Güçlendirici Darbe"
"specials.name.empowering_bash_deadly","Güçlendirici Darbe"
"specials.name.en_garde","Gardını Al"
"specials.name.enchanted_antlers","Büyülü Boynuzlar"
"specials.name.enchanted_axe_swing","Büyülü Balta Savuruşu"
"specials.name.enchanted_edge","Büyülü Kenar"
"specials.name.enchanted_elven_sword","Büyülü Elf Kılıcı"
"specials.name.enchanted_symphony","Büyülü Senfoni"
"specials.name.enchanting_divination","Büyüleyici Kehanet"
"specials.name.enchanting_melody","Büyüleyici Melodi"
"specials.name.endless_daggers","Sonsuz Hançer"
"specials.name.endless_maze","Sonsuz Labirent"
"specials.name.energy_conjunction","Enerji Bağlantısı"
"specials.name.energy_of_mjolnir","Mjölnir Enerjisi"
"specials.name.energy_steal_dragon_pve","Enerji Çalma"
"specials.name.engulfing_candlelight","Yutan Mum Işığı"
"specials.name.entangling_shot","Sarmal Atış"
"specials.name.entrapping_enchantment","Tuzağa Düşüren Cezbe"
"specials.name.erase_strength","Güç Silme"
"specials.name.erupting_slices","Patlayan Dilimler"
"specials.name.esprit_de_corps","Birlik Duygusu"
"specials.name.essence_of_queen_nitocris","Kraliçe Nitocris'in Özü"
"specials.name.eternal_bond","Ebedi Bağ"
"specials.name.eternal_ishq","Ebedi Ishq"
"specials.name.eternal_loyalty","Ebedi Sadakat"
"specials.name.eternal_servitude","Ebedi Esaret"
"specials.name.ethereal","Hayalet"
"specials.name.evading_dash","Kaçınan Darbe"
"specials.name.everlasting_wound","Sonsuz Yara"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Şeytan Çıkaran Ok"
"specials.name.explosive_goo_minions","Hizmetkar Tetkiki"
"specials.name.explosive_o_lantern","Patlayıcı Bal Kabağı Feneri"
"specials.name.express_delivery","Süratli Teslimat"
"specials.name.exquisite_alchemy","Mükemmel Simya"
"specials.name.exquisite_victuals","Enfes Yiyecekler"
"specials.name.exquisite_victuals_pve_advanced","Enfes Yiyecekler"
"specials.name.exquisite_victuals_pve_normal","Enfes Yiyecekler"
"specials.name.eye_of_panther","Panterin Gözü"
"specials.name.eye_of_the_storm","Fırtınanın Gözü"
"specials.name.eye_of_yog-sir","Yog-Sir'in Gözü"
"specials.name.fabled_fist","Hayali Yumruk"
"specials.name.fabled_llama_ballad","Efsanevi Lama Baladı"
"specials.name.fairy_godmothers_blessing","İyilik Perisi'nin Kutsaması"
"specials.name.faithful_force","Vefalı Güç"
"specials.name.falcon_screech","Doğan Çığlığı"
"specials.name.false_treat","Yanlış Hareket"
"specials.name.familiar_eater","Hizmetkar Yiyen"
"specials.name.familiar_witchcraft","Dost Büyücülük"
"specials.name.fangs_and_blades","Dişler ve Bıçaklar"
"specials.name.fangs_of_death","Izdırap Dişleri"
"specials.name.fatal_dreams","Ölümcül Düşler"
"specials.name.fatal_finisher","Ölümcül Darbe"
"specials.name.fearless_charge","Korkusuz Hücum"
"specials.name.feather_tempest","Tüy Fırtınası"
"specials.name.feline_constellation","Kedi Takımyıldızı"
"specials.name.feral_arrows","Vahşi Oklar"
"specials.name.feral_bite","Vahşi Isırık"
"specials.name.feral_gust_dragon_pve","Vahşi Rüzgar"
"specials.name.feral_peck","Vahşi Gaga İzi"
"specials.name.feral_revenge","Vahşi İntikam"
"specials.name.feral_swing","Vahşi Savuruş"
"specials.name.feyfire_slash","Büyüleyici Ateş Kesiği"
"specials.name.field_aid","Küçük Şifa"
"specials.name.field_surgery","Büyük Şifa"
"specials.name.fiendslayer","Canavar Katili"
"specials.name.fierce_fu_jow_pai","Hiddetli Fu Jow Pai"
"specials.name.fierce_pierce","Hiddetle Delme"
"specials.name.fierce_slash","Sert Kesik"
"specials.name.fiery_charge","Ateşli Hücum"
"specials.name.fiery_performance","Ateşli Performans"
"specials.name.fiery_revenge","Ateşli İntikam"
"specials.name.fire_barrier_dragon_pve","Ateş Bariyeri"
"specials.name.fire_bolt_zidane","Ateşten Ok"
"specials.name.fire_storm","Ateş Fırtınası"
"specials.name.fire_tiger","Ateş Kaplanları"
"specials.name.fireball","Ateş Topu"
"specials.name.fireball_single","Ateş Topu"
"specials.name.fireblade_slash","Ateş Bıçağı Kesiği"
"specials.name.fires_of_ragnarok","Ragnarok Alevleri"
"specials.name.fires_of_ragnarok_final","Ragnarok Alevleri"
"specials.name.firestone_daggers","Ateş Taşı Hançerleri"
"specials.name.firewall","Ateş Duvarı"
"specials.name.firing_on_all_cylinders","Tüm Silindirlerden Ateş"
"specials.name.first_frost","İlk Ayaz"
"specials.name.first_law_of_thermodynamics","Termodinamiğin Birinci Yasası"
"specials.name.fishbone_blades","Balık Kılçığından Kılıçlar"
"specials.name.fists_of_atonement","Kefaret Yumrukları"
"specials.name.flail_of_destruction","Yıkım Sancağı"
"specials.name.flail_swing","Gürzlü Zincir"
"specials.name.flails_of_fury","Öfke Sancakları!"
"specials.name.flame_of_the_dragon_familiar","Tanıdık Ejderha Ateşi"
"specials.name.flame_of_the_lioness","Aslanın Alevi"
"specials.name.flame_storm","Alev Fırtınası"
"specials.name.flame_surge","Alev Dalgası"
"specials.name.flames_and_rejuvenation","Alevler ve Canlanma"
"specials.name.flames_and_rejuvenation_pve","Alevler ve Canlanma"
"specials.name.flames_of_revenge","İntikam Alevleri"
"specials.name.flaming_fury","Alevli Öfke"
"specials.name.flaming_grudge","Alevli Garaz"
"specials.name.flaming_mandibles","Alevlenen Çeneler"
"specials.name.flaming_rapier","Alevli Meç"
"specials.name.flaming_rapier_pve","Alevli Meç"
"specials.name.flaming_sword","Alevli Kılıç"
"specials.name.flanking_maneuver","Kanat Manevrası"
"specials.name.flanking_maneuver_pve","Kanat Manevrası"
"specials.name.flare","Ateş Nefesi"
"specials.name.flat_cake_for_sweethearts","Sevgililer İçin Tek Katlı Pasta"
"specials.name.flat_cake_for_sweethearts_pve","Sevgililer İçin Tek Katlı Pasta"
"specials.name.flawless_shot","Kusursuz Atış"
"specials.name.flock_of_folly_eldwren","Delilik Sürüsü"
"specials.name.floral_sting","Çiçekli Sokma"
"specials.name.flower_arrangements","Çiçek Aranjmanları"
"specials.name.flower_of_kindness","Nezaket Çiçekleri"
"specials.name.fluff_in_the_air","Havadaki Tüy"
"specials.name.flurry_of_blows","Darbe Yağmuru"
"specials.name.flurry_of_slashes","Kesik Telaşı"
"specials.name.flurry_of_slashes_deadly","Kesik Telaşı"
"specials.name.flute_of_enchantment","Büyü Flütü"
"specials.name.focused_shot","Odaklı Atış"
"specials.name.fog_machine","Sis Makinesinin Sisi"
"specials.name.fog_of_the_fallen","Düşmüşlerin Sisi"
"specials.name.fog_of_the_glass_sabina","Vitrayların Sisi"
"specials.name.fog_of_the_perished","Ölülerin Sisi"
"specials.name.fog_of_the_toons","Çizgilerin Sisi"
"specials.name.fog_of_the_vitrails","Vitrayların Sisi"
"specials.name.for_queen_and_hollow","Kraliçe ve Oyuk Adına"
"specials.name.force_of_forest","Ormanın Gücü"
"specials.name.forceful_advance","Şiddetli İlerleme"
"specials.name.forest_breath","Ormanın Nefesi"
"specials.name.forest_command","Orman Komutu"
"specials.name.forest_friends","Orman Arkadaşları"
"specials.name.forge_rush","Demirci Hücumu"
"specials.name.forged_axe_of_light","Dövülmüş Işık Baltası"
"specials.name.forged_from_gold","Altından Yapılmış"
"specials.name.forged_in_fire","Ateşte Dövülmüş"
"specials.name.fortunate_slice","Şanslı Dilim"
"specials.name.fracturing_cut","Kırılan Kesik"
"specials.name.fracturing_shards","Çatlayan Parçalar"
"specials.name.fracturing_slash","Kırılan Kesik"
"specials.name.freezing_cold_cutter","Dondurucu Soğuk Kesici"
"specials.name.freezing_crystal","Donduran Kristal"
"specials.name.freezing_fairy_mist","Dondurucu Peri Sisi"
"specials.name.freezing_power_hooks","Dondurucu Güç Kancaları"
"specials.name.frenzied_rend","Çılgın Parçalama"
"specials.name.frenzy_plant","Çılgın Bitki"
"specials.name.friendly_critters_feast","Dost Canlısı Hayvanların Ziyafeti"
"specials.name.frightening_pinch","Atlantis Mızrağı"
"specials.name.frightstrike","Korku Darbesi"
"specials.name.frogs_and_hoop","Kurbağalar ve Çember"
"specials.name.from_shadows","Gölgelerden"
"specials.name.from_shadows_pve","Gölgelerden"
"specials.name.frost_and_rime","Don ve Kırağı"
"specials.name.frost_bound_blade","Donmuş Sert Bıçak"
"specials.name.frostbite","Ayazlama"
"specials.name.frostbolt_dragon_pve","Ayaz Oku"
"specials.name.frostbound_smash","Donmuş Vuruş"
"specials.name.frostneedle","Buz İğnesi"
"specials.name.frosty_axes","Buzlu Baltalar"
"specials.name.frosty_punches","Buzlu Yumruklar"
"specials.name.frozen_orb","Donmuş Küre"
"specials.name.frozen_path","Nehir Yolu"
"specials.name.frozen_wind","Donmuş Rüzgar"
"specials.name.frozen_wind_pve","Donmuş Rüzgar"
"specials.name.fruit_cocktail","Meyve Kokteyli"
"specials.name.fruits_of_labor","İyi Dozda Sarımsak"
"specials.name.fullmetal_pelt","Metal Kaplama Post"
"specials.name.furious_bite","Öfkeli Isırık"
"specials.name.furious_boar","Öfkeli Yaban Domuzu"
"specials.name.furious_flames","Öfkeli Alevler"
"specials.name.furry_loggers_swing","Kürkü Baltacının savuruşu"
"specials.name.fury_of_ash","Kül Öfkesi"
"specials.name.fury_of_grimnir","Grimnir Öfkesi"
"specials.name.fury_of_the_ancient_forest","Kadim Ormanın Öfkesi"
"specials.name.fury_of_the_fire_giants","Ateş Devlerinin Öfkesi"
"specials.name.fury_of_the_fire_giants_final","Ateş Devlerinin Öfkesi"
"specials.name.fury_of_the_mountain_lord","Dağ Lordunun Öfkesi"
"specials.name.fury_of_the_silverback","Gümüş Sırtlı Gorilin Öfkesi"
"specials.name.gallant_stance","Cesur Duruş"
"specials.name.gamblers_stance","Kumarbazın Duruşu"
"specials.name.gamblers_swing","Kumarbazın Savuruşu"
"specials.name.garbage_shock_wave","Çöp Şok Dalgası"
"specials.name.gardeners_remedy","Bahçıvanın Devası"
"specials.name.gargantuan_bite","Devasa Isırık"
"specials.name.gargoyles_of_redemption","Kefaret Yaratıkları"
"specials.name.gargoyles_of_redemption_pve","Kefaret Yaratıkları"
"specials.name.gargoyles_of_restoration","Yenileme Yaratıkları"
"specials.name.garlic_serving_edwin","Sarımsak Tabağı"
"specials.name.generous_gifts","Cömert Hediyeler"
"specials.name.gentle_paw","Nazik Pati"
"specials.name.gentlemans_cane","Beyefendi Bastonu"
"specials.name.gentlemans_transformation","Centilmenin Dönüşümü"
"specials.name.giddy_jab_dragon_pve","Enerjik Yumruk"
"specials.name.gift_list","Hediye Listesi"
"specials.name.gift_of_rejuvenation","Canlanma Hediyesi"
"specials.name.gift_of_rock","Kaya Hediyesi"
"specials.name.giftsack","Zehir Çuvalı"
"specials.name.gilded_antlers","Yaldızlı Boynuzlar"
"specials.name.glacial_atmosphere","Buzul Atmosferi"
"specials.name.glacial_crusher","Buzul Ezici"
"specials.name.glacial_explosion","Buzul Patlama"
"specials.name.glacial_fissure_cleave","Buzul Çatlatan Yarma"
"specials.name.glacial_resilience","Buzul Esnekliği"
"specials.name.glacial_shatter","Buzul Çatlağı"
"specials.name.glacial_vortex","Buzul Girdabı"
"specials.name.glaive_of_flames","Alevlerin Kılıcı"
"specials.name.glass_anger_of_forest_horghall","Kırıkların Öfkesi"
"specials.name.glass_arrow","Cam Oku"
"specials.name.glass_barrage_scarlett","Cam Yağmuru"
"specials.name.glass_beam","Cam Işını"
"specials.name.glass_bite","Cam Isırığı"
"specials.name.glass_bolt","Cam Oku"
"specials.name.glass_brew","Cam İçeceği"
"specials.name.glass_burning_strike","Cam Darbesi"
"specials.name.glass_chop","Cam Doğraması"
"specials.name.glass_cleave","Cam Yarması"
"specials.name.glass_cold_blast_ulmer","Cam Fırtınası"
"specials.name.glass_cut","Cam Kesiği"
"specials.name.glass_cut_chao","Vitray Kesiği"
"specials.name.glass_entangling_shot","Cam Oku"
"specials.name.glass_finisher_thorne","Cam Bitirici"
"specials.name.glass_fireball","Cam Ateş Topu"
"specials.name.glass_flame_smash","Cam Alev Vuruşu"
"specials.name.glass_four_blades","Cam Bıçakların Kesiği"
"specials.name.glass_fury","Cam Öfke"
"specials.name.glass_gamblers_stance","Cam Duruşu"
"specials.name.glass_hammer","Cam Çekiç"
"specials.name.glass_have_faith","Temiz İnanç"
"specials.name.glass_heal","Cam Şifası"
"specials.name.glass_jolt","Cam Sarsıntısı"
"specials.name.glass_kick","Cam Tekme"
"specials.name.glass_leaping_attack_dawa","Cam Saldırısı"
"specials.name.glass_leeching_stars_renfeld","Cam Yıldızlar"
"specials.name.glass_link","Cam Bağlantısı"
"specials.name.glass_massive_chop","Cam Doğraması"
"specials.name.glass_mist","Cam Sisi"
"specials.name.glass_order","Vitrayın Emri"
"specials.name.glass_peck","Cam Gaga"
"specials.name.glass_piercing_hit_tyrum","Cam Darbesi"
"specials.name.glass_piercing_strike","Cam Darbesi"
"specials.name.glass_prayer","Cam Duası"
"specials.name.glass_pulverizer","Cam Püskürtücü"
"specials.name.glass_pulverizer_tiburtus","Cam Püskürtücü"
"specials.name.glass_purification","Camlaştırma"
"specials.name.glass_ramming_rush","Cam Hücumu"
"specials.name.glass_ramming_rush_isshtak","Cam Hücumu"
"specials.name.glass_riposte","Cam Hamlesi"
"specials.name.glass_riposte_boril","Cam Hamlesi"
"specials.name.glass_shatter","Cam Çatlaması"
"specials.name.glass_shield_kadilen","Cam Kalkan"
"specials.name.glass_skin","Cam Cilt"
"specials.name.glass_slam","Cam Çarpması"
"specials.name.glass_slash","Cam Kesiği"
"specials.name.glass_spear","Cam Mızrağı"
"specials.name.glass_stab","Cam Saplaması"
"specials.name.glass_stone_skin_gunnar","Cam Bağlantısı"
"specials.name.glass_strike","Cam Darbesi"
"specials.name.glass_strike_caedmon","Cam Darbesi"
"specials.name.glass_strike_magni","Cam Darbesi"
"specials.name.glass_swords","Camdan Duvar"
"specials.name.glass_thunderstrike_quintus","Cam Ültimatomu"
"specials.name.glass_traps_oberon","Cam Tuzakları"
"specials.name.glass_vines","Cam Asmaları"
"specials.name.glass_volcano","Cam Volkan"
"specials.name.glass_wall","Cam Duvar"
"specials.name.glass_warcry","Cam Savaş Çığlığı"
"specials.name.gleaming_gemstones","Parıldayan Mücevher Taşları"
"specials.name.gleaming_sword_and_iron_mail","Parıldayan Kılıç ve Demir Zırh"
"specials.name.glittering_sweep_dragon_pve","Parıldayan Süpürme"
"specials.name.gloom_grenades","Kasvet Bombaları"
"specials.name.gloomy_tune","Kasvetli Melodi"
"specials.name.glorious_grace","Şanlı Zarafet"
"specials.name.glutinous_execution","Yapışkan İnfaz"
"specials.name.gnomish_carnage","Cücesel Katliam"
"specials.name.goat_rush","Keçi Hücumu"
"specials.name.goblin_explosives","Goblin Patlayıcıları"
"specials.name.goblin_serenade","Goblin Serenadı"
"specials.name.god_of_the_underworld","Cehennem Vuruşu"
"specials.name.gold_gauntlet","Altın Eldiven"
"specials.name.gold_rush","Altına Hücum"
"specials.name.gold_weaver","Altın Dokumacısı"
"specials.name.golden_aura","Altın Aura"
"specials.name.golden_cicada","Altın Ağustos Böceği"
"specials.name.golden_sacred_symbol","Altın Kutsal Sembolü"
"specials.name.golden_thread","Altın İpler"
"specials.name.golem_crusher","Golem Ezici"
"specials.name.goodnight_lullaby","Ninni"
"specials.name.gooey_rose","Vıcık Gül"
"specials.name.gorging_bite_yellow","Obur Isırık"
"specials.name.gorging_chew_blue","Obur Çiğneme"
"specials.name.gorging_chew_green","Obur Çiğneme"
"specials.name.gorging_chew_purple","Obur Çiğneme"
"specials.name.gorging_chew_red","Obur Çiğneme"
"specials.name.gorging_chew_yellow","Obur Çiğneme"
"specials.name.gorgyra","Valkürün Cesareti"
"specials.name.grab_and_run","Kapkaç"
"specials.name.graceful_shot","Zarafetli Atış"
"specials.name.graceless_ritual","Nahoş Ayin"
"specials.name.grand_heist","Büyük Soygun"
"specials.name.great_frost_axe","Büyük Ayaz Baltası"
"specials.name.great_frost_hoe","Büyük Ayaz Çapası"
"specials.name.greed_and_bribery","Açgözlülük ve Rüşvet"
"specials.name.greedy_munch_red","Açgözlü Çiğneme"
"specials.name.green_dragon_crescent_blade","Yeşil Ejderha Hilal Bıçağı"
"specials.name.green_dragon_inferno","Yeşil Ejderha Cehennem Bıçağı"
"specials.name.green_sparks_dragon_pve","Yeşil Parıltılar"
"specials.name.greeting_of_the_sun","Güneşin Selamı"
"specials.name.grim_awakening","Zalim Uyanış"
"specials.name.grimoire_skim","Büyü Kitabı Okuma"
"specials.name.grips_of_longing","Hasret Pençeleri"
"specials.name.grips_of_longing_pve","Hasret Pençeleri"
"specials.name.grove_splash_dragon_pve","Koru Sıçraması"
"specials.name.gruesome_charge","Korkunç Yük"
"specials.name.guard_the_garden","Bahçeyi Koru!"
"specials.name.guardian_armor","Muhafız Zırhı"
"specials.name.guardians_retaliation","Muhafızın Geri Çekilişi"
"specials.name.guarding_tunes","Koruyucu Tınılar"
"specials.name.guiding_arrow","Yol Gösteren Ok"
"specials.name.gust_of_restoration","Yenileme Rüzgarı"
"specials.name.gust_of_swiftness","Sürat Rüzgarı"
"specials.name.hack_and_slash","Darbe ve Kesik"
"specials.name.hacking_attack","Tekme Saldırısı"
"specials.name.hailstone_glare_dragon_pve","Dolu Tanesi Parıltısı"
"specials.name.hailstorm","Dolu Fırtınası"
"specials.name.halflings_wisdom","Buçukluğun Bilgeliği"
"specials.name.halflings_wit","Buçukluğun Zekası"
"specials.name.hallowed_blade","Kutsal Kılıç"
"specials.name.halting_counter_strike","Aksayan Karşı Saldırı"
"specials.name.hammer_thump","Çekiç Yumruğu"
"specials.name.harmonic_bash","Uyumlu Darbe"
"specials.name.harmonic_slam","Uyumlu Patlama"
"specials.name.harpoon_sentry","Zıpkın Bekçisi"
"specials.name.harpy_claw","Harpy Pençesi"
