"herocard.passive_skill.description.addmana.all.allies","Alle Verbündeten erhalten eine geringe Menge Mana."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Dieser Charakter verursacht gegen Lakaien und Mega-Lakaien {DAMAGEMULTIPLIER} % Schaden."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Treffer aus der Spezialfähigkeit dieses Charakters haben eine zusätzliche Kraft von {POWERADDITION} %, wenn das Ziel verspottet wurde."
"herocard.passive_skill.description.increasespecialdamage","Die ersten {MAXACTIVATIONCOUNT} Male, wenn dieser Charakter eine Schaden verursachende Spezialfähigkeit wirkt, wird die Stärke um zusätzlich {POWERADDITION} % erhöht."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Das erste Mal, wenn dieser Charakter eine Schaden verursachende Spezialfähigkeit wirkt, wird die Stärke um zusätzlich {POWERADDITION} % erhöht."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Jedes Mal, wenn dieser Charakter eine Schaden verursachende Spezialfähigkeit wirkt, wird die Stärke um zusätzlich {POWERADDITION} % erhöht."
"herocard.passive_skill.description.insanitydamagereduction","Der gesamte Schaden, den dieser Charakter erleidet, wird reduziert um {DAMAGEREDUCTION} % pro {DISPLAYSCALE} Wahnsinn für diesen Charakter bis zu einer maximalen Reduzierung von {MAXDAMAGEREDUCTION} %."
"herocard.passive_skill.description.iterateeffectonspecial","Wenn dieser Charakter seine Spezialfähigkeit wirkt, wird mit einer Wahrscheinlichkeit von {APPLYCOUNT} eine seiner passiven Fähigkeiten aktiviert, die zusätzliche Effekte gewährt."
"herocard.passive_skill.description.league.featured_family","Dieser Held ist Teil einer vorgestellten Familie!"
"herocard.passive_skill.description.league.non_featured_family","Dieser Held ist nicht Teil einer vorgestellten Familie!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER} % Genauigkeit gegen Helden der vorgestellten Familien."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Heilungen, die Mitglieder der vorgestellten Familien betreffen, haben {POWERMULTIPLIER} % Effektivität."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER} % erhaltener Schaden von nicht-vorgestellten Familien."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER} % Manaregeneration."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Verringert die Menge an Mana, die durch Spezialfähigkeiten erhöht wird, um {MODIFIER} %. Der Effekt gilt für alle Gegner im Kampf."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Verringert die Menge an Mana, die durch Spezialfähigkeiten, Passivfähigkeiten-Familienboni und Statuseffekte erhöht wird, um {MODIFIER} %. Der Effekt gilt für alle Gegner im Kampf."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Verringert die Menge an Mana, die durch Spezialfähigkeiten, Passivfähigkeiten-Familienboni und Statuseffekte erhöht wird, um {MODIFIER} %. Der Effekt gilt für alle Gegner im Kampf."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Dieser Charakter erhält eine kleine Menge Mana, wenn ein Lakai in seinem Besitz zerstört wird."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Dieser Charakter hat die angeborene Fähigkeit, sich die Lakaien oder Feinde einzuprägen, die durch die Spezialfähigkeiten eines Gegners beschworen wurden. Der letzte Lakai und der letzte Feind, den Gegner beschwören, wird bis zum Wirken der Spezialfähigkeit eingeprägt."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Dieser Charakter hat die angeborene Fähigkeit, sich die Lakaien oder Feinde einzuprägen, die durch die Spezialfähigkeiten eines Gegners beschworen wurden. Die letzten {0} Lakaien und Feinde, die Gegner beschwören, werden bis zum Wirken der Spezialfähigkeit eingeprägt."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","Dieser Charakter besitzt die angeborene Fähigkeit, sich negative Statusänderungen einzuprägen. Die letzte negative Statusänderung, die auf den Charakter angewandt wurde, bleibt eingeprägt, bis die Spezialfähigkeit gewirkt wird. Nur negativen Statusänderungen mit einer Dauer können eingeprägt werden."
"herocard.passive_skill.description.memorizestatuseffects#2","Dieser Charakter besitzt die angeborene Fähigkeit, sich negative Statusänderungen einzuprägen. Die letzten {0} negativen Statusänderungen, die auf den Charakter angewandt wurden, bleiben eingeprägt, bis die Spezialfähigkeit gewirkt wird. Nur negativen Statusänderungen mit einer Dauer können eingeprägt werden."
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted","Jeder einzigartige Mime in deinem Team kann dir zusätzliche Beute gewähren, wenn du Etappen abschließt. Dieser Mime gewährt eine Chance auf folgende zusätzliche Beute:"
"herocard.passive_skill.description.minioncorruption.all.enemies","Am Ende von jedem Zug haben Gegner mit Wahnsinn eine Chance, dass ihre Lakaien zu Feinden werden. Wenn {AUTOMATICTRANSFORMINSANITYTHRESHOLD} Wahnsinn erreicht wird, passiert die Verwandlung automatisch.
 Ein Lakai verwandelt sich in einen Gespenstischer Feind: {FAMILIAR1FAMILIARATTACK} % Angriff, {FAMILIAR1FAMILIARHEALTHPERCENT} % Leben, verursacht {FAMILIAR1INSANITYTOADD} Wahnsinn pro Runde.
 Ein Mega-Minion verwandelt sich in einen Gespenstischer Mega-Feind: {FAMILIAR2FAMILIARATTACK} % Angriff, {FAMILIAR2FAMILIARHEALTHPERCENT} % LEben, verursacht {FAMILIAR2INSANITYTOADD} Wahnsinn pro Runde."
"herocard.passive_skill.description.nevermissspecial","Die Spezialfähigkeit dieses Charakters verfehlt ihre Ziele nie."
"herocard.passive_skill.description.preventboostedhealth.all.enemies","Das Leben von Gegnern kann nicht über ihr max. Leben hinaus erhöht werden."
"herocard.passive_skill.description.ransack","Zu Beginn jedes Zugs raubt dieser Charakter einen zufälligen Gegner aus:

Er stiehlt {DAMAGE} Leben.
Er stiehlt einen Bonus, Wachstumseffekt oder positiven Stapelbonus des Gegners. Dazu zählen auch nicht entfernbare Boni und Tanzeffekte."
"herocard.passive_skill.description.ransack.chance","Zu Beginn jedes Zugs hat dieser Charakter eine Chance von {CHANCE} %, einen zufälligen Gegner auszurauben:

Ausrauben:
Er stiehlt {DAMAGE} Leben.
Er stiehlt einen zufälligen Wachstumseffekt, positiven Stapel- oder Statuseffektbonus des Gegners. Dazu zählen auch nicht entfernbare Boni und Tanzeffekte.
Beim sicheren Stehlen werden sekundäre Effekte wie Schaden bei Entfernung von den entfernten Boni ignoriert. Passive Fähigkeiten und Familieneffekte können noch aktiviert werden."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, den neuesten entfernbaren Bonus eines zufälligen Gegners mit Boni zu stehlen. Wenn kein Gegner Boni hat, wird allen Gegnern {DAMAGE} % Schaden zugefügt."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, den neuesten entfernbaren Bonus eines zufälligen Gegners mit Boni zu stehlen. Wenn kein Gegner Boni hat, wird allen Gegnern {DAMAGE} % Schaden zugefügt."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, überträgt er die neueste reinigbare negative Statusänderung von sich auf das Ziel. Wenn die Spezialfähigkeit keinen Gegner anvisieren kann, wird stattdessen ein zufälliger Gegner ausgewählt. Wenn dieser Charakter keine reinigbaren negativen Statusänderungen hat, erhält er {HEALTH} % Gesundheit zurück."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE} %ige Chance, eingehende negative Effekte durch entsprechende positive Effekte zu ersetzen."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Dieser Charakter erleidet weniger Schaden durch Truppen des stärkeren Elements.

Erlittener Schaden: -{MODIFIER} %"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER} % weniger erlittener Schaden von Truppen des stärkeren Elements."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER} % mehr erhaltener Schaden von Feuerbällen des stärkeren Elements."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Wenn dieser Charakter zum ersten Mal tödlichen Schaden erleiden würde, wird dieser Schaden stattdessen zu einem zufälligen Gegner weitergeleitet.

In Kämpfen mit mehreren Wellen wird dieser Effekt zu Beginn jeder Welle zurückgesetzt."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Wenn dieser Charakter zum ersten Mal tödlichen Schaden erleiden würde, wird dieser Schaden stattdessen zu einem zufälligen Gegner weitergeleitet.(Verbleibende Aktivierungen: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE} % zusätzliche Chance, negative Statusänderungen auf den Angreifer zurückzuwerfen."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Alle {TURNS} Runden werden alle Verwelken-Effekte von Alliierten entfernt."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Alle {TURNS} Runden werden alle Wachstum-Effekte von Feinden entfernt."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Beim Konstruktkern dieses Charakters handelt es sich um einen Reparaturkern.

Der Reparaturkern wird immer aktiviert, wenn die Spezialfähigkeit des Charakters gewirkt wird:

 Bei einem vollständig aufgeladenen Reparaturkern wird das Leben aller Verbündeten um {CHARGEDPOWER1} % verstärkt. 
 Die Heilung richtet sich nach der Aufladung im Kern. Die ganze Aufladung wird verbraucht, wenn der Kern aktiviert wird."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE} % Chance, dass die Spezialfähigkeit des Helden {REPEATS}-mal durchgeführt wird."
"herocard.passive_skill.description.resist.accuracymodifiers","Der Charakter ist immun gegen negative Statusänderungen, die die Genauigkeit beeinträchtigen. Gilt nicht für Original-Statusänderungen von Verbündeten."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Der Charakter ist immun gegen negative Statusänderungen und Stapel."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE} % zusätzliche Chance, allen negativen Statusänderungen und dem Entfernen von Boni zu widerstehen."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE} % zusätzliche Chance, allen negativen Statusänderungen, Manaverringerungen, dem Entfernen von Boni und Verwelkeffekten zu widerstehen."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE} % zusätzliche Chance, allen negativen Statusänderungen, Manaverringerungen und dem Entfernen von Boni und Wahnsinn zu widerstehen."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE} % zusätzliche Chance, allen negativen Statusänderungen, Manaverringerungen und dem Entfernen von Boni zu widerstehen."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance.with_effect.addmana","{CHANCE} % zusätzliche Chance, allen negativen Statusänderungen, Manaverringerungen und dem Entfernen von Boni zu widerstehen. Bei jedem erfolgreichen Widerstand erhältst du {MANA} % Man."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE} % zusätzliche Chance, allen negativen Statusänderungen zu widerstehen."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Der Charakter ist immun gegen negative Statusänderungen, die die Verteidigung beeinträchtigen. Gilt auch für Statuseffekte, die die Elementarverteidigung beeinträchtigen."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Der Charakter ist immun gegen negative Statusänderungen, Stapel und Verwelken-Effekte, die die Verteidigung beeinträchtigen."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Dieser Charakter wird nicht von Effekten beeinflusst, die die Verteidigung erhöhen oder verringern.

Dazu gehören negative Statusänderungen und -stärkungen, positive und negative Steigerungen sowie Verwelkungs- und Wachstumseffekte."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Dieser Charakter wird nicht von Effekten beeinflusst, die die Verteidigung erhöhen oder verringern.

Dazu gehören 
 negative Statusänderungen und -stärkungen,
 positive und negative Steigerungen sowie 
 Verwelkungs- und Wachstumseffekte."
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Dieser Charakter wird nicht von Effekten beeinflusst, die die Verteidigung erhöhen oder verringern.

Dazu gehören negative Statusänderungen und -stärkungen, positive und negative Steigerungen sowie Verwelkungs- und Wachstumseffekte."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Der Charakter ist immun gegen Manareduktionen und negative Stapel, die die Manaregeneration beeinträchtigen. Gilt auch für Statuseffekte, die Mana blockieren oder Mana stehlen."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Der Charakter ist immun gegen negative Statusänderungen und negative Stapel, die die Manaregeneration beeinträchtigen. Gilt auch für Statuseffekte, die Mana blockieren oder Mana stehlen."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Dieser Charakter ist immun gegen eingehenden Schaden durch Statuseffekte und Stapel."
"herocard.passive_skill.description.resist.attackdelay","Der normale Angriff dieses Charakters kann nicht verzögert werden."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Der normale Angriff dieses Charakters kann nicht verzögert werden."
"herocard.passive_skill.description.resist.attackmodifiers","Der Charakter ist immun gegen negative Statusänderungen, die den Angriff beeinträchtigen."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Der Charakter ist immun gegen alle Statuseffekte und Stapel, die den Angriff beeinträchtigen. Das betrifft auch Statuseffekt-Boni."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Der Charakter ist immun gegen negative Statusänderungen, Stapel und Verwelken-Effekte, die den Angriff beeinträchtigen."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.attackgrowth.allstatuseffectsandstacks","Dieser Charakter wird nicht von Effekten beeinflusst, die den Angriff erhöhen oder verringern.

Dazu gehören 
 negative Statusänderungen und -stärkungen,
 positive und negative Steigerungen sowie 
 Verwelkungs- und Wachstumseffekte."
"herocard.passive_skill.description.resist.bleed","Der Charakter ist immun gegen negative Statusänderungen, die Blutungsschaden verursachen."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Dieser Charakter ist immun gegen negative Statusänderungen, die Blutungsschaden verursachen, und erhält {HEALTHBOOST} verstärktes Leben und {MANA} % Mana, wenn er diese Immunität nutzt."
"herocard.passive_skill.description.resist.buffdispels","Der Charakter ist immun gegen Effekte, die seine Statuseffekt-Boni entfernen würden."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE} % zusätzliche Chance, allen Bonusentfernungen zu widerstehen."
"herocard.passive_skill.description.resist.buffimmunity","Der Charakter ist immun gegen Effekte, die ihn davon abhalten würden, neue Statuseffekt-Boni zu erhalten."
"herocard.passive_skill.description.resist.burn","Der Charakter ist immun gegen negative Statusänderungen, die Brandschaden verursachen."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Dieser Charakter ist immun gegen negative Statusänderungen, die Brandschaden verursachen, und erhält {HEALTHBOOST} verstärktes Leben und {MANA} % Mana, wenn er diese Immunität nutzt."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Der Charakter ist immun gegen negative Statusänderungen."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE} % zusätzliche Chance, allen negativen Statusänderungen zu widerstehen."
"herocard.passive_skill.description.resist.criticalhits.none","Dieser Charakter ist immun gegen zusätzlichen Schaden und zusätzliche Effekte durch kritische Treffer."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Der Charakter ist immun gegen negative Statusänderungen, die die Verteidigung beeinträchtigen. Gilt nicht für Statuseffekte, die die Elementarverteidigung beeinträchtigen."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Der Charakter ist immun gegen negative Statusänderungen und negative Stapel, die die Verteidigung beeinträchtigen. Gilt nicht für Statuseffekte, die die Elementarverteidigung beeinträchtigen."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Immun gegen Effekte, die Lakaien entfernen.
 Lakaien können trotzdem erhalten werden.
 Angriffe und Fähigkeiten von Lakaien können nicht ausgeschaltet werden."
"herocard.passive_skill.description.resist.frost","Der Charakter ist immun gegen negative Statusänderungen, die Frostschaden verursachen."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Dieser Charakter ist immun gegen negative Statusänderungen, die Frostschaden verursachen, und erhält {HEALTHBOOST} verstärktes Leben und {MANA} % Mana, wenn er diese Immunität nutzt."
"herocard.passive_skill.description.resist.healeffects","Der Charakter ist immun gegen negative Statusänderungen, die die Heilung beeinträchtigen."
"herocard.passive_skill.description.resist.healthsteal","Der Charakter ist immun gegen negative Statusänderungen, die Leben stehlen."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Der Charakter ist immun gegen Wahnsinn."
"herocard.passive_skill.description.resist.manadebuffs","Der Charakter ist immun gegen negative Statusänderungen, die das Mana beeinträchtigen."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Dieser Charakter ist immun gegen negative Statusänderungen, die sich auf die Manaregeneration auswirken oder die Verwendung von Spezialfähigkeiten verhindern."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Dieser Charakter hat eine Chance von {CHANCE} %, negativen Statusänderungen zu widerstehen, die sich auf das Mana auswirken oder die Verwendung von Spezialfähigkeiten verhindern."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Der Charakter ist immun gegen negative Statusänderungen und negative Stapel, die die Manaregeneration beeinträchtigen. Gilt nicht für Statuseffekte, die die Manaregeneration stoppen oder Mana stehlen."
"herocard.passive_skill.description.resist.manareduction","Der Charakter ist immun gegen Manareduktionen."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE} % Chance auf Resistenz gegen Manareduktion."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Dieser Charakter ist immun gegen Manareduktionen. Außerdem erhält er bei jeder Resistenz {HEALTHBOOST} erhöhte Gesundheit und {MANA} % Mana."
"herocard.passive_skill.description.resist.maxhealthreduction","Der Charakter ist immun gegen Minderung des max. Lebens."
"herocard.passive_skill.description.resist.poison","Der Charakter ist immun gegen negative Statusänderungen, die Giftschaden verursachen."
"herocard.passive_skill.description.resist.poison.burn.bleed","Der Charakter ist immun gegen negative Statusänderungen, die Gift-, Brand- oder Blutungsschaden verursachen."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Der Charakter ist immun gegen Statuseffekte, die vom Charakter Besitz ergreifen würden."
"herocard.passive_skill.description.resist.sand","Der Charakter ist immun gegen negative Statusänderungen, die Sandschaden verursachen."
"herocard.passive_skill.description.resist.specialblocking","Dieser Charakter ist immun gegen negative Statusänderungen, die die Verwendung von Spezialfähigkeiten verhindern."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Dieser Charakter hat eine Chance von {CHANCE} %, negativen Statusänderungen zu widerstehen, die die Verwendung von Spezialfähigkeiten verhindern."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Dieser Charakter ist immun gegen negative Statusänderungen, die die Verwendung von Spezialfähigkeiten verhindern. Außerdem erhält er bei jeder Resistenz {HEALTHBOOST} erhöhte Gesundheit und {MANA} % Mana."
"herocard.passive_skill.description.resist.stopmanageneration","Der Charakter ist immun gegen negative Statusänderungen, die die Manageneration verhindern."
"herocard.passive_skill.description.resist.water","Der Charakter ist immun gegen negative Statusänderungen, die Wasserschaden verursachen."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Der Charakter ist immun gegen negative Statusänderungen, die von Lakaien stammen."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Der Charakter ist immun gegen Effekte, die Lakaien entfernen würden."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Der Charakter ist immun gegen eingehende negative Effekte und Schaden von Lakaien."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Der Charakter ist immun gegen eingehende negative Effekte und Schaden von Lakaien und Mega-Lakaien."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Dieser Charakter kann keine Feinde empfangen."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Dieser Charakter kann keine Feinde oder Mega-Feinde empfangen."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE} % zusätzliche Chance, allen negativen Statusänderungen zu widerstehen."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Die Überlebenschancen sind für alle Gegner im Kampf gesenkt. Die Chance beträgt {MODIFIER} % des ursprünglichen Werts."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Alle Gegner haben {HEALTHMODIFIER} % Leben, wenn sie wiederbelebt werden. Bossgegner sind nicht betroffen."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Wenn er besiegt wurde, hat dieser Charakter eine Chance, als Gespenstischer Wirt wiedergeboren zu werden. Die Chance beträgt {CHANCEINCREASEPERSTEP} % pro {INSANITYPERSTEP} Wahnsinn auf diesem Charakter, bis zu maximal {MAXCHANCEINCREASE} %.

Der Gespenstische Wirt hat:
{INHERITEDHEALTH} % vererbtes Leben. 
{ATTACK} Angriff.
{DEFENSE} Verteidigung.
Folgende Spezialfähigkeit: 

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Wenn sich dieser Charakter bei Aktivierung von Wahnsinn selbst besiegt, beträgt die Chance {CHANCEONSELFCAUSEDDEATH} %."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Wenn er besiegt wurde, hat dieser Charakter eine Chance, als Gespenstischer Wirt wiedergeboren zu werden. Die Chance beträgt {CHANCEINCREASEPERSTEP} % pro {INSANITYPERSTEP} Wahnsinn auf diesem Charakter, bis zu maximal {MAXCHANCEINCREASE} %.

Der Gespenstische Wirt hat:
{INHERITEDHEALTH} % vererbtes Leben. 
{ATTACK} Angriff.
{DEFENSE} Verteidigung.
Folgende Spezialfähigkeit: 

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Wenn dieser Charakter besiegt wird, hat er eine Chance von {TOTALCHANCE} %, zu Beginn seines nächsten Zuges mit {HEALTH} % Gesundheit und {MANA} % Mana wiederzubeleben. 

Kann bis zu {MAXACTIVATIONCOUNT}-mal aktiviert werden. Die Chance auf Wiederbelebung wird bei jeder Aktivierung verringert. Kann nicht durch negative Statusänderungen oder passive Fähigkeiten verhindert werden."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","Wenn dieser Charakter besiegt wird, hat er eine Chance von {TOTALCHANCE} %, zu Beginn seines nächsten Zuges mit {HEALTH} % Gesundheit und {MANA} % Mana wiederzubeleben. 

Kann bis zu {MAXACTIVATIONCOUNT}-mal aktiviert werden. Die Chance auf Wiederbelebung wird bei jeder Aktivierung verringert. Kann nicht durch negative Statusänderungen oder passive Fähigkeiten verhindert werden."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Alle von Gegnern gewirkten Balladen dauern nur {TURNS} Runde."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Alle von Gegnern gewirkten Tänze dauern nur {TURNS} Runde."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION} % des erhaltenen Schadens wird mit allen anderen Verbündeten geteilt."
"herocard.passive_skill.description.specialdamagereduction","Der erlittene Schaden wird in den ersten {MAXACTIVATIONCOUNT} Malen, in denen der Charakter Schaden durch Spezialfähigkeiten erleidet, um {DAMAGEREDUCTION} % verringert."
"herocard.passive_skill.description.specialdamagereduction.chance","Dieser Charakter hat eine Chance von {CHANCE} %, den direkten Schaden durch Spezialfähigkeiten auf 1 zu senken."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Der durch Spezialfähigkeiten erlittene Schaden wird für diesen Charakter um {DAMAGEREDUCTION} % verringert."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Dieser Charakter erhält {MANA} % Mana zu Beginn des Kampfs."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER} % Angriff."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER} % Verteidigung."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER} % Leben."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER} % Leben, {ATTACKMULTIPLIER} % Angriff."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER} % Leben, {DEFENSEMULTIPLIER} % Angriff."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER} % Leben, {DEFENSEMULTIPLIER} % Verteidigung, {ATTACKMULTIPLIER} % Angriff."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Statuseffekte, die den Angriff erhöhen, sind für diesen Charakter um {MODIFIER} % effektiver."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Verringert den Effekt von negativen Statusänderungen des Angriffs um {MODIFIER} %. Der Effekt betrifft diesen Charakter und alle seine Verbündeten im Kampf."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Negative Statusänderungen des Angriffs sind gegen diesen Charakter {MODIFIER} % weniger effektiv."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Statuseffekte, die den Angriff erhöhen, sind für diesen Charakter um {MODIFIER} % effektiver."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Negative Statusänderungen des Angriffs sind gegen diesen Charakter {MODIFIER} % weniger effektiv."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Statuseffekte, die die Verteidigung erhöhen, sind für diesen Charakter um {MODIFIER} % effektiver."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Verringert den Effekt von negativen Statusänderungen der Verteidigung um {MODIFIER} %. Der Effekt betrifft diesen Charakter und alle seine Verbündeten im Kampf."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Negative Statusänderungen der Verteidigung sind gegen diesen Gegner {MODIFIER} % weniger effektiv."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Statuseffekte, die die Verteidigung erhöhen, sind für diesen Charakter um {MODIFIER} % effektiver."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Negative Statusänderungen der Verteidigung sind gegen diesen Gegner {MODIFIER} % weniger effektiv."
