"heroes.name_fancy.astral_cosmicspeaker","Астральный эльф-астроном"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Неразлучная команда"
"heroes.name_fancy.fire_god_russell","Яростный огнепоклонник"
"heroes.name_fancy.fire_god_skargremar","Первый защитник"
"heroes.name_fancy.fire_god_tahir","Бродячий охотник"
"heroes.name_fancy.fire_god_yang_mai","Кулак Солнца"
"heroes.name_fancy.fire_god_zagrog","Одинокий бандит"
"heroes.name_fancy.fire_god_zarga","Быстрый клинок"
"heroes.name_fancy.fire_god_zidane","Очаровательный пират"
"heroes.name_fancy.fire_god_zimkitha","Давно потерянная дочь"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Давно пропавший авантюрист"
"heroes.name_fancy.fleur_elyzabel","Кровавая графиня"
"heroes.name_fancy.fleur_eumachius","Кровавый наследник"
"heroes.name_fancy.fleur_guillemette","Кровавая крестоносица"
"heroes.name_fancy.fleur_lavinia","Кровавая мечтательница"
"heroes.name_fancy.fleur_ludovico","Кровавый распорядитель"
"heroes.name_fancy.fleur_talesie","Кровавый убийца"
"heroes.name_fancy.forest_archer","Опытный лучник"
"heroes.name_fancy.forest_archer_costume_cute","Стрелок-мультяшка"
"heroes.name_fancy.forest_archer_costume_glass","Стеклянный лучник"
"heroes.name_fancy.forest_archer_costume_warrior","Ловкий лучник"
"heroes.name_fancy.forest_female_druid","Друидесса из Ратвуда"
"heroes.name_fancy.forest_female_druid_costume_cute","Мультяшка из Ратвуда"
"heroes.name_fancy.forest_female_druid_costume_glass","Витраж из Ратвуда"
"heroes.name_fancy.forest_female_druid_costume_native","Шаман Конкордии"
"heroes.name_fancy.forest_female_elf","Лунная мастерица владения щитом"
"heroes.name_fancy.forest_female_elf_costume_cute","Мультяшная мастерица владения щитом"
"heroes.name_fancy.forest_female_elf_costume_fairy","Лунная фея"
"heroes.name_fancy.forest_female_elf_costume_glass","Стеклянная мастерица владения щитом"
"heroes.name_fancy.forest_female_elf_costume_mage","Жрица лунного света"
"heroes.name_fancy.forest_female_illusionist","Заклинательница растений"
"heroes.name_fancy.forest_female_spirit","Дух болот"
"heroes.name_fancy.forest_female_spirit_costume_autumn","Дух рощи"
"heroes.name_fancy.forest_female_spirit_costume_cute","Мультяшный дух"
"heroes.name_fancy.forest_female_spirit_costume_glass","Стеклянный дух"
"heroes.name_fancy.forest_female_warrior","Деревенская девчушка"
"heroes.name_fancy.forest_friar","Веселый монах"
"heroes.name_fancy.forest_friar_costume_cute","Игривый мультяшка"
"heroes.name_fancy.forest_friar_costume_explorer","Веселый исследователь"
"heroes.name_fancy.forest_friar_costume_glass","Игривый витраж"
"heroes.name_fancy.forest_god_elinor","Охотница за сокровищами"
"heroes.name_fancy.forest_god_elradir","Дикий волшебник Лунолесья"
"heroes.name_fancy.forest_god_evelyn","Храбрая наследница"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","Храбрая охотница"
"heroes.name_fancy.forest_god_grace","Кервитавр из рощи"
"heroes.name_fancy.forest_god_gregorion","Искуссный лучник"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","Алхимик-отшельник"
"heroes.name_fancy.forest_god_kingston","Благородный убийца"
"heroes.name_fancy.forest_god_oberon","Благой защитник"
"heroes.name_fancy.forest_god_oberon_costume_everoak","Рыцарь вечного леса"
"heroes.name_fancy.forest_god_telluria","Бог леса"
"heroes.name_fancy.forest_god_zeline","Бог природы"
"heroes.name_fancy.forest_god_zeline_costume_avian","Небесный летун"
"heroes.name_fancy.forest_god_zocc","Мастер ключей"
"heroes.name_fancy.forest_mage","Мудрость леса"
"heroes.name_fancy.forest_mage_costume_cute","Маг-мультяшка"
"heroes.name_fancy.forest_mage_costume_glass","Витраж леса"
"heroes.name_fancy.forest_mage_costume_party","Веселый волшебник"
"heroes.name_fancy.forest_mage_costume_white","Могучий маг"
"heroes.name_fancy.forest_male_elf","Лунный мастер владения копьем"
"heroes.name_fancy.forest_male_elf_costume_cute","Мультяшный мастер владения копьем"
"heroes.name_fancy.forest_male_elf_costume_dark","Лунный завоеватель"
"heroes.name_fancy.forest_male_elf_costume_glass","Стеклянный мастер владения копьем"
"heroes.name_fancy.forest_male_elf_costume_king","Лунный король"
"heroes.name_fancy.forest_thug","Бандит-наемник"
"heroes.name_fancy.forest_titan","Древний житель леса"
"heroes.name_fancy.forest_titan_costume_cute","Мультяшный лесовик"
"heroes.name_fancy.forest_titan_costume_glass","Витраж лесов"
"heroes.name_fancy.forest_titan_costume_jester","Деревянный шут"
"heroes.name_fancy.forest_titan_costume_nightmare","Лесной кошмар"
"heroes.name_fancy.forest_woodsman","Простой лесоруб"
"heroes.name_fancy.forest_woodsman_warrior","Могучий лесоруб"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","Скрытный брат"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","Могучий мультяшка"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","Могучий витраж"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","Могучий горец"
"heroes.name_fancy.forsaken_demhalar","Странный обитатель"
"heroes.name_fancy.forsaken_jax","Преследующий хулиган"
"heroes.name_fancy.forsaken_kadath","Проклятый священник"
"heroes.name_fancy.forsaken_khatrox","Гниющий громила"
"heroes.name_fancy.forsaken_lamentia","Служанка Бездны"
"heroes.name_fancy.fox_ashen","Серебряный лис"
"heroes.name_fancy.fox_ember","Лис, зовущий огонь"
"heroes.name_fancy.fox_foxglove","Хитрый большеухий лис"
"heroes.name_fancy.fox_foxley","Серый лис-преступник"
"heroes.name_fancy.fox_halcyon","Серая лисица-страж"
"heroes.name_fancy.fox_nettletail","Добрая лисица-хранительница леса"
"heroes.name_fancy.fox_nibbles","Набор прожорливого лиса"
"heroes.name_fancy.fox_riverfang","Призывающий лис-корсак"
"heroes.name_fancy.fox_rust","Сторожевой красный лис"
"heroes.name_fancy.fox_sable","Потерянная лиса-принцесса"
"heroes.name_fancy.fox_shadowfang","Песчаная лиса - собирательница костей"
"heroes.name_fancy.fox_silverpaw","Лис, пират-фенек"
"heroes.name_fancy.fox_spiff","Верный лис-рыцарь"
"heroes.name_fancy.fox_swiftpaw","Серебряная лиса-убийца"
"heroes.name_fancy.fox_whitefang","Полярный лис-исследователь"
"heroes.name_fancy.gargoyle_arco","Решительная горгулья"
"heroes.name_fancy.gargoyle_bellerive","Дикая горгулья"
"heroes.name_fancy.gargoyle_betty","Проворная горгулья"
"heroes.name_fancy.gargoyle_budatin","Свирепая горгулья"
"heroes.name_fancy.gargoyle_el_duque","Благородная горгулья"
"heroes.name_fancy.gargoyle_gaillard","Дальновидная горгулья"
"heroes.name_fancy.gargoyle_garten","Светская горгулья"
"heroes.name_fancy.gargoyle_goseck","Хитрая горгулья"
"heroes.name_fancy.gargoyle_grumbl","Мудрая горгулья"
"heroes.name_fancy.gargoyle_guffa","Стойкая горгулья"
"heroes.name_fancy.gargoyle_hilda","Бесстрашная горгулья"
"heroes.name_fancy.gargoyle_hohenwerf","Яростная горгулья"
"heroes.name_fancy.gargoyle_kalo","Ненормальная горгулья"
"heroes.name_fancy.gargoyle_kemeny","Очерствелая горгулья"
"heroes.name_fancy.gargoyle_matrera","Темная горгулья"
"heroes.name_fancy.gargoyle_mena","Педантичная горгулья"
"heroes.name_fancy.gargoyle_penolite","Беспощадная горгулья"
"heroes.name_fancy.gargoyle_pophit","Горгулья-виртуоз"
"heroes.name_fancy.gargoyle_soroca","Разъяренная горгулья"
"heroes.name_fancy.gargoyle_uwe","Пушистая горгулья"
"heroes.name_fancy.gargoyle_vincent","Испуганная горгулья"
"heroes.name_fancy.gargoyle_vonreine","Яростная горгулья"
"heroes.name_fancy.garrison_archibald","Нервирующий интендант"
"heroes.name_fancy.garrison_beatrice","Сержант-квартермейстер"
"heroes.name_fancy.garrison_caelen","Задумчивый поэт"
"heroes.name_fancy.garrison_ciara","Требовательный командир"
"heroes.name_fancy.garrison_dima","Укротитель свиней"
"heroes.name_fancy.garrison_fergus","Невозмутимый констебль"
"heroes.name_fancy.garrison_flamehide","Ящеролюд-игрок"
"heroes.name_fancy.garrison_frank_fangs_brimwell","Бывалый сержант"
"heroes.name_fancy.garrison_frostsnout","Носитель флага ящеролюдов"
"heroes.name_fancy.garrison_godfrey","Болтливый страж"
"heroes.name_fancy.garrison_greg","Мастер грога"
"heroes.name_fancy.garrison_iarlaith","Меченосец-стиляга"
"heroes.name_fancy.garrison_iocantha","Мастер над оружием"
"heroes.name_fancy.garrison_kolya","Флегматичный часовой"
"heroes.name_fancy.garrison_maisie","Милая масонка"
"heroes.name_fancy.garrison_pip","Тревожный посланник"
"heroes.name_fancy.garrison_rosalind","Улыбчивая капитан"
"heroes.name_fancy.garrison_shimmerscale","Фонарщица ящеролюдов"
"heroes.name_fancy.garrison_theodosius","Бравый капрал"
"heroes.name_fancy.garrison_vanya","Надежный сапер"
"heroes.name_fancy.garrison_violet_potts","Беспечный полурослик"
"heroes.name_fancy.garrison_william","Нервный ночной страж"
"heroes.name_fancy.goblin_acidfire","Гоблин-некромант"
"heroes.name_fancy.goblin_archer","Проворный охотник"
"heroes.name_fancy.goblin_boom_and_fang","Безрассудная пара"
"heroes.name_fancy.goblin_boots","Рассеянный страж"
"heroes.name_fancy.goblin_darkfeather","Опытный сокольничий"
"heroes.name_fancy.goblin_deadboot","Гоблин-сектант"
"heroes.name_fancy.goblin_fighter","Вор-карманник"
"heroes.name_fancy.goblin_fighter_costume_cute","Мультяшка-карманник"
"heroes.name_fancy.goblin_fighter_costume_evil","Головорез"
"heroes.name_fancy.goblin_fighter_costume_glass","Стеклянный карманник"
"heroes.name_fancy.goblin_fizzcoil","Скрипач гоблинской труппы"
"heroes.name_fancy.goblin_goldie","Гоблинская красавица"
"heroes.name_fancy.goblin_grimsteel","Отшельник Морозных гор"
"heroes.name_fancy.goblin_kettle","Кухонный алхимик"
"heroes.name_fancy.goblin_leafwizzle","Заклинатель монстров"
"heroes.name_fancy.goblin_madhammer","Гоблинская драчунья"
"heroes.name_fancy.goblin_mage","Болотная ведьма"
"heroes.name_fancy.goblin_mage_costume_candy","Конфетная ведьма"
"heroes.name_fancy.goblin_mage_costume_cute","Мультяшная ведьма"
"heroes.name_fancy.goblin_mage_costume_glass","Стеклянная ведьма"
"heroes.name_fancy.goblin_mage_costume_toad","Жабья ведьма"
"heroes.name_fancy.goblin_pepperflame","Знаменитая флейтистка гоблинов"
"heroes.name_fancy.goblin_ratgrub","Придворный крысогоблин"
"heroes.name_fancy.goblin_rocket","Мастер разрушений"
"heroes.name_fancy.goblin_scrollbeast","Отставной наездник на вепрях"
"heroes.name_fancy.goblin_smarttongue","Бард гоблинов"
"heroes.name_fancy.goblin_soursting","Высокомерный гоблин-убийца"
"heroes.name_fancy.guardian_bat","Ужас Дремучего леса"
"heroes.name_fancy.guardian_cat_warrior","Воительница из Телтока"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","Свирепая пантера"
"heroes.name_fancy.guardian_chameleon","Элементалист из Телтока"
"heroes.name_fancy.guardian_elephant","Истинная стрела Телтока"
"heroes.name_fancy.guardian_falcon_priest","Жрец из Телтока"
"heroes.name_fancy.guardian_gazelle","Друид из Телтока"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","Быстрый убийца Телтока"
"heroes.name_fancy.guardian_gorilla_chieftain","Атаман из Телтока"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","Горилла-завоеватель"
"heroes.name_fancy.guardian_hippo","Дикарь из Телтока"
"heroes.name_fancy.guardian_jackal_assassin","Убийца из Телтока"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","Собиратель костей Телтока"
"heroes.name_fancy.guardian_lemur","Мастер из Телтока"
"heroes.name_fancy.guardian_owl_gentleman","Элитный хранитель из Телтока"
"heroes.name_fancy.halloween_alucard","Потомок вампиров"
"heroes.name_fancy.halloween_alucard_costume_mafia","Вампир-главарь"
"heroes.name_fancy.halloween_amber","Вампирша-воительница"
"heroes.name_fancy.halloween_ana_belle","Освежительница Морловии"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","Баронесса пыли"
"heroes.name_fancy.halloween_chester","Недружелюбное привидение"
"heroes.name_fancy.halloween_edwin","Хитроумный дворецкий"
"heroes.name_fancy.halloween_edwin_costume_mafia","Дворецкий-предатель"
"heroes.name_fancy.halloween_francine","Монстрица"
"heroes.name_fancy.halloween_francine_costume_mafia","Девица из шайки"
"heroes.name_fancy.halloween_frank","Монстр"
"heroes.name_fancy.halloween_frank_costume_mafia","Мафиози"
"heroes.name_fancy.halloween_goopy","Желатиновое желе"
"heroes.name_fancy.halloween_hortensia","Покровительница мухоловок"
"heroes.name_fancy.halloween_jack","Тыквенный певец"
"heroes.name_fancy.halloween_lucinda","Носительница Экскалибрум"
"heroes.name_fancy.halloween_matilda","Грешный кондитер"
"heroes.name_fancy.halloween_miriam_and_midnight","Оккультный дуэт"
"heroes.name_fancy.halloween_vanda","Королева вампиров"
"heroes.name_fancy.halloween_vanda_costume_mafia","Королева преступников"
"heroes.name_fancy.halloween_wayne","Величайший волшебник Морловии"
"heroes.name_fancy.hidden_dark_god_myztero","Поглотитель заклятий"
"heroes.name_fancy.holy_god_aurox","Сияющий берсеркер"
"heroes.name_fancy.holy_god_aviana","Соколиный командующий"
"heroes.name_fancy.holy_god_bai_yeong","Танцующий мечник"
"heroes.name_fancy.holy_god_celidana","Глава духовных чинов"
"heroes.name_fancy.holy_god_delilah","Героиня запретного острова"
"heroes.name_fancy.holy_god_delilah_costume_guardian","Страж небесного храма"
"heroes.name_fancy.holy_god_devana","Отважная охотница"
"heroes.name_fancy.holy_god_drake_lee","Мастер боевых искусств"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","Безмятежный боец"
"heroes.name_fancy.holy_god_faeona","Эльфийский белый маг"
"heroes.name_fancy.holy_god_gilligan","Экзальтированный искатель приключений"
"heroes.name_fancy.holy_god_hanitra","Лемурийская богиня"
"heroes.name_fancy.holy_god_ithar","Благородная кошка-разбойница"
"heroes.name_fancy.holy_god_kara","Священная защитница"
"heroes.name_fancy.holy_god_malosi","Правящий чемпион"
"heroes.name_fancy.holy_god_may","Блаженная жница"
"heroes.name_fancy.holy_god_musashi","Неуязвимый ронин"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","Мастер побегов"
"heroes.name_fancy.holy_god_neith","Открывающая пути"
"heroes.name_fancy.holy_god_onatel","Слепой провидец"
"heroes.name_fancy.holy_god_ranvir","Святой Кентавр"
"heroes.name_fancy.holy_god_uraeus","Тайный визирь"
"heroes.name_fancy.holy_god_zora","Рыцарь Розы"
"heroes.name_fancy.ice_god_alexandrine","Защита от несправедливости"
"heroes.name_fancy.ice_god_areax","Полулошадь-маг льда"
"heroes.name_fancy.ice_god_athena","Богиня льда"
"heroes.name_fancy.ice_god_athena_costume_cute","Мультяшка-богиня льда"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","Богиня войны"
"heroes.name_fancy.ice_god_balur","Яростный гладиатор"
"heroes.name_fancy.ice_god_callum","Неутомимый следопыт"
"heroes.name_fancy.ice_god_claeg","Тронутый проклятием целитель"
"heroes.name_fancy.ice_god_eskimo","Охотница на ледяных великанов"
"heroes.name_fancy.ice_god_eskimo_costume_champion","Повелительница льда"
"heroes.name_fancy.ice_god_frida","Арктическая угроза"
"heroes.name_fancy.ice_god_frosth","Вестник зимы"
"heroes.name_fancy.ice_god_glenda","Фея-крестная"
"heroes.name_fancy.ice_god_iris","Разрушительница заклинаний"
"heroes.name_fancy.ice_god_klaern","Заклинатель"
"heroes.name_fancy.ice_god_mene","Ночная королева фей"
"heroes.name_fancy.ice_god_miki","Убийца Ледяных Зверей"
"heroes.name_fancy.ice_god_nerasis","Тихая смерть"
"heroes.name_fancy.ice_god_october","Ледяной горец"
"heroes.name_fancy.ice_god_october_costume_farmer","Замерзший фермер"
"heroes.name_fancy.ice_god_perseus","Сын Зевса"
"heroes.name_fancy.ice_god_perseus_costume_frozen","Соперник Борея"
"heroes.name_fancy.ice_god_raffaele","Спокойный контактер"
"heroes.name_fancy.ice_god_sini","Лазурный фокусник"
"heroes.name_fancy.ice_god_suzuna","Модный маг"
"heroes.name_fancy.ice_god_vela","Водная заклинательница"
"heroes.name_fancy.institute_ellery","Ненормальная биологичка"
"heroes.name_fancy.institute_emilie","Исследовательница пороговых миров"
"heroes.name_fancy.institute_piper","Любознательный наемник"
"heroes.name_fancy.institute_professor_morryster","Гений в маске"
"heroes.name_fancy.institute_ryleh","Помощница архивариуса"
"heroes.name_fancy.journey_change","Избранная Лунного света"
"heroes.name_fancy.journey_erlang_shen","Воинственный бог небес"
"heroes.name_fancy.journey_general_yin","Меняющий облики генерал демонов"
"heroes.name_fancy.journey_heifeng_guai","Демон Черного Ветра"
"heroes.name_fancy.journey_nineheaded_beast","Девятиглавый принц-консорт"
"heroes.name_fancy.journey_queen_guowang","Несравненная красавица"
"heroes.name_fancy.journey_sha_wujing","Песчаный монах"
"heroes.name_fancy.journey_tang_sanzang","Великая тайна реки"
"heroes.name_fancy.journey_xie_zi_jing","Демоница-скорпион"
"heroes.name_fancy.journey_xiong_shanjun","Повелитель Медвежьей горы"
"heroes.name_fancy.journey_xiwangmu","Королева-мать"
"heroes.name_fancy.kalevala_aino","Летняя дева"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","Дева озера"
"heroes.name_fancy.kalevala_iku_turso","Чудище глубин"
"heroes.name_fancy.kalevala_ilmarinen","Мастер-кузнец"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","Мастер-ремесленник"
"heroes.name_fancy.kalevala_joukahainen","Неутомимый охотник"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","Замороженный охотник"
"heroes.name_fancy.kalevala_kullervo","Мстительный сын"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","Израненный в битве сын"
"heroes.name_fancy.kalevala_lemminkainen","Бессмертный герой"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","Исчезающий чемпион"
"heroes.name_fancy.kalevala_louhi","Ведьма севера"
"heroes.name_fancy.kalevala_louhi_costume_mistress","Госпожа Севера"
"heroes.name_fancy.kalevala_mielikki","Дух леса"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","Защитница медведей"
"heroes.name_fancy.kalevala_mother_lemminkainen","Спаситель чемпиона"
"heroes.name_fancy.kalevala_otso","Степной странник"
"heroes.name_fancy.kalevala_para","Домашний хранитель"
"heroes.name_fancy.kalevala_suomuhauki","Огромная щука"
"heroes.name_fancy.kalevala_ukkonen","Проклятый родственник Вяйнямёйнена"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","Демонический родственник Вяйнямейнена"
"heroes.name_fancy.kalevala_vainamoinen","Вечный бард"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","Бессмертный мудрец"
"heroes.name_fancy.kingdom_cao_cao","Воевода Вэй"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","Воевода льда"
"heroes.name_fancy.kingdom_diaochan","Ослепительная красота"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","Цветочная красота"
"heroes.name_fancy.kingdom_guan_yu","Храбрый генерал"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","Генерал ада"
"heroes.name_fancy.kingdom_jing","Пехотинец Шу"
"heroes.name_fancy.kingdom_li","Пехотинец У"
"heroes.name_fancy.kingdom_liu_bei","Воевода Шу"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","Воевода леса"
"heroes.name_fancy.kingdom_lu_bu","Гневный воевода"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","Гневный тигр-воевода"
"heroes.name_fancy.kingdom_sun_quan","Воевода У"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","Воевода удачи"
"heroes.name_fancy.kingdom_sun_shangxiang","Благородный боец"
"heroes.name_fancy.kingdom_wang_yuanji","Знатная дама"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","Вежливый калиграф"
"heroes.name_fancy.kingdom_xiahou_dun","Одноглазый командир"
"heroes.name_fancy.kingdom_yao","Пехотинец Вэй"
"heroes.name_fancy.kingdom_zhang_fei","Безжалостный генерал"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","Безжалостный медведь-генерал"
"heroes.name_fancy.kingdom_zhou_yu","Молодой командир"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","Ворон-командир"
"heroes.name_fancy.kingdom_zhuge_liang","Мастер стратегии"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","Величайший стратег"
"heroes.name_fancy.knights_bauchan","Бес Авалона"
"heroes.name_fancy.knights_black_knight","Ужас Авалона"
"heroes.name_fancy.knights_black_knight_costume_negative","Мрачный рыцарь"
"heroes.name_fancy.knights_gawain","Лазурный рыцарь"
"heroes.name_fancy.knights_green_knight","Соперник Авалона"
"heroes.name_fancy.knights_guinevere","Королева Авалона"
"heroes.name_fancy.knights_guinevere_costume_rider","Драконья всадница Авалона"
"heroes.name_fancy.knights_king_arthur","Король Авалона"
"heroes.name_fancy.knights_lady_of_the_lake","Колдунья из Авалона"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","Дева клинков"
"heroes.name_fancy.knights_merlin","Волшебник из Авалона"
"heroes.name_fancy.knights_merlin_costume_astrology","Звездочет Авалона"
"heroes.name_fancy.knights_morgan_le_fay","Волшебница из Авалона"
"heroes.name_fancy.knights_sir_lancelot","Рыцари Авалона"
"heroes.name_fancy.knights_treevil","Злодей из Авалона"
"heroes.name_fancy.lionman_barbarian","Последний из Леоров"
"heroes.name_fancy.lionman_barbarian_costume_armor","Король Леоров"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Няня Леоров"
"heroes.name_fancy.lionman_barbarian_costume_cute","Мультяшный Леор"
"heroes.name_fancy.lionman_barbarian_costume_glass","Стеклянный Леор"
"heroes.name_fancy.lizardman_trapper","Атаман Ящеролюдов"
"heroes.name_fancy.lizardman_trapper_costume_cute","Мультяшный вождь"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Рыбак Ящеролюдов"
"heroes.name_fancy.lizardman_trapper_costume_glass","Стеклянный вождь"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Старейшина ящеролюдов"
"heroes.name_fancy.lizardman_warrior","Боец Ящеролюдов"
"heroes.name_fancy.lizardman_warrior_costume_cute","Мультяшный боец"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Предок ящеролюдов"
"heroes.name_fancy.lizardman_warrior_costume_glass","Стеклянный воин"
"heroes.name_fancy.lunar_new_year_baishu","Лунная крыса-акробат"
"heroes.name_fancy.lunar_new_year_gongniu","Лунный страж Бык"
"heroes.name_fancy.lunar_new_year_laohu","Тигр-драчун"
"heroes.name_fancy.lunar_new_year_qinglong","Лунный стратег Дракон"
"heroes.name_fancy.lunar_new_year_xiaoqing","Лунная змея-музыкант"
"heroes.name_fancy.lunar_new_year_xiaotu","Кролик-защитник"
"heroes.name_fancy.magic_agrafena","Верховная комендантша"
"heroes.name_fancy.magic_agrafena_costume_dark","Величайшая темная колдунья"
"heroes.name_fancy.magic_anastasia","Ученица заклинателя"
"heroes.name_fancy.magic_anton","Юный эрудит"
"heroes.name_fancy.magic_becky","Волшебница звездного света"
"heroes.name_fancy.magic_becky_costume_gothic","Волшебница сумрака"
"heroes.name_fancy.magic_camilla","Знаток-изобретатель"
"heroes.name_fancy.magic_camilla_costume_flower","Цветочная изобретательница"
"heroes.name_fancy.magic_carpet_agadh","Убийца ковров-самолетов"
"heroes.name_fancy.magic_carpet_amelia","Магическая летчица"
"heroes.name_fancy.magic_carpet_bart","Гонщик на коврах-самолетах"
"heroes.name_fancy.magic_carpet_bertha","Создательница ковров-самолетов"
"heroes.name_fancy.magic_carpet_crustee","Гений магической лаборатории"
"heroes.name_fancy.magic_carpet_elyssa","Ценительница ковров-самолетов"
"heroes.name_fancy.magic_carpet_jwala","Лавовая девочка-волшебница"
"heroes.name_fancy.magic_carpet_kesha","Волшебница из Аль-Лайла"
"heroes.name_fancy.magic_carpet_lando","Заклинатель ковров-самолетов"
"heroes.name_fancy.magic_carpet_lilli","Любительница кошек и ковров-самолетов"
"heroes.name_fancy.magic_carpet_manpip","Нервничающий наездник на коврах-самолетах"
"heroes.name_fancy.magic_carpet_naeem","Бродяга ковров-самолетов"
"heroes.name_fancy.magic_carpet_ragrim","Ботаник ковров-самолетов"
"heroes.name_fancy.magic_carpet_shareef","Неостановимый маг"
"heroes.name_fancy.magic_carpet_zazha","Целительница ковров-самолетов"
"heroes.name_fancy.magic_cristobal","Профессор заклинаний"
"heroes.name_fancy.magic_cristobal_costume_emerald","Профессор чар"
"heroes.name_fancy.magic_dolgoon","Ученый библиотекарь"
"heroes.name_fancy.magic_jett","Вестник жертвы"
"heroes.name_fancy.magic_kornel","Опытный смотритель"
"heroes.name_fancy.magic_lucy","Волшебник-вундеркинд"
"heroes.name_fancy.magic_milena","Преподавательница тайных наук"
"heroes.name_fancy.magic_milena_costume_ice","Учительница арктических заклинаний"
"heroes.name_fancy.magic_motega","Старший садовник"
"heroes.name_fancy.magic_nadezhda","Директриса башни"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Почтмейстер башни"
"heroes.name_fancy.magic_ray","Придворный чемпион"
"heroes.name_fancy.magic_ray_costume_spiky","Чемпион Брамбла"
"heroes.name_fancy.magic_roxia","Любитель древних текстов"
"heroes.name_fancy.magic_sergei","Искатель тайных знаний"
"heroes.name_fancy.magic_telonius","Лесной кентавр"
"heroes.name_fancy.magic_ulius","Изобретатель волшебных странностей"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Флибустьер тайных странностей"
"heroes.name_fancy.magic_vaishali","Мастер мистических шахмат"
"heroes.name_fancy.magic_vaishali_costume_chef","Мистическая мастерица пирогов"
"heroes.name_fancy.magic_willow","Мастер левитации"
"heroes.name_fancy.magitech_sniper","Снайперша-техномаг"
"heroes.name_fancy.magitech_sniper_costume_cute","Мультяшка-снайпер"
"heroes.name_fancy.magitech_sniper_costume_glass","Стеклянный снайпер"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Стимпанковский снайпер"
"heroes.name_fancy.magitech_sniper_costume_undead","Нежить-снайпер"
"heroes.name_fancy.mahayoddha_ali","Одаренный посыльный"
"heroes.name_fancy.mahayoddha_bhima","Сын Вайю"
"heroes.name_fancy.mahayoddha_bonga","Корзинщик"
"heroes.name_fancy.mahayoddha_chitrangada","Принцесса-воин Манипуры"
"heroes.name_fancy.mahayoddha_rafeeq","Хитроумный политик"
"heroes.name_fancy.mahayoddha_ustad_anand","Придворный артист"
"heroes.name_fancy.mahayoddha_veer","Горделивый убийца"
"heroes.name_fancy.masquerade_alessia","Последовательница Арадии"
"heroes.name_fancy.masquerade_aradia","Замаскированная богиня колдовства"
"heroes.name_fancy.masquerade_carmenta","Замаскированная богиня чар"
"heroes.name_fancy.masquerade_cel","Замаскированная богиня земли"
"heroes.name_fancy.masquerade_februus","Замаскированный бог очищения"
"heroes.name_fancy.masquerade_fortuna","Замаскированная богиня судьбы"
"heroes.name_fancy.masquerade_fosco","Последователь Фебруса"
"heroes.name_fancy.masquerade_jana","Замаскированная богиня луны"
"heroes.name_fancy.masquerade_jove","Замаскированный бог неба"
"heroes.name_fancy.masquerade_umbria","Замаскированная богиня теней"
"heroes.name_fancy.mighty_pet_barkley","Мопс войны"
"heroes.name_fancy.mighty_pet_bubbles","Подражатель мастера иллюзий"
"heroes.name_fancy.mighty_pet_chomper","Чемпион хомячьих боев"
"heroes.name_fancy.mighty_pet_cinnamon","Рыцарь полярного круга"
"heroes.name_fancy.mighty_pet_cupcake","Когтистый бандит"
