"herocard.passive_skill.description.addmana.all.allies","所有盟友获得少量法力。"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","此角色不会受到增强或削弱防御效果的影响。

包括状态效果增益和异常、正面和负面效果叠加，以及衰退和成长效果。"
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","此角色的天赋可抵抗影响法力生成的状态异常和负面效果叠加，包括禁用法力或偷取法力的状态异常。"
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","此角色的天赋可抵抗来自状态效果的伤害。"
"herocard.passive_skill.description.resist.attackdelay","此角色的普通攻击无法被延缓。"
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","此角色的普通攻击无法被延缓。"
"herocard.passive_skill.description.resist.attackmodifiers","此角色的天赋可抵抗影响攻击力的状态异常。"
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","此角色的天赋可抵抗所有影响攻击力的状态效果与叠加，包括增益效果。"
"herocard.passive_skill.description.resist.bleed","此角色的天赋可抵抗流血。"
"herocard.passive_skill.description.resist.buffdispels","此角色的天赋可抵抗增益效果驱散。"
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","额外{CHANCE}%几率抵抗增益驱散。"
"herocard.passive_skill.description.resist.buffimmunity","此角色的天赋可抵抗对新增益效果免疫的状态异常。"
"herocard.passive_skill.description.resist.burn","此角色的天赋可抵抗燃烧。"
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","此英雄的天赋可抵抗燃烧，并且每次抵抗获得{HEALTHBOOST}点生命加成和{MANA}%法力。"
"herocard.passive_skill.description.resist.can_stack.alldebuffs","此角色的天赋可抵抗状态异常。"
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","额外{CHANCE}%几率抵抗所有状态异常。"
"herocard.passive_skill.description.resist.defensemodifierdebuffs","此角色的天赋可抵抗影响防御的状态异常。不包括影响元素人防御的状态异常。"
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","此角色的天赋可抵抗影响防御的状态异常和负面效果叠加。不包括影响元素人防御的状态异常。"
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","抵抗小兵移除。
无法阻止此英雄获得小兵。
小兵攻击和技能无法被禁用。"
"herocard.passive_skill.description.resist.frost","此英雄的天赋可抵抗冰冻伤害。"
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","此英雄的天赋可抵抗冰冻，并且每次抵抗获得{HEALTHBOOST}点生命加成和{MANA}%法力。"
"herocard.passive_skill.description.resist.healeffects","此角色的天赋可抵抗影响治疗的状态异常。"
"herocard.passive_skill.description.resist.healthsteal","此角色的天赋可抵抗偷取生命的状态异常。"
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","此角色的天赋可抵抗狂乱。"
"herocard.passive_skill.description.resist.manadebuffs","此角色的天赋可抵抗影响法力的状态异常。"
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","此角色的天赋可抵抗影响法力生成或禁用特殊技能的状态异常。"
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","此角色有{CHANCE}%的几率抵抗影响法力或禁用特殊技能的状态异常。"
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","此角色的天赋可抵抗影响法力生成的状态异常和负面效果叠加。不包括阻止法力生成或偷取法力的状态异常。"
"herocard.passive_skill.description.resist.manareduction","此角色的天赋可抵抗法力减损。"
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","额外{CHANCE}%几率抵抗法力减损。"
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","此英雄的天赋可抵抗法力减损。每次抵抗时还会获得{HEALTHBOOST}点生命加成和{MANA}%法力。"
"herocard.passive_skill.description.resist.maxhealthreduction","此角色的天赋可抵抗最大生命值减损。"
"herocard.passive_skill.description.resist.poison","此角色的天赋可抵抗剧毒。"
"herocard.passive_skill.description.resist.poison.burn.bleed","此角色的天赋可抵抗剧毒、燃烧及流血。"
"herocard.passive_skill.description.resist.possession.allstatuseffects","此角色的天赋可抵抗使角色疯魔的状态效果。"
"herocard.passive_skill.description.resist.sand","此角色的天赋可抵抗沙系伤害。"
"herocard.passive_skill.description.resist.specialblocking","此角色的天赋可抵抗禁用特殊技能的状态异常。"
"herocard.passive_skill.description.resist.specialblocking.with_chance","此角色有{CHANCE}%的几率抵抗禁用特殊技能的状态异常。"
"herocard.passive_skill.description.resist.stopmanageneration","此角色的天赋可抵抗阻止法力生成的状态异常。"
"herocard.passive_skill.description.resist.water","此角色的天赋可抵抗水系伤害。"
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","此角色的天赋可抵抗来自小兵的状态异常。"
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","此角色的天赋可抵抗小兵移除。"
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","此角色的天赋可抵抗来自小兵的负面效果与伤害。"
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","此角色的天赋可抵抗来自小兵和超级小兵的负面效果与伤害。"
"herocard.passive_skill.description.resistnewfamiliars.parasite","此角色无法被恶魔附身。"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","额外{CHANCE}%几率抵抗所有状态异常。"
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","所有敌人在战斗中复活的几率，将降低至原始几率的{MODIFIER}%。"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","此角色被击败时有{TOTALCHANCE}%的几率在其下一个回合复活，复活时拥有{HEALTH}%的生命与{MANA}%的法力。

最多可触发{MAXACTIVATIONCOUNT}次。复活几率会在每次触发后衰减。无法通过状态异常或被动技能阻止该效果。"
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","所有由敌人施放的歌谣只能持续{TURNS}回合。"
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","所有由敌人施放的舞蹈只能持续{TURNS}回合。"
"herocard.passive_skill.description.sharereceiveddamage","其余盟友将平摊此角色所受伤害的{SHAREDDAMAGEPORTION}%。"
"herocard.passive_skill.description.specialdamagereduction","此角色受到的特殊技能伤害将降低{DAMAGEREDUCTION}%。"
"herocard.passive_skill.description.specialdamagereduction.chance","此角色有{CHANCE}%几率将自身所受到的特殊技能直接伤害降为1。"
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","此角色受到的特殊技能伤害将降低{DAMAGEREDUCTION}%。"
"herocard.passive_skill.description.startbattlewitheffect.addmana","战斗开始时，此角色将获得{MANA}%法力。"
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER}%生命、{ATTACKMULTIPLIER}%攻击。"
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER}%生命、{DEFENSEMULTIPLIER}%防御。"
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER}%生命、{DEFENSEMULTIPLIER}%防御、{ATTACKMULTIPLIER}%攻击。"
"herocard.passive_skill.description.statuseffectattackmodifier.addition","此角色获得提高攻击力的状态效果时，该状态效果将被增强{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","影响攻击力的状态异常将被削弱{MODIFIER}%。此效果适用于此角色与其战场上的所有盟友。"
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","此角色受到降低攻击力的状态异常时，该状态异常将被削弱{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","此角色获得提高攻击力的状态效果时，该状态效果将被增强{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","此角色受到降低攻击力的状态异常时，该状态异常将被削弱{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","此角色获得提高防御的状态效果时，该状态效果将被增强{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","防御异常的效果将被削弱{MODIFIER}%。此效果适用于此角色与其战场上的所有盟友。"
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","此角色受到降低防御的状态异常时，该状态异常将被削弱{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","此角色获得提高防御的状态效果时，该状态效果将被增强{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","此角色受到降低防御的状态异常时，该状态异常将被削弱{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","此角色获得来自特殊技能的状态异常时，前{MAXACTIVATIONCOUNT}个状态异常的持续时间将减少{DURATIONMODIFIER}个回合。"
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","此角色获得来自特殊技能的防御状态异常时，该状态异常的持续时间将减少{DURATIONMODIFIER}个回合。"
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","此角色获得来自特殊技能的增益效果时，前{MAXACTIVATIONCOUNT}个增益效果的持续时间将增加{DURATIONMODIFIER}个回合。"
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","该英雄身上的状态异常被净化时，将被净化的状态异常重新复制施放给一个随机敌人。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","每当此石像鬼施放特殊技能时，所有盟友将获得软化皮肤效果。接下来对他们造成的{MAXACTIVATIONS}次伤害降低{DAMAGEREDUCTION}%，同时抵抗所有状态异常、法力减损和狂乱。此效果无法驱散。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin.status_effect_to_others.softskin","每当此石像鬼施放特殊技能时，所有盟友将获得软化皮肤效果。接下来对他们造成的{MAXACTIVATIONS}次伤害降低{DAMAGEREDUCTION}%，同时抵抗所有状态异常、法力减损和狂乱。此效果无法驱散。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","每当此石像鬼施放特殊技能时，将激活软化皮肤效果。接下来对其造成的{MAXACTIVATIONS}次伤害降低{DAMAGEREDUCTION}%，同时抵抗所有状态异常、法力减损和狂乱。此效果无法驱散。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","每当此石像鬼施放特殊技能时，其石质皮肤就会变硬。接下来受到的{MAXHITS}次伤害会降为1点。此效果无法被驱散。"
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","当施放特殊技能时，此角色将在{TURNS}回合内获得{ATTACK}%的攻击力。此效果可与其他影响攻击力的效果被同时激活。"
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","此英雄的元素可以更换成你所指定的元素，持续{TURNS}回合，每场战斗仅限一次。此英雄法力条未满时，点击此英雄即可更换其元素。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","该角色被击败后，会为附近盟友召唤史莱姆超级小兵，此超级小兵继承该角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","该角色被击败后，会为附近盟友召唤史莱姆超级小兵，此超级小兵继承该角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","该角色被击败后，会为附近盟友召唤史莱姆超级小兵，此超级小兵继承该角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","该角色被击败后，会为附近盟友召唤史莱姆超级小兵，此超级小兵继承该角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","该角色被击败后，会为附近盟友召唤史莱姆超级小兵，此超级小兵继承该角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","如果此角色一次性失去最大生命值的{DAMAGETHRESHOLD}%，会为自己召唤一个史莱姆超级小兵，该超级小兵继承其{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","如果此角色一次性失去最大生命值的{DAMAGETHRESHOLD}%，会为自己召唤一个史莱姆超级小兵，该超级小兵继承其{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","如果此角色一次性失去最大生命值的{DAMAGETHRESHOLD}%，会为自己召唤一个史莱姆超级小兵，该超级小兵继承其{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","如果此角色一次性失去最大生命值的{DAMAGETHRESHOLD}%，会为自己召唤一个史莱姆超级小兵，该超级小兵继承其{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","如果此角色一次性失去最大生命值的{DAMAGETHRESHOLD}%，会为自己召唤一个史莱姆超级小兵，该超级小兵继承其{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","每当此角色获得一个燃烧状态异常，该角色都会为自己召唤一个森林守护者小兵。森林守护者小兵继承此角色{FAMILIARHEALTHPERCENT}%的生命值和{FAMILIARATTACK}%的攻击力。"
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","每当此角色获得一个持续伤害状态异常时，都会为自己召唤一个扑克牌士兵小兵。该小兵继承此角色{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻击力。"
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","每当此角色获得一个防御状态异常，该角色都会为自己召唤一个公牛小兵。公牛小兵继承此角色{FAMILIARHEALTHPERCENT}%的生命值和{FAMILIARATTACK}%的攻击力。"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","当一名敌人使用特殊技能召唤任意小兵时，自身召唤一只麻雀小兵。"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","当一名敌人使用特殊技能召唤任意小兵时，此角色会召唤厄运树苗恶魔附身于该敌人。"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","当一名敌人使用特殊技能召唤任意小兵时，此角色会召唤幼苗恶魔附身于该敌人。"
"herocard.passive_skill.description.taunt","此角色的特殊技能不受嘲讽影响。"
"herocard.passive_skill.description.wither.all.enemies","所有敌人的基础攻击和基础防御每回合减少{STATINCREASE}点，持续{MAXACTIVATIONCOUNT}回合。"
"herocard.passive_skill.inactive","未激活：达到最高等级且完全进阶才能激活。"
"herocard.passive_skill.sidedependent.sideinfo.heroside","作为进攻方时的被动技能："
"herocard.passive_skill.sidedependent.sideinfo.opponentside","作为防守方时的被动技能："
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","敌方拥有攻击增益时获得状态效果"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","敌方拥有防御增益时获得状态效果"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","法力减损时获得状态效果"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","流血时获得法力"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","敌人流血时获得治疗"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","敌人燃烧时获得法力"
"herocard.passive_skill.title.bypassfamiliars.minion","无视小兵"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","进阶无视小兵"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","延长状态效果持续时间"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","飞行动量"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","衰退期间获得法力"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","持续性复活"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","西苏之力"
"herocard.passive_skill.title.corrosiveburncorechargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","熔岩核心"
"herocard.passive_skill.title.corrosiveburncorechargeeffectonspecial.statuseffects.corrosiveburn","熔岩核心"
"herocard.passive_skill.title.corrosivecorechargeeffectonspecial.statuseffects.corrosivepoison","腐蚀核心"
"herocard.passive_skill.title.corrosivefrostcorechargeeffectonspecial.statuseffects.corrosivefrost","极地核心"
"herocard.passive_skill.title.criticalmodifier","暴击修正"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","暴击修正"
"herocard.passive_skill.title.critmodifier","暴击几率修正"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","队伍大师"
"herocard.passive_skill.title.debuffdamagereduction","状态异常造成的伤害减少"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","状态异常造成的伤害减少"
"herocard.passive_skill.title.destructivecorechargeeffectonspecial.damage","毁灭核心"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","小兵死亡时获得净化"
"herocard.passive_skill.title.dodgespecialdamage","闪避特殊技能伤害"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","施放特殊技能时给予叠加"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","施放特殊技能时摧毁恶魔"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","持续吞噬小兵并获得法力"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","受到特别伤害时获得法术"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","受到伤害时获得法力"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","受到特殊技能或掩护伤害时造成伤害"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","受到伤害时获得攻击力叠加"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","受到伤害时获得攻击力叠加"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","盟友尝试净化时获得生命加成"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","敌人尝试净化时对敌人造成伤害"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","驱散时获得法力"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","驱散增益时获得法力"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","状态异常失效或被清除时恢复生命"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","驱散增益时获得生命加成"
"herocard.passive_skill.title.effectonheal.addmana","恢复生命时获得法力"
"herocard.passive_skill.title.effectonheal.heal","恢复生命时获得额外生命"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","额外治疗"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","法力减损时获得状态效果"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","法力减损时获得状态效果"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","抵抗时获得生命加成和法力"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","敌人施放生命加成的特殊技能时获得法力"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","敌人获得生命加成时自身亦获得生命加成"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","施放特殊技能时附带效果"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.latest.safe.only_criticals.once","特殊攻击暴击时获得净化效果"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","特殊攻击暴击时获得净化效果"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","特殊攻击暴击时获得生命值加成"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals.once","特殊攻击暴击时获得生命值加成"
"herocard.passive_skill.title.effectonspecialskilldamagedonebasedonhealthdifference.healthboost.once.effectonspecialskilldamagereceivedbasedonhealthdifference.addmana.once","正义反叛"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","特殊攻击暴击时获得生命值加成"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","敌人施放特殊技能时提高生命值"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","施放特殊技能时给予法力"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","施放特殊技能时附带驱散"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","施放特殊技能时附带净化"
"herocard.passive_skill.title.effectonspecialwithchance.damage","施放特殊技能时造成伤害"
"herocard.passive_skill.title.effectonspecialwithchance.heal","施放特殊技能时恢复生命"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","施放特殊技能时获得生命加成"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","施放特殊技能时获得状态效果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","施放特殊技能时附带流血"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","施放特殊技能时附带诅咒"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","施放特殊技能时造成持续伤害"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","对拥有生命加成的目标造成更高伤害"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","施放特殊技能时造成持续伤害"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","施放特殊技能时获得状态效果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","施放特殊技能时附带剧毒"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","施放特殊技能时施加莽夫乱拳"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","施放特殊技能时造成持续伤害"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","敌人施放特殊技能时造成伤害"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","嘲讽时获得法力"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","敌方拥有防御增益时获得法力"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","敌方拥有防御增益时获得状态效果"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","敌方拥有攻击增益时获得状态效果"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","受到增益时获得法力"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","受到状态异常时获得法力"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","受到增益时恢复生命"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","受到状态异常时恢复生命"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","受到状态异常时获得法力增益"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","受到增益时获得法力"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","受到增益时恢复生命"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","状态效果移除时获得生命加成"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","状态效果移除时造成伤害"
"herocard.passive_skill.title.effectovertime.revival","持续性复活"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","根据敌方增益数量获得法力"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","敌人中毒时提高生命值"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","召唤小兵时获得法力"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","魔宠之友"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","召唤恶魔时获得法力"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","萌宠之怒"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","召唤恶魔时获得生命加成"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","致盲小兵"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","较弱的超级小兵"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","较弱的小兵"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","阻止超级小兵"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","阻止小兵"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","冰霜魔力"
"herocard.passive_skill.title.glass_reflect_debuffs","玻璃"
"herocard.passive_skill.title.growth","成长"
"herocard.passive_skill.title.guaranteedeffectonspecial","施放特殊技能时必定触发效果"
"herocard.passive_skill.title.guestip1_stat_modifier_average","Technician"
"herocard.passive_skill.title.guestip1_stat_modifier_fast","Striker"
"herocard.passive_skill.title.guestip1_stat_modifier_slow","Powerhouse"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","减少治疗"
"herocard.passive_skill.title.healonheal.heal","额外治疗"
"herocard.passive_skill.title.healonownfamiliardeath.minion","来自死亡小兵的生命"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","来自死亡小兵的生命值加成"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","根据非自然系敌人数量提高攻击力"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","根据非烈火系敌人数量提高攻击力"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","对小兵和超级小兵造成额外伤害"
"herocard.passive_skill.title.increaseddamageagainstminions","已增加对小兵伤害"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","当目标具有嘲讽状态效果时提升对其的攻击力"
"herocard.passive_skill.title.increasespecialdamage","特殊技能伤害提升"
"herocard.passive_skill.title.increasespecialdamage.usable_once","特殊技能伤害提升"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","特殊技能伤害提升"
"herocard.passive_skill.title.insanitydamagereduction","古神的标记"
"herocard.passive_skill.title.iterateeffectonspecial","施放特殊技能时有额外机会触发效果"
