"heroes.name_fancy.astral_cosmicspeaker","星体精灵天文学家"
"heroes.name_fancy.gargoyle_betty","敏捷的石像鬼"
"heroes.name_fancy.gargoyle_budatin","恶毒的石像鬼"
"heroes.name_fancy.gargoyle_el_duque","高贵的石像鬼"
"heroes.name_fancy.gargoyle_gaillard","机敏石像鬼"
"heroes.name_fancy.gargoyle_garten","狂欢的石像鬼"
"heroes.name_fancy.gargoyle_goseck","阴险的石像鬼"
"heroes.name_fancy.gargoyle_grumbl","睿智的石像鬼"
"heroes.name_fancy.gargoyle_guffa","坚忍的石像鬼"
"heroes.name_fancy.gargoyle_hilda","无畏的石像鬼"
"heroes.name_fancy.gargoyle_hohenwerf","凶猛的石像鬼"
"heroes.name_fancy.gargoyle_kalo","畸形的石像鬼"
"heroes.name_fancy.gargoyle_kemeny","老练的石像鬼"
"heroes.name_fancy.gargoyle_matrera","阴暗的石像鬼"
"heroes.name_fancy.gargoyle_mena","迂腐的石像鬼"
"heroes.name_fancy.gargoyle_penolite","冷血石像鬼"
"heroes.name_fancy.gargoyle_pophit","演奏的石像鬼"
"heroes.name_fancy.gargoyle_soroca","暴怒的石像鬼"
"heroes.name_fancy.gargoyle_uwe","毛茸茸的石像鬼"
"heroes.name_fancy.gargoyle_vincent","受惊的石像鬼"
"heroes.name_fancy.gargoyle_vonreine","暴躁的石像鬼"
"heroes.name_fancy.garrison_archibald","焦躁的军需官"
"heroes.name_fancy.garrison_beatrice","军需士官"
"heroes.name_fancy.garrison_caelen","沉思的诗人"
"heroes.name_fancy.garrison_ciara","冷面指挥官"
"heroes.name_fancy.garrison_dima","野猪大师"
"heroes.name_fancy.garrison_fergus","处变不惊的治安官"
"heroes.name_fancy.garrison_flamehide","蜥蜴人赌徒"
"heroes.name_fancy.garrison_frank_fangs_brimwell","精明世故的中士"
"heroes.name_fancy.garrison_frostsnout","蜥蜴人旗手"
"heroes.name_fancy.garrison_godfrey","贫嘴卫兵"
"heroes.name_fancy.garrison_greg","酒豪"
"heroes.name_fancy.garrison_iarlaith","英姿剑士"
"heroes.name_fancy.garrison_iocantha","纠察长"
"heroes.name_fancy.garrison_kolya","迟钝的哨兵"
"heroes.name_fancy.garrison_maisie","愉快的梅森"
"heroes.name_fancy.garrison_pip","紧张的使者"
"heroes.name_fancy.garrison_rosalind","开朗的队长"
"heroes.name_fancy.garrison_shimmerscale","提灯蜥蜴人"
"heroes.name_fancy.garrison_theodosius","英勇下士"
"heroes.name_fancy.garrison_vanya","坚定工兵"
"heroes.name_fancy.garrison_violet_potts","无忧无虑的半身人"
"heroes.name_fancy.garrison_william","紧张的夜间守卫"
"heroes.name_fancy.goblin_acidfire","哥布林死灵法师"
"heroes.name_fancy.goblin_archer","敏捷猎手"
"heroes.name_fancy.goblin_boom_and_fang","鲁莽二人组"
"heroes.name_fancy.goblin_boots","疏忽守卫"
"heroes.name_fancy.goblin_darkfeather","驯鹰大师"
"heroes.name_fancy.goblin_deadboot","哥布林异教徒"
"heroes.name_fancy.goblin_fighter","扒手"
"heroes.name_fancy.goblin_fighter_costume_cute","扒手卡通"
"heroes.name_fancy.goblin_fighter_costume_evil","割喉者"
"heroes.name_fancy.goblin_fighter_costume_glass","玻璃窃影"
"heroes.name_fancy.goblin_fizzcoil","哥布林剧团小提琴手"
"heroes.name_fancy.goblin_goldie","哥布林美人"
"heroes.name_fancy.goblin_grimsteel","冰山隐士"
"heroes.name_fancy.goblin_kettle","炼金厨师"
"heroes.name_fancy.goblin_leafwizzle","野兽巫师"
"heroes.name_fancy.goblin_madhammer","哥布林斗士"
"heroes.name_fancy.goblin_mage","腐沼女巫"
"heroes.name_fancy.goblin_mage_costume_candy","糖果女巫"
"heroes.name_fancy.goblin_mage_costume_cute","卡通女巫"
"heroes.name_fancy.goblin_mage_costume_glass","玻璃女巫"
"heroes.name_fancy.goblin_mage_costume_toad","蟾蜍女巫"
"heroes.name_fancy.goblin_pepperflame","著名哥布林长笛手"
"heroes.name_fancy.goblin_rocket","爆破专家"
"heroes.name_fancy.goblin_scrollbeast","退休野猪骑士"
"heroes.name_fancy.goblin_smarttongue","哥布林吟游诗人"
"heroes.name_fancy.guardian_bat","特尔托克梦魇"
"heroes.name_fancy.guardian_cat_warrior","特尔托克战士"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","凶猛黑豹"
"heroes.name_fancy.guardian_chameleon","特尔托克元素师"
"heroes.name_fancy.guardian_elephant","特尔托克利箭"
"heroes.name_fancy.guardian_falcon_priest","特尔托克牧师"
"heroes.name_fancy.guardian_gazelle","特尔托克德鲁伊"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","特尔托克飞速先锋"
"heroes.name_fancy.guardian_gorilla_chieftain","特尔托克酋长"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","金刚征服者"
"heroes.name_fancy.guardian_hippo","特尔托克蛮兽"
"heroes.name_fancy.guardian_jackal_assassin","特尔托克刺客"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","特尔托克集骨者"
"heroes.name_fancy.guardian_lemur","特尔托克修补匠"
"heroes.name_fancy.guardian_owl_gentleman","特尔托克精英守护者"
"heroes.name_fancy.guestip1_hero1","The Greatest of All Time"
"heroes.name_fancy.guestip1_hero10","The Queen of WWE"
"heroes.name_fancy.guestip1_hero2","The Second City Saint"
"heroes.name_fancy.guestip1_hero3","The Heartbreak Kid"
"heroes.name_fancy.guestip1_hero4","The Game"
"heroes.name_fancy.guestip1_hero5","The EST of WWE"
"heroes.name_fancy.guestip1_hero6","Original Tribal Chief"
"heroes.name_fancy.guestip1_hero7","The American Nightmare"
"heroes.name_fancy.guestip1_hero8","Mami"
"heroes.name_fancy.guestip1_hero9","The Messiah"
"heroes.name_fancy.halloween_alucard","吸血贵公子"
"heroes.name_fancy.halloween_alucard_costume_mafia","吸血鬼头目"
"heroes.name_fancy.halloween_amber","吸血战士"
"heroes.name_fancy.halloween_ana_belle","莫洛维亚女佣"
"heroes.name_fancy.halloween_chester","凶横的鬼魂"
"heroes.name_fancy.halloween_edwin","诡诈管家"
"heroes.name_fancy.halloween_francine","怪兽妹"
"heroes.name_fancy.halloween_francine_costume_mafia","女暴徒"
"heroes.name_fancy.halloween_frank","怪兽"
"heroes.name_fancy.halloween_frank_costume_mafia","暴徒"
"heroes.name_fancy.halloween_goopy","胶状粘液"
"heroes.name_fancy.halloween_jack","南瓜诗人"
"heroes.name_fancy.halloween_lucinda","黄金扫帚使徒"
"heroes.name_fancy.halloween_matilda","邪恶糕点师"
"heroes.name_fancy.halloween_miriam_and_midnight","玄秘二人组"
"heroes.name_fancy.halloween_vanda","吸血鬼女王"
"heroes.name_fancy.halloween_vanda_costume_mafia","罪恶女王"
"heroes.name_fancy.halloween_wayne","莫洛维亚的大魔法师"
"heroes.name_fancy.hidden_dark_god_myztero","咒术屈折谜语"
"heroes.name_fancy.holy_god_aurox","光辉狂战士"
"heroes.name_fancy.holy_god_aviana","飞鹰指挥官"
"heroes.name_fancy.holy_god_bai_yeong","剑舞者"
"heroes.name_fancy.holy_god_celidana","圣职者之首"
"heroes.name_fancy.holy_god_delilah","绝境岛英雄"
"heroes.name_fancy.holy_god_delilah_costume_guardian","天坛守护者"
"heroes.name_fancy.holy_god_devana","勇猛女猎手"
"heroes.name_fancy.holy_god_drake_lee","武术大师"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","平静斗士"
"heroes.name_fancy.holy_god_faeona","精灵白法师"
"heroes.name_fancy.holy_god_gilligan","不切实际的冒险家"
"heroes.name_fancy.holy_god_hanitra","利莫里亚女神"
"heroes.name_fancy.holy_god_ithar","侠盗飞贼"
"heroes.name_fancy.holy_god_kara","神圣捍卫者"
"heroes.name_fancy.holy_god_malosi","主领战士"
"heroes.name_fancy.holy_god_may","受祝福的收割者"
"heroes.name_fancy.holy_god_musashi","无敌浪人"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","逃脱大师"
"heroes.name_fancy.holy_god_neith","开路者"
"heroes.name_fancy.holy_god_onatel","盲人先知"
"heroes.name_fancy.holy_god_ranvir","神圣人马怪"
"heroes.name_fancy.holy_god_uraeus","奥术国师"
"heroes.name_fancy.holy_god_zora","玫瑰骑士"
"heroes.name_fancy.ice_god_alexandrine","抵挡不义"
"heroes.name_fancy.ice_god_areax","半马冰雪法师"
"heroes.name_fancy.ice_god_athena","冰雪神仙"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","战争女神"
"heroes.name_fancy.ice_god_balur","凶猛角斗士"
"heroes.name_fancy.ice_god_callum","无情追踪者"
"heroes.name_fancy.ice_god_claeg","诅咒医者"
"heroes.name_fancy.ice_god_eskimo","冰雪巨人猎手"
"heroes.name_fancy.ice_god_eskimo_costume_champion","冰山战士"
"heroes.name_fancy.ice_god_frida","极地危机"
"heroes.name_fancy.ice_god_frosth","唤冬者"
"heroes.name_fancy.ice_god_glenda","神奇教母"
"heroes.name_fancy.ice_god_iris","驱散专家"
"heroes.name_fancy.ice_god_klaern","霜华术士"
"heroes.name_fancy.ice_god_mene","暗夜仙灵女王"
"heroes.name_fancy.ice_god_miki","冰霜怪兽杀手"
"heroes.name_fancy.ice_god_nerasis","寂静死神"
"heroes.name_fancy.ice_god_october","冰封高地人"
"heroes.name_fancy.ice_god_october_costume_farmer","冰冻农夫"
"heroes.name_fancy.ice_god_perseus","宙斯之子"
"heroes.name_fancy.ice_god_perseus_costume_frozen","玻瑞阿斯的挑战者"
"heroes.name_fancy.ice_god_raffaele","安谧通灵师"
"heroes.name_fancy.ice_god_sini","蔚蓝魔术师"
"heroes.name_fancy.ice_god_suzuna","时尚魔法使"
"heroes.name_fancy.ice_god_vela","水生咒法师"
"heroes.name_fancy.journey_change","月光赐福之人"
"heroes.name_fancy.journey_erlang_shen","天庭战神"
"heroes.name_fancy.journey_general_yin","变形恶魔将军"
"heroes.name_fancy.journey_heifeng_guai","黑风怪"
"heroes.name_fancy.journey_nineheaded_beast","九头驸马"
"heroes.name_fancy.journey_queen_guowang","绝色佳人"
"heroes.name_fancy.journey_sha_wujing","沙和尚"
"heroes.name_fancy.journey_tang_sanzang","江流玄奘"
"heroes.name_fancy.journey_xie_zi_jing","蝎子女妖"
"heroes.name_fancy.journey_xiong_shanjun","熊山君"
"heroes.name_fancy.journey_xiwangmu","王母娘娘"
"heroes.name_fancy.kalevala_aino","夏日室女"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","湖中室女"
"heroes.name_fancy.kalevala_iku_turso","深渊野兽"
"heroes.name_fancy.kalevala_ilmarinen","铁匠大师"
"heroes.name_fancy.kalevala_joukahainen","冷血猎人"
"heroes.name_fancy.kalevala_kullervo","复仇之子"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","战痕之子"
"heroes.name_fancy.kalevala_lemminkainen","永恒冠军"
"heroes.name_fancy.kalevala_louhi","北境女巫"
"heroes.name_fancy.kalevala_mielikki","森林之灵"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","熊之守护者"
"heroes.name_fancy.kalevala_otso","草原流浪者"
"heroes.name_fancy.kalevala_para","家养魔宠"
"heroes.name_fancy.kalevala_ukkonen","万奈摩宁受诅咒的亲属"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","万奈摩宁的地狱亲属"
"heroes.name_fancy.kalevala_vainamoinen","永恒吟游诗人"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","永恒智者"
"heroes.name_fancy.kingdom_cao_cao","魏国君主"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","冰雪君主"
"heroes.name_fancy.kingdom_diaochan","绝世美人"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","出水芙蓉"
"heroes.name_fancy.kingdom_guan_yu","英勇将军"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","地狱将军"
"heroes.name_fancy.kingdom_jing","蜀国士兵"
"heroes.name_fancy.kingdom_li","吴国士兵"
"heroes.name_fancy.kingdom_liu_bei","蜀国君主"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","森林君主"
"heroes.name_fancy.kingdom_lu_bu","暴怒战神"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","怒虎战神"
"heroes.name_fancy.kingdom_sun_quan","吴国君主"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","天命君主"
"heroes.name_fancy.kingdom_sun_shangxiang","名门女将"
"heroes.name_fancy.kingdom_wang_yuanji","贵裔淑女"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","淑女书圣"
"heroes.name_fancy.kingdom_xiahou_dun","独眼将军"
"heroes.name_fancy.kingdom_yao","魏国士兵"
"heroes.name_fancy.kingdom_zhang_fei","铁血将军"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","暴熊将军"
"heroes.name_fancy.kingdom_zhou_yu","青年帅才"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","渡鸦帅才"
"heroes.name_fancy.kingdom_zhuge_liang","神机军师"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","神算鬼谋"
"heroes.name_fancy.knights_bauchan","阿瓦隆小恶魔"
"heroes.name_fancy.knights_black_knight","阿瓦隆恐惧"
"heroes.name_fancy.knights_black_knight_costume_negative","消极骑士"
"heroes.name_fancy.knights_gawain","蔚蓝骑士"
"heroes.name_fancy.knights_green_knight","阿瓦隆挑战者"
"heroes.name_fancy.knights_guinevere","阿瓦隆女王"
"heroes.name_fancy.knights_guinevere_costume_rider","阿瓦隆龙骑士"
"heroes.name_fancy.knights_king_arthur","阿瓦隆国王"
"heroes.name_fancy.knights_lady_of_the_lake","阿瓦隆女巫"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","刀锋女士"
"heroes.name_fancy.knights_merlin","阿瓦隆巫师"
"heroes.name_fancy.knights_merlin_costume_astrology","阿瓦隆星术师"
"heroes.name_fancy.knights_morgan_le_fay","阿瓦隆魔女"
"heroes.name_fancy.knights_sir_lancelot","阿瓦隆骑士"
"heroes.name_fancy.knights_treevil","阿瓦隆邪灵"
"heroes.name_fancy.lionman_barbarian","最后的里奥尔"
"heroes.name_fancy.lionman_barbarian_costume_armor","里奥尔之王"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","里奥尔奶爸"
"heroes.name_fancy.lionman_barbarian_costume_cute","卡通里奥尔"
"heroes.name_fancy.lionman_barbarian_costume_glass","玻璃里奥尔"
"heroes.name_fancy.lizardman_trapper","蜥蜴人酋长"
"heroes.name_fancy.lizardman_trapper_costume_cute","卡通酋长"
"heroes.name_fancy.lizardman_trapper_costume_fisher","蜥蜴人渔民"
"heroes.name_fancy.lizardman_trapper_costume_glass","玻璃酋长"
"heroes.name_fancy.lizardman_trapper_costume_shaman","蜥蜴人长老"
"heroes.name_fancy.lizardman_warrior","蜥蜴人战士"
"heroes.name_fancy.lizardman_warrior_costume_cute","卡通斗士"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","蜥蜴人祖宗"
"heroes.name_fancy.lunar_new_year_baishu","农历鼠游侠"
"heroes.name_fancy.lunar_new_year_gongniu","农历牛卫士"
"heroes.name_fancy.lunar_new_year_laohu","农历虎斗士"
"heroes.name_fancy.lunar_new_year_qinglong","农历龙谋士"
"heroes.name_fancy.lunar_new_year_xiaoqing","农历蛇音师"
"heroes.name_fancy.lunar_new_year_xiaotu","农历兔守卫"
"heroes.name_fancy.magic_agrafena","至高统领"
"heroes.name_fancy.magic_agrafena_costume_dark","至尊黑暗女巫"
"heroes.name_fancy.magic_anastasia","学徒召唤者"
"heroes.name_fancy.magic_anton","年轻学者"
"heroes.name_fancy.magic_becky","星光魔术师"
"heroes.name_fancy.magic_camilla","奥术修补匠"
"heroes.name_fancy.magic_carpet_agadh","魔毯刺客"
"heroes.name_fancy.magic_carpet_bertha","魔毯编造者"
"heroes.name_fancy.magic_carpet_elyssa","魔毯暴食者"
"heroes.name_fancy.magic_carpet_lando","魔毯施术者"
"heroes.name_fancy.magic_carpet_lilli","魔毯猫夫人"
"heroes.name_fancy.magic_carpet_manpip","紧张的魔毯飞行者"
"heroes.name_fancy.magic_carpet_naeem","魔毯漂泊者"
"heroes.name_fancy.magic_carpet_zazha","魔毯修补师"
"heroes.name_fancy.magic_cristobal","符咒教授"
"heroes.name_fancy.magic_dolgoon","博学的图书馆长"
"heroes.name_fancy.magic_jett","献祭使者"
"heroes.name_fancy.magic_kornel","资深看守者"
"heroes.name_fancy.magic_lucy","法师球神童"
"heroes.name_fancy.magic_milena","秘法导师"
"heroes.name_fancy.magic_milena_costume_ice","北极法术导师"
"heroes.name_fancy.magic_motega","守卫大师"
"heroes.name_fancy.magic_nadezhda","塔楼主管"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","高塔信使长"
"heroes.name_fancy.magic_ray","球场冠军"
"heroes.name_fancy.magic_ray_costume_spiky","荆棘斗士"
"heroes.name_fancy.magic_roxia","古文爱好者"
"heroes.name_fancy.magic_sergei","秘法学徒"
"heroes.name_fancy.magic_telonius","林地半人马"
"heroes.name_fancy.magic_ulius","古怪发明家巫师"
"heroes.name_fancy.magic_vaishali","神秘棋圣"
"heroes.name_fancy.magic_vaishali_costume_chef","秘派大师"
"heroes.name_fancy.magic_willow","悬浮大师"
"heroes.name_fancy.magitech_sniper","魔导狙击手"
"heroes.name_fancy.magitech_sniper_costume_cute","卡通狙击手"
"heroes.name_fancy.magitech_sniper_costume_glass","玻璃狙击手"
"heroes.name_fancy.magitech_sniper_costume_steampunk","蒸汽朋克狙击手"
"heroes.name_fancy.magitech_sniper_costume_undead","不死狙击手"
"heroes.name_fancy.mahayoddha_bhima","风神之子"
"heroes.name_fancy.mahayoddha_chitrangada","曼尼普尔武士公主"
"heroes.name_fancy.masquerade_alessia","阿拉迪亚的信徒"
"heroes.name_fancy.masquerade_aradia","巫术蒙面女神"
"heroes.name_fancy.masquerade_carmenta","法术蒙面女神"
"heroes.name_fancy.masquerade_cel","大地蒙面女神"
"heroes.name_fancy.masquerade_februus","净化蒙面之神"
"heroes.name_fancy.masquerade_fortuna","命运蒙面女神"
"heroes.name_fancy.masquerade_fosco","菲布路斯的信徒"
"heroes.name_fancy.masquerade_jana","月之蒙面女神"
"heroes.name_fancy.masquerade_jove","天空蒙面之神"
"heroes.name_fancy.masquerade_umbria","暗影蒙面女神"
"heroes.name_fancy.mighty_pet_barkley","战争哈巴狗"
"heroes.name_fancy.mighty_pet_bubbles","幻术模仿猫"
"heroes.name_fancy.mighty_pet_chomper","仓鼠斗士冠军"
"heroes.name_fancy.mighty_pet_cinnamon","北极圈骑士"
"heroes.name_fancy.mighty_pet_cupcake","利爪土匪"
"heroes.name_fancy.mighty_pet_furdinand","犬科探险队流氓"
"heroes.name_fancy.mighty_pet_hachiko","忠诚小奶狗"
"heroes.name_fancy.mighty_pet_luna","新月猫头鹰"
"heroes.name_fancy.mighty_pet_ribbit","蛙国角斗士"
"heroes.name_fancy.mighty_pet_rufus","毛茸伐木工"
"heroes.name_fancy.mighty_pet_snowball","利爪流浪猫"
"heroes.name_fancy.mighty_pet_toto","汪星说书人"
"heroes.name_fancy.mighty_pet_waddles","鸭鸭卫队队长"
"heroes.name_fancy.mimic_ascension_item_blue","邪狞秘藏"
"heroes.name_fancy.mimic_ascension_item_green","邪狞秘藏"
"heroes.name_fancy.mimic_ascension_item_purple","邪狞秘藏"
"heroes.name_fancy.mimic_ascension_item_red","邪狞秘藏"
"heroes.name_fancy.mimic_ascension_item_yellow","邪狞秘藏"
"heroes.name_fancy.mimic_training_hero_blue","千齿秘藏"
"heroes.name_fancy.mimic_training_hero_green","千齿秘藏"
"heroes.name_fancy.mimic_training_hero_purple","千齿秘藏"
"heroes.name_fancy.mimic_training_hero_red","千齿秘藏"
"heroes.name_fancy.mimic_training_hero_yellow","千齿秘藏"
"heroes.name_fancy.monster_hunter_adalinda","狩猎公主"
"heroes.name_fancy.monster_hunter_amund","顽强的追踪者"
"heroes.name_fancy.monster_hunter_basil","狩猎之鼠"
"heroes.name_fancy.monster_hunter_berit","铍青铜战士"
"heroes.name_fancy.monster_hunter_bogart","沼泽猎人"
"heroes.name_fancy.monster_hunter_bonecrusher","银背酋长"
"heroes.name_fancy.monster_hunter_cedar","黑猩猩锁链战士"
"heroes.name_fancy.monster_hunter_cleaver","狩猎酋长"
"heroes.name_fancy.monster_hunter_dabria","猎手术士"
"heroes.name_fancy.monster_hunter_dawn","猎手诗人"
"heroes.name_fancy.monster_hunter_dubhain","风暴之神的选民"
"heroes.name_fancy.monster_hunter_ebba","猎手佣兵"
"heroes.name_fancy.monster_hunter_edelaide","荒野游牧者"
"heroes.name_fancy.monster_hunter_fianna","森林捕兽者"
"heroes.name_fancy.monster_hunter_goretooth","野蛮猎手"
"heroes.name_fancy.monster_hunter_greel","野生剑客"
"heroes.name_fancy.monster_hunter_hammertusk","魁梧的锤击野人"
"heroes.name_fancy.monster_hunter_hawthorn","猎手雇佣工"
"heroes.name_fancy.monster_hunter_hurricane","猩猿刺客"
"heroes.name_fancy.monster_hunter_kai","猎手骑士"
"heroes.name_fancy.monster_hunter_knuckles","猕猴哨兵"
"heroes.name_fancy.monster_hunter_maheegan","狼群追踪者"
"heroes.name_fancy.monster_hunter_malin","泰坦骨战士"
"heroes.name_fancy.monster_hunter_meadow","部落女猎手"
"heroes.name_fancy.monster_hunter_mistweaver","猩猩殴斗者"
"heroes.name_fancy.monster_hunter_njal","北风猎人"
"heroes.name_fancy.monster_hunter_numbskull","笨拙骨骼"
"heroes.name_fancy.monster_hunter_otis","猎手剑圣"
"heroes.name_fancy.monster_hunter_revna","红玉髓猎手"
"heroes.name_fancy.monster_hunter_ruadh","深渊猎手"
"heroes.name_fancy.monster_hunter_sigyn","训蝎师"
"heroes.name_fancy.monster_hunter_sorcha","执着的猎人"
"heroes.name_fancy.monster_hunter_sorrow","冰封幻影"
"heroes.name_fancy.monster_hunter_staintongue","无情猎手"
"heroes.name_fancy.monster_hunter_sune","孔雀石猎人"
"heroes.name_fancy.monster_hunter_thunderclap","暴怒大猩猩"
"heroes.name_fancy.monster_hunter_thura","星佑猎人"
"heroes.name_fancy.monster_hunter_tremor","狒狒剑圣"
"heroes.name_fancy.monster_hunter_waterpipe","鱼叉工程师"
"heroes.name_fancy.moth_auricarc","大师飞蛾射手"
"heroes.name_fancy.moth_chimister","实验室飞蛾"
"heroes.name_fancy.moth_chunkyroi","飞蛾侯爵"
"heroes.name_fancy.moth_furgeant","巨力飞蛾"
"heroes.name_fancy.moth_gardered","无畏飞蛾"
"heroes.name_fancy.moth_grovevert","幼蛾养育师"
"heroes.name_fancy.moth_joyvert","音乐飞蛾"
"heroes.name_fancy.moth_lilareine","侯爵飞蛾"
"heroes.name_fancy.moth_limeboire","飞蛾酒保"
"heroes.name_fancy.moth_mortewitch","飞蛾法师"
"heroes.name_fancy.moth_pepperbleu","飞蛾专家"
"heroes.name_fancy.moth_rosepetite","青年飞蛾画师"
"heroes.name_fancy.moth_satinpimenter","飞蛾教士"
"heroes.name_fancy.moth_shyombre","暗影飞蛾"
"heroes.name_fancy.moth_tealmoine","迷雾飞蛾"
"heroes.name_fancy.musketeer_aramis","浪漫火枪手"
"heroes.name_fancy.musketeer_athos","火枪手元老"
"heroes.name_fancy.musketeer_cardinal_richelieu","双面公爵"
"heroes.name_fancy.musketeer_constance","英勇火枪手"
"heroes.name_fancy.musketeer_dartagnan","热忱火枪手"
"heroes.name_fancy.musketeer_felton","堕落刺客"
"heroes.name_fancy.musketeer_kitty","友好花商"
"heroes.name_fancy.musketeer_milady_de_winter","狡猾女反派"
"heroes.name_fancy.musketeer_planchet","英勇随从"
"heroes.name_fancy.musketeer_porthos","乐观火枪手"
"heroes.name_fancy.musketeer_queen_anne","优雅王后"
"heroes.name_fancy.musketeer_rochefort","冷血恶棍"
"heroes.name_fancy.musketeer_villiers","浮夸公爵"
"heroes.name_fancy.mystery_enigmo","召唤谜团"
"heroes.name_fancy.nature_god_balbar","自然隐士"
"heroes.name_fancy.nature_god_bertila","绿骑士"
"heroes.name_fancy.nature_god_bo_and_runt","群狼之首"
"heroes.name_fancy.nature_god_chloris","繁花英灵"
"heroes.name_fancy.nature_god_cinisia","墨利亚战斗法师"
"heroes.name_fancy.nature_god_florenna","优雅鹿灵"
"heroes.name_fancy.nature_god_leadria","常春女王"
"heroes.name_fancy.nature_god_mystia","魅力女巫"
"heroes.name_fancy.nature_god_silvaria","森林之神"
"heroes.name_fancy.nature_god_viselus","疫行者德鲁伊"
"heroes.name_fancy.ninja_amethyst","隐秘刺客"
"heroes.name_fancy.ninja_ametrine","暗影之刃忍者"
"heroes.name_fancy.ninja_aurum","血色忍姬"
"heroes.name_fancy.ninja_azurite","忍者岗哨"
"heroes.name_fancy.ninja_chikao","无声先锋"
"heroes.name_fancy.ninja_cobalt","低吟之海忍者"
"heroes.name_fancy.ninja_ekanite","忍者小队长"
"heroes.name_fancy.ninja_garnet","活力之源忍者"
"heroes.name_fancy.ninja_iga","苦无暴雨大师"
"heroes.name_fancy.ninja_ito","威服忍者"
"heroes.name_fancy.ninja_jade","舞耀之星忍者"
"heroes.name_fancy.ninja_kinsaishi","雷鸣忍者僧侣"
"heroes.name_fancy.ninja_kushanku","迷惑之拳"
"heroes.name_fancy.ninja_malum","冷血忍者"
"heroes.name_fancy.ninja_mica","缄默之声忍者"
"heroes.name_fancy.ninja_morganite","残影忍者"
"heroes.name_fancy.ninja_myoinni","最强旗主"
"heroes.name_fancy.ninja_nomad","无声刽子手"
"heroes.name_fancy.ninja_oniwaka","999刀狩影僧"
"heroes.name_fancy.ninja_oniwakamaru","999刀狩影僧"
"heroes.name_fancy.ninja_onyx","狂风之眼忍者"
"heroes.name_fancy.ninja_osamu","铁律忍者"
"heroes.name_fancy.ninja_peridot","剧毒忍者"
"heroes.name_fancy.ninja_quartz","静墓忍者"
"heroes.name_fancy.ninja_ruby","赤鬼忍者"
"heroes.name_fancy.ninja_sapphire","跃动之影忍者"
"heroes.name_fancy.ninja_satsui","影行忍姬"
"heroes.name_fancy.ninja_sawano","忠信忍姬"
"heroes.name_fancy.ninja_serandite","穿焰忍者"
"heroes.name_fancy.ninja_shale","高飞之翼忍者"
"heroes.name_fancy.ninja_tametomo","巨弓破坏王"
"heroes.name_fancy.ninja_topaz","臻精忍者"
"heroes.name_fancy.ninja_tora","无声女猎手"
"heroes.name_fancy.ninja_umeko","毒花忍者"
"heroes.name_fancy.ninja_zircon","静波忍者"
"heroes.name_fancy.nomad_axe_adventurer","勇敢赏金猎手"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","卡通赏金猎手"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","玻璃赏金猎手"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","火焰赏金猎手"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","英勇追踪者"
"heroes.name_fancy.nomad_female_archer","天才布陷人"
"heroes.name_fancy.nomad_female_assassin","沙海突袭者"
"heroes.name_fancy.nomad_female_assassin_costume_cute","卡通之海突袭者"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","沙海舞者"
"heroes.name_fancy.nomad_female_assassin_costume_poison","沙海刺客"
"heroes.name_fancy.nomad_female_berserker","龙界女祭司"
"heroes.name_fancy.nomad_female_berserker_costume_cute","龙族卡通"
"heroes.name_fancy.nomad_female_berserker_costume_glass","龙族彩绘"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","龙族萨满"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","龙族女巫"
"heroes.name_fancy.nomad_female_captain","温德米尔小姐"
"heroes.name_fancy.nomad_female_captain_costume_cute","温德米尔卡通"
"heroes.name_fancy.nomad_female_captain_costume_glass","温德米尔彩绘"
