"heroes.name.astral_cosmicspeaker","Космикспикер"
"heroes.name.mighty_pet_hachiko","Хатико"
"heroes.name.mighty_pet_luna","Луна"
"heroes.name.mighty_pet_ribbit","Риббит"
"heroes.name.mighty_pet_rufus","Руфус"
"heroes.name.mighty_pet_snowball","Снежок"
"heroes.name.mighty_pet_toto","Макс"
"heroes.name.mighty_pet_waddles","Водлз"
"heroes.name.mimic_ascension_item_blue","Имитатор перерождения"
"heroes.name.mimic_ascension_item_green","Имитатор перерождения"
"heroes.name.mimic_ascension_item_purple","Имитатор перерождения"
"heroes.name.mimic_ascension_item_red","Имитатор перерождения"
"heroes.name.mimic_ascension_item_yellow","Имитатор перерождения"
"heroes.name.mimic_training_hero_blue","Имитатор опыта"
"heroes.name.mimic_training_hero_green","Имитатор опыта"
"heroes.name.mimic_training_hero_purple","Имитатор опыта"
"heroes.name.mimic_training_hero_red","Имитатор опыта"
"heroes.name.mimic_training_hero_yellow","Имитатор опыта"
"heroes.name.monster_hunter_adalinda","Адалинда"
"heroes.name.monster_hunter_amund","Амунд"
"heroes.name.monster_hunter_basil","Бэзил"
"heroes.name.monster_hunter_berit","Берит"
"heroes.name.monster_hunter_bogart","Богарт"
"heroes.name.monster_hunter_bonecrusher","Боункрашер"
"heroes.name.monster_hunter_cedar","Седар"
"heroes.name.monster_hunter_cleaver","Кливер"
"heroes.name.monster_hunter_dabria","Дабрия"
"heroes.name.monster_hunter_dawn","Дон"
"heroes.name.monster_hunter_dubhain","Дуэйн"
"heroes.name.monster_hunter_ebba","Эбба"
"heroes.name.monster_hunter_edelaide","Эделаида"
"heroes.name.monster_hunter_fianna","Фианна"
"heroes.name.monster_hunter_goretooth","Гортус"
"heroes.name.monster_hunter_greel","Грил"
"heroes.name.monster_hunter_hammertusk","Хаммертаск"
"heroes.name.monster_hunter_hawthorn","Хоторн"
"heroes.name.monster_hunter_hurricane","Ураган"
"heroes.name.monster_hunter_kai","Кай"
"heroes.name.monster_hunter_knuckles","Наклз"
"heroes.name.monster_hunter_maheegan","Махиган"
"heroes.name.monster_hunter_malin","Малин"
"heroes.name.monster_hunter_meadow","Медоу"
"heroes.name.monster_hunter_mistweaver","Миствивер"
"heroes.name.monster_hunter_njal","Ньял"
"heroes.name.monster_hunter_numbskull","Намскалл"
"heroes.name.monster_hunter_otis","Отис"
"heroes.name.monster_hunter_revna","Ревна"
"heroes.name.monster_hunter_ruadh","Руах"
"heroes.name.monster_hunter_sigyn","Сигин"
"heroes.name.monster_hunter_sorcha","Сорка"
"heroes.name.monster_hunter_sorrow","Сорроу"
"heroes.name.monster_hunter_staintongue","Стейнтан"
"heroes.name.monster_hunter_sune","Сун"
"heroes.name.monster_hunter_thunderclap","Тандерклап"
"heroes.name.monster_hunter_thura","Тура"
"heroes.name.monster_hunter_tremor","Тремор"
"heroes.name.monster_hunter_waterpipe","Уотерпайп"
"heroes.name.moth_auricarc","Аурикарк"
"heroes.name.moth_chimister","Химистр"
"heroes.name.moth_chunkyroi","Чанкирой"
"heroes.name.moth_furgeant","Мехжант"
"heroes.name.moth_gardered","Гардред"
"heroes.name.moth_grovevert","Грувверт"
"heroes.name.moth_joyvert","Джойверт"
"heroes.name.moth_lilareine","Лиларейн"
"heroes.name.moth_limeboire","Ламбуар"
"heroes.name.moth_mortewitch","Мортвитч"
"heroes.name.moth_pepperbleu","Пепперблю"
"heroes.name.moth_rosepetite","Роузпти"
"heroes.name.moth_satinpimenter","Сатинпиментер"
"heroes.name.moth_shyombre","Шайомбр"
"heroes.name.moth_tealmoine","Тилмуан"
"heroes.name.musketeer_aramis","Арамис"
"heroes.name.musketeer_athos","Атос"
"heroes.name.musketeer_cardinal_richelieu","Кардинал Ришелье"
"heroes.name.musketeer_constance","Констанция"
"heroes.name.musketeer_dartagnan","Д´Артаньян"
"heroes.name.musketeer_felton","Фельтон"
"heroes.name.musketeer_kitty","Китти"
"heroes.name.musketeer_milady_de_winter","Графиня Винтер"
"heroes.name.musketeer_planchet","Планше"
"heroes.name.musketeer_porthos","Портос"
"heroes.name.musketeer_queen_anne","Королева Анна"
"heroes.name.musketeer_rochefort","Рошфор"
"heroes.name.musketeer_villiers","Вильерс"
"heroes.name.mystery_enigmo","Энигма"
"heroes.name.nature_god_balbar","Балбар"
"heroes.name.nature_god_bertila","Бертила"
"heroes.name.nature_god_bo_and_runt","Бо и Рант"
"heroes.name.nature_god_chloris","Хлорис"
"heroes.name.nature_god_cinisia","Цинисия"
"heroes.name.nature_god_florenna","Флоренна"
"heroes.name.nature_god_leadria","Лидрия"
"heroes.name.nature_god_mystia","Мистия"
"heroes.name.nature_god_silvaria","Сильвария"
"heroes.name.nature_god_viselus","Визелий"
"heroes.name.ninja_amethyst","Аметист"
"heroes.name.ninja_ametrine","Аметрин"
"heroes.name.ninja_aurum","Аурум"
"heroes.name.ninja_azurite","Азурит"
"heroes.name.ninja_chikao","Чикао"
"heroes.name.ninja_cobalt","Кобальт"
"heroes.name.ninja_ekanite","Эканит"
"heroes.name.ninja_garnet","Гранат"
"heroes.name.ninja_iga","Ига"
"heroes.name.ninja_ito","Ито"
"heroes.name.ninja_jade","Нефрит"
"heroes.name.ninja_kinsaishi","Кинсаиси"
"heroes.name.ninja_kushanku","Кушанк"
"heroes.name.ninja_malum","Малум"
"heroes.name.ninja_mica","Слюда"
"heroes.name.ninja_morganite","Морганит"
"heroes.name.ninja_myoinni","Меин-ни"
"heroes.name.ninja_nomad","Номад"
"heroes.name.ninja_oniwaka","Онивакамару"
"heroes.name.ninja_oniwakamaru","Онивакамару"
"heroes.name.ninja_onyx","Оникс"
"heroes.name.ninja_osamu","Осаму"
"heroes.name.ninja_peridot","Хризолит"
"heroes.name.ninja_quartz","Кварц"
"heroes.name.ninja_ruby","Рубин"
"heroes.name.ninja_sapphire","Сапфир"
"heroes.name.ninja_satsui","Сацуи"
"heroes.name.ninja_sawano","Савано"
"heroes.name.ninja_serandite","Серандит"
"heroes.name.ninja_shale","Сланец"
"heroes.name.ninja_tametomo","Таметомо"
"heroes.name.ninja_topaz","Топаз"
"heroes.name.ninja_tora","Тора"
"heroes.name.ninja_umeko","Умеко"
"heroes.name.ninja_zircon","Циркон"
"heroes.name.nomad_axe_adventurer","Колен"
"heroes.name.nomad_female_archer","Шаран"
"heroes.name.nomad_female_assassin","Скарлетт"
"heroes.name.nomad_female_berserker","Келайл"
"heroes.name.nomad_female_captain","Марьяна"
"heroes.name.nomad_female_lord","Элена"
"heroes.name.nomad_female_shaman","Хокмун"
"heroes.name.nomad_female_swordmaster","Азар"
"heroes.name.nomad_female_thief","Джилл"
"heroes.name.nomad_fighter","Фарид"
"heroes.name.nomad_mage","Джахангир"
"heroes.name.nomad_scout","Тудан"
"heroes.name.nomad_shaman","Шааркот"
"heroes.name.nordic_ancestral_warrior","Гримм"
"heroes.name.nordic_chained_werewolf","Седогрив"
"heroes.name.nordic_female_scout","Сигранн"
"heroes.name.nordic_female_warrior","Рангхильда"
"heroes.name.nordic_ice_enchantress","Изарния"
"heroes.name.nordic_mage","Ульмер"
"heroes.name.nordic_male_lord","Ричард"
"heroes.name.nordic_swordman","Вален"
"heroes.name.nordic_warrior","Клеймо"
"heroes.name.orc_gladiator","Дерзкий клык"
"heroes.name.orc_skirmisher","Зудак"
"heroes.name.orc_troopmaster","Гормек"
"heroes.name.orc_warrior","Нашгар"
"heroes.name.oriental_brawler","Яд"
"heroes.name.oriental_enchanted_monk","Джун"
"heroes.name.oriental_falconer","Чао"
"heroes.name.oriental_falconer.falcon","Сокол Чао"
"heroes.name.oriental_female_guard","Дава"
"heroes.name.oriental_female_mage","Кайлани"
"heroes.name.oriental_female_mystic","Вивика"
"heroes.name.oriental_female_ninja","Хикару"
"heroes.name.oriental_female_templar","Ли Сю"
"heroes.name.oriental_monkey_captain","Царь обезьян"
"heroes.name.oriental_monkey_warrior","Хоу"
"heroes.name.oriental_panda_berserker","Ган Джу"
"heroes.name.oriental_panda_scout","Ша Джи"
"heroes.name.oriental_panda_warrior","Ху Тао"
"heroes.name.oriental_squire","Нэш"
"heroes.name.oriental_warrior","Кенджиро"
"heroes.name.oriental_warrior_king","Леонидас"
"heroes.name.outlaw_chao_gai","Чао Гай"
"heroes.name.outlaw_gu_dasao","Гу Дасао"
"heroes.name.outlaw_hu_sanniang","Ху Саньнян"
"heroes.name.outlaw_li_kui","Ли Куй"
"heroes.name.outlaw_lin_chong","Линь Чун"
"heroes.name.outlaw_liu_tang","Лю Тан"
"heroes.name.outlaw_lu_zhishen","Лу Чжишэнь"
"heroes.name.outlaw_ruan_xiaoqi","Жуань Сяоци"
"heroes.name.outlaw_shi_jin","Ши Цзинь"
"heroes.name.outlaw_song_jiang","Сун Цзянь"
"heroes.name.outlaw_sun_erniang","Сунь Эрнян"
"heroes.name.outlaw_wu_song","У Сун"
"heroes.name.outlaw_wu_yong","У Юн"
"heroes.name.outlaw_xiang_chong","Сян Чун"
"heroes.name.outlaw_zheng_tianshou","Чжэн Тяньшоу"
"heroes.name.owl_cennius","Сенния"
"heroes.name.owl_eron","Эрон"
"heroes.name.owl_featherino","Фезерино"
"heroes.name.owl_fulvia","Фульвия"
"heroes.name.owl_juliani","Джулиани"
"heroes.name.owl_livia","Ливия"
"heroes.name.owl_lodius","Лодий"
"heroes.name.owl_mariol","Мариола"
"heroes.name.owl_olbec","Ольбек"
"heroes.name.owl_ommodus","Оммодий"
"heroes.name.owl_paeia","Паэйя"
"heroes.name.owl_pertinax","Пертинакс"
"heroes.name.owl_relius","Релий"
"heroes.name.owl_timius","Тимий"
"heroes.name.owl_verus","Верий"
"heroes.name.pirate_anne","Энни"
"heroes.name.pirate_boatswain","Блэк Цезарь"
"heroes.name.pirate_bonny","Бонни"
"heroes.name.pirate_cabin_boy","Питерс"
"heroes.name.pirate_commodore_finley","Финли"
"heroes.name.pirate_dread_captain","Саргассо"
"heroes.name.pirate_first_mate","Бумер"
"heroes.name.pirate_lady","Леди Лок"
"heroes.name.pirate_marie_therese","Мария-Тереза"
"heroes.name.pirate_sally","Салли"
"heroes.name.pirate_swashbuckler","Капитан Кестрел"
"heroes.name.pirate_vodnik","Водник"
"heroes.name.rabbit_blue","Мастер Лепус"
"heroes.name.rabbit_green","Джек О'Заяц"
"heroes.name.rabbit_red","Кавалер Уоббит"
"heroes.name.rider_hero_blue","Инструктор"
"heroes.name.rider_hero_green","Инструктор"
"heroes.name.rider_hero_purple","Инструктор"
"heroes.name.rider_hero_red","Инструктор"
"heroes.name.rider_hero_yellow","Инструктор"
"heroes.name.royal_female_knight","Соня"
"heroes.name.royal_knight","Гуннар"
"heroes.name.royal_knight_commander","Торн"
"heroes.name.royal_knight_commander_tutorial","Грей"
"heroes.name.royal_pikeman","Олаф"
"heroes.name.s2_ariel","Ариэль"
"heroes.name.s2_atlantean_robot","Гадейрус"
"heroes.name.s2_chameleon_bruiser","Магги"
"heroes.name.s2_chameleon_chief","Обжора"
"heroes.name.s2_chameleon_mage","Агве"
"heroes.name.s2_crab_man","Каркинос"
"heroes.name.s2_croc_man","Гато"
"heroes.name.s2_cursed_samurai","Кагебурадо"
"heroes.name.s2_demon_master","Сумитомо"
"heroes.name.s2_fiji_mermaid","Гил-Ра"
"heroes.name.s2_fox_girl","Инари"
"heroes.name.s2_ghost_woman","Амеонна"
"heroes.name.s2_hammerhead_hulk","Мок-Арр"
"heroes.name.s2_junglehunter","Тарлак"
"heroes.name.s2_lantern_ghost","Чочин"
"heroes.name.s2_mercenary_woman","Мисандра"
"heroes.name.s2_merman","Мнезеус"
"heroes.name.s2_merwoman","Мелия"
"heroes.name.s2_noble_lady","Мицуко"
"heroes.name.s2_oceanus","Океан"
"heroes.name.s2_poseidon","Посейдон"
"heroes.name.s2_proteus","Протей"
"heroes.name.s2_rugged_fisherman","Уилбер"
"heroes.name.s2_skyllaros","Атомос"
"heroes.name.s2_straw_demon","Намахаге"
"heroes.name.s2_tanuki_raccoon","Данзабуро"
"heroes.name.s2_tethys","Тетис"
"heroes.name.s2_triton","Тритон"
"heroes.name.s2_ursena","Урсена"
"heroes.name.s3_agnes","Агнес"
"heroes.name.s3_alfrike","Альфрика"
"heroes.name.s3_almur","Алмур"
"heroes.name.s3_anwindr","Ан-Виндр"
"heroes.name.s3_baldur","Бальдр"
"heroes.name.s3_bera","Бера"
"heroes.name.s3_bjorn","Бьёрн"
"heroes.name.s3_brynhild","Брюнхильда"
"heroes.name.s3_by_ulf","Би-Ульф"
"heroes.name.s3_ei_dunn","Эй-Дунн"
"heroes.name.s3_fenrir","Фенрир"
"heroes.name.s3_freya","Фрейя"
"heroes.name.s3_frigg","Фригг"
"heroes.name.s3_fura","Фура"
"heroes.name.s3_gefjon","Гевьон"
"heroes.name.s3_grevle","Гревл"
"heroes.name.s3_gullinbursti","Гуллинбурсти"
"heroes.name.s3_heimdall","Хеймдалль"
"heroes.name.s3_jarvur","Ярвур"
"heroes.name.s3_jott","Йотт"
"heroes.name.s3_kvasir","Квасир"
"heroes.name.s3_loki_female","Леди Локи"
"heroes.name.s3_loki_fish","Лосось Локи"
"heroes.name.s3_loki_male","Лорд Локи"
"heroes.name.s3_lord_loki_covenant","Лорд Локи"
"heroes.name.s3_mireweave","Миревив"
"heroes.name.s3_mist","Владычица тумана"
"heroes.name.s3_nordri","Нордри"
"heroes.name.s3_norns","Норны"
"heroes.name.s3_odin","Один"
"heroes.name.s3_ratatoskr","Рататоскр"
"heroes.name.s3_shadereave","Вор теней"
"heroes.name.s3_sif","Сиф"
"heroes.name.s3_skadi","Скади"
"heroes.name.s3_stonecleave","Каменный тесак"
"heroes.name.s3_sudri","Судри"
"heroes.name.s3_sumle","Сумле"
"heroes.name.s3_thor","Тор"
"heroes.name.s3_tyr","Тир"
"heroes.name.s4_akkorog","Аккорог"
"heroes.name.s4_aouda","Ауда"
"heroes.name.s4_captain_nemo","Капитан Немо"
"heroes.name.s4_congalach","Конгалах"
"heroes.name.s4_doctor_moreau","Доктор Моро"
"heroes.name.s4_elizabeth","Элизабет"
"heroes.name.s4_exeera","Игзира"
"heroes.name.s4_garjammal","Гаржаммала"
"heroes.name.s4_gramps","Гремпс"
"heroes.name.s4_griffin","Гриффин"
"heroes.name.s4_hannah","Ханна"
"heroes.name.s4_helo","Эло"
"heroes.name.s4_hulda","Хульда"
"heroes.name.s4_kravekrush","Кравкраш"
"heroes.name.s4_lepiota","Лепиота"
"heroes.name.s4_lughaidh","Лугайд"
"heroes.name.s4_mack","Мак"
"heroes.name.s4_morel","Морель"
"heroes.name.s4_morris","Морис"
"heroes.name.s4_octros","Октрос"
"heroes.name.s4_passepartout","Паспарту"
"heroes.name.s4_phileas_fogg","Филеас Фогг"
"heroes.name.s4_poppy","Пэппи"
"heroes.name.s4_professor_lidenbrock","Проф. Лиденброк"
"heroes.name.s4_rokkamush","Роккамуш"
"heroes.name.s4_russula","Руссула"
"heroes.name.s4_tettukh","Теттах"
"heroes.name.s4_vollermork","Воллерморк"
"heroes.name.s4_xenda","Ксенда"
"heroes.name.s4_xnolphod","Кснольфод"
"heroes.name.s4_zekena","Зикена"
"heroes.name.s4_zenobia","Зенобия"
"heroes.name.s4_zila_lei","Зила Лей"
"heroes.name.s5_ahhotep","Яххотеп"
"heroes.name.s5_ahmose","Яхмос"
"heroes.name.s5_anubis","Анубис"
"heroes.name.s5_aqeela","Акила"
"heroes.name.s5_azmia","Азмия"
"heroes.name.s5_bastet","Бастет"
"heroes.name.s5_bennu","Бенну"
"heroes.name.s5_cleopatra","Клеопатра"
"heroes.name.s5_el_naddaha","Аль-Наддаха"
"heroes.name.s5_eset","Эсет"
"heroes.name.s5_faiez","Файез"
"heroes.name.s5_hathor","Гатор"
"heroes.name.s5_hetepheres","Хетепхерес"
"heroes.name.s5_horus","Гор"
"heroes.name.s5_jarif","Джариф"
"heroes.name.s5_junaid","Джунаид"
"heroes.name.s5_khafre","Хуфу"
"heroes.name.s5_khepri","Хепри"
"heroes.name.s5_khonshu","Хонсу"
"heroes.name.s5_maat","Ма'ат"
"heroes.name.s5_meresankh","Мересанх"
"heroes.name.s5_papyros","Папирус"
"heroes.name.s5_ptolemy","Птолемей"
"heroes.name.s5_rekhetre","Рехетре"
"heroes.name.s5_scoratek","Скоратек"
"heroes.name.s5_sekhmet","Сехмет"
"heroes.name.s5_set","Сет"
"heroes.name.s5_sneferu","Снеферу"
"heroes.name.s5_sobek","Собек"
"heroes.name.s5_tetisheri","Тетишери"
"heroes.name.s5_waqas","Вакас"
"heroes.name.sand_horse","Хисан"
"heroes.name.sand_king","Юнан"
"heroes.name.sand_queen","Рана"
"heroes.name.sand_roc","Рок"
"heroes.name.sand_soldier","Арман"
"heroes.name.sand_tower","Джаббар"
"heroes.name.sand_vizier","Гафар"
"heroes.name.shadow_abigail","Эбигейл"
"heroes.name.shadow_asketel","Аскетель"
"heroes.name.shadow_atwood","Этвуд"
"heroes.name.shadow_burton","Бертон"
"heroes.name.shadow_cthuwu","Хтуву"
"heroes.name.shadow_dolores","Долорес"
"heroes.name.shadow_gwendoline","Гвендолин"
"heroes.name.shadow_hunter","Хантер"
"heroes.name.shadow_hysteria","Истерия"
"heroes.name.shadow_melancholia","Меланхолия"
"heroes.name.shadow_omen","Омен"
"heroes.name.shadow_penelope","Пенелопа"
"heroes.name.shadow_rashan","Рашан"
"heroes.name.shadow_rosanna","Розанна"
"heroes.name.shadow_salvatore","Сальваторе"
"heroes.name.shadow_shoggo","Шогго"
"heroes.name.shadow_wulfstan","Вульфстан"
"heroes.name.shadow_zavinia","Завиния"
"heroes.name.slayer_aodhan","Аодхан"
"heroes.name.slayer_caitlin","Кейтлин"
"heroes.name.slayer_cathal","Каттал"
"heroes.name.slayer_cillian","Киллиан"
"heroes.name.slayer_maeve","Мэйв"
"heroes.name.slayer_noril","Нориль"
"heroes.name.slayer_orla","Орла"
"heroes.name.slayer_rian","Райан"
"heroes.name.slayer_saoirse","Сирша"
"heroes.name.slayer_senan","Сенан"
"heroes.name.slime","Слайм"
"heroes.name.slime_charmione","Чармиона"
"heroes.name.slime_choozen","Слизьбранный"
"heroes.name.slime_fruitio","Фрузень"
"heroes.name.slime_fungustine","Фунгустин"
"heroes.name.slime_gloozmer","Слизмер"
"heroes.name.slime_goldrip","Голдмер"
"heroes.name.slime_gooldron","Гулдрон"
"heroes.name.slime_goorian","Гуриан"
"heroes.name.slime_gooric","Гурик"
"heroes.name.slime_gooze","Гуз"
"heroes.name.slime_gunktus","Ганкт"
"heroes.name.slime_harubo","Харубо"
"heroes.name.slime_knightus","Найт"
"heroes.name.slime_labblub","Лабблуб"
"heroes.name.slime_magistine","Маджистин"
"heroes.name.slime_mucktus","Макт"
"heroes.name.slime_slaymire","Слеймайер"
"heroes.name.slime_slimgo","Слимго"
"heroes.name.slime_sliposi","Слипскользи"
"heroes.name.slime_sludgus","Сладг"
"heroes.name.slime_verdigoo","Вердизь"
"heroes.name.slime_zestique","Зестика"
"heroes.name.styx_amphitrite","Амфитрита"
"heroes.name.styx_arges","Арг"
"heroes.name.styx_brontes","Бронт"
"heroes.name.styx_charon","Харон"
"heroes.name.styx_dante","Данте"
"heroes.name.styx_erebus","Эреб"
"heroes.name.styx_hypnos","Гипнос"
"heroes.name.styx_nemesis","Немезида"
"heroes.name.styx_nyx","Никс"
"heroes.name.styx_steropes","Стероп"
"heroes.name.styx_thanatos","Танатос"
"heroes.name.styx_virgil","Вергилий"
"heroes.name.tales1_aqualith","Аквалит"
"heroes.name.tales1_atlanteia","Атлантия"
"heroes.name.tales1_bagreg","Багрег"
"heroes.name.tales1_ceto","Цето"
"heroes.name.tales1_domiventus","Домивент"
"heroes.name.tales1_ephyra","Эфира"
"heroes.name.tales1_galapago","Галапаго"
"heroes.name.tales1_gelert","Гелерт"
"heroes.name.tales1_gestalt","Гестальт"
"heroes.name.tales1_jaco","Джако"
"heroes.name.tales1_lasalle","Лазалль"
"heroes.name.tales1_medea","Медея"
"heroes.name.tales1_mulgog","Мульгог"
"heroes.name.tales1_persa","Перса"
"heroes.name.tales1_phorcys","Форцис"
"heroes.name.tales1_sharkhai","Шар'Хай"
"heroes.name.tales1_spartoi","Спартой"
"heroes.name.tales1_thalassa","Таласса"
"heroes.name.tales1_ultrox","Ультрокс"
"heroes.name.tales2_aethslegaur","Эслегор"
"heroes.name.tales2_andvari","Андвари"
"heroes.name.tales2_bragi","Браги"
"heroes.name.tales2_bryggvir","Бриггвир"
"heroes.name.tales2_dagr","Дагр"
"heroes.name.tales2_dain","Даин"
"heroes.name.tales2_dularfulr","Дулафульр"
"heroes.name.tales2_fafnir","Фафнир"
"heroes.name.tales2_fimafeng","Фимафенг"
"heroes.name.tales2_fjalar","Фъялар"
"heroes.name.tales2_gandr","Гандр"
"heroes.name.tales2_helgi","Хельги"
"heroes.name.tales2_hogne","Хёгне"
"heroes.name.tales2_hreidmarr","Хрейдмар"
"heroes.name.tales2_motsognir","Мотсогнир"
"heroes.name.tales2_ott","Отт"
"heroes.name.tales2_regin","Регин"
"heroes.name.tales2_snorri","Снорри"
"heroes.name.tales2_svafa","Свафа"
"heroes.name.tales2_thrivaldi","Тривалди"
"heroes.name.trainer","Инструктор"
"heroes.name.trainer_rainbow","Мастер тренер"
"heroes.name.tribal_chief","Каган"
"heroes.name.undead_captain_warrior","Киприот"
"heroes.name.undead_female_warrior","Сабина"
"heroes.name.undead_horned_skeleton","Оберон"
"heroes.name.undead_running_skeleton","Тайрум"
"heroes.name.undead_screaming_zombie","Сильтус"
"heroes.name.underworld_champion","Обакан"
"heroes.name.valentines_anteros","Антерос"
"heroes.name.valentines_cupido","Купидон"
"heroes.name.valentines_elba","Эльба"
"heroes.name.valentines_eros","Эрос"
"heroes.name.valentines_himeros","Химерос"
"heroes.name.valentines_kabeiroi","Кабейри"
"heroes.name.valentines_matchmaker_dodgrom","Додгром"
"heroes.name.valentines_phthonus","Фтон"
"heroes.name.valentines_voluptas","Волаптас"
"heroes.name.valentines_zarola","Зарола"
"heroes.name.vampire_king","Виктор"
"heroes.name.vampire_lord","Влад"
"heroes.name.vampire_queen","Валерия"
"heroes.name.vegetable_bartholomew","Бартоломью"
"heroes.name.vegetable_elsbeth","Эльсбет"
"heroes.name.villain_asterius","Астерий"
"heroes.name.villain_crystalis","Кристалис"
"heroes.name.villain_dark_lord","Темный Властелин"
"heroes.name.villain_edd","Эдд"
"heroes.name.villain_ingolf","Ингольф"
"heroes.name.villain_isrod","Исрод"
"heroes.name.villain_karnov","Карнов"
"heroes.name.villain_sanngrior","Саннгриор"
"heroes.name.villain_skrekok","Скрекок"
"heroes.name.villain_toxicandra","Токсикандра"
"heroes.name.wild_cat_ferni","Ферни"
"heroes.name.wild_cat_imagus","Имагус"
"heroes.name.wild_cat_lennart","Леннарт"
"heroes.name.wild_cat_leonie","Леони"
"heroes.name.wild_cat_rajesh","Раджеш"
"heroes.name.wild_cat_stravia","Стравия"
"heroes.name.wild_cat_tunes","Тюнс"
"heroes.name.witch_king","Тот-Амун"
"heroes.name.wonderland_alice","Алиса"
"heroes.name.wonderland_bear","Лесная медведица"
"heroes.name.wonderland_captain","Бубновый капитан"
"heroes.name.wonderland_cheshire_cat","Чеширский кот"
"heroes.name.wonderland_duchess","Герцогиня"
"heroes.name.wonderland_hatter","Шляпочник"
"heroes.name.wonderland_jabberwocky","Бармаглот"
"heroes.name.wonderland_king_of_hearts","Король червей"
"heroes.name.wonderland_knave_of_hearts","Валет червей"
"heroes.name.wonderland_phoenicus","Феникус"
"heroes.name.wonderland_queen","Королева червей"
"heroes.name.wonderland_tweedles","Труляля и Траляля"
"heroes.name.wonderland_white_rabbit","Белый кролик"
"heroes.name.zombie","Зомби"
