"specials.name.a_cozy_break","Уютный перерыв"
"specials.name.draining_blade","Калечащий клинок"
"specials.name.dread_hammer","Ужасающий молот"
"specials.name.dreaded_swords","Ужасающие мечи"
"specials.name.dreaded_waters","Жуткие воды"
"specials.name.dreadful_riddle","Ужасная загадка"
"specials.name.dreadstrike","Жуткий удар"
"specials.name.dreams_of_nourishment","Питательные сны"
"specials.name.drowsy_bolt","Усыпляющая стрела"
"specials.name.drum_chain","Цепь барабанов ипу"
"specials.name.dual_axes","Два топора"
"specials.name.dual_blades","Двойные клинки"
"specials.name.dual_data_blades","Двойные клинки данных"
"specials.name.dual_laser_blades","Двойные лазерные клинки"
"specials.name.dual_slash","Двойной удар"
"specials.name.dual_sting","Двойное жало"
"specials.name.dubious_cuisine","Сомнительное блюдо"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Катастрофическая кулинарная ошибка"
"specials.name.dubious_cuisine_exquisite_food","Изысканная еда"
"specials.name.dubious_cuisine_rotten_food","Негодная еда"
"specials.name.dubious_merchandise","Сомнительный товар"
"specials.name.dubious_mixture","Сомнительная смесь"
"specials.name.dum_and_dee","Тру и тра"
"specials.name.dusk_dust","Пыль сумерек"
"specials.name.dusk_till_dawn","От заката до рассвета"
"specials.name.dust_to_dust","Прах к праху"
"specials.name.dwarven_flourish","Гномий пируэт"
"specials.name.dwarven_kings_levy","Дань гномьего короля"
"specials.name.easy_breezy_aura","Легкая аура"
"specials.name.echoes_of_ice","Ледяное эхо"
"specials.name.echoes_of_pain","Отголоски боли"
"specials.name.echoes_of_the_opera","Эхо оперы"
"specials.name.eclipse_shield","Щит затмения"
"specials.name.eclipse_spear","Копье затмения"
"specials.name.educated_exorcism","Научный экзорцизм"
"specials.name.egg_barrage","Яичный обстрел"
"specials.name.elders_remedy","Помощь старших"
"specials.name.eldritch_sign_bolts","Уколы зловещих знаков"
"specials.name.electric_cut","Удар током"
"specials.name.electric_dragonfire","Электрический драконий огонь"
"specials.name.electric_jolt","Электрический разряд"
"specials.name.electric_stab","Удар электричеством"
"specials.name.electric_sting_dragon_pve","Электрическое жало"
"specials.name.electrified_claws","Электрические когти"
"specials.name.electrifying_gust_dragon_pve","Электрический порыв"
"specials.name.elegant_pulverizer","Элегантный распылитель"
"specials.name.elemental_corruption","Стихийное искажение"
"specials.name.elemental_infusion_arrow","Стрела стихийного смешения"
"specials.name.elemental_infusion_arrow_pve","Стрела стихийного смешения"
"specials.name.elemental_magic","Магия стихии"
"specials.name.emboldened_strike","Смелый удар"
"specials.name.emerald_flash","Изумрудная вспышка"
"specials.name.emerald_tide","Изумрудный прилив"
"specials.name.emerald_wind","Изумрудный ветер"
"specials.name.empowered_slash","Мощный удар"
"specials.name.empowering_bash","Усиливающий удар"
"specials.name.empowering_bash_deadly","Усиливающий удар"
"specials.name.en_garde","Настороже"
"specials.name.enchanted_antlers","Зачарованные рога"
"specials.name.enchanted_axe_swing","Взмах зачарованного топора"
"specials.name.enchanted_edge","Волшебная грань"
"specials.name.enchanted_elven_sword","Волшебный клинок эльфов"
"specials.name.enchanted_symphony","Чарующая симфония"
"specials.name.enchanting_melody","Чарующая мелодия"
"specials.name.endless_daggers","Бесконечные кинжалы"
"specials.name.energy_conjunction","Взаимодействие энергий"
"specials.name.energy_of_mjolnir","Энергия Мьельнира"
"specials.name.energy_steal_dragon_pve","Кража энергии"
"specials.name.entangling_shot","Путающий выстрел"
"specials.name.entrapping_enchantment","Ловчее заклинание"
"specials.name.erase_strength","Уничтожение силы"
"specials.name.erupting_slices","Вырывающиеся куски"
"specials.name.esprit_de_corps","Взаимовыручка"
"specials.name.essence_of_queen_nitocris","Сущность королевы Нитокрис"
"specials.name.eternal_bond","Вечная связь"
"specials.name.eternal_loyalty","Вечная преданность"
"specials.name.eternal_servitude","Вечное рабство"
"specials.name.ethereal","Призрак"
"specials.name.evading_dash","Резкое уклонение"
"specials.name.everlasting_wound","Незаживающая рана"
"specials.name.excalibur","Экскалибур"
"specials.name.excorcizing_arrow","Стрела изгнания"
"specials.name.explosive_goo_minions","Проверка прислужника"
"specials.name.explosive_o_lantern","Взрывчатый фонарь"
"specials.name.express_delivery","Срочная доставка"
"specials.name.exquisite_alchemy","Изысканная алхимия"
"specials.name.eye_of_panther","Глаз пантеры"
"specials.name.eye_of_the_storm","Око шторма"
"specials.name.eye_of_yog-sir","Глаз Йог-Сира"
"specials.name.fabled_fist","Легендарный кулак"
"specials.name.fabled_llama_ballad","Баллада прославленной ламы"
"specials.name.fairy_godmothers_blessing","Благословение феи-крестной"
"specials.name.faithful_force","Сила веры"
"specials.name.falcon_screech","Клекот сокола"
"specials.name.false_treat","Ложная угроза"
"specials.name.familiar_eater","Пожиратель прислужников"
"specials.name.familiar_witchcraft","Магия прислужника"
"specials.name.fangs_and_blades","Клыки и лезвия"
"specials.name.fangs_of_death","Клыки агонии"
"specials.name.fatal_dreams","Смертельные сны"
"specials.name.fatal_finisher","Добивающий удар"
"specials.name.fearless_charge","Бесстрашный рывок"
"specials.name.feather_tempest","Буря перьев"
"specials.name.feline_constellation","Кошачье созвездие"
"specials.name.feral_arrows","Яростные стрелы"
"specials.name.feral_bite","Свирепый укус"
"specials.name.feral_gust_dragon_pve","Бешеный шквал"
"specials.name.feral_peck","Клюющая ярость"
"specials.name.feral_revenge","Яростная месть"
"specials.name.feral_swing","Бешеная атака"
"specials.name.feyfire_slash","Удар волшебным огнем"
"specials.name.field_aid","Малое исцеление"
"specials.name.field_surgery","Большое исцеление"
"specials.name.fiendslayer","Убийца врагов"
"specials.name.fierce_fu_jow_pai","Яростная Школа когтя тигра"
"specials.name.fierce_pierce","Яростное пронзание"
"specials.name.fierce_slash","Лютый удар"
"specials.name.fiery_charge","Огненный натиск"
"specials.name.fiery_revenge","Огненное мщение"
"specials.name.fire_barrier_dragon_pve","Огненная преграда"
"specials.name.fire_bolt_zidane","Огненный разряд"
"specials.name.fire_storm","Огненная буря"
"specials.name.fire_tiger","Огненные тигры"
"specials.name.fireball","Огненный шар"
"specials.name.fireball_single","Огненный шар"
"specials.name.fireblade_slash","Удар огненным клинком"
"specials.name.fires_of_ragnarok","Огни Рагнарека"
"specials.name.fires_of_ragnarok_final","Огни Рагнарека"
"specials.name.firestone_daggers","Кремневые кинжалы"
"specials.name.firewall","Огненная стена"
"specials.name.firing_on_all_cylinders","Пальба из всех орудий"
"specials.name.first_frost","Первый мороз"
"specials.name.first_law_of_thermodynamics","Первый закон термодинамики"
"specials.name.fishbone_blades","Рыбьи клинки"
"specials.name.fists_of_atonement","Кулаки искупления"
"specials.name.flail_of_destruction","Бич разрушения"
"specials.name.flail_swing","Размах цепом"
"specials.name.flails_of_fury","Цепы ярости!"
"specials.name.flame_of_the_dragon_familiar","Пламя призванного дракона"
"specials.name.flame_of_the_lioness","Пламя львицы"
"specials.name.flame_storm","Пылающий шторм"
"specials.name.flame_surge","Всполох пламени"
"specials.name.flames_and_rejuvenation","Пламя и оживление"
"specials.name.flames_and_rejuvenation_pve","Пламя и оживление"
"specials.name.flames_of_revenge","Пламя мести"
"specials.name.flaming_fury","Пылающая ярость"
"specials.name.flaming_grudge","Пылающая обида"
"specials.name.flaming_mandibles","Пылающие мандибулы"
"specials.name.flaming_rapier","Пылающая рапира"
"specials.name.flaming_rapier_pve","Пылающая рапира"
"specials.name.flaming_sword","Пылающий меч"
"specials.name.flanking_maneuver","Обходной маневр"
"specials.name.flanking_maneuver_pve","Обходной маневр"
"specials.name.flare","Огненное дыхание"
"specials.name.flat_cake_for_sweethearts","Лепешка для любимых"
"specials.name.flat_cake_for_sweethearts_pve","Лепешка для любимых"
"specials.name.flawless_shot","Безупречный выстрел"
"specials.name.floral_sting","Цветочная нить"
"specials.name.flower_of_kindness","Цветы доброты"
"specials.name.fluff_in_the_air","Пух в воздухе"
"specials.name.flurry_of_blows","Шквал ударов"
"specials.name.flurry_of_slashes","Вихрь ударов"
"specials.name.flurry_of_slashes_deadly","Вихрь ударов"
"specials.name.flute_of_enchantment","Чарующая флейта"
"specials.name.focused_shot","Прицельный выстрел"
"specials.name.fog_machine","Дымомашина"
"specials.name.fog_of_the_fallen","Туман павших"
"specials.name.fog_of_the_glass_sabina","Витражный туман"
"specials.name.fog_of_the_perished","Туман погибших"
"specials.name.fog_of_the_toons","Мультяшный туман"
"specials.name.fog_of_the_vitrails","Витражный туман"
"specials.name.for_queen_and_hollow","За королеву и пустошь"
"specials.name.force_of_forest","Сила леса"
"specials.name.forceful_advance","Напористое продвижение"
"specials.name.forest_breath","Дыхание леса"
"specials.name.forest_command","Лесной приказ"
"specials.name.forest_friends","Лесные друзья"
"specials.name.forge_rush","Жар кузницы"
"specials.name.forged_axe_of_light","Выкованный топор света"
"specials.name.forged_from_gold","Выкованный из золота"
"specials.name.forged_in_fire","Рожденный в огне"
"specials.name.fracturing_cut","Расколотый порез"
"specials.name.fracturing_shards","Дробящиеся осколки"
"specials.name.fracturing_slash","Дробящий удар"
"specials.name.freezing_cold_cutter","Леденящий порез"
"specials.name.freezing_crystal","Морозный кристалл"
"specials.name.freezing_fairy_mist","Замораживающий туман фей"
"specials.name.freezing_power_hooks","Крюки морозной мощи"
"specials.name.frenzy_plant","Бешеный куст"
"specials.name.friendly_critters_feast","Пир дружелюбных зверьков"
"specials.name.frightening_pinch","Копье атлантов"
"specials.name.frightstrike","Вселяющий страх удар"
"specials.name.frogs_and_hoop","Лягушки и обруч"
"specials.name.from_shadows","Из теней"
"specials.name.from_shadows_pve","Из теней"
"specials.name.frost_and_rime","Мороз и рифма"
"specials.name.frost_bound_blade","Ледяной клинок"
"specials.name.frostbite","Обморожение"
"specials.name.frostbolt_dragon_pve","Ледяной снаряд"
"specials.name.frostneedle","Игра мороза"
"specials.name.frosty_axes","Морозные топоры"
"specials.name.frosty_punches","Морозные удары"
"specials.name.frozen_orb","Ледяной шар"
"specials.name.frozen_path","Русло"
"specials.name.frozen_wind","Морозный ветер"
"specials.name.frozen_wind_pve","Морозный ветер"
"specials.name.fruit_cocktail","Фруктовый коктейль"
"specials.name.fruits_of_labor","Порция чеснока"
"specials.name.fullmetal_pelt","Металлическая шкура"
"specials.name.furious_bite","Укус ярости"
"specials.name.furious_boar","Яростный вепрь"
"specials.name.furious_flames","Яростное пламя"
"specials.name.furry_loggers_swing","Удар мохнатого лесоруба"
"specials.name.fury_of_ash","Ярость пепла"
"specials.name.fury_of_grimnir","Ярость Гримнира"
"specials.name.fury_of_the_ancient_forest","Ярость древнего леса"
"specials.name.fury_of_the_fire_giants","Ярость огненных великанов"
"specials.name.fury_of_the_fire_giants_final","Ярость огненных великанов"
"specials.name.fury_of_the_mountain_lord","Ярость горного повелителя"
"specials.name.fury_of_the_silverback","Ярость доминанта"
"specials.name.gallant_stance","Галантная стойка"
"specials.name.gamblers_stance","Поза игрока"
"specials.name.gamblers_swing","Замах игрока"
"specials.name.gardeners_remedy","Лекарство садовника"
"specials.name.gargantuan_bite","Гигантский укус"
"specials.name.gargoyles_of_redemption","Горгульи возрождения"
"specials.name.gargoyles_of_redemption_pve","Горгульи искупления"
"specials.name.gargoyles_of_restoration","Горгульи восстановления"
"specials.name.generous_gifts","Щедрые дары"
"specials.name.gentle_paw","Мягкая лапка"
"specials.name.gentlemans_transformation","Трансформация джентльмена"
"specials.name.giddy_jab_dragon_pve","Веселый тычок"
"specials.name.gift_of_rejuvenation","Дар обновления"
"specials.name.gift_of_rock","Дар рока"
"specials.name.giftsack","Мешок подарков"
"specials.name.gilded_antlers","Золоченые рога"
"specials.name.glacial_atmosphere","Ледяная атмосфера"
"specials.name.glacial_crusher","Сокрушитель льда"
"specials.name.glacial_explosion","Ледниковый взрыв"
"specials.name.glacial_fissure_cleave","Ледниковый раскол"
"specials.name.glacial_resilience","Сопротивление льда"
"specials.name.glacial_shatter","Осколок ледника"
"specials.name.glacial_vortex","Ледяной вихрь"
"specials.name.glaive_of_flames","Глефа пламени"
"specials.name.glass_anger_of_forest_horghall","Гнев осколков"
"specials.name.glass_arrow","Стеклянная стрела"
"specials.name.glass_barrage_scarlett","Град стекла"
"specials.name.glass_beam","Стеклянный луч"
"specials.name.glass_bite","Отражающий укус"
"specials.name.glass_bolt","Стеклянная стрела"
"specials.name.glass_brew","Стеклянное варево"
"specials.name.glass_burning_strike","Стеклянный удар"
"specials.name.glass_chop","Стеклянный рубящий удар"
"specials.name.glass_cleave","Стеклянный раскол"
"specials.name.glass_cold_blast_ulmer","Стеклянная метель"
"specials.name.glass_cut","Стеклянный порез"
"specials.name.glass_cut_chao","Витражный порез"
"specials.name.glass_entangling_shot","Стеклянная стрела"
"specials.name.glass_finisher_thorne","Стеклянный добивающий удар"
"specials.name.glass_fireball","Стеклянный огненный шар"
"specials.name.glass_flame_smash","Стеклянный пламенный удар"
"specials.name.glass_four_blades","Удар стеклянных клинков"
"specials.name.glass_fury","Стеклянная ярость"
"specials.name.glass_gamblers_stance","Стойка стекла"
"specials.name.glass_hammer","Стеклянный молот"
"specials.name.glass_have_faith","Незамутненная вера"
"specials.name.glass_heal","Стеклянное исцеление"
"specials.name.glass_jolt","Стеклянный разряд"
"specials.name.glass_kick","Стеклянный удар"
"specials.name.glass_leaping_attack_dawa","Стеклянная атака"
"specials.name.glass_leeching_stars_renfeld","Стеклянные звезды"
"specials.name.glass_link","Стеклянная связь"
"specials.name.glass_massive_chop","Стеклянный рубящий удар"
"specials.name.glass_mist","Стеклянный туман"
"specials.name.glass_order","Приказ витража"
"specials.name.glass_peck","Прикосновение стекла"
"specials.name.glass_piercing_hit_tyrum","Стеклянный удар"
"specials.name.glass_piercing_strike","Стеклянный удар"
"specials.name.glass_prayer","Стеклянная молитва"
"specials.name.glass_pulverizer","Стеклянное распыление"
"specials.name.glass_pulverizer_tiburtus","Стеклянное распыление"
"specials.name.glass_purification","Остекление"
"specials.name.glass_ramming_rush","Стеклянный рывок"
"specials.name.glass_ramming_rush_isshtak","Стеклянный рывок"
"specials.name.glass_riposte","Стеклянный выпад"
"specials.name.glass_riposte_boril","Стеклянный выпад"
"specials.name.glass_shatter","Раскол стекла"
"specials.name.glass_shield_kadilen","Стеклянный щит"
"specials.name.glass_skin","Стеклянная кожа"
"specials.name.glass_slam","Стеклянный удар"
"specials.name.glass_slash","Стеклянный разрез"
"specials.name.glass_spear","Стеклянное копье"
"specials.name.glass_stab","Стеклянный тычок"
"specials.name.glass_stone_skin_gunnar","Стеклянная связь"
"specials.name.glass_strike","Стеклянный удар"
"specials.name.glass_strike_caedmon","Стеклянный удар"
"specials.name.glass_strike_magni","Стеклянный удар"
"specials.name.glass_swords","Стена стекла"
"specials.name.glass_thunderstrike_quintus","Стеклянный ультиматум"
"specials.name.glass_traps_oberon","Стеклянные ловушки"
"specials.name.glass_vines","Стеклянные лозы"
"specials.name.glass_volcano","Стеклянный вулкан"
"specials.name.glass_wall","Стеклянная стена"
"specials.name.glass_warcry","Стеклянный боевой клич"
"specials.name.gleaming_sword_and_iron_mail","Сияющий меч и железные доспехи"
"specials.name.glittering_sweep_dragon_pve","Сияющий взмах"
"specials.name.gloom_grenades","Мрачные гранаты"
"specials.name.gloomy_tune","Мрачный мотив"
"specials.name.glorious_grace","Сияющая грация"
"specials.name.glutinous_execution","Вязкая казнь"
"specials.name.gnomish_carnage","Гномская резня"
"specials.name.goat_rush","Козий набег"
"specials.name.goblin_explosives","Разрывной гоблин"
"specials.name.goblin_serenade","Гоблинская серенада"
"specials.name.god_of_the_underworld","Удар с того света"
"specials.name.gold_gauntlet","Золотая перчатка"
"specials.name.gold_rush","Золотая лихорадка"
"specials.name.gold_weaver","Золотая ткачиха"
"specials.name.golden_aura","Золотая аура"
"specials.name.golden_cicada","Золотая цикада"
"specials.name.golden_sacred_symbol","Золотой священный символ"
"specials.name.golden_thread","Золотые струны"
"specials.name.golem_crusher","Сокрушитель големов"
"specials.name.goodnight_lullaby","Колыбельная"
"specials.name.gooey_rose","Тягучая роза"
"specials.name.gorging_chew_blue","Жадное жевание"
"specials.name.gorging_chew_green","Жадное жевание"
"specials.name.gorging_chew_purple","Жадное жевание"
"specials.name.gorging_chew_red","Жадное жевание"
"specials.name.gorging_chew_yellow","Жадное жевание"
"specials.name.gorgyra","Крепость валькирии"
"specials.name.graceful_shot","Изящный выстрел"
"specials.name.graceless_ritual","Грешный ритуал"
"specials.name.grand_heist","Великое ограбление"
"specials.name.great_frost_axe","Великий морозный топор"
"specials.name.great_frost_hoe","Великая морозная мотыга"
"specials.name.greed_and_bribery","Жадность и взяточничество"
"specials.name.green_dragon_crescent_blade","Лунный клинок зеленого дракона"
"specials.name.green_dragon_inferno","Адский клинок зеленого дракона"
"specials.name.green_sparks_dragon_pve","Зеленые искры"
"specials.name.grim_awakening","Пробуждение мрака"
"specials.name.grimoire_skim","Шепот гримуара"
"specials.name.grips_of_longing","Тиски желания"
"specials.name.grips_of_longing_pve","Тиски желания"
"specials.name.grove_splash_dragon_pve","Всплеск рощи"
"specials.name.gruesome_charge","Жестокий рывок"
"specials.name.guard_the_garden","Стерегите сад!"
"specials.name.guardian_armor","Сторожевая броня"
"specials.name.guardians_retaliation","Возмездие стража"
"specials.name.guestip1_hero1_special","Attitude Adjustment"
"specials.name.guestip1_hero10_special","Figure-8-Leglock"
"specials.name.guestip1_hero2_special","Go To Sleep"
"specials.name.guestip1_hero3_special","Sweet Chin Music"
"specials.name.guestip1_hero4_special","Pedigree"
"specials.name.guestip1_hero5_special","K.O.D."
"specials.name.guestip1_hero6_special","Spear"
"specials.name.guestip1_hero7_special","Cross Rhodes"
"specials.name.guestip1_hero8_special","Riptide"
"specials.name.guestip1_hero9_special","The Stomp"
"specials.name.guiding_arrow","Направляющая стрела"
"specials.name.gust_of_restoration","Шквал восстановления"
"specials.name.gust_of_swiftness","Шквал скорости"
"specials.name.hack_and_slash","Мясорубка"
"specials.name.hacking_attack","Атака мечом"
"specials.name.hailstone_glare_dragon_pve","Блеск града"
"specials.name.hailstorm","Град"
"specials.name.halflings_wisdom","Мудрость полурослика"
"specials.name.halflings_wit","Мудрость полурослика"
"specials.name.hallowed_blade","Священный клинок"
"specials.name.halting_counter_strike","Тормозящий контрудар"
"specials.name.hammer_thump","Удар молотом"
"specials.name.harmonic_bash","Гармоническая атака"
"specials.name.harmonic_slam","Гармонический удар"
"specials.name.harpoon_sentry","Страж-гарпунщик"
"specials.name.harpy_claw","Коготь гарпии"
"specials.name.harrow_the_heart","Борона сердца"
"specials.name.hasty_trigger_finger","Палец на курке"
"specials.name.have_curiosity","Пробуждение надежды"
"specials.name.have_faith","Иметь Веру"
"specials.name.haze_of_the_deceased","Тьма павших"
"specials.name.head_hurl","Головокружение"
"specials.name.healing_chant","Исцеляющая песнь"
"specials.name.healing_fire_spirits","Целебные духи огня"
"specials.name.healing_gift","Бездумное исцеление"
"specials.name.healing_gift_anteros","Бездумное исцеление"
"specials.name.healing_gift_kabeiroi","Бездумное исцеление"
"specials.name.healing_mirror","Исцеляющее зеркало"
"specials.name.healthiest_catch","Здоровая ловушка"
"specials.name.hearty_stew","Наваристое варево"
"specials.name.heatstinger","Огненное жало"
"specials.name.heavy_fragrance","Навязчивый аромат"
"specials.name.heedless_hammer_flurry","Беспечный молотобойный вихрь"
"specials.name.heirloom_dagger","Наследный клинок"
"specials.name.helping_hands","Всегда под рукой"
"specials.name.hemlock_tea","Чай из болиголова"
"specials.name.herbal_remedies","Целебные травы"
"specials.name.herculean_throw","Богатырский бросок"
"specials.name.herd_stampede","Стадная паника"
"specials.name.here_catch","Лови-ка!"
"specials.name.heretic_slayer","Еретик-убийца"
"specials.name.heroic_noble","Бросок трезубца"
"specials.name.heroic_noble_deadly","Бросок трезубца"
"specials.name.herring_blaster","Селедочный бластер"
"specials.name.herring_surprise","Селедочный сюрприз"
"specials.name.hide_in_shadows","Среди теней"
"specials.name.high_altitude_ambush","Засада на большой высоте"
"specials.name.high_energy_field","Высокоэнергетическое поле"
"specials.name.high_noon_sun","Полуденное солнце"
"specials.name.holding_down_the_fort","Удержание обороны"
"specials.name.hollow_boast","Пустой хвастун"
"specials.name.holy_aura","Священная аура"
"specials.name.holy_guard","Священный страж"
"specials.name.holy_hibiscus_ale","Святой розовый эль"
"specials.name.holy_mark","Священная метка"
"specials.name.holy_splash","Священный всплеск"
"specials.name.home_run","Попадание в цель"
"specials.name.horn_attack","Атака рогами"
"specials.name.horrifying_wail","Ужасающее завывание"
"specials.name.horses_curse","Песчаный бриз"
"specials.name.hoverboard_slam","Удар ховербордом"
"specials.name.howling_sword","Воющий меч"
"specials.name.hungering_grave","Разверстая могила"
"specials.name.hunt_for_prey","Охота на жертву"
"specials.name.hunters_instinct","Охотничий инстинкт"
"specials.name.hunters_mark","Метка охотника"
"specials.name.hunters_true_shot","Точный выстрел охотника"
"specials.name.hunting_ballad","Охотничья баллада"
"specials.name.hunting_charge","Охотничий заряд"
"specials.name.hydra_bite","Укус гидры"
"specials.name.hymn_of_enrichment","Гимн обогащения"
"specials.name.hyper_porridge","Гиперовсянка"
"specials.name.hyperborean_hook","Северный крюк"
"specials.name.hypersonic_tackle","Сверхзвуковой захват"
"specials.name.hypnosis_dragon_pve","Гипноз"
"specials.name.ice_and_slice","Лед и нож"
"specials.name.ice_boom","Ледяной взрыв"
"specials.name.ice_cold_order","Ледяной орден"
"specials.name.ice_cream_smash","Удар мороженым"
"specials.name.ice_treatment","Ледяное обращение"
"specials.name.iceberg_aura","Аура айсберга"
"specials.name.iceberg_crush","Крушение айсберга"
"specials.name.iceberg_havoc","Ледниковый хаос"
"specials.name.icebound_howl","Леденящий вой"
"specials.name.icebound_ritual","Ритуал сковывания льдом"
"specials.name.icecold_finisher","Сокрушающий ледяной удар"
"specials.name.icehammer_smash","Удар ледяным молотом"
"specials.name.icy_axes","Льдистые топоры"
"specials.name.icy_mandibles","Ледяные жвала"
"specials.name.icy_resilience","Ледяная стойкость"
"specials.name.ill_bring_you_back","Я тебя верну"
"specials.name.ill_fated_experiment","Злополучный эксперимент"
"specials.name.imaginary_increments","Воображаемый рост"
"specials.name.immortal_annihilator","Бессмертный истребитель"
"specials.name.immortal_annihilator_deadly","Бессмертный истребитель"
"specials.name.immortal_punisher","Бессмертный каратель"
"specials.name.impairing_strike","Ослабляющий удар"
"specials.name.impale_and_devour","Проткнуть и поглотить"
"specials.name.impeding_bolts","Летящие стрелы"
"specials.name.impervious_formation","Неуязвимое построение"
"specials.name.impossible_groove","Невозможный ритм"
"specials.name.impossible_riddle","Неразрешимая загадка"
"specials.name.incite_ki","Воспламенение ци"
"specials.name.incite_ki2","Воспламенение ци"
"specials.name.indestructible_claw","Несокрушимый коготь"
"specials.name.indifferent_blade","Равнодушный клинок"
"specials.name.inevitable_demise","Неизбежная гибель"
"specials.name.infernal_chops","Адский резак"
"specials.name.infernal_drumstorm","Бой адских барабанов"
"specials.name.infernal_flames","Адское пламя"
"specials.name.infernal_jaws","Адские челюсти"
"specials.name.ink_bomb","Чернильная бомба"
"specials.name.innovative_lunge","Новаторский бросок"
"specials.name.insidious_goo","Коварная слизь"
"specials.name.inspiring_fencing","Воодушевляющее фехтование"
"specials.name.insurmountable_flux","Непреодолимый поток"
"specials.name.intimidating_stance","Угрожающая стойка"
"specials.name.invigorating_pollen","Бодрящая пыльца"
"specials.name.invisible_strike","Невидимый удар"
"specials.name.iron_discipline_cut","Разрез железной дисциплины"
"specials.name.iron_rocket_fist","Железный ракетный кулак"
"specials.name.ironbound_fury","Безбрежная ярость"
"specials.name.jab_and_hook","Джеб и хук"
"specials.name.jack_of_owl_trades","Мастер на все крылья"
"specials.name.jackal_strike","Удар шакала"
"specials.name.jade_blades","Нефритовые клинки"
"specials.name.jaws_of_the_river","Речные челюсти"
"specials.name.jewel_of_the_deep","Самоцвет глубин"
"specials.name.join_in_joyful_song","Счастливый хор"
"specials.name.joyful_noise","Радостный шум"
"specials.name.joyful_palette","Палитра радости"
"specials.name.judgement_of_goo","Правосудие слизи"
"specials.name.judgment_of_sun","Солнечная справедливость"
"specials.name.jungle_fury","Ярость джунглей"
"specials.name.jungle_riposte","Ответный удар джунглей"
"specials.name.jungle_slash","Ярость болот"
"specials.name.just_a_flesh_wound","Всего лишь царапина"
"specials.name.karnov","Страшное избиение"
"specials.name.katana_rain","Дождь из катан"
"specials.name.katana_rain_pve","Дождь из катан"
"specials.name.keep_the_peace","Поддержание мира"
"specials.name.keyknife_typhoon","Ключевой тайфун"
"specials.name.khans_order","Приказ Хана"
"specials.name.kindled_carpet","Разожженный ковер"
"specials.name.kings_blood_poisoning","Ночь скорби"
"specials.name.kings_curse","Песчаная буря"
"specials.name.kings_curse_pve","Песчаная буря"
"specials.name.kings_feast","Пир короля"
"specials.name.kite_of_endurance","Воздушный змей стойкости"
"specials.name.kitten_stampede","Ураган из котят"
"specials.name.knights_armor","Броня рыцаря"
"specials.name.knights_fury","Ярость рыцаря"
"specials.name.knights_parry","Защита рыцаря"
"specials.name.kong_smash","Удар гориллы"
"specials.name.kunai_assault","Атака кунаев"
"specials.name.lacerating_leap","Режущий прыжок"
"specials.name.lacerating_letters","Разрывающие буквы"
"specials.name.lacerating_whip","Режущий кнут"
"specials.name.ladys_charm","Женские чары"
"specials.name.ladys_flowers","Цветы дамы"
"specials.name.lament_of_the_hunt","Охотничий плач"
"specials.name.lance_of_avarice","Копье алчности"
"specials.name.lance_thrust","Удар копьем"
"specials.name.landslide","Оползень"
"specials.name.lantern_of_insanity","Фонарь безумия"
"specials.name.larva_prescription","Рецепт на паразита"
"specials.name.lash_of_the_whip","Удар кнутом"
"specials.name.last_words","Последние слова"
"specials.name.laundry_day","День стирки"
"specials.name.lava_blast","Выплеск лавы"
"specials.name.lava_spit","Плевок лавой"
"specials.name.lava_splash_dragon_pve","Всплеск духовного огня"
"specials.name.lavablow","Атака пламени"
"specials.name.lavablow_pve","Атака пламени"
"specials.name.lavaslash","Удар лавой"
"specials.name.leaf_blast","Взрыв листьев"
"specials.name.leafglow_bloom","Пробуждение листьев"
"specials.name.leaping_attack","Атака в прыжке"
"specials.name.leeching_saw","Впивающаяся пила"
"specials.name.leeching_stars","Впивающиеся звезды"
"specials.name.leeching_worms","Кровососущие черви"
"specials.name.legacy_of_darkness","Наследие тьмы"
"specials.name.legerdemain","Ловкий обман"
"specials.name.legerdemain_heart","Крест"
"specials.name.legerdemain_joker","Звезды"
"specials.name.legerdemain_skull","Череп"
"specials.name.legions_of_darkness","Легионы тьмы"
"specials.name.legions_of_tyrant","Легионы тирана"
"specials.name.lethal_needles","Смертоносные иглы"
"specials.name.lethal_needles2","Смертоносные иглы"
"specials.name.levitating_lunchbox_deluxe","Левитирующий люкс-ланчбокс"
"specials.name.lifeforce_leech","Высасывающая жизнь пиявка"
"specials.name.light_barrier_dragon_pve","Легкая преграда"
"specials.name.light_grenades","Световые гранаты"
"specials.name.light_grenades2","Световые гранаты"
"specials.name.light_my_fire","Зажги мое пламя"
"specials.name.lightning_charge","Заряд молнии"
"specials.name.lightning_stream","Поток молний"
"specials.name.lightning_stream2","Поток молний"
"specials.name.lightning_ultimatum","Грозовой ультиматум"
"specials.name.lightning_ultimatum_pve","Грозовой ультиматум"
"specials.name.litter_of_kittens","Выводок котят"
"specials.name.liturgy_of_the_fallen","Месса павших"
"specials.name.looking_for_love","В поисках любви"
"specials.name.lookouts_refreshment","Передышка в убежище"
"specials.name.loom_of_destruction","Ткацкий станок разрушения"
"specials.name.lord_of_the_jungle","Повелитель джунглей"
"specials.name.lords_blood_poisoning","Рассвет скорби"
"specials.name.love_at_first_sight","Любовь с первого взгляда"
"specials.name.love_conquers_all","Для любви нет преград"
"specials.name.love_conquers_all_pve","Для любви нет преград"
"specials.name.loving_queen","Любящая королева"
"specials.name.lucky_coin","Счастливая монета"
