"heroes.name_fancy.astral_cosmicspeaker","星界精靈天文學家"
"heroes.name_fancy.forest_male_elf_costume_glass","玻璃矛大師"
"heroes.name_fancy.forest_male_elf_costume_king","月光之王"
"heroes.name_fancy.forest_thug","傭兵惡棍"
"heroes.name_fancy.forest_titan","木材長者"
"heroes.name_fancy.forest_titan_costume_cute","森林公仔"
"heroes.name_fancy.forest_titan_costume_glass","森林彩繪玻璃"
"heroes.name_fancy.forest_titan_costume_jester","木質小丑"
"heroes.name_fancy.forest_titan_costume_nightmare","森之夢魘"
"heroes.name_fancy.forest_woodsman","天真樵夫"
"heroes.name_fancy.forest_woodsman_warrior","勇猛兄弟"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","匿蹤弟兄"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","強大公仔"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","強大彩繪玻璃"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","強大高地人"
"heroes.name_fancy.fox_ashen","銀背之狐"
"heroes.name_fancy.fox_ember","召火者狐狸"
"heroes.name_fancy.fox_foxglove","狡猾蝙蝠耳狐"
"heroes.name_fancy.fox_foxley","法外狂徒灰狐狸"
"heroes.name_fancy.fox_halcyon","哨兵灰狐狸"
"heroes.name_fancy.fox_nettletail","善良守林者狐狸"
"heroes.name_fancy.fox_nibbles","飢餓狐狸幼崽"
"heroes.name_fancy.fox_riverfang","咒法師沙狐"
"heroes.name_fancy.fox_rust","守護者紅狐"
"heroes.name_fancy.fox_sable","流亡狐狸公主"
"heroes.name_fancy.fox_shadowfang","收骨者沙狐"
"heroes.name_fancy.fox_silverpaw","耳廓狐海盜"
"heroes.name_fancy.fox_spiff","狐狸皇家騎士"
"heroes.name_fancy.fox_swiftpaw","刺客銀狐"
"heroes.name_fancy.fox_whitefang","遊俠極地狐"
"heroes.name_fancy.gargoyle_arco","不屈石像鬼"
"heroes.name_fancy.gargoyle_bellerive","邪惡石像鬼"
"heroes.name_fancy.gargoyle_betty","敏捷石像鬼"
"heroes.name_fancy.gargoyle_budatin","惡毒石像鬼"
"heroes.name_fancy.gargoyle_el_duque","尊貴石像鬼"
"heroes.name_fancy.gargoyle_gaillard","精明石像鬼"
"heroes.name_fancy.gargoyle_garten","派對石像鬼"
"heroes.name_fancy.gargoyle_goseck","陰險石像鬼"
"heroes.name_fancy.gargoyle_grumbl","明智石像鬼"
"heroes.name_fancy.gargoyle_guffa","堅忍石像鬼"
"heroes.name_fancy.gargoyle_hilda","無畏石像鬼"
"heroes.name_fancy.gargoyle_hohenwerf","猙獰石像鬼"
"heroes.name_fancy.gargoyle_kalo","異常石像鬼"
"heroes.name_fancy.gargoyle_kemeny","硬化石像鬼"
"heroes.name_fancy.gargoyle_matrera","幽暗石像鬼"
"heroes.name_fancy.gargoyle_mena","迂腐石像鬼"
"heroes.name_fancy.gargoyle_penolite","無情石像鬼"
"heroes.name_fancy.gargoyle_pophit","名家石像鬼"
"heroes.name_fancy.gargoyle_soroca","憤怒石像鬼"
"heroes.name_fancy.gargoyle_uwe","毛茸茸石像鬼"
"heroes.name_fancy.gargoyle_vincent","害怕的石像鬼"
"heroes.name_fancy.gargoyle_vonreine","烈火石像鬼"
"heroes.name_fancy.garrison_archibald","不安的軍需官"
"heroes.name_fancy.garrison_beatrice","軍需官中士"
"heroes.name_fancy.garrison_caelen","沉思詩人"
"heroes.name_fancy.garrison_ciara","嚴苛司令"
"heroes.name_fancy.garrison_dima","豬大師"
"heroes.name_fancy.garrison_fergus","鎮定總管"
"heroes.name_fancy.garrison_flamehide","蜥蜴人賭徒"
"heroes.name_fancy.garrison_frank_fangs_brimwell","街頭智慧中士"
"heroes.name_fancy.garrison_frostsnout","蜥蜴人旗手"
"heroes.name_fancy.garrison_godfrey","嘮叨守衛"
"heroes.name_fancy.garrison_greg","烈酒大師"
"heroes.name_fancy.garrison_iarlaith","有型的劍士"
"heroes.name_fancy.garrison_iocantha","武器大師"
"heroes.name_fancy.garrison_kolya","冷漠哨兵"
"heroes.name_fancy.garrison_maisie","開心梅森"
"heroes.name_fancy.garrison_pip","緊張信使"
"heroes.name_fancy.garrison_rosalind","開朗隊長"
"heroes.name_fancy.garrison_shimmerscale","蜥蜴人提燈者"
"heroes.name_fancy.garrison_theodosius","勇敢下士"
"heroes.name_fancy.garrison_vanya","堅定工兵"
"heroes.name_fancy.garrison_violet_potts","樂天半身人"
"heroes.name_fancy.garrison_william","緊張夜間守衛"
"heroes.name_fancy.goblin_acidfire","哥布林死靈法師"
"heroes.name_fancy.goblin_archer","敏捷獵手"
"heroes.name_fancy.goblin_boom_and_fang","魯莽雙人組"
"heroes.name_fancy.goblin_boots","毫無知覺的守衛"
"heroes.name_fancy.goblin_darkfeather","嫻熟的老鷹訓練師"
"heroes.name_fancy.goblin_deadboot","哥布林邪教徒"
"heroes.name_fancy.goblin_fighter","扒手"
"heroes.name_fancy.goblin_fighter_costume_cute","扒手公仔"
"heroes.name_fancy.goblin_fighter_costume_evil","割喉者"
"heroes.name_fancy.goblin_fighter_costume_glass","玻璃扒手"
"heroes.name_fancy.goblin_fizzcoil","哥布林劇團小提琴手"
"heroes.name_fancy.goblin_goldie","哥布林美女"
"heroes.name_fancy.goblin_grimsteel","寒山隱士"
"heroes.name_fancy.goblin_kettle","廚房鍊金術士"
"heroes.name_fancy.goblin_leafwizzle","野獸魔法師"
"heroes.name_fancy.goblin_madhammer","哥布林鬥士"
"heroes.name_fancy.goblin_mage","腐沼女巫"
"heroes.name_fancy.goblin_mage_costume_candy","糖果女巫"
"heroes.name_fancy.goblin_mage_costume_cute","巫醫公仔"
"heroes.name_fancy.goblin_mage_costume_glass","玻璃女巫"
"heroes.name_fancy.goblin_mage_costume_toad","蛤蟆女巫"
"heroes.name_fancy.goblin_pepperflame","知名歌布林吹笛手"
"heroes.name_fancy.goblin_rocket","破壞專家"
"heroes.name_fancy.goblin_scrollbeast","退休的熊騎手"
"heroes.name_fancy.goblin_smarttongue","哥布林吟遊詩人"
"heroes.name_fancy.guardian_bat","特爾托克夢魘"
"heroes.name_fancy.guardian_cat_warrior","特爾托克勇士"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","兇猛黑豹"
"heroes.name_fancy.guardian_chameleon","特爾托克術士"
"heroes.name_fancy.guardian_elephant","特爾托克真實之箭"
"heroes.name_fancy.guardian_falcon_priest","特爾托克牧師"
"heroes.name_fancy.guardian_gazelle","特爾托克德魯伊"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","特爾托克敏捷先鋒"
"heroes.name_fancy.guardian_gorilla_chieftain","特爾托克酋長"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","金剛征服者"
"heroes.name_fancy.guardian_hippo","特爾托克狂戰士"
"heroes.name_fancy.guardian_jackal_assassin","特爾托克刺客"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","特爾托克骨頭收藏家"
"heroes.name_fancy.guardian_lemur","特爾托克修補者"
"heroes.name_fancy.guardian_owl_gentleman","特爾托克精英守護者"
"heroes.name_fancy.guestip1_hero1","The Greatest of All Time"
"heroes.name_fancy.guestip1_hero10","The Queen of WWE"
"heroes.name_fancy.guestip1_hero2","The Second City Saint"
"heroes.name_fancy.guestip1_hero3","The Heartbreak Kid"
"heroes.name_fancy.guestip1_hero4","The Game"
"heroes.name_fancy.guestip1_hero5","The EST of WWE"
"heroes.name_fancy.guestip1_hero6","Original Tribal Chief"
"heroes.name_fancy.guestip1_hero7","The American Nightmare"
"heroes.name_fancy.guestip1_hero8","Mami"
"heroes.name_fancy.guestip1_hero9","The Messiah"
"heroes.name_fancy.halloween_alucard","吸血鬼望族"
"heroes.name_fancy.halloween_alucard_costume_mafia","吸血鬼領袖"
"heroes.name_fancy.halloween_amber","吸血鬼血勇士"
"heroes.name_fancy.halloween_ana_belle","莫洛維亞清潔婦"
"heroes.name_fancy.halloween_chester","不懷好意的鬼魂"
"heroes.name_fancy.halloween_edwin","狡猾的管家"
"heroes.name_fancy.halloween_francine","女妖"
"heroes.name_fancy.halloween_francine_costume_mafia","女悍匪"
"heroes.name_fancy.halloween_frank","妖怪"
"heroes.name_fancy.halloween_frank_costume_mafia","匪徒"
"heroes.name_fancy.halloween_goopy","凝膠黏液"
"heroes.name_fancy.halloween_jack","吟遊南瓜"
"heroes.name_fancy.halloween_lucinda","王者掃帚持有者"
"heroes.name_fancy.halloween_matilda","褻瀆的糕點師"
"heroes.name_fancy.halloween_miriam_and_midnight","神秘雙人組"
"heroes.name_fancy.halloween_vanda","吸血鬼女王"
"heroes.name_fancy.halloween_vanda_costume_mafia","罪惡女王"
"heroes.name_fancy.halloween_wayne","莫洛維亞的偉大魔法師"
"heroes.name_fancy.hidden_dark_god_myztero","繫咒難題"
"heroes.name_fancy.holy_god_aurox","光耀狂戰士"
"heroes.name_fancy.holy_god_aviana","飛鷹司令"
"heroes.name_fancy.holy_god_bai_yeong","劍舞者"
"heroes.name_fancy.holy_god_celidana","聖職人員領袖"
"heroes.name_fancy.holy_god_delilah","禁閉島英雄"
"heroes.name_fancy.holy_god_delilah_costume_guardian","神廟守護者"
"heroes.name_fancy.holy_god_devana","頑強女獵者"
"heroes.name_fancy.holy_god_drake_lee","武術大師"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","靜謐戰士"
"heroes.name_fancy.holy_god_faeona","精靈白法師"
"heroes.name_fancy.holy_god_gilligan","異想天開的冒險家"
"heroes.name_fancy.holy_god_hanitra","雷慕利亞女神"
"heroes.name_fancy.holy_god_ithar","正直貓竊賊"
"heroes.name_fancy.holy_god_kara","中空衛士"
"heroes.name_fancy.holy_god_malosi","現任冠軍"
"heroes.name_fancy.holy_god_may","幸福採集者"
"heroes.name_fancy.holy_god_musashi","無敵浪人"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","逃跑藝術家"
"heroes.name_fancy.holy_god_neith","開路人"
"heroes.name_fancy.holy_god_onatel","盲人先知"
"heroes.name_fancy.holy_god_ranvir","神聖人馬怪"
"heroes.name_fancy.holy_god_uraeus","奧術大臣"
"heroes.name_fancy.holy_god_zora","玫瑰騎士"
"heroes.name_fancy.ice_god_alexandrine","禦惡之盾"
"heroes.name_fancy.ice_god_areax","半馬冰雪法師"
"heroes.name_fancy.ice_god_athena","冰雪神仙"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","戰爭女神"
"heroes.name_fancy.ice_god_balur","殘暴角鬥士"
"heroes.name_fancy.ice_god_callum","無情追跡者"
"heroes.name_fancy.ice_god_claeg","受詛咒治療師"
"heroes.name_fancy.ice_god_eskimo","冰雪巨人獵手"
"heroes.name_fancy.ice_god_eskimo_costume_champion","冰山勇士"
"heroes.name_fancy.ice_god_frida","極地威脅"
"heroes.name_fancy.ice_god_frosth","冬季使者"
"heroes.name_fancy.ice_god_glenda","魔法教母"
"heroes.name_fancy.ice_god_iris","驅散專家"
"heroes.name_fancy.ice_god_klaern","霜術士"
"heroes.name_fancy.ice_god_mene","黑夜精靈皇后"
"heroes.name_fancy.ice_god_miki","冰霜怪獸殺手"
"heroes.name_fancy.ice_god_nerasis","寧靜死亡"
"heroes.name_fancy.ice_god_october","冰封高地人"
"heroes.name_fancy.ice_god_october_costume_farmer","冰封農夫"
"heroes.name_fancy.ice_god_perseus","宙斯之子"
"heroes.name_fancy.ice_god_perseus_costume_frozen","博亞斯的挑戰者"
"heroes.name_fancy.ice_god_raffaele","寧靜連結者"
"heroes.name_fancy.ice_god_sini","蔚藍召換師"
"heroes.name_fancy.ice_god_suzuna","時尚咒術師"
"heroes.name_fancy.ice_god_vela","水生咒法師"
"heroes.name_fancy.journey_change","月光選召者"
"heroes.name_fancy.journey_erlang_shen","天之戰神"
"heroes.name_fancy.journey_general_yin","變形怪將軍"
"heroes.name_fancy.journey_heifeng_guai","黑風惡魔"
"heroes.name_fancy.journey_nineheaded_beast","九頭王夫"
"heroes.name_fancy.journey_queen_guowang","絕世美女"
"heroes.name_fancy.journey_sha_wujing","沙和尚"
"heroes.name_fancy.journey_tang_sanzang","河中大神秘"
"heroes.name_fancy.journey_xie_zi_jing","蠍子女惡魔"
"heroes.name_fancy.journey_xiong_shanjun","熊山領主"
"heroes.name_fancy.journey_xiwangmu","王母娘娘"
"heroes.name_fancy.kalevala_aino","夏日少女"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","聖湖少女"
"heroes.name_fancy.kalevala_iku_turso","深淵野獸"
"heroes.name_fancy.kalevala_ilmarinen","專家鐵匠"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","專家工匠"
"heroes.name_fancy.kalevala_joukahainen","猙獰獵人"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","冰凍獵人"
"heroes.name_fancy.kalevala_kullervo","復仇之子"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","戰疤之子"
"heroes.name_fancy.kalevala_lemminkainen","不死冠軍"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","消逝冠軍"
"heroes.name_fancy.kalevala_louhi","北方女巫"
"heroes.name_fancy.kalevala_louhi_costume_mistress","北方夫人"
"heroes.name_fancy.kalevala_mielikki","森林之靈"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","大熊保衛者"
"heroes.name_fancy.kalevala_mother_lemminkainen","勇士救星"
"heroes.name_fancy.kalevala_otso","大草原遊蕩者"
"heroes.name_fancy.kalevala_para","家族密友"
"heroes.name_fancy.kalevala_suomuhauki","笨重長矛"
"heroes.name_fancy.kalevala_ukkonen","維納莫寧的受詛咒同族"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","維納莫寧的煉獄同族"
"heroes.name_fancy.kalevala_vainamoinen","永恆吟遊詩人"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","永恆智者"
"heroes.name_fancy.kingdom_cao_cao","魏國主公"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","冰雪軍閥"
"heroes.name_fancy.kingdom_diaochan","絕世美人"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","花美人"
"heroes.name_fancy.kingdom_guan_yu","美髯驍將"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","煉獄將軍"
"heroes.name_fancy.kingdom_jing","蜀國步兵"
"heroes.name_fancy.kingdom_li","吳國步兵"
"heroes.name_fancy.kingdom_liu_bei","蜀國主公"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","森林軍閥"
"heroes.name_fancy.kingdom_lu_bu","暴怒戰神"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","憤怒猛虎軍閥"
"heroes.name_fancy.kingdom_sun_quan","吳國主公"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","財富軍閥"
"heroes.name_fancy.kingdom_sun_shangxiang","名門女將"
"heroes.name_fancy.kingdom_wang_yuanji","貴裔紳女"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","溫柔書法家"
"heroes.name_fancy.kingdom_xiahou_dun","獨眼將軍"
"heroes.name_fancy.kingdom_yao","魏國步兵"
"heroes.name_fancy.kingdom_zhang_fei","鐵血將軍"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","無情熊將軍"
"heroes.name_fancy.kingdom_zhou_yu","青年將才"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","烏鴉司令"
"heroes.name_fancy.kingdom_zhuge_liang","神機軍師"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","至尊軍師"
"heroes.name_fancy.knights_bauchan","阿瓦隆小惡魔"
"heroes.name_fancy.knights_black_knight","阿瓦隆恐懼"
"heroes.name_fancy.knights_black_knight_costume_negative","墮落騎士"
"heroes.name_fancy.knights_gawain","蔚藍騎士"
"heroes.name_fancy.knights_green_knight","阿瓦隆挑戰者"
"heroes.name_fancy.knights_guinevere","阿瓦隆女王"
"heroes.name_fancy.knights_guinevere_costume_rider","阿瓦隆的龍騎士"
"heroes.name_fancy.knights_king_arthur","阿瓦隆之王"
"heroes.name_fancy.knights_lady_of_the_lake","阿瓦隆女巫"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","刀鋒女士"
"heroes.name_fancy.knights_merlin","阿瓦隆巫師"
"heroes.name_fancy.knights_merlin_costume_astrology","阿瓦隆的天文巫師"
"heroes.name_fancy.knights_morgan_le_fay","阿瓦隆女巫"
"heroes.name_fancy.knights_sir_lancelot","阿瓦隆騎士"
"heroes.name_fancy.knights_treevil","阿瓦隆惡魔"
"heroes.name_fancy.lionman_barbarian","最後的來奧爾"
"heroes.name_fancy.lionman_barbarian_costume_armor","來奧爾之王"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","來奧爾保母"
"heroes.name_fancy.lionman_barbarian_costume_cute","來奧爾公仔"
"heroes.name_fancy.lionman_barbarian_costume_glass","玻璃來奧爾"
"heroes.name_fancy.lizardman_trapper","蜥蜴人酋長"
"heroes.name_fancy.lizardman_trapper_costume_cute","酋長公仔"
"heroes.name_fancy.lizardman_trapper_costume_fisher","蜥蜴人漁夫"
"heroes.name_fancy.lizardman_trapper_costume_glass","玻璃酋長"
"heroes.name_fancy.lizardman_trapper_costume_shaman","蜥蜴人長老"
"heroes.name_fancy.lizardman_warrior","蜥蜴人戰士"
"heroes.name_fancy.lizardman_warrior_costume_cute","公仔戰士"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","蜥蜴人先祖"
"heroes.name_fancy.lizardman_warrior_costume_glass","玻璃戰士"
"heroes.name_fancy.lunar_new_year_baishu","農曆雜技鼠"
"heroes.name_fancy.lunar_new_year_gongniu","農曆守護者公牛"
"heroes.name_fancy.lunar_new_year_laohu","農曆老虎鬥士"
"heroes.name_fancy.lunar_new_year_qinglong","農曆軍師龍"
"heroes.name_fancy.lunar_new_year_xiaoqing","農曆音樂家蛇"
"heroes.name_fancy.lunar_new_year_xiaotu","農曆兔守護者"
"heroes.name_fancy.magic_agrafena","最高總管"
"heroes.name_fancy.magic_agrafena_costume_dark","至尊暗黑女巫"
"heroes.name_fancy.magic_anastasia","學徒召喚師"
"heroes.name_fancy.magic_anton","年輕學者"
"heroes.name_fancy.magic_becky","星光咒法師"
"heroes.name_fancy.magic_camilla","奧術修補匠"
"heroes.name_fancy.magic_carpet_agadh","魔毯刺客"
"heroes.name_fancy.magic_carpet_bart","魔毯飆客"
"heroes.name_fancy.magic_carpet_bertha","魔毯工匠"
"heroes.name_fancy.magic_carpet_elyssa","魔毯美食家"
"heroes.name_fancy.magic_carpet_lando","魔毯巫師"
"heroes.name_fancy.magic_carpet_lilli","魔毯貓夫人"
"heroes.name_fancy.magic_carpet_manpip","緊張的魔毯飛行者"
"heroes.name_fancy.magic_carpet_naeem","魔毯漂泊者"
"heroes.name_fancy.magic_carpet_ragrim","魔毯隱士"
"heroes.name_fancy.magic_carpet_zazha","魔毯修補者"
"heroes.name_fancy.magic_cristobal","魅力教授"
"heroes.name_fancy.magic_dolgoon","博學圖書館員"
"heroes.name_fancy.magic_jett","祭品傳令官"
"heroes.name_fancy.magic_kornel","資深照護者"
"heroes.name_fancy.magic_lucy","魔球天才"
"heroes.name_fancy.magic_milena","祕法教師"
"heroes.name_fancy.magic_milena_costume_ice","極地咒語老師"
"heroes.name_fancy.magic_motega","管理長"
"heroes.name_fancy.magic_nadezhda","高塔總長"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","高塔郵政局長"
"heroes.name_fancy.magic_ray","宮廷勇士"
"heroes.name_fancy.magic_ray_costume_spiky","博安寶勇士"
"heroes.name_fancy.magic_roxia","遠古塗鴉狂熱者"
"heroes.name_fancy.magic_sergei","祕法研習生"
"heroes.name_fancy.magic_telonius","木地人馬"
"heroes.name_fancy.magic_ulius","奇特發明家巫師"
"heroes.name_fancy.magic_vaishali","神秘西洋棋大師"
"heroes.name_fancy.magic_vaishali_costume_chef","神秘餡餅大師"
"heroes.name_fancy.magic_willow","飄浮大師"
"heroes.name_fancy.magitech_sniper","魔導狙擊手"
"heroes.name_fancy.magitech_sniper_costume_cute","狙擊手公仔"
"heroes.name_fancy.magitech_sniper_costume_glass","玻璃狙擊手"
"heroes.name_fancy.magitech_sniper_costume_steampunk","蒸氣龐克狙擊手"
"heroes.name_fancy.magitech_sniper_costume_undead","不死狙擊手"
"heroes.name_fancy.mahayoddha_bhima","伐由之子"
"heroes.name_fancy.mahayoddha_chitrangada","曼尼普拉的戰士公主"
"heroes.name_fancy.masquerade_alessia","雅拉迪亞的追隨者"
"heroes.name_fancy.masquerade_aradia","巫術蒙面女神"
"heroes.name_fancy.masquerade_carmenta","蒙面咒語女神"
"heroes.name_fancy.masquerade_cel","蒙面地之女神"
"heroes.name_fancy.masquerade_februus","蒙面淨化之神"
"heroes.name_fancy.masquerade_fortuna","蒙面命運之女神"
"heroes.name_fancy.masquerade_fosco","非波斯的追隨者"
"heroes.name_fancy.masquerade_jana","蒙面月神"
"heroes.name_fancy.masquerade_jove","蒙面天之神"
"heroes.name_fancy.masquerade_umbria","蒙面暗影女神"
"heroes.name_fancy.mighty_pet_barkley","戰爭巴哥犬"
"heroes.name_fancy.mighty_pet_bubbles","錯覺藝術模仿者"
"heroes.name_fancy.mighty_pet_chomper","倉鼠鬥士冠軍"
"heroes.name_fancy.mighty_pet_cinnamon","極圈騎士"
"heroes.name_fancy.mighty_pet_cupcake","利爪強盜"
"heroes.name_fancy.mighty_pet_furdinand","犬類惡棍遠征"
"heroes.name_fancy.mighty_pet_hachiko","忠誠狗狗"
"heroes.name_fancy.mighty_pet_luna","新月貓頭鷹"
"heroes.name_fancy.mighty_pet_ribbit","青蛙王國角鬥士"
"heroes.name_fancy.mighty_pet_rufus","毛茸茸樵夫"
"heroes.name_fancy.mighty_pet_snowball","利爪流浪貓"
"heroes.name_fancy.mighty_pet_toto","犬類說書人"
"heroes.name_fancy.mighty_pet_waddles","鴨衛隊隊長"
"heroes.name_fancy.mimic_ascension_item_blue","邪惡詭笑寶箱"
"heroes.name_fancy.mimic_ascension_item_green","邪惡詭笑寶箱"
"heroes.name_fancy.mimic_ascension_item_purple","邪惡詭笑寶箱"
"heroes.name_fancy.mimic_ascension_item_red","邪惡詭笑寶箱"
"heroes.name_fancy.mimic_ascension_item_yellow","邪惡詭笑寶箱"
"heroes.name_fancy.mimic_training_hero_blue","千牙寶藏"
"heroes.name_fancy.mimic_training_hero_green","千牙寶藏"
"heroes.name_fancy.mimic_training_hero_purple","千牙寶藏"
"heroes.name_fancy.mimic_training_hero_red","千牙寶藏"
"heroes.name_fancy.mimic_training_hero_yellow","千牙寶藏"
"heroes.name_fancy.monster_hunter_adalinda","狩獵公主"
"heroes.name_fancy.monster_hunter_amund","頑強追蹤者"
"heroes.name_fancy.monster_hunter_basil","狩獵之鼠"
"heroes.name_fancy.monster_hunter_berit","綠寶石格鬥者"
"heroes.name_fancy.monster_hunter_bogart","沼澤獵人"
"heroes.name_fancy.monster_hunter_bonecrusher","銀背族長"
"heroes.name_fancy.monster_hunter_cedar","黑猩猩鐵鍊勇士"
"heroes.name_fancy.monster_hunter_cleaver","狩獵酋長"
"heroes.name_fancy.monster_hunter_dabria","獵人玄學家"
"heroes.name_fancy.monster_hunter_dawn","吟遊獵人"
"heroes.name_fancy.monster_hunter_dubhain","風暴神選"
"heroes.name_fancy.monster_hunter_ebba","傭兵獵人"
"heroes.name_fancy.monster_hunter_edelaide","荒野流浪者"
"heroes.name_fancy.monster_hunter_fianna","森林陷阱施放者"
"heroes.name_fancy.monster_hunter_goretooth","野蠻獵人"
"heroes.name_fancy.monster_hunter_greel","狂野劍客"
"heroes.name_fancy.monster_hunter_hammertusk","魁梧猛擊野人"
"heroes.name_fancy.monster_hunter_hawthorn","老練獵人"
"heroes.name_fancy.monster_hunter_hurricane","猿猴刺客"
"heroes.name_fancy.monster_hunter_kai","騎士獵人"
"heroes.name_fancy.monster_hunter_knuckles","獼猴哨兵"
"heroes.name_fancy.monster_hunter_maheegan","追狼者"
"heroes.name_fancy.monster_hunter_malin","泰坦骨勇士"
"heroes.name_fancy.monster_hunter_meadow","部落女獵人"
"heroes.name_fancy.monster_hunter_mistweaver","猩猩鬥士"
"heroes.name_fancy.monster_hunter_njal","北風獵人"
"heroes.name_fancy.monster_hunter_numbskull","笨拙骷髏"
"heroes.name_fancy.monster_hunter_otis","刀王獵人"
"heroes.name_fancy.monster_hunter_revna","紅玉髓獵人"
"heroes.name_fancy.monster_hunter_ruadh","深淵獵人"
"heroes.name_fancy.monster_hunter_sigyn","弄蝎人"
"heroes.name_fancy.monster_hunter_sorcha","執著獵人"
"heroes.name_fancy.monster_hunter_sorrow","冰封幻影"
"heroes.name_fancy.monster_hunter_staintongue","無情獵人"
"heroes.name_fancy.monster_hunter_sune","孔雀石獵人"
"heroes.name_fancy.monster_hunter_thunderclap","狂怒猩猩"
"heroes.name_fancy.monster_hunter_thura","星佑獵人"
"heroes.name_fancy.monster_hunter_tremor","竹劍大師"
"heroes.name_fancy.monster_hunter_waterpipe","魚叉工程師"
"heroes.name_fancy.moth_auricarc","飛蛾神射手大師"
"heroes.name_fancy.moth_chimister","實驗室飛蛾"
"heroes.name_fancy.moth_chunkyroi","飛蛾侯爵"
"heroes.name_fancy.moth_furgeant","巨蛾"
"heroes.name_fancy.moth_gardered","無畏蛾"
"heroes.name_fancy.moth_grovevert","蛾人養育者"
"heroes.name_fancy.moth_joyvert","音樂家摩桑絲"
"heroes.name_fancy.moth_lilareine","侯爵夫人蛾"
"heroes.name_fancy.moth_limeboire","飛蛾酒吧老闆"
"heroes.name_fancy.moth_mortewitch","飛蛾施術者"
"heroes.name_fancy.moth_pepperbleu","飛蛾送葬者"
"heroes.name_fancy.moth_rosepetite","年輕的飛蛾畫家"
"heroes.name_fancy.moth_satinpimenter","飛蛾牧師"
"heroes.name_fancy.moth_shyombre","暗影飛蛾"
"heroes.name_fancy.moth_tealmoine","迷霧飛蛾"
"heroes.name_fancy.musketeer_aramis","浪漫火槍手"
"heroes.name_fancy.musketeer_athos","老練火槍手"
"heroes.name_fancy.musketeer_cardinal_richelieu","雙面公爵"
"heroes.name_fancy.musketeer_constance","無畏火槍手"
"heroes.name_fancy.musketeer_dartagnan","熱血火槍手"
"heroes.name_fancy.musketeer_felton","墮落刺客"
"heroes.name_fancy.musketeer_kitty","和氣花匠"
"heroes.name_fancy.musketeer_milady_de_winter","權術女惡棍"
"heroes.name_fancy.musketeer_planchet","勇敢僕從"
"heroes.name_fancy.musketeer_porthos","快樂火槍手"
"heroes.name_fancy.musketeer_queen_anne","優雅君主"
"heroes.name_fancy.musketeer_rochefort","無情惡棍"
"heroes.name_fancy.musketeer_villiers","浮誇公爵"
"heroes.name_fancy.mystery_enigmo","召喚難題"
"heroes.name_fancy.nature_god_balbar","植物學家隱士"
"heroes.name_fancy.nature_god_bertila","翠綠騎士"
"heroes.name_fancy.nature_god_bo_and_runt","群體領袖"
"heroes.name_fancy.nature_god_chloris","花之靈"
"heroes.name_fancy.nature_god_cinisia","墨利艾戰鬥法師"
"heroes.name_fancy.nature_god_florenna","優雅的半人鹿"
"heroes.name_fancy.nature_god_leadria","常春女王"
"heroes.name_fancy.nature_god_mystia","迷人的女巫"
"heroes.name_fancy.nature_god_silvaria","森林之神"
"heroes.name_fancy.nature_god_viselus","禍害行者德魯伊"
"heroes.name_fancy.ninja_amethyst","隱秘刺客"
"heroes.name_fancy.ninja_ametrine","藏刃忍者"
"heroes.name_fancy.ninja_aurum","腥紅女忍者"
"heroes.name_fancy.ninja_azurite","忍者外觀"
"heroes.name_fancy.ninja_chikao","沉默前鋒"
"heroes.name_fancy.ninja_cobalt","低語海洋忍者"
"heroes.name_fancy.ninja_ekanite","忍班長"
"heroes.name_fancy.ninja_garnet","活力泉湧忍者"
