"herocard.passive_skill.description.addmana.all.allies","全部盟友獲得少量法力。"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","此角色不受增加或減少防禦的效果影響。

這包含狀態效果增益以及異常、正面與負面疊加以及枯萎和成長效果。"
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","此角色對影響法力產出的狀態異常和負面疊加具有天生抗性，亦適用於封鎖法力或竊取法力的狀態異常。"
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","此角色對來自狀態效果的傷害具有天生抗性。"
"herocard.passive_skill.description.resist.attackdelay","此角色的普通攻擊無法被延遲。"
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","此角色的普通攻擊無法被延遲。"
"herocard.passive_skill.description.resist.attackmodifiers","此角色對影響攻擊的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","此角色對影響攻擊的所有狀態效果和疊加具有天生抗性。包含增益。"
"herocard.passive_skill.description.resist.bleed","此角色對流血效果具有天生抗性。"
"herocard.passive_skill.description.resist.buffdispels","此角色對增益的驅散效果具有天生抗性。"
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE}%額外機率抵禦增益驅散。"
"herocard.passive_skill.description.resist.buffimmunity","此角色對於新增益免疫的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.burn","此角色對燃燒效果具有天生抗性。"
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","此角色對燃燒具有天生抗性，每次抵抗都會獲得{HEALTHBOOST}點生命值提升和{MANA}%法力。"
"herocard.passive_skill.description.resist.can_stack.alldebuffs","此角色對狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","有{CHANCE}%額外機率可抵禦所有狀態異常。"
"herocard.passive_skill.description.resist.defensemodifierdebuffs","此角色對影響防禦的狀態異常具有天生抗性。不適用影響元素防禦的狀態異常。"
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","此角色對影響防禦的狀態異常和負面疊加具有天生抗性。不適用影響元素防禦的狀態異常。"
"herocard.passive_skill.description.resist.defensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","此角色不受增加或減少防禦的效果影響。

這包括
狀態效果增益以及異常
正面與負面疊加
成長和枯萎效果"
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","對小兵移除的抗性。
無法阻止其獲得小兵。
 小兵攻擊與能力無法關閉。"
"herocard.passive_skill.description.resist.frost","此角色對冰霜傷害具有天生抗性。"
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","此角色對冰霜具有天生抗性，每次抵抗都會獲得{HEALTHBOOST}點生命值提升和{MANA}%法力。"
"herocard.passive_skill.description.resist.healeffects","此角色對影響治療的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.healthsteal","此角色對偷取生命的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","此角色對瘋狂效果具有天生抗性。"
"herocard.passive_skill.description.resist.manadebuffs","此角色對影響法力的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","此角色對於能夠影響法力產出或是讓特殊技能無法使用的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","此角色有{CHANCE}%機率會抵禦影響法力或是讓特殊技能無法使用的狀態異常。"
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","此角色對影響法力產出的狀態異常和負面疊加具有天生抗性。不適用會阻止法力產出或偷走法力的狀態異常。"
"herocard.passive_skill.description.resist.manareduction","此角色對法力減損具有天生抗性。"
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE}%額外機率抵禦法力減損。"
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","此角色對法力減損具有天生抗性，每次抵抗都會獲得{HEALTHBOOST}點生命值提升和{MANA}%法力。"
"herocard.passive_skill.description.resist.maxhealthreduction","此角色對最大生命值降低具有天生抗性。"
"herocard.passive_skill.description.resist.poison","此角色對劇毒效果具有天生抗性。"
"herocard.passive_skill.description.resist.poison.burn.bleed","此角色對劇毒、燃燒與流血效果具有天生抗性。"
"herocard.passive_skill.description.resist.possession.allstatuseffects","此角色對會使自身瘋狂的狀態效果具有天生抗性。"
"herocard.passive_skill.description.resist.sand","此角色對飛沙傷害具有天生抗性。"
"herocard.passive_skill.description.resist.specialblocking","此角色對封鎖特殊技能的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.specialblocking.with_chance","此角色有{CHANCE}%機率會抵禦讓特殊技能無法使用的狀態異常。"
"herocard.passive_skill.description.resist.stopmanageneration","此角色對阻止法力產出的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resist.water","此角色對水系傷害具有天生抗性。"
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","此角色對小兵的狀態異常具有天生抗性。"
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","此角色對小兵移除效果具有天生抗性。"
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","此角色對來自小兵的傷害與負面效果具有天生抗性。"
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","此角色對來自小兵和超級小兵的傷害與負面效果具有天生抗性。"
"herocard.passive_skill.description.resistnewfamiliars.parasite","此角色無法收到惡魔。"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","有{CHANCE}%額外機率可抵禦所有狀態異常。"
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","在戰鬥中所有敵人的復活機率降低。該機率為原本數值的{MODIFIER}%。"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","落敗時，此角色有{TOTALCHANCE}%機率於其下個回合開始時復活，並恢復{HEALTH}%生命值和{MANA}%法力。

最多可啟用{MAXACTIVATIONCOUNT}次。每次啟用會降低復活機率。無法以狀態異常或被動技能預防。"
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","敵人施放的所有民謠僅持續{TURNS}個回合。"
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","敵人施放的所有跳舞僅持續{TURNS}個回合。"
"herocard.passive_skill.description.sharereceiveddamage","這名角色所受傷害的{SHAREDDAMAGEPORTION}%將與所有其他盟友分享。"
"herocard.passive_skill.description.specialdamagereduction","這個角色所受到的特殊技能傷害減少{DAMAGEREDUCTION}%。"
"herocard.passive_skill.description.specialdamagereduction.chance","此角色有{CHANCE}%機率將特殊技能造成的直接傷害降到1。"
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","這個角色所受到的特殊技能傷害減少{DAMAGEREDUCTION}%。"
"herocard.passive_skill.description.startbattlewitheffect.addmana","戰鬥開始時，這個角色會獲得{MANA}%法力。"
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER}%生命、{ATTACKMULTIPLIER}%攻擊。"
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER}%生命、{DEFENSEMULTIPLIER}% 防禦。"
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER}%生命、{DEFENSEMULTIPLIER}%防禦、{ATTACKMULTIPLIER}%攻擊。"
"herocard.passive_skill.description.statuseffectattackmodifier.addition","提升攻擊力的狀態效果，對此角色的效果提升{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","影響攻擊力的狀態異常效果降低{MODIFIER}%。該效果適用於戰鬥中的此角色與其所有盟友。"
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","降低攻擊力的狀態異常，對此角色的效果降低{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","提升攻擊力的狀態效果，對此角色的效果提升{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","降低攻擊力的狀態異常，對此角色的效果降低{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","提升防禦的狀態效果，對此角色的效果提升{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","防禦異常效果降低{MODIFIER}%。該效果適用於戰鬥中的此角色與其所有盟友。"
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","降低防禦的狀態異常，對此角色的效果降低{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","提升防禦的狀態效果，對此角色的效果提升{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","降低防禦的狀態異常，對此角色的效果降低{MODIFIER}%。"
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","這個角色受到來自特殊技能的狀態效果時，有前{MAXACTIVATIONCOUNT}次會將持續時間減少{DURATIONMODIFIER}個回合。"
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","這個角色受到來自特殊技能的防禦狀態異常的持續時間減少{DURATIONMODIFIER}個回合。"
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","這個角色受到來自特殊技能的增益時，有前{MAXACTIVATIONCOUNT}次會將持續時間增加{DURATIONMODIFIER}個回合。"
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","此英雄的一個狀態異常受到淨化時，將隨機對一名敵人施加受淨化異常的新複製體。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","每次此石像鬼施放特殊技能時，所有盟友獲得柔軟膚。它們受之後{MAXACTIVATIONS}次的傷害，其傷害減少{DAMAGEREDUCTION}%且也可抵禦所有狀態異常、法力減損與瘋狂。此效果無法驅散。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin.status_effect_to_others.softskin","每次此石像鬼施放特殊技能時，所有盟友獲得柔軟膚。它們受之後{MAXACTIVATIONS}次的傷害，其傷害減少{DAMAGEREDUCTION}%且也可抵禦所有狀態異常、法力減損與瘋狂。此效果無法驅散。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","每次此石像鬼施放特殊技能時，其柔軟膚啟動。它們受之後{MAXACTIVATIONS}次的傷害，其傷害減少{DAMAGEREDUCTION}%且也可抵禦所有狀態異常、法力減損與瘋狂。此效果無法驅散。"
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","此石像鬼每次施放特殊技能時，石膚都會硬化。下{MAXHITS}次受到的傷害降為1。此效果無法驅散。"
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","此角色施放特殊技能時，可獲得{ATTACK}%攻擊，持續{TURNS}回合。除了可變更攻擊的效果，可另外啟動此效果。"
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","每場戰鬥一次，此英雄的元素能變更為你自選元素，持續{TURNS}回合。在沒有滿法力時，可以點擊該英雄來變更元素。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","當此角色被擊敗時，會召喚史萊姆超級小兵給附近盟友，這些小兵繼承此角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","當此角色被擊敗時，會召喚史萊姆超級小兵給附近盟友，這些小兵繼承此角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","當此角色被擊敗時，會召喚史萊姆超級小兵給附近盟友，這些小兵繼承此角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","當此角色被擊敗時，會召喚史萊姆超級小兵給附近盟友，這些小兵繼承此角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","當此角色被擊敗時，會召喚史萊姆超級小兵給附近盟友，這些小兵繼承此角色的{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","當此角色一次失去超過{DAMAGETHRESHOLD}%的最大生命值時，會為自身召喚史萊姆超級小兵，小兵具有{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","當此角色一次失去超過{DAMAGETHRESHOLD}%的最大生命值時，會為自身召喚史萊姆超級小兵，小兵具有{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","當此角色一次失去超過{DAMAGETHRESHOLD}%的最大生命值時，會為自身召喚史萊姆超級小兵，小兵具有{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","當此角色一次失去超過{DAMAGETHRESHOLD}%的最大生命值時，會為自身召喚史萊姆超級小兵，小兵具有{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","當此角色一次失去超過{DAMAGETHRESHOLD}%的最大生命值時，會為自身召喚史萊姆超級小兵，小兵具有{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","每當此角色獲得燃燒狀態異常時，他們將會替自己召喚一個森林守衛小兵。森林守衛小兵從此角色繼承{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","每當此角色獲得持續傷害狀態異常時，他們將會替自己召喚一個卡片士兵小兵。卡片士兵小兵從此角色繼承{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","每當此角色獲得影響其防禦的狀態異常時，他們將會替自己召喚一個公牛小兵。公牛小兵從此角色繼承{FAMILIARHEALTHPERCENT}%生命值和{FAMILIARATTACK}%攻擊力。"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","敵人以特殊技能召喚任何小兵時，為自己召喚麻雀小兵。"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","每當敵人使用特殊技能召喚小兵時，此角色將會對該敵人召喚一隻詛咒樹苗惡魔。"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","每當敵人使用特殊技能召喚小兵時，此角色將會對該敵人召喚一隻樹苗惡魔。"
"herocard.passive_skill.description.taunt","此角色的特殊技能不受嘲諷影響。"
"herocard.passive_skill.description.wither.all.enemies","所有敵人的基礎攻擊力與基礎防禦力每回合減少{STATINCREASE}點，持續{MAXACTIVATIONCOUNT}個回合。"
"herocard.passive_skill.inactive","未啟用：達最大等級與完全升等即可啟用。"
"herocard.passive_skill.sidedependent.sideinfo.heroside","攻擊角色時的被動技能："
"herocard.passive_skill.sidedependent.sideinfo.opponentside","防禦角色時的被動技能："
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","敵人攻擊增益的狀態效果"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","敵人防禦增益的狀態效果"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","法力減損的狀態效果"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","流血時獲得法力"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","流血時治療"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","法力燃燒"
"herocard.passive_skill.title.bypassfamiliars.minion","無視小兵"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","強化無視小兵"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","提升狀態效果持續時間"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","飛行動量"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","枯萎時獲得法力"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","隨時間復活"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","希甦之力"
"herocard.passive_skill.title.corrosiveburncorechargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","熔融核心"
"herocard.passive_skill.title.corrosiveburncorechargeeffectonspecial.statuseffects.corrosiveburn","熔融核心"
"herocard.passive_skill.title.corrosivecorechargeeffectonspecial.statuseffects.corrosivepoison","腐蝕核心"
"herocard.passive_skill.title.corrosivefrostcorechargeeffectonspecial.statuseffects.corrosivefrost","極地核心"
"herocard.passive_skill.title.criticalmodifier","暴擊修正"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","暴擊修正"
"herocard.passive_skill.title.critmodifier","暴擊率修改器"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","部隊精通"
"herocard.passive_skill.title.debuffdamagereduction","狀態異常造成的傷害減少"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","狀態異常造成的傷害減少"
"herocard.passive_skill.title.destructivecorechargeeffectonspecial.damage","毀滅核心"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","小兵陣亡時獲得淨化效果"
"herocard.passive_skill.title.dodgespecialdamage","閃避特殊傷害"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","特殊技能疊加"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","特殊技能施放時摧毀惡魔"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","吞噬小兵並在一段時間內持續獲得法力"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","特殊傷害法力"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","受到傷害時獲得法力"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","在受到特殊技能和掩護傷害時造成傷害"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","受到傷害時疊加攻擊"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","受到傷害時疊加攻擊"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","盟友嘗試淨化時獲得生命值加成"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","敵人嘗試淨化時受到傷害"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","驅散時獲得法力"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","驅散增益時獲得法力"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","狀態異常失效或被清除時獲得治療"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","驅散增益時獲得生命值加成"
"herocard.passive_skill.title.effectonheal.addmana","回復生命時獲得法力"
"herocard.passive_skill.title.effectonheal.heal","回復生命時獲得額外生命"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","額外治療"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","法力減損的狀態效果"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","法力減損的狀態效果"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","抵禦時的生命值加成和法力"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","生命值加成法力特別技能"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","敵人獲得生命值加成時，獲得生命值加成"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","施放特殊技能時的效果"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.latest.safe.only_criticals.once","特殊攻擊暴擊時獲得淨化效果"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","特殊攻擊暴擊時獲得淨化效果"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","特殊攻擊暴擊時獲得生命值加成"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals.once","特殊攻擊暴擊時獲得生命值加成"
"herocard.passive_skill.title.effectonspecialskilldamagedonebasedonhealthdifference.healthboost.once.effectonspecialskilldamagereceivedbasedonhealthdifference.addmana.once","正義反叛"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","特殊攻擊暴擊時獲得生命值加成"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","敵人施展特殊技能時提升生命值"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","暴增的法力"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","使用特殊技能時造成驅散效果"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","使用特殊技能時造成淨化效果"
"herocard.passive_skill.title.effectonspecialwithchance.damage","暴增的傷害"
"herocard.passive_skill.title.effectonspecialwithchance.heal","暴增的健康恢復"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","使用特殊技能時獲得生命值加成"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","暴增的狀態效果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","使用特殊技能時造成流血效果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","使用特殊技能時造成詛咒效果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","特殊技能下的持續傷害"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","對加成生命值造成額外傷害"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","特殊技能下的持續傷害"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","暴增的狀態效果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","特殊技能造成劇毒效果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","使出特殊技能時釋放莽夫亂拳"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","特殊技能下的持續傷害"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","敵人施展特殊技能時造成傷害"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","嘲諷法力"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","敵人獲得防禦增益時增加法力"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","敵人防禦增益的狀態效果"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","敵人攻擊增益的狀態效果"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","獲得增益的法力"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","獲得狀態異常的法力"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","獲得增益的生命值回復"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","獲得狀態異常的生命值回復"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","獲得狀態異常的法力增益"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","獲得增益的法力"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","獲得增益的生命值回復"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","消除狀態效果時獲得生命值加成"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","消除狀態效果時受到傷害"
"herocard.passive_skill.title.effectovertime.revival","隨時間復活"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","每個敵人增益提供的法力"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","劇毒時生命值加成"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","召喚小兵時獲得法力"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","密友之友"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","召喚惡魔時獲得法力"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","寵物之怒"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","召喚惡魔時獲得生命值加成"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","小兵致盲"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","較弱的超級小兵"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","較弱的小兵"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","停止超級小兵"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","停止小兵"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","冰霜時的法力"
"herocard.passive_skill.title.glass_reflect_debuffs","玻璃"
"herocard.passive_skill.title.growth","成長"
"herocard.passive_skill.title.guaranteedeffectonspecial","施放特殊技能時的必得效果"
"herocard.passive_skill.title.guestip1_stat_modifier_average","Technician"
"herocard.passive_skill.title.guestip1_stat_modifier_fast","Striker"
"herocard.passive_skill.title.guestip1_stat_modifier_slow","Powerhouse"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","已減少的治療"
"herocard.passive_skill.title.healonheal.heal","額外治療"
"herocard.passive_skill.title.healonownfamiliardeath.minion","從已陣亡小兵獲取生命值"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","已陣亡小兵的加成生命值"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","每名非自然系敵人所增加的攻擊"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","每名非烈火系敵人所增加的攻擊"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","對小兵和超級小兵造成額外傷害"
"herocard.passive_skill.title.increaseddamageagainstminions","提升對小兵傷害"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","提升對嘲諷傷害"
"herocard.passive_skill.title.increasespecialdamage","已增加特殊技能傷害"
"herocard.passive_skill.title.increasespecialdamage.usable_once","已增加特殊技能傷害"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","已增加特殊技能傷害"
