"heroes.name.astral_cosmicspeaker","宇宙音響"
"heroes.name.mighty_pet_bubbles","泡泡"
"heroes.name.mighty_pet_chomper","強波"
"heroes.name.mighty_pet_cinnamon","肉桂"
"heroes.name.mighty_pet_cupcake","杯子蛋糕"
"heroes.name.mighty_pet_furdinand","佛迪納"
"heroes.name.mighty_pet_hachiko","哈奇寇"
"heroes.name.mighty_pet_luna","露娜"
"heroes.name.mighty_pet_ribbit","利比特"
"heroes.name.mighty_pet_rufus","魯佛斯"
"heroes.name.mighty_pet_snowball","雪球"
"heroes.name.mighty_pet_toto","麥克斯"
"heroes.name.mighty_pet_waddles","威德斯"
"heroes.name.mimic_ascension_item_blue","升等模仿怪"
"heroes.name.mimic_ascension_item_green","升等模仿怪"
"heroes.name.mimic_ascension_item_purple","升等模仿怪"
"heroes.name.mimic_ascension_item_red","升等模仿怪"
"heroes.name.mimic_ascension_item_yellow","升等模仿怪"
"heroes.name.mimic_training_hero_blue","經驗模仿怪"
"heroes.name.mimic_training_hero_green","經驗模仿怪"
"heroes.name.mimic_training_hero_purple","經驗模仿怪"
"heroes.name.mimic_training_hero_red","經驗模仿怪"
"heroes.name.mimic_training_hero_yellow","經驗模仿怪"
"heroes.name.monster_hunter_adalinda","安達林達"
"heroes.name.monster_hunter_amund","阿蒙德"
"heroes.name.monster_hunter_basil","貝索"
"heroes.name.monster_hunter_berit","貝里特"
"heroes.name.monster_hunter_bogart","包加"
"heroes.name.monster_hunter_bonecrusher","碎骨仔"
"heroes.name.monster_hunter_cedar","西達爾"
"heroes.name.monster_hunter_cleaver","克里福"
"heroes.name.monster_hunter_dabria","黛布雅"
"heroes.name.monster_hunter_dawn","多恩"
"heroes.name.monster_hunter_dubhain","圖安"
"heroes.name.monster_hunter_ebba","艾巴"
"heroes.name.monster_hunter_edelaide","阿德莱德"
"heroes.name.monster_hunter_fianna","菲安娜"
"heroes.name.monster_hunter_goretooth","高圖斯"
"heroes.name.monster_hunter_greel","格立爾"
"heroes.name.monster_hunter_hammertusk","漢摩塔斯克"
"heroes.name.monster_hunter_hawthorn","霍索恩"
"heroes.name.monster_hunter_hurricane","颶風"
"heroes.name.monster_hunter_kai","凱"
"heroes.name.monster_hunter_knuckles","納寇斯"
"heroes.name.monster_hunter_maheegan","梅西根"
"heroes.name.monster_hunter_malin","馬林"
"heroes.name.monster_hunter_meadow","米多"
"heroes.name.monster_hunter_mistweaver","織霧女"
"heroes.name.monster_hunter_njal","尼賈爾"
"heroes.name.monster_hunter_numbskull","呆頭"
"heroes.name.monster_hunter_otis","歐第斯"
"heroes.name.monster_hunter_revna","雷夫納"
"heroes.name.monster_hunter_ruadh","魯亞"
"heroes.name.monster_hunter_sigyn","西格恩"
"heroes.name.monster_hunter_sorcha","索爾查"
"heroes.name.monster_hunter_sorrow","桑柔"
"heroes.name.monster_hunter_staintongue","污舌"
"heroes.name.monster_hunter_sune","蘇內"
"heroes.name.monster_hunter_thunderclap","雷掌"
"heroes.name.monster_hunter_thura","蘇拉"
"heroes.name.monster_hunter_tremor","崔摩"
"heroes.name.monster_hunter_waterpipe","瓦特派普"
"heroes.name.moth_auricarc","奧里卡爾克"
"heroes.name.moth_chimister","奇米斯特"
"heroes.name.moth_chunkyroi","查奇羅伊"
"heroes.name.moth_furgeant","富爾吉安特"
"heroes.name.moth_gardered","加德雷德"
"heroes.name.moth_grovevert","果芙微特"
"heroes.name.moth_joyvert","裘莉微特"
"heroes.name.moth_lilareine","麗菈蕾茵"
"heroes.name.moth_limeboire","利恩柏伊"
"heroes.name.moth_mortewitch","魔薇琪"
"heroes.name.moth_pepperbleu","佩波布露"
"heroes.name.moth_rosepetite","蘿絲波蒂"
"heroes.name.moth_satinpimenter","聖提皮蒙特"
"heroes.name.moth_shyombre","西尤波"
"heroes.name.moth_tealmoine","提尤摩伊"
"heroes.name.musketeer_aramis","阿拉米司"
"heroes.name.musketeer_athos","亞叟斯"
"heroes.name.musketeer_cardinal_richelieu","黎希留主教"
"heroes.name.musketeer_constance","康斯坦絲"
"heroes.name.musketeer_dartagnan","達太安"
"heroes.name.musketeer_felton","費爾頓"
"heroes.name.musketeer_kitty","凱蒂"
"heroes.name.musketeer_milady_de_winter","米萊狄·溫特"
"heroes.name.musketeer_planchet","普藍契"
"heroes.name.musketeer_porthos","波梭司"
"heroes.name.musketeer_queen_anne","安妮女王"
"heroes.name.musketeer_rochefort","羅契弗"
"heroes.name.musketeer_villiers","韋勒"
"heroes.name.mystery_enigmo","恩尼基摩"
"heroes.name.nature_god_balbar","貝爾巴"
"heroes.name.nature_god_bertila","貝提拉"
"heroes.name.nature_god_bo_and_runt","波與朗特"
"heroes.name.nature_god_chloris","克羅里斯"
"heroes.name.nature_god_cinisia","西尼西亞"
"heroes.name.nature_god_florenna","弗蘿瑞娜"
"heroes.name.nature_god_leadria","利德里亞"
"heroes.name.nature_god_mystia","蜜絲提雅"
"heroes.name.nature_god_silvaria","希爾維莉亞"
"heroes.name.nature_god_viselus","維什勒斯"
"heroes.name.ninja_amethyst","紫晶"
"heroes.name.ninja_ametrine","紫黃晶"
"heroes.name.ninja_aurum","奧倫"
"heroes.name.ninja_azurite","石青"
"heroes.name.ninja_chikao","奇考"
"heroes.name.ninja_cobalt","鈷藍"
"heroes.name.ninja_ekanite","伊肯耐"
"heroes.name.ninja_garnet","紅榴"
"heroes.name.ninja_iga","伊賀"
"heroes.name.ninja_ito","伊藤"
"heroes.name.ninja_jade","翠玉"
"heroes.name.ninja_kinsaishi","金賽西"
"heroes.name.ninja_kushanku","公相君"
"heroes.name.ninja_malum","馬勒姆"
"heroes.name.ninja_mica","雲母"
"heroes.name.ninja_morganite","摹根奈"
"heroes.name.ninja_myoinni","妙印尼"
"heroes.name.ninja_nomad","游牧者"
"heroes.name.ninja_oniwaka","鬼若丸"
"heroes.name.ninja_oniwakamaru","鬼若丸"
"heroes.name.ninja_onyx","黑寶"
"heroes.name.ninja_osamu","修"
"heroes.name.ninja_peridot","貴橄欖"
"heroes.name.ninja_quartz","石英"
"heroes.name.ninja_ruby","紅寶"
"heroes.name.ninja_sapphire","藍寶"
"heroes.name.ninja_satsui","殺意"
"heroes.name.ninja_sawano","澤野"
"heroes.name.ninja_serandite","桃針鈉"
"heroes.name.ninja_shale","頁岩"
"heroes.name.ninja_tametomo","為朝"
"heroes.name.ninja_topaz","黃玉"
"heroes.name.ninja_tora","圖拉"
"heroes.name.ninja_umeko","梅子"
"heroes.name.ninja_zircon","鋯石"
"heroes.name.nomad_axe_adventurer","科倫"
"heroes.name.nomad_female_archer","莎倫"
"heroes.name.nomad_female_assassin","斯嘉麗"
"heroes.name.nomad_female_berserker","卡莉萊"
"heroes.name.nomad_female_captain","馬里亞娜"
"heroes.name.nomad_female_lord","艾琳娜"
"heroes.name.nomad_female_shaman","霍克萌"
"heroes.name.nomad_female_swordmaster","阿薩爾"
"heroes.name.nomad_female_thief","吉爾"
"heroes.name.nomad_fighter","法里德"
"heroes.name.nomad_mage","賈漢吉"
"heroes.name.nomad_scout","圖丹"
"heroes.name.nomad_shaman","沙克特"
"heroes.name.nordic_ancestral_warrior","格林姆"
"heroes.name.nordic_chained_werewolf","灰鬃狼人"
"heroes.name.nordic_female_scout","西格魯恩"
"heroes.name.nordic_female_warrior","萊西德"
"heroes.name.nordic_ice_enchantress","伊薩莉亞"
"heroes.name.nordic_mage","烏爾墨"
"heroes.name.nordic_male_lord","理查德"
"heroes.name.nordic_swordman","瓦倫"
"heroes.name.nordic_warrior","布蘭德"
"heroes.name.orc_gladiator","血牙"
"heroes.name.orc_skirmisher","祖達"
"heroes.name.orc_troopmaster","戈莫克"
"heroes.name.orc_warrior","納什加"
"heroes.name.oriental_brawler","貝恩"
"heroes.name.oriental_enchanted_monk","尤恩"
"heroes.name.oriental_falconer","趙"
"heroes.name.oriental_falconer.falcon","趙氏飛鷹"
"heroes.name.oriental_female_guard","達瓦"
"heroes.name.oriental_female_mage","凱蘭尼"
"heroes.name.oriental_female_mystic","薇薇卡"
"heroes.name.oriental_female_ninja","光"
"heroes.name.oriental_female_templar","李繡"
"heroes.name.oriental_monkey_captain","悟空"
"heroes.name.oriental_monkey_warrior","猴"
"heroes.name.oriental_panda_berserker","柑橘"
"heroes.name.oriental_panda_scout","沙吉"
"heroes.name.oriental_panda_warrior","胡桃"
"heroes.name.oriental_squire","那許"
"heroes.name.oriental_warrior","健次郎"
"heroes.name.oriental_warrior_king","萊昂尼達斯"
"heroes.name.outlaw_chao_gai","晁蓋"
"heroes.name.outlaw_gu_dasao","顧大嫂"
"heroes.name.outlaw_hu_sanniang","扈三娘"
"heroes.name.outlaw_li_kui","李逵"
"heroes.name.outlaw_lin_chong","林冲"
"heroes.name.outlaw_liu_tang","劉唐"
"heroes.name.outlaw_lu_zhishen","魯智深"
"heroes.name.outlaw_ruan_xiaoqi","阮小七"
"heroes.name.outlaw_shi_jin","史進"
"heroes.name.outlaw_song_jiang","宋江"
"heroes.name.outlaw_sun_erniang","孫二娘"
"heroes.name.outlaw_wu_song","武松"
"heroes.name.outlaw_wu_yong","吳用"
"heroes.name.outlaw_xiang_chong","項充"
"heroes.name.outlaw_zheng_tianshou","鄭天壽"
"heroes.name.owl_cennius","森尼厄斯"
"heroes.name.owl_eron","伊朗恩"
"heroes.name.owl_featherino","非樂力毆"
"heroes.name.owl_fulvia","芙維亞"
"heroes.name.owl_juliani","尤利亞尼"
"heroes.name.owl_livia","莉維雅"
"heroes.name.owl_lodius","羅迪厄斯"
"heroes.name.owl_mariol","瑪瑞兒"
"heroes.name.owl_olbec","歐貝克"
"heroes.name.owl_ommodus","歐莫杜斯"
"heroes.name.owl_paeia","裴伊雅"
"heroes.name.owl_pertinax","柏提南克斯"
"heroes.name.owl_relius","雷利厄斯"
"heroes.name.owl_timius","提米厄斯"
"heroes.name.owl_verus","菲瑞厄斯"
"heroes.name.pirate_anne","安妮"
"heroes.name.pirate_boatswain","黑凱撒"
"heroes.name.pirate_bonny","邦尼"
"heroes.name.pirate_cabin_boy","皮特斯"
"heroes.name.pirate_commodore_finley","芬利"
"heroes.name.pirate_dread_captain","馬尾藻"
"heroes.name.pirate_first_mate","炸彈魔"
"heroes.name.pirate_lady","洛克小姐"
"heroes.name.pirate_marie_therese","瑪麗亞-特蕾莎"
"heroes.name.pirate_sally","莎莉"
"heroes.name.pirate_swashbuckler","科斯特雷爾船長"
"heroes.name.pirate_vodnik","沃德尼克"
"heroes.name.rabbit_blue","天兔大師"
"heroes.name.rabbit_green","傑克·奧黑爾"
"heroes.name.rabbit_red","兔子侍從"
"heroes.name.rider_hero_blue","教練英雄"
"heroes.name.rider_hero_green","教練英雄"
"heroes.name.rider_hero_purple","教練英雄"
"heroes.name.rider_hero_red","教練英雄"
"heroes.name.rider_hero_yellow","教練英雄"
"heroes.name.royal_female_knight","索尼婭"
"heroes.name.royal_knight","古納爾"
"heroes.name.royal_knight_commander","索恩"
"heroes.name.royal_knight_commander_tutorial","格雷"
"heroes.name.royal_pikeman","奧拉夫"
"heroes.name.s2_ariel","艾利爾"
"heroes.name.s2_atlantean_robot","嘉德利亞斯"
"heroes.name.s2_chameleon_bruiser","麻吉"
"heroes.name.s2_chameleon_chief","戈不勒"
"heroes.name.s2_chameleon_mage","艾格威"
"heroes.name.s2_crab_man","卡其諾斯"
"heroes.name.s2_croc_man","加托"
"heroes.name.s2_cursed_samurai","凱基布拉多"
"heroes.name.s2_demon_master","住友"
"heroes.name.s2_fiji_mermaid","吉爾拉"
"heroes.name.s2_fox_girl","伊娜莉"
"heroes.name.s2_ghost_woman","雨女"
"heroes.name.s2_hammerhead_hulk","巨齒鯊"
"heroes.name.s2_junglehunter","塔拉克"
"heroes.name.s2_lantern_ghost","提燈"
"heroes.name.s2_mercenary_woman","米桑德拉"
"heroes.name.s2_merman","內修斯"
"heroes.name.s2_merwoman","梅里亞"
"heroes.name.s2_noble_lady","光子"
"heroes.name.s2_oceanus","歐什努斯"
"heroes.name.s2_poseidon","波塞冬"
"heroes.name.s2_proteus","普羅透斯"
"heroes.name.s2_rugged_fisherman","威爾伯"
"heroes.name.s2_skyllaros","阿多莫斯"
"heroes.name.s2_straw_demon","生剝"
"heroes.name.s2_tanuki_raccoon","團三郎狸"
"heroes.name.s2_tethys","泰西絲"
"heroes.name.s2_triton","崔坦"
"heroes.name.s2_ursena","尤塞娜"
"heroes.name.s3_agnes","阿格尼斯"
"heroes.name.s3_alfrike","阿爾弗里克"
"heroes.name.s3_almur","艾姆"
"heroes.name.s3_anwindr","安-維德"
"heroes.name.s3_baldur","巴德爾"
"heroes.name.s3_bera","貝拉"
"heroes.name.s3_bjorn","比約恩"
"heroes.name.s3_brynhild","布倫希爾德"
"heroes.name.s3_by_ulf","拜-伍弗"
"heroes.name.s3_ei_dunn","艾-敦"
"heroes.name.s3_fenrir","芬里爾"
"heroes.name.s3_freya","弗蕾亞"
"heroes.name.s3_frigg","芙麗嘉"
"heroes.name.s3_fura","弗拉"
"heroes.name.s3_gefjon","潔芙蓉"
"heroes.name.s3_grevle","格利弗"
"heroes.name.s3_gullinbursti","古林博斯帝"
"heroes.name.s3_heimdall","海姆達"
"heroes.name.s3_jarvur","賈爾弗爾"
"heroes.name.s3_jott","喬特"
"heroes.name.s3_kvasir","克瓦希爾"
"heroes.name.s3_loki_female","洛基夫人"
"heroes.name.s3_loki_fish","鮭魚洛基"
"heroes.name.s3_loki_male","洛基領主"
"heroes.name.s3_lord_loki_covenant","洛基領主"
"heroes.name.s3_mireweave","米列維福"
"heroes.name.s3_mist","米斯特"
"heroes.name.s3_nordri","諾德里"
"heroes.name.s3_norns","諾恩"
"heroes.name.s3_odin","歐丁"
"heroes.name.s3_ratatoskr","拉塔托斯克"
"heroes.name.s3_shadereave","影襲"
"heroes.name.s3_sif","希弗"
"heroes.name.s3_skadi","斯卡迪"
"heroes.name.s3_stonecleave","石斬"
"heroes.name.s3_sudri","蘇德利"
"heroes.name.s3_sumle","蘇姆勒"
"heroes.name.s3_thor","索爾"
"heroes.name.s3_tyr","泰爾"
"heroes.name.s4_akkorog","阿克洛格"
"heroes.name.s4_aouda","奧達"
"heroes.name.s4_captain_nemo","尼莫船長"
"heroes.name.s4_congalach","康葛拉克"
"heroes.name.s4_doctor_moreau","莫羅博士"
"heroes.name.s4_elizabeth","伊麗莎白"
"heroes.name.s4_exeera","伊瑟拉"
"heroes.name.s4_garjammal","伽傑莫"
"heroes.name.s4_gramps","葛蘭普"
"heroes.name.s4_griffin","葛里芬"
"heroes.name.s4_hannah","漢娜"
"heroes.name.s4_helo","賀洛"
"heroes.name.s4_hulda","胡達"
"heroes.name.s4_kravekrush","克拉夫克魯許"
"heroes.name.s4_lepiota","樂皮歐塔"
"heroes.name.s4_lughaidh","魯海德"
"heroes.name.s4_mack","麥克"
"heroes.name.s4_morel","摩瑞歐"
"heroes.name.s4_morris","莫理斯"
"heroes.name.s4_octros","阿克托斯"
"heroes.name.s4_passepartout","萬事通"
"heroes.name.s4_phileas_fogg","菲利亞斯·佛格"
"heroes.name.s4_poppy","帕比"
"heroes.name.s4_professor_lidenbrock","莉登布洛克教授"
"heroes.name.s4_rokkamush","羅卡穆什"
"heroes.name.s4_russula","盧素拉"
"heroes.name.s4_tettukh","特圖"
"heroes.name.s4_vollermork","伏勒馬"
"heroes.name.s4_xenda","珊達"
"heroes.name.s4_xnolphod","伊諾甫"
"heroes.name.s4_zekena","瑟肯納"
"heroes.name.s4_zenobia","芝諾比亞"
"heroes.name.s4_zila_lei","基拉蕾"
"heroes.name.s5_ahhotep","亞赫特波"
"heroes.name.s5_ahmose","亞赫摩斯"
"heroes.name.s5_anubis","阿努比斯"
"heroes.name.s5_aqeela","艾奇拉"
"heroes.name.s5_azmia","艾茲米亞"
"heroes.name.s5_bastet","芭絲特"
"heroes.name.s5_bennu","貝努"
"heroes.name.s5_cleopatra","克麗奧佩脫拉"
"heroes.name.s5_el_naddaha","艾爾娜妲哈"
"heroes.name.s5_eset","伊西斯"
"heroes.name.s5_faiez","法斯"
"heroes.name.s5_hathor","哈索爾"
"heroes.name.s5_hetepheres","海特菲莉斯"
"heroes.name.s5_horus","荷魯斯"
"heroes.name.s5_jarif","亞里福"
"heroes.name.s5_junaid","朱奈德"
"heroes.name.s5_khafre","庫夫"
"heroes.name.s5_khepri","凱布利"
"heroes.name.s5_khonshu","孔斯"
"heroes.name.s5_maat","瑪亞特"
"heroes.name.s5_meresankh","梅雷桑赫"
"heroes.name.s5_papyros","帕派羅斯"
"heroes.name.s5_ptolemy","托勒密"
"heroes.name.s5_rekhetre","蕾克托拉"
"heroes.name.s5_scoratek","史庫拉鐵克"
"heroes.name.s5_sekhmet","塞赫麥特"
"heroes.name.s5_set","賽特"
"heroes.name.s5_sneferu","斯奈非路"
"heroes.name.s5_sobek","索貝克"
"heroes.name.s5_tetisheri","特提舍麗"
"heroes.name.s5_waqas","瓦卡斯"
"heroes.name.sand_horse","阿久"
"heroes.name.sand_king","尤納恩"
"heroes.name.sand_queen","拉娜"
"heroes.name.sand_roc","洛克"
"heroes.name.sand_soldier","阿爾曼"
"heroes.name.sand_tower","賈巴爾"
"heroes.name.sand_vizier","賈法爾"
"heroes.name.shadow_abigail","阿比蓋爾"
"heroes.name.shadow_asketel","阿斯凱特爾"
"heroes.name.shadow_atwood","艾烏"
"heroes.name.shadow_burton","波頓"
"heroes.name.shadow_cthuwu","克蘇巫"
"heroes.name.shadow_dolores","多羅莉絲"
"heroes.name.shadow_gwendoline","關朵琳"
"heroes.name.shadow_hunter","獵人"
"heroes.name.shadow_hysteria","希絲特莉亞"
"heroes.name.shadow_melancholia","梅蘭丘莉亞"
"heroes.name.shadow_omen","預兆"
"heroes.name.shadow_penelope","潘妮洛普"
"heroes.name.shadow_rashan","瑞森"
"heroes.name.shadow_rosanna","羅莎娜"
"heroes.name.shadow_salvatore","薩瓦多雷"
"heroes.name.shadow_shoggo","沙果"
"heroes.name.shadow_wulfstan","沃夫斯坦"
"heroes.name.shadow_zavinia","薩凡尼亞"
"heroes.name.slayer_aodhan","奧丹"
"heroes.name.slayer_caitlin","凱特琳"
"heroes.name.slayer_cathal","凱撒"
"heroes.name.slayer_cillian","西里安"
"heroes.name.slayer_maeve","梅芙"
"heroes.name.slayer_noril","諾麗爾"
"heroes.name.slayer_orla","奧拉"
"heroes.name.slayer_rian","瑞安"
"heroes.name.slayer_saoirse","西爾莎"
"heroes.name.slayer_senan","塞南"
"heroes.name.slime","史萊姆"
"heroes.name.slime_charmione","夏米奧尼"
"heroes.name.slime_choozen","喬森"
"heroes.name.slime_fruitio","伏路提歐"
"heroes.name.slime_fungustine","方葛斯丁"
"heroes.name.slime_gloozmer","格魯茲默"
"heroes.name.slime_goldrip","金滴"
"heroes.name.slime_gooldron","古德隆"
"heroes.name.slime_goorian","古立恩"
"heroes.name.slime_gooric","古里克"
"heroes.name.slime_gooze","古茲"
"heroes.name.slime_gunktus","昆圖斯"
"heroes.name.slime_harubo","春寶"
"heroes.name.slime_knightus","奈特圖斯"
"heroes.name.slime_labblub","拉布拉布"
"heroes.name.slime_magistine","梅吉斯丁"
"heroes.name.slime_mucktus","穆克圖斯"
"heroes.name.slime_slaymire","斯萊米爾"
"heroes.name.slime_slimgo","斯利姆戈"
"heroes.name.slime_sliposi","斯利波西"
"heroes.name.slime_sludgus","斯拉吉斯"
"heroes.name.slime_verdigoo","維爾地孤"
"heroes.name.slime_zestique","澤斯提克"
"heroes.name.styx_amphitrite","安菲特里忒"
"heroes.name.styx_arges","阿格斯"
"heroes.name.styx_brontes","伯朗特斯"
"heroes.name.styx_charon","卡戎"
"heroes.name.styx_dante","但丁"
"heroes.name.styx_erebus","艾瑞巴斯"
"heroes.name.styx_hypnos","希波諾斯"
"heroes.name.styx_nemesis","涅墨西斯"
"heroes.name.styx_nyx","尼克斯"
"heroes.name.styx_steropes","斯特羅普斯"
"heroes.name.styx_thanatos","桑納托斯"
"heroes.name.styx_virgil","維吉爾"
"heroes.name.tales1_aqualith","水鎧兵"
"heroes.name.tales1_atlanteia","雅特蘭提亞"
"heroes.name.tales1_bagreg","巴鬼格"
"heroes.name.tales1_ceto","希托"
"heroes.name.tales1_domiventus","丹米維特斯"
"heroes.name.tales1_ephyra","伊菲菈"
"heroes.name.tales1_galapago","嘎拉啪果"
"heroes.name.tales1_gelert","格勒特"
"heroes.name.tales1_gestalt","蓋斯托特"
"heroes.name.tales1_jaco","賈可"
"heroes.name.tales1_lasalle","拉薩爾"
"heroes.name.tales1_medea","梅狄亞"
"heroes.name.tales1_mulgog","摩嘎格"
"heroes.name.tales1_persa","佩爾薩"
"heroes.name.tales1_phorcys","弗歐克斯"
"heroes.name.tales1_sharkhai","鯊凱"
"heroes.name.tales1_spartoi","斯巴托伊"
"heroes.name.tales1_thalassa","塔拉薩"
"heroes.name.tales1_ultrox","烏沃查克斯"
"heroes.name.tales2_aethslegaur","埃斯勒高爾"
"heroes.name.tales2_andvari","安德瓦里"
"heroes.name.tales2_bragi","布拉吉"
"heroes.name.tales2_bryggvir","布呂格維爾"
"heroes.name.tales2_dagr","達格"
"heroes.name.tales2_dain","戴恩"
"heroes.name.tales2_dularfulr","杜拉弗爾"
"heroes.name.tales2_fafnir","法夫納"
"heroes.name.tales2_fimafeng","菲瑪豐"
"heroes.name.tales2_fjalar","菲亞拉爾"
"heroes.name.tales2_gandr","甘德爾"
"heroes.name.tales2_helgi","赫爾吉"
"heroes.name.tales2_hogne","赫涅"
"heroes.name.tales2_hreidmarr","赫里德馬爾"
"heroes.name.tales2_motsognir","莫措尼"
"heroes.name.tales2_ott","奧特"
"heroes.name.tales2_regin","瑞京"
"heroes.name.tales2_snorri","斯諾理"
"heroes.name.tales2_svafa","斯瓦法"
"heroes.name.tales2_thrivaldi","特里瓦爾迪"
"heroes.name.trainer","教練英雄"
"heroes.name.trainer_rainbow","教練大師"
"heroes.name.tribal_chief","卡甘"
"heroes.name.undead_captain_warrior","塞普里恩"
"heroes.name.undead_female_warrior","薩比娜"
"heroes.name.undead_horned_skeleton","奧伯倫"
"heroes.name.undead_running_skeleton","泰倫"
"heroes.name.undead_screaming_zombie","希利蘇斯"
"heroes.name.underworld_champion","歐巴坎"
"heroes.name.valentines_anteros","安忒洛斯"
"heroes.name.valentines_cupido","酷比特"
"heroes.name.valentines_elba","艾巴"
"heroes.name.valentines_eros","厄洛斯"
"heroes.name.valentines_himeros","西梅洛斯"
"heroes.name.valentines_kabeiroi","卡比洛斯"
"heroes.name.valentines_matchmaker_dodgrom","達格葛姆"
"heroes.name.valentines_phthonus","佛托諾斯"
"heroes.name.valentines_voluptas","魯塔斯"
"heroes.name.valentines_zarola","莎蘿拉"
"heroes.name.vampire_king","維克托"
"heroes.name.vampire_lord","弗拉德"
"heroes.name.vampire_queen","法蕾莉"
"heroes.name.vegetable_bartholomew","巴賽洛繆"
"heroes.name.vegetable_elsbeth","埃斯貝絲"
"heroes.name.villain_asterius","亞斯泰利厄斯"
"heroes.name.villain_crystalis","克里斯泰利斯"
"heroes.name.villain_dark_lord","暗黑領主"
"heroes.name.villain_edd","艾德"
"heroes.name.villain_ingolf","英葛爾夫"
"heroes.name.villain_isrod","伊斯羅德"
"heroes.name.villain_karnov","卡諾夫"
"heroes.name.villain_sanngrior","桑格里爾"
"heroes.name.villain_skrekok","史卡列科克"
"heroes.name.villain_toxicandra","塔克西肯德拉"
"heroes.name.wild_cat_ferni","費爾尼"
"heroes.name.wild_cat_imagus","伊瑪格斯"
"heroes.name.wild_cat_lennart","萊納特"
"heroes.name.wild_cat_leonie","莉奧妮"
"heroes.name.wild_cat_rajesh","拉傑許"
"heroes.name.wild_cat_stravia","史特拉維亞"
"heroes.name.wild_cat_tunes","圖恩斯"
"heroes.name.witch_king","圖特阿蒙"
"heroes.name.wonderland_alice","愛麗絲"
"heroes.name.wonderland_bear","灌木熊"
"heroes.name.wonderland_captain","鑽石上尉"
"heroes.name.wonderland_cheshire_cat","柴郡貓"
"heroes.name.wonderland_duchess","女爵"
"heroes.name.wonderland_hatter","帽子先生"
"heroes.name.wonderland_jabberwocky","炸脖龍"
"heroes.name.wonderland_king_of_hearts","紅心國王"
"heroes.name.wonderland_knave_of_hearts","紅心傑克"
"heroes.name.wonderland_phoenicus","腓尼克斯"
"heroes.name.wonderland_queen","紅心皇后"
"heroes.name.wonderland_tweedles","特威德爾斯"
"heroes.name.wonderland_white_rabbit","白兔"
"heroes.name.zombie","僵屍"
